Florida College,Error,Lipscomb,288
14:18,288,Michael Buckland missed Layup.,7,16
14:18,-1,Bryce Nickels Defensive Rebound.,7,16
14:14,-1,Jacob Roark missed Three Point Jumper.,7,16
14:14,288,George Brammeier Defensive Rebound.,7,16
14:05,288,Greg Jones missed Three Point Jumper.,7,16
14:05,288,Greg Jones Offensive Rebound.,7,16
13:51,288,Aaron Korn missed Three Point Jumper.,7,16
13:51,-1,Bryce Nickels Defensive Rebound.,7,16
13:38,-1,Lynorris Hamilton made Jumper.,9,16
13:18,288,Michael Buckland made Layup.,9,18
13:06,-1,Lynorris Hamilton made Layup.,11,18
12:49,288,Greg Jones missed Three Point Jumper.,11,18
12:49,-1,Bryce Nickels Defensive Rebound.,11,18
12:34,-1,Jacob Roark made Layup.,13,18
12:23,288,Aaron Korn missed Three Point Jumper.,13,18
12:23,-1,Bryce Nickels Defensive Rebound.,13,18
12:14,288,Foul on Greg Jones.,13,18
12:14,-1,Lynorris Hamilton made Free Throw.,14,18
12:14,-1,Lynorris Hamilton made Free Throw.,15,18
11:58,288,Garrison Mathews missed Three Point Jumper.,15,18
11:58,-1,Lynorris Hamilton Defensive Rebound.,15,18
11:26,288,Foul on Kenny Cooper.,15,18
11:26,288,Official TV Timeout,15,18
11:26,-1,Darwin Morales made Free Throw.,16,18
11:26,-1,Darwin Morales missed Free Throw.,16,18
11:26,288,Rob Marberry Defensive Rebound.,16,18
11:09,-1,Foul on Lynorris Hamilton.,16,18
10:54,288,Kenny Cooper missed Layup.,16,18
10:54,288,Rob Marberry Offensive Rebound.,16,18
10:43,288,Rob Marberry made Two Point Tip Shot.,16,20
10:40,-1,Jordan Benjamin made Layup.,18,20
10:24,-1,Foul on Franck Tsoungui.,18,20
10:15,-1,Foul on Jordan Benjamin.,18,20
10:10,288,Rob Marberry missed Jumper.,18,20
10:10,288,Garrison Mathews Offensive Rebound.,18,20
10:03,288,Garrison Mathews missed Three Point Jumper.,18,20
10:03,-1,Bryce Nickels Defensive Rebound.,18,20
9:53,-1,Kent Hegarty Turnover.,18,20
9:51,288,Rob Marberry Steal.,18,20
9:46,288,Garrison Mathews missed Layup.,18,20
9:46,-1,Darwin Morales Defensive Rebound.,18,20
9:26,-1,Kent Hegarty Turnover.,18,20
9:25,288,Andrew Fleming Steal.,18,20
9:21,288,Kenny Cooper made Layup.,18,22
9:08,-1,Franck Tsoungui Turnover.,18,22
9:08,-1,Florida College  Timeout,18,22
8:58,288,Rob Marberry missed Layup.,18,22
8:58,-1,Bryce Nickels Defensive Rebound.,18,22
8:42,-1,Jacob Roark made Three Point Jumper.,21,22
8:27,288,Rob Marberry missed Layup.,21,22
8:27,288,Asa Duvall Offensive Rebound.,21,22
8:19,288,Garrison Mathews made Layup.,21,24
8:04,-1,Jacob Roark missed Three Point Jumper.,21,24
8:04,288,Garrison Mathews Defensive Rebound.,21,24
8:01,-1,Foul on Franck Tsoungui.,21,24
7:52,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,21,26
7:32,-1,Jacob Roark Turnover.,21,26
7:31,288,Rob Marberry Steal.,21,26
7:28,288,Asa Duvall missed Layup.,21,26
7:28,288,Rob Marberry Offensive Rebound.,21,26
7:26,-1,Foul on Bryce Nickels.,21,26
7:26,288,Official TV Timeout,21,26
7:26,288,Rob Marberry made Free Throw.,21,27
7:26,288,Rob Marberry made Free Throw.,21,28
7:10,-1,Kent Hegarty Turnover.,21,28
6:48,288,Michael Buckland Turnover.,21,28
6:41,288,Foul on Michael Buckland.,21,28
6:37,-1,Zach Brock missed Three Point Jumper.,21,28
6:37,288,Michael Buckland Defensive Rebound.,21,28
6:21,288,George Brammeier missed Layup.,21,28
6:21,-1,Kerwiken Morpas Defensive Rebound.,21,28
6:02,-1,Jahkeal Samuel Turnover.,21,28
5:51,288,George Brammeier made Dunk. Assisted by Eli Pepper.,21,30
5:35,-1,Foul on Zach Brock.,21,30
5:35,-1,Zach Brock Turnover.,21,30
5:26,288,Michael Buckland made Layup.,21,32
5:13,288,Foul on John Matt Merritt.,21,32
5:13,-1,Lynorris Hamilton made Free Throw.,22,32
5:13,-1,Lynorris Hamilton missed Free Throw.,22,32
5:13,288,Eli Pepper Defensive Rebound.,22,32
5:01,288,Aaron Korn made Three Point Jumper. Assisted by George Brammeier.,22,35
4:52,-1,Jahkeal Samuel made Layup. Assisted by Lynorris Hamilton.,24,35
4:42,288,Aaron Korn made Layup.,24,37
4:30,-1,Theokarl Desrivieres made Layup. Assisted by Lynorris Hamilton.,26,37
4:17,288,George Brammeier missed Jumper.,26,37
4:17,-1,Theokarl Desrivieres Defensive Rebound.,26,37
4:06,288,Foul on George Brammeier.,26,37
4:02,-1,Jahkeal Samuel missed Layup.,26,37
4:02,288,Eli Pepper Block.,26,37
4:02,-1,Florida College Offensive Rebound.,26,37
3:48,-1,Theokarl Desrivieres Turnover.,26,37
3:48,288,Official TV Timeout,26,37
3:21,288,Garrison Mathews missed Three Point Jumper.,26,37
3:21,288,Rob Marberry Offensive Rebound.,26,37
3:17,288,Rob Marberry missed Jumper.,26,37
3:17,-1,Florida College Defensive Rebound.,26,37
3:05,-1,Kent Hegarty made Three Point Jumper. Assisted by Lynorris Hamilton.,29,37
2:44,288,Greg Jones made Three Point Jumper. Assisted by Rob Marberry.,29,40
2:30,-1,Theokarl Desrivieres missed Layup.,29,40
2:30,-1,Theokarl Desrivieres Offensive Rebound.,29,40
2:27,-1,Theokarl Desrivieres made Layup.,31,40
2:26,288,Lipscomb  Timeout,31,40
2:11,288,Michael Buckland made Layup. Assisted by John Matt Merritt.,31,42
1:58,-1,Lynorris Hamilton missed Layup.,31,42
1:58,-1,Theokarl Desrivieres Offensive Rebound.,31,42
1:53,-1,Theokarl Desrivieres missed Two Point Tip Shot.,31,42
1:53,288,Michael Buckland Defensive Rebound.,31,42
1:44,288,Michael Buckland missed Three Point Jumper.,31,42
1:44,288,Aaron Korn Offensive Rebound.,31,42
1:38,-1,Foul on Kent Hegarty.,31,42
1:38,288,Kenny Cooper missed Free Throw.,31,42
1:38,288,Lipscomb Deadball Team Rebound.,31,42
1:38,288,Kenny Cooper missed Free Throw.,31,42
1:38,-1,Jordan Benjamin Defensive Rebound.,31,42
1:33,288,Foul on Michael Buckland.,31,42
1:33,-1,Darwin Morales made Free Throw.,32,42
1:33,-1,Darwin Morales made Free Throw.,33,42
1:10,288,Andrew Fleming missed Layup.,33,42
1:10,-1,Darwin Morales Defensive Rebound.,33,42
1:01,-1,Darwin Morales missed Three Point Jumper.,33,42
1:01,288,Eli Pepper Defensive Rebound.,33,42
0:33,288,Zach Flener made Layup. Assisted by Eli Pepper.,33,44
0:15,-1,Kent Hegarty made Three Point Jumper. Assisted by Lynorris Hamilton.,36,44
0:01,288,Eli Pepper missed Jumper.,36,44
0:01,-1,Lynorris Hamilton Defensive Rebound.,36,44
0:00,288,End of 1st half,36,44
19:51,288,Foul on Michael Buckland.,36,44
19:39,-1,Jacob Roark Turnover.,36,44
19:38,288,Michael Buckland Steal.,36,44
19:22,288,Michael Buckland made Three Point Jumper. Assisted by Garrison Mathews.,36,47
19:13,-1,Franck Tsoungui Turnover.,36,47
19:01,288,Garrison Mathews made Layup.,36,49
18:55,-1,Zach Brock Turnover.,36,49
18:54,288,Kenny Cooper Steal.,36,49
18:51,288,Garrison Mathews missed Three Point Jumper.,36,49
18:51,-1,Jacob Roark Defensive Rebound.,36,49
18:28,-1,Jacob Roark Turnover.,36,49
18:27,288,Kenny Cooper Steal.,36,49
18:23,288,Garrison Mathews made Layup. Assisted by Kenny Cooper.,36,51
18:23,-1,Foul on Franck Tsoungui.,36,51
18:23,288,Garrison Mathews made Free Throw.,36,52
18:15,-1,Kent Hegarty made Three Point Jumper. Assisted by Lynorris Hamilton.,39,52
18:05,288,Aaron Korn Turnover.,39,52
18:03,-1,Jordan Benjamin Steal.,39,52
17:58,-1,Darwin Morales made Layup.,41,52
17:48,288,Aaron Korn missed Jumper.,41,52
17:48,288,Aaron Korn Offensive Rebound.,41,52
17:45,288,Garrison Mathews missed Three Point Jumper.,41,52
17:45,288,Rob Marberry Offensive Rebound.,41,52
17:38,288,Rob Marberry missed Two Point Tip Shot.,41,52
17:38,-1,Jordan Benjamin Defensive Rebound.,41,52
17:31,288,Foul on Rob Marberry.,41,52
17:31,-1,Lynorris Hamilton made Free Throw.,42,52
17:31,-1,Lynorris Hamilton missed Free Throw.,42,52
17:31,288,Matt Rose Defensive Rebound.,42,52
17:03,288,Garrison Mathews missed Jumper.,42,52
17:03,288,Aaron Korn Offensive Rebound.,42,52
16:54,288,Rob Marberry missed Jumper.,42,52
16:54,-1,Bryce Nickels Defensive Rebound.,42,52
16:48,-1,Jahkeal Samuel missed Three Point Jumper.,42,52
16:48,288,Garrison Mathews Defensive Rebound.,42,52
16:41,-1,Foul on Jahkeal Samuel.,42,52
16:41,288,Garrison Mathews missed Free Throw.,42,52
16:41,288,Lipscomb Deadball Team Rebound.,42,52
16:41,288,Garrison Mathews missed Free Throw.,42,52
16:41,-1,Bryce Nickels Defensive Rebound.,42,52
16:41,288,Foul on Eli Pepper.,42,52
16:27,-1,Bryce Nickels made Layup. Assisted by Jahkeal Samuel.,44,52
16:21,288,Aaron Korn missed Three Point Jumper.,44,52
16:21,-1,Lynorris Hamilton Defensive Rebound.,44,52
16:17,-1,Lynorris Hamilton Turnover.,44,52
16:15,288,Aaron Korn Steal.,44,52
16:15,288,Aaron Korn made Layup.,44,54
16:03,-1,Jahkeal Samuel missed Three Point Jumper.,44,54
16:03,-1,Darwin Morales Offensive Rebound.,44,54
16:00,288,Foul on Aaron Korn.,44,54
16:00,288,Official TV Timeout,44,54
16:00,-1,Darwin Morales made Free Throw.,45,54
16:00,-1,Darwin Morales missed Free Throw.,45,54
16:00,288,Eli Pepper Defensive Rebound.,45,54
15:45,288,Kenny Cooper made Layup.,45,56
15:26,-1,Kent Hegarty missed Three Point Jumper.,45,56
15:26,288,Eli Pepper Defensive Rebound.,45,56
15:17,288,Greg Jones made Layup.,45,58
14:59,288,Foul on Kenny Cooper.,45,58
14:59,-1,Darwin Morales made Free Throw.,46,58
14:59,-1,Darwin Morales made Free Throw.,47,58
14:48,288,Matt Rose made Three Point Jumper. Assisted by Michael Buckland.,47,61
14:28,-1,Bryce Nickels missed Jumper.,47,61
14:28,288,Michael Buckland Defensive Rebound.,47,61
14:18,288,Matt Rose missed Three Point Jumper.,47,61
14:18,288,Eli Pepper Offensive Rebound.,47,61
14:14,-1,Foul on Darwin Morales.,47,61
14:14,288,Eli Pepper missed Free Throw.,47,61
14:14,288,Lipscomb Deadball Team Rebound.,47,61
14:14,288,Eli Pepper made Free Throw.,47,62
14:06,-1,Lynorris Hamilton missed Jumper.,47,62
14:06,288,Eli Pepper Defensive Rebound.,47,62
13:53,-1,Foul on Jordan Benjamin.,47,62
13:52,288,Andrew Fleming missed Three Point Jumper.,47,62
13:52,288,Michael Buckland Offensive Rebound.,47,62
13:47,288,Michael Buckland made Layup.,47,64
13:38,-1,Franck Tsoungui Turnover.,47,64
13:36,288,Rob Marberry Steal.,47,64
13:34,288,Andrew Fleming made Layup. Assisted by Michael Buckland.,47,66
13:33,-1,Florida College  Timeout,47,66
13:25,-1,Darwin Morales Turnover.,47,66
13:24,288,Michael Buckland Steal.,47,66
13:19,288,Michael Buckland Turnover.,47,66
13:17,-1,Franck Tsoungui Steal.,47,66
13:14,-1,Darwin Morales made Layup.,49,66
13:00,288,Michael Buckland made Three Point Jumper. Assisted by Rob Marberry.,49,69
12:26,288,Foul on Garrison Mathews.,49,69
12:26,-1,Franck Tsoungui made Free Throw.,50,69
12:26,-1,Franck Tsoungui missed Free Throw.,50,69
12:26,288,Eli Pepper Defensive Rebound.,50,69
12:10,288,Garrison Mathews made Layup. Assisted by Eli Pepper.,50,71
11:45,-1,Darwin Morales missed Jumper.,50,71
11:45,288,Andrew Fleming Block.,50,71
11:45,-1,Florida College Offensive Rebound.,50,71
11:45,288,Official TV Timeout,50,71
11:44,-1,Jacob Roark Turnover.,50,71
11:43,288,Garrison Mathews Steal.,50,71
11:40,288,Garrison Mathews made Dunk.,50,73
11:21,-1,Kent Hegarty missed Layup.,50,73
11:21,288,Eli Pepper Defensive Rebound.,50,73
11:10,-1,Foul on Zach Brock.,50,73
11:10,288,Andrew Fleming missed Free Throw.,50,73
11:10,288,Lipscomb Deadball Team Rebound.,50,73
11:10,288,Andrew Fleming made Free Throw.,50,74
10:53,-1,Darwin Morales Turnover.,50,74
10:44,288,Kenny Cooper missed Three Point Jumper.,50,74
10:44,-1,Jordan Benjamin Defensive Rebound.,50,74
10:35,-1,Jordan Benjamin missed Jumper.,50,74
10:35,-1,Jordan Benjamin Offensive Rebound.,50,74
10:27,-1,Lynorris Hamilton missed Jumper.,50,74
10:27,288,Eli Pepper Defensive Rebound.,50,74
10:14,288,Greg Jones made Three Point Jumper. Assisted by Eli Pepper.,50,77
9:56,-1,Franck Tsoungui missed Jumper.,50,77
9:56,-1,Franck Tsoungui Offensive Rebound.,50,77
9:51,-1,Kent Hegarty made Three Point Jumper. Assisted by Lynorris Hamilton.,53,77
9:44,288,Kenny Cooper missed Jumper.,53,77
9:44,288,Greg Jones Offensive Rebound.,53,77
9:34,288,Garrison Mathews made Three Point Jumper. Assisted by Eli Pepper.,53,80
9:18,-1,Franck Tsoungui missed Jumper.,53,80
9:18,288,Garrison Mathews Defensive Rebound.,53,80
9:10,288,Garrison Mathews made Layup.,53,82
8:47,-1,Franck Tsoungui Turnover.,53,82
8:37,288,Greg Jones missed Three Point Jumper.,53,82
8:37,-1,Kent Hegarty Defensive Rebound.,53,82
8:22,-1,Kent Hegarty missed Three Point Jumper.,53,82
8:22,288,Greg Jones Defensive Rebound.,53,82
8:15,288,Greg Jones Turnover.,53,82
8:14,-1,Lynorris Hamilton Steal.,53,82
8:10,-1,Lynorris Hamilton missed Layup.,53,82
8:10,288,Aaron Korn Defensive Rebound.,53,82
7:50,288,George Brammeier made Jumper. Assisted by Aaron Korn.,53,84
7:22,-1,Lynorris Hamilton made Layup.,55,84
7:13,-1,Foul on Lynorris Hamilton.,55,84
7:13,288,Official TV Timeout,55,84
7:13,288,George Brammeier missed Free Throw.,55,84
7:13,288,Lipscomb Deadball Team Rebound.,55,84
7:13,288,George Brammeier missed Free Throw.,55,84
7:13,-1,Kent Hegarty Defensive Rebound.,55,84
6:57,-1,Franck Tsoungui Turnover.,55,84
6:56,288,Michael Buckland Steal.,55,84
6:43,288,Michael Buckland missed Jumper.,55,84
6:43,-1,Lynorris Hamilton Defensive Rebound.,55,84
6:38,-1,Lynorris Hamilton missed Layup.,55,84
6:38,288,Michael Buckland Block.,55,84
6:36,288,Matt Rose Defensive Rebound.,55,84
6:28,288,Matt Rose missed Three Point Jumper.,55,84
6:28,288,George Brammeier Offensive Rebound.,55,84
6:16,288,George Brammeier made Jumper.,55,86
5:51,-1,Theokarl Desrivieres made Layup. Assisted by Bryce Nickels.,57,86
5:23,288,George Brammeier missed Jumper.,57,86
5:23,-1,Bryce Nickels Defensive Rebound.,57,86
5:17,-1,Jahkeal Samuel missed Three Point Jumper.,57,86
5:17,288,Matt Rose Defensive Rebound.,57,86
5:03,288,George Brammeier missed Layup.,57,86
5:03,-1,Theokarl Desrivieres Defensive Rebound.,57,86
4:47,-1,Jahkeal Samuel missed Layup.,57,86
4:47,288,Aaron Korn Defensive Rebound.,57,86
4:42,-1,Foul on Theokarl Desrivieres.,57,86
4:42,288,Aaron Korn made Free Throw.,57,87
4:42,288,Aaron Korn made Free Throw.,57,88
4:29,-1,Bryce Nickels missed Layup.,57,88
4:29,-1,Bryce Nickels Offensive Rebound.,57,88
4:27,288,Foul on John Matt Merritt.,57,88
4:27,-1,Bryce Nickels missed Free Throw.,57,88
4:27,-1,Florida College Deadball Team Rebound.,57,88
4:27,-1,Bryce Nickels missed Free Throw.,57,88
4:27,288,Greg Jones Defensive Rebound.,57,88
4:20,288,Matt Rose made Three Point Jumper. Assisted by Greg Jones.,57,91
4:07,-1,Bryce Nickels Turnover.,57,91
4:06,288,Matt Rose Steal.,57,91
4:03,288,Greg Jones missed Jumper.,57,91
4:03,288,Matt Rose Offensive Rebound.,57,91
4:00,288,Matt Rose made Layup.,57,93
3:41,-1,Bryce Nickels missed Jumper.,57,93
3:41,-1,Bryce Nickels Offensive Rebound.,57,93
3:36,-1,Jahkeal Samuel made Three Point Jumper. Assisted by Bryce Nickels.,60,93
3:22,288,Matt Rose missed Three Point Jumper.,60,93
3:22,-1,Lynorris Hamilton Defensive Rebound.,60,93
3:10,-1,Jacob Roark made Three Point Jumper. Assisted by Lynorris Hamilton.,63,93
2:51,288,Matt Rose missed Three Point Jumper.,63,93
2:51,-1,Jacob Roark Defensive Rebound.,63,93
2:43,-1,Jacob Roark missed Jumper.,63,93
2:43,288,Asa Duvall Defensive Rebound.,63,93
2:32,288,John Matt Merritt made Three Point Jumper. Assisted by Andrew Fleming.,63,96
2:09,-1,Jahkeal Samuel made Three Point Jumper. Assisted by Jacob Roark.,66,96
1:54,-1,Foul on Theokarl Desrivieres.,66,96
1:54,288,Official TV Timeout,66,96
1:54,288,Greg Jones made Free Throw.,66,97
1:54,288,Greg Jones missed Free Throw.,66,97
1:54,288,Asa Duvall Offensive Rebound.,66,97
1:53,-1,Foul on Theokarl Desrivieres.,66,97
1:53,288,Asa Duvall missed Free Throw.,66,97
1:53,288,Lipscomb Deadball Team Rebound.,66,97
1:53,288,Asa Duvall made Free Throw.,66,98
1:43,-1,Foul on Theokarl Desrivieres.,66,98
1:43,-1,Theokarl Desrivieres Turnover.,66,98
1:33,288,Asa Duvall missed Layup.,66,98
1:33,-1,Hayden Todd Defensive Rebound.,66,98
1:13,-1,Hayden Todd Turnover.,66,98
1:06,288,Asa Duvall missed Three Point Jumper.,66,98
1:06,-1,Lynorris Hamilton Defensive Rebound.,66,98
0:55,-1,Jacob Roark missed Three Point Jumper.,66,98
0:55,-1,Jordan Benjamin Offensive Rebound.,66,98
0:50,-1,Theokarl Desrivieres made Layup. Assisted by Jordan Benjamin.,68,98
0:33,288,John Matt Merritt missed Jumper.,68,98
0:33,288,John Matt Merritt Offensive Rebound.,68,98
0:26,-1,Foul on Hayden Todd.,68,98
0:26,288,George Brammeier made Free Throw.,68,99
0:26,288,George Brammeier made Free Throw.,68,100
0:15,-1,Jordan Benjamin missed Jumper.,68,100
0:15,288,Greg Jones Defensive Rebound.,68,100
0:00,288,End of Game,68,100
