Florida A&amp;M,2582,Southern,50
14:56,2582,LaQuentin Collins missed Jumper.,7,4
14:56,50,Isaiah Martin Block.,7,4
14:56,2582,LaQuentin Collins Offensive Rebound.,7,4
14:49,2582,Emanual Shepherd made Jumper. Assisted by LaQuentin Collins.,7,6
14:36,50,Elijah Mayes made Jumper.,9,6
14:27,2582,Emanual Shepherd missed Jumper.,9,6
14:27,2582,Jamar Sandifer Offensive Rebound.,9,6
14:26,50,Foul on Desmond Williams.,9,6
14:26,2582,Jamar Sandifer made Free Throw.,9,7
14:26,2582,Jamar Sandifer made Free Throw.,9,8
14:05,2582,Jamar Sandifer Steal.,9,8
14:05,50,Nasir Core Turnover.,9,8
13:45,50,Foul on Nick Severado.,9,8
13:45,2582,Jared Sam missed Free Throw.,9,8
13:45,2582,Southern Deadball Team Rebound.,9,8
13:45,2582,Jared Sam made Free Throw.,9,9
13:29,50,Nasir Core made Three Point Jumper. Assisted by Desmond Williams.,12,9
13:17,2582,Emanual Shepherd made Layup. Assisted by Jared Sam.,12,11
12:49,50,Brendon Myles Turnover.,12,11
12:48,2582,Emanual Shepherd Steal.,12,11
12:41,2582,Eddie Reese missed Three Point Jumper.,12,11
12:41,50,Desmond Williams Defensive Rebound.,12,11
12:29,50,Nasir Core Turnover.,12,11
12:27,2582,Emanual Shepherd Steal.,12,11
12:24,2582,Jamar Sandifer Turnover.,12,11
12:23,50,Desmond Williams Steal.,12,11
12:20,50,Desmond Williams Turnover.,12,11
12:18,2582,Eddie Reese Steal.,12,11
12:02,50,Nasir Core Turnover.,12,11
11:56,2582,Sidney Umude missed Jumper.,12,11
11:56,50,Isaiah Martin Defensive Rebound.,12,11
11:42,50,Brendon Myles Turnover.,12,11
11:39,2582,Sidney Umude Steal.,12,11
11:30,2582,Jared Sam made Jumper. Assisted by Eddie Reese.,12,13
11:13,50,Foul on Craig Bowman.,12,13
11:13,50,Craig Bowman Turnover.,12,13
11:12,2582,Official TV Timeout,12,13
11:10,2582,Eddie Reese missed Three Point Jumper.,12,13
11:10,50,Elijah Mayes Defensive Rebound.,12,13
10:59,50,Desmond Williams made Layup.,14,13
10:25,2582,Chris Thomas missed Jumper.,14,13
10:25,2582,Sidney Umude Offensive Rebound.,14,13
10:15,2582,Sidney Umude made Two Point Tip Shot.,14,15
10:12,2582,Foul on Chris Thomas.,14,15
10:12,50,Elijah Mayes made Free Throw.,15,15
10:12,50,Elijah Mayes made Free Throw.,16,15
9:47,2582,Jared Sam missed Layup.,16,15
9:47,50,Isaiah Martin Block.,16,15
9:47,2582,Sidney Umude Offensive Rebound.,16,15
9:41,2582,Sidney Umude missed Jumper.,16,15
9:41,50,Isaiah Martin Block.,16,15
9:41,50,Nick Severado Defensive Rebound.,16,15
9:33,50,Brendon Myles missed Jumper.,16,15
9:33,2582,Sidney Umude Defensive Rebound.,16,15
9:32,50,Foul on Brendon Myles.,16,15
9:31,2582,Eddie Reese Turnover.,16,15
9:08,50,Craig Bowman missed Three Point Jumper.,16,15
9:08,50,Elijah Mayes Offensive Rebound.,16,15
9:02,2582,Foul on Torrey Mayo.,16,15
8:54,50,Craig Bowman missed Three Point Jumper.,16,15
8:54,2582,Jared Sam Defensive Rebound.,16,15
8:43,2582,Jared Sam Turnover.,16,15
8:41,50,Isaiah Martin Steal.,16,15
8:14,50,Nick Severado Turnover.,16,15
8:12,2582,Jamar Sandifer Steal.,16,15
8:09,2582,Sidney Umude made Dunk. Assisted by Jamar Sandifer.,16,17
7:56,50,Nasir Core Turnover.,16,17
7:56,50,Foul on Nasir Core.,16,17
7:56,2582,Official TV Timeout,16,17
7:46,2582,Emanual Shepherd Turnover.,16,17
7:15,50,Nick Severado missed Jumper.,16,17
7:15,2582,Richard Lee Defensive Rebound.,16,17
7:01,50,Foul on Elijah Mayes.,16,17
7:01,2582,Emanual Shepherd missed Free Throw.,16,17
7:01,50,Isaiah Martin Defensive Rebound.,16,17
6:38,50,Elijah Mayes made Jumper.,18,17
6:21,2582,Richard Lee missed Jumper.,18,17
6:21,50,Nick Severado Defensive Rebound.,18,17
6:10,50,Elijah Mayes made Three Point Jumper. Assisted by Isaiah Martin.,21,17
5:54,2582,Torrey Mayo missed Jumper.,21,17
5:54,50,Isaiah Martin Defensive Rebound.,21,17
5:48,2582,Foul on Torrey Mayo.,21,17
5:48,50,Elijah Mayes made Free Throw.,22,17
5:48,50,Elijah Mayes made Free Throw.,23,17
5:27,2582,Jared Sam Turnover.,23,17
5:13,50,Desmond Williams missed Jumper.,23,17
5:13,2582,Emanual Shepherd Block.,23,17
5:13,2582,Jared Sam Defensive Rebound.,23,17
5:05,2582,Eddie Reese made Three Point Jumper. Assisted by Aaron Ray.,23,20
4:40,50,Craig Bowman Turnover.,23,20
4:38,2582,Aaron Ray Steal.,23,20
4:35,2582,Foul on Aaron Ray.,23,20
4:35,2582,Aaron Ray Turnover.,23,20
4:18,50,Desmond Williams missed Three Point Jumper.,23,20
4:18,2582,Eddie Reese Defensive Rebound.,23,20
4:01,2582,Eddie Reese missed Layup.,23,20
4:01,2582,Emanual Shepherd Offensive Rebound.,23,20
3:55,50,Foul on Nasir Core.,23,20
3:54,50,Foul on Nasir Core.,23,20
3:54,2582,Official TV Timeout,23,20
3:54,2582,Emanual Shepherd missed Free Throw.,23,20
3:54,2582,Southern Deadball Team Rebound.,23,20
3:54,2582,Emanual Shepherd made Free Throw.,23,21
3:30,50,Desmond Williams Turnover.,23,21
3:27,2582,LaQuentin Collins Steal.,23,21
3:24,2582,Southern  Timeout,23,21
2:52,2582,LaQuentin Collins missed Jumper.,23,21
2:52,50,Isaiah Martin Block.,23,21
2:52,50,Nick Severado Defensive Rebound.,23,21
2:51,2582,Foul on LaQuentin Collins.,23,21
2:51,50,Justin Ravenel missed Free Throw.,23,21
2:51,50,Florida A&M Deadball Team Rebound.,23,21
2:51,50,Justin Ravenel made Free Throw.,24,21
2:45,2582,Emanual Shepherd Turnover.,24,21
2:43,50,Desmond Williams Steal.,24,21
2:30,50,Desmond Williams made Layup.,26,21
2:16,2582,Jamar Sandifer missed Three Point Jumper.,26,21
2:16,2582,Southern Offensive Rebound.,26,21
2:03,2582,Foul on Sidney Umude.,26,21
1:57,2582,Sidney Umude Turnover.,26,21
1:55,50,Nick Severado Steal.,26,21
1:54,50,Justin Ravenel made Three Point Jumper.,29,21
1:54,2582,Technical Foul on Sidney Umude.,29,21
1:54,50,Elijah Mayes made Free Throw.,30,21
1:54,50,Elijah Mayes made Free Throw.,31,21
1:43,50,Foul on Desmond Williams.,31,21
1:43,2582,Jared Sam made Free Throw.,31,22
1:43,2582,Jared Sam made Free Throw.,31,23
1:11,50,Desmond Williams missed Three Point Jumper.,31,23
1:11,2582,Emanual Shepherd Defensive Rebound.,31,23
1:02,2582,Eddie Reese missed Three Point Jumper.,31,23
1:02,50,Elijah Mayes Defensive Rebound.,31,23
0:41,50,Desmond Williams Turnover.,31,23
0:27,2582,Emanual Shepherd missed Jumper.,31,23
0:27,2582,Emanual Shepherd Offensive Rebound.,31,23
0:22,2582,Jared Sam made Jumper. Assisted by Emanual Shepherd.,31,25
0:13,50,Florida A&M  Timeout,31,25
0:00,50,Desmond Williams missed Jumper.,31,25
0:00,50,Desmond Williams Offensive Rebound.,31,25
0:00,2582,End of 1st half,31,25
19:41,2582,Emanual Shepherd missed Jumper.,31,25
19:41,2582,Jared Sam Offensive Rebound.,31,25
19:34,2582,Eddie Reese missed Three Point Jumper.,31,25
19:34,50,Nasir Core Defensive Rebound.,31,25
19:24,2582,Foul on Emanual Shepherd.,31,25
19:00,50,Elijah Mayes Turnover.,31,25
18:42,2582,Jamar Sandifer made Three Point Jumper. Assisted by Eddie Reese.,31,28
18:19,50,Foul on Desmond Williams.,31,28
18:19,50,Desmond Williams Turnover.,31,28
18:19,2582,Eddie Reese made Three Point Jumper. Assisted by Jared Sam.,31,31
18:17,2582,Foul on Chris Thomas.,31,31
17:21,50,Elijah Mayes missed Three Point Jumper.,31,31
17:21,2582,Eddie Reese Block.,31,31
17:21,2582,Southern Defensive Rebound.,31,31
17:09,2582,Jamar Sandifer Turnover.,31,31
17:08,50,Nick Severado Steal.,31,31
17:05,50,Isaiah Martin made Layup. Assisted by Elijah Mayes.,33,31
16:51,2582,Chris Thomas missed Layup.,33,31
16:51,50,Nasir Core Defensive Rebound.,33,31
16:43,50,Desmond Williams missed Jumper.,33,31
16:43,2582,Jamar Sandifer Defensive Rebound.,33,31
16:36,2582,Eddie Reese made Three Point Jumper. Assisted by Jamar Sandifer.,33,34
16:21,50,Elijah Mayes missed Three Point Jumper.,33,34
16:21,2582,Emanual Shepherd Defensive Rebound.,33,34
16:13,2582,Jared Sam made Jumper. Assisted by Eddie Reese.,33,36
15:41,50,Nasir Core Turnover.,33,36
15:41,2582,Official TV Timeout,33,36
15:17,2582,Jamar Sandifer missed Jumper.,33,36
15:17,2582,Jared Sam Offensive Rebound.,33,36
15:02,2582,Eddie Reese missed Three Point Jumper.,33,36
15:02,50,Isaiah Martin Defensive Rebound.,33,36
14:45,50,Nick Severado made Jumper. Assisted by Elijah Mayes.,35,36
14:25,50,Foul on Isaiah Martin.,35,36
14:25,2582,Jared Sam missed Free Throw.,35,36
14:25,2582,Southern Deadball Team Rebound.,35,36
14:25,2582,Jared Sam made Free Throw.,35,37
14:04,2582,Foul on Jamar Sandifer.,35,37
14:04,50,Desmond Williams missed Free Throw.,35,37
14:04,50,Florida A&M Deadball Team Rebound.,35,37
14:04,50,Desmond Williams made Free Throw.,36,37
13:35,2582,Jared Sam missed Jumper.,36,37
13:35,50,Desmond Williams Defensive Rebound.,36,37
13:20,50,Desmond Williams made Jumper.,38,37
12:47,2582,Jared Sam missed Jumper.,38,37
12:47,2582,Emanual Shepherd Offensive Rebound.,38,37
12:42,2582,Emanual Shepherd missed Jumper.,38,37
12:42,50,Isaiah Martin Block.,38,37
12:42,50,Nick Severado Defensive Rebound.,38,37
12:27,2582,Foul on Jamar Sandifer.,38,37
12:27,50,Desmond Williams made Free Throw.,39,37
12:27,50,Desmond Williams made Free Throw.,40,37
12:12,2582,Aaron Ray missed Jumper.,40,37
12:12,50,Isaiah Martin Defensive Rebound.,40,37
11:42,50,Justin Ravenel missed Jumper.,40,37
11:42,50,Isaiah Martin Offensive Rebound.,40,37
11:41,50,Isaiah Martin missed Jumper.,40,37
11:41,2582,Jamar Sandifer Block.,40,37
11:41,2582,Southern Defensive Rebound.,40,37
11:30,2582,Official TV Timeout,40,37
11:22,50,Foul on Elijah Mayes.,40,37
11:20,2582,Aaron Ray missed Three Point Jumper.,40,37
11:20,50,Justin Ravenel Defensive Rebound.,40,37
10:57,50,Desmond Williams missed Jumper.,40,37
10:57,2582,Emanual Shepherd Defensive Rebound.,40,37
10:41,50,Foul on Nick Severado.,40,37
10:41,2582,Jared Sam missed Free Throw.,40,37
10:41,2582,Southern Deadball Team Rebound.,40,37
10:41,2582,Jared Sam made Free Throw.,40,38
10:23,50,Justin Ravenel made Jumper.,42,38
10:07,2582,Aaron Ray made Layup.,42,40
10:00,50,Justin Ravenel missed Three Point Jumper.,42,40
10:00,50,Florida A&M Offensive Rebound.,42,40
9:34,50,Justin Ravenel made Three Point Jumper. Assisted by Elijah Mayes.,45,40
9:33,2582,Sidney Umude missed Jumper.,45,40
9:33,2582,Sidney Umude Offensive Rebound.,45,40
9:31,2582,Sidney Umude made Jumper.,45,42
9:27,50,Nick Severado missed Jumper.,45,42
9:27,2582,Sidney Umude Defensive Rebound.,45,42
9:19,2582,Sidney Umude made Jumper. Assisted by Torrey Mayo.,45,44
8:54,50,Justin Ravenel missed Three Point Jumper.,45,44
8:54,2582,Eddie Reese Defensive Rebound.,45,44
8:46,2582,Jamar Sandifer made Three Point Jumper. Assisted by Torrey Mayo.,45,47
8:13,50,Nick Severado Turnover.,45,47
8:11,2582,Jamar Sandifer Steal.,45,47
8:09,2582,Eddie Reese made Dunk. Assisted by Jamar Sandifer.,45,49
8:00,50,Florida A&M  Timeout,45,49
7:31,50,Desmond Williams Turnover.,45,49
7:28,2582,Official TV Timeout,45,49
7:09,50,Foul on Nick Severado.,45,49
7:09,2582,Sidney Umude made Free Throw.,45,50
7:09,2582,Sidney Umude made Free Throw.,45,51
6:57,50,Justin Ravenel missed Three Point Jumper.,45,51
6:57,2582,Southern Defensive Rebound.,45,51
6:24,50,Foul on Isaiah Martin.,45,51
6:24,2582,Jared Sam made Free Throw.,45,52
6:24,2582,Jared Sam made Free Throw.,45,53
6:02,50,Justin Ravenel Turnover.,45,53
6:00,2582,Jared Sam Steal.,45,53
5:56,2582,Jamar Sandifer missed Layup.,45,53
5:56,2582,Sidney Umude Offensive Rebound.,45,53
5:51,2582,Sidney Umude made Two Point Tip Shot.,45,55
5:43,50,Florida A&M  Timeout,45,55
5:28,2582,Foul on Emanual Shepherd.,45,55
5:28,50,Isaiah Martin made Free Throw.,46,55
5:28,50,Isaiah Martin missed Free Throw.,46,55
5:28,2582,Eddie Reese Defensive Rebound.,46,55
5:04,2582,Torrey Mayo missed Three Point Jumper.,46,55
5:04,50,Isaiah Martin Defensive Rebound.,46,55
4:53,50,Elijah Mayes Turnover.,46,55
4:53,2582,Torrey Mayo Steal.,46,55
4:53,50,Foul on Nasir Core.,46,55
4:53,2582,Torrey Mayo made Free Throw.,46,56
4:53,2582,Torrey Mayo made Free Throw.,46,57
4:22,50,Nasir Core missed Three Point Jumper.,46,57
4:22,2582,Emanual Shepherd Defensive Rebound.,46,57
4:16,2582,Emanual Shepherd made Layup. Assisted by Eddie Reese.,46,59
4:02,50,Desmond Williams Turnover.,46,59
4:00,2582,Emanual Shepherd Steal.,46,59
3:57,2582,Jamar Sandifer made Layup. Assisted by Eddie Reese.,46,61
3:35,50,Isaiah Martin missed Layup.,46,61
3:35,50,Isaiah Martin Offensive Rebound.,46,61
3:30,50,Isaiah Martin made Jumper.,48,61
3:20,2582,Jamar Sandifer missed Jumper.,48,61
3:20,2582,Emanual Shepherd Offensive Rebound.,48,61
3:18,2582,Emanual Shepherd made Two Point Tip Shot.,48,63
3:18,50,Nasir Core missed Jumper.,48,63
3:09,50,Isaiah Martin Offensive Rebound.,48,63
3:05,50,Nasir Core missed Jumper.,48,63
3:05,2582,Emanual Shepherd Block.,48,63
3:05,50,Nasir Core Offensive Rebound.,48,63
3:01,50,Elijah Mayes missed Three Point Jumper.,48,63
3:01,2582,Emanual Shepherd Defensive Rebound.,48,63
2:18,2582,Torrey Mayo missed Three Point Jumper.,48,63
2:18,50,Isaiah Martin Defensive Rebound.,48,63
2:14,2582,Foul on Jamar Sandifer.,48,63
2:14,2582,Official TV Timeout,48,63
2:14,50,Nasir Core missed Free Throw.,48,63
2:14,50,Florida A&M Deadball Team Rebound.,48,63
2:14,50,Nasir Core missed Free Throw.,48,63
2:14,2582,Emanual Shepherd Defensive Rebound.,48,63
2:09,2582,Eddie Reese Turnover.,48,63
2:08,50,Elijah Mayes Steal.,48,63
2:04,50,Elijah Mayes Turnover.,48,63
2:02,2582,Torrey Mayo Steal.,48,63
1:40,2582,Jamar Sandifer made Three Point Jumper.,48,66
1:19,50,Desmond Williams missed Three Point Jumper.,48,66
1:19,2582,Emanual Shepherd Defensive Rebound.,48,66
1:14,2582,Foul on Chris Thomas.,48,66
1:14,2582,Sidney Umude made Free Throw.,48,67
1:14,2582,Sidney Umude made Free Throw.,48,68
0:58,50,Elijah Mayes made Layup.,50,68
0:58,2582,Foul on Jamar Sandifer.,50,68
0:58,50,Elijah Mayes missed Free Throw.,50,68
0:58,2582,Emanual Shepherd Defensive Rebound.,50,68
0:36,2582,Foul on Torrey Mayo.,50,68
0:36,2582,Torrey Mayo Turnover.,50,68
0:24,50,Bryce Moragne missed Three Point Jumper.,50,68
0:24,2582,Sidney Umude Defensive Rebound.,50,68
0:00,2582,End of 2nd half,50,68
0:00,2582,End of Game,50,68
