Prairie View A&amp;M,202,Tulsa,2504
11:24,2504,Jordan Lumpkins Steal.,10,7
11:02,2504,Austin Starr missed Three Point Jumper.,10,7
11:02,202,Sterling Taplin Defensive Rebound.,10,7
10:55,202,Jaleel Wheeler made Three Point Jumper. Assisted by Sterling Taplin.,10,10
10:33,2504,Gary Blackston made Jumper.,12,10
10:14,202,Corey Henderson Jr. made Three Point Jumper.,12,13
9:49,2504,Dennis Jones Turnover.,12,13
9:48,202,Sterling Taplin Steal.,12,13
9:42,202,Sterling Taplin Turnover.,12,13
9:42,202,Foul on Sterling Taplin.,12,13
9:30,2504,Zachary Hamilton Turnover.,12,13
9:15,202,Junior Etou missed Jumper.,12,13
9:15,2504,Jordan Lumpkins Defensive Rebound.,12,13
9:05,2504,Shaquille Preston made Jumper.,14,13
8:56,2504,Foul on Gary Blackston.,14,13
8:51,202,Curran Scott Turnover.,14,13
8:50,2504,Gary Blackston Steal.,14,13
8:49,2504,Dennis Jones made Layup. Assisted by Gary Blackston.,16,13
8:33,2504,Foul on Dennis Jones.,16,13
8:33,202,Junior Etou missed Free Throw.,16,13
8:33,202,Tulsa Deadball Team Rebound.,16,13
8:33,202,Junior Etou made Free Throw.,16,14
8:13,2504,Dennis Jones missed Jumper.,16,14
8:13,202,Junior Etou Defensive Rebound.,16,14
8:06,2504,Foul on Troy Thompson.,16,14
8:06,202,Jaleel Wheeler made Free Throw.,16,15
8:06,202,Jaleel Wheeler made Free Throw.,16,16
7:48,2504,Gary Blackston missed Three Point Jumper.,16,16
7:48,202,Curran Scott Defensive Rebound.,16,16
7:33,202,Darien Jackson made Layup.,16,18
7:18,202,Foul on Darien Jackson.,16,18
7:18,202,Official TV Timeout,16,18
7:16,2504,Zachary Hamilton missed Three Point Jumper.,16,18
7:16,2504,Prairie View A&M Offensive Rebound.,16,18
7:04,2504,Gary Blackston made Jumper.,18,18
6:32,202,Junior Etou made Layup.,18,20
6:04,2504,Gary Blackston made Jumper.,20,20
5:50,202,Geno Artison made Three Point Jumper. Assisted by Sterling Taplin.,20,23
5:29,2504,Gary Blackston made Jumper.,22,23
5:12,202,Elijah Joiner made Three Point Jumper.,22,26
4:51,2504,Zachary Hamilton missed Three Point Jumper.,22,26
4:51,202,Sterling Taplin Defensive Rebound.,22,26
4:31,202,Junior Etou missed Layup.,22,26
4:31,2504,JD Wallace Defensive Rebound.,22,26
4:27,2504,JD Wallace Turnover.,22,26
4:24,202,Junior Etou Steal.,22,26
4:17,202,Corey Henderson Jr. missed Three Point Jumper.,22,26
4:17,2504,Zachary Hamilton Defensive Rebound.,22,26
3:59,2504,Zachary Hamilton missed Jumper.,22,26
3:59,202,Geno Artison Block.,22,26
3:57,202,Elijah Joiner Defensive Rebound.,22,26
3:53,202,Official TV Timeout,22,26
3:38,202,Sterling Taplin missed Jumper.,22,26
3:38,2504,Shaquille Preston Defensive Rebound.,22,26
3:15,2504,Jordan Lumpkins made Layup. Assisted by Gary Blackston.,24,26
2:51,202,Elijah Joiner made Jumper.,24,28
2:44,2504,Shaquille Preston Turnover.,24,28
2:44,2504,Foul on Shaquille Preston.,24,28
2:28,202,Elijah Joiner missed Jumper.,24,28
2:28,2504,JD Wallace Block.,24,28
2:27,202,Tulsa Offensive Rebound.,24,28
2:18,202,Sterling Taplin Turnover.,24,28
2:18,202,Foul on Sterling Taplin.,24,28
2:01,2504,Dennis Jones missed Three Point Jumper.,24,28
2:01,202,Tulsa Defensive Rebound.,24,28
1:32,202,Corey Henderson Jr. made Layup.,24,30
1:12,2504,Gary Blackston Turnover.,24,30
1:12,2504,Foul on Gary Blackston.,24,30
0:48,2504,Foul on Jordan Lumpkins.,24,30
0:48,202,Geno Artison made Free Throw.,24,31
0:48,202,Geno Artison made Free Throw.,24,32
0:39,2504,Troy Thompson Turnover.,24,32
0:38,202,Elijah Joiner Steal.,24,32
0:37,202,Elijah Joiner made Layup. Assisted by Jaleel Wheeler.,24,34
0:25,2504,Austin Starr Turnover.,24,34
0:02,202,Curran Scott missed Jumper.,24,34
0:02,2504,Zachary Hamilton Block.,24,34
0:00,2504,Jordan Lumpkins Defensive Rebound.,24,34
0:00,202,End of 1st half,24,34
19:46,2504,Zachary Hamilton made Three Point Jumper. Assisted by Gary Blackston.,27,34
19:31,202,Junior Etou made Layup. Assisted by Sterling Taplin.,27,36
19:31,2504,Foul on Zachary Hamilton.,27,36
19:31,202,Junior Etou made Free Throw.,27,37
19:00,2504,Prairie View A&M  Turnover.,27,37
18:48,2504,Foul on Dennis Jones.,27,37
18:47,202,Martins Igbanu made Layup. Assisted by Sterling Taplin.,27,39
18:47,2504,Foul on Gary Blackston.,27,39
18:47,202,Martins Igbanu made Free Throw.,27,40
18:42,2504,Iwin Ellis Turnover.,27,40
18:26,202,Junior Etou made Dunk. Assisted by Jaleel Wheeler.,27,42
18:11,2504,Gary Blackston made Jumper.,29,42
17:54,202,Sterling Taplin missed Three Point Jumper.,29,42
17:54,202,Junior Etou Offensive Rebound.,29,42
17:43,202,Jaleel Wheeler made Layup.,29,44
17:22,2504,Zachary Hamilton missed Three Point Jumper.,29,44
17:22,202,Junior Etou Defensive Rebound.,29,44
17:07,2504,Foul on Gary Blackston.,29,44
17:00,202,Sterling Taplin made Layup.,29,46
17:00,2504,Foul on Zachary Hamilton.,29,46
17:00,202,Sterling Taplin missed Free Throw.,29,46
17:00,202,Tulsa Offensive Rebound.,29,46
16:52,202,Martins Igbanu missed Layup.,29,46
16:52,2504,Austin Starr Defensive Rebound.,29,46
16:41,2504,JD Wallace made Jumper.,31,46
16:33,202,Corey Henderson Jr. missed Three Point Jumper.,31,46
16:33,2504,Dennis Jones Defensive Rebound.,31,46
16:23,2504,Dennis Jones made Free Throw.,32,46
16:15,202,Foul on Sterling Taplin.,32,46
16:01,2504,Shaquille Preston missed Jumper.,32,46
16:01,2504,JD Wallace Offensive Rebound.,32,46
15:59,2504,Dennis Jones made Free Throw.,33,46
15:56,2504,Shaquille Preston missed Jumper.,33,46
15:56,202,Corey Henderson Jr. Defensive Rebound.,33,46
15:36,202,Junior Etou made Jumper.,33,48
15:10,2504,Jordan Lumpkins Turnover.,33,48
15:09,202,Corey Henderson Jr. Steal.,33,48
14:59,202,Darien Jackson missed Three Point Jumper.,33,48
14:59,202,Martins Igbanu Offensive Rebound.,33,48
14:56,202,Martins Igbanu made Layup.,33,50
14:36,2504,Dennis Jones made Three Point Jumper.,36,50
14:27,2504,Prairie View A&M  Timeout,36,50
14:27,202,Official TV Timeout,36,50
14:08,202,Darien Jackson made Layup.,36,52
13:54,2504,Shaquille Preston Turnover.,36,52
13:54,2504,Foul on Shaquille Preston.,36,52
13:31,202,Junior Etou missed Jumper.,36,52
13:31,2504,Iwin Ellis Defensive Rebound.,36,52
13:28,202,Foul on Geno Artison.,36,52
13:16,202,Foul on Darien Jackson.,36,52
13:10,2504,Troy Thompson missed Three Point Jumper.,36,52
13:10,2504,JD Wallace Offensive Rebound.,36,52
12:54,202,Foul on Jaleel Wheeler.,36,52
12:54,2504,Zachary Hamilton missed Three Point Jumper.,36,52
12:54,2504,Prairie View A&M Offensive Rebound.,36,52
12:54,202,Foul on Jaleel Wheeler.,36,52
12:50,2504,Shaquille Preston Turnover.,36,52
12:40,202,Jaleel Wheeler missed Jumper.,36,52
12:40,2504,Shaquille Preston Defensive Rebound.,36,52
12:28,202,Foul on Elijah Joiner.,36,52
12:28,2504,Dennis Jones missed Free Throw.,36,52
12:28,2504,Prairie View A&M Deadball Team Rebound.,36,52
12:28,2504,Dennis Jones missed Free Throw.,36,52
12:28,202,Martins Igbanu Defensive Rebound.,36,52
12:04,202,Geno Artison missed Three Point Jumper.,36,52
12:04,2504,Jordan Lumpkins Defensive Rebound.,36,52
11:53,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,39,52
11:36,2504,Foul on Dennis Jones.,39,52
11:36,202,Elijah Joiner missed Free Throw.,39,52
11:36,2504,Zachary Hamilton Defensive Rebound.,39,52
11:22,2504,JD Wallace missed Jumper.,39,52
11:22,202,Martins Igbanu Defensive Rebound.,39,52
11:15,202,Martins Igbanu made Layup. Assisted by Elijah Joiner.,39,54
11:01,2504,Dennis Jones made Layup.,41,54
10:52,202,Junior Etou made Layup. Assisted by Elijah Joiner.,41,56
10:32,2504,Zachary Hamilton missed Jumper.,41,56
10:32,2504,Zachary Hamilton Offensive Rebound.,41,56
10:30,202,Foul on Martins Igbanu.,41,56
10:30,2504,Zachary Hamilton made Free Throw.,42,56
10:30,2504,Zachary Hamilton made Free Throw.,43,56
10:14,202,Sterling Taplin Turnover.,43,56
10:13,2504,Zachary Hamilton Steal.,43,56
10:08,2504,Shaquille Preston missed Jumper.,43,56
10:08,202,Lawson Korita Defensive Rebound.,43,56
9:56,202,Corey Henderson Jr. missed Three Point Jumper.,43,56
9:56,2504,JD Wallace Defensive Rebound.,43,56
9:34,2504,Shaquille Preston missed Three Point Jumper.,43,56
9:34,202,Sterling Taplin Defensive Rebound.,43,56
9:25,202,Sterling Taplin missed Jumper.,43,56
9:25,2504,JD Wallace Defensive Rebound.,43,56
9:05,2504,Zachary Hamilton missed Three Point Jumper.,43,56
9:05,202,Tulsa Defensive Rebound.,43,56
8:54,202,Sterling Taplin Turnover.,43,56
8:54,202,Foul on Sterling Taplin.,43,56
8:44,2504,Gary Blackston made Three Point Jumper. Assisted by Dennis Jones.,46,56
8:22,202,Lawson Korita made Layup.,46,58
8:03,2504,Zachary Hamilton missed Three Point Jumper.,46,58
8:03,202,Junior Etou Defensive Rebound.,46,58
7:56,202,Lawson Korita missed Three Point Jumper.,46,58
7:56,2504,Keion Alexander Defensive Rebound.,46,58
7:46,2504,Gary Blackston made Layup.,48,58
7:24,2504,Foul on Gary Blackston.,48,58
7:24,202,Official TV Timeout,48,58
7:24,202,Elijah Joiner made Free Throw.,48,59
7:24,202,Elijah Joiner made Free Throw.,48,60
7:16,202,Foul on Lawson Korita.,48,60
7:16,2504,Shaquille Preston missed Free Throw.,48,60
7:16,2504,Prairie View A&M Offensive Rebound.,48,60
7:16,202,Foul on Lawson Korita.,48,60
7:16,2504,Dennis Jones made Free Throw.,49,60
7:16,2504,Dennis Jones missed Free Throw.,49,60
7:16,202,Lawson Korita Defensive Rebound.,49,60
7:16,2504,Foul on Iwin Ellis.,49,60
7:16,202,Junior Etou made Free Throw.,49,61
7:16,202,Junior Etou made Free Throw.,49,62
6:59,2504,Dennis Jones Turnover.,49,62
6:46,202,Junior Etou Turnover.,49,62
6:34,2504,Troy Thompson missed Three Point Jumper.,49,62
6:34,202,Tulsa Defensive Rebound.,49,62
6:01,202,Elijah Joiner missed Three Point Jumper.,49,62
6:01,2504,JD Wallace Defensive Rebound.,49,62
5:52,2504,Iwin Ellis made Layup. Assisted by Dennis Jones.,51,62
5:33,2504,Foul on Jordan Lumpkins.,51,62
5:31,202,Junior Etou made Free Throw.,51,63
5:31,202,Junior Etou missed Free Throw.,51,63
5:31,202,Sterling Taplin Offensive Rebound.,51,63
5:31,202,Geno Artison missed Jumper.,51,63
5:31,2504,Zachary Hamilton Defensive Rebound.,51,63
5:31,2504,JD Wallace made Jumper.,53,63
4:47,202,Corey Henderson Jr. missed Jumper.,53,63
4:47,2504,JD Wallace Defensive Rebound.,53,63
4:41,2504,Zachary Hamilton made Three Point Jumper. Assisted by Dennis Jones.,56,63
4:27,202,Sterling Taplin Turnover.,56,63
4:27,202,Foul on Sterling Taplin.,56,63
4:04,2504,Troy Thompson made Three Point Jumper. Assisted by Zachary Hamilton.,59,63
3:40,202,Jaleel Wheeler missed Jumper.,59,63
3:40,202,Junior Etou Offensive Rebound.,59,63
3:39,2504,Foul on Zachary Hamilton.,59,63
3:39,202,Official TV Timeout,59,63
3:39,202,Junior Etou made Free Throw.,59,64
3:39,202,Junior Etou made Free Throw.,59,65
3:19,2504,Troy Thompson missed Three Point Jumper.,59,65
3:19,202,Corey Henderson Jr. Defensive Rebound.,59,65
2:53,202,Junior Etou missed Jumper.,59,65
2:53,2504,JD Wallace Defensive Rebound.,59,65
2:44,2504,JD Wallace made Dunk. Assisted by Dennis Jones.,61,65
2:22,2504,Foul on Zachary Hamilton.,61,65
2:22,202,Corey Henderson Jr. made Free Throw.,61,66
2:22,202,Corey Henderson Jr. made Free Throw.,61,67
2:10,2504,Dennis Jones made Layup.,63,67
1:54,2504,Foul on Zachary Hamilton.,63,67
1:54,202,Corey Henderson Jr. made Free Throw.,63,68
1:54,202,Corey Henderson Jr. made Free Throw.,63,69
1:45,2504,Troy Thompson missed Three Point Jumper.,63,69
1:45,2504,JD Wallace Offensive Rebound.,63,69
1:44,202,Foul on Junior Etou.,63,69
1:44,2504,JD Wallace made Free Throw.,64,69
1:44,2504,JD Wallace made Free Throw.,65,69
1:31,202,Jaleel Wheeler Turnover.,65,69
1:31,202,Foul on Jaleel Wheeler.,65,69
1:23,2504,Shaquille Preston made Three Point Jumper. Assisted by Dennis Jones.,68,69
0:53,202,Geno Artison made Three Point Jumper. Assisted by Junior Etou.,68,72
0:52,202,Tulsa  Timeout,68,72
0:46,2504,Dennis Jones Turnover.,68,72
0:46,2504,Foul on Dennis Jones.,68,72
0:32,2504,Foul on Dennis Jones.,68,72
0:32,202,Corey Henderson Jr. made Free Throw.,68,73
0:32,202,Corey Henderson Jr. made Free Throw.,68,74
0:27,2504,Troy Thompson made Three Point Jumper.,71,74
0:26,2504,Prairie View A&M  Timeout,71,74
0:22,2504,Foul on Troy Thompson.,71,74
0:22,202,Corey Henderson Jr. made Free Throw.,71,75
0:22,202,Corey Henderson Jr. missed Free Throw.,71,75
0:22,2504,JD Wallace Defensive Rebound.,71,75
0:17,2504,Troy Thompson missed Three Point Jumper.,71,75
0:17,202,Jaleel Wheeler Defensive Rebound.,71,75
0:10,2504,Foul on Austin Starr.,71,75
0:10,202,Jaleel Wheeler made Free Throw.,71,76
0:10,202,Jaleel Wheeler made Free Throw.,71,77
0:05,2504,Troy Thompson missed Three Point Jumper.,71,77
0:05,2504,Juan Hood Offensive Rebound.,71,77
0:01,2504,Juan Hood made Jumper.,73,77
0:00,202,End of Game,73,77
