Texas Southern,239,Baylor,2640
11:58,2640,Lamont Walker Defensive Rebound.,14,16
11:47,239,Foul on Tyson Jolly.,14,16
11:47,239,Official TV Timeout,14,16
11:47,2640,Robert Lewis made Free Throw.,15,16
11:47,2640,Robert Lewis missed Free Throw.,15,16
11:47,239,Tyson Jolly Defensive Rebound.,15,16
11:34,239,Mark Vital Turnover.,15,16
11:34,2640,Brian Carey Steal.,15,16
11:21,2640,Demontrae Jefferson Turnover.,15,16
11:13,239,Jo Lual-Acuil Jr. made Layup. Assisted by Mark Vital.,15,18
10:56,2640,Demontrae Jefferson missed Three Point Jumper.,15,18
10:56,239,Mark Vital Defensive Rebound.,15,18
10:42,239,Foul on King McClure.,15,18
10:42,239,King McClure Turnover.,15,18
10:14,239,Foul on Tyson Jolly.,15,18
10:14,2640,Trayvon Reed made Free Throw.,16,18
10:14,2640,Trayvon Reed made Free Throw.,17,18
10:03,2640,Foul on Trayvon Reed.,17,18
9:59,239,Manu Lecomte missed Jumper.,17,18
9:59,239,Jo Lual-Acuil Jr. Offensive Rebound.,17,18
9:59,239,Jo Lual-Acuil Jr. made Two Point Tip Shot.,17,20
9:35,2640,Robert Lewis missed Three Point Jumper.,17,20
9:35,239,King McClure Defensive Rebound.,17,20
9:26,239,Jo Lual-Acuil Jr. made Jumper. Assisted by King McClure.,17,22
9:21,2640,Texas Southern  Timeout,17,22
9:15,2640,Donte Clark made Three Point Jumper. Assisted by Brian Carey.,20,22
8:55,239,Manu Lecomte missed Three Point Jumper.,20,22
8:55,2640,Derrick Bruce Defensive Rebound.,20,22
8:46,2640,Derrick Bruce missed Layup.,20,22
8:46,239,Jo Lual-Acuil Jr. Block.,20,22
8:46,2640,Texas Southern Offensive Rebound.,20,22
8:31,2640,Demontrae Jefferson missed Three Point Jumper.,20,22
8:31,239,Manu Lecomte Defensive Rebound.,20,22
8:19,2640,Foul on Donte Clark.,20,22
8:18,239,Tristan Clark made Layup. Assisted by Manu Lecomte.,20,24
7:51,2640,Donte Clark missed Jumper.,20,24
7:51,239,Manu Lecomte Defensive Rebound.,20,24
7:43,239,Manu Lecomte Turnover.,20,24
7:43,2640,Derrick Bruce Steal.,20,24
7:38,2640,Demontrae Jefferson made Layup. Assisted by Derrick Bruce.,22,24
7:13,2640,Foul on Brian Carey.,22,24
7:13,239,Official TV Timeout,22,24
7:06,239,Manu Lecomte made Three Point Jumper. Assisted by Nuni Omot.,22,27
7:06,2640,Foul on Demontrae Jefferson.,22,27
7:06,239,Manu Lecomte made Free Throw.,22,28
6:58,2640,Demontrae Jefferson Turnover.,22,28
6:58,239,Jo Lual-Acuil Jr. Steal.,22,28
6:55,239,Nuni Omot made Dunk. Assisted by King McClure.,22,30
6:45,2640,Lamont Walker missed Layup.,22,30
6:45,239,Nuni Omot Block.,22,30
6:45,2640,Lamont Walker Offensive Rebound.,22,30
6:45,239,Jo Lual-Acuil Jr. Block.,22,30
6:38,2640,Lamont Walker missed Layup.,22,30
6:38,239,Jo Lual-Acuil Jr. Defensive Rebound.,22,30
6:36,239,Jump Ball won by Baylor,22,30
6:18,239,Manu Lecomte missed Three Point Jumper.,22,30
6:18,239,King McClure Offensive Rebound.,22,30
6:04,239,Jo Lual-Acuil Jr. missed Jumper.,22,30
6:04,239,Tristan Clark Offensive Rebound.,22,30
6:04,239,Tristan Clark made Two Point Tip Shot.,22,32
5:35,2640,Donte Clark made Jumper.,24,32
5:16,239,Tristan Clark missed Layup.,24,32
5:16,2640,Demontrae Jefferson Defensive Rebound.,24,32
4:57,2640,Marquis Salmon missed Dunk.,24,32
4:57,239,Tristan Clark Block.,24,32
4:57,239,Tristan Clark Defensive Rebound.,24,32
4:44,239,Jo Lual-Acuil Jr. made Dunk.,24,34
4:29,239,Foul on Jo Lual-Acuil Jr..,24,34
4:25,2640,Marquis Salmon Turnover.,24,34
4:05,2640,Foul on Marquis Salmon.,24,34
4:05,239,Tristan Clark made Free Throw.,24,35
4:05,239,Tristan Clark missed Free Throw.,24,35
4:05,239,Tyson Jolly Offensive Rebound.,24,35
4:04,239,Tyson Jolly missed Layup.,24,35
4:04,2640,Marquis Salmon Defensive Rebound.,24,35
4:02,239,Foul on Tyson Jolly.,24,35
3:55,2640,Demontrae Jefferson missed Jumper.,24,35
3:55,2640,Lamont Walker Offensive Rebound.,24,35
3:47,2640,Texas Southern  Timeout,24,35
3:42,2640,Donte Clark made Three Point Jumper. Assisted by Demontrae Jefferson.,27,35
3:17,2640,Foul on Marquis Salmon.,27,35
3:17,239,Mark Vital missed Free Throw.,27,35
3:17,239,Baylor Deadball Team Rebound.,27,35
3:17,239,Mark Vital made Free Throw.,27,36
3:01,2640,Robert Lewis missed Three Point Jumper.,27,36
3:01,2640,Donte Clark Offensive Rebound.,27,36
2:53,2640,Demontrae Jefferson made Three Point Jumper. Assisted by Donte Clark.,30,36
2:31,239,Tristan Clark made Layup.,30,38
2:31,2640,Foul on Marquis Salmon.,30,38
2:31,239,Tristan Clark missed Free Throw.,30,38
2:31,2640,Marquis Salmon Defensive Rebound.,30,38
2:05,2640,Marquis Salmon Turnover.,30,38
1:56,239,King McClure Turnover.,30,38
1:56,2640,Marquis Salmon Steal.,30,38
1:47,2640,Brian Carey missed Three Point Jumper.,30,38
1:47,2640,Donte Clark Offensive Rebound.,30,38
1:28,2640,Demontrae Jefferson made Layup.,32,38
1:04,239,King McClure made Three Point Jumper. Assisted by Nuni Omot.,32,41
0:32,2640,Robert Lewis Turnover.,32,41
0:32,239,Manu Lecomte Steal.,32,41
0:05,239,Manu Lecomte made Jumper.,32,43
0:00,239,End of 1st half,32,43
20:00,2640,Jump Ball won by Texas Southern,32,43
19:46,2640,Lamont Walker made Three Point Jumper. Assisted by Derrick Bruce.,35,43
19:19,239,Tristan Clark made Jumper.,35,45
19:02,2640,Donte Clark made Layup.,37,45
18:48,239,Jo Lual-Acuil Jr. missed Layup.,37,45
18:48,2640,Trayvon Reed Block.,37,45
18:48,239,Baylor Offensive Rebound.,37,45
18:44,239,Foul on Tristan Clark.,37,45
18:44,239,Tristan Clark Turnover.,37,45
18:35,239,Foul on Manu Lecomte.,37,45
18:29,2640,Demontrae Jefferson Turnover.,37,45
18:29,239,Nuni Omot Steal.,37,45
18:21,2640,Foul on Demontrae Jefferson.,37,45
18:21,239,Manu Lecomte made Free Throw.,37,46
18:21,239,Manu Lecomte made Free Throw.,37,47
18:13,239,Foul on Manu Lecomte.,37,47
18:10,2640,Demontrae Jefferson missed Jumper.,37,47
18:10,239,Jo Lual-Acuil Jr. Defensive Rebound.,37,47
17:57,239,King McClure made Three Point Jumper. Assisted by Tristan Clark.,37,50
17:28,2640,Donte Clark Turnover.,37,50
17:14,239,Manu Lecomte made Three Point Jumper. Assisted by Nuni Omot.,37,53
17:03,2640,Derrick Bruce missed Jumper.,37,53
17:03,239,Baylor Deadball Team Rebound.,37,53
16:56,2640,Foul on Donte Clark.,37,53
16:50,239,Nuni Omot made Dunk. Assisted by Manu Lecomte.,37,55
16:32,2640,Lamont Walker missed Three Point Jumper.,37,55
16:32,239,Baylor Defensive Rebound.,37,55
16:16,239,Jo Lual-Acuil Jr. Turnover.,37,55
16:06,2640,Demontrae Jefferson missed Jumper.,37,55
16:06,239,Tristan Clark Defensive Rebound.,37,55
15:51,239,Official TV Timeout,37,55
15:38,239,Nuni Omot made Layup.,37,57
15:13,2640,Demontrae Jefferson Turnover.,37,57
15:13,239,Manu Lecomte Steal.,37,57
15:07,239,Nuni Omot made Three Point Jumper. Assisted by Manu Lecomte.,37,60
14:32,2640,Lamont Walker missed Jumper.,37,60
14:32,239,Nuni Omot Defensive Rebound.,37,60
14:19,239,Jo Lual-Acuil Jr. made Layup. Assisted by King McClure.,37,62
13:59,2640,Trayvon Reed missed Layup.,37,62
13:59,2640,Trayvon Reed Offensive Rebound.,37,62
13:56,2640,Trayvon Reed missed Layup.,37,62
13:56,2640,Trayvon Reed Offensive Rebound.,37,62
13:52,2640,Trayvon Reed made Free Throw.,39,62
13:52,239,Foul on Tristan Clark.,37,62
13:52,2640,Trayvon Reed made Free Throw.,38,62
13:35,239,Jo Lual-Acuil Jr. missed Jumper.,39,62
13:35,2640,Trayvon Reed Block.,39,62
13:35,239,Baylor Offensive Rebound.,39,62
13:26,239,Foul on King McClure.,39,62
13:26,239,King McClure Turnover.,39,62
13:08,2640,Marquis Salmon made Layup.,41,62
12:54,239,Nuni Omot made Jumper.,41,64
12:44,239,Foul on King McClure.,41,64
12:44,2640,Demontrae Jefferson made Free Throw.,42,64
12:44,2640,Demontrae Jefferson made Free Throw.,43,64
12:29,2640,Foul on Robert Lewis.,43,64
12:28,239,Nuni Omot made Dunk. Assisted by Jake Lindsey.,43,66
12:15,2640,Brian Carey Turnover.,43,66
12:09,2640,Foul on Brian Carey.,43,66
11:53,239,Nuni Omot missed Jumper.,43,66
11:53,2640,Marquis Salmon Defensive Rebound.,43,66
11:33,2640,Demontrae Jefferson missed Jumper.,43,66
11:33,239,Tristan Clark Block.,43,66
11:33,2640,Marquis Salmon Offensive Rebound.,43,66
11:22,2640,Brian Carey missed Layup.,43,66
11:22,239,Mark Vital Defensive Rebound.,43,66
11:17,239,Jake Lindsey made Layup. Assisted by Mark Vital.,43,68
11:17,2640,Foul on Donte Clark.,43,68
11:17,239,Official TV Timeout,43,68
11:17,239,Jake Lindsey missed Free Throw.,43,68
11:17,2640,Brian Carey Defensive Rebound.,43,68
11:03,2640,Demontrae Jefferson made Three Point Jumper.,46,68
10:36,239,Jo Lual-Acuil Jr. missed Jumper.,46,68
10:36,239,Tristan Clark Offensive Rebound.,46,68
10:20,239,Manu Lecomte made Jumper.,46,70
9:52,239,Foul on Jo Lual-Acuil Jr..,46,70
9:52,2640,Brian Carey made Free Throw.,47,70
9:52,2640,Brian Carey made Free Throw.,48,70
9:44,239,Jo Lual-Acuil Jr. missed Jumper.,48,70
9:44,2640,Marquis Salmon Defensive Rebound.,48,70
9:34,2640,Demontrae Jefferson made Layup.,50,70
9:22,239,Manu Lecomte missed Three Point Jumper.,50,70
9:22,239,Mark Vital Offensive Rebound.,50,70
9:18,239,Mark Vital missed Jumper.,50,70
9:18,239,Jo Lual-Acuil Jr. Offensive Rebound.,50,70
9:14,239,Jo Lual-Acuil Jr. made Jumper.,50,72
8:48,2640,Texas Southern  Timeout,50,72
8:44,2640,Brian Carey Turnover.,50,72
8:44,239,Nuni Omot Steal.,50,72
8:34,239,King McClure missed Three Point Jumper.,50,72
8:34,2640,Cainan McClelland Defensive Rebound.,50,72
8:29,239,Foul on Tristan Clark.,50,72
8:29,2640,Cainan McClelland made Free Throw.,51,72
8:29,2640,Cainan McClelland made Free Throw.,52,72
8:22,239,Nuni Omot made Layup. Assisted by Tristan Clark.,52,74
7:56,2640,Trayvon Reed made Dunk. Assisted by Lamont Walker.,54,74
7:38,239,Jo Lual-Acuil Jr. made Jumper. Assisted by King McClure.,54,76
7:22,2640,Cainan McClelland missed Three Point Jumper.,54,76
7:22,239,King McClure Defensive Rebound.,54,76
7:16,239,King McClure Turnover.,54,76
7:16,2640,Demontrae Jefferson Steal.,54,76
7:02,2640,Demontrae Jefferson missed Jumper.,54,76
7:02,239,Tristan Clark Defensive Rebound.,54,76
6:55,239,Jump Ball won by Baylor,54,76
6:55,239,Official TV Timeout,54,76
6:48,239,King McClure missed Three Point Jumper.,54,76
6:48,239,Baylor Deadball Team Rebound.,54,76
6:48,2640,Foul on Trayvon Reed.,54,76
6:42,239,Manu Lecomte made Jumper.,54,78
6:25,2640,Trayvon Reed missed Dunk.,54,78
6:25,2640,Lamont Walker Offensive Rebound.,54,78
6:25,2640,Lamont Walker Turnover.,54,78
6:25,239,King McClure Steal.,54,78
6:17,239,Jo Lual-Acuil Jr. made Dunk. Assisted by King McClure.,54,80
5:50,2640,Brian Carey made Jumper. Assisted by Demontrae Jefferson.,56,80
5:39,2640,Foul on Brian Carey.,56,80
5:39,239,Manu Lecomte made Free Throw.,56,81
5:39,239,Manu Lecomte made Free Throw.,56,82
5:28,2640,Lamont Walker missed Jumper.,56,82
5:28,239,Jake Lindsey Block.,56,82
5:28,239,Jo Lual-Acuil Jr. Defensive Rebound.,56,82
5:16,239,Jake Lindsey made Layup.,56,84
5:04,2640,Brian Carey Turnover.,56,84
4:57,239,Jake Lindsey made Three Point Jumper. Assisted by Manu Lecomte.,56,87
4:42,2640,Demontrae Jefferson made Three Point Jumper.,59,87
4:26,239,Mark Vital made Jumper.,59,89
4:13,2640,Demontrae Jefferson made Jumper.,61,89
3:56,239,Mark Vital Turnover.,61,89
3:56,239,Official TV Timeout,61,89
3:49,2640,Brian Carey made Jumper.,63,89
3:22,239,Jake Lindsey made Layup.,63,91
2:46,2640,Demontrae Jefferson Turnover.,63,91
2:42,239,Mark Vital made Dunk. Assisted by Jonathan Davis.,63,93
2:11,239,Foul on Obim Okeke.,63,93
2:11,2640,Demontrae Jefferson missed Free Throw.,63,93
2:11,2640,Texas Southern Deadball Team Rebound.,63,93
2:11,2640,Demontrae Jefferson missed Free Throw.,63,93
2:11,2640,Texas Southern Deadball Team Rebound.,63,93
2:11,2640,Demontrae Jefferson made Free Throw.,64,93
2:04,239,Jonathan Davis made Three Point Jumper. Assisted by Mark Vital.,64,96
1:38,2640,Demontrae Jefferson missed Three Point Jumper.,64,96
1:38,2640,Trayvon Reed Offensive Rebound.,64,96
1:34,2640,Trayvon Reed missed Jumper.,64,96
1:34,239,Mark Vital Defensive Rebound.,64,96
1:27,239,Obim Okeke missed Three Point Jumper.,64,96
1:27,2640,Lamont Walker Defensive Rebound.,64,96
1:14,2640,Brian Carey missed Layup.,64,96
1:14,239,Tristan Clark Defensive Rebound.,64,96
1:04,239,Obim Okeke missed Jumper.,64,96
1:04,2640,Trayvon Reed Defensive Rebound.,64,96
0:51,2640,Demontrae Jefferson missed Layup.,64,96
0:51,2640,Cainan McClelland Offensive Rebound.,64,96
0:50,239,Foul on Tristan Clark.,64,96
0:50,2640,Cainan McClelland made Free Throw.,65,96
0:50,2640,Cainan McClelland missed Free Throw.,65,96
0:50,239,Mark Vital Defensive Rebound.,65,96
0:46,239,Mark Vital Turnover.,65,96
0:46,2640,Lamont Walker Steal.,65,96
0:45,2640,Lamont Walker missed Jumper.,65,96
0:45,239,Mark Vital Defensive Rebound.,65,96
0:33,239,Obim Okeke made Three Point Jumper.,65,99
0:12,2640,Brian Carey made Three Point Jumper.,68,99
0:00,239,End of Game,68,99
