Mid-Atlantic Christian,Error,Norfolk State,2450
9:38,-1,Colin Cunningham missed Three Point Jumper.,8,31
9:38,2450,Preston Bungei Defensive Rebound.,8,31
9:29,2450,Kyle Williams missed Three Point Jumper.,8,31
9:29,2450,Alex Long Offensive Rebound.,8,31
9:25,2450,Preston Bungei made Layup. Assisted by Alex Long.,8,33
9:24,2450,Norfolk State  Timeout,8,33
9:09,-1,Colin Cunningham Turnover.,8,33
9:09,2450,Kyle Williams Steal.,8,33
8:48,2450,Steven Whitley missed Layup.,8,33
8:48,2450,Dan Robinson Offensive Rebound.,8,33
8:46,2450,Dan Robinson missed Two Point Tip Shot.,8,33
8:46,2450,Dan Robinson Offensive Rebound.,8,33
8:44,2450,Dan Robinson missed Layup.,8,33
8:44,2450,Dan Robinson Offensive Rebound.,8,33
8:42,2450,Dan Robinson missed Layup.,8,33
8:42,2450,Steven Whitley Offensive Rebound.,8,33
8:38,2450,Steven Whitley made Layup.,8,35
8:28,2450,Foul on Dan Robinson.,8,35
8:25,-1,Grayson Tejeda missed Jumper.,8,35
8:25,-1,Dixon Ogwo Offensive Rebound.,8,35
8:22,-1,Dixon Ogwo made Layup.,10,35
8:10,2450,Alex Long missed Jumper.,10,35
8:10,-1,Alex Stanley Defensive Rebound.,10,35
8:00,-1,Alex Stanley missed Jumper.,10,35
8:00,2450,Kyle Williams Defensive Rebound.,10,35
7:53,2450,Dan Robinson missed Layup.,10,35
7:53,-1,Dixon Ogwo Block.,10,35
7:50,-1,Colin Cunningham Defensive Rebound.,10,35
7:48,-1,Colin Cunningham Turnover.,10,35
7:47,2450,Alex Long Steal.,10,35
7:47,2450,Alex Long made Layup.,10,37
7:47,-1,Foul on Dixon Ogwo.,10,37
7:47,2450,Official TV Timeout,10,37
7:47,2450,Alex Long made Free Throw.,10,38
7:28,-1,Maurice Anderson missed Jumper.,10,38
7:28,2450,Preston Bungei Defensive Rebound.,10,38
7:05,2450,Stavian Allen missed Three Point Jumper.,10,38
7:05,2450,Preston Bungei Offensive Rebound.,10,38
7:04,-1,Foul on Leander Williams.,10,38
7:04,2450,Preston Bungei made Free Throw.,10,39
7:04,2450,Preston Bungei made Free Throw.,10,40
6:52,-1,DaQuon Copeland Turnover.,10,40
6:32,2450,Alex Long made Layup. Assisted by Dan Robinson.,10,42
6:12,-1,Alex Stanley missed Layup.,10,42
6:12,2450,Alex Long Defensive Rebound.,10,42
6:02,2450,Dan Robinson made Layup. Assisted by Alex Long.,10,44
6:02,-1,Foul on DaQuon Copeland.,10,44
6:02,-1,Mid-Atlantic Christian  Timeout,10,44
6:02,2450,Dan Robinson made Free Throw.,10,45
5:47,-1,DaQuon Copeland made Three Point Jumper. Assisted by Jaelin Thomas.,13,45
5:23,2450,Derrik Jamerson Jr. missed Layup.,13,45
5:23,2450,Derrik Jamerson Jr. Offensive Rebound.,13,45
5:21,2450,Derrik Jamerson Jr. made Layup.,13,47
5:15,-1,Colin Cunningham missed Layup.,13,47
5:15,2450,Stavian Allen Block.,13,47
5:13,2450,Mastadi Pitt Defensive Rebound.,13,47
5:08,2450,Derrik Jamerson Jr. made Layup. Assisted by Mastadi Pitt.,13,49
4:50,-1,Colin Cunningham missed Three Point Jumper.,13,49
4:50,2450,Steven Whitley Defensive Rebound.,13,49
4:38,2450,Mastadi Pitt made Three Point Jumper. Assisted by Stavian Allen.,13,52
4:19,-1,Colin Cunningham missed Three Point Jumper.,13,52
4:19,2450,Steven Whitley Defensive Rebound.,13,52
4:12,2450,Derrik Jamerson Jr. missed Three Point Jumper.,13,52
4:12,2450,Alex Long Offensive Rebound.,13,52
4:06,2450,Steven Whitley missed Three Point Jumper.,13,52
4:06,2450,Alex Long Offensive Rebound.,13,52
4:01,2450,Alex Long made Layup.,13,54
3:30,-1,Jaelin Thomas missed Three Point Jumper.,13,54
3:30,2450,Steven Whitley Defensive Rebound.,13,54
3:24,2450,Steven Whitley Turnover.,13,54
3:23,-1,Alex Stanley Steal.,13,54
3:12,-1,Maurice Anderson missed Three Point Jumper.,13,54
3:12,2450,Steven Whitley Defensive Rebound.,13,54
3:04,2450,Mastadi Pitt made Layup.,13,56
2:52,-1,Jaelin Thomas Turnover.,13,56
2:52,2450,Official TV Timeout,13,56
2:38,2450,Mastadi Pitt missed Three Point Jumper.,13,56
2:38,2450,Derrik Jamerson Jr. Offensive Rebound.,13,56
2:15,2450,Mastadi Pitt missed Jumper.,13,56
2:15,2450,Bryan Gellineau Offensive Rebound.,13,56
2:12,2450,Bryan Gellineau made Layup.,13,58
2:05,-1,DaQuon Copeland missed Layup.,13,58
2:05,2450,Bryan Gellineau Defensive Rebound.,13,58
1:54,2450,Stavian Allen missed Three Point Jumper.,13,58
1:54,-1,Markel Ming Defensive Rebound.,13,58
1:38,-1,Alex Stanley missed Three Point Jumper.,13,58
1:38,2450,Preston Bungei Defensive Rebound.,13,58
1:31,2450,Preston Bungei missed Layup.,13,58
1:31,-1,Alex Stanley Defensive Rebound.,13,58
1:06,2450,Foul on Mastadi Pitt.,13,58
1:06,-1,Markel Ming made Free Throw.,14,58
1:06,-1,Markel Ming made Free Throw.,15,58
0:49,2450,Derrik Jamerson Jr. missed Three Point Jumper.,15,58
0:49,2450,Preston Bungei Offensive Rebound.,15,58
0:43,2450,Preston Bungei made Two Point Tip Shot.,15,60
0:21,-1,Timothy DeLaRosa missed Jumper.,15,60
0:21,2450,Stavian Allen Defensive Rebound.,15,60
0:04,2450,Mastadi Pitt Turnover.,15,60
0:01,-1,Grayson Tejeda missed Three Point Jumper.,15,60
0:01,2450,Bryan Gellineau Defensive Rebound.,15,60
0:00,2450,End of 1st half,15,60
19:53,2450,Kyle Williams missed Three Point Jumper.,15,60
19:53,-1,Jaelin Thomas Defensive Rebound.,15,60
19:27,-1,Leander Williams missed Three Point Jumper.,15,60
19:27,2450,Steven Whitley Defensive Rebound.,15,60
19:18,2450,Kyle Williams made Three Point Jumper. Assisted by Steven Whitley.,15,63
19:11,-1,Alex Stanley made Layup. Assisted by Grayson Tejeda.,17,63
18:48,2450,Alex Long made Layup. Assisted by Kyle Williams.,17,65
18:16,-1,Dixon Ogwo made Layup.,19,65
18:02,2450,Derrik Jamerson Jr. missed Three Point Jumper.,19,65
18:02,-1,Alex Stanley Defensive Rebound.,19,65
17:53,-1,Leander Williams missed Three Point Jumper.,19,65
17:53,2450,Steven Whitley Defensive Rebound.,19,65
17:41,-1,Foul on Jaelin Thomas.,19,65
17:41,2450,Dan Robinson made Free Throw.,19,66
17:41,2450,Dan Robinson missed Free Throw.,19,66
17:41,-1,Alex Stanley Defensive Rebound.,19,66
17:28,-1,Jaelin Thomas made Three Point Jumper.,22,66
17:18,2450,Dan Robinson Turnover.,22,66
17:18,2450,Foul on Dan Robinson.,22,66
17:01,-1,Jaelin Thomas missed Jumper.,22,66
17:01,2450,Preston Bungei Defensive Rebound.,22,66
16:53,2450,Kyle Williams Turnover.,22,66
16:51,-1,Timothy DeLaRosa Steal.,22,66
16:46,-1,Jaelin Thomas made Three Point Jumper. Assisted by Grayson Tejeda.,25,66
16:40,2450,Norfolk State  Timeout,25,66
16:40,2450,Official TV Timeout,25,66
16:23,2450,Alex Long made Jumper. Assisted by Preston Bungei.,25,68
16:06,-1,Jaelin Thomas made Three Point Jumper. Assisted by Grayson Tejeda.,28,68
15:51,2450,Kyle Williams missed Three Point Jumper.,28,68
15:51,-1,Dixon Ogwo Defensive Rebound.,28,68
15:39,-1,Leander Williams missed Three Point Jumper.,28,68
15:39,-1,Dixon Ogwo Offensive Rebound.,28,68
15:36,-1,Dixon Ogwo Turnover.,28,68
15:35,2450,Steven Whitley Steal.,28,68
15:33,-1,Foul on Leander Williams.,28,68
15:33,2450,Official TV Timeout,28,68
15:33,2450,Steven Whitley made Free Throw.,28,69
15:33,2450,Steven Whitley made Free Throw.,28,70
15:18,-1,Dixon Ogwo Turnover.,28,70
15:17,2450,Steven Whitley Steal.,28,70
15:15,2450,Steven Whitley made Dunk.,28,72
15:05,-1,Alex Stanley Turnover.,28,72
15:05,2450,Mastadi Pitt Steal.,28,72
15:02,2450,Alex Long made Dunk. Assisted by Steven Whitley.,28,74
14:47,-1,Jaelin Thomas missed Three Point Jumper.,28,74
14:47,-1,Alex Stanley Offensive Rebound.,28,74
14:43,-1,Jaelin Thomas missed Jumper.,28,74
14:43,2450,Preston Bungei Defensive Rebound.,28,74
14:32,2450,Mastadi Pitt missed Three Point Jumper.,28,74
14:32,-1,Alex Stanley Defensive Rebound.,28,74
14:13,-1,Grayson Tejeda missed Layup.,28,74
14:13,2450,Dan Robinson Block.,28,74
14:12,2450,Alex Long Defensive Rebound.,28,74
14:09,-1,Foul on DaQuon Copeland.,28,74
14:09,2450,Mastadi Pitt made Free Throw.,28,75
14:09,2450,Mastadi Pitt made Free Throw.,28,76
13:48,-1,Jaelin Thomas missed Three Point Jumper.,28,76
13:48,2450,Dan Robinson Defensive Rebound.,28,76
13:20,2450,Preston Bungei made Three Point Jumper. Assisted by Mastadi Pitt.,28,79
12:57,2450,Foul on Dan Robinson.,28,79
12:57,-1,Markel Ming made Free Throw.,29,79
12:57,-1,Markel Ming missed Free Throw.,29,79
12:57,2450,Preston Bungei Defensive Rebound.,29,79
12:37,2450,Steven Whitley missed Three Point Jumper.,29,79
12:37,2450,Preston Bungei Offensive Rebound.,29,79
12:30,2450,Mastadi Pitt missed Three Point Jumper.,29,79
12:30,2450,Steven Whitley Offensive Rebound.,29,79
12:23,2450,Steven Whitley missed Jumper.,29,79
12:23,2450,Stavian Allen Offensive Rebound.,29,79
12:22,2450,Stavian Allen missed Two Point Tip Shot.,29,79
12:22,2450,Stavian Allen Offensive Rebound.,29,79
12:20,2450,Stavian Allen missed Two Point Tip Shot.,29,79
12:18,2450,Bryan Gellineau Offensive Rebound.,29,79
12:16,2450,Bryan Gellineau made Layup.,29,81
11:53,-1,Markel Ming missed Jumper.,29,81
11:53,2450,Norfolk State Defensive Rebound.,29,81
11:52,2450,Official TV Timeout,29,81
11:40,2450,Stavian Allen made Dunk. Assisted by Bryan Gellineau.,29,83
11:15,-1,Dixon Ogwo missed Layup.,29,83
11:15,2450,Bryan Gellineau Block.,29,83
11:14,2450,Steven Whitley Defensive Rebound.,29,83
11:09,2450,Steven Whitley missed Layup.,29,83
11:09,2450,Norfolk State Deadball Team Rebound.,29,83
11:09,2450,Norfolk State  Turnover.,29,83
10:50,-1,Dixon Ogwo missed Jumper.,29,83
10:50,2450,Stavian Allen Defensive Rebound.,29,83
10:42,2450,Preston Bungei made Dunk. Assisted by Steven Whitley.,29,85
10:22,-1,Foul on Dixon Ogwo.,29,85
10:22,-1,Dixon Ogwo Turnover.,29,85
10:09,2450,Stavian Allen missed Jumper.,29,85
10:09,-1,Jonathan DeLaRosa Defensive Rebound.,29,85
10:01,-1,Jonathan DeLaRosa Turnover.,29,85
10:00,2450,Preston Bungei Steal.,29,85
9:57,2450,Preston Bungei made Dunk.,29,87
9:45,2450,Foul on Preston Bungei.,29,87
9:45,-1,Jonathan DeLaRosa made Free Throw.,30,87
9:45,-1,Jonathan DeLaRosa missed Free Throw.,30,87
9:45,2450,Stavian Allen Defensive Rebound.,30,87
9:23,2450,Kyle Williams missed Three Point Jumper.,30,87
9:23,2450,Preston Bungei Offensive Rebound.,30,87
9:14,2450,Bryan Gellineau made Layup. Assisted by Mastadi Pitt.,30,89
9:02,-1,Leander Williams missed Layup.,30,89
9:02,2450,Stavian Allen Block.,30,89
9:01,2450,Preston Bungei Defensive Rebound.,30,89
8:57,2450,Preston Bungei Turnover.,30,89
8:56,-1,Markel Ming Steal.,30,89
8:54,-1,Leander Williams missed Three Point Jumper.,30,89
8:54,-1,Markel Ming Offensive Rebound.,30,89
8:46,-1,Colin Cunningham missed Three Point Jumper.,30,89
8:46,2450,Mastadi Pitt Defensive Rebound.,30,89
8:37,2450,Preston Bungei made Layup. Assisted by Kyle Williams.,30,91
8:23,-1,Jonathan DeLaRosa missed Jumper.,30,91
8:23,2450,Preston Bungei Defensive Rebound.,30,91
8:04,2450,Kyle Williams missed Three Point Jumper.,30,91
8:04,-1,DaQuon Copeland Defensive Rebound.,30,91
7:54,-1,DaQuon Copeland missed Jumper.,30,91
7:54,2450,Bryan Gellineau Defensive Rebound.,30,91
7:36,-1,Foul on Jonathan DeLaRosa.,30,91
7:36,2450,Official TV Timeout,30,91
7:36,2450,Stavian Allen made Free Throw.,30,92
7:36,2450,Stavian Allen made Free Throw.,30,93
7:18,-1,Dixon Ogwo Turnover.,30,93
6:56,2450,Mastadi Pitt missed Three Point Jumper.,30,93
6:56,-1,Colin Cunningham Defensive Rebound.,30,93
6:43,-1,Grayson Tejeda missed Jumper.,30,93
6:43,-1,Mid-Atlantic Christian Deadball Team Rebound.,30,93
6:43,2450,Foul on Mastadi Pitt.,30,93
6:38,-1,Mid-Atlantic Christian  Timeout,30,93
6:24,-1,Markel Ming made Three Point Jumper. Assisted by Timothy DeLaRosa.,33,93
6:08,2450,Derrik Jamerson Jr. made Three Point Jumper. Assisted by Mastadi Pitt.,33,96
5:35,-1,Dixon Ogwo missed Jumper.,33,96
5:35,2450,Kyle Williams Defensive Rebound.,33,96
5:18,2450,Mastadi Pitt made Three Point Jumper. Assisted by Derrik Jamerson Jr..,33,99
5:04,2450,Foul on Preston Bungei.,33,99
5:04,-1,Markel Ming missed Free Throw.,33,99
5:04,-1,Mid-Atlantic Christian Deadball Team Rebound.,33,99
5:04,-1,Markel Ming missed Free Throw.,33,99
5:04,-1,Mid-Atlantic Christian Deadball Team Rebound.,33,99
5:04,-1,Markel Ming made Free Throw.,34,99
4:52,2450,Derrik Jamerson Jr. made Three Point Jumper. Assisted by Mastadi Pitt.,34,102
4:40,-1,Dixon Ogwo Turnover.,34,102
4:25,-1,Foul on Grayson Tejeda.,34,102
4:18,2450,Bryan Gellineau made Layup. Assisted by Alex Long.,34,104
4:05,-1,Timothy DeLaRosa Turnover.,34,104
4:05,2450,Mastadi Pitt Steal.,34,104
3:51,2450,Derrik Jamerson Jr. made Three Point Jumper. Assisted by Bryan Gellineau.,34,107
3:28,-1,Emmanuel Rambert missed Three Point Jumper.,34,107
3:28,2450,Alex Long Defensive Rebound.,34,107
3:06,2450,Kyle Williams missed Three Point Jumper.,34,107
3:06,2450,Derrik Jamerson Jr. Offensive Rebound.,34,107
2:41,2450,Derrik Jamerson Jr. missed Three Point Jumper.,34,107
2:41,2450,Bryan Gellineau Offensive Rebound.,34,107
2:20,2450,Mastadi Pitt missed Three Point Jumper.,34,107
2:20,2450,Derrik Jamerson Jr. Offensive Rebound.,34,107
2:15,2450,Derrik Jamerson Jr. made Two Point Tip Shot.,34,109
2:14,2450,Norfolk State  Timeout,34,109
2:14,2450,Official TV Timeout,34,109
1:44,-1,Aaron Jackson Turnover.,34,109
1:43,2450,Derrik Jamerson Jr. Steal.,34,109
1:23,2450,Derrik Jamerson Jr. missed Three Point Jumper.,34,109
1:23,2450,Stavian Allen Offensive Rebound.,34,109
1:21,2450,Stavian Allen Turnover.,34,109
1:16,-1,Colin Cunningham missed Three Point Jumper.,34,109
1:16,2450,Steven Whitley Defensive Rebound.,34,109
0:51,2450,Derrik Jamerson Jr. made Three Point Jumper. Assisted by Stavian Allen.,34,112
0:26,-1,Emmanuel Rambert Turnover.,34,112
0:22,2450,Derrik Jamerson Jr. Steal.,34,112
0:00,2450,End of Game,34,112
