Valparaiso,77,Northwestern,2674
3:29,77,Anthony Gaines missed Layup.,21,38
3:29,77,Jordan Ash Offensive Rebound.,21,38
3:27,77,Jordan Ash made Layup.,21,40
3:24,2674,Valparaiso  Timeout,21,40
2:54,2674,Bakari Evelyn missed Jumper.,21,40
2:54,2674,Markus Golder Offensive Rebound.,21,40
2:41,2674,Jaume Sorolla Turnover.,21,40
2:41,2674,Foul on Jaume Sorolla.,21,40
2:29,77,Scottie Lindsey made Jumper. Assisted by Bryant McIntosh.,21,42
2:18,2674,Markus Golder made Three Point Jumper. Assisted by Bakari Evelyn.,24,42
2:05,77,Gavin Skelly missed Jumper.,24,42
2:05,2674,Markus Golder Defensive Rebound.,24,42
1:43,2674,Jaume Sorolla made Jumper. Assisted by Micah Bradford.,26,42
1:23,77,Gavin Skelly Turnover.,26,42
1:22,2674,Micah Bradford Steal.,26,42
1:17,2674,Bakari Evelyn missed Three Point Jumper.,26,42
1:17,77,Gavin Skelly Defensive Rebound.,26,42
1:14,77,Northwestern  Timeout,26,42
0:57,77,Gavin Skelly missed Jumper.,26,42
0:57,2674,Jaume Sorolla Block.,26,42
0:57,77,Northwestern Offensive Rebound.,26,42
0:46,77,Scottie Lindsey missed Three Point Jumper.,26,42
0:46,77,Gavin Skelly Offensive Rebound.,26,42
0:44,2674,Foul on Markus Golder.,26,42
0:44,77,Gavin Skelly missed Free Throw.,26,42
0:44,77,Northwestern Deadball Team Rebound.,26,42
0:44,77,Gavin Skelly made Free Throw.,26,43
0:27,2674,Markus Golder Turnover.,26,43
0:26,77,Bryant McIntosh Steal.,26,43
0:00,77,Jordan Ash missed Three Point Jumper.,26,43
0:00,77,Northwestern Deadball Team Rebound.,26,43
0:00,77,End of 1st half,26,43
19:30,2674,Bakari Evelyn missed Jumper.,26,43
19:30,77,Northwestern Defensive Rebound.,26,43
19:12,77,Aaron Falzon missed Jumper.,26,43
19:12,77,Dererk Pardon Offensive Rebound.,26,43
19:06,77,Dererk Pardon missed Two Point Tip Shot.,26,43
19:06,2674,Markus Golder Defensive Rebound.,26,43
19:01,2674,Markus Golder missed Layup.,26,43
19:01,77,Aaron Falzon Block.,26,43
19:00,77,Vic Law Defensive Rebound.,26,43
18:49,77,Scottie Lindsey missed Three Point Jumper.,26,43
18:49,77,Northwestern Deadball Team Rebound.,26,43
18:49,2674,Foul on Markus Golder.,26,43
18:43,77,Vic Law missed Jumper.,26,43
18:43,2674,John Kiser Defensive Rebound.,26,43
18:12,2674,Bakari Evelyn Turnover.,26,43
18:11,77,Vic Law Steal.,26,43
18:05,77,Aaron Falzon made Three Point Jumper. Assisted by Vic Law.,26,46
17:47,2674,Jaume Sorolla missed Layup.,26,46
17:47,2674,Jaume Sorolla Offensive Rebound.,26,46
17:46,77,Foul on Vic Law.,26,46
17:44,2674,Jaume Sorolla Turnover.,26,46
17:43,77,Scottie Lindsey Steal.,26,46
17:42,77,Scottie Lindsey made Layup.,26,48
17:14,2674,Jaume Sorolla Turnover.,26,48
16:57,2674,Foul on Bakari Evelyn.,26,48
16:42,77,Scottie Lindsey made Three Point Jumper. Assisted by Bryant McIntosh.,26,51
16:29,77,Foul on Bryant McIntosh.,26,51
16:29,2674,Markus Golder made Free Throw.,27,51
16:29,2674,Markus Golder made Free Throw.,28,51
16:21,77,Scottie Lindsey made Layup. Assisted by Anthony Gaines.,28,53
16:11,2674,Bakari Evelyn Turnover.,28,53
16:10,77,Bryant McIntosh Steal.,28,53
16:06,2674,Foul on Markus Golder.,28,53
16:06,77,Dererk Pardon made Free Throw.,28,54
16:06,77,Dererk Pardon made Free Throw.,28,55
15:34,2674,Derrik Smits missed Jumper.,28,55
15:34,77,Anthony Gaines Defensive Rebound.,28,55
15:25,77,Bryant McIntosh made Jumper.,28,57
14:54,2674,Derrik Smits Turnover.,28,57
14:54,2674,Foul on Derrik Smits.,28,57
14:54,77,Official TV Timeout,28,57
14:36,77,Barret Benson Turnover.,28,57
14:36,77,Foul on Barret Benson.,28,57
14:17,2674,Mileek McMillan Turnover.,28,57
14:17,77,Anthony Gaines Steal.,28,57
14:17,2674,Foul on Marten Linssen.,28,57
14:09,77,Bryant McIntosh missed Three Point Jumper.,28,57
14:09,77,Barret Benson Offensive Rebound.,28,57
13:51,77,Gavin Skelly made Three Point Jumper. Assisted by Bryant McIntosh.,28,60
13:39,77,Foul on Barret Benson.,28,60
13:39,2674,Mileek McMillan Turnover.,28,60
13:39,2674,Foul on Mileek McMillan.,28,60
13:26,2674,Foul on Mileek McMillan.,28,60
13:26,77,Anthony Gaines made Free Throw.,28,61
13:26,77,Anthony Gaines made Free Throw.,28,62
13:13,77,Foul on Vic Law.,28,62
13:07,2674,Micah Bradford made Layup.,30,62
12:50,2674,Foul on Markus Golder.,30,62
12:50,77,Barret Benson made Free Throw.,30,63
12:50,77,Barret Benson missed Free Throw.,30,63
12:50,2674,John Kiser Defensive Rebound.,30,63
12:34,2674,Marten Linssen missed Layup.,30,63
12:34,2674,Marten Linssen Offensive Rebound.,30,63
12:33,77,Foul on Barret Benson.,30,63
12:33,2674,Marten Linssen missed Free Throw.,30,63
12:33,2674,Valparaiso Deadball Team Rebound.,30,63
12:33,2674,Marten Linssen missed Free Throw.,30,63
12:33,77,Gavin Skelly Defensive Rebound.,30,63
12:09,2674,Foul on Bakari Evelyn.,30,63
12:09,77,Scottie Lindsey made Free Throw.,30,64
12:09,77,Scottie Lindsey missed Free Throw.,30,64
12:09,2674,Marten Linssen Defensive Rebound.,30,64
11:53,2674,Markus Golder made Jumper.,32,64
11:42,77,Vic Law made Three Point Jumper. Assisted by Dererk Pardon.,32,67
11:24,2674,Bakari Evelyn Turnover.,32,67
11:24,77,Official TV Timeout,32,67
11:02,77,Dererk Pardon missed Jumper.,32,67
11:02,2674,Markus Golder Defensive Rebound.,32,67
10:59,2674,Markus Golder Turnover.,32,67
10:59,2674,Foul on Markus Golder.,32,67
10:45,77,Gavin Skelly Turnover.,32,67
10:36,2674,Marten Linssen Turnover.,32,67
10:36,2674,Foul on Marten Linssen.,32,67
10:15,77,Aaron Falzon missed Jumper.,32,67
10:15,2674,Marten Linssen Defensive Rebound.,32,67
10:07,77,Foul on Vic Law.,32,67
10:07,2674,Micah Bradford made Free Throw.,33,67
10:07,2674,Micah Bradford missed Free Throw.,33,67
10:07,77,Dererk Pardon Defensive Rebound.,33,67
9:46,2674,Foul on Marten Linssen.,33,67
9:46,77,Dererk Pardon made Free Throw.,33,68
9:46,77,Dererk Pardon made Free Throw.,33,69
9:32,2674,Micah Bradford made Three Point Jumper. Assisted by Joe Burton.,36,69
9:17,77,Dererk Pardon missed Jumper.,36,69
9:17,2674,Micah Bradford Defensive Rebound.,36,69
9:06,2674,Marten Linssen missed Layup.,36,69
9:06,77,Aaron Falzon Block.,36,69
9:05,77,Bryant McIntosh Defensive Rebound.,36,69
8:59,77,Bryant McIntosh made Jumper.,36,71
8:25,2674,Micah Bradford missed Jumper.,36,71
8:25,77,Scottie Lindsey Defensive Rebound.,36,71
8:20,77,Anthony Gaines made Dunk. Assisted by Scottie Lindsey.,36,73
8:04,77,Foul on Dererk Pardon.,36,73
8:04,2674,Joe Burton made Free Throw.,37,73
8:04,2674,Joe Burton made Free Throw.,38,73
7:50,77,Dererk Pardon missed Layup.,38,73
7:50,2674,John Kiser Defensive Rebound.,38,73
7:31,2674,Bakari Evelyn missed Three Point Jumper.,38,73
7:31,77,Dererk Pardon Defensive Rebound.,38,73
7:14,2674,Foul on John Kiser.,38,73
7:14,77,Official TV Timeout,38,73
7:14,77,Dererk Pardon made Free Throw.,38,74
7:14,77,Dererk Pardon missed Free Throw.,38,74
7:14,2674,Joe Burton Defensive Rebound.,38,74
6:55,2674,Mileek McMillan missed Three Point Jumper.,38,74
6:55,77,Dererk Pardon Defensive Rebound.,38,74
6:41,77,Jordan Ash made Three Point Jumper. Assisted by Dererk Pardon.,38,77
6:25,2674,Mileek McMillan made Jumper.,40,77
6:03,77,Jordan Ash missed Layup.,40,77
6:03,2674,Joe Burton Block.,40,77
6:02,2674,Micah Bradford Defensive Rebound.,40,77
5:58,77,Foul on Isiah Brown.,40,77
5:58,2674,Micah Bradford missed Free Throw.,40,77
5:58,77,Barret Benson Defensive Rebound.,40,77
5:41,77,Barret Benson missed Jumper.,40,77
5:41,2674,Micah Bradford Defensive Rebound.,40,77
5:32,2674,Joe Burton made Three Point Jumper. Assisted by Micah Bradford.,43,77
5:13,2674,Foul on Jaume Sorolla.,43,77
5:13,77,Isiah Brown made Free Throw.,43,78
5:13,77,Isiah Brown made Free Throw.,43,79
4:56,2674,Mileek McMillan Turnover.,43,79
4:55,77,Gavin Skelly Steal.,43,79
4:53,77,Anthony Gaines made Layup.,43,81
4:27,77,Foul on Barret Benson.,43,81
4:27,2674,Joe Burton made Free Throw.,44,81
4:27,2674,Joe Burton made Free Throw.,45,81
4:15,2674,Foul on Marten Linssen.,45,81
4:15,77,Gavin Skelly missed Free Throw.,45,81
4:15,77,Northwestern Deadball Team Rebound.,45,81
4:15,77,Gavin Skelly made Free Throw.,45,82
3:57,2674,Mileek McMillan missed Three Point Jumper.,45,82
3:57,77,Gavin Skelly Defensive Rebound.,45,82
3:27,77,Gavin Skelly missed Three Point Jumper.,45,82
3:27,2674,Marten Linssen Defensive Rebound.,45,82
3:15,2674,Joe Burton made Three Point Jumper. Assisted by Micah Bradford.,48,82
2:51,77,Jordan Ash missed Layup.,48,82
2:51,2674,Marten Linssen Defensive Rebound.,48,82
2:45,77,Foul on Jordan Ash.,48,82
2:45,77,Official TV Timeout,48,82
2:45,2674,Micah Bradford missed Free Throw.,48,82
2:45,2674,Valparaiso Deadball Team Rebound.,48,82
2:45,2674,Micah Bradford missed Free Throw.,48,82
2:45,77,Tino Malnati Defensive Rebound.,48,82
2:26,77,Anthony Gaines Turnover.,48,82
2:01,2674,Parker Hazen missed Layup.,48,82
2:01,77,Charlie Hall Block.,48,82
1:58,77,Tino Malnati Defensive Rebound.,48,82
1:30,77,Isiah Brown made Layup.,48,84
1:11,77,Foul on Anthony Gaines.,48,84
1:11,2674,Joe Burton missed Free Throw.,48,84
1:11,2674,Valparaiso Deadball Team Rebound.,48,84
1:11,2674,Joe Burton missed Free Throw.,48,84
1:11,77,Anthony Gaines Defensive Rebound.,48,84
0:50,77,Tino Malnati Turnover.,48,84
0:49,2674,Marten Linssen Steal.,48,84
0:38,2674,Micah Bradford missed Three Point Jumper.,48,84
0:38,77,Gavin Skelly Defensive Rebound.,48,84
0:17,77,Anthony Gaines missed Jumper.,48,84
0:17,2674,Marten Linssen Block.,48,84
0:16,2674,Max Joseph Defensive Rebound.,48,84
0:14,77,Foul on Isiah Brown.,48,84
0:14,2674,Max Joseph made Free Throw.,49,84
0:14,2674,Max Joseph made Free Throw.,50,84
0:00,77,End of Game,50,84
