Toccoa Falls,Error,Presbyterian,2506
7:58,-1,Toccoa Falls  Timeout,13,34
7:48,2506,Foul on Davon Bell.,13,34
7:40,-1,Kevin Cave missed Jumper.,13,34
7:40,2506,Ethan Kay Defensive Rebound.,13,34
7:17,2506,Jaron Withers missed Jumper.,13,34
7:17,-1,Seth Stanley Defensive Rebound.,13,34
7:09,-1,Dylan Brandenburg made Three Point Jumper. Assisted by Seth Stanley.,16,34
6:50,2506,Francois Lewis made Layup. Assisted by Romeo Crouch.,16,36
6:25,-1,Dylan Brandenburg missed Jumper.,16,36
6:25,2506,Ethan Kay Defensive Rebound.,16,36
6:19,2506,Jaron Withers Turnover.,16,36
6:04,-1,Jordan Grayson missed Layup.,16,36
6:04,2506,Jaron Withers Defensive Rebound.,16,36
5:57,2506,Jaron Withers Turnover.,16,36
5:45,-1,Seth Stanley missed Three Point Jumper.,16,36
5:45,2506,Ethan Kay Defensive Rebound.,16,36
5:37,2506,Ethan Kay made Three Point Jumper. Assisted by Romeo Crouch.,16,39
5:21,-1,Matthew Massengill Turnover.,16,39
5:21,-1,Foul on Matthew Massengill.,16,39
5:13,2506,Ethan Kay made Three Point Jumper. Assisted by Romeo Crouch.,16,42
4:50,-1,Christian Newman made Layup.,18,42
4:37,2506,Ethan Kay made Three Point Jumper. Assisted by Romeo Crouch.,18,45
4:10,-1,Christian Newman missed Jumper.,18,45
4:10,2506,Francois Lewis Defensive Rebound.,18,45
4:02,2506,JC Younger made Three Point Jumper. Assisted by Romeo Crouch.,18,48
3:47,-1,Matthew Massengill missed Three Point Jumper.,18,48
3:47,2506,Ethan Kay Defensive Rebound.,18,48
3:32,2506,Francois Lewis made Layup. Assisted by Ruben Arroyo.,18,50
3:18,-1,Seth Stanley missed Jumper.,18,50
3:18,2506,Francois Lewis Defensive Rebound.,18,50
3:09,2506,Ethan Kay made Three Point Jumper. Assisted by Ruben Arroyo.,18,53
2:58,-1,Toccoa Falls  Timeout,18,53
2:36,-1,Shane Thompson made Layup.,20,53
2:15,2506,Ruben Arroyo missed Three Point Jumper.,20,53
2:15,2506,JC Younger Offensive Rebound.,20,53
2:12,2506,JC Younger missed Three Point Jumper.,20,53
2:12,-1,Christian Newman Defensive Rebound.,20,53
1:45,-1,Shane Thompson made Layup.,22,53
1:26,2506,Ruben Arroyo made Layup. Assisted by JC Younger.,22,55
1:06,-1,Kevin Cave missed Layup.,22,55
1:06,2506,Ruben Arroyo Block.,22,55
1:03,2506,Stephen Osu Defensive Rebound.,22,55
0:53,2506,JC Younger made Layup.,22,57
0:33,-1,Shane Thompson missed Jumper.,22,57
0:33,-1,Christian Newman Offensive Rebound.,22,57
0:24,-1,Seth Stanley missed Jumper.,22,57
0:24,2506,Romeo Crouch Defensive Rebound.,22,57
0:12,2506,Romeo Crouch missed Three Point Jumper.,22,57
0:12,-1,Christian Newman Defensive Rebound.,22,57
0:01,-1,Kevin Cave made Layup.,24,57
0:00,2506,End of 1st half,24,57
19:48,-1,Kevin Cave Turnover.,24,57
19:46,2506,Romeo Crouch Steal.,24,57
19:42,2506,Francois Lewis made Dunk. Assisted by Romeo Crouch.,24,59
19:12,-1,Dylan Brandenburg missed Jumper.,24,59
19:12,2506,Jaron Withers Defensive Rebound.,24,59
19:04,2506,JC Younger made Three Point Jumper. Assisted by Francois Lewis.,24,62
18:56,-1,Kevin Cave missed Three Point Jumper.,24,62
18:56,2506,JC Younger Defensive Rebound.,24,62
18:45,2506,Armel TeTe missed Layup.,24,62
18:45,-1,Shane Thompson Defensive Rebound.,24,62
18:34,-1,Shane Thompson missed Jumper.,24,62
18:34,2506,Jaron Withers Defensive Rebound.,24,62
18:23,2506,Armel TeTe made Layup.,24,64
18:11,-1,Dylan Brandenburg missed Three Point Jumper.,24,64
18:11,2506,Armel TeTe Defensive Rebound.,24,64
17:45,2506,Armel TeTe missed Layup.,24,64
17:45,-1,Jordan Grayson Block.,24,64
17:45,2506,Presbyterian Offensive Rebound.,24,64
17:42,2506,Francois Lewis Turnover.,24,64
17:33,2506,Foul on Francois Lewis.,24,64
17:25,-1,Joe Dockery Turnover.,24,64
17:23,2506,Jaron Withers Steal.,24,64
17:13,2506,JC Younger missed Three Point Jumper.,24,64
17:13,2506,Stephen Osu Offensive Rebound.,24,64
17:09,2506,Stephen Osu made Layup.,24,66
16:47,2506,Foul on Stephen Osu.,24,66
16:33,-1,Shane Thompson missed Three Point Jumper.,24,66
16:33,-1,Toccoa Falls Offensive Rebound.,24,66
16:18,-1,Joe Dockery Turnover.,24,66
15:56,2506,Ethan Kay missed Three Point Jumper.,24,66
15:56,2506,Stephen Osu Offensive Rebound.,24,66
15:54,2506,Stephen Osu Turnover.,24,66
15:49,2506,Official TV Timeout,24,66
15:31,-1,Shane Thompson made Three Point Jumper. Assisted by Christian Newman.,27,66
15:02,-1,Foul on Kevin Cave.,27,66
15:02,2506,Romeo Crouch made Free Throw.,27,67
15:02,2506,Romeo Crouch missed Free Throw.,27,67
15:02,2506,Stephen Osu Offensive Rebound.,27,67
14:48,2506,JC Younger made Jumper.,27,69
14:29,-1,Kevin Cave missed Three Point Jumper.,27,69
14:29,-1,Christian Newman Offensive Rebound.,27,69
14:21,2506,Foul on Stephen Osu.,27,69
14:21,-1,Kevin Cave missed Free Throw.,27,69
14:21,-1,Toccoa Falls Deadball Team Rebound.,27,69
14:21,-1,Kevin Cave missed Free Throw.,27,69
14:21,2506,Stephen Osu Defensive Rebound.,27,69
14:02,2506,Jamie Baker Turnover.,27,69
13:50,-1,Jordan Grayson missed Jumper.,27,69
13:50,2506,Ruben Arroyo Defensive Rebound.,27,69
13:50,2506,Ethan Kay made Three Point Jumper. Assisted by Jamie Baker.,27,72
13:11,-1,Jordan Grayson missed Layup.,27,72
13:11,2506,Ruben Arroyo Defensive Rebound.,27,72
13:06,2506,Ruben Arroyo missed Layup.,27,72
13:06,-1,Matthew Massengill Defensive Rebound.,27,72
13:00,-1,Kevin Cave made Three Point Jumper. Assisted by Matthew Massengill.,30,72
12:47,2506,JC Younger made Layup.,30,74
12:26,-1,Kevin Cave missed Jumper.,30,74
12:26,2506,Jamie Baker Defensive Rebound.,30,74
12:19,2506,JC Younger made Three Point Jumper. Assisted by Jamie Baker.,30,77
11:56,-1,Jordan Grayson missed Three Point Jumper.,30,77
11:56,2506,Jamie Baker Defensive Rebound.,30,77
11:48,2506,JC Younger made Three Point Jumper. Assisted by Ethan Kay.,30,80
11:26,-1,Kevin Cave Turnover.,30,80
11:24,2506,Ethan Kay Steal.,30,80
11:22,2506,JC Younger made Three Point Jumper. Assisted by Ethan Kay.,30,83
11:03,-1,Matthew Massengill Turnover.,30,83
11:01,2506,Ruben Arroyo Steal.,30,83
10:58,2506,JC Younger made Three Point Jumper.,30,86
10:46,2506,Foul on Ethan Kay.,30,86
10:46,2506,Official TV Timeout,30,86
10:44,-1,Joe Dockery Turnover.,30,86
10:39,2506,Armel TeTe Steal.,30,86
10:16,2506,Ethan Kay missed Three Point Jumper.,30,86
10:16,-1,Dylan Brandenburg Defensive Rebound.,30,86
10:07,-1,Jordan Grayson Turnover.,30,86
9:51,2506,Armel TeTe missed Jumper.,30,86
9:51,2506,Ethan Kay Offensive Rebound.,30,86
9:48,2506,Jamie Baker missed Three Point Jumper.,30,86
9:48,-1,Matthew Massengill Defensive Rebound.,30,86
9:17,-1,Joe Dockery missed Jumper.,30,86
9:17,2506,Armel TeTe Defensive Rebound.,30,86
9:02,-1,Foul on Dylan Brandenburg.,30,86
9:02,2506,Jamie Baker made Free Throw.,30,87
9:02,2506,Jamie Baker missed Free Throw.,30,87
9:02,-1,Jordan Grayson Defensive Rebound.,30,87
8:31,-1,Joe Dockery Turnover.,30,87
8:14,2506,Stephen Osu made Layup.,30,89
7:43,-1,Joe Dockery missed Three Point Jumper.,30,89
7:43,2506,Jamie Baker Defensive Rebound.,30,89
7:33,2506,Romeo Crouch missed Three Point Jumper.,30,89
7:33,2506,Stephen Osu Offensive Rebound.,30,89
7:28,2506,Ethan Kay missed Three Point Jumper.,30,89
7:28,-1,Seth Stanley Defensive Rebound.,30,89
7:12,-1,Joe Dockery Turnover.,30,89
7:11,2506,Romeo Crouch Steal.,30,89
7:07,2506,Ethan Kay made Three Point Jumper. Assisted by Romeo Crouch.,30,92
6:36,-1,Dylan Brandenburg missed Jumper.,30,92
6:36,2506,Jamie Baker Defensive Rebound.,30,92
6:15,2506,Jamie Baker missed Jumper.,30,92
6:15,2506,Jaron Withers Offensive Rebound.,30,92
6:12,2506,Jaron Withers made Layup.,30,94
5:50,2506,Foul on Stephen Osu.,30,94
5:29,-1,Hudson Allen missed Three Point Jumper.,30,94
5:29,-1,Christian Newman Offensive Rebound.,30,94
5:23,-1,Christian Newman missed Jumper.,30,94
5:23,2506,Stephen Osu Defensive Rebound.,30,94
5:05,2506,Jamie Baker missed Layup.,30,94
5:05,2506,Presbyterian Offensive Rebound.,30,94
4:53,2506,Romeo Crouch made Layup.,30,96
4:38,2506,Foul on Ruben Arroyo.,30,96
4:38,-1,Jordan Grayson missed Free Throw.,30,96
4:38,-1,Toccoa Falls Deadball Team Rebound.,30,96
4:38,-1,Jordan Grayson made Free Throw.,31,96
4:23,2506,Brent Carraway missed Layup.,31,96
4:23,2506,Stephen Osu Offensive Rebound.,31,96
4:20,2506,Jamie Baker missed Three Point Jumper.,31,96
4:20,2506,Jamie Baker Offensive Rebound.,31,96
4:16,2506,Jamie Baker missed Jumper.,31,96
4:16,-1,Jordan Grayson Defensive Rebound.,31,96
4:10,-1,Jordan Grayson Turnover.,31,96
4:09,2506,Ethan Kay Steal.,31,96
3:56,2506,Brent Carraway missed Three Point Jumper.,31,96
3:56,2506,Stephen Osu Offensive Rebound.,31,96
3:51,2506,Stephen Osu Turnover.,31,96
3:39,-1,Jordan Grayson missed Three Point Jumper.,31,96
3:39,2506,Presbyterian Defensive Rebound.,31,96
3:23,2506,Ethan Kay missed Three Point Jumper.,31,96
3:23,2506,Stephen Osu Offensive Rebound.,31,96
3:18,2506,Stephen Osu made Layup.,31,98
3:03,-1,Jordan Grayson missed Layup.,31,98
3:03,2506,Ruben Arroyo Defensive Rebound.,31,98
2:56,2506,Ethan Kay made Three Point Jumper.,31,101
2:35,-1,Kevin Cave missed Jumper.,31,101
2:35,2506,Ethan Kay Defensive Rebound.,31,101
2:25,2506,Brent Carraway missed Jumper.,31,101
2:25,2506,Ruben Arroyo Offensive Rebound.,31,101
2:24,-1,Foul on Joe Dockery.,31,101
2:24,2506,Ruben Arroyo missed Free Throw.,31,101
2:24,2506,Presbyterian Deadball Team Rebound.,31,101
2:24,2506,Ruben Arroyo missed Free Throw.,31,101
2:24,-1,Shane Thompson Defensive Rebound.,31,101
2:11,-1,Matthew Massengill missed Jumper.,31,101
2:11,2506,Ruben Arroyo Defensive Rebound.,31,101
2:02,2506,Ethan Kay missed Three Point Jumper.,31,101
2:02,-1,Toccoa Falls Defensive Rebound.,31,101
1:44,-1,Seth Stanley made Layup.,33,101
1:30,2506,Ethan Kay made Three Point Jumper. Assisted by Jamie Baker.,33,104
1:16,-1,Seth Stanley missed Jumper.,33,104
1:16,2506,Stephen Osu Defensive Rebound.,33,104
0:53,-1,Foul on Christian Newman.,33,104
0:44,2506,Ruben Arroyo missed Three Point Jumper.,33,104
0:44,2506,Stephen Osu Offensive Rebound.,33,104
0:41,2506,Stephen Osu Turnover.,33,104
0:21,-1,Jordan Grayson missed Jumper.,33,104
0:21,-1,Jordan Grayson Offensive Rebound.,33,104
0:14,-1,Matthew Massengill made Layup.,35,104
0:00,2506,End of Game,35,104
