Georgia Southern,135,Minnesota,290
7:45,135,Akeem Springs missed Three Point Jumper.,24,38
7:43,290,Georgia Southern Defensive Rebound.,24,38
7:43,135,Foul on Bakary Konate.,24,38
7:43,135,Official TV Timeout,24,38
7:30,290,Montae Glenn missed Jumper.,24,38
7:28,135,Bakary Konate Defensive Rebound.,24,38
7:17,135,Jordan Murphy made Three Point Jumper. Assisted by Amir Coffey.,24,41
7:03,290,Ike Smith missed Three Point Jumper.,24,41
7:00,135,Jordan Murphy Defensive Rebound.,24,41
6:56,135,Dupree McBrayer missed Jumper.,24,41
6:55,135,Minnesota Offensive Rebound.,24,41
6:55,290,Foul on Devonte Boykins.,24,41
6:53,135,Dupree McBrayer missed Three Point Jumper.,24,41
6:48,290,Montae Glenn Defensive Rebound.,24,41
6:42,290,Jake Allsmiller made Jumper. Assisted by Devonte Boykins.,26,41
6:23,135,Jordan Murphy missed Jumper.,26,41
6:19,290,Devonte Boykins Defensive Rebound.,26,41
6:13,290,Jake Allsmiller missed Three Point Jumper.,26,41
6:12,290,B.J. Gladden Offensive Rebound.,26,41
6:12,135,Foul on Akeem Springs.,26,41
6:12,290,B.J. Gladden made Free Throw.,27,41
6:12,290,B.J. Gladden made Free Throw.,28,41
5:50,135,Amir Coffey missed Three Point Jumper.,28,41
5:47,290,Jake Allsmiller Defensive Rebound.,28,41
5:36,290,Devonte Boykins Turnover.,28,41
5:36,135,Nate Mason Steal.,28,41
5:09,135,Amir Coffey made Layup. Assisted by Dupree McBrayer.,28,43
4:50,290,Jake Allsmiller missed Three Point Jumper.,28,43
4:48,135,Nate Mason Defensive Rebound.,28,43
4:34,135,Jordan Murphy Turnover.,28,43
4:34,290,Jake Allsmiller Steal.,28,43
4:29,290,Tookie Brown made Jumper.,30,43
4:27,135,Minnesota  Timeout,30,43
4:02,135,Nate Mason missed Jumper.,30,43
3:59,290,Coye Simmons Defensive Rebound.,30,43
3:48,290,Devonte Boykins missed Three Point Jumper.,30,43
3:46,135,Akeem Springs Defensive Rebound.,30,43
3:35,135,Akeem Springs missed Three Point Jumper.,30,43
3:31,290,Tookie Brown Defensive Rebound.,30,43
3:31,135,Foul on Jordan Murphy.,30,43
3:31,290,Tookie Brown missed Free Throw.,30,43
3:31,135,Jordan Murphy Defensive Rebound.,30,43
3:06,135,Amir Coffey missed Jumper.,30,43
3:04,290,Coye Simmons Defensive Rebound.,30,43
2:42,290,Tookie Brown missed Three Point Jumper.,30,43
2:40,135,Dupree McBrayer Defensive Rebound.,30,43
2:30,290,Foul on B.J. Gladden.,30,43
2:24,135,Amir Coffey missed Jumper.,30,43
2:23,290,Coye Simmons Defensive Rebound.,30,43
2:17,290,Ike Smith made Layup.,32,43
1:49,135,Nate Mason missed Three Point Jumper.,32,43
1:46,135,Nate Mason Offensive Rebound.,32,43
1:45,135,Nate Mason missed Layup.,32,43
1:41,135,Bakary Konate Offensive Rebound.,32,43
1:41,290,Foul on Mike Hughes.,32,43
1:41,135,Bakary Konate missed Free Throw.,32,43
1:41,290,Coye Simmons Defensive Rebound.,32,43
1:16,290,Jake Allsmiller missed Jumper.,32,43
1:14,135,Dupree McBrayer Defensive Rebound.,32,43
1:11,290,Foul on Devonte Boykins.,32,43
1:11,135,Dupree McBrayer made Free Throw.,32,44
1:11,135,Dupree McBrayer made Free Throw.,32,45
0:51,290,Ike Smith Turnover.,32,45
0:51,135,Bakary Konate Steal.,32,45
0:48,135,Dupree McBrayer missed Jumper.,32,45
0:48,290,Tookie Brown Block.,32,45
0:47,290,Jake Allsmiller Defensive Rebound.,32,45
0:37,290,Tookie Brown Turnover.,32,45
0:37,135,Nate Mason Steal.,32,45
0:18,135,Foul on Bakary Konate.,32,45
0:18,135,Bakary Konate Turnover.,32,45
0:03,290,Ike Smith missed Jumper.,32,45
0:03,135,Bakary Konate Block.,32,45
0:02,290,Ike Smith Offensive Rebound.,32,45
0:02,290,Ike Smith missed Jumper.,32,45
0:02,135,Bakary Konate Block.,32,45
0:01,135,Bakary Konate Defensive Rebound.,32,45
0:01,135,Dupree McBrayer missed Three Point Jumper.,32,45
0:01,135,Minnesota Offensive Rebound.,32,45
0:00,135,End of 1st half,32,45
19:44,135,Jordan Murphy missed Three Point Jumper.,32,45
19:41,290,Montae Glenn Defensive Rebound.,32,45
19:37,135,Foul on Amir Coffey.,32,45
19:17,290,Jake Allsmiller missed Three Point Jumper.,32,45
19:15,135,Reggie Lynch Defensive Rebound.,32,45
19:03,135,Reggie Lynch missed Jumper.,32,45
19:01,290,Shawn O'Connell Defensive Rebound.,32,45
18:55,290,Foul on Montae Glenn.,32,45
18:55,290,Montae Glenn Turnover.,32,45
18:32,290,Foul on Shawn O'Connell.,32,45
18:32,135,Minnesota Deadball Team Rebound.,32,45
18:32,135,Reggie Lynch missed Free Throw.,32,45
18:32,135,Reggie Lynch missed Free Throw.,32,45
18:32,290,Tookie Brown Defensive Rebound.,32,45
18:17,290,Tookie Brown missed Jumper.,32,45
18:15,135,Nate Mason Defensive Rebound.,32,45
18:11,135,Amir Coffey made Layup. Assisted by Nate Mason.,32,47
17:48,290,Ike Smith missed Jumper.,32,47
17:45,290,Ike Smith Offensive Rebound.,32,47
17:44,290,Ike Smith missed Jumper.,32,47
17:44,135,Reggie Lynch Block.,32,47
17:42,135,Amir Coffey Defensive Rebound.,32,47
17:38,135,Reggie Lynch made Dunk. Assisted by Nate Mason.,32,49
17:35,290,Georgia Southern  Timeout,32,49
17:24,290,Tookie Brown Turnover.,32,49
17:24,135,Nate Mason Steal.,32,49
17:20,135,Nate Mason made Layup.,32,51
17:03,290,Jake Allsmiller Turnover.,32,51
16:51,135,Nate Mason made Three Point Jumper. Assisted by Amir Coffey.,32,54
16:17,290,Coye Simmons made Jumper. Assisted by Tookie Brown.,34,54
16:06,135,Reggie Lynch made Dunk. Assisted by Dupree McBrayer.,34,56
15:39,290,Tookie Brown missed Three Point Jumper.,34,56
15:36,135,Dupree McBrayer Defensive Rebound.,34,56
15:22,135,Dupree McBrayer missed Jumper.,34,56
15:21,135,Reggie Lynch Offensive Rebound.,34,56
15:20,135,Reggie Lynch made Dunk.,34,58
15:04,290,Ike Smith made Three Point Jumper. Assisted by Tookie Brown.,37,58
14:54,135,Official TV Timeout,37,58
14:54,290,Foul on Coye Simmons.,37,58
14:54,135,Jordan Murphy missed Free Throw.,37,58
14:54,135,Minnesota Deadball Team Rebound.,37,58
14:54,135,Jordan Murphy made Free Throw.,37,59
14:40,290,Mike Hughes Turnover.,37,59
14:40,135,Dupree McBrayer Steal.,37,59
14:35,135,Dupree McBrayer missed Jumper.,37,59
14:32,290,B.J. Gladden Defensive Rebound.,37,59
14:20,290,Mike Hughes Turnover.,37,59
14:20,135,Nate Mason Steal.,37,59
14:17,135,Dupree McBrayer made Dunk. Assisted by Nate Mason.,37,61
14:00,290,B.J. Gladden missed Jumper.,37,61
14:00,135,Reggie Lynch Block.,37,61
13:58,135,Minnesota Defensive Rebound.,37,61
13:35,135,Nate Mason missed Three Point Jumper.,37,61
13:32,135,Bakary Konate Offensive Rebound.,37,61
13:27,135,Michael Hurt missed Three Point Jumper.,37,61
13:24,290,Shawn O'Connell Defensive Rebound.,37,61
13:17,290,Jake Allsmiller missed Three Point Jumper.,37,61
13:13,135,Bakary Konate Defensive Rebound.,37,61
13:08,135,Michael Hurt missed Three Point Jumper.,37,61
13:06,135,Minnesota Offensive Rebound.,37,61
13:01,135,Nate Mason missed Jumper.,37,61
12:57,290,Devonte Boykins Defensive Rebound.,37,61
12:46,290,B.J. Gladden made Three Point Jumper. Assisted by Tookie Brown.,40,61
12:26,290,Foul on B.J. Gladden.,40,61
12:15,135,Michael Hurt missed Three Point Jumper.,40,61
12:14,290,Georgia Southern Defensive Rebound.,40,61
12:14,135,Foul on Eric Curry.,40,61
12:01,290,Jake Allsmiller made Three Point Jumper. Assisted by Tookie Brown.,43,61
11:44,290,Foul on B.J. Gladden.,43,61
11:44,135,Official TV Timeout,43,61
11:27,135,Eric Curry Turnover.,43,61
11:27,290,Shawn O'Connell Steal.,43,61
11:20,290,Tookie Brown missed Jumper.,43,61
11:20,135,Eric Curry Block.,43,61
11:19,290,Tookie Brown Offensive Rebound.,43,61
11:19,290,Georgia Southern  Timeout,43,61
11:14,135,Foul on Bakary Konate.,43,61
11:14,290,Shawn O'Connell made Free Throw.,44,61
11:14,290,Shawn O'Connell made Free Throw.,45,61
10:45,135,Akeem Springs missed Three Point Jumper.,45,61
10:43,290,Shawn O'Connell Defensive Rebound.,45,61
10:32,290,B.J. Gladden missed Jumper.,45,61
10:32,135,Bakary Konate Block.,45,61
10:30,135,Eric Curry Defensive Rebound.,45,61
10:18,135,Dupree McBrayer missed Jumper.,45,61
10:18,290,Shawn O'Connell Block.,45,61
10:17,135,Bakary Konate Offensive Rebound.,45,61
10:17,290,Foul on B.J. Gladden.,45,61
10:17,135,Bakary Konate made Free Throw.,45,62
10:17,135,Bakary Konate missed Free Throw.,45,62
10:17,290,Jake Allsmiller Defensive Rebound.,45,62
9:46,290,Jake Allsmiller missed Three Point Jumper.,45,62
9:44,135,Amir Coffey Defensive Rebound.,45,62
9:35,135,Amir Coffey missed Jumper.,45,62
9:32,135,Eric Curry Offensive Rebound.,45,62
9:32,135,Eric Curry missed Layup.,45,62
9:29,135,Eric Curry Offensive Rebound.,45,62
9:29,135,Eric Curry made Two Point Tip Shot.,45,64
9:11,290,Ike Smith Turnover.,45,64
9:11,135,Dupree McBrayer Steal.,45,64
9:10,135,Dupree McBrayer made Layup.,45,66
9:10,290,Foul on Devonte Boykins.,45,66
9:10,135,Dupree McBrayer made Free Throw.,45,67
8:50,290,Devonte Boykins missed Layup.,45,67
8:48,290,Shawn O'Connell Offensive Rebound.,45,67
8:48,290,Shawn O'Connell missed Jumper.,45,67
8:46,135,Dupree McBrayer Defensive Rebound.,45,67
8:44,135,Akeem Springs made Layup. Assisted by Dupree McBrayer.,45,69
8:29,290,Devonte Boykins missed Three Point Jumper.,45,69
8:28,135,Reggie Lynch Defensive Rebound.,45,69
8:20,135,Reggie Lynch made Layup. Assisted by Nate Mason.,45,71
8:03,290,Mike Hughes missed Layup.,45,71
8:01,135,Amir Coffey Defensive Rebound.,45,71
7:56,135,Akeem Springs missed Three Point Jumper.,45,71
7:53,290,Devonte Boykins Defensive Rebound.,45,71
7:34,135,Foul on Dupree McBrayer.,45,71
7:34,135,Official TV Timeout,45,71
7:21,290,Tookie Brown missed Three Point Jumper.,45,71
7:19,135,Dupree McBrayer Defensive Rebound.,45,71
7:13,290,Foul on Montae Glenn.,45,71
7:13,135,Dupree McBrayer missed Free Throw.,45,71
7:13,290,Ike Smith Defensive Rebound.,45,71
7:07,290,Mike Hughes missed Three Point Jumper.,45,71
7:05,135,Reggie Lynch Defensive Rebound.,45,71
6:56,135,Dupree McBrayer made Three Point Jumper. Assisted by Nate Mason.,45,74
6:36,290,Montae Glenn missed Jumper.,45,74
6:36,135,Reggie Lynch Block.,45,74
6:33,135,Nate Mason Defensive Rebound.,45,74
6:28,135,Nate Mason missed Three Point Jumper.,45,74
6:26,135,Reggie Lynch Offensive Rebound.,45,74
6:24,135,Dupree McBrayer missed Three Point Jumper.,45,74
6:22,290,Ike Smith Defensive Rebound.,45,74
6:05,290,Ike Smith missed Three Point Jumper.,45,74
6:02,135,Nate Mason Defensive Rebound.,45,74
5:52,135,Dupree McBrayer missed Three Point Jumper.,45,74
5:49,290,Mike Hughes Defensive Rebound.,45,74
5:30,290,Ike Smith missed Three Point Jumper.,45,74
5:27,135,Amir Coffey Defensive Rebound.,45,74
4:58,135,Akeem Springs missed Jumper.,45,74
4:57,135,Amir Coffey Offensive Rebound.,45,74
4:57,290,Foul on Montae Glenn.,45,74
4:57,135,Amir Coffey made Free Throw.,45,75
4:57,135,Amir Coffey made Free Throw.,45,76
4:38,290,Tookie Brown missed Three Point Jumper.,45,76
4:35,135,Amir Coffey Defensive Rebound.,45,76
4:31,135,Amir Coffey Turnover.,45,76
4:31,290,Tookie Brown Steal.,45,76
4:28,290,Ike Smith made Dunk. Assisted by Tookie Brown.,47,76
4:09,135,Akeem Springs made Three Point Jumper. Assisted by Nate Mason.,47,79
3:48,290,Mike Hughes missed Three Point Jumper.,47,79
3:46,290,Montae Glenn Offensive Rebound.,47,79
3:42,290,Montae Glenn Turnover.,47,79
3:42,135,Reggie Lynch Steal.,47,79
3:30,135,Akeem Springs missed Jumper.,47,79
3:28,290,Ike Smith Defensive Rebound.,47,79
3:20,290,Tookie Brown Turnover.,47,79
3:20,135,Official TV Timeout,47,79
3:07,135,Ahmad Gilbert missed Three Point Jumper.,47,79
3:04,135,Jordan Murphy Offensive Rebound.,47,79
2:59,135,Nate Mason Turnover.,47,79
2:59,290,Coye Simmons Steal.,47,79
2:46,290,Shawn O'Connell made Layup. Assisted by Mike Hughes.,49,79
2:36,135,Michael Hurt made Three Point Jumper. Assisted by Jordan Murphy.,49,82
2:14,290,Jake Allsmiller missed Three Point Jumper.,49,82
2:11,135,Jordan Murphy Defensive Rebound.,49,82
1:50,135,Nate Mason missed Three Point Jumper.,49,82
1:48,135,Gaston Diedhiou Offensive Rebound.,49,82
1:46,135,Gaston Diedhiou missed Jumper.,49,82
1:45,135,Michael Hurt Offensive Rebound.,49,82
1:45,290,Foul on Shawn O'Connell.,49,82
1:45,135,Michael Hurt made Free Throw.,49,83
1:45,135,Michael Hurt made Free Throw.,49,84
1:34,290,Mike Hughes Turnover.,49,84
1:10,135,Ahmad Gilbert missed Three Point Jumper.,49,84
1:06,290,Coye Simmons Defensive Rebound.,49,84
0:54,290,Mike Hughes missed Three Point Jumper.,49,84
0:51,135,Ahmad Gilbert Defensive Rebound.,49,84
0:43,135,Michael Hurt made Layup. Assisted by Stephon Sharp.,49,86
0:27,290,Devonte Boykins missed Three Point Jumper.,49,86
0:24,135,Gaston Diedhiou Defensive Rebound.,49,86
0:00,135,End of Game,49,86
