Wake Forest,2430,UNC Greensboro,154
13:40,2430,Marvin Smith Steal.,59,45
13:40,2430,UNC Greensboro  Timeout,59,45
13:40,2430,Official TV Timeout,59,45
13:27,2430,Marvin Smith made Three Point Jumper. Assisted by Demetrius Troy.,59,48
13:03,154,Doral Moore missed Jumper.,59,48
13:03,2430,Marvin Smith Defensive Rebound.,59,48
12:55,2430,Malik Massey made Three Point Jumper. Assisted by Demetrius Troy.,59,51
12:37,154,Keyshawn Woods made Jumper.,61,51
12:14,154,Foul on Doral Moore.,61,51
12:14,2430,R.J. White made Free Throw.,61,52
12:14,2430,R.J. White missed Free Throw.,61,52
12:14,154,Doral Moore Defensive Rebound.,61,52
12:00,154,Bryant Crawford missed Three Point Jumper.,61,52
12:00,2430,Demetrius Troy Defensive Rebound.,61,52
11:48,154,Foul on John Collins.,61,52
11:48,2430,Official TV Timeout,61,52
11:48,2430,R.J. White made Free Throw.,61,53
11:47,154,John Collins Defensive Rebound.,61,53
11:19,154,Mitchell Wilbekin missed Jumper.,61,53
11:19,2430,Marvin Smith Defensive Rebound.,61,53
11:09,2430,Marvin Smith missed Layup.,61,53
11:09,154,John Collins Defensive Rebound.,61,53
11:06,2430,Foul on R.J. White.,61,53
10:49,154,Bryant Crawford made Layup. Assisted by Konstantinos Mitoglou.,63,53
10:41,2430,Demetrius Troy made Three Point Jumper. Assisted by Malik Massey.,63,56
10:17,154,Bryant Crawford Turnover.,63,56
10:15,2430,Marvin Smith Steal.,63,56
10:09,2430,Diante Baldwin Turnover.,63,56
10:09,154,Mitchell Wilbekin Steal.,63,56
10:04,154,Keyshawn Woods missed Three Point Jumper.,63,56
10:04,154,John Collins Offensive Rebound.,63,56
9:55,154,Mitchell Wilbekin missed Jumper.,63,56
9:55,2430,UNC Greensboro Deadball Team Rebound.,63,56
9:55,154,Foul on Konstantinos Mitoglou.,63,56
9:55,2430,Marvin Smith made Free Throw.,63,57
9:55,2430,Marvin Smith made Free Throw.,63,58
9:48,154,Keyshawn Woods Turnover.,63,58
9:47,2430,Diante Baldwin Steal.,63,58
9:40,2430,Marvin Smith missed Three Point Jumper.,63,58
9:40,154,Konstantinos Mitoglou Defensive Rebound.,63,58
9:19,2430,Foul on Francis Alonso.,63,58
9:09,154,John Collins missed Jumper.,63,58
9:09,2430,Jordy Kuiper Defensive Rebound.,63,58
9:02,2430,Demetrius Troy missed Three Point Jumper.,63,58
9:02,154,John Collins Defensive Rebound.,63,58
8:46,154,Konstantinos Mitoglou missed Dunk.,63,58
8:46,2430,Marvin Smith Block.,63,58
8:44,2430,Marvin Smith Defensive Rebound.,63,58
8:42,2430,Diante Baldwin missed Three Point Jumper.,63,58
8:42,154,Keyshawn Woods Defensive Rebound.,63,58
8:19,154,Keyshawn Woods Turnover.,63,58
8:19,2430,Marvin Smith Steal.,63,58
8:19,2430,UNC Greensboro  Timeout,63,58
8:19,2430,Official TV Timeout,63,58
8:02,2430,Francis Alonso made Three Point Jumper. Assisted by Diante Baldwin.,63,61
7:42,154,Keyshawn Woods made Three Point Jumper. Assisted by Mitchell Wilbekin.,66,61
7:21,154,Foul on John Collins.,66,61
7:21,2430,Diante Baldwin made Free Throw.,66,62
7:21,2430,Diante Baldwin made Free Throw.,66,63
7:00,2430,Foul on James Dickey.,66,63
7:00,154,John Collins made Free Throw.,67,63
7:00,154,John Collins made Free Throw.,68,63
6:47,154,Foul on Brandon Childress.,68,63
6:47,2430,Diante Baldwin made Free Throw.,68,64
6:47,2430,Diante Baldwin made Free Throw.,68,65
6:29,154,Austin Arians Turnover.,68,65
6:09,2430,Diante Baldwin made Jumper.,68,67
5:39,154,Keyshawn Woods made Three Point Jumper.,71,67
5:21,2430,Francis Alonso Turnover.,71,67
5:21,154,Keyshawn Woods Steal.,71,67
5:20,2430,Foul on Francis Alonso.,71,67
5:20,154,Keyshawn Woods made Free Throw.,72,67
5:20,154,Keyshawn Woods made Free Throw.,73,67
5:01,2430,Marvin Smith missed Layup.,73,67
5:01,2430,R.J. White Offensive Rebound.,73,67
4:59,2430,R.J. White made Layup.,73,69
4:58,154,Foul on Konstantinos Mitoglou.,73,69
4:58,2430,R.J. White made Free Throw.,73,70
4:43,154,Keyshawn Woods missed Jumper.,73,70
4:43,2430,James Dickey Block.,73,70
4:42,154,Wake Forest Offensive Rebound.,73,70
4:35,154,Foul on Greg McClinton.,73,70
4:35,154,Greg McClinton Turnover.,73,70
4:20,2430,Marvin Smith missed Three Point Jumper.,73,70
4:20,154,John Collins Defensive Rebound.,73,70
3:46,154,Keyshawn Woods missed Three Point Jumper.,73,70
3:46,2430,UNC Greensboro Defensive Rebound.,73,70
3:42,2430,Official TV Timeout,73,70
3:28,2430,R.J. White missed Layup.,73,70
3:28,2430,Marvin Smith Offensive Rebound.,73,70
3:25,2430,Marvin Smith made Two Point Tip Shot.,73,72
2:58,154,Foul on Keyshawn Woods.,73,72
2:58,154,Keyshawn Woods Turnover.,73,72
2:34,2430,Diante Baldwin missed Jumper.,73,72
2:34,154,John Collins Defensive Rebound.,73,72
2:30,154,John Collins Turnover.,73,72
2:25,2430,R.J. White Turnover.,73,72
2:01,154,Konstantinos Mitoglou missed Layup.,73,72
2:01,2430,Marvin Smith Defensive Rebound.,73,72
1:29,2430,Demetrius Troy Turnover.,73,72
1:28,154,Bryant Crawford Steal.,73,72
1:26,154,Bryant Crawford made Layup.,75,72
1:01,154,Foul on Konstantinos Mitoglou.,75,72
1:01,2430,R.J. White missed Free Throw.,75,72
1:01,2430,UNC Greensboro Deadball Team Rebound.,75,72
1:01,2430,R.J. White made Free Throw.,75,73
0:39,154,John Collins Turnover.,75,73
0:38,2430,Diante Baldwin Steal.,75,73
0:29,2430,Diante Baldwin made Layup.,75,75
0:18,154,Wake Forest  Timeout,75,75
0:03,154,Bryant Crawford made Three Point Jumper.,78,75
0:02,2430,UNC Greensboro  Timeout,78,75
0:01,2430,Francis Alonso Turnover.,78,75
0:01,154,Bryant Crawford Steal.,78,75
0:00,2430,End of Game,78,75
