Oregon State,2440,Nevada,204
15:16,204,Drew Eubanks made Jumper.,6,10
14:57,2440,D.J. Fenner made Three Point Jumper. Assisted by Marcus Marshall.,6,13
14:42,204,Gligorije Rakocevic Turnover.,6,13
14:42,204,Foul on Gligorije Rakocevic.,6,13
14:28,204,Foul on Jaquori McLaughlin.,6,13
14:28,2440,Marcus Marshall made Free Throw.,6,14
14:28,2440,Marcus Marshall made Free Throw.,6,15
14:22,204,Tres Tinkle missed Jumper.,6,15
14:22,2440,Elijah Foster Defensive Rebound.,6,15
14:10,2440,D.J. Fenner missed Jumper.,6,15
14:10,204,Jaquori McLaughlin Defensive Rebound.,6,15
13:58,2440,Foul on Cameron Oliver.,6,15
13:41,204,Drew Eubanks missed Jumper.,6,15
13:41,204,Gligorije Rakocevic Offensive Rebound.,6,15
13:38,204,Gligorije Rakocevic made Dunk.,8,15
13:12,2440,Elijah Foster Turnover.,8,15
13:12,2440,Foul on Elijah Foster.,8,15
13:00,204,Tres Tinkle missed Layup.,8,15
13:00,2440,Elijah Foster Defensive Rebound.,8,15
12:52,2440,Cameron Oliver missed Three Point Jumper.,8,15
12:52,2440,Nevada Offensive Rebound.,8,15
12:49,204,Foul on Drew Eubanks.,8,15
12:40,2440,Jordan Caroline missed Three Point Jumper.,8,15
12:40,204,Gligorije Rakocevic Defensive Rebound.,8,15
12:14,204,Keondre Dew missed Layup.,8,15
12:14,204,Keondre Dew Offensive Rebound.,8,15
12:12,204,Keondre Dew missed Jumper.,8,15
12:12,204,Gligorije Rakocevic Offensive Rebound.,8,15
12:09,204,Gligorije Rakocevic made Layup.,10,15
11:44,2440,Cameron Oliver made Three Point Jumper. Assisted by Marcus Marshall.,10,18
11:23,204,Keondre Dew missed Jumper.,10,18
11:23,2440,D.J. Fenner Defensive Rebound.,10,18
11:13,2440,D.J. Fenner made Jumper.,10,20
10:53,204,Tres Tinkle Turnover.,10,20
10:52,2440,Jordan Caroline Steal.,10,20
10:49,2440,Cameron Oliver made Dunk. Assisted by Marcus Marshall.,10,22
10:32,204,Oregon St  Timeout,10,22
10:19,204,Gligorije Rakocevic missed Jumper.,10,22
10:19,2440,Jordan Caroline Defensive Rebound.,10,22
10:10,2440,Jordan Caroline made Layup.,10,24
10:10,204,Foul on Gligorije Rakocevic.,10,24
10:10,2440,Jordan Caroline missed Free Throw.,10,24
10:10,2440,Cameron Oliver Offensive Rebound.,10,24
10:08,2440,Cameron Oliver Turnover.,10,24
10:08,204,Drew Eubanks Steal.,10,24
9:49,204,Drew Eubanks missed Jumper.,10,24
9:49,2440,D.J. Fenner Defensive Rebound.,10,24
9:41,2440,Leland King II missed Three Point Jumper.,10,24
9:41,204,Drew Eubanks Defensive Rebound.,10,24
9:28,204,Keondre Dew made Layup. Assisted by Matt Dahlen.,12,24
9:09,2440,Cameron Oliver made Three Point Jumper. Assisted by Jordan Caroline.,12,27
8:47,204,Matt Dahlen Turnover.,12,27
8:46,2440,Leland King II Steal.,12,27
8:38,204,Foul on Daine Muller.,12,27
8:38,2440,D.J. Fenner missed Free Throw.,12,27
8:38,2440,Nevada Deadball Team Rebound.,12,27
8:38,2440,D.J. Fenner made Free Throw.,12,28
8:24,204,Tanner Sanders made Three Point Jumper.,15,28
8:07,2440,Jordan Caroline missed Jumper.,15,28
8:07,204,Drew Eubanks Block.,15,28
8:06,204,Tanner Sanders Defensive Rebound.,15,28
7:57,204,Drew Eubanks missed Jumper.,15,28
7:57,2440,Leland King II Defensive Rebound.,15,28
7:41,2440,D.J. Fenner made Three Point Jumper. Assisted by Jordan Caroline.,15,31
7:25,204,Keondre Dew Turnover.,15,31
7:25,2440,D.J. Fenner Steal.,15,31
7:21,204,Foul on Kendal Manuel.,15,31
7:21,2440,Official TV Timeout,15,31
7:21,2440,D.J. Fenner made Free Throw.,15,32
7:21,2440,D.J. Fenner missed Free Throw.,15,32
7:21,204,Drew Eubanks Defensive Rebound.,15,32
7:06,204,Tanner Sanders missed Three Point Jumper.,15,32
7:06,2440,D.J. Fenner Defensive Rebound.,15,32
6:45,2440,Marcus Marshall missed Three Point Jumper.,15,32
6:45,204,Drew Eubanks Defensive Rebound.,15,32
6:13,204,Tres Tinkle missed Three Point Jumper.,15,32
6:13,2440,Nevada Deadball Team Rebound.,15,32
5:51,2440,D.J. Fenner made Jumper. Assisted by Jordan Caroline.,15,34
5:32,204,Tres Tinkle made Layup. Assisted by Kendal Manuel.,17,34
5:20,204,Foul on Kendal Manuel.,17,34
5:20,2440,Elijah Foster missed Free Throw.,17,34
5:20,204,Drew Eubanks Defensive Rebound.,17,34
5:12,204,Kendal Manuel missed Three Point Jumper.,17,34
5:12,2440,Jordan Caroline Defensive Rebound.,17,34
5:03,204,Foul on Drew Eubanks.,17,34
5:03,2440,Cameron Oliver missed Free Throw.,17,34
5:03,204,Tres Tinkle Defensive Rebound.,17,34
4:56,204,Tres Tinkle missed Three Point Jumper.,17,34
4:56,2440,Josh Hall Defensive Rebound.,17,34
4:46,2440,Cameron Oliver missed Three Point Jumper.,17,34
4:46,204,Ronnie Stacy Defensive Rebound.,17,34
4:35,204,Cheikh N'Diaye made Jumper. Assisted by Daine Muller.,19,34
4:17,2440,D.J. Fenner missed Three Point Jumper.,19,34
4:17,2440,Josh Hall Offensive Rebound.,19,34
4:15,204,Foul on Daine Muller.,19,34
4:15,2440,Josh Hall missed Free Throw.,19,34
4:15,2440,Nevada Deadball Team Rebound.,19,34
4:15,2440,Josh Hall made Free Throw.,19,35
4:01,204,Ronnie Stacy missed Jumper.,19,35
4:01,2440,Cameron Oliver Defensive Rebound.,19,35
3:50,2440,Josh Hall Turnover.,19,35
3:50,2440,Official TV Timeout,19,35
3:36,204,Cheikh N'Diaye Turnover.,19,35
3:36,204,Foul on Cheikh N'Diaye.,19,35
3:26,2440,Marcus Marshall missed Three Point Jumper.,19,35
3:26,2440,Elijah Foster Offensive Rebound.,19,35
3:18,204,Foul on Ronnie Stacy.,19,35
3:18,2440,Marcus Marshall made Free Throw.,19,36
3:18,2440,Marcus Marshall missed Free Throw.,19,36
3:18,204,Gligorije Rakocevic Defensive Rebound.,19,36
3:05,204,Jaquori McLaughlin missed Jumper.,19,36
3:05,204,Gligorije Rakocevic Offensive Rebound.,19,36
3:00,204,Gligorije Rakocevic made Jumper.,21,36
2:44,2440,Cameron Oliver made Layup. Assisted by Marcus Marshall.,21,38
2:37,2440,Foul on Marcus Marshall.,21,38
2:32,2440,Foul on D.J. Fenner.,21,38
2:28,204,Tres Tinkle missed Three Point Jumper.,21,38
2:28,2440,Cameron Oliver Defensive Rebound.,21,38
2:19,2440,Josh Hall missed Layup.,21,38
2:19,204,Tres Tinkle Defensive Rebound.,21,38
2:18,204,Tres Tinkle Turnover.,21,38
2:05,2440,Marcus Marshall missed Jumper.,21,38
2:05,2440,Nevada Offensive Rebound.,21,38
2:03,204,Foul on Gligorije Rakocevic.,21,38
2:03,2440,Cameron Oliver made Free Throw.,21,39
2:03,2440,Cameron Oliver made Free Throw.,21,40
1:55,204,Jaquori McLaughlin Turnover.,21,40
1:54,2440,Marcus Marshall Steal.,21,40
1:53,2440,Cameron Oliver Turnover.,21,40
1:51,204,Jaquori McLaughlin Steal.,21,40
1:49,204,Jaquori McLaughlin made Layup.,23,40
1:33,2440,D.J. Fenner made Three Point Jumper. Assisted by Marcus Marshall.,23,43
1:17,204,Keondre Dew made Jumper. Assisted by Ronnie Stacy.,25,43
1:00,2440,Cameron Oliver made Dunk. Assisted by Marcus Marshall.,25,45
0:42,204,Jaquori McLaughlin missed Three Point Jumper.,25,45
0:42,2440,Cameron Oliver Defensive Rebound.,25,45
0:09,2440,Marcus Marshall Turnover.,25,45
0:08,204,Ronnie Stacy Steal.,25,45
0:07,204,Ronnie Stacy missed Three Point Jumper.,25,45
0:07,2440,Nevada Deadball Team Rebound.,25,45
0:02,2440,Marcus Marshall made Three Point Jumper.,25,48
0:00,2440,End of 1st half,25,48
19:45,204,Foul on Cheikh N'Diaye.,25,48
19:44,2440,Elijah Foster made Free Throw.,25,49
19:44,2440,Elijah Foster made Free Throw.,25,50
19:30,204,Tres Tinkle missed Jumper.,25,50
19:30,2440,Jordan Caroline Defensive Rebound.,25,50
19:08,2440,Marcus Marshall missed Three Point Jumper.,25,50
19:08,204,Drew Eubanks Defensive Rebound.,25,50
18:57,204,Tres Tinkle missed Three Point Jumper.,25,50
18:57,2440,Cameron Oliver Defensive Rebound.,25,50
18:49,2440,Elijah Foster Turnover.,25,50
18:49,2440,Foul on Elijah Foster.,25,50
18:31,204,Drew Eubanks made Jumper. Assisted by Tres Tinkle.,27,50
18:11,2440,Marcus Marshall made Three Point Jumper. Assisted by Jordan Caroline.,27,53
17:53,204,Drew Eubanks made Dunk.,29,53
17:43,2440,Elijah Foster missed Layup.,29,53
17:43,204,Drew Eubanks Defensive Rebound.,29,53
17:28,2440,Foul on Elijah Foster.,29,53
17:25,204,Tres Tinkle made Layup. Assisted by Jaquori McLaughlin.,31,53
17:18,2440,D.J. Fenner missed Three Point Jumper.,31,53
17:18,204,Ronnie Stacy Defensive Rebound.,31,53
17:07,2440,Foul on Lindsey Drew.,31,53
17:07,204,Cheikh N'Diaye missed Free Throw.,31,53
17:07,204,Oregon St Deadball Team Rebound.,31,53
17:07,204,Cheikh N'Diaye made Free Throw.,32,53
16:51,2440,D.J. Fenner Turnover.,32,53
16:50,204,Keondre Dew Turnover.,32,53
16:49,2440,Marcus Marshall Steal.,32,53
16:48,2440,Marcus Marshall made Layup.,32,55
16:31,204,Keondre Dew Turnover.,32,55
16:17,2440,Jordan Caroline made Layup. Assisted by Cameron Oliver.,32,57
15:53,204,Keondre Dew Turnover.,32,57
15:52,2440,Jordan Caroline Steal.,32,57
15:48,2440,Jordan Caroline made Layup.,32,59
15:46,204,Oregon St  Timeout,32,59
15:35,204,Ronnie Stacy missed Layup.,32,59
15:35,204,Oregon St Offensive Rebound.,32,59
15:18,204,Drew Eubanks Turnover.,32,59
15:18,204,Foul on Drew Eubanks.,32,59
15:05,2440,Jordan Caroline Turnover.,32,59
15:04,204,Keondre Dew Steal.,32,59
14:57,204,Jaquori McLaughlin Turnover.,32,59
14:57,2440,Lindsey Drew Steal.,32,59
14:55,204,Foul on Tres Tinkle.,32,59
14:55,2440,D.J. Fenner made Free Throw.,32,60
14:55,2440,D.J. Fenner made Free Throw.,32,61
14:55,204,Tres Tinkle Turnover.,32,61
14:53,2440,D.J. Fenner Turnover.,32,61
14:28,204,Gligorije Rakocevic missed Jumper.,32,61
14:28,2440,Jordan Caroline Defensive Rebound.,32,61
14:06,2440,Jordan Caroline Turnover.,32,61
14:05,204,Keondre Dew Steal.,32,61
14:04,2440,Foul on D.J. Fenner.,32,61
14:04,2440,Foul on Lindsey Drew.,32,61
14:01,204,Gligorije Rakocevic made Jumper. Assisted by Tres Tinkle.,34,61
13:42,2440,D.J. Fenner missed Jumper.,34,61
13:42,2440,Jordan Caroline Offensive Rebound.,34,61
13:40,204,Foul on Keondre Dew.,34,61
13:40,2440,Jordan Caroline made Free Throw.,34,62
13:40,2440,Jordan Caroline made Free Throw.,34,63
13:23,204,Tres Tinkle missed Jumper.,34,63
13:23,2440,Jordan Caroline Defensive Rebound.,34,63
13:03,2440,Cameron Oliver missed Three Point Jumper.,34,63
13:03,204,Jaquori McLaughlin Defensive Rebound.,34,63
12:56,204,Jaquori McLaughlin missed Three Point Jumper.,34,63
12:56,2440,Elijah Foster Defensive Rebound.,34,63
12:40,2440,Cameron Oliver made Jumper.,34,65
12:40,204,Foul on Keondre Dew.,34,65
12:40,2440,Cameron Oliver made Free Throw.,34,66
12:18,204,Keondre Dew missed Layup.,34,66
12:18,204,Oregon St Offensive Rebound.,34,66
12:11,204,Gligorije Rakocevic Turnover.,34,66
12:10,2440,Marcus Marshall Steal.,34,66
12:05,2440,D.J. Fenner Turnover.,34,66
11:51,204,Gligorije Rakocevic missed Jumper.,34,66
11:51,2440,Cameron Oliver Block.,34,66
11:50,204,Keondre Dew Offensive Rebound.,34,66
11:46,204,Gligorije Rakocevic made Jumper. Assisted by Daine Muller.,36,66
11:23,204,Foul on Daine Muller.,36,66
11:23,2440,Official TV Timeout,36,66
11:00,2440,Leland King II missed Jumper.,36,66
11:00,204,Gligorije Rakocevic Block.,36,66
10:58,2440,Leland King II Offensive Rebound.,36,66
10:56,2440,Leland King II made Layup.,36,68
10:36,2440,Foul on D.J. Fenner.,36,68
10:27,204,Tanner Sanders missed Three Point Jumper.,36,68
10:27,2440,Marcus Marshall Defensive Rebound.,36,68
10:16,2440,D.J. Fenner missed Jumper.,36,68
10:16,2440,D.J. Fenner Offensive Rebound.,36,68
10:11,2440,Leland King II missed Three Point Jumper.,36,68
10:11,204,Gligorije Rakocevic Defensive Rebound.,36,68
9:58,204,Tanner Sanders made Jumper. Assisted by Tres Tinkle.,38,68
9:53,2440,Jordan Caroline Turnover.,38,68
9:53,2440,Foul on Jordan Caroline.,38,68
9:36,204,Ronnie Stacy made Dunk. Assisted by Daine Muller.,40,68
9:19,2440,Marcus Marshall missed Three Point Jumper.,40,68
9:19,204,Tres Tinkle Defensive Rebound.,40,68
9:12,204,Tres Tinkle made Layup.,42,68
8:57,204,Foul on Gligorije Rakocevic.,42,68
8:57,2440,Cameron Oliver made Free Throw.,42,69
8:57,2440,Cameron Oliver missed Free Throw.,42,69
8:57,204,Ronnie Stacy Defensive Rebound.,42,69
8:28,204,Drew Eubanks missed Jumper.,42,69
8:28,2440,Jordan Caroline Defensive Rebound.,42,69
7:58,2440,Leland King II missed Three Point Jumper.,42,69
7:58,2440,D.J. Fenner Offensive Rebound.,42,69
7:40,2440,Lindsey Drew made Layup.,42,71
7:25,204,Ronnie Stacy missed Layup.,42,71
7:25,2440,Cameron Oliver Defensive Rebound.,42,71
7:14,2440,Leland King II made Dunk. Assisted by D.J. Fenner.,42,73
7:12,204,Oregon St  Timeout,42,73
6:50,204,Drew Eubanks made Layup.,44,73
6:27,2440,Elijah Foster missed Jumper.,44,73
6:27,204,Drew Eubanks Defensive Rebound.,44,73
6:09,204,Tres Tinkle missed Jumper.,44,73
6:09,204,Tanner Sanders Offensive Rebound.,44,73
6:06,2440,Foul on Elijah Foster.,44,73
6:06,204,Foul on Drew Eubanks.,44,73
6:04,204,Tres Tinkle made Jumper. Assisted by Tanner Sanders.,46,73
6:04,2440,Foul on Josh Hall.,46,73
6:04,204,Tres Tinkle missed Free Throw.,46,73
6:04,2440,Leland King II Defensive Rebound.,46,73
6:03,204,Foul on Ronnie Stacy.,46,73
6:03,2440,Leland King II missed Free Throw.,46,73
6:03,204,Drew Eubanks Defensive Rebound.,46,73
5:54,2440,Foul on Josh Hall.,46,73
5:54,204,Tres Tinkle made Free Throw.,47,73
5:54,204,Tres Tinkle made Free Throw.,48,73
5:36,2440,Elijah Foster made Jumper. Assisted by Leland King II.,48,75
5:17,204,Drew Eubanks missed Jumper.,48,75
5:17,2440,Elijah Foster Defensive Rebound.,48,75
4:57,2440,Lindsey Drew Turnover.,48,75
4:57,2440,Foul on Lindsey Drew.,48,75
4:43,204,Drew Eubanks Turnover.,48,75
4:43,204,Foul on Drew Eubanks.,48,75
4:17,2440,Leland King II made Jumper.,48,77
4:03,204,Ronnie Stacy made Layup. Assisted by Tres Tinkle.,50,77
4:02,204,Oregon St  Timeout,50,77
3:38,2440,Josh Hall made Jumper. Assisted by D.J. Fenner.,50,79
3:21,204,Tres Tinkle made Layup. Assisted by Ronnie Stacy.,52,79
3:04,2440,Leland King II missed Three Point Jumper.,52,79
3:04,204,Ronnie Stacy Defensive Rebound.,52,79
2:54,204,Tanner Sanders Turnover.,52,79
2:25,2440,Elijah Foster made Jumper. Assisted by Marcus Marshall.,52,81
2:07,204,Gligorije Rakocevic made Jumper. Assisted by Tres Tinkle.,54,81
1:37,2440,Marcus Marshall Turnover.,54,81
1:37,204,Tanner Sanders Steal.,54,81
1:31,204,Tres Tinkle made Layup.,56,81
1:10,2440,Marcus Marshall missed Three Point Jumper.,56,81
1:10,204,Gligorije Rakocevic Defensive Rebound.,56,81
0:54,204,Tres Tinkle Turnover.,56,81
0:53,2440,Marcus Marshall Steal.,56,81
0:51,204,Foul on Gligorije Rakocevic.,56,81
0:51,2440,Elijah Foster made Free Throw.,56,82
0:51,2440,Elijah Foster made Free Throw.,56,83
0:24,204,Cheikh N'Diaye made Jumper. Assisted by Matt Dahlen.,58,83
0:00,2440,End of Game,58,83
