Delaware,193,Miami (OH),48
14:06,48,Chivarsky Corbett missed Three Point Jumper.,12,7
14:06,48,Ryan Daly Offensive Rebound.,12,7
13:45,48,Darian Bryant missed Layup.,12,7
13:45,48,Darian Bryant Offensive Rebound.,12,7
13:44,48,Darian Bryant made Two Point Tip Shot.,14,7
13:23,193,Jake Wright made Jumper. Assisted by Zach McCormick.,14,9
13:02,48,Chivarsky Corbett made Jumper. Assisted by Eric Carter.,16,9
12:45,193,Jake Wright made Jumper. Assisted by Abdoulaye Harouna.,16,11
12:23,48,Chivarsky Corbett made Layup. Assisted by Darian Bryant.,18,11
12:11,193,Abdoulaye Harouna missed Three Point Jumper.,18,11
12:11,193,Rod Mills Jr. Offensive Rebound.,18,11
12:02,193,Logan McLane made Layup.,18,13
11:55,48,Foul on Darian Bryant.,18,13
11:55,193,Official TV Timeout,18,13
11:55,193,Logan McLane missed Free Throw.,18,13
11:55,48,Skye Johnson Defensive Rebound.,18,13
11:55,193,Foul on Dion Wade.,18,13
11:43,48,Skye Johnson Turnover.,18,13
11:43,193,Michael Weathers Steal.,18,13
11:30,193,Marcus Weathers made Three Point Jumper. Assisted by Michael Weathers.,18,16
10:56,48,Ryan Daly missed Three Point Jumper.,18,16
10:56,193,Michael Weathers Defensive Rebound.,18,16
10:44,193,Dion Wade missed Jumper.,18,16
10:44,48,Ryan Daly Defensive Rebound.,18,16
10:27,48,Ryan Daly made Layup. Assisted by Jacob Cushing.,20,16
10:16,193,Michael Weathers Turnover.,20,16
10:15,48,Skye Johnson Steal.,20,16
10:05,193,Foul on Logan McLane.,20,16
9:57,48,Anthony Mosley missed Three Point Jumper.,20,16
9:57,193,Marcus Weathers Defensive Rebound.,20,16
9:49,48,Foul on Anthony Mosley.,20,16
9:43,193,Darius Harper Turnover.,20,16
9:43,48,Anthony Mosley Steal.,20,16
9:35,48,Devonne Pinkard missed Three Point Jumper.,20,16
9:35,193,Miami (OH) Defensive Rebound.,20,16
9:12,193,Dion Wade made Three Point Jumper. Assisted by Michael Weathers.,20,19
8:44,193,Foul on Darius Harper.,20,19
8:44,48,Eric Carter missed Free Throw.,20,19
8:44,48,Delaware Deadball Team Rebound.,20,19
8:44,48,Eric Carter made Free Throw.,21,19
8:40,48,Foul on Cazmon Hayes.,21,19
8:28,193,Abdoulaye Harouna missed Jumper.,21,19
8:28,48,Anthony Mosley Defensive Rebound.,21,19
8:23,48,Anthony Mosley made Layup.,23,19
8:05,193,Rod Mills Jr. missed Jumper.,23,19
8:05,48,Chivarsky Corbett Defensive Rebound.,23,19
7:56,48,Foul on Chivarsky Corbett.,23,19
7:56,48,Chivarsky Corbett Turnover.,23,19
7:56,193,Official TV Timeout,23,19
7:32,193,Rod Mills Jr. missed Three Point Jumper.,23,19
7:32,48,Chivarsky Corbett Defensive Rebound.,23,19
7:22,193,Foul on Jake Wright.,23,19
7:13,48,Devonne Pinkard missed Three Point Jumper.,23,19
7:13,193,Jake Wright Defensive Rebound.,23,19
6:52,193,Milos Jovic missed Three Point Jumper.,23,19
6:52,48,Chivarsky Corbett Defensive Rebound.,23,19
6:39,48,Cazmon Hayes made Three Point Jumper. Assisted by Anthony Mosley.,26,19
6:19,193,Abdoulaye Harouna made Three Point Jumper. Assisted by Rod Mills Jr..,26,22
6:01,193,Foul on Abdoulaye Harouna.,26,22
5:33,48,Anthony Mosley made Layup.,28,22
5:26,193,Jake Wright missed Three Point Jumper.,28,22
5:26,48,Eric Carter Defensive Rebound.,28,22
5:08,193,Foul on Logan McLane.,28,22
5:08,48,Eric Carter made Free Throw.,29,22
5:08,48,Eric Carter missed Free Throw.,29,22
5:08,193,Dion Wade Defensive Rebound.,29,22
4:50,193,Michael Weathers missed Layup.,29,22
4:50,48,Anthony Mosley Defensive Rebound.,29,22
4:33,48,Ryan Daly Turnover.,29,22
4:31,193,Michael Weathers Steal.,29,22
4:28,48,Foul on Cazmon Hayes.,29,22
4:28,193,Jake Wright made Free Throw.,29,23
4:28,193,Jake Wright made Free Throw.,29,24
4:13,193,Abdoulaye Harouna Turnover.,29,24
4:12,48,Ryan Daly Steal.,29,24
3:48,193,Foul on Zach McCormick.,29,24
3:48,193,Official TV Timeout,29,24
3:48,48,Darian Bryant made Free Throw.,30,24
3:48,48,Darian Bryant made Free Throw.,31,24
3:36,193,Dion Wade missed Layup.,31,24
3:36,193,Dion Wade Offensive Rebound.,31,24
3:29,193,Dion Wade Turnover.,31,24
3:05,48,Anthony Mosley missed Three Point Jumper.,31,24
3:05,48,Delaware Offensive Rebound.,31,24
3:04,193,Foul on Abdoulaye Harouna.,31,24
3:04,48,Darian Bryant made Free Throw.,32,24
3:04,48,Darian Bryant made Free Throw.,33,24
2:55,48,Foul on Ryan Daly.,33,24
2:55,193,Michael Weathers missed Free Throw.,33,24
2:55,193,Miami (OH) Deadball Team Rebound.,33,24
2:55,193,Michael Weathers made Free Throw.,33,25
2:55,48,Ryan Daly Turnover.,33,25
2:40,193,Michael Weathers missed Layup.,33,25
2:40,48,Ryan Daly Block.,33,25
2:39,193,Michael Weathers Offensive Rebound.,33,25
2:36,48,Foul on Chivarsky Corbett.,33,25
2:36,193,Michael Weathers made Free Throw.,33,26
2:36,193,Michael Weathers made Free Throw.,33,27
2:22,48,Darian Bryant Turnover.,33,27
2:08,193,Jake Wright made Jumper. Assisted by Michael Weathers.,33,29
1:44,48,Jacob Cushing made Jumper.,35,29
1:31,193,Foul on Darius Harper.,35,29
1:31,193,Darius Harper Turnover.,35,29
1:05,48,Devonne Pinkard missed Three Point Jumper.,35,29
1:05,193,Michael Weathers Defensive Rebound.,35,29
0:56,193,Michael Weathers missed Jumper.,35,29
0:56,193,Michael Weathers Offensive Rebound.,35,29
0:53,193,Michael Weathers Turnover.,35,29
0:52,48,Skye Johnson Steal.,35,29
0:46,48,Delaware  Timeout,35,29
0:26,48,Skye Johnson missed Layup.,35,29
0:26,193,Dion Wade Block.,35,29
0:24,193,Marcus Weathers Defensive Rebound.,35,29
0:21,193,Miami (OH)  Timeout,35,29
0:02,193,Jake Wright missed Three Point Jumper.,35,29
0:02,48,Eric Carter Defensive Rebound.,35,29
0:00,193,End of 1st half,35,29
19:42,48,Cazmon Hayes Turnover.,35,29
19:41,193,Abdoulaye Harouna Steal.,35,29
19:21,193,Abdoulaye Harouna Turnover.,35,29
19:20,48,Anthony Mosley Steal.,35,29
19:17,48,Anthony Mosley missed Layup.,35,29
19:17,193,Miami (OH) Defensive Rebound.,35,29
18:57,48,Foul on Eric Carter.,35,29
18:57,193,Darius Harper missed Free Throw.,35,29
18:57,193,Miami (OH) Deadball Team Rebound.,35,29
18:57,193,Darius Harper made Free Throw.,35,30
18:30,48,Anthony Mosley Turnover.,35,30
18:28,193,Darius Harper Steal.,35,30
18:23,193,Michael Weathers missed Jumper.,35,30
18:23,48,Eric Carter Defensive Rebound.,35,30
18:11,48,Chivarsky Corbett missed Three Point Jumper.,35,30
18:11,193,Michael Weathers Defensive Rebound.,35,30
17:53,48,Foul on Eric Carter.,35,30
17:51,193,Jake Wright missed Layup.,35,30
17:51,48,Delaware Defensive Rebound.,35,30
17:35,48,Cazmon Hayes made Three Point Jumper. Assisted by Anthony Mosley.,38,30
17:22,193,Michael Weathers made Layup.,38,32
17:22,48,Foul on Devonne Pinkard.,38,32
17:22,193,Michael Weathers missed Free Throw.,38,32
17:22,48,Eric Carter Defensive Rebound.,38,32
16:59,48,Anthony Mosley made Layup.,40,32
16:49,48,Foul on Devonne Pinkard.,40,32
16:46,193,Jake Wright missed Three Point Jumper.,40,32
16:46,48,Eric Carter Defensive Rebound.,40,32
16:25,48,Anthony Mosley missed Layup.,40,32
16:25,193,Logan McLane Defensive Rebound.,40,32
16:01,193,Rod Mills Jr. missed Three Point Jumper.,40,32
16:01,48,Cazmon Hayes Defensive Rebound.,40,32
15:44,193,Foul on Zach McCormick.,40,32
15:44,193,Official TV Timeout,40,32
15:36,48,Darian Bryant missed Jumper.,40,32
15:36,193,Jake Wright Defensive Rebound.,40,32
15:29,193,Zach McCormick made Layup.,40,34
15:27,48,Foul on Eric Carter.,40,34
15:27,193,Zach McCormick made Free Throw.,40,35
15:06,48,Skye Johnson Turnover.,40,35
15:06,193,Dion Wade Steal.,40,35
14:51,193,Zach McCormick Turnover.,40,35
14:50,48,Chivarsky Corbett Steal.,40,35
14:46,193,Foul on Zach McCormick.,40,35
14:46,48,Chivarsky Corbett made Free Throw.,41,35
14:46,48,Chivarsky Corbett made Free Throw.,42,35
14:21,193,Abdoulaye Harouna missed Jumper.,42,35
14:21,193,Miami (OH) Offensive Rebound.,42,35
13:59,193,Abdoulaye Harouna missed Three Point Jumper.,42,35
13:59,48,Anthony Mosley Defensive Rebound.,42,35
13:30,48,Chivarsky Corbett made Layup.,44,35
13:20,193,Abdoulaye Harouna made Layup.,44,37
12:50,48,Anthony Mosley missed Layup.,44,37
12:50,193,Michael Weathers Defensive Rebound.,44,37
12:44,193,Dion Wade missed Three Point Jumper.,44,37
12:44,48,Ryan Daly Defensive Rebound.,44,37
12:35,48,Delaware  Timeout,44,37
12:14,48,Darian Bryant missed Three Point Jumper.,44,37
12:14,48,Anthony Mosley Offensive Rebound.,44,37
11:56,193,Foul on Michael Weathers.,44,37
11:56,193,Official TV Timeout,44,37
11:41,193,Foul on Darius Harper.,44,37
11:34,193,Foul on Marcus Weathers.,44,37
11:34,48,Ryan Daly missed Free Throw.,44,37
11:34,48,Delaware Deadball Team Rebound.,44,37
11:34,48,Ryan Daly missed Free Throw.,44,37
11:34,193,Dion Wade Defensive Rebound.,44,37
11:24,193,Jake Wright Turnover.,44,37
11:23,48,Ryan Daly Steal.,44,37
11:21,48,Darian Bryant made Layup.,46,37
11:01,193,Darius Harper made Layup.,46,39
10:39,48,Ryan Daly missed Three Point Jumper.,46,39
10:39,48,Eric Carter Offensive Rebound.,46,39
10:34,48,Eric Carter missed Layup.,46,39
10:34,48,Eric Carter Offensive Rebound.,46,39
10:21,48,Darian Bryant made Layup. Assisted by Anthony Mosley.,48,39
10:14,48,Foul on Ryan Daly.,48,39
10:07,193,Michael Weathers made Layup.,48,41
9:39,48,Chivarsky Corbett missed Jumper.,48,41
9:39,193,Michael Weathers Block.,48,41
9:37,193,Darius Harper Defensive Rebound.,48,41
9:20,48,Foul on Eric Carter.,48,41
9:20,193,Darius Harper made Free Throw.,48,42
9:20,193,Darius Harper missed Free Throw.,48,42
9:20,48,Skye Johnson Defensive Rebound.,48,42
8:57,193,Foul on Marcus Weathers.,48,42
8:57,48,Darian Bryant made Free Throw.,49,42
8:57,48,Darian Bryant missed Free Throw.,49,42
8:57,193,Dion Wade Defensive Rebound.,49,42
8:31,193,Michael Weathers made Three Point Jumper.,49,45
8:08,48,Skye Johnson Turnover.,49,45
8:06,193,Rod Mills Jr. Steal.,49,45
8:05,193,Foul on Abdoulaye Harouna.,49,45
8:05,193,Abdoulaye Harouna Turnover.,49,45
7:50,48,Cazmon Hayes made Layup.,51,45
7:31,48,Foul on Skye Johnson.,51,45
7:31,193,Official TV Timeout,51,45
7:31,193,Michael Weathers made Free Throw.,51,46
7:31,193,Michael Weathers made Free Throw.,51,47
7:16,48,Chivarsky Corbett missed Three Point Jumper.,51,47
7:16,48,Delaware Offensive Rebound.,51,47
6:59,48,Cazmon Hayes missed Three Point Jumper.,51,47
6:59,193,Jake Wright Defensive Rebound.,51,47
6:49,193,Dion Wade missed Three Point Jumper.,51,47
6:49,193,Jake Wright Offensive Rebound.,51,47
6:44,193,Miami (OH)  Timeout,51,47
6:42,193,Michael Weathers made Layup.,51,49
6:16,48,Ryan Daly missed Three Point Jumper.,51,49
6:16,193,Michael Weathers Block.,51,49
6:14,48,Delaware Offensive Rebound.,51,49
6:07,48,Darian Bryant missed Three Point Jumper.,51,49
6:07,193,Darius Harper Defensive Rebound.,51,49
5:45,193,Jake Wright missed Three Point Jumper.,51,49
5:45,48,Ryan Daly Defensive Rebound.,51,49
5:27,193,Foul on Rod Mills Jr..,51,49
5:27,48,Anthony Mosley made Free Throw.,52,49
5:27,48,Anthony Mosley made Free Throw.,53,49
5:10,48,Foul on Barnett Harris.,53,49
5:10,193,Darius Harper made Free Throw.,53,50
5:10,193,Darius Harper missed Free Throw.,53,50
5:10,48,Chivarsky Corbett Defensive Rebound.,53,50
4:46,48,Cazmon Hayes made Layup.,55,50
4:21,193,Zach McCormick Turnover.,55,50
4:20,48,Anthony Mosley Steal.,55,50
4:16,48,Anthony Mosley made Layup.,57,50
4:15,193,Miami (OH)  Timeout,57,50
4:15,193,Official TV Timeout,57,50
3:55,193,Jake Wright missed Jumper.,57,50
3:55,48,Barnett Harris Defensive Rebound.,57,50
3:27,48,Anthony Mosley missed Jumper.,57,50
3:27,193,Michael Weathers Block.,57,50
3:26,193,Michael Weathers Defensive Rebound.,57,50
3:23,193,Michael Weathers made Layup.,57,52
2:51,48,Darian Bryant missed Jumper.,57,52
2:51,48,Anthony Mosley Offensive Rebound.,57,52
2:49,48,Anthony Mosley made Two Point Tip Shot.,59,52
2:48,48,Anthony Mosley missed Free Throw.,59,52
2:48,193,Foul on Abdoulaye Harouna.,59,52
2:48,193,Dion Wade Defensive Rebound.,59,52
2:39,193,Dion Wade made Three Point Jumper. Assisted by Abdoulaye Harouna.,59,55
2:22,48,Delaware  Timeout,59,55
2:10,193,Foul on Jake Wright.,59,55
2:10,48,Darian Bryant made Free Throw.,60,55
2:10,48,Darian Bryant made Free Throw.,61,55
2:03,48,Foul on Darian Bryant.,61,55
2:03,193,Michael Weathers missed Free Throw.,61,55
2:03,193,Miami (OH) Deadball Team Rebound.,61,55
2:03,193,Michael Weathers made Free Throw.,61,56
1:36,48,Chivarsky Corbett missed Layup.,61,56
1:36,48,Devonne Pinkard Offensive Rebound.,61,56
1:33,48,Devonne Pinkard missed Layup.,61,56
1:33,193,Abdoulaye Harouna Block.,61,56
1:32,193,Marcus Weathers Defensive Rebound.,61,56
1:27,193,Michael Weathers Turnover.,61,56
1:26,48,Anthony Mosley Steal.,61,56
1:04,48,Darian Bryant missed Layup.,61,56
1:04,193,Michael Weathers Block.,61,56
1:02,193,Dion Wade Defensive Rebound.,61,56
0:51,193,Dion Wade made Dunk. Assisted by Michael Weathers.,61,58
0:51,193,Miami (OH)  Timeout,61,58
0:32,48,Darian Bryant Turnover.,61,58
0:32,193,Marcus Weathers Steal.,61,58
0:32,193,Technical Foul on Marcus Weathers.,61,58
0:32,48,Chivarsky Corbett made Free Throw.,62,58
0:24,193,Michael Weathers made Layup.,62,60
0:24,48,Foul on Darian Bryant.,62,60
0:24,193,Michael Weathers made Free Throw.,62,61
0:18,193,Foul on Michael Weathers.,62,61
0:18,48,Anthony Mosley made Free Throw.,63,61
0:18,48,Anthony Mosley made Free Throw.,64,61
0:14,193,Rod Mills Jr. made Three Point Jumper. Assisted by Michael Weathers.,64,64
0:07,48,Chivarsky Corbett made Three Point Jumper. Assisted by Anthony Mosley.,67,64
0:05,48,Delaware  Timeout,67,64
0:03,48,Foul on Darian Bryant.,67,64
0:03,193,Michael Weathers made Free Throw.,67,65
0:03,193,Michael Weathers made Free Throw.,67,66
0:03,193,Foul on Dion Wade.,67,66
0:03,48,Chivarsky Corbett made Free Throw.,68,66
0:03,48,Chivarsky Corbett missed Free Throw.,68,66
0:03,48,Chivarsky Corbett Offensive Rebound.,68,66
0:00,193,End of Game,68,66
