Siena,2305,Kansas,2561
8:52,2561,Foul on Brett Bisping.,17,26
8:52,2305,Carlton Bragg Jr. made Free Throw.,17,27
8:37,2305,Foul on Devonte' Graham.,17,27
8:25,2561,Marquis Wright Turnover.,17,27
8:24,2305,Carlton Bragg Jr. Steal.,17,27
8:20,2305,Foul on Frank Mason III.,17,27
8:20,2305,Frank Mason III Turnover.,17,27
8:02,2561,Khalil Richard made Jumper.,19,27
7:43,2305,Lagerald Vick missed Three Point Jumper.,19,27
7:43,2561,Kadeem Smithen Defensive Rebound.,19,27
7:12,2561,Javion Ogunyemi made Jumper.,21,27
6:49,2305,Devonte' Graham made Jumper.,21,29
6:19,2561,Javion Ogunyemi made Jumper.,23,29
6:09,2561,Foul on Khalil Richard.,23,29
6:09,2305,Official TV Timeout,23,29
6:05,2305,Devonte' Graham made Free Throw.,23,30
6:05,2305,Devonte' Graham missed Free Throw.,23,30
6:05,2561,Javion Ogunyemi Defensive Rebound.,23,30
5:44,2561,Javion Ogunyemi missed Jumper.,23,30
5:44,2305,Landen Lucas Defensive Rebound.,23,30
5:36,2305,Frank Mason III made Layup.,23,32
5:03,2561,Ahsante Shivers missed Jumper.,23,32
5:03,2561,Sammy Friday Offensive Rebound.,23,32
4:56,2305,Foul on Udoka Azubuike.,23,32
4:44,2561,Javion Ogunyemi missed Jumper.,23,32
4:44,2305,Udoka Azubuike Block.,23,32
4:44,2561,Sammy Friday Offensive Rebound.,23,32
4:42,2561,Sammy Friday missed Layup.,23,32
4:42,2305,Udoka Azubuike Defensive Rebound.,23,32
4:36,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,23,32
4:36,2561,Sammy Friday Defensive Rebound.,23,32
4:28,2561,Marquis Wright made Layup.,25,32
4:13,2305,Frank Mason III missed Jumper.,25,32
4:13,2305,Devonte' Graham Offensive Rebound.,25,32
4:07,2305,Frank Mason III made Layup.,25,34
3:39,2561,Javion Ogunyemi missed Three Point Jumper.,25,34
3:39,2305,Udoka Azubuike Defensive Rebound.,25,34
3:23,2305,Landen Lucas missed Jumper.,25,34
3:23,2561,Javion Ogunyemi Block.,25,34
3:22,2561,Sammy Friday Defensive Rebound.,25,34
3:18,2561,Marquis Wright missed Layup.,25,34
3:18,2561,Marquis Wright Offensive Rebound.,25,34
3:14,2561,Marquis Wright made Layup.,27,34
2:56,2305,Landen Lucas missed Layup.,27,34
2:56,2561,Javion Ogunyemi Block.,27,34
2:55,2561,Javion Ogunyemi Defensive Rebound.,27,34
2:42,2561,Siena  Timeout,27,34
2:30,2561,Evan Fisher missed Layup.,27,34
2:30,2305,Lagerald Vick Defensive Rebound.,27,34
2:18,2305,Frank Mason III missed Three Point Jumper.,27,34
2:18,2305,Carlton Bragg Jr. Offensive Rebound.,27,34
2:14,2305,Carlton Bragg Jr. made Layup.,27,36
1:47,2561,Javion Ogunyemi Turnover.,27,36
1:34,2305,Lagerald Vick made Dunk. Assisted by Sviatoslav Mykhailiuk.,27,38
1:06,2561,Javion Ogunyemi missed Layup.,27,38
1:06,2305,Carlton Bragg Jr. Defensive Rebound.,27,38
0:59,2305,Carlton Bragg Jr. Turnover.,27,38
0:56,2561,Evan Fisher Steal.,27,38
0:54,2305,Foul on Lagerald Vick.,27,38
0:54,2561,Marquis Wright made Free Throw.,28,38
0:54,2561,Marquis Wright missed Free Throw.,28,38
0:54,2305,Carlton Bragg Jr. Defensive Rebound.,28,38
0:48,2305,Kansas  Timeout,28,38
0:41,2305,Lagerald Vick made Dunk. Assisted by Devonte' Graham.,28,40
0:14,2561,Marquis Wright made Layup.,30,40
0:02,2305,Devonte' Graham missed Three Point Jumper.,30,40
0:02,2305,Lagerald Vick Offensive Rebound.,30,40
0:01,2305,Sviatoslav Mykhailiuk missed Jumper.,30,40
0:01,2561,Siena Deadball Team Rebound.,30,40
0:00,2305,End of 1st half,30,40
19:55,2305,Frank Mason III Turnover.,30,40
19:54,2561,Marquis Wright Steal.,30,40
19:45,2305,Foul on Landen Lucas.,30,40
19:45,2561,Javion Ogunyemi made Free Throw.,31,40
19:45,2561,Javion Ogunyemi made Free Throw.,32,40
19:39,2305,Landen Lucas made Dunk. Assisted by Carlton Bragg Jr..,32,42
19:25,2561,Kadeem Smithen Turnover.,32,42
19:15,2305,Frank Mason III missed Three Point Jumper.,32,42
19:15,2561,Brett Bisping Defensive Rebound.,32,42
19:04,2305,Foul on Josh Jackson.,32,42
18:55,2561,Javion Ogunyemi missed Layup.,32,42
18:55,2305,Landen Lucas Block.,32,42
18:54,2305,Landen Lucas Defensive Rebound.,32,42
18:49,2305,Josh Jackson made Layup. Assisted by Devonte' Graham.,32,44
18:26,2561,Javion Ogunyemi made Jumper. Assisted by Ahsante Shivers.,34,44
18:06,2305,Josh Jackson Turnover.,34,44
18:03,2561,Ahsante Shivers Steal.,34,44
18:01,2561,Marquis Wright missed Layup.,34,44
18:01,2305,Landen Lucas Defensive Rebound.,34,44
17:54,2305,Frank Mason III missed Layup.,34,44
17:54,2561,Javion Ogunyemi Block.,34,44
17:51,2305,Josh Jackson Offensive Rebound.,34,44
17:49,2305,Josh Jackson made Jumper.,34,46
17:47,2305,Kansas  Timeout,34,46
17:28,2561,Kadeem Smithen missed Three Point Jumper.,34,46
17:28,2561,Javion Ogunyemi Offensive Rebound.,34,46
17:15,2561,Marquis Wright made Layup.,36,46
16:54,2305,Udoka Azubuike missed Jumper.,36,46
16:54,2305,Udoka Azubuike Offensive Rebound.,36,46
16:51,2561,Foul on Javion Ogunyemi.,36,46
16:51,2305,Udoka Azubuike missed Free Throw.,36,46
16:51,2305,Kansas Deadball Team Rebound.,36,46
16:51,2305,Udoka Azubuike made Free Throw.,36,47
16:43,2561,Brett Bisping missed Layup.,36,47
16:42,2305,Lagerald Vick Block.,36,47
16:41,2561,Ahsante Shivers Offensive Rebound.,36,47
16:37,2561,Ahsante Shivers made Layup.,38,47
16:23,2305,Carlton Bragg Jr. made Layup. Assisted by Devonte' Graham.,38,49
16:07,2561,Marquis Wright made Layup. Assisted by Javion Ogunyemi.,40,49
16:02,2305,Frank Mason III missed Jumper.,40,49
16:02,2561,Ahsante Shivers Defensive Rebound.,40,49
15:48,2561,Ahsante Shivers Turnover.,40,49
15:48,2305,Official TV Timeout,40,49
15:39,2305,Carlton Bragg Jr. missed Layup.,40,49
15:39,2561,Marquis Wright Block.,40,49
15:39,2305,Carlton Bragg Jr. Offensive Rebound.,40,49
15:39,2561,Foul on Javion Ogunyemi.,40,49
15:39,2305,Carlton Bragg Jr. missed Free Throw.,40,49
15:39,2305,Kansas Deadball Team Rebound.,40,49
15:39,2305,Carlton Bragg Jr. made Free Throw.,40,50
15:31,2561,Marquis Wright missed Layup.,40,50
15:31,2305,Frank Mason III Defensive Rebound.,40,50
15:25,2561,Foul on Kadeem Smithen.,40,50
15:25,2305,Devonte' Graham missed Free Throw.,40,50
15:25,2305,Kansas Deadball Team Rebound.,40,50
15:25,2305,Devonte' Graham made Free Throw.,40,51
15:14,2561,Ahsante Shivers missed Jumper.,40,51
15:14,2305,Devonte' Graham Block.,40,51
15:13,2305,Carlton Bragg Jr. Defensive Rebound.,40,51
15:09,2561,Foul on Khalil Richard.,40,51
15:09,2305,Frank Mason III missed Free Throw.,40,51
15:09,2305,Kansas Deadball Team Rebound.,40,51
15:09,2305,Frank Mason III made Free Throw.,40,52
14:40,2561,Khalil Richard made Three Point Jumper. Assisted by Evan Fisher.,43,52
14:24,2561,Foul on Ahsante Shivers.,43,52
14:16,2305,Devonte' Graham missed Three Point Jumper.,43,52
14:16,2305,Lagerald Vick Offensive Rebound.,43,52
14:01,2305,Lagerald Vick Turnover.,43,52
13:28,2561,Khalil Richard made Three Point Jumper. Assisted by Marquis Wright.,46,52
13:17,2305,Carlton Bragg Jr. made Dunk. Assisted by Lagerald Vick.,46,54
13:02,2305,Foul on Devonte' Graham.,46,54
12:50,2561,Khalil Richard missed Jumper.,46,54
12:50,2305,Josh Jackson Block.,46,54
12:49,2305,Josh Jackson Defensive Rebound.,46,54
12:21,2305,Josh Jackson missed Jumper.,46,54
12:21,2561,Sammy Friday Block.,46,54
12:19,2561,Brett Bisping Defensive Rebound.,46,54
12:14,2561,Marquis Wright missed Layup.,46,54
12:14,2561,Siena Offensive Rebound.,46,54
11:58,2561,Khalil Richard missed Layup.,46,54
11:58,2305,Landen Lucas Block.,46,54
11:58,2561,Siena Offensive Rebound.,46,54
11:57,2305,Official TV Timeout,46,54
11:42,2561,Kadeem Smithen missed Jumper.,46,54
11:42,2305,Landen Lucas Block.,46,54
11:41,2561,Khalil Richard Offensive Rebound.,46,54
11:39,2561,Siena  Turnover.,46,54
11:23,2305,Landen Lucas Turnover.,46,54
11:20,2561,Evan Fisher Steal.,46,54
11:00,2561,Javion Ogunyemi missed Layup.,46,54
11:00,2305,Landen Lucas Block.,46,54
10:58,2305,Carlton Bragg Jr. Defensive Rebound.,46,54
10:51,2305,Josh Jackson made Layup.,46,56
10:29,2561,Javion Ogunyemi missed Jumper.,46,56
10:29,2305,Carlton Bragg Jr. Defensive Rebound.,46,56
10:22,2561,Foul on Kadeem Smithen.,46,56
10:22,2305,Frank Mason III made Free Throw.,46,57
10:22,2305,Frank Mason III missed Free Throw.,46,57
10:22,2561,Sammy Friday Defensive Rebound.,46,57
9:55,2561,Marquis Wright made Three Point Jumper. Assisted by Ahsante Shivers.,49,57
9:52,2561,Siena  Timeout,49,57
9:37,2305,Josh Jackson made Jumper. Assisted by Devonte' Graham.,49,59
9:25,2305,Foul on Landen Lucas.,49,59
9:01,2561,Marquis Wright made Three Point Jumper.,52,59
8:46,2305,Devonte' Graham made Layup.,52,61
8:25,2561,Marquis Wright made Three Point Jumper.,55,61
8:11,2305,Devonte' Graham made Jumper.,55,63
7:44,2561,Sammy Friday missed Jumper.,55,63
7:44,2561,Siena Offensive Rebound.,55,63
7:44,2305,Official TV Timeout,55,63
7:26,2305,Foul on Josh Jackson.,55,63
7:26,2561,Marquis Wright made Free Throw.,56,63
7:26,2561,Marquis Wright made Free Throw.,57,63
7:26,2561,Marquis Wright made Free Throw.,58,63
7:09,2305,Lagerald Vick made Jumper. Assisted by Devonte' Graham.,58,65
6:42,2561,Marquis Wright missed Jumper.,58,65
6:42,2305,Frank Mason III Defensive Rebound.,58,65
6:35,2305,Lagerald Vick made Layup. Assisted by Frank Mason III.,58,67
6:18,2561,Brett Bisping missed Layup.,58,67
6:18,2305,Lagerald Vick Defensive Rebound.,58,67
6:11,2305,Frank Mason III made Three Point Jumper. Assisted by Devonte' Graham.,58,70
5:56,2561,Javion Ogunyemi made Dunk. Assisted by Marquis Wright.,60,70
5:55,2561,Siena  Timeout,60,70
5:41,2561,Foul on Kadeem Smithen.,60,70
5:41,2305,Frank Mason III made Free Throw.,60,71
5:41,2305,Frank Mason III made Free Throw.,60,72
5:22,2561,Javion Ogunyemi missed Three Point Jumper.,60,72
5:22,2305,Lagerald Vick Defensive Rebound.,60,72
5:11,2305,Carlton Bragg Jr. missed Jumper.,60,72
5:11,2305,Carlton Bragg Jr. Offensive Rebound.,60,72
4:55,2305,Frank Mason III made Jumper.,60,74
4:41,2561,Javion Ogunyemi Turnover.,60,74
4:41,2305,Carlton Bragg Jr. Steal.,60,74
4:41,2561,Foul on Javion Ogunyemi.,60,74
4:36,2561,Foul on Evan Fisher.,60,74
4:36,2305,Devonte' Graham made Free Throw.,60,75
4:36,2305,Devonte' Graham made Free Throw.,60,76
4:22,2305,Foul on Carlton Bragg Jr..,60,76
4:02,2561,Khalil Richard missed Jumper.,60,76
4:02,2305,Lagerald Vick Defensive Rebound.,60,76
3:54,2305,Lagerald Vick made Layup. Assisted by Frank Mason III.,60,78
3:27,2561,Evan Fisher missed Three Point Jumper.,60,78
3:27,2305,Devonte' Graham Defensive Rebound.,60,78
3:20,2561,Foul on Kadeem Smithen.,60,78
3:20,2305,Official TV Timeout,60,78
3:20,2305,Frank Mason III missed Free Throw.,60,78
3:20,2305,Kansas Deadball Team Rebound.,60,78
3:20,2305,Frank Mason III made Free Throw.,60,79
3:09,2561,Kadeem Smithen missed Three Point Jumper.,60,79
3:09,2305,Sviatoslav Mykhailiuk Defensive Rebound.,60,79
2:52,2305,Sviatoslav Mykhailiuk made Layup.,60,81
2:28,2305,Foul on Sviatoslav Mykhailiuk.,60,81
2:28,2561,Ahsante Shivers missed Free Throw.,60,81
2:28,2561,Siena Deadball Team Rebound.,60,81
2:28,2561,Ahsante Shivers made Free Throw.,61,81
2:15,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Lagerald Vick.,61,84
2:00,2561,Khalil Richard made Layup.,63,84
1:52,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,63,84
1:52,2561,Jimmy Merrill Defensive Rebound.,63,84
1:27,2561,Evan Fisher missed Jumper.,63,84
1:27,2305,Josh Jackson Defensive Rebound.,63,84
1:14,2305,Tyler Self made Jumper.,63,86
0:58,2561,Evan Fisher made Layup.,65,86
0:51,2305,Kansas  Timeout,65,86
0:33,2305,Tyler Self Turnover.,65,86
0:31,2561,Thomas Huerter Jr. Steal.,65,86
0:19,2561,Jimmy Merrill missed Three Point Jumper.,65,86
0:19,2305,Dwight Coleby Defensive Rebound.,65,86
0:00,2305,End of Game,65,86
