South Carolina State,2579,South Carolina,2569
14:19,2579,Khadim Gueye Offensive Rebound.,8,13
14:16,2579,Khadim Gueye missed Jumper.,8,13
14:16,2579,South Carolina Deadball Team Rebound.,8,13
14:16,2569,Foul on Ozante Fields.,8,13
14:16,2579,Khadim Gueye made Free Throw.,8,14
14:16,2579,Khadim Gueye made Free Throw.,8,15
13:57,2569,Ozante Fields Turnover.,8,15
13:52,2579,Sindarius Thornwell Steal.,8,15
13:46,2579,Sindarius Thornwell missed Layup.,8,15
13:46,2579,Maik Kotsar Offensive Rebound.,8,15
13:43,2579,Maik Kotsar made Jumper.,8,17
13:21,2569,Greg Mortimer missed Jumper.,8,17
13:21,2579,Maik Kotsar Defensive Rebound.,8,17
13:00,2579,Duane Notice Turnover.,8,17
12:48,2569,Ed Stephens missed Three Point Jumper.,8,17
12:48,2569,James Richardson Offensive Rebound.,8,17
12:26,2569,James Richardson Turnover.,8,17
12:09,2579,Chris Silva missed Jumper.,8,17
12:09,2569,Ian Kinard Defensive Rebound.,8,17
11:42,2569,Ed Stephens Turnover.,8,17
11:42,2579,Rakym Felder Steal.,8,17
11:42,2579,Official TV Timeout,8,17
11:33,2579,Rakym Felder made Layup.,8,19
11:33,2569,Foul on James Richardson.,8,19
11:33,2579,Rakym Felder missed Free Throw.,8,19
11:33,2569,James Richardson Defensive Rebound.,8,19
11:19,2569,Eric Eaves made Jumper.,10,19
11:11,2579,Chris Silva Turnover.,10,19
11:10,2569,James Richardson Steal.,10,19
11:09,2569,James Richardson missed Layup.,10,19
11:09,2579,Chris Silva Block.,10,19
11:08,2579,Chris Silva Offensive Rebound.,10,19
10:55,2579,Maik Kotsar made Layup.,10,21
10:33,2579,Foul on Chris Silva.,10,21
10:15,2579,Foul on Chris Silva.,10,21
10:15,2569,Foul on Eric Eaves.,10,21
10:15,2569,Eric Eaves missed Free Throw.,10,21
10:15,2569,South Carolina St Deadball Team Rebound.,10,21
10:15,2569,Eric Eaves made Free Throw.,11,21
10:01,2579,Rakym Felder made Layup.,11,23
9:42,2569,James Richardson missed Jumper.,11,23
9:42,2579,Rakym Felder Defensive Rebound.,11,23
9:34,2579,Rakym Felder missed Three Point Jumper.,11,23
9:34,2569,Ian Kinard Defensive Rebound.,11,23
9:27,2569,Eric Eaves Turnover.,11,23
9:27,2569,Foul on Eric Eaves.,11,23
9:09,2579,Sindarius Thornwell missed Three Point Jumper.,11,23
9:09,2579,Maik Kotsar Offensive Rebound.,11,23
9:00,2579,Maik Kotsar made Layup. Assisted by PJ Dozier.,11,25
8:57,2569,South Carolina St  Timeout,11,25
8:44,2569,Ian Kinard Turnover.,11,25
8:44,2569,Foul on Ian Kinard.,11,25
8:30,2579,Hassani Gravett made Three Point Jumper. Assisted by PJ Dozier.,11,28
8:13,2569,James Richardson made Layup.,13,28
7:57,2579,PJ Dozier made Three Point Jumper. Assisted by Sindarius Thornwell.,13,31
7:33,2569,Ian Kinard missed Three Point Jumper.,13,31
7:33,2579,Sindarius Thornwell Defensive Rebound.,13,31
7:23,2579,PJ Dozier missed Jumper.,13,31
7:23,2569,South Carolina St Defensive Rebound.,13,31
7:21,2579,Official TV Timeout,13,31
6:56,2569,Greg Mortimer Turnover.,13,31
6:37,2569,Foul on Tashombe Riley.,13,31
6:37,2579,Duane Notice made Free Throw.,13,32
6:37,2579,Duane Notice made Free Throw.,13,33
6:22,2569,James Richardson missed Jumper.,13,33
6:22,2579,Khadim Gueye Defensive Rebound.,13,33
6:17,2579,Sindarius Thornwell made Layup. Assisted by PJ Dozier.,13,35
5:46,2569,Jaylen Reid made Jumper. Assisted by Greg Mortimer.,15,35
5:31,2579,Sindarius Thornwell made Layup. Assisted by Maik Kotsar.,15,37
5:14,2569,Eric Eaves made Three Point Jumper.,18,37
5:00,2579,Sindarius Thornwell made Three Point Jumper. Assisted by PJ Dozier.,18,40
4:38,2579,Foul on Sindarius Thornwell.,18,40
4:38,2569,Ian Kinard missed Free Throw.,18,40
4:38,2569,South Carolina St Deadball Team Rebound.,18,40
4:38,2569,Ian Kinard made Free Throw.,19,40
4:18,2579,Hassani Gravett missed Three Point Jumper.,19,40
4:18,2569,James Richardson Defensive Rebound.,19,40
4:10,2569,James Richardson missed Jumper.,19,40
4:10,2579,Maik Kotsar Defensive Rebound.,19,40
4:07,2569,Foul on Ian Kinard.,19,40
4:07,2579,Maik Kotsar missed Free Throw.,19,40
4:07,2569,Ian Kinard Defensive Rebound.,19,40
3:46,2569,Ian Kinard made Jumper.,21,40
3:19,2579,Sindarius Thornwell missed Three Point Jumper.,21,40
3:19,2569,Ed Stephens Defensive Rebound.,21,40
3:13,2569,Eric Eaves missed Layup.,21,40
3:13,2569,South Carolina St Offensive Rebound.,21,40
3:12,2579,Official TV Timeout,21,40
3:05,2569,Ed Stephens missed Jumper.,21,40
3:05,2579,Sindarius Thornwell Defensive Rebound.,21,40
2:51,2579,Justin McKie missed Jumper.,21,40
2:51,2569,South Carolina St Defensive Rebound.,21,40
2:41,2569,Greg Mortimer made Jumper.,23,40
2:12,2569,Foul on Jaylen Reid.,23,40
2:12,2579,Sindarius Thornwell made Free Throw.,23,41
2:12,2579,Sindarius Thornwell made Free Throw.,23,42
2:02,2569,Damani Applewhite missed Jumper.,23,42
2:02,2579,Rakym Felder Block.,23,42
2:00,2579,Rakym Felder Defensive Rebound.,23,42
1:55,2579,Duane Notice missed Three Point Jumper.,23,42
1:55,2569,Bobby Williams Defensive Rebound.,23,42
1:46,2579,Sindarius Thornwell made Three Point Jumper. Assisted by Justin McKie.,23,45
1:28,2569,Damani Applewhite missed Layup.,23,45
1:28,2579,Rakym Felder Block.,23,45
1:26,2569,Greg Mortimer Offensive Rebound.,23,45
1:24,2569,Eric Eaves missed Three Point Jumper.,23,45
1:24,2579,South Carolina Defensive Rebound.,23,45
1:04,2579,Justin McKie missed Three Point Jumper.,23,45
1:04,2569,James Richardson Defensive Rebound.,23,45
0:58,2579,Foul on Justin McKie.,23,45
0:58,2569,Greg Mortimer made Free Throw.,24,45
0:58,2569,Greg Mortimer made Free Throw.,25,45
0:31,2579,PJ Dozier missed Jumper.,25,45
0:31,2579,Maik Kotsar Offensive Rebound.,25,45
0:23,2579,Duane Notice made Three Point Jumper. Assisted by Justin McKie.,25,48
0:09,2569,Damani Applewhite missed Jumper.,25,48
0:09,2579,Khadim Gueye Block.,25,48
0:08,2579,Maik Kotsar Defensive Rebound.,25,48
0:03,2579,Justin McKie made Layup. Assisted by Duane Notice.,25,50
0:00,2579,End of 1st half,25,50
19:46,2569,Foul on Ian Kinard.,25,50
19:46,2579,Chris Silva made Free Throw.,25,51
19:46,2579,Chris Silva made Free Throw.,25,52
19:27,2569,Eric Eaves made Jumper.,27,52
19:14,2579,PJ Dozier missed Three Point Jumper.,27,52
19:14,2579,Chris Silva Offensive Rebound.,27,52
19:06,2579,Sindarius Thornwell missed Layup.,27,52
19:06,2579,Maik Kotsar Offensive Rebound.,27,52
19:03,2579,Maik Kotsar made Layup.,27,54
18:44,2569,Greg Mortimer Turnover.,27,54
18:44,2579,PJ Dozier Steal.,27,54
18:32,2579,Sindarius Thornwell missed Three Point Jumper.,27,54
18:32,2579,Chris Silva Offensive Rebound.,27,54
18:30,2569,Foul on Tashombe Riley.,27,54
18:27,2579,Chris Silva made Free Throw.,27,55
18:27,2579,Chris Silva made Free Throw.,27,56
17:56,2579,Foul on PJ Dozier.,27,56
17:49,2569,James Richardson made Three Point Jumper. Assisted by Eric Eaves.,30,56
17:40,2569,Foul on Ozante Fields.,30,56
17:40,2579,PJ Dozier made Free Throw.,30,57
17:40,2579,PJ Dozier made Free Throw.,30,58
17:09,2569,James Richardson missed Jumper.,30,58
17:09,2579,Chris Silva Defensive Rebound.,30,58
16:54,2579,Maik Kotsar made Layup. Assisted by Duane Notice.,30,60
16:46,2569,South Carolina St  Timeout,30,60
16:38,2569,James Richardson missed Jumper.,30,60
16:38,2579,Khadim Gueye Block.,30,60
16:36,2579,PJ Dozier Defensive Rebound.,30,60
16:25,2569,Foul on Ozante Fields.,30,60
16:22,2579,Duane Notice missed Three Point Jumper.,30,60
16:22,2569,Ed Stephens Defensive Rebound.,30,60
16:11,2569,Eric Eaves made Three Point Jumper. Assisted by Ed Stephens.,33,60
15:48,2579,PJ Dozier missed Three Point Jumper.,33,60
15:48,2579,Khadim Gueye Offensive Rebound.,33,60
15:41,2569,Foul on Ozante Fields.,33,60
15:41,2579,Official TV Timeout,33,60
15:39,2579,Khadim Gueye made Free Throw.,33,61
15:39,2579,Khadim Gueye made Free Throw.,33,62
15:21,2569,Tashombe Riley missed Jumper.,33,62
15:21,2569,South Carolina St Deadball Team Rebound.,33,62
15:21,2579,Foul on Duane Notice.,33,62
14:59,2569,Eric Eaves missed Three Point Jumper.,33,62
14:59,2579,Khadim Gueye Defensive Rebound.,33,62
14:49,2579,Sindarius Thornwell Turnover.,33,62
14:38,2569,Greg Mortimer missed Jumper.,33,62
14:38,2569,Tashombe Riley Offensive Rebound.,33,62
14:35,2579,Foul on Hassani Gravett.,33,62
14:35,2569,Tashombe Riley missed Free Throw.,33,62
14:35,2569,South Carolina St Deadball Team Rebound.,33,62
14:35,2569,Tashombe Riley made Free Throw.,34,62
14:11,2579,Hassani Gravett missed Jumper.,34,62
14:11,2569,Tashombe Riley Defensive Rebound.,34,62
14:03,2579,Foul on Jarrell Holliman.,34,62
14:03,2569,Tashombe Riley made Free Throw.,35,62
14:03,2569,Tashombe Riley made Free Throw.,36,62
13:59,2569,Foul on Jaylen Reid.,36,62
13:49,2579,Hassani Gravett missed Three Point Jumper.,36,62
13:49,2579,South Carolina Offensive Rebound.,36,62
13:28,2579,Hassani Gravett made Jumper.,36,64
13:11,2579,Foul on Rakym Felder.,36,64
12:47,2569,Tashombe Riley missed Jumper.,36,64
12:47,2579,Jarrell Holliman Defensive Rebound.,36,64
12:32,2579,Justin McKie made Jumper.,36,66
12:23,2569,Tashombe Riley made Layup. Assisted by Greg Mortimer.,38,66
12:23,2579,Foul on Hassani Gravett.,38,66
12:23,2569,Tashombe Riley made Free Throw.,39,66
11:59,2579,Rakym Felder missed Jumper.,39,66
11:59,2579,Rakym Felder Offensive Rebound.,39,66
11:42,2579,Rakym Felder Turnover.,39,66
11:41,2569,Ed Stephens Steal.,39,66
11:40,2569,Tashombe Riley missed Layup.,39,66
11:40,2579,Maik Kotsar Block.,39,66
11:34,2579,Justin McKie Defensive Rebound.,39,66
11:21,2579,Rakym Felder Turnover.,39,66
11:21,2569,Greg Mortimer Steal.,39,66
11:21,2579,Official TV Timeout,39,66
11:12,2569,Ian Kinard Turnover.,39,66
11:11,2579,Rakym Felder Steal.,39,66
11:07,2579,Rakym Felder Turnover.,39,66
11:06,2569,Janai Raynor Powell Steal.,39,66
11:04,2569,Tashombe Riley missed Dunk.,39,66
11:04,2579,Hassani Gravett Defensive Rebound.,39,66
10:34,2579,PJ Dozier missed Jumper.,39,66
10:34,2579,Sindarius Thornwell Offensive Rebound.,39,66
10:31,2579,Sindarius Thornwell made Jumper.,39,68
10:14,2569,James Richardson missed Layup.,39,68
10:14,2579,Chris Silva Block.,39,68
10:14,2569,South Carolina St Offensive Rebound.,39,68
10:02,2569,Ian Kinard Turnover.,39,68
10:02,2569,Foul on Ian Kinard.,39,68
9:41,2579,Khadim Gueye made Jumper.,39,70
9:29,2569,Ian Kinard missed Layup.,39,70
9:29,2579,Khadim Gueye Defensive Rebound.,39,70
9:23,2579,Sindarius Thornwell missed Dunk.,39,70
9:23,2579,Chris Silva Offensive Rebound.,39,70
9:22,2579,Chris Silva made Layup.,39,72
9:22,2569,Foul on Ed Stephens.,39,70
9:22,2579,Chris Silva made Free Throw.,39,73
9:10,2569,Tashombe Riley made Jumper.,41,73
8:58,2579,Chris Silva missed Layup.,41,73
8:58,2569,Damani Applewhite Block.,41,73
8:58,2579,South Carolina Offensive Rebound.,41,73
8:51,2569,Foul on Ed Stephens.,41,73
8:51,2579,Sindarius Thornwell made Free Throw.,41,74
8:51,2579,Sindarius Thornwell made Free Throw.,41,75
8:45,2569,Janai Raynor Powell Turnover.,41,75
8:40,2579,Duane Notice Turnover.,41,75
8:22,2579,Foul on Sindarius Thornwell.,41,75
8:22,2569,Ed Stephens made Free Throw.,42,75
8:22,2569,Ed Stephens made Free Throw.,43,75
8:09,2579,Sindarius Thornwell made Layup. Assisted by PJ Dozier.,43,77
7:58,2569,Janai Raynor Powell made Layup.,45,77
7:35,2569,Foul on Damani Applewhite.,45,77
7:35,2579,Official TV Timeout,45,77
7:35,2579,Maik Kotsar made Free Throw.,45,78
7:35,2579,Maik Kotsar missed Free Throw.,45,78
7:35,2569,Ian Kinard Defensive Rebound.,45,78
7:16,2569,Eric Eaves Turnover.,45,78
7:06,2579,Maik Kotsar made Layup. Assisted by Duane Notice.,45,80
6:51,2569,Ian Kinard missed Jumper.,45,80
6:51,2579,Sindarius Thornwell Defensive Rebound.,45,80
6:45,2579,Duane Notice missed Three Point Jumper.,45,80
6:45,2569,Ed Stephens Defensive Rebound.,45,80
6:39,2569,Eric Eaves missed Three Point Jumper.,45,80
6:39,2579,South Carolina Defensive Rebound.,45,80
6:16,2579,Jarrell Holliman missed Jumper.,45,80
6:16,2569,Eric Eaves Defensive Rebound.,45,80
6:04,2569,Eric Eaves made Layup.,47,80
5:39,2579,Hassani Gravett made Jumper.,47,82
5:23,2569,Ed Stephens missed Three Point Jumper.,47,82
5:23,2579,Hassani Gravett Defensive Rebound.,47,82
5:18,2579,Justin McKie missed Three Point Jumper.,47,82
5:18,2579,Ran Tut Offensive Rebound.,47,82
5:10,2579,Rakym Felder missed Jumper.,47,82
5:10,2569,Ian Kinard Defensive Rebound.,47,82
5:01,2569,Greg Mortimer missed Three Point Jumper.,47,82
5:01,2579,Justin McKie Defensive Rebound.,47,82
4:36,2579,Ran Tut missed Jumper.,47,82
4:36,2579,Justin McKie Offensive Rebound.,47,82
4:07,2579,Justin McKie made Jumper.,47,84
3:59,2579,Foul on Rakym Felder.,47,84
3:59,2569,Ian Kinard missed Free Throw.,47,84
3:59,2569,Greg Mortimer Offensive Rebound.,47,84
3:56,2569,Greg Mortimer missed Jumper.,47,84
3:56,2579,Ran Tut Defensive Rebound.,47,84
3:28,2579,Official TV Timeout,47,84
3:26,2579,Hassani Gravett made Three Point Jumper. Assisted by Rakym Felder.,47,87
3:01,2579,Foul on Rakym Felder.,47,87
3:01,2569,Tashombe Riley missed Free Throw.,47,87
3:01,2579,Justin McKie Defensive Rebound.,47,87
2:53,2579,Ran Tut made Layup. Assisted by Rakym Felder.,47,89
2:34,2579,Foul on Jarrell Holliman.,47,89
2:34,2569,Eric Eaves made Free Throw.,48,89
2:34,2569,Eric Eaves made Free Throw.,49,89
2:19,2579,Rakym Felder made Three Point Jumper.,49,92
2:03,2579,Foul on Tommy Corchiani.,49,92
2:03,2569,Ian Kinard missed Free Throw.,49,92
2:03,2569,South Carolina St Deadball Team Rebound.,49,92
2:03,2569,Ian Kinard made Free Throw.,50,92
1:45,2579,Christian Schmitt Turnover.,50,92
1:22,2569,David Bottenberg missed Jumper.,50,92
1:22,2579,Rakym Felder Defensive Rebound.,50,92
1:01,2579,Christian Schmitt Turnover.,50,92
0:59,2569,David Bottenberg Steal.,50,92
0:56,2569,Janai Raynor Powell missed Jumper.,50,92
0:56,2579,Ran Tut Defensive Rebound.,50,92
0:38,2579,Christian Schmitt missed Three Point Jumper.,50,92
0:38,2569,South Carolina St Deadball Team Rebound.,50,92
0:36,2579,Foul on Tommy Corchiani.,50,92
0:36,2569,Damani Applewhite missed Free Throw.,50,92
0:36,2569,South Carolina St Deadball Team Rebound.,50,92
0:36,2569,Damani Applewhite missed Free Throw.,50,92
0:36,2579,Tommy Corchiani Defensive Rebound.,50,92
0:00,2579,South Carolina  Turnover.,50,92
0:00,2579,End of Game,50,92
