Clemson,2752,Xavier,228
15:40,2752,Official TV Timeout,40,48
15:27,228,Marcquise Reed Turnover.,40,48
15:27,2752,J.P. Macura Steal.,40,48
15:24,2752,Trevon Bluiett made Layup.,40,50
15:24,228,Foul on Donte Grantham.,40,50
15:24,2752,Trevon Bluiett made Free Throw.,40,51
15:12,228,Jaron Blossomgame made Dunk. Assisted by Sidy Djitte.,42,51
14:51,2752,Foul on Tyrique Jones.,42,51
14:51,2752,Tyrique Jones Turnover.,42,51
14:35,228,Sidy Djitte missed Jumper.,42,51
14:35,2752,Edmond Sumner Defensive Rebound.,42,51
14:29,2752,Trevon Bluiett missed Three Point Jumper.,42,51
14:29,2752,Malcolm Bernard Offensive Rebound.,42,51
14:24,2752,Malcolm Bernard made Layup.,42,53
14:03,2752,Foul on J.P. Macura.,42,53
14:03,228,Donte Grantham made Free Throw.,43,53
14:03,228,Donte Grantham made Free Throw.,44,53
13:53,2752,Trevon Bluiett made Jumper.,44,55
13:37,228,Sidy Djitte made Layup. Assisted by Gabe DeVoe.,46,55
13:19,2752,Sean O'Mara made Layup. Assisted by J.P. Macura.,46,57
13:03,228,Sidy Djitte made Jumper. Assisted by Gabe DeVoe.,48,57
12:38,2752,Edmond Sumner Turnover.,48,57
12:32,228,Avry Holmes missed Three Point Jumper.,48,57
12:32,2752,Edmond Sumner Defensive Rebound.,48,57
12:14,2752,J.P. Macura missed Three Point Jumper.,48,57
12:14,2752,Xavier Offensive Rebound.,48,57
11:54,2752,Trevon Bluiett Turnover.,48,57
11:54,228,Jaron Blossomgame Steal.,48,57
11:54,2752,Official TV Timeout,48,57
11:50,228,Avry Holmes missed Three Point Jumper.,48,57
11:50,2752,Quentin Goodin Defensive Rebound.,48,57
11:40,2752,Edmond Sumner made Layup.,48,59
11:17,228,Donte Grantham made Three Point Jumper. Assisted by Avry Holmes.,51,59
10:56,2752,Sean O'Mara made Jumper. Assisted by Quentin Goodin.,51,61
10:35,228,Gabe DeVoe missed Three Point Jumper.,51,61
10:35,2752,Xavier Defensive Rebound.,51,61
10:20,2752,Edmond Sumner Turnover.,51,61
10:20,228,Donte Grantham Steal.,51,61
10:07,228,Gabe DeVoe Turnover.,51,61
10:07,2752,Quentin Goodin Steal.,51,61
10:01,2752,RaShid Gaston Turnover.,51,61
10:01,228,Sidy Djitte Steal.,51,61
9:47,228,Avry Holmes missed Three Point Jumper.,51,61
9:47,2752,Trevon Bluiett Defensive Rebound.,51,61
9:13,2752,Edmond Sumner Turnover.,51,61
9:07,228,Jaron Blossomgame missed Three Point Jumper.,51,61
9:07,228,Gabe DeVoe Offensive Rebound.,51,61
8:58,2752,Foul on Quentin Goodin.,51,61
8:58,228,Gabe DeVoe made Free Throw.,52,61
8:58,228,Gabe DeVoe missed Free Throw.,52,61
8:58,2752,Trevon Bluiett Defensive Rebound.,52,61
8:33,2752,Edmond Sumner made Layup.,52,63
8:19,228,Jaron Blossomgame made Dunk. Assisted by Donte Grantham.,54,63
8:01,2752,Quentin Goodin Turnover.,54,63
8:01,228,Gabe DeVoe Steal.,54,63
7:52,228,Avry Holmes made Jumper. Assisted by Gabe DeVoe.,56,63
7:29,2752,Trevon Bluiett missed Jumper.,56,63
7:29,228,Sidy Djitte Defensive Rebound.,56,63
7:20,228,Donte Grantham missed Three Point Jumper.,56,63
7:20,228,Gabe DeVoe Offensive Rebound.,56,63
7:12,228,Jaron Blossomgame made Layup. Assisted by Gabe DeVoe.,58,63
7:05,2752,Xavier  Timeout,58,63
6:39,2752,J.P. Macura missed Layup.,58,63
6:39,2752,RaShid Gaston Offensive Rebound.,58,63
6:23,2752,RaShid Gaston missed Layup.,58,63
6:23,2752,RaShid Gaston Offensive Rebound.,58,63
6:06,2752,RaShid Gaston missed Layup.,58,63
6:06,228,Sidy Djitte Defensive Rebound.,58,63
6:02,228,Donte Grantham missed Jumper.,58,63
6:00,228,Sidy Djitte Offensive Rebound.,58,63
6:00,228,Sidy Djitte made Two Point Tip Shot.,60,63
6:00,2752,J.P. Macura missed Three Point Jumper.,60,63
6:00,228,Gabe DeVoe Defensive Rebound.,60,63
5:58,228,Avry Holmes missed Layup.,60,63
5:58,2752,Edmond Sumner Block.,60,63
5:58,228,Clemson Offensive Rebound.,60,63
5:58,2752,Official TV Timeout,60,63
5:42,228,Clemson  Timeout,60,63
5:33,228,Gabe DeVoe missed Jumper.,60,63
5:33,2752,Trevon Bluiett Defensive Rebound.,60,63
5:10,2752,Malcolm Bernard made Layup.,60,65
4:47,2752,Foul on Trevon Bluiett.,60,65
4:47,228,Jaron Blossomgame missed Free Throw.,60,65
4:47,2752,Trevon Bluiett Defensive Rebound.,60,65
4:26,228,Foul on Sidy Djitte.,60,65
4:26,2752,J.P. Macura made Free Throw.,60,66
4:26,2752,J.P. Macura made Free Throw.,60,67
4:14,2752,Foul on RaShid Gaston.,60,67
4:14,228,Sidy Djitte missed Free Throw.,60,67
4:14,228,Clemson Deadball Team Rebound.,60,67
4:14,228,Sidy Djitte missed Free Throw.,60,67
4:14,2752,Trevon Bluiett Defensive Rebound.,60,67
4:01,228,Foul on Jaron Blossomgame.,60,67
3:57,2752,Malcolm Bernard made Layup. Assisted by J.P. Macura.,60,69
3:39,2752,Foul on J.P. Macura.,60,69
3:39,2752,Official TV Timeout,60,69
3:39,228,Donte Grantham made Free Throw.,61,69
3:39,228,Donte Grantham made Free Throw.,62,69
3:28,2752,Xavier  Timeout,62,69
3:12,2752,J.P. Macura missed Three Point Jumper.,62,69
3:12,2752,RaShid Gaston Offensive Rebound.,62,69
2:51,2752,Edmond Sumner made Dunk. Assisted by J.P. Macura.,62,71
2:32,228,Gabe DeVoe made Three Point Jumper. Assisted by Donte Grantham.,65,71
2:14,2752,J.P. Macura made Three Point Jumper. Assisted by Edmond Sumner.,65,74
1:55,228,Donte Grantham made Layup.,67,74
1:55,228,Clemson  Timeout,67,74
1:54,2752,RaShid Gaston Turnover.,67,74
1:54,228,Gabe DeVoe Steal.,67,74
1:49,228,Donte Grantham missed Three Point Jumper.,67,74
1:49,2752,J.P. Macura Defensive Rebound.,67,74
1:38,228,Foul on Jaron Blossomgame.,67,74
1:38,2752,Edmond Sumner made Free Throw.,67,75
1:38,2752,Edmond Sumner made Free Throw.,67,76
1:27,228,Jaron Blossomgame made Dunk. Assisted by Gabe DeVoe.,69,76
1:10,2752,Edmond Sumner Turnover.,69,76
1:00,228,Donte Grantham missed Jumper.,69,76
1:00,2752,RaShid Gaston Defensive Rebound.,69,76
0:54,2752,RaShid Gaston made Dunk. Assisted by J.P. Macura.,69,78
0:43,228,Jaron Blossomgame missed Jumper.,69,78
0:43,2752,Malcolm Bernard Defensive Rebound.,69,78
0:42,228,Foul on Sidy Djitte.,69,78
0:42,2752,Technical Foul on RaShid Gaston.,69,78
0:42,2752,Foul on RaShid Gaston.,69,78
0:42,228,Avry Holmes made Free Throw.,70,78
0:42,228,Avry Holmes made Free Throw.,71,78
0:42,2752,Malcolm Bernard missed Free Throw.,71,78
0:42,228,Gabe DeVoe Defensive Rebound.,71,78
0:36,2752,Foul on Sean O'Mara.,71,78
0:36,228,Gabe DeVoe made Free Throw.,72,78
0:36,228,Gabe DeVoe made Free Throw.,73,78
0:35,228,Foul on Avry Holmes.,73,78
0:35,2752,Sean O'Mara made Free Throw.,73,79
0:35,2752,Sean O'Mara made Free Throw.,73,80
0:22,228,Marcquise Reed missed Jumper.,73,80
0:21,2752,Edmond Sumner Defensive Rebound.,73,80
0:20,228,Foul on Marcquise Reed.,73,80
0:20,2752,Edmond Sumner missed Free Throw.,73,80
0:20,2752,Xavier Deadball Team Rebound.,73,80
0:20,2752,Edmond Sumner missed Free Throw.,73,80
0:20,228,Gabe DeVoe Defensive Rebound.,73,80
0:15,2752,Foul on Malcolm Bernard.,73,80
0:15,228,Avry Holmes made Free Throw.,74,80
0:15,228,Avry Holmes made Free Throw.,75,80
0:13,228,Foul on Gabe DeVoe.,75,80
0:13,2752,Trevon Bluiett missed Free Throw.,75,80
0:13,2752,Xavier Deadball Team Rebound.,75,80
0:13,2752,Trevon Bluiett made Free Throw.,75,81
0:08,2752,Foul on Quentin Goodin.,75,81
0:08,228,Marcquise Reed made Free Throw.,76,81
0:08,228,Marcquise Reed made Free Throw.,77,81
0:06,228,Foul on Gabe DeVoe.,77,81
0:06,2752,Trevon Bluiett made Free Throw.,77,82
0:06,2752,Trevon Bluiett made Free Throw.,77,83
0:05,228,Gabe DeVoe Turnover.,77,83
0:00,2752,End of Game,77,83
