Monmouth,183,Syracuse,2405
3:13,183,John Gillon made Layup.,46,69
3:01,2405,Collin Stewart missed Three Point Jumper.,46,69
3:01,183,Paschal Chukwu Defensive Rebound.,46,69
2:39,183,John Gillon Turnover.,46,69
2:19,2405,Chris Brady missed Jumper.,46,69
2:19,183,Andrew White III Defensive Rebound.,46,69
2:04,183,Taurean Thompson made Jumper. Assisted by Andrew White III.,46,71
1:54,2405,Justin Robinson Turnover.,46,71
1:54,183,Tyus Battle Steal.,46,71
1:25,183,Tyus Battle missed Three Point Jumper.,46,71
1:25,183,John Gillon Offensive Rebound.,46,71
1:21,183,Andrew White III missed Three Point Jumper.,46,71
1:21,2405,Je'lon Hornbeak Defensive Rebound.,46,71
1:19,183,Foul on Paschal Chukwu.,46,71
1:19,2405,Je'lon Hornbeak made Free Throw.,47,71
1:19,2405,Je'lon Hornbeak made Free Throw.,48,71
1:01,183,Paschal Chukwu Turnover.,48,71
0:56,2405,Daniel Pillari missed Three Point Jumper.,48,71
0:56,183,Syracuse Defensive Rebound.,48,71
0:40,183,Doyin Akintobi-Adeyeye Turnover.,48,71
0:40,2405,Daniel Pillari Steal.,48,71
0:34,2405,Daniel Pillari made Layup. Assisted by Louie Pillari.,50,71
0:23,183,Doyin Akintobi-Adeyeye missed Jumper.,50,71
0:23,2405,Daniel Pillari Defensive Rebound.,50,71
0:11,2405,Chris Brady missed Three Point Jumper.,50,71
0:08,2405,Je'lon Hornbeak Offensive Rebound.,50,71
0:08,2405,Je'lon Hornbeak missed Layup.,50,71
0:08,183,Doyin Akintobi-Adeyeye Block.,50,71
0:08,2405,Monmouth Offensive Rebound.,50,71
0:02,2405,Daniel Pillari missed Three Point Jumper.,50,71
0:02,183,Jonathan Radner Defensive Rebound.,50,71
0:00,183,End of Game,50,71
