Villanova,154,Wake Forest,222
11:14,222,Mikal Bridges made Free Throw.,22,18
11:14,222,Mikal Bridges made Free Throw.,23,18
10:53,154,Mitchell Wilbekin missed Three Point Jumper.,23,18
10:53,222,Josh Hart Defensive Rebound.,23,18
10:47,154,Foul on Brandon Childress.,23,18
10:47,222,Josh Hart made Free Throw.,24,18
10:47,222,Josh Hart made Free Throw.,25,18
10:35,154,Keyshawn Woods made Three Point Jumper. Assisted by Austin Arians.,25,21
10:09,222,Mikal Bridges missed Three Point Jumper.,25,21
10:09,222,Eric Paschall Offensive Rebound.,25,21
10:04,222,Eric Paschall made Dunk.,27,21
9:50,154,Brandon Childress Turnover.,27,21
9:50,222,Darryl Reynolds Steal.,27,21
9:27,222,Jalen Brunson made Three Point Jumper.,30,21
9:03,222,Foul on Mikal Bridges.,30,21
9:03,154,Brandon Childress made Free Throw.,30,22
9:03,154,Brandon Childress made Free Throw.,30,23
8:51,222,Jalen Brunson missed Three Point Jumper.,30,23
8:51,222,Mikal Bridges Offensive Rebound.,30,23
8:45,222,Josh Hart made Three Point Jumper. Assisted by Mikal Bridges.,33,23
8:14,154,John Collins missed Layup.,33,23
8:14,222,Darryl Reynolds Block.,33,23
8:14,154,Wake Forest Offensive Rebound.,33,23
8:13,222,Foul on Donte DiVincenzo.,33,23
8:04,154,Konstantinos Mitoglou missed Layup.,33,23
8:04,154,Konstantinos Mitoglou Offensive Rebound.,33,23
8:02,154,Konstantinos Mitoglou made Layup.,33,25
7:35,222,Donte DiVincenzo missed Three Point Jumper.,33,25
7:35,154,Keyshawn Woods Defensive Rebound.,33,25
7:27,154,Austin Arians missed Three Point Jumper.,33,25
7:27,222,Darryl Reynolds Defensive Rebound.,33,25
7:14,222,Jalen Brunson Turnover.,33,25
7:14,154,Official TV Timeout,33,25
7:03,154,Keyshawn Woods Turnover.,33,25
7:03,222,Josh Hart Steal.,33,25
6:57,222,Mikal Bridges made Layup. Assisted by Josh Hart.,35,25
6:37,154,Konstantinos Mitoglou missed Layup.,35,25
6:37,222,Mikal Bridges Defensive Rebound.,35,25
6:20,222,Kris Jenkins made Three Point Jumper.,38,25
5:57,154,Keyshawn Woods missed Jumper.,38,25
5:57,222,Mikal Bridges Defensive Rebound.,38,25
5:38,222,Kris Jenkins made Three Point Jumper. Assisted by Jalen Brunson.,41,25
5:14,154,Mitchell Wilbekin made Jumper.,41,27
4:52,222,Donte DiVincenzo missed Three Point Jumper.,41,27
4:52,154,Konstantinos Mitoglou Defensive Rebound.,41,27
4:41,222,Foul on Kris Jenkins.,41,27
4:41,222,Villanova  Timeout,41,27
4:41,154,Mitchell Wilbekin made Free Throw.,41,28
4:41,154,Mitchell Wilbekin made Free Throw.,41,29
4:34,222,Eric Paschall missed Three Point Jumper.,41,29
4:34,222,Darryl Reynolds Offensive Rebound.,41,29
4:05,222,Josh Hart missed Three Point Jumper.,41,29
4:05,154,Wake Forest Defensive Rebound.,41,29
4:02,222,Foul on Darryl Reynolds.,41,29
4:02,154,John Collins made Free Throw.,41,30
4:02,154,John Collins missed Free Throw.,41,30
4:02,222,Josh Hart Defensive Rebound.,41,30
3:47,222,Jalen Brunson missed Jumper.,41,30
3:47,154,Keyshawn Woods Defensive Rebound.,41,30
3:29,154,Austin Arians missed Jumper.,41,30
3:29,222,Mikal Bridges Defensive Rebound.,41,30
3:05,222,Foul on Mikal Bridges.,41,30
3:05,222,Mikal Bridges Turnover.,41,30
3:05,154,Official TV Timeout,41,30
2:48,154,Mitchell Wilbekin made Jumper. Assisted by Keyshawn Woods.,41,32
2:17,222,Donte DiVincenzo made Three Point Jumper. Assisted by Darryl Reynolds.,44,32
1:58,154,John Collins made Dunk. Assisted by Keyshawn Woods.,44,34
1:38,222,Josh Hart made Jumper.,46,34
1:16,222,Foul on Josh Hart.,46,34
1:16,154,Austin Arians made Free Throw.,46,35
1:16,154,Austin Arians missed Free Throw.,46,35
1:16,222,Darryl Reynolds Defensive Rebound.,46,35
0:50,154,Foul on Brandon Childress.,46,35
0:50,222,Jalen Brunson missed Free Throw.,46,35
0:50,222,Darryl Reynolds Offensive Rebound.,46,35
0:38,222,Eric Paschall missed Three Point Jumper.,46,35
0:38,222,Donte DiVincenzo Offensive Rebound.,46,35
0:16,222,Mikal Bridges missed Three Point Jumper.,46,35
0:16,154,Wake Forest Defensive Rebound.,46,35
0:13,222,Foul on Eric Paschall.,46,35
0:13,154,Konstantinos Mitoglou made Free Throw.,46,36
0:13,154,Konstantinos Mitoglou made Free Throw.,46,37
0:13,154,Wake Forest  Timeout,46,37
0:03,222,Jalen Brunson missed Jumper.,46,37
0:03,222,Donte DiVincenzo Offensive Rebound.,46,37
0:01,154,Foul on Keyshawn Woods.,46,37
0:01,222,Donte DiVincenzo made Free Throw.,47,37
0:01,222,Donte DiVincenzo missed Free Throw.,47,37
0:01,154,Doral Moore Defensive Rebound.,47,37
0:00,154,End of 1st half,47,37
20:00,222,Jump Ball won by Villanova,47,37
19:51,222,Mikal Bridges made Three Point Jumper. Assisted by Jalen Brunson.,50,37
19:33,154,John Collins made Jumper. Assisted by Mitchell Wilbekin.,50,39
19:15,222,Josh Hart made Jumper.,52,39
18:48,154,Bryant Crawford made Jumper.,52,41
18:20,222,Jalen Brunson missed Jumper.,52,41
18:20,222,Darryl Reynolds Offensive Rebound.,52,41
18:16,154,Foul on John Collins.,52,41
18:15,222,Mikal Bridges made Three Point Jumper. Assisted by Kris Jenkins.,55,41
18:04,154,Bryant Crawford Turnover.,55,41
18:04,222,Josh Hart Steal.,55,41
18:00,222,Josh Hart made Dunk.,57,41
17:58,154,Wake Forest  Timeout,57,41
17:44,154,Mitchell Wilbekin made Jumper.,57,43
17:26,222,Mikal Bridges made Layup.,59,43
17:08,154,John Collins made Layup. Assisted by Keyshawn Woods.,59,45
16:48,222,Mikal Bridges made Three Point Jumper. Assisted by Jalen Brunson.,62,45
16:25,154,John Collins missed Jumper.,62,45
16:25,222,Mikal Bridges Defensive Rebound.,62,45
15:59,222,Kris Jenkins missed Three Point Jumper.,62,45
15:59,154,Keyshawn Woods Defensive Rebound.,62,45
15:36,222,Foul on Josh Hart.,62,45
15:36,154,Official TV Timeout,62,45
15:36,154,Konstantinos Mitoglou made Free Throw.,62,46
15:36,154,Konstantinos Mitoglou made Free Throw.,62,47
15:24,222,Mikal Bridges missed Three Point Jumper.,62,47
15:24,154,John Collins Defensive Rebound.,62,47
15:13,154,Brandon Childress made Layup.,62,49
14:46,154,Foul on Keyshawn Woods.,62,49
14:43,154,Foul on Konstantinos Mitoglou.,62,49
14:43,222,Eric Paschall made Free Throw.,63,49
14:43,222,Eric Paschall made Free Throw.,64,49
14:23,154,Keyshawn Woods missed Jumper.,64,49
14:23,222,Kris Jenkins Defensive Rebound.,64,49
13:57,222,Eric Paschall made Layup.,66,49
13:57,154,Keyshawn Woods missed Layup.,66,49
13:57,154,John Collins Offensive Rebound.,66,49
13:31,154,John Collins made Layup.,66,51
13:11,222,Josh Hart made Three Point Jumper. Assisted by Mikal Bridges.,69,51
12:57,222,Foul on Eric Paschall.,69,51
12:51,154,Bryant Crawford made Layup.,69,53
12:30,222,Mikal Bridges made Dunk. Assisted by Donte DiVincenzo.,71,53
12:15,154,Brandon Childress missed Jumper.,71,53
12:15,222,Josh Hart Defensive Rebound.,71,53
11:47,222,Mikal Bridges made Layup.,73,53
11:42,154,Bryant Crawford made Three Point Jumper. Assisted by Keyshawn Woods.,73,56
11:14,222,Kris Jenkins made Jumper.,75,56
11:14,154,Foul on Austin Arians.,75,56
11:14,154,Official TV Timeout,75,56
11:14,222,Kris Jenkins made Free Throw.,76,56
10:47,154,John Collins made Jumper.,76,58
10:22,222,Eric Paschall missed Layup.,76,58
10:22,154,John Collins Block.,76,58
10:22,222,Eric Paschall Offensive Rebound.,76,58
10:22,222,Eric Paschall missed Two Point Tip Shot.,76,58
10:22,154,John Collins Block.,76,58
10:22,154,John Collins Defensive Rebound.,76,58
10:11,154,Austin Arians missed Three Point Jumper.,76,58
10:11,222,Villanova Defensive Rebound.,76,58
10:00,222,Jalen Brunson made Jumper.,78,58
9:47,154,Bryant Crawford made Three Point Jumper. Assisted by Brandon Childress.,78,61
9:18,222,Eric Paschall missed Layup.,78,61
9:18,154,John Collins Block.,78,61
9:18,154,Austin Arians Defensive Rebound.,78,61
9:07,154,John Collins missed Layup.,78,61
9:07,222,Donte DiVincenzo Defensive Rebound.,78,61
8:41,222,Kris Jenkins missed Three Point Jumper.,78,61
8:41,154,Bryant Crawford Defensive Rebound.,78,61
8:35,154,Austin Arians missed Three Point Jumper.,78,61
8:35,154,Keyshawn Woods Offensive Rebound.,78,61
8:28,154,Keyshawn Woods made Jumper.,78,63
8:27,222,Villanova  Timeout,78,63
8:27,154,Official TV Timeout,78,63
8:11,222,Kris Jenkins Turnover.,78,63
8:11,154,Bryant Crawford Steal.,78,63
8:01,154,Bryant Crawford made Jumper.,78,65
7:43,222,Jalen Brunson missed Jumper.,78,65
7:43,154,Mitchell Wilbekin Defensive Rebound.,78,65
7:28,154,Bryant Crawford missed Three Point Jumper.,78,65
7:28,154,Austin Arians Offensive Rebound.,78,65
7:10,154,Konstantinos Mitoglou missed Jumper.,78,65
7:10,222,Kris Jenkins Defensive Rebound.,78,65
6:48,154,Foul on Bryant Crawford.,78,65
6:48,222,Technical Foul on Josh Hart.,78,65
6:48,222,Foul on Josh Hart.,78,65
6:48,154,Technical Foul on Bryant Crawford.,78,65
6:48,154,Foul on Bryant Crawford.,78,65
6:43,222,Kris Jenkins made Jumper. Assisted by Mikal Bridges.,80,65
6:38,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.,80,68
6:12,222,Donte DiVincenzo made Three Point Jumper. Assisted by Mikal Bridges.,83,68
5:59,154,Bryant Crawford missed Three Point Jumper.,83,68
5:59,222,Donte DiVincenzo Defensive Rebound.,83,68
5:41,222,Donte DiVincenzo made Layup.,85,68
5:18,154,Keyshawn Woods made Layup.,85,70
4:45,222,Mikal Bridges missed Three Point Jumper.,85,70
4:45,154,John Collins Defensive Rebound.,85,70
4:38,154,Austin Arians made Three Point Jumper. Assisted by Keyshawn Woods.,85,73
4:10,154,Foul on John Collins.,85,73
4:10,222,Kris Jenkins made Free Throw.,86,73
4:10,222,Kris Jenkins made Free Throw.,87,73
3:59,154,John Collins made Layup. Assisted by Mitchell Wilbekin.,87,75
3:30,222,Jalen Brunson made Dunk.,89,75
3:23,154,Mitchell Wilbekin missed Three Point Jumper.,89,75
3:23,222,Jalen Brunson Defensive Rebound.,89,75
3:13,222,Villanova  Timeout,89,75
2:50,222,Josh Hart made Three Point Jumper. Assisted by Jalen Brunson.,92,75
2:37,154,Bryant Crawford missed Jumper.,92,75
2:37,222,Darryl Reynolds Block.,92,75
2:37,222,Jalen Brunson Defensive Rebound.,92,75
2:30,222,Jalen Brunson made Layup.,94,75
2:15,154,John Collins missed Jumper.,94,75
2:15,222,Kris Jenkins Defensive Rebound.,94,75
1:54,222,Jalen Brunson made Layup. Assisted by Kris Jenkins.,96,75
1:39,154,John Collins made Layup.,96,77
1:22,222,Kris Jenkins Turnover.,96,77
1:01,222,Foul on Dylan Painter.,96,77
1:01,222,Dylan Painter Turnover.,96,77
0:50,154,Keyshawn Woods missed Three Point Jumper.,96,77
0:50,222,Dylan Painter Defensive Rebound.,96,77
0:28,222,Dylan Painter missed Jumper.,96,77
0:28,154,Brandon Childress Defensive Rebound.,96,77
0:20,154,Konstantinos Mitoglou missed Three Point Jumper.,96,77
0:20,222,Mikal Bridges Defensive Rebound.,96,77
0:00,154,End of Game,96,77
