Idaho,2031,Little Rock,70
12:34,70,Myles Franklin Defensive Rebound.,17,14
12:13,70,Arkadiy Mkrtychyan made Layup. Assisted by Chad Sherwood.,19,14
11:58,2031,Oliver Black Turnover.,19,14
11:58,2031,Foul on Oliver Black.,19,14
11:58,2031,Little Rock  Timeout,19,14
11:33,70,Chad Sherwood missed Jumper.,19,14
11:33,2031,Lis Shoshi Defensive Rebound.,19,14
11:23,2031,Andre Jones Turnover.,19,14
11:02,70,Patrick Ingram missed Layup.,19,14
11:02,2031,Lis Shoshi Defensive Rebound.,19,14
10:42,70,Foul on Ty Egbert.,19,14
10:40,2031,Marcus Johnson Jr. missed Three Point Jumper.,19,14
10:40,70,Brayon Blake Defensive Rebound.,19,14
10:34,70,Myles Franklin missed Three Point Jumper.,19,14
10:34,70,Patrick Ingram Offensive Rebound.,19,14
10:28,70,Victor Sanders missed Three Point Jumper.,19,14
10:28,2031,Lis Shoshi Defensive Rebound.,19,14
10:28,70,Foul on Arkadiy Mkrtychyan.,19,14
10:06,2031,Kemy Osse missed Three Point Jumper.,19,14
10:06,70,Patrick Ingram Defensive Rebound.,19,14
9:52,2031,Foul on Maurius Hill.,19,14
9:52,70,Arkadiy Mkrtychyan made Free Throw.,20,14
9:52,70,Arkadiy Mkrtychyan made Free Throw.,21,14
9:29,2031,Jalen Jackson missed Jumper.,21,14
9:29,70,Brayon Blake Defensive Rebound.,21,14
9:22,70,Arkadiy Mkrtychyan missed Layup.,21,14
9:22,2031,Lis Shoshi Defensive Rebound.,21,14
9:13,2031,Maurius Hill missed Three Point Jumper.,21,14
9:13,70,Arkadiy Mkrtychyan Defensive Rebound.,21,14
9:01,70,Victor Sanders made Layup.,23,14
8:39,2031,Jalen Jackson missed Three Point Jumper.,23,14
8:39,70,Brayon Blake Defensive Rebound.,23,14
8:31,70,Arkadiy Mkrtychyan missed Three Point Jumper.,23,14
8:31,2031,Marcus Johnson Jr. Defensive Rebound.,23,14
8:08,2031,Jalen Jackson missed Jumper.,23,14
8:08,70,Patrick Ingram Defensive Rebound.,23,14
7:47,70,Victor Sanders missed Layup.,23,14
7:47,2031,Maurius Hill Defensive Rebound.,23,14
7:39,70,Foul on Patrick Ingram.,23,14
7:39,2031,Official TV Timeout,23,14
7:39,2031,Kemy Osse missed Free Throw.,23,14
7:39,70,Idaho Defensive Rebound.,23,14
7:29,2031,Foul on Kemy Osse.,23,14
7:10,2031,Foul on Ben Marcus.,23,14
7:10,70,Nate Sherwood made Free Throw.,24,14
7:10,70,Nate Sherwood made Free Throw.,25,14
6:38,2031,Marcus Johnson Jr. missed Jumper.,25,14
6:38,70,Brayon Blake Defensive Rebound.,25,14
6:27,70,Victor Sanders missed Jumper.,25,14
6:27,2031,Little Rock Defensive Rebound.,25,14
5:58,2031,Andre Jones missed Three Point Jumper.,25,14
5:58,2031,Little Rock Offensive Rebound.,25,14
5:54,2031,Maurius Hill missed Three Point Jumper.,25,14
5:54,2031,Lis Shoshi Offensive Rebound.,25,14
5:33,2031,Jalen Jackson made Jumper.,25,16
5:17,70,Victor Sanders Turnover.,25,16
4:58,2031,Maurius Hill Turnover.,25,16
4:58,2031,Foul on Maurius Hill.,25,16
4:47,70,Arkadiy Mkrtychyan made Layup. Assisted by Jordan Scott.,27,16
4:13,2031,Lis Shoshi missed Jumper.,27,16
4:13,2031,Kemy Osse Offensive Rebound.,27,16
4:11,2031,Kemy Osse missed Two Point Tip Shot.,27,16
4:11,70,Jordan Scott Defensive Rebound.,27,16
4:03,70,Brayon Blake missed Layup.,27,16
4:03,2031,Lis Shoshi Block.,27,16
4:02,2031,Lis Shoshi Defensive Rebound.,27,16
3:37,2031,Marcus Johnson Jr. missed Three Point Jumper.,27,16
3:37,2031,Lis Shoshi Offensive Rebound.,27,16
3:37,70,Foul on Trevon Allen.,27,16
3:37,2031,Official TV Timeout,27,16
3:37,2031,Lis Shoshi made Free Throw.,27,17
3:37,2031,Lis Shoshi missed Free Throw.,27,17
3:37,70,Victor Sanders Defensive Rebound.,27,17
3:11,70,Victor Sanders made Jumper.,29,17
2:45,2031,Lis Shoshi missed Layup.,29,17
2:45,70,Arkadiy Mkrtychyan Block.,29,17
2:45,2031,Lis Shoshi Offensive Rebound.,29,17
2:45,2031,Lis Shoshi made Layup.,29,19
2:34,70,Brayon Blake missed Jumper.,29,19
2:34,2031,Marcus Johnson Jr. Defensive Rebound.,29,19
2:28,2031,Marcus Johnson Jr. made Jumper.,29,21
2:03,70,Trevon Allen missed Three Point Jumper.,29,21
2:03,2031,Lis Shoshi Defensive Rebound.,29,21
1:56,2031,Jalen Jackson missed Layup.,29,21
1:56,70,Arkadiy Mkrtychyan Defensive Rebound.,29,21
1:26,70,Jordan Scott Turnover.,29,21
1:25,2031,Andre Jones Steal.,29,21
0:58,2031,Jalen Jackson missed Jumper.,29,21
0:58,70,Brayon Blake Defensive Rebound.,29,21
0:45,70,Idaho  Timeout,29,21
0:34,70,Brayon Blake missed Jumper.,29,21
0:34,2031,Deondre Burns Defensive Rebound.,29,21
0:30,2031,Jalen Jackson Turnover.,29,21
0:03,70,Trevon Allen missed Three Point Jumper.,29,21
0:03,2031,Lis Shoshi Defensive Rebound.,29,21
0:00,2031,Lis Shoshi missed Three Point Jumper.,29,21
0:00,70,Idaho Defensive Rebound.,29,21
0:00,2031,End of 1st half,29,21
19:49,2031,Maurius Hill made Layup. Assisted by Lis Shoshi.,29,23
19:49,70,Foul on Brayon Blake.,29,23
19:49,2031,Maurius Hill missed Free Throw.,29,23
19:49,70,Brayon Blake Defensive Rebound.,29,23
19:29,70,Trevon Allen Turnover.,29,23
19:10,2031,Lis Shoshi made Layup. Assisted by Marcus Johnson Jr..,29,25
18:55,70,Victor Sanders Turnover.,29,25
18:54,2031,Lis Shoshi Steal.,29,25
18:49,2031,Marcus Johnson Jr. missed Three Point Jumper.,29,25
18:49,70,Jordan Scott Defensive Rebound.,29,25
18:26,70,Trevon Allen Turnover.,29,25
18:09,2031,Kemy Osse missed Three Point Jumper.,29,25
18:09,2031,Lis Shoshi Offensive Rebound.,29,25
18:05,2031,Jalen Jackson missed Layup.,29,25
18:05,2031,Maurius Hill Offensive Rebound.,29,25
17:53,2031,Maurius Hill made Layup. Assisted by Lis Shoshi.,29,27
17:53,70,Foul on Brayon Blake.,29,27
17:53,2031,Maurius Hill missed Free Throw.,29,27
17:53,70,Victor Sanders Defensive Rebound.,29,27
17:43,70,Myles Franklin Turnover.,29,27
17:43,70,Foul on Myles Franklin.,29,27
17:43,70,Idaho  Timeout,29,27
17:23,2031,Maurius Hill missed Layup.,29,27
17:23,70,Victor Sanders Defensive Rebound.,29,27
17:03,2031,Foul on Kemy Osse.,29,27
17:03,70,Victor Sanders made Free Throw.,30,27
17:03,70,Victor Sanders missed Free Throw.,30,27
17:03,70,Idaho Deadball Team Rebound.,30,27
17:03,70,Victor Sanders missed Free Throw.,30,27
17:03,2031,Jalen Jackson Defensive Rebound.,30,27
16:55,2031,Jalen Jackson Turnover.,30,27
16:53,70,Victor Sanders Steal.,30,27
16:38,70,Jordan Scott missed Layup.,30,27
16:38,2031,Lis Shoshi Block.,30,27
16:38,70,Idaho Offensive Rebound.,30,27
16:28,2031,Foul on Jalen Jackson.,30,27
16:28,70,Myles Franklin made Free Throw.,31,27
16:28,70,Myles Franklin made Free Throw.,32,27
16:28,70,Myles Franklin missed Free Throw.,32,27
16:28,2031,Jalen Jackson Defensive Rebound.,32,27
15:59,2031,Kemy Osse made Three Point Jumper.,32,30
15:36,70,Jordan Scott Turnover.,32,30
15:36,70,Foul on Jordan Scott.,32,30
15:36,2031,Official TV Timeout,32,30
15:09,2031,Maurius Hill missed Layup.,32,30
15:09,70,Arkadiy Mkrtychyan Defensive Rebound.,32,30
14:54,70,Victor Sanders missed Jumper.,32,30
14:54,2031,Andre Jones Defensive Rebound.,32,30
14:45,2031,Jalen Jackson missed Jumper.,32,30
14:45,70,Myles Franklin Defensive Rebound.,32,30
14:34,70,Brayon Blake made Layup. Assisted by Arkadiy Mkrtychyan.,34,30
14:01,2031,Marcus Johnson Jr. made Jumper.,34,32
13:37,70,Ty Egbert missed Jumper.,34,32
13:37,2031,Maurius Hill Defensive Rebound.,34,32
13:22,2031,Marcus Johnson Jr. made Layup.,34,34
12:56,2031,Foul on Oliver Black.,34,34
12:52,70,Victor Sanders missed Layup.,34,34
12:52,2031,Oliver Black Defensive Rebound.,34,34
12:33,2031,Kemy Osse missed Three Point Jumper.,34,34
12:33,70,Ty Egbert Defensive Rebound.,34,34
12:27,70,Victor Sanders made Three Point Jumper. Assisted by Trevon Allen.,37,34
11:56,2031,Marcus Johnson Jr. missed Three Point Jumper.,37,34
11:56,70,Patrick Ingram Defensive Rebound.,37,34
11:49,70,Nate Sherwood made Layup. Assisted by Ty Egbert.,39,34
11:32,2031,Lis Shoshi missed Layup.,39,34
11:32,70,Ty Egbert Block.,39,34
11:32,2031,Little Rock Offensive Rebound.,39,34
11:32,2031,Official TV Timeout,39,34
11:27,2031,Andre Jones Turnover.,39,34
11:05,70,Ty Egbert missed Layup.,39,34
11:05,2031,Lis Shoshi Defensive Rebound.,39,34
10:45,2031,Lis Shoshi missed Three Point Jumper.,39,34
10:45,2031,Kemy Osse Offensive Rebound.,39,34
10:44,2031,Kemy Osse missed Layup.,39,34
10:44,70,Victor Sanders Defensive Rebound.,39,34
10:35,70,Patrick Ingram made Jumper.,41,34
10:14,70,Foul on Nate Sherwood.,41,34
10:07,70,Foul on Ty Egbert.,41,34
10:07,2031,Lis Shoshi made Free Throw.,41,35
10:07,2031,Lis Shoshi made Free Throw.,41,36
9:49,70,Brayon Blake missed Three Point Jumper.,41,36
9:49,70,Patrick Ingram Offensive Rebound.,41,36
9:40,70,Brayon Blake made Jumper. Assisted by Victor Sanders.,43,36
9:20,2031,Kemy Osse missed Three Point Jumper.,43,36
9:20,70,Brayon Blake Defensive Rebound.,43,36
9:20,2031,Foul on Lis Shoshi.,43,36
9:12,70,Patrick Ingram missed Layup.,43,36
9:12,2031,Andre Jones Defensive Rebound.,43,36
9:12,70,Foul on Arkadiy Mkrtychyan.,43,36
9:12,2031,Andre Jones missed Free Throw.,43,36
9:12,70,Patrick Ingram Defensive Rebound.,43,36
9:01,2031,Foul on Lis Shoshi.,43,36
9:01,70,Arkadiy Mkrtychyan made Free Throw.,44,36
9:01,70,Arkadiy Mkrtychyan missed Free Throw.,44,36
9:01,2031,Kemy Osse Defensive Rebound.,44,36
8:35,2031,Marcus Johnson Jr. missed Three Point Jumper.,44,36
8:35,2031,Jalen Jackson Offensive Rebound.,44,36
8:35,70,Foul on Arkadiy Mkrtychyan.,44,36
8:35,2031,Maurius Hill made Free Throw.,44,37
8:35,2031,Maurius Hill missed Free Throw.,44,37
8:35,70,Brayon Blake Defensive Rebound.,44,37
8:17,70,Brayon Blake Turnover.,44,37
7:52,2031,Lis Shoshi missed Jumper.,44,37
7:52,2031,Little Rock Offensive Rebound.,44,37
7:52,2031,Official TV Timeout,44,37
7:45,2031,Kemy Osse missed Three Point Jumper.,44,37
7:45,70,Brayon Blake Defensive Rebound.,44,37
7:31,70,Arkadiy Mkrtychyan made Layup. Assisted by Victor Sanders.,46,37
7:15,2031,Lis Shoshi made Layup. Assisted by Maurius Hill.,46,39
6:47,70,Arkadiy Mkrtychyan missed Layup.,46,39
6:47,70,Brayon Blake Offensive Rebound.,46,39
6:44,70,Brayon Blake Turnover.,46,39
6:41,2031,Marcus Johnson Jr. made Layup.,46,41
6:14,70,Chad Sherwood missed Three Point Jumper.,46,41
6:14,2031,Lis Shoshi Defensive Rebound.,46,41
6:11,70,Foul on Chad Sherwood.,46,41
6:11,2031,Marcus Johnson Jr. missed Free Throw.,46,41
6:11,2031,Little Rock Deadball Team Rebound.,46,41
6:11,2031,Marcus Johnson Jr. made Free Throw.,46,42
6:01,70,Victor Sanders Turnover.,46,42
5:58,2031,Marcus Johnson Jr. made Layup. Assisted by Kemy Osse.,46,44
5:27,70,Ty Egbert missed Layup.,46,44
5:27,2031,Kemy Osse Defensive Rebound.,46,44
4:59,2031,Kemy Osse missed Jumper.,46,44
4:59,70,Myles Franklin Defensive Rebound.,46,44
4:47,2031,Foul on Oliver Black.,46,44
4:46,70,Nate Sherwood made Jumper. Assisted by Myles Franklin.,48,44
4:26,70,Foul on Victor Sanders.,48,44
4:26,2031,Maurius Hill missed Free Throw.,48,44
4:26,2031,Little Rock Deadball Team Rebound.,48,44
4:26,2031,Maurius Hill made Free Throw.,48,45
4:14,70,Victor Sanders made Three Point Jumper. Assisted by Nate Sherwood.,51,45
3:58,2031,Marcus Johnson Jr. made Three Point Jumper. Assisted by Maurius Hill.,51,48
3:33,70,Patrick Ingram made Layup.,53,48
3:21,70,Foul on Myles Franklin.,53,48
3:21,2031,Official TV Timeout,53,48
3:21,2031,Marcus Johnson Jr. made Free Throw.,53,49
3:21,2031,Marcus Johnson Jr. made Free Throw.,53,50
3:01,70,Nate Sherwood made Layup. Assisted by Victor Sanders.,55,50
2:43,2031,Kemy Osse made Three Point Jumper. Assisted by Marcus Johnson Jr..,55,53
2:09,70,Victor Sanders made Three Point Jumper.,58,53
2:03,2031,Little Rock  Timeout,58,53
1:50,2031,Maurius Hill missed Jumper.,58,53
1:50,70,Myles Franklin Defensive Rebound.,58,53
1:35,2031,Foul on Marcus Johnson Jr..,58,53
1:35,70,Patrick Ingram missed Free Throw.,58,53
1:35,2031,Jalen Jackson Defensive Rebound.,58,53
1:21,70,Foul on Nate Sherwood.,58,53
1:21,2031,Marcus Johnson Jr. made Free Throw.,58,54
1:21,2031,Marcus Johnson Jr. made Free Throw.,58,55
1:00,70,Patrick Ingram missed Jumper.,58,55
1:00,2031,Jalen Jackson Block.,58,55
0:58,2031,Lis Shoshi Defensive Rebound.,58,55
0:41,2031,Marcus Johnson Jr. Turnover.,58,55
0:37,70,Myles Franklin made Layup.,60,55
0:30,2031,Jalen Jackson Turnover.,60,55
0:25,2031,Foul on Maurius Hill.,60,55
0:25,70,Nate Sherwood made Free Throw.,61,55
0:25,2031,Little Rock  Timeout,61,55
0:25,70,Nate Sherwood made Free Throw.,62,55
0:18,2031,Jalen Jackson missed Three Point Jumper.,62,55
0:18,70,Brayon Blake Defensive Rebound.,62,55
0:15,2031,Foul on Lis Shoshi.,62,55
0:15,70,Victor Sanders made Free Throw.,63,55
0:15,70,Victor Sanders made Free Throw.,64,55
0:03,70,Foul on Nate Sherwood.,64,55
0:03,2031,Kemy Osse missed Three Point Jumper.,64,55
0:03,2031,Lis Shoshi Offensive Rebound.,64,55
0:03,2031,Lis Shoshi made Free Throw.,64,56
0:03,2031,Lis Shoshi made Free Throw.,64,57
0:01,2031,Foul on Kemy Osse.,64,57
0:01,70,Victor Sanders made Free Throw.,65,57
0:01,70,Victor Sanders missed Free Throw.,65,57
0:01,2031,Marcus Johnson Jr. Defensive Rebound.,65,57
0:00,2031,End of Game,65,57
