Mt. St. Mary's,2244,George Mason,116
14:03,2244,Marquise Moore Defensive Rebound.,13,13
13:50,2244,Troy Temara missed Layup.,13,13
13:50,116,Greg Alexander Defensive Rebound.,13,13
13:21,116,Mawdo Sallah missed Jumper.,13,13
13:21,2244,Marquise Moore Defensive Rebound.,13,13
13:06,2244,Jaire Grayer missed Three Point Jumper.,13,13
13:06,116,Elijah Long Defensive Rebound.,13,13
12:59,116,Elijah Long missed Layup.,13,13
12:59,116,Mawdo Sallah Offensive Rebound.,13,13
12:53,116,Will Miller made Three Point Jumper. Assisted by Mawdo Sallah.,16,13
12:44,116,Foul on Greg Alexander.,16,13
12:27,2244,Jalen Jenkins made Layup. Assisted by Karmari Newman.,16,15
12:00,116,Mawdo Sallah missed Jumper.,16,15
12:00,2244,DeAndre Abram Defensive Rebound.,16,15
11:51,2244,Jalen Jenkins made Jumper. Assisted by Justin Kier.,16,17
11:51,116,Foul on Mawdo Sallah.,16,17
11:49,2244,Jalen Jenkins made Free Throw.,16,18
11:27,116,Junior Robinson made Layup.,18,18
11:13,116,Foul on Chris Wray.,18,18
11:13,2244,Justin Kier missed Free Throw.,18,18
11:13,2244,George Mason Deadball Team Rebound.,18,18
11:13,2244,Justin Kier made Free Throw.,18,19
11:01,2244,Foul on Justin Kier.,18,19
11:01,116,Junior Robinson made Free Throw.,19,19
11:01,116,Junior Robinson made Free Throw.,20,19
11:01,116,Junior Robinson made Free Throw.,21,19
10:44,2244,Karmari Newman missed Jumper.,21,19
10:44,116,Miles Wilson Defensive Rebound.,21,19
10:39,116,Miles Wilson Turnover.,21,19
10:38,2244,Jalen Jenkins Steal.,21,19
10:24,2244,Marquise Moore missed Jumper.,21,19
10:24,116,Mt. St. Mary's Defensive Rebound.,21,19
10:17,116,Greg Alexander missed Three Point Jumper.,21,19
10:17,2244,Marquise Moore Defensive Rebound.,21,19
10:10,2244,Marquise Moore made Layup.,21,21
10:01,116,Miles Wilson missed Three Point Jumper.,21,21
10:01,2244,Jalen Jenkins Defensive Rebound.,21,21
9:23,2244,Jalen Jenkins Turnover.,21,21
9:22,116,Miles Wilson Steal.,21,21
9:19,116,Miles Wilson made Layup.,23,21
9:00,2244,Kameron Murrell missed Three Point Jumper.,23,21
9:00,2244,Justin Kier Offensive Rebound.,23,21
8:50,2244,Jalen Jenkins made Jumper.,23,23
8:46,116,Junior Robinson Turnover.,23,23
8:43,2244,Kameron Murrell Steal.,23,23
8:41,2244,Kameron Murrell missed Layup.,23,23
8:41,116,Elijah Long Defensive Rebound.,23,23
8:36,116,Elijah Long missed Layup.,23,23
8:36,2244,DeAndre Abram Block.,23,23
8:35,2244,Marquise Moore Defensive Rebound.,23,23
8:30,116,Foul on Junior Robinson.,23,23
8:30,2244,Karmari Newman missed Free Throw.,23,23
8:30,2244,George Mason Deadball Team Rebound.,23,23
8:30,2244,Karmari Newman made Free Throw.,23,24
8:19,2244,Foul on Troy Temara.,23,24
8:02,116,Greg Alexander made Three Point Jumper.,26,24
7:37,2244,Marquise Moore made Layup.,26,26
7:37,116,Foul on Ryan Gomes.,26,26
7:37,2244,Marquise Moore missed Free Throw.,26,26
7:37,116,Elijah Long Defensive Rebound.,26,26
7:16,116,Junior Robinson made Layup.,28,26
6:51,2244,Troy Temara missed Jumper.,28,26
6:51,116,Elijah Long Defensive Rebound.,28,26
6:43,116,Junior Robinson missed Layup.,28,26
6:43,2244,Troy Temara Defensive Rebound.,28,26
6:25,116,Foul on Khalid Nwandu.,28,26
6:25,2244,Marquise Moore made Free Throw.,28,27
6:25,2244,Marquise Moore missed Free Throw.,28,27
6:25,116,Chris Wray Defensive Rebound.,28,27
6:14,116,Miles Wilson missed Jumper.,28,27
6:13,2244,Jalen Jenkins Block.,28,27
6:12,2244,Marquise Moore Defensive Rebound.,28,27
6:09,2244,Otis Livingston II Turnover.,28,27
5:56,116,Miles Wilson made Layup.,30,27
5:38,2244,Jaire Grayer Turnover.,30,27
5:37,116,Khalid Nwandu Steal.,30,27
5:28,116,Khalid Nwandu missed Layup.,30,27
5:28,2244,Marquise Moore Block.,30,27
5:24,2244,George Mason Defensive Rebound.,30,27
5:21,2244,Marquise Moore made Layup.,30,29
4:58,116,Miles Wilson missed Three Point Jumper.,30,29
4:58,2244,Jaire Grayer Defensive Rebound.,30,29
4:45,2244,Jaire Grayer missed Three Point Jumper.,30,29
4:45,116,Chris Wray Defensive Rebound.,30,29
4:23,116,Randy Miller Jr. Turnover.,30,29
4:21,2244,Kameron Murrell Steal.,30,29
4:16,2244,Kameron Murrell missed Layup.,30,29
4:16,116,Miles Wilson Block.,30,29
4:15,116,Greg Alexander Defensive Rebound.,30,29
4:11,116,Khalid Nwandu made Layup.,32,29
3:39,2244,Ian Boyd missed Jumper.,32,29
3:39,2244,Jaire Grayer Offensive Rebound.,32,29
3:34,2244,Jaire Grayer made Two Point Tip Shot.,32,31
3:17,116,Randy Miller Jr. made Three Point Jumper. Assisted by Greg Alexander.,35,31
2:55,2244,Kameron Murrell Turnover.,35,31
2:55,2244,Official TV Timeout,35,31
2:32,2244,Foul on Jaire Grayer.,35,31
2:32,116,Miles Wilson missed Free Throw.,35,31
2:32,116,Mt. St. Mary's Deadball Team Rebound.,35,31
2:32,116,Miles Wilson made Free Throw.,36,31
2:14,2244,Otis Livingston II missed Jumper.,36,31
2:14,2244,Jalen Jenkins Offensive Rebound.,36,31
2:09,2244,Jalen Jenkins made Two Point Tip Shot.,36,33
1:45,116,Miles Wilson missed Jumper.,36,33
1:45,2244,Jalen Jenkins Defensive Rebound.,36,33
1:27,2244,Marquise Moore made Jumper. Assisted by Jalen Jenkins.,36,35
1:18,116,Mt. St. Mary's  Timeout,36,35
1:09,116,Chris Wray missed Jumper.,36,35
1:09,2244,Jaire Grayer Defensive Rebound.,36,35
0:51,2244,DeAndre Abram made Layup.,36,37
0:30,116,Chris Wray made Layup. Assisted by Junior Robinson.,38,37
0:16,2244,George Mason  Timeout,38,37
0:03,2244,Marquise Moore missed Jumper.,38,37
0:03,116,Greg Alexander Defensive Rebound.,38,37
0:00,2244,End of 1st half,38,37
19:47,2244,Foul on Jalen Jenkins.,38,37
19:25,116,Mawdo Sallah made Jumper.,40,37
19:05,2244,Jaire Grayer missed Three Point Jumper.,40,37
19:05,2244,Jalen Jenkins Offensive Rebound.,40,37
18:58,2244,Jalen Jenkins missed Jumper.,40,37
18:58,2244,Jalen Jenkins Offensive Rebound.,40,37
18:54,2244,Jalen Jenkins made Two Point Tip Shot.,40,39
18:37,116,Mawdo Sallah made Layup. Assisted by Elijah Long.,42,39
18:11,2244,Otis Livingston II made Layup.,42,41
17:52,116,Mawdo Sallah missed Jumper.,42,41
17:52,2244,Jalen Jenkins Defensive Rebound.,42,41
17:52,2244,Justin Kier Block.,42,41
17:43,116,Foul on Chris Wray.,42,41
17:43,2244,Marquise Moore missed Free Throw.,42,41
17:43,2244,George Mason Deadball Team Rebound.,42,41
17:43,2244,Marquise Moore made Free Throw.,42,42
17:25,116,Junior Robinson Turnover.,42,42
17:21,2244,Foul on Otis Livingston II.,42,42
17:21,2244,Otis Livingston II Turnover.,42,42
17:06,116,Elijah Long made Layup.,44,42
16:33,116,Foul on Mawdo Sallah.,44,42
16:33,2244,Jaire Grayer made Free Throw.,44,43
16:33,2244,Jaire Grayer missed Free Throw.,44,43
16:33,116,Chris Wray Defensive Rebound.,44,43
16:09,116,Chris Wray missed Jumper.,44,43
16:09,2244,Justin Kier Defensive Rebound.,44,43
16:00,2244,Justin Kier Turnover.,44,43
15:58,116,Elijah Long Steal.,44,43
15:54,2244,Foul on Justin Kier.,44,43
15:54,2244,Official TV Timeout,44,43
15:46,116,Miles Wilson Turnover.,44,43
15:32,2244,DeAndre Abram made Jumper. Assisted by Otis Livingston II.,44,45
15:06,116,Ryan Gomes missed Jumper.,44,45
15:06,2244,DeAndre Abram Defensive Rebound.,44,45
14:52,2244,Jaire Grayer missed Jumper.,44,45
14:52,116,Ryan Gomes Block.,44,45
14:51,2244,George Mason Offensive Rebound.,44,45
14:44,2244,DeAndre Abram missed Three Point Jumper.,44,45
14:44,2244,Jalen Jenkins Offensive Rebound.,44,45
14:40,2244,Jalen Jenkins made Layup.,44,47
14:14,116,Will Miller missed Three Point Jumper.,44,47
14:14,2244,Marquise Moore Defensive Rebound.,44,47
14:04,2244,Jalen Jenkins made Jumper.,44,49
13:59,116,Mt. St. Mary's  Timeout,44,49
13:33,116,Will Miller missed Three Point Jumper.,44,49
13:33,2244,Jalen Jenkins Defensive Rebound.,44,49
13:05,2244,Otis Livingston II missed Jumper.,44,49
13:05,116,Junior Robinson Defensive Rebound.,44,49
12:57,116,Junior Robinson missed Layup.,44,49
12:57,2244,DeAndre Abram Block.,44,49
12:56,2244,Marquise Moore Defensive Rebound.,44,49
12:52,2244,Marquise Moore made Layup.,44,51
12:34,116,Elijah Long made Layup.,46,51
12:09,2244,Marquise Moore missed Layup.,46,51
12:09,116,Chris Wray Block.,46,51
12:09,2244,George Mason Offensive Rebound.,46,51
12:02,2244,Otis Livingston II missed Jumper.,46,51
12:02,2244,DeAndre Abram Offensive Rebound.,46,51
11:49,2244,Troy Temara made Layup. Assisted by Marquise Moore.,46,53
11:26,116,Elijah Long made Layup.,48,53
11:26,2244,Foul on DeAndre Abram.,48,53
11:26,116,Elijah Long missed Free Throw.,48,53
11:26,2244,George Mason Defensive Rebound.,48,53
11:07,2244,Karmari Newman missed Jumper.,48,53
11:07,2244,Troy Temara Offensive Rebound.,48,53
11:06,116,Foul on Mawdo Sallah.,48,53
11:06,2244,Troy Temara made Free Throw.,48,54
11:06,2244,Troy Temara missed Free Throw.,48,54
11:06,116,Elijah Long Defensive Rebound.,48,54
10:55,2244,Foul on Troy Temara.,48,54
10:45,116,Chris Wray made Jumper.,50,54
10:19,2244,DeAndre Abram made Layup. Assisted by Marquise Moore.,50,56
10:04,116,Junior Robinson missed Layup.,50,56
10:04,2244,Karmari Newman Defensive Rebound.,50,56
9:56,2244,Foul on Otis Livingston II.,50,56
9:56,2244,Otis Livingston II Turnover.,50,56
9:41,116,Elijah Long missed Layup.,50,56
9:41,2244,Marquise Moore Defensive Rebound.,50,56
9:31,2244,Marquise Moore missed Jumper.,50,56
9:31,116,Mt. St. Mary's Defensive Rebound.,50,56
9:16,116,Chris Wray made Layup. Assisted by Junior Robinson.,52,56
8:58,2244,Justin Kier missed Layup.,52,56
8:58,116,Chris Wray Defensive Rebound.,52,56
8:49,2244,Foul on Jaire Grayer.,52,56
8:49,116,Elijah Long made Free Throw.,53,56
8:49,116,Elijah Long made Free Throw.,54,56
8:40,2244,Jaire Grayer missed Jumper.,54,56
8:40,116,Greg Alexander Defensive Rebound.,54,56
8:22,116,Chris Wray missed Layup.,54,56
8:22,2244,Marquise Moore Defensive Rebound.,54,56
8:16,2244,Foul on Marquise Moore.,54,56
8:16,2244,Marquise Moore Turnover.,54,56
7:44,116,Junior Robinson missed Three Point Jumper.,54,56
7:44,116,Miles Wilson Offensive Rebound.,54,56
7:27,116,Greg Alexander missed Three Point Jumper.,54,56
7:27,2244,Marquise Moore Defensive Rebound.,54,56
7:06,2244,Karmari Newman missed Three Point Jumper.,54,56
7:06,116,Elijah Long Defensive Rebound.,54,56
7:03,2244,Foul on Marquise Moore.,54,56
7:03,2244,Official TV Timeout,54,56
7:03,116,Elijah Long made Free Throw.,55,56
7:03,116,Elijah Long missed Free Throw.,55,56
7:03,2244,Marquise Moore Defensive Rebound.,55,56
6:43,2244,Jalen Jenkins made Jumper.,55,58
6:23,116,Mawdo Sallah missed Jumper.,55,58
6:23,2244,DeAndre Abram Defensive Rebound.,55,58
6:06,2244,Jalen Jenkins made Jumper.,55,60
5:42,116,Elijah Long missed Jumper.,55,60
5:42,116,Greg Alexander Offensive Rebound.,55,60
5:38,116,Greg Alexander made Three Point Jumper.,58,60
5:32,116,Foul on Miles Wilson.,58,60
5:32,2244,Foul on Otis Livingston II.,58,60
5:32,2244,Otis Livingston II Turnover.,58,60
5:10,116,Junior Robinson missed Layup.,58,60
5:10,2244,Marquise Moore Defensive Rebound.,58,60
5:04,116,Foul on Junior Robinson.,58,60
5:04,2244,Marquise Moore missed Free Throw.,58,60
5:04,2244,George Mason Deadball Team Rebound.,58,60
5:04,2244,Marquise Moore made Free Throw.,58,61
4:50,116,Greg Alexander missed Three Point Jumper.,58,61
4:50,2244,DeAndre Abram Defensive Rebound.,58,61
4:21,116,Foul on Mawdo Sallah.,58,61
4:21,2244,DeAndre Abram made Free Throw.,58,62
4:21,2244,DeAndre Abram made Free Throw.,58,63
3:59,116,Miles Wilson made Layup. Assisted by Junior Robinson.,60,63
3:42,2244,Foul on DeAndre Abram.,60,63
3:42,2244,DeAndre Abram Turnover.,60,63
3:42,2244,Official TV Timeout,60,63
3:17,116,Junior Robinson made Jumper.,62,63
2:40,2244,Marquise Moore missed Three Point Jumper.,62,63
2:40,116,Elijah Long Defensive Rebound.,62,63
2:33,116,Elijah Long missed Layup.,62,63
2:33,116,Miles Wilson Offensive Rebound.,62,63
2:30,116,Miles Wilson made Layup.,64,63
2:07,2244,Foul on Justin Kier.,64,63
2:07,2244,Justin Kier Turnover.,64,63
1:44,116,Chris Wray made Layup.,66,63
1:19,2244,Marquise Moore made Layup.,66,65
1:19,116,Foul on Elijah Long.,66,65
1:19,2244,Marquise Moore made Free Throw.,66,66
0:58,116,Junior Robinson missed Jumper.,66,66
0:58,116,Chris Wray Offensive Rebound.,66,66
0:57,116,Chris Wray made Two Point Tip Shot.,68,66
0:50,2244,George Mason  Timeout,68,66
0:40,2244,Jalen Jenkins missed Jumper.,68,66
0:40,116,Greg Alexander Block.,68,66
0:38,2244,Jalen Jenkins Offensive Rebound.,68,66
0:34,116,Foul on Miles Wilson.,68,66
0:34,2244,Marquise Moore missed Free Throw.,68,66
0:34,2244,George Mason Deadball Team Rebound.,68,66
0:34,2244,Marquise Moore made Free Throw.,68,67
0:17,2244,Foul on Marquise Moore.,68,67
0:17,116,Junior Robinson made Free Throw.,69,67
0:17,2244,George Mason  Timeout,69,67
0:17,116,Junior Robinson made Free Throw.,70,67
0:07,2244,Otis Livingston II made Three Point Jumper. Assisted by Marquise Moore.,70,70
0:01,116,Junior Robinson missed Jumper.,70,70
0:01,116,Chris Wray Offensive Rebound.,70,70
0:00,2244,End of 2nd half,70,70
4:46,2244,Marquise Moore made Jumper. Assisted by Jalen Jenkins.,70,72
4:23,116,Greg Alexander missed Three Point Jumper.,70,72
4:23,2244,Jalen Jenkins Defensive Rebound.,70,72
4:07,2244,Jalen Jenkins Turnover.,70,72
4:07,116,Chris Wray Steal.,70,72
4:07,2244,Foul on Jalen Jenkins.,70,72
3:51,116,Junior Robinson Turnover.,70,72
3:48,2244,Otis Livingston II Steal.,70,72
3:31,2244,Marquise Moore missed Jumper.,70,72
3:31,116,Miles Wilson Defensive Rebound.,70,72
3:12,116,Elijah Long missed Jumper.,70,72
3:12,116,Chris Wray Offensive Rebound.,70,72
3:08,116,Chris Wray made Two Point Tip Shot.,72,72
2:51,116,Foul on Junior Robinson.,72,72
2:51,2244,Justin Kier missed Free Throw.,72,72
2:51,116,Chris Wray Defensive Rebound.,72,72
2:24,116,Elijah Long made Jumper.,74,72
1:57,2244,Jalen Jenkins made Jumper.,74,74
1:28,116,Elijah Long missed Jumper.,74,74
1:28,116,Chris Wray Offensive Rebound.,74,74
1:24,116,Chris Wray made Two Point Tip Shot.,76,74
1:01,116,Foul on Elijah Long.,76,74
1:01,2244,Justin Kier made Free Throw.,76,75
1:01,2244,Justin Kier made Free Throw.,76,76
1:01,2244,George Mason  Timeout,76,76
0:29,116,Greg Alexander missed Three Point Jumper.,76,76
0:29,2244,Marquise Moore Defensive Rebound.,76,76
0:15,2244,Otis Livingston II missed Jumper.,76,76
0:15,2244,Justin Kier Offensive Rebound.,76,76
0:08,2244,Justin Kier Turnover.,76,76
0:06,116,Elijah Long Steal.,76,76
0:03,116,Mt. St. Mary's  Timeout,76,76
0:01,116,Chris Wray made Dunk.,78,76
0:01,116,Mt. St. Mary's  Timeout,78,76
0:01,2244,Ian Boyd Turnover.,78,76
0:01,116,Chris Wray Steal.,78,76
0:00,2244,End of Game,78,76
