Wake Forest,2429,Charlotte,154
9:11,2429,Hudson Price missed Three Point Jumper.,31,16
9:11,154,Bryant Crawford Defensive Rebound.,31,16
9:07,154,Bryant Crawford Turnover.,31,16
8:47,2429,Andrien White missed Three Point Jumper.,31,16
8:47,154,Olivier Sarr Defensive Rebound.,31,16
8:25,154,Chaundee Brown missed Jumper.,31,16
8:25,2429,Andrien White Defensive Rebound.,31,16
8:17,2429,Andrien White missed Jumper.,31,16
8:17,154,Bryant Crawford Defensive Rebound.,31,16
7:57,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Chaundee Brown.,34,16
7:38,2429,Jon Davis Turnover.,34,16
7:35,154,Mitchell Wilbekin Steal.,34,16
7:18,154,Mitchell Wilbekin missed Jumper.,34,16
7:18,2429,Hudson Price Defensive Rebound.,34,16
7:08,154,Foul on Mitchell Wilbekin.,34,16
7:08,2429,Official TV Timeout,34,16
7:08,2429,Andrien White made Free Throw.,34,17
7:08,2429,Andrien White missed Free Throw.,34,17
7:08,154,Olivier Sarr Defensive Rebound.,34,17
6:47,154,Bryant Crawford made Layup. Assisted by Keyshawn Woods.,36,17
6:33,2429,Bryant Thomas Turnover.,36,17
6:32,154,Chaundee Brown Steal.,36,17
6:29,154,Keyshawn Woods made Dunk. Assisted by Chaundee Brown.,38,17
6:14,154,Foul on Olivier Sarr.,38,17
6:14,2429,Bryant Thomas missed Free Throw.,38,17
6:14,154,Olivier Sarr Defensive Rebound.,38,17
5:57,154,Chaundee Brown missed Three Point Jumper.,38,17
5:57,154,Chaundee Brown Offensive Rebound.,38,17
5:53,154,Chaundee Brown made Layup.,40,17
5:36,2429,Austin Ajukwa missed Jumper.,40,17
5:36,154,Chaundee Brown Defensive Rebound.,40,17
5:10,154,Brandon Childress Turnover.,40,17
5:00,2429,Jon Davis Turnover.,40,17
4:52,154,Foul on Sunday Okeke.,40,17
4:52,154,Sunday Okeke Turnover.,40,17
4:44,154,Foul on Brandon Childress.,40,17
4:44,2429,Jon Davis made Free Throw.,40,18
4:44,2429,Jon Davis made Free Throw.,40,19
4:18,154,Keyshawn Woods made Three Point Jumper. Assisted by Melo Eggleston.,43,19
4:02,2429,Jaylan McGill missed Three Point Jumper.,43,19
4:02,154,Brandon Childress Defensive Rebound.,43,19
3:53,154,Brandon Childress missed Jumper.,43,19
3:53,2429,Jailan Haslem Block.,43,19
3:52,2429,Jon Davis Defensive Rebound.,43,19
3:46,2429,Hudson Price missed Three Point Jumper.,43,19
3:46,2429,Jon Davis Offensive Rebound.,43,19
3:39,2429,Jaylan McGill Turnover.,43,19
3:39,2429,Official TV Timeout,43,19
3:24,154,Brandon Childress missed Three Point Jumper.,43,19
3:24,2429,Jon Davis Defensive Rebound.,43,19
3:17,2429,Jon Davis made Jumper.,43,21
3:17,154,Foul on Sunday Okeke.,43,21
3:17,2429,Jon Davis made Free Throw.,43,22
2:54,154,Melo Eggleston missed Three Point Jumper.,43,22
2:54,2429,Milos Supica Defensive Rebound.,43,22
2:52,154,Foul on Olivier Sarr.,43,22
2:52,2429,Milos Supica made Free Throw.,43,23
2:52,2429,Milos Supica missed Free Throw.,43,23
2:52,154,Sam Japhet-Mathias Defensive Rebound.,43,23
2:30,154,Melo Eggleston missed Jumper.,43,23
2:30,2429,Najee Garvin Defensive Rebound.,43,23
2:15,2429,Jon Davis Turnover.,43,23
2:14,154,Keyshawn Woods Steal.,43,23
2:11,154,Foul on Keyshawn Woods.,43,23
2:11,154,Keyshawn Woods Turnover.,43,23
2:00,2429,Hudson Price made Layup.,43,25
1:31,2429,Foul on Jon Davis.,43,25
1:29,154,Bryant Crawford made Three Point Jumper. Assisted by Keyshawn Woods.,46,25
1:17,2429,Jon Davis missed Jumper.,46,25
1:17,154,Keyshawn Woods Defensive Rebound.,46,25
1:02,154,Chaundee Brown Turnover.,46,25
1:01,2429,Hudson Price Steal.,46,25
0:57,2429,Hudson Price missed Jumper.,46,25
0:57,154,Chaundee Brown Block.,46,25
0:57,2429,Charlotte Offensive Rebound.,46,25
0:44,2429,Jon Davis Turnover.,46,25
0:42,154,Brandon Childress Steal.,46,25
0:37,154,Bryant Crawford missed Three Point Jumper.,46,25
0:37,2429,Najee Garvin Defensive Rebound.,46,25
0:27,154,Foul on Brandon Childress.,46,25
0:27,2429,Najee Garvin made Free Throw.,46,26
0:27,2429,Najee Garvin made Free Throw.,46,27
0:22,154,Wake Forest  Timeout,46,27
0:03,154,Mitchell Wilbekin made Three Point Jumper. Assisted by Brandon Childress.,49,27
0:00,2429,End of 1st half,49,27
19:40,154,Foul on Doral Moore.,49,27
19:32,154,Foul on Bryant Crawford.,49,27
19:20,154,Foul on Olivier Sarr.,49,27
19:20,2429,Hudson Price made Free Throw.,49,28
19:20,2429,Hudson Price missed Free Throw.,49,28
19:20,2429,Andrien White Offensive Rebound.,49,28
19:10,2429,Austin Ajukwa Turnover.,49,28
18:58,154,Chaundee Brown Turnover.,49,28
18:48,2429,Austin Ajukwa Turnover.,49,28
18:34,154,Terrence Thompson made Jumper. Assisted by Mitchell Wilbekin.,51,28
18:17,2429,Andrien White missed Jumper.,51,28
18:17,154,Bryant Crawford Defensive Rebound.,51,28
18:15,2429,Foul on Jailan Haslem.,51,28
17:52,2429,Foul on Hudson Price.,51,28
17:43,2429,Foul on Najee Garvin.,51,28
17:43,154,Bryant Crawford made Free Throw.,52,28
17:43,154,Bryant Crawford made Free Throw.,53,28
17:43,154,Bryant Crawford missed Free Throw.,53,28
17:43,2429,Najee Garvin Defensive Rebound.,53,28
17:42,154,Foul on Terrence Thompson.,53,28
17:29,2429,Jon Davis made Three Point Jumper.,53,31
17:09,154,Mitchell Wilbekin missed Three Point Jumper.,53,31
17:09,2429,Jon Davis Defensive Rebound.,53,31
17:01,2429,Jon Davis made Layup.,53,33
16:42,154,Brandon Childress missed Three Point Jumper.,53,33
16:42,154,Sunday Okeke Offensive Rebound.,53,33
16:37,154,Sunday Okeke made Layup.,55,33
16:18,154,Foul on Sunday Okeke.,55,33
16:07,2429,Najee Garvin missed Layup.,55,33
16:07,154,Melo Eggleston Defensive Rebound.,55,33
16:00,154,Brandon Childress made Layup. Assisted by Melo Eggleston.,57,33
15:55,2429,Foul on Hudson Price.,57,33
15:55,2429,Official TV Timeout,57,33
15:55,154,Brandon Childress missed Free Throw.,57,33
15:55,2429,Najee Garvin Defensive Rebound.,57,33
15:30,2429,Jon Davis missed Three Point Jumper.,57,33
15:30,154,Keyshawn Woods Defensive Rebound.,57,33
15:00,154,Keyshawn Woods missed Jumper.,57,33
15:00,154,Sunday Okeke Offensive Rebound.,57,33
14:57,154,Sunday Okeke made Layup.,59,33
14:41,2429,Ryan Murphy made Three Point Jumper. Assisted by Jon Davis.,59,36
14:25,2429,Foul on Najee Garvin.,59,36
14:25,154,Sunday Okeke missed Free Throw.,59,36
14:25,154,Wake Forest Deadball Team Rebound.,59,36
14:25,154,Sunday Okeke made Free Throw.,60,36
14:13,2429,Najee Garvin Turnover.,60,36
13:59,2429,Foul on Najee Garvin.,60,36
13:59,154,Mitchell Wilbekin missed Free Throw.,60,36
13:59,154,Wake Forest Deadball Team Rebound.,60,36
13:59,154,Mitchell Wilbekin missed Free Throw.,60,36
13:59,2429,Milos Supica Defensive Rebound.,60,36
13:42,2429,Ryan Murphy missed Three Point Jumper.,60,36
13:42,154,Sunday Okeke Defensive Rebound.,60,36
13:36,154,Sunday Okeke Turnover.,60,36
13:35,2429,Ryan Murphy Steal.,60,36
13:29,2429,Jon Davis missed Three Point Jumper.,60,36
13:29,2429,Milos Supica Offensive Rebound.,60,36
13:26,154,Foul on Mitchell Wilbekin.,60,36
13:25,2429,Ryan Murphy missed Three Point Jumper.,60,36
13:25,154,Wake Forest Defensive Rebound.,60,36
13:01,154,Terrence Thompson made Jumper. Assisted by Bryant Crawford.,62,36
12:51,2429,Ryan Murphy missed Jumper.,62,36
12:51,154,Terrence Thompson Defensive Rebound.,62,36
12:45,154,Melo Eggleston made Layup. Assisted by Bryant Crawford.,64,36
12:27,2429,Jon Davis Turnover.,64,36
12:26,154,Brandon Childress Steal.,64,36
12:23,2429,Foul on Najee Garvin.,64,36
12:23,2429,Technical Foul on Najee Garvin.,64,36
12:23,2429,Foul on Najee Garvin.,64,36
12:23,154,Brandon Childress made Free Throw.,65,36
12:23,154,Brandon Childress made Free Throw.,66,36
12:23,154,Brandon Childress missed Free Throw.,66,36
12:23,154,Wake Forest Deadball Team Rebound.,66,36
12:23,154,Brandon Childress made Free Throw.,67,36
12:05,2429,Jaylan McGill missed Three Point Jumper.,67,36
12:05,154,Brandon Childress Defensive Rebound.,67,36
11:45,2429,Official TV Timeout,67,36
11:35,154,Donovan Mitchell made Jumper.,69,36
11:21,154,Foul on Terrence Thompson.,69,36
11:21,2429,Jaylan McGill made Free Throw.,69,37
11:21,2429,Jaylan McGill made Free Throw.,69,38
10:58,154,Brandon Childress missed Three Point Jumper.,69,38
10:58,2429,Jaylan McGill Defensive Rebound.,69,38
10:42,2429,Austin Ajukwa missed Three Point Jumper.,69,38
10:42,154,Doral Moore Defensive Rebound.,69,38
10:23,2429,Foul on Milos Supica.,69,38
10:23,154,Doral Moore missed Free Throw.,69,38
10:23,2429,Andrien White Defensive Rebound.,69,38
10:23,154,Foul on Chaundee Brown.,69,38
10:23,2429,Milos Supica missed Free Throw.,69,38
10:23,2429,Austin Ajukwa Offensive Rebound.,69,38
10:20,154,Foul on Doral Moore.,69,38
10:20,2429,Austin Ajukwa made Free Throw.,69,39
10:20,2429,Austin Ajukwa made Free Throw.,69,40
10:08,154,Chaundee Brown missed Jumper.,69,40
10:08,2429,Milos Supica Defensive Rebound.,69,40
10:01,2429,Austin Ajukwa made Dunk. Assisted by Milos Supica.,69,42
9:44,154,Keyshawn Woods made Jumper.,71,42
9:17,2429,Andrien White Turnover.,71,42
9:14,154,Bryant Crawford Steal.,71,42
9:10,2429,Foul on Jailan Haslem.,71,42
9:10,154,Keyshawn Woods missed Free Throw.,71,42
9:10,154,Wake Forest Deadball Team Rebound.,71,42
9:10,154,Keyshawn Woods made Free Throw.,72,42
8:52,2429,Ryan Murphy Turnover.,72,42
8:50,154,Olivier Sarr Steal.,72,42
8:34,154,Olivier Sarr missed Three Point Jumper.,72,42
8:34,154,Doral Moore Offensive Rebound.,72,42
8:30,154,Doral Moore made Layup.,74,42
8:30,2429,Foul on Bryant Thomas.,74,42
8:30,154,Doral Moore missed Free Throw.,74,42
8:30,154,Melo Eggleston Offensive Rebound.,74,42
8:26,154,Melo Eggleston missed Jumper.,74,42
8:26,2429,Milos Supica Defensive Rebound.,74,42
8:17,2429,Austin Ajukwa missed Three Point Jumper.,74,42
8:17,154,Doral Moore Defensive Rebound.,74,42
7:47,154,Mitchell Wilbekin missed Jumper.,74,42
7:47,2429,Austin Ajukwa Defensive Rebound.,74,42
7:42,154,Foul on Keyshawn Woods.,74,42
7:42,2429,Official TV Timeout,74,42
7:42,2429,Jaylan McGill made Free Throw.,74,43
7:42,2429,Jaylan McGill made Free Throw.,74,44
7:25,154,Olivier Sarr Turnover.,74,44
7:04,2429,Ryan Murphy missed Three Point Jumper.,74,44
7:04,154,Doral Moore Defensive Rebound.,74,44
6:43,154,Keyshawn Woods missed Three Point Jumper.,74,44
6:43,2429,Austin Ajukwa Defensive Rebound.,74,44
6:33,2429,Jaylan McGill made Three Point Jumper. Assisted by Austin Ajukwa.,74,47
6:11,154,Keyshawn Woods Turnover.,74,47
6:02,2429,Jaylan McGill missed Jumper.,74,47
6:02,154,Olivier Sarr Defensive Rebound.,74,47
5:54,154,Brandon Childress missed Three Point Jumper.,74,47
5:54,2429,Andrien White Defensive Rebound.,74,47
5:40,2429,Austin Ajukwa Turnover.,74,47
5:38,154,Brandon Childress Steal.,74,47
5:24,154,Olivier Sarr missed Three Point Jumper.,74,47
5:24,2429,Austin Ajukwa Defensive Rebound.,74,47
5:08,2429,Andrien White missed Three Point Jumper.,74,47
5:08,154,Brandon Childress Defensive Rebound.,74,47
4:44,2429,Foul on Austin Ajukwa.,74,47
4:44,154,Keyshawn Woods made Free Throw.,75,47
4:44,154,Keyshawn Woods made Free Throw.,76,47
4:23,2429,Andrien White missed Jumper.,76,47
4:23,154,Doral Moore Block.,76,47
4:21,154,Doral Moore Offensive Rebound.,76,47
4:16,154,Keyshawn Woods Turnover.,76,47
4:15,2429,Andrien White Steal.,76,47
4:09,2429,Jaylan McGill missed Three Point Jumper.,76,47
4:09,2429,Jailan Haslem Offensive Rebound.,76,47
4:07,154,Foul on Doral Moore.,76,47
4:07,2429,Jailan Haslem made Free Throw.,76,48
4:07,2429,Jailan Haslem made Free Throw.,76,49
3:49,154,Keyshawn Woods Turnover.,76,49
3:49,2429,Andrien White Steal.,76,49
3:49,2429,Official TV Timeout,76,49
3:36,2429,Jailan Haslem Turnover.,76,49
3:35,154,Bryant Crawford Steal.,76,49
3:20,154,Keyshawn Woods missed Three Point Jumper.,76,49
3:20,2429,Bryant Thomas Defensive Rebound.,76,49
3:04,2429,Jaylan McGill Turnover.,76,49
3:02,154,Olivier Sarr Steal.,76,49
2:46,154,Keyshawn Woods missed Jumper.,76,49
2:46,2429,Jailan Haslem Block.,76,49
2:44,154,Sunday Okeke Offensive Rebound.,76,49
2:42,154,Sunday Okeke Turnover.,76,49
2:26,154,Foul on Sunday Okeke.,76,49
2:26,2429,Milos Supica missed Free Throw.,76,49
2:26,2429,Charlotte Deadball Team Rebound.,76,49
2:26,2429,Milos Supica made Free Throw.,76,50
2:09,154,Melo Eggleston made Dunk.,78,50
2:09,2429,Foul on Andrien White.,78,50
2:09,154,Melo Eggleston missed Free Throw.,78,50
2:09,2429,Bryant Thomas Defensive Rebound.,78,50
2:03,154,Foul on Donovan Mitchell.,78,50
2:03,2429,Andrien White made Free Throw.,78,51
2:03,2429,Andrien White made Free Throw.,78,52
1:37,154,Anthony Bilas missed Layup.,78,52
1:37,154,Sam Japhet-Mathias Offensive Rebound.,78,52
1:34,154,Britton Anderson missed Three Point Jumper.,78,52
1:34,154,Sam Japhet-Mathias Offensive Rebound.,78,52
1:29,154,Wake Forest  Turnover.,78,52
1:18,2429,Ryan Murphy made Three Point Jumper. Assisted by Jaylan McGill.,78,55
1:02,154,Sam Japhet-Mathias made Layup. Assisted by Troy Rike.,80,55
0:46,2429,Milos Supica made Layup. Assisted by Jaylan McGill.,80,57
0:38,154,Troy Rike missed Three Point Jumper.,80,57
0:38,2429,Andrien White Defensive Rebound.,80,57
0:29,2429,Bryant Thomas missed Jumper.,80,57
0:29,154,Anthony Bilas Defensive Rebound.,80,57
0:02,154,Wake Forest  Turnover.,80,57
0:00,2429,End of Game,80,57
