UAB,2653,Troy,5
0:10,5,Chris Cokley Offensive Rebound.,39,37
0:06,5,Chris Cokley made Two Point Tip Shot.,41,37
0:00,2653,Darian Adams made Three Point Jumper.,41,40
0:00,2653,End of 1st half,41,40
19:45,2653,Wesley Person made Jumper.,41,42
19:25,5,Zack Bryant missed Three Point Jumper.,41,42
19:25,2653,Juan Davis Jr. Defensive Rebound.,41,42
19:15,2653,Shawn Hopkins made Three Point Jumper. Assisted by Wesley Person.,41,45
18:54,2653,Foul on Juan Davis Jr..,41,45
18:52,5,Nick Norton missed Three Point Jumper.,41,45
18:52,2653,Wesley Person Defensive Rebound.,41,45
18:26,2653,Alex Hicks made Jumper. Assisted by Kevin Baker.,41,47
18:18,5,UAB  Timeout,41,47
18:13,5,Zack Bryant made Layup.,43,47
17:59,5,Foul on Zack Bryant.,43,47
17:50,2653,Alex Hicks made Dunk. Assisted by Kevin Baker.,43,49
17:37,5,Chris Cokley made Layup. Assisted by Zack Bryant.,45,49
17:15,5,Foul on Nate Darling.,45,49
17:15,2653,Alex Hicks made Free Throw.,45,50
17:15,2653,Alex Hicks made Free Throw.,45,51
17:03,5,Chris Cokley made Layup.,47,51
16:49,2653,Alex Hicks made Layup.,47,53
16:31,5,Chris Cokley missed Jumper.,47,53
16:31,2653,Alex Hicks Defensive Rebound.,47,53
16:12,2653,Wesley Person missed Three Point Jumper.,47,53
16:12,5,Chris Cokley Defensive Rebound.,47,53
16:02,2653,Foul on Kevin Baker.,47,53
15:58,5,Lewis Sullivan made Layup.,49,53
15:27,2653,Kevin Baker missed Jumper.,49,53
15:27,2653,Troy Offensive Rebound.,49,53
15:23,2653,Official TV Timeout,49,53
15:03,2653,Alex Hicks made Three Point Jumper. Assisted by Kevin Baker.,49,56
14:40,5,William Lee missed Three Point Jumper.,49,56
14:40,5,Nick Norton Offensive Rebound.,49,56
14:34,5,Nick Norton made Jumper.,51,56
14:06,5,Foul on Lewis Sullivan.,51,56
14:06,2653,Alex Hicks made Free Throw.,51,57
14:06,2653,Alex Hicks made Free Throw.,51,58
13:50,5,William Lee made Jumper.,53,58
13:32,2653,Javan Johnson missed Layup.,53,58
13:32,5,Lewis Sullivan Block.,53,58
13:31,2653,Alex Hicks Offensive Rebound.,53,58
13:29,2653,Alex Hicks made Jumper.,53,60
13:10,5,William Lee missed Layup.,53,60
13:10,2653,Javan Johnson Block.,53,60
13:09,5,William Lee Offensive Rebound.,53,60
13:08,2653,Foul on Alex Hicks.,53,60
13:08,5,William Lee made Free Throw.,54,60
13:08,5,William Lee missed Free Throw.,54,60
13:08,5,Nick Norton Offensive Rebound.,54,60
13:02,5,Nick Norton made Three Point Jumper.,57,60
12:47,5,Foul on Zack Bryant.,57,60
12:33,2653,Javan Johnson missed Three Point Jumper.,57,60
12:33,5,Lewis Sullivan Defensive Rebound.,57,60
12:06,5,Nick Norton Turnover.,57,60
12:05,2653,Kevin Baker Steal.,57,60
11:50,2653,Darian Adams made Layup.,57,62
11:27,5,Nick Norton missed Three Point Jumper.,57,62
11:27,5,William Lee Offensive Rebound.,57,62
11:22,5,William Lee made Layup.,59,62
10:54,5,Foul on William Lee.,59,62
10:54,2653,Official TV Timeout,59,62
10:54,2653,Javan Johnson missed Free Throw.,59,62
10:54,2653,Troy Deadball Team Rebound.,59,62
10:54,2653,Javan Johnson made Free Throw.,59,63
10:42,5,Chris Cokley missed Layup.,59,63
10:42,5,Chris Cokley Offensive Rebound.,59,63
10:39,5,Chris Cokley missed Layup.,59,63
10:39,2653,Darian Adams Block.,59,63
10:36,5,Chris Cokley Offensive Rebound.,59,63
10:33,5,Nate Darling made Three Point Jumper. Assisted by Jalen Perry.,62,63
10:16,2653,Javan Johnson Turnover.,62,63
9:57,5,Zack Bryant missed Jumper.,62,63
9:57,2653,Wesley Person Defensive Rebound.,62,63
9:56,2653,Foul on Juan Davis Jr..,62,63
9:46,2653,Foul on Wesley Person.,62,63
9:46,5,Lewis Sullivan made Free Throw.,63,63
9:46,5,Lewis Sullivan made Free Throw.,64,63
9:34,2653,Wesley Person missed Three Point Jumper.,64,63
9:34,5,Jalen Perry Defensive Rebound.,64,63
9:19,5,Zack Bryant made Three Point Jumper.,67,63
8:58,5,Foul on Jalen Perry.,67,63
8:58,2653,Wesley Person made Free Throw.,67,64
8:58,2653,Wesley Person made Free Throw.,67,65
8:58,2653,Wesley Person made Free Throw.,67,66
8:43,5,Zack Bryant made Layup.,69,66
8:24,5,Foul on Chris Cokley.,69,66
8:24,2653,Alex Hicks missed Free Throw.,69,66
8:24,5,Chris Cokley Defensive Rebound.,69,66
8:08,5,Lewis Sullivan made Layup.,71,66
8:00,2653,Troy  Timeout,71,66
8:00,2653,Official TV Timeout,71,66
7:51,2653,Alex Hicks Turnover.,71,66
7:51,2653,Foul on Alex Hicks.,71,66
7:37,5,Chris Cokley missed Jumper.,71,66
7:37,2653,Troy Defensive Rebound.,71,66
7:15,2653,Wesley Person made Jumper.,71,68
6:57,5,Chris Cokley missed Layup.,71,68
6:57,5,UAB Offensive Rebound.,71,68
6:50,5,Jalen Perry missed Layup.,71,68
6:50,2653,Alex Hicks Block.,71,68
6:50,5,UAB Offensive Rebound.,71,68
6:44,5,Chris Cokley missed Layup.,71,68
6:44,5,Chris Cokley Offensive Rebound.,71,68
6:41,5,Chris Cokley made Jumper.,73,68
6:19,2653,Darian Adams missed Three Point Jumper.,73,68
6:19,5,Jalen Perry Defensive Rebound.,73,68
6:02,2653,Foul on Kevin Baker.,73,68
6:02,5,Zack Bryant made Free Throw.,74,68
6:02,5,Zack Bryant missed Free Throw.,74,68
6:02,2653,Alex Hicks Defensive Rebound.,74,68
5:45,2653,Wesley Person Turnover.,74,68
5:20,5,Zack Bryant missed Three Point Jumper.,74,68
5:20,2653,Alex Hicks Defensive Rebound.,74,68
5:09,5,Foul on Jalen Perry.,74,68
5:09,2653,Kevin Baker missed Free Throw.,74,68
5:09,2653,Troy Deadball Team Rebound.,74,68
5:09,2653,Kevin Baker made Free Throw.,74,69
4:55,5,Lewis Sullivan made Layup.,76,69
4:55,2653,Foul on Alex Hicks.,76,69
4:55,5,Lewis Sullivan made Free Throw.,77,69
4:35,2653,Wesley Person missed Three Point Jumper.,77,69
4:35,5,Jalen Perry Defensive Rebound.,77,69
4:26,5,Jalen Perry missed Layup.,77,69
4:26,5,Lewis Sullivan Offensive Rebound.,77,69
4:22,5,Lewis Sullivan made Two Point Tip Shot.,79,69
4:14,2653,Troy  Timeout,79,69
4:14,2653,Official TV Timeout,79,69
4:00,2653,Juan Davis Jr. made Three Point Jumper. Assisted by B.J. Miller.,79,72
3:43,5,William Lee missed Layup.,79,72
3:43,2653,Alex Hicks Defensive Rebound.,79,72
3:21,5,Foul on Zack Bryant.,79,72
3:21,2653,Wesley Person made Free Throw.,79,73
3:21,2653,Wesley Person made Free Throw.,79,74
2:58,5,Lewis Sullivan made Layup.,81,74
2:37,2653,Kevin Baker missed Three Point Jumper.,81,74
2:37,5,Nate Darling Defensive Rebound.,81,74
2:11,5,William Lee missed Jumper.,81,74
2:11,5,Lewis Sullivan Offensive Rebound.,81,74
2:05,5,Lewis Sullivan made Layup.,83,74
1:54,5,Foul on Lewis Sullivan.,83,74
1:54,5,UAB  Timeout,83,74
1:54,2653,Kevin Baker made Free Throw.,83,75
1:54,2653,Kevin Baker made Free Throw.,83,76
1:46,2653,Foul on B.J. Miller.,83,76
1:46,5,Lewis Sullivan missed Free Throw.,83,76
1:46,5,UAB Deadball Team Rebound.,83,76
1:46,5,Lewis Sullivan made Free Throw.,84,76
1:35,2653,Kevin Baker missed Three Point Jumper.,84,76
1:35,5,Nate Darling Defensive Rebound.,84,76
1:06,5,Zack Bryant made Three Point Jumper. Assisted by Nate Darling.,87,76
0:44,2653,B.J. Miller missed Three Point Jumper.,87,76
0:44,2653,Alex Hicks Offensive Rebound.,87,76
0:39,2653,Alex Hicks made Layup.,87,78
0:38,5,UAB  Timeout,87,78
0:37,2653,Foul on Kevin Baker.,87,78
0:37,5,Zack Bryant made Free Throw.,88,78
0:37,5,Zack Bryant made Free Throw.,89,78
0:28,2653,Wesley Person missed Three Point Jumper.,89,78
0:28,5,Lewis Sullivan Defensive Rebound.,89,78
0:26,2653,Foul on B.J. Miller.,89,78
0:26,5,Lewis Sullivan missed Free Throw.,89,78
0:26,5,UAB Deadball Team Rebound.,89,78
0:26,5,Lewis Sullivan made Free Throw.,90,78
0:18,2653,B.J. Miller Turnover.,90,78
0:17,5,Nick Norton Steal.,90,78
0:00,2653,End of Game,90,78
