Texas A&amp;M,12,Arizona,245
6:24,12,Keanu Pinder missed Jumper.,20,20
6:24,245,Duane Wilson Block.,20,20
6:24,12,Arizona Offensive Rebound.,20,20
6:15,12,Dylan Smith made Three Point Jumper. Assisted by Deandre Ayton.,20,23
5:47,245,Duane Wilson missed Three Point Jumper.,20,23
5:47,12,Deandre Ayton Defensive Rebound.,20,23
5:27,12,Deandre Ayton made Dunk. Assisted by Alex Barcello.,20,25
5:05,245,JJ Caldwell Turnover.,20,25
4:49,12,Allonzo Trier Turnover.,20,25
4:49,245,JJ Caldwell Steal.,20,25
4:47,12,Foul on Allonzo Trier.,20,25
4:22,245,Tyler Davis made Layup.,22,25
4:01,12,Dylan Smith Turnover.,22,25
4:01,245,Admon Gilder Steal.,22,25
3:57,12,Foul on Dylan Smith.,22,25
3:57,12,Official TV Timeout,22,25
3:44,12,Foul on Dusan Ristic.,22,25
3:26,245,Tyler Davis Turnover.,22,25
3:20,12,Dylan Smith Turnover.,22,25
3:20,245,Robert Williams Steal.,22,25
3:12,245,JJ Caldwell made Layup.,24,25
3:02,12,Dylan Smith made Three Point Jumper. Assisted by Alex Barcello.,24,28
2:40,245,Tyler Davis made Layup. Assisted by Robert Williams.,26,28
2:16,12,Dylan Smith missed Jumper.,26,28
2:16,245,Robert Williams Block.,26,28
2:16,12,Alex Barcello Offensive Rebound.,26,28
2:08,12,Alex Barcello missed Three Point Jumper.,26,28
2:08,245,Texas A&M Defensive Rebound.,26,28
2:00,245,Admon Gilder missed Three Point Jumper.,26,28
2:00,12,Parker Jackson-Cartwright Defensive Rebound.,26,28
1:41,12,Alex Barcello missed Three Point Jumper.,26,28
1:41,245,Robert Williams Defensive Rebound.,26,28
1:32,245,Admon Gilder missed Jumper.,26,28
1:32,12,Keanu Pinder Defensive Rebound.,26,28
1:27,245,Foul on Savion Flagg.,26,28
1:07,245,Foul on Tyler Davis.,26,28
1:07,12,Deandre Ayton missed Free Throw.,26,28
1:07,12,Arizona Deadball Team Rebound.,26,28
1:07,12,Deandre Ayton made Free Throw.,26,29
0:53,12,Foul on Keanu Pinder.,26,29
0:53,245,Tyler Davis made Free Throw.,27,29
0:53,245,Tyler Davis made Free Throw.,28,29
0:29,12,Parker Jackson-Cartwright missed Jumper.,28,29
0:29,245,Robert Williams Block.,28,29
0:29,245,Duane Wilson Defensive Rebound.,28,29
0:20,245,Duane Wilson made Three Point Jumper. Assisted by JJ Caldwell.,31,29
0:03,12,Deandre Ayton missed Three Point Jumper.,31,29
0:03,245,Texas A&M Defensive Rebound.,31,29
0:00,12,End of 1st half,31,29
20:00,12,Jump Ball won by Arizona,31,29
19:51,12,Brandon Randolph missed Three Point Jumper.,31,29
19:51,245,Robert Williams Defensive Rebound.,31,29
19:32,245,Robert Williams missed Jumper.,31,29
19:32,12,Deandre Ayton Defensive Rebound.,31,29
19:07,12,Allonzo Trier Turnover.,31,29
19:07,245,Tyler Davis Steal.,31,29
18:50,245,DJ Hogg made Jumper.,33,29
18:31,12,Deandre Ayton made Layup.,33,31
18:15,245,Robert Williams Turnover.,33,31
18:15,12,Dusan Ristic Steal.,33,31
18:05,245,Foul on Duane Wilson.,33,31
17:49,12,Brandon Randolph made Layup.,33,33
17:24,245,Duane Wilson missed Jumper.,33,33
17:24,12,Allonzo Trier Defensive Rebound.,33,33
17:14,12,Allonzo Trier made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,33,36
16:37,245,Tyler Davis made Layup.,35,36
16:21,12,Dusan Ristic made Layup. Assisted by Deandre Ayton.,35,38
16:03,245,Robert Williams made Layup. Assisted by Duane Wilson.,37,38
15:33,245,Foul on Admon Gilder.,37,38
15:33,12,Official TV Timeout,37,38
15:33,12,Allonzo Trier made Free Throw.,37,39
15:33,12,Allonzo Trier made Free Throw.,37,40
15:08,12,Foul on Deandre Ayton.,37,40
15:08,245,Admon Gilder missed Free Throw.,37,40
15:08,245,Texas A&M Deadball Team Rebound.,37,40
15:08,245,Admon Gilder made Free Throw.,38,40
14:46,12,Alex Barcello missed Three Point Jumper.,38,40
14:46,245,DJ Hogg Defensive Rebound.,38,40
14:21,245,Foul on Tyler Davis.,38,40
14:21,245,Tyler Davis Turnover.,38,40
14:11,12,Allonzo Trier missed Three Point Jumper.,38,40
14:11,245,DJ Hogg Defensive Rebound.,38,40
13:44,245,Tyler Davis made Three Point Jumper. Assisted by DJ Hogg.,41,40
13:26,12,Allonzo Trier made Layup.,41,42
12:58,245,Tyler Davis missed Three Point Jumper.,41,42
12:58,12,Dylan Smith Defensive Rebound.,41,42
12:38,245,Foul on Tyler Davis.,41,42
12:38,12,Deandre Ayton made Free Throw.,41,43
12:38,12,Deandre Ayton made Free Throw.,41,44
12:15,245,Duane Wilson Turnover.,41,44
12:15,12,Allonzo Trier Steal.,41,44
12:05,245,Foul on DJ Hogg.,41,44
12:05,12,Allonzo Trier missed Three Point Jumper.,41,44
12:05,245,Admon Gilder Defensive Rebound.,41,44
11:49,245,TJ Starks missed Jumper.,41,44
11:49,12,Dusan Ristic Defensive Rebound.,41,44
11:37,12,Ira Lee missed Jumper.,41,44
11:37,245,Robert Williams Defensive Rebound.,41,44
11:13,245,Tonny Trocha-Morelos missed Jumper.,41,44
11:13,12,Ira Lee Defensive Rebound.,41,44
10:44,245,Foul on Tonny Trocha-Morelos.,41,44
10:44,12,Official TV Timeout,41,44
10:44,12,Dusan Ristic missed Free Throw.,41,44
10:44,12,Arizona Deadball Team Rebound.,41,44
10:44,12,Dusan Ristic made Free Throw.,41,45
10:32,12,Foul on Ira Lee.,41,45
10:20,245,Savion Flagg made Layup.,43,45
10:04,12,Parker Jackson-Cartwright missed Three Point Jumper.,43,45
10:04,245,Admon Gilder Defensive Rebound.,43,45
9:49,245,Robert Williams made Layup. Assisted by JJ Caldwell.,45,45
9:22,12,Deandre Ayton missed Three Point Jumper.,45,45
9:22,245,Robert Williams Defensive Rebound.,45,45
9:03,245,Tonny Trocha-Morelos missed Three Point Jumper.,45,45
9:03,12,Brandon Randolph Defensive Rebound.,45,45
8:51,245,Foul on JJ Caldwell.,45,45
8:51,12,Brandon Randolph made Free Throw.,45,46
8:51,12,Brandon Randolph made Free Throw.,45,47
8:48,12,Dylan Smith Turnover.,45,47
8:48,245,JJ Caldwell Steal.,45,47
8:39,245,JJ Caldwell Turnover.,45,47
8:39,12,Parker Jackson-Cartwright Steal.,45,47
8:26,12,Allonzo Trier Turnover.,45,47
8:26,245,Robert Williams Steal.,45,47
8:19,245,Jump Ball won by Texas A&M,45,47
8:17,245,Savion Flagg made Layup. Assisted by JJ Caldwell.,47,47
8:08,12,Arizona  Timeout,47,47
8:08,12,Official TV Timeout,47,47
7:50,12,Parker Jackson-Cartwright missed Three Point Jumper.,47,47
7:50,245,Robert Williams Defensive Rebound.,47,47
7:37,245,DJ Hogg made Jumper.,49,47
7:10,245,Foul on DJ Hogg.,49,47
7:10,12,Official TV Timeout,49,47
7:10,12,Dusan Ristic made Free Throw.,49,48
7:10,12,Dusan Ristic made Free Throw.,49,49
7:00,12,Foul on Dylan Smith.,49,49
6:43,245,Admon Gilder made Layup.,51,49
6:43,12,Foul on Dylan Smith.,51,49
6:43,245,Admon Gilder missed Free Throw.,51,49
6:43,12,Allonzo Trier Defensive Rebound.,51,49
6:31,12,Allonzo Trier missed Three Point Jumper.,51,49
6:31,12,Deandre Ayton Offensive Rebound.,51,49
6:14,12,Brandon Randolph made Three Point Jumper. Assisted by Allonzo Trier.,51,52
5:56,245,Savion Flagg missed Layup.,51,52
5:56,245,Robert Williams Offensive Rebound.,51,52
5:52,245,Robert Williams missed Layup.,51,52
5:52,245,Robert Williams Offensive Rebound.,51,52
5:33,245,Tyler Davis made Layup.,53,52
5:17,245,Foul on JJ Caldwell.,53,52
5:17,12,Parker Jackson-Cartwright made Free Throw.,53,53
5:17,12,Parker Jackson-Cartwright made Free Throw.,53,54
4:58,245,Tyler Davis made Layup.,55,54
4:26,12,Deandre Ayton missed Jumper.,55,54
4:26,245,DJ Hogg Defensive Rebound.,55,54
4:03,12,Foul on Dusan Ristic.,55,54
3:47,245,Tonny Trocha-Morelos Turnover.,55,54
3:47,12,Official TV Timeout,55,54
3:37,245,Foul on Tonny Trocha-Morelos.,55,54
3:37,12,Deandre Ayton made Free Throw.,55,55
3:37,12,Deandre Ayton made Free Throw.,55,56
3:26,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Duane Wilson.,58,56
2:59,12,Dusan Ristic made Jumper. Assisted by Deandre Ayton.,58,58
2:31,245,Tyler Davis missed Jumper.,58,58
2:31,12,Deandre Ayton Defensive Rebound.,58,58
1:58,12,Parker Jackson-Cartwright made Three Point Jumper. Assisted by Allonzo Trier.,58,61
1:46,245,Texas A&M  Timeout,58,61
1:32,12,Foul on Deandre Ayton.,58,61
1:22,245,Duane Wilson missed Jumper.,58,61
1:22,12,Ira Lee Defensive Rebound.,58,61
0:51,12,Deandre Ayton missed Jumper.,58,61
0:51,245,Texas A&M Defensive Rebound.,58,61
0:30,12,Foul on Allonzo Trier.,58,61
0:30,245,DJ Hogg made Free Throw.,59,61
0:30,245,DJ Hogg made Free Throw.,60,61
0:27,245,Foul on Savion Flagg.,60,61
0:27,12,Brandon Randolph made Free Throw.,60,62
0:27,12,Brandon Randolph made Free Throw.,60,63
0:21,245,Tyler Davis made Jumper.,62,63
0:17,245,Texas A&M  Timeout,62,63
0:17,12,Arizona  Timeout,62,63
0:14,245,Foul on Tonny Trocha-Morelos.,62,63
0:14,12,Brandon Randolph missed Free Throw.,62,63
0:14,12,Arizona Deadball Team Rebound.,62,63
0:14,12,Brandon Randolph made Free Throw.,62,64
0:07,245,Tyler Davis Turnover.,62,64
0:06,245,Foul on Duane Wilson.,62,64
0:06,12,Brandon Randolph missed Free Throw.,62,64
0:06,12,Arizona Deadball Team Rebound.,62,64
0:06,12,Brandon Randolph made Free Throw.,62,65
0:02,12,Foul on Deandre Ayton.,62,65
0:02,245,Duane Wilson missed Free Throw.,62,65
0:02,245,Texas A&M Deadball Team Rebound.,62,65
0:02,245,Duane Wilson made Free Throw.,63,65
0:02,245,Texas A&M  Timeout,63,65
0:02,245,Duane Wilson made Free Throw.,64,65
0:02,245,Foul on Duane Wilson.,64,65
0:02,12,Dylan Smith made Free Throw.,64,66
0:02,12,Dylan Smith made Free Throw.,64,67
0:01,245,Robert Williams missed Three Point Jumper.,64,67
0:01,12,Arizona Defensive Rebound.,64,67
0:00,12,End of Game,64,67
