Eastern Kentucky,204,Oregon State,2198
13:48,204,Tres Tinkle Defensive Rebound.,9,14
13:37,2198,Foul on Dedric Boyd.,9,14
13:32,204,Stephen Thompson Jr. made Jumper.,9,16
13:11,2198,Peyton Broughton Turnover.,9,16
13:09,204,Gligorije Rakocevic Steal.,9,16
12:56,2198,Foul on Asante Gist.,9,16
12:53,204,Drew Eubanks missed Jumper.,9,16
12:53,2198,Jackson Davis Defensive Rebound.,9,16
12:45,2198,Jackson Davis missed Layup.,9,16
12:45,204,Tres Tinkle Defensive Rebound.,9,16
12:37,204,Gligorije Rakocevic made Dunk. Assisted by Tres Tinkle.,9,18
12:14,2198,Dujuanta Weaver missed Three Point Jumper.,9,18
12:14,2198,Nick Mayo Offensive Rebound.,9,18
12:07,2198,A.J. Youngman made Three Point Jumper. Assisted by Dujuanta Weaver.,12,18
11:42,204,Drew Eubanks Turnover.,12,18
11:41,2198,A.J. Youngman Steal.,12,18
11:28,204,Foul on Drew Eubanks.,12,18
11:28,204,Official TV Timeout,12,18
11:28,2198,Jackson Davis missed Free Throw.,12,18
11:28,2198,Eastern Kentucky Deadball Team Rebound.,12,18
11:28,2198,Jackson Davis made Free Throw.,13,18
11:10,204,Ethan Thompson missed Three Point Jumper.,13,18
11:10,2198,Dujuanta Weaver Defensive Rebound.,13,18
10:48,2198,Lachlan Anderson Turnover.,13,18
10:47,204,Drew Eubanks Steal.,13,18
10:37,2198,Foul on Lachlan Anderson.,13,18
10:25,204,Gligorije Rakocevic missed Jumper.,13,18
10:25,204,Gligorije Rakocevic Offensive Rebound.,13,18
10:22,204,Gligorije Rakocevic missed Layup.,13,18
10:22,204,Gligorije Rakocevic Offensive Rebound.,13,18
10:21,2198,Foul on A.J. Youngman.,13,18
10:21,204,Gligorije Rakocevic missed Free Throw.,13,18
10:21,204,Oregon State Deadball Team Rebound.,13,18
10:21,204,Gligorije Rakocevic missed Free Throw.,13,18
10:21,2198,Nick Mayo Defensive Rebound.,13,18
10:06,2198,Nick Mayo made Jumper.,15,18
9:45,204,Gligorije Rakocevic made Layup. Assisted by Drew Eubanks.,15,20
9:26,2198,A.J. Youngman missed Three Point Jumper.,15,20
9:26,2198,Nick Mayo Offensive Rebound.,15,20
9:22,2198,Nick Mayo missed Layup.,15,20
9:22,204,Alfred Hollins Block.,15,20
9:20,204,Kendal Manuel Defensive Rebound.,15,20
9:06,204,Drew Eubanks Turnover.,15,20
9:06,2198,Nick Mayo Steal.,15,20
8:50,2198,A.J. Youngman made Three Point Jumper. Assisted by Asante Gist.,18,20
8:18,204,Foul on Gligorije Rakocevic.,18,20
8:18,204,Gligorije Rakocevic Turnover.,18,20
8:01,2198,Nick Mayo made Jumper. Assisted by Asante Gist.,20,20
7:42,204,Kendal Manuel Turnover.,20,20
7:41,2198,Jackson Davis Steal.,20,20
7:38,2198,Jackson Davis made Layup.,22,20
7:24,2198,Foul on A.J. Youngman.,22,20
7:24,204,Official TV Timeout,22,20
7:24,204,Alfred Hollins missed Free Throw.,22,20
7:24,2198,Jackson Davis Defensive Rebound.,22,20
7:04,2198,Nick Mayo made Layup. Assisted by Jackson Davis.,24,20
6:38,204,Tres Tinkle missed Three Point Jumper.,24,20
6:38,2198,Nick Mayo Defensive Rebound.,24,20
6:20,2198,Asante Gist missed Layup.,24,20
6:20,204,Ronnie Stacy Defensive Rebound.,24,20
6:13,2198,Foul on Peyton Broughton.,24,20
6:13,204,Stephen Thompson Jr. made Free Throw.,24,21
6:13,204,Stephen Thompson Jr. made Free Throw.,24,22
5:45,2198,Asante Gist missed Jumper.,24,22
5:45,204,Zach Reichle Defensive Rebound.,24,22
5:29,204,Drew Eubanks made Dunk. Assisted by Ronnie Stacy.,24,24
4:53,2198,Nick Mayo made Layup.,26,24
4:28,204,Stephen Thompson Jr. missed Jumper.,26,24
4:28,2198,Jackson Davis Defensive Rebound.,26,24
4:18,2198,Jackson Davis missed Three Point Jumper.,26,24
4:18,204,Ronnie Stacy Defensive Rebound.,26,24
4:02,204,Zach Reichle made Three Point Jumper. Assisted by Stephen Thompson Jr..,26,27
3:27,2198,Zach Charles missed Layup.,26,27
3:27,204,Stephen Thompson Jr. Defensive Rebound.,26,27
3:20,204,Zach Reichle missed Layup.,26,27
3:20,204,Tres Tinkle Offensive Rebound.,26,27
3:15,204,Tres Tinkle made Two Point Tip Shot.,26,29
2:59,2198,Jackson Davis Turnover.,26,29
2:58,204,Zach Reichle Steal.,26,29
2:55,204,Stephen Thompson Jr. made Layup. Assisted by Tres Tinkle.,26,31
2:53,2198,Eastern Kentucky  Timeout,26,31
2:39,204,Foul on Ronnie Stacy.,26,31
2:27,2198,A.J. Youngman missed Three Point Jumper.,26,31
2:27,204,Ronnie Stacy Defensive Rebound.,26,31
2:09,204,Foul on Drew Eubanks.,26,31
2:09,204,Drew Eubanks Turnover.,26,31
1:56,2198,Asante Gist made Three Point Jumper. Assisted by Nick Mayo.,29,31
1:23,204,Foul on Ronnie Stacy.,29,31
1:23,204,Ronnie Stacy Turnover.,29,31
1:05,2198,Asante Gist made Three Point Jumper. Assisted by Peyton Broughton.,32,31
1:00,204,Oregon State  Timeout,32,31
0:40,204,Tres Tinkle missed Layup.,32,31
0:40,2198,Zach Charles Block.,32,31
0:38,2198,Asante Gist Defensive Rebound.,32,31
0:36,2198,Asante Gist made Three Point Jumper.,35,31
0:05,204,Tres Tinkle missed Three Point Jumper.,35,31
0:05,2198,Nick Mayo Defensive Rebound.,35,31
0:00,2198,Nick Mayo missed Three Point Jumper.,35,31
0:00,204,Oregon State Defensive Rebound.,35,31
0:00,204,End of 1st half,35,31
19:34,204,Stephen Thompson Jr. missed Three Point Jumper.,35,31
19:34,2198,Eastern Kentucky Defensive Rebound.,35,31
19:31,204,Foul on Drew Eubanks.,35,31
19:08,2198,Nick Mayo made Jumper.,37,31
18:49,204,Tres Tinkle made Layup.,37,33
18:26,2198,Zach Charles missed Jumper.,37,33
18:26,204,Ethan Thompson Defensive Rebound.,37,33
18:17,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Ethan Thompson.,37,36
17:58,2198,Foul on Nick Mayo.,37,36
17:58,2198,Nick Mayo Turnover.,37,36
17:36,2198,Foul on Asante Gist.,37,36
17:19,204,Tres Tinkle missed Three Point Jumper.,37,36
17:19,204,Gligorije Rakocevic Offensive Rebound.,37,36
17:16,2198,Foul on Dedric Boyd.,37,36
16:59,204,Tres Tinkle missed Jumper.,37,36
16:59,204,Tres Tinkle Offensive Rebound.,37,36
16:57,204,Tres Tinkle made Layup.,37,38
16:57,2198,Foul on A.J. Youngman.,37,38
16:57,204,Tres Tinkle made Free Throw.,37,39
16:35,2198,Dedric Boyd Turnover.,37,39
16:34,204,Tres Tinkle Steal.,37,39
16:31,204,Stephen Thompson Jr. made Layup. Assisted by Tres Tinkle.,37,41
15:58,2198,Zach Charles missed Layup.,37,41
15:58,204,Stephen Thompson Jr. Block.,37,41
15:57,2198,Eastern Kentucky Offensive Rebound.,37,41
15:57,204,Official TV Timeout,37,41
15:52,2198,Jackson Davis missed Jumper.,37,41
15:52,204,Gligorije Rakocevic Defensive Rebound.,37,41
15:24,204,Tres Tinkle made Jumper. Assisted by Ethan Thompson.,37,43
15:09,2198,Asante Gist Turnover.,37,43
15:08,204,Gligorije Rakocevic Steal.,37,43
15:05,2198,Foul on Asante Gist.,37,43
15:05,204,Ethan Thompson missed Free Throw.,37,43
15:05,204,Oregon State Deadball Team Rebound.,37,43
15:05,204,Ethan Thompson missed Free Throw.,37,43
15:05,2198,Jackson Davis Defensive Rebound.,37,43
15:04,204,Foul on Tres Tinkle.,37,43
14:45,2198,Jackson Davis missed Three Point Jumper.,37,43
14:45,2198,Jackson Davis Offensive Rebound.,37,43
14:23,2198,Dedric Boyd made Jumper.,39,43
14:02,204,Tres Tinkle missed Jumper.,39,43
14:02,204,Seth Berger Offensive Rebound.,39,43
13:56,2198,Foul on Asante Gist.,39,43
13:56,204,Tres Tinkle Turnover.,39,43
13:45,2198,Dujuanta Weaver Turnover.,39,43
13:44,204,Tres Tinkle Steal.,39,43
13:41,204,Tres Tinkle made Dunk.,39,45
13:22,2198,Dedric Boyd made Jumper.,41,45
13:07,204,Tres Tinkle missed Layup.,41,45
13:07,2198,Dujuanta Weaver Defensive Rebound.,41,45
13:01,2198,Dedric Boyd missed Three Point Jumper.,41,45
13:01,2198,Nick Mayo Offensive Rebound.,41,45
12:54,2198,Nick Mayo made Two Point Tip Shot.,43,45
12:35,204,Stephen Thompson Jr. made Three Point Jumper. Assisted by Gligorije Rakocevic.,43,48
12:14,2198,Nick Mayo missed Jumper.,43,48
12:14,204,Tres Tinkle Defensive Rebound.,43,48
12:04,204,Stephen Thompson Jr. made Layup.,43,50
11:40,2198,Nick Mayo missed Jumper.,43,50
11:40,2198,Eastern Kentucky Offensive Rebound.,43,50
11:38,204,Official TV Timeout,43,50
11:37,204,Foul on Zach Reichle.,43,50
11:28,2198,Dedric Boyd made Jumper.,45,50
11:02,2198,Foul on Dedric Boyd.,45,50
11:02,204,Stephen Thompson Jr. missed Free Throw.,45,50
11:02,2198,Jackson Davis Defensive Rebound.,45,50
10:41,2198,Jackson Davis missed Three Point Jumper.,45,50
10:41,204,Gligorije Rakocevic Defensive Rebound.,45,50
10:31,204,Tres Tinkle made Three Point Jumper. Assisted by Ethan Thompson.,45,53
10:16,2198,Dillon Avare made Three Point Jumper. Assisted by Nick Mayo.,48,53
9:42,204,Gligorije Rakocevic made Layup. Assisted by Zach Reichle.,48,55
9:14,2198,Peyton Broughton made Three Point Jumper. Assisted by Nick Mayo.,51,55
8:54,2198,Foul on Peyton Broughton.,51,55
8:54,204,Ethan Thompson made Free Throw.,51,56
8:54,204,Ethan Thompson made Free Throw.,51,57
8:36,2198,Dillon Avare made Three Point Jumper. Assisted by Peyton Broughton.,54,57
8:13,204,Seth Berger missed Layup.,54,57
8:13,204,Zach Reichle Offensive Rebound.,54,57
8:11,204,Zach Reichle missed Two Point Tip Shot.,54,57
8:11,204,Zach Reichle Offensive Rebound.,54,57
8:11,2198,Foul on Zach Charles.,54,57
8:11,204,Zach Reichle made Free Throw.,54,58
8:11,204,Zach Reichle made Free Throw.,54,59
7:53,204,Foul on Zach Reichle.,54,59
7:53,204,Official TV Timeout,54,59
7:50,2198,Foul on Zach Charles.,54,59
7:50,2198,Zach Charles Turnover.,54,59
7:36,204,Stephen Thompson Jr. made Jumper. Assisted by Tres Tinkle.,54,61
7:19,2198,Asante Gist made Layup.,56,61
7:02,204,Stephen Thompson Jr. missed Three Point Jumper.,56,61
7:02,2198,Asante Gist Defensive Rebound.,56,61
6:47,2198,Asante Gist missed Jumper.,56,61
6:47,204,Drew Eubanks Defensive Rebound.,56,61
6:29,204,Ethan Thompson missed Layup.,56,61
6:29,2198,Zach Charles Block.,56,61
6:28,2198,Nick Mayo Defensive Rebound.,56,61
6:08,2198,Nick Mayo Turnover.,56,61
5:51,204,Tres Tinkle made Three Point Jumper. Assisted by Stephen Thompson Jr..,56,64
5:24,2198,Nick Mayo missed Three Point Jumper.,56,64
5:24,204,Drew Eubanks Defensive Rebound.,56,64
5:13,204,Seth Berger made Layup. Assisted by Stephen Thompson Jr..,56,66
4:53,204,Foul on Seth Berger.,56,66
4:41,2198,Asante Gist made Layup.,58,66
4:18,204,Ethan Thompson missed Jumper.,58,66
4:18,2198,Nick Mayo Defensive Rebound.,58,66
3:49,2198,Dedric Boyd missed Jumper.,58,66
3:49,204,Tres Tinkle Defensive Rebound.,58,66
3:40,204,Stephen Thompson Jr. made Layup.,58,68
3:37,2198,Eastern Kentucky  Timeout,58,68
3:18,204,Foul on Stephen Thompson Jr..,58,68
3:18,204,Official TV Timeout,58,68
3:05,204,Foul on Drew Eubanks.,58,68
3:05,2198,Nick Mayo missed Free Throw.,58,68
3:05,204,Drew Eubanks Defensive Rebound.,58,68
2:44,204,Tres Tinkle made Jumper. Assisted by Stephen Thompson Jr..,58,70
2:28,2198,Asante Gist made Layup.,60,70
2:05,204,Tres Tinkle Turnover.,60,70
1:46,2198,Nick Mayo missed Layup.,60,70
1:46,204,Tres Tinkle Defensive Rebound.,60,70
1:38,204,Stephen Thompson Jr. missed Three Point Jumper.,60,70
1:38,2198,Jackson Davis Defensive Rebound.,60,70
1:29,204,Foul on Tres Tinkle.,60,70
1:29,2198,Dedric Boyd made Free Throw.,61,70
1:29,204,Oregon State  Timeout,61,70
1:29,2198,Dedric Boyd made Free Throw.,62,70
1:19,204,Ethan Thompson Turnover.,62,70
1:18,2198,Dujuanta Weaver Steal.,62,70
1:15,2198,Dujuanta Weaver Turnover.,62,70
1:14,204,Stephen Thompson Jr. Steal.,62,70
1:12,204,Drew Eubanks made Dunk. Assisted by Stephen Thompson Jr..,62,72
0:59,204,Foul on Ethan Thompson.,62,72
0:59,2198,Asante Gist missed Free Throw.,62,72
0:59,204,Drew Eubanks Defensive Rebound.,62,72
0:33,204,Drew Eubanks made Dunk. Assisted by Stephen Thompson Jr..,62,74
0:19,2198,Dedric Boyd missed Three Point Jumper.,62,74
0:19,204,Seth Berger Defensive Rebound.,62,74
0:04,204,Stephen Thompson Jr. Turnover.,62,74
0:03,2198,Dedric Boyd Steal.,62,74
0:00,2198,Dedric Boyd missed Three Point Jumper.,62,74
0:00,204,Oregon State Deadball Team Rebound.,62,74
0:00,204,End of Game,62,74
