Centenary,Error,Stephen F. Austin,2617
19:20,2617,TJ Holyfield missed Three Point Jumper.,17,40
19:20,2113,James Sapp Defensive Rebound.,17,40
19:13,2113,Foul on James Sapp.,17,40
19:13,2113,James Sapp Turnover.,17,40
18:56,2617,TJ Holyfield Turnover.,17,40
18:56,2617,Foul on TJ Holyfield.,17,40
18:43,2113,James Sapp made Jumper.,19,40
18:42,2617,Foul on Samuli Nieminen.,19,40
18:42,2113,James Sapp missed Free Throw.,19,40
18:42,2617,Leon Gilmore III Defensive Rebound.,19,40
18:15,2617,Dallas Cameron missed Three Point Jumper.,19,40
18:15,2113,Centenary Defensive Rebound.,19,40
18:13,2617,Foul on TJ Holyfield.,19,40
17:45,2113,Travion Kirkendoll made Jumper.,21,40
17:30,2617,TJ Holyfield made Layup. Assisted by Leon Gilmore III.,21,42
17:29,2113,Foul on Wyatt Behara.,21,42
17:29,2617,TJ Holyfield made Free Throw.,21,43
17:25,2113,Treylan Matthews missed Jumper.,21,43
17:25,2617,Jovan Grujic Defensive Rebound.,21,43
17:07,2617,Leon Gilmore III missed Three Point Jumper.,21,43
17:07,2113,Kj Boyd Defensive Rebound.,21,43
16:53,2617,Foul on Aaron Augustin.,21,43
16:46,2113,Travion Kirkendoll made Jumper.,23,43
16:19,2617,Aaron Augustin made Layup.,23,45
16:00,2113,Wyatt Behara missed Jumper.,23,45
16:00,2617,Leon Gilmore III Defensive Rebound.,23,45
15:47,2617,Ivan Canete missed Three Point Jumper.,23,45
15:47,2113,James Sapp Defensive Rebound.,23,45
15:34,2113,Travion Kirkendoll Turnover.,23,45
15:33,2617,Jovan Grujic Steal.,23,45
15:28,2617,Ivan Canete made Layup. Assisted by Leon Gilmore III.,23,47
15:28,2113,Foul on Kj Boyd.,23,47
15:28,2617,Official TV Timeout,23,47
15:28,2617,Ivan Canete made Free Throw.,23,48
15:18,2113,Cedric Harris Turnover.,23,48
15:16,2617,Ivan Canete Steal.,23,48
15:13,2617,Isaiah Traylor missed Three Point Jumper.,23,48
15:13,2113,Wyatt Behara Defensive Rebound.,23,48
15:09,2113,Wyatt Behara Turnover.,23,48
15:05,2617,Isaiah Traylor missed Three Point Jumper.,23,48
15:05,2617,Stephen F. Austin Offensive Rebound.,23,48
14:56,2113,Foul on Shaun Jackson.,23,48
14:50,2617,Kevon Harris Turnover.,23,48
14:50,2113,Treylan Matthews Steal.,23,48
14:48,2113,Treylan Matthews made Three Point Jumper. Assisted by Travion Kirkendoll.,26,48
14:29,2617,Ivan Canete Turnover.,26,48
14:28,2113,Wyatt Behara Steal.,26,48
14:17,2113,Treylan Matthews missed Layup.,26,48
14:17,2617,Jovan Grujic Block.,26,48
14:14,2113,Travion Kirkendoll Offensive Rebound.,26,48
14:12,2113,Kj Boyd missed Jumper.,26,48
14:12,2617,Kevon Harris Defensive Rebound.,26,48
14:00,2617,Isaiah Traylor made Three Point Jumper.,26,51
13:39,2113,Wyatt Behara missed Jumper.,26,51
13:39,2617,Ivan Canete Defensive Rebound.,26,51
13:26,2617,Isaiah Traylor missed Three Point Jumper.,26,51
13:26,2617,Samuli Nieminen Offensive Rebound.,26,51
13:15,2617,Jovan Grujic missed Jumper.,26,51
13:15,2617,Samuli Nieminen Offensive Rebound.,26,51
13:11,2617,Samuli Nieminen made Two Point Tip Shot.,26,53
12:47,2617,Foul on Jovan Grujic.,26,53
12:47,2113,Travion Kirkendoll made Free Throw.,27,53
12:47,2113,Travion Kirkendoll made Free Throw.,28,53
12:22,2617,TJ Holyfield missed Three Point Jumper.,28,53
12:22,2113,Cedric Harris Defensive Rebound.,28,53
12:06,2113,Cedric Harris missed Three Point Jumper.,28,53
12:06,2617,TJ Holyfield Defensive Rebound.,28,53
11:57,2617,Kevon Harris made Three Point Jumper. Assisted by Aaron Augustin.,28,56
11:35,2617,Foul on Kevon Harris.,28,56
11:35,2617,Official TV Timeout,28,56
11:30,2617,Foul on Leon Gilmore III.,28,56
11:30,2113,Cedric Harris missed Free Throw.,28,56
11:30,2617,TJ Holyfield Defensive Rebound.,28,56
11:13,2113,Foul on Mitchell Tarantolo.,28,56
11:13,2617,Kevon Harris made Free Throw.,28,57
11:13,2617,Kevon Harris made Free Throw.,28,58
10:55,2113,Travion Kirkendoll Turnover.,28,58
10:53,2617,Dallas Cameron Steal.,28,58
10:53,2113,Foul on Dyllon Weaver.,28,58
10:53,2617,Dallas Cameron made Free Throw.,28,59
10:53,2617,Dallas Cameron made Free Throw.,28,60
10:47,2113,Travion Kirkendoll Turnover.,28,60
10:45,2617,Leon Gilmore III Steal.,28,60
10:42,2617,Leon Gilmore III made Layup.,28,62
10:42,2113,Foul on Treylan Matthews.,28,62
10:42,2113,Centenary  Timeout,28,62
10:42,2617,Leon Gilmore III made Free Throw.,28,63
10:24,2113,Cedric Harris made Three Point Jumper.,31,63
9:58,2617,Leon Gilmore III missed Layup.,31,63
9:58,2113,Cedric Harris Defensive Rebound.,31,63
9:56,2617,Foul on Kevon Harris.,31,63
9:56,2113,Cedric Harris made Free Throw.,32,63
9:56,2113,Cedric Harris made Free Throw.,33,63
9:25,2617,Stephen F. Austin  Turnover.,33,63
9:15,2617,Foul on Dallas Cameron.,33,63
9:12,2113,Treylan Matthews made Free Throw.,34,63
9:12,2113,Treylan Matthews missed Free Throw.,34,63
9:12,2113,James Sapp Offensive Rebound.,34,63
9:08,2113,James Sapp made Layup.,36,63
9:08,2617,Foul on Josh Huntley.,36,63
9:08,2113,James Sapp made Free Throw.,37,63
8:47,2617,Isaiah Traylor missed Three Point Jumper.,37,63
8:47,2113,Jericho Gray Defensive Rebound.,37,63
8:24,2617,Foul on Isaiah Traylor.,37,63
8:22,2617,Stephen F. Austin  Timeout,37,63
8:22,2113,Treylan Matthews made Free Throw.,38,63
8:22,2113,Treylan Matthews missed Free Throw.,38,63
8:22,2617,TJ Holyfield Defensive Rebound.,38,63
7:59,2113,Cedric Harris Steal.,38,63
7:59,2617,Samuli Nieminen Turnover.,38,63
7:58,2617,Foul on Samuli Nieminen.,38,63
7:58,2113,Cedric Harris made Free Throw.,39,63
7:58,2113,Cedric Harris missed Free Throw.,39,63
7:58,2617,Leon Gilmore III Defensive Rebound.,39,63
7:50,2617,Stephen F. Austin  Timeout,39,63
7:41,2617,Dallas Cameron made Three Point Jumper. Assisted by Leon Gilmore III.,39,66
7:20,2113,James Sapp made Jumper.,41,66
7:13,2617,Foul on Dallas Cameron.,41,66
7:13,2113,Jericho Gray made Free Throw.,42,66
7:13,2113,Jericho Gray made Free Throw.,43,66
6:51,2617,Foul on TJ Holyfield.,43,66
6:51,2617,TJ Holyfield Turnover.,43,66
6:32,2113,James Sapp made Layup.,45,66
6:21,2617,TJ Holyfield made Layup. Assisted by Aaron Augustin.,45,68
6:06,2113,James Sapp missed Layup.,45,68
6:06,2617,TJ Holyfield Block.,45,68
6:02,2617,Dallas Cameron Defensive Rebound.,45,68
6:01,2113,Foul on Treylan Matthews.,45,68
6:01,2617,Dallas Cameron made Free Throw.,45,69
6:01,2617,Dallas Cameron made Free Throw.,45,70
5:43,2617,Aaron Augustin made Jumper.,45,72
5:32,2113,Travion Kirkendoll made Layup.,47,72
5:21,2617,Kevon Harris made Three Point Jumper. Assisted by Aaron Augustin.,47,75
5:08,2113,Treylan Matthews Turnover.,47,75
5:07,2617,Leon Gilmore III Steal.,47,75
5:05,2617,Leon Gilmore III made Dunk.,47,77
4:46,2113,Jericho Gray made Three Point Jumper. Assisted by James Sapp.,50,77
4:26,2113,Foul on Jericho Gray.,50,77
4:26,2617,Samuli Nieminen missed Free Throw.,50,77
4:26,2617,Stephen F. Austin Deadball Team Rebound.,50,77
4:26,2617,Samuli Nieminen made Free Throw.,50,78
4:24,2113,Jericho Gray made Layup. Assisted by James Sapp.,52,78
4:03,2617,Isaiah Traylor made Three Point Jumper. Assisted by Jovan Grujic.,52,81
3:55,2113,Kj Boyd missed Layup.,52,81
3:55,2617,Isaiah Traylor Defensive Rebound.,52,81
3:40,2617,Jovan Grujic made Jumper. Assisted by Ivan Canete.,52,83
3:27,2113,Cedric Harris missed Three Point Jumper.,52,83
3:27,2113,Centenary Offensive Rebound.,52,83
3:25,2617,Foul on Dallas Cameron.,52,83
3:25,2617,Official TV Timeout,52,83
3:25,2113,Kj Boyd made Free Throw.,53,83
3:25,2113,Kj Boyd made Free Throw.,54,83
3:18,2617,Stephen F. Austin  Turnover.,54,83
3:16,2113,Kj Boyd Turnover.,54,83
3:14,2617,Isaiah Traylor Steal.,54,83
3:12,2617,Isaiah Traylor made Layup.,54,85
3:07,2617,Foul on Isaiah Traylor.,54,85
3:07,2113,Kj Boyd made Free Throw.,55,85
3:07,2113,Kj Boyd made Free Throw.,56,85
2:42,2617,Ivan Canete made Three Point Jumper. Assisted by Aaron Augustin.,56,88
2:32,2113,Jericho Gray missed Jumper.,56,88
2:32,2617,Kevon Harris Defensive Rebound.,56,88
2:04,2113,Foul on Jericho Gray.,56,88
2:04,2617,Stephen F. Austin  Timeout,56,88
2:04,2617,Leon Gilmore III made Free Throw.,56,89
2:04,2617,Leon Gilmore III missed Free Throw.,56,89
2:04,2617,Leon Gilmore III Offensive Rebound.,56,89
2:00,2113,Foul on Cedric Harris.,56,89
2:00,2617,Leon Gilmore III made Free Throw.,56,90
2:00,2617,Leon Gilmore III missed Free Throw.,56,90
2:00,2113,Kj Boyd Defensive Rebound.,56,90
1:49,2113,Jericho Gray missed Three Point Jumper.,56,90
1:49,2617,TJ Holyfield Defensive Rebound.,56,90
1:37,2617,Ivan Canete Turnover.,56,90
1:35,2113,Kj Boyd Steal.,56,90
1:34,2113,Cedric Harris made Layup. Assisted by Kj Boyd.,58,90
1:33,2617,Foul on Ivan Canete.,58,90
1:33,2113,Cedric Harris made Free Throw.,59,90
1:12,2617,Jovan Grujic Turnover.,59,90
1:10,2113,Shaun Jackson Steal.,59,90
1:06,2113,Cedric Harris missed Jumper.,59,90
1:06,2617,Aaron Augustin Defensive Rebound.,59,90
0:42,2617,Aaron Augustin Turnover.,59,90
0:31,2113,Jericho Gray missed Three Point Jumper.,59,90
0:31,2617,Chase Winchester Defensive Rebound.,59,90
0:00,2617,End of Game,59,90
