Messiah,2378,UMBC,2387
1:00,2378,UMBC Offensive Rebound.,24,47
0:51,2378,Malcolm Brent made Three Point Jumper. Assisted by Daquon Ervin.,24,50
0:32,-1,Neil Murren missed Jumper.,24,50
0:32,2378,Will Darley Defensive Rebound.,24,50
0:06,2378,K.J. Maura made Layup.,24,52
0:00,2378,End of 1st half,24,52
19:40,2378,Joe Sherburne missed Three Point Jumper.,24,52
19:40,2378,Will Darley Offensive Rebound.,24,52
19:35,2378,Jourdan Grant made Three Point Jumper.,24,55
19:14,-1,Josh Clippinger missed Layup.,24,55
19:14,2378,Nolan Gerrity Block.,24,55
19:14,-1,Messiah Offensive Rebound.,24,55
19:10,-1,Luke Cable made Jumper.,26,55
18:48,2378,Will Darley missed Three Point Jumper.,26,55
18:48,-1,Josh Clippinger Defensive Rebound.,26,55
18:28,-1,Luke Cable Turnover.,26,55
18:15,2378,Jourdan Grant Turnover.,26,55
18:13,-1,Josh Clippinger Steal.,26,55
18:08,-1,Neil Murren made Layup.,28,55
17:56,2378,Nolan Gerrity made Layup. Assisted by Will Darley.,28,57
17:42,-1,Matt Hess made Jumper.,30,57
17:17,2378,Jourdan Grant made Three Point Jumper. Assisted by Rodney Elliott.,30,60
16:52,2378,Foul on Rodney Elliott.,30,60
16:45,-1,Luke Cable made Three Point Jumper. Assisted by Nate Eberle.,33,60
16:33,-1,Foul on Josh Clippinger.,33,60
16:33,2378,Rodney Elliott missed Free Throw.,33,60
16:33,2378,UMBC Deadball Team Rebound.,33,60
16:33,2378,Rodney Elliott missed Free Throw.,33,60
16:33,-1,Nate Eberle Defensive Rebound.,33,60
16:09,-1,Logan Long made Jumper.,35,60
15:57,2378,Nolan Gerrity made Layup. Assisted by Will Darley.,35,62
15:55,-1,Foul on Nate Eberle.,35,62
15:55,2378,Official TV Timeout,35,62
15:55,2378,Nolan Gerrity made Free Throw.,35,63
15:40,-1,Neil Murren missed Jumper.,35,63
15:40,2378,Nolan Gerrity Defensive Rebound.,35,63
15:25,2378,Joe Sherburne missed Three Point Jumper.,35,63
15:25,2378,Rodney Elliott Offensive Rebound.,35,63
15:16,2378,Rodney Elliott made Three Point Jumper. Assisted by Nolan Gerrity.,35,66
14:41,-1,Luke Cable missed Three Point Jumper.,35,66
14:41,2378,Jourdan Grant Defensive Rebound.,35,66
14:32,2378,Will Darley missed Three Point Jumper.,35,66
14:32,2378,Joe Sherburne Offensive Rebound.,35,66
14:19,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,35,69
13:45,-1,Matt Hess missed Jumper.,35,69
13:45,2378,Will Darley Defensive Rebound.,35,69
13:38,2378,Rodney Elliott missed Three Point Jumper.,35,69
13:38,2378,Nolan Gerrity Offensive Rebound.,35,69
13:34,-1,Foul on Nate Eberle.,35,69
13:34,2378,Nolan Gerrity made Free Throw.,35,70
13:34,2378,Nolan Gerrity missed Free Throw.,35,70
13:34,-1,Matt Hess Defensive Rebound.,35,70
13:20,-1,Logan Long missed Jumper.,35,70
13:20,2378,Nolan Gerrity Defensive Rebound.,35,70
13:09,2378,Nolan Gerrity missed Layup.,35,70
13:09,2378,UMBC Offensive Rebound.,35,70
12:52,2378,Max Curran Turnover.,35,70
12:42,-1,Rob McWilliams missed Jumper.,35,70
12:42,2378,Max Curran Defensive Rebound.,35,70
12:35,2378,Joe Sherburne made Three Point Jumper. Assisted by Rodney Elliott.,35,73
12:20,-1,Neil Murren missed Three Point Jumper.,35,73
12:20,2378,Rodney Elliott Defensive Rebound.,35,73
12:13,2378,Rodney Elliott Turnover.,35,73
11:47,2378,Foul on Rodney Elliott.,35,73
11:47,2378,Official TV Timeout,35,73
11:29,2378,Foul on Max Curran.,35,73
11:29,-1,Colin Sareyka made Free Throw.,36,73
11:29,-1,Colin Sareyka made Free Throw.,37,73
11:12,2378,Max Curran made Three Point Jumper.,37,76
10:41,-1,Rob McWilliams made Jumper.,39,76
10:28,2378,Rodney Elliott made Three Point Jumper. Assisted by K.J. Maura.,39,79
10:09,-1,Bj McHenry Turnover.,39,79
10:06,2378,Malcolm Brent Steal.,39,79
10:03,2378,Malcolm Brent missed Dunk.,39,79
10:03,-1,Bj McHenry Defensive Rebound.,39,79
9:53,-1,Rob McWilliams missed Three Point Jumper.,39,79
9:53,2378,Malcolm Brent Defensive Rebound.,39,79
9:49,2378,Max Curran Turnover.,39,79
9:34,-1,Colin Sareyka made Three Point Jumper. Assisted by Josh Darville.,42,79
9:19,-1,Foul on Bj McHenry.,42,79
8:59,2378,K.J. Maura made Three Point Jumper. Assisted by Jourdan Grant.,42,82
8:52,2378,Foul on K.J. Maura.,42,82
8:39,-1,Colin Sareyka missed Three Point Jumper.,42,82
8:39,2378,Max Curran Defensive Rebound.,42,82
8:29,2378,K.J. Maura made Three Point Jumper. Assisted by Malcolm Brent.,42,85
8:06,-1,Colin Sareyka made Three Point Jumper. Assisted by Bj McHenry.,45,85
7:46,2378,K.J. Maura missed Three Point Jumper.,45,85
7:46,-1,Josh Darville Defensive Rebound.,45,85
7:34,-1,Colin Sareyka missed Three Point Jumper.,45,85
7:34,2378,Will Darley Defensive Rebound.,45,85
7:02,2378,UMBC  Turnover.,45,85
7:02,2378,Official TV Timeout,45,85
6:39,-1,Bj McHenry made Three Point Jumper. Assisted by Rob McWilliams.,48,85
6:17,-1,Foul on Josh Darville.,48,85
6:17,2378,Ben Grace missed Free Throw.,48,85
6:17,2378,UMBC Deadball Team Rebound.,48,85
6:17,2378,Ben Grace missed Free Throw.,48,85
6:17,-1,Rob McWilliams Defensive Rebound.,48,85
6:10,-1,Rob McWilliams made Jumper.,50,85
5:52,-1,Foul on Bj McHenry.,50,85
5:22,2378,Sam Schwietz missed Layup.,50,85
5:22,-1,Josh Darville Defensive Rebound.,50,85
5:10,-1,Willie Hope made Jumper. Assisted by Bj McHenry.,52,85
4:50,2378,Daquon Ervin missed Layup.,52,85
4:50,-1,Josh Darville Defensive Rebound.,52,85
4:38,-1,Josh Darville made Layup. Assisted by Rob McWilliams.,54,85
4:16,2378,Malcolm Brent made Three Point Jumper. Assisted by Ben Grace.,54,88
3:54,-1,Bj McHenry missed Three Point Jumper.,54,88
3:54,2378,Max Curran Defensive Rebound.,54,88
3:49,2378,Max Curran Turnover.,54,88
3:49,2378,Official TV Timeout,54,88
3:34,-1,Nate Eberle missed Three Point Jumper.,54,88
3:34,2378,Daquon Ervin Defensive Rebound.,54,88
3:28,2378,Max Curran missed Layup.,54,88
3:28,-1,Rob McWilliams Defensive Rebound.,54,88
3:17,-1,Micah Meredith missed Layup.,54,88
3:17,2378,Ben Grace Defensive Rebound.,54,88
3:07,-1,Foul on Ben Kerkeslager.,54,88
3:07,2378,Malcolm Brent made Free Throw.,54,89
3:07,2378,Malcolm Brent made Free Throw.,54,90
2:56,-1,Willie Hope missed Layup.,54,90
2:56,2378,Max Curran Defensive Rebound.,54,90
2:31,-1,Foul on Noah Cable.,54,90
2:31,2378,Daquon Ervin missed Free Throw.,54,90
2:31,2378,UMBC Deadball Team Rebound.,54,90
2:31,2378,Daquon Ervin made Free Throw.,54,91
2:22,-1,Nate Eberle missed Three Point Jumper.,54,91
2:22,2378,Max Curran Defensive Rebound.,54,91
2:10,2378,Malcolm Brent Turnover.,54,91
1:53,-1,Ben Kerkeslager missed Three Point Jumper.,54,91
1:53,-1,Messiah Offensive Rebound.,54,91
1:48,-1,Noah Cable missed Layup.,54,91
1:48,2378,Max Curran Defensive Rebound.,54,91
1:38,2378,Ben Grace made Three Point Jumper. Assisted by Daquon Ervin.,54,94
1:23,-1,Ben Kerkeslager made Three Point Jumper.,57,94
1:05,2378,Daquon Ervin made Jumper.,57,96
1:01,2378,Official TV Timeout,57,96
0:47,-1,Ben Kerkeslager missed Layup.,57,96
0:47,2378,Max Curran Block.,57,96
0:45,2378,Max Curran Defensive Rebound.,57,96
0:23,2378,Sam Schwietz missed Layup.,57,96
0:23,2378,Daquon Ervin Offensive Rebound.,57,96
0:18,-1,Foul on Ben Kerkeslager.,57,96
0:18,2378,Daquon Ervin made Free Throw.,57,97
0:18,2378,Daquon Ervin made Free Throw.,57,98
0:08,-1,Noah Cable made Layup.,59,98
0:00,2378,End of Game,59,98
