Morgan State,164,Rutgers,2415
9:19,2415,Antonio Gillespie made Three Point Jumper.,19,12
8:54,2415,Foul on Isiah Graves.,19,12
8:43,164,C.J. Gettys made Layup.,19,14
8:29,2415,Isiah Graves Turnover.,19,14
8:29,2415,Foul on Isiah Graves.,19,14
8:15,164,Deshawn Freeman missed Layup.,19,14
8:15,2415,Phillip Carr Block.,19,14
8:13,2415,Phillip Carr Defensive Rebound.,19,14
8:05,2415,Martez Cameron missed Three Point Jumper.,19,14
8:05,164,Rutgers Deadball Team Rebound.,19,14
7:54,164,Deshawn Freeman made Layup. Assisted by Corey Sanders.,19,16
7:37,2415,Tiwian Kendley Turnover.,19,16
7:36,164,Eugene Omoruyi Steal.,19,16
7:32,164,Eugene Omoruyi missed Layup.,19,16
7:30,164,Rutgers Offensive Rebound.,19,16
7:29,164,Official TV Timeout,19,16
7:22,164,Mike Williams missed Three Point Jumper.,19,16
7:22,164,Deshawn Freeman Offensive Rebound.,19,16
7:21,164,Deshawn Freeman missed Two Point Tip Shot.,19,16
7:21,2415,Morgan St Deadball Team Rebound.,19,16
7:21,164,Foul on C.J. Gettys.,19,16
7:17,2415,Kyle Thomas missed Jumper.,19,16
7:17,164,Corey Sanders Defensive Rebound.,19,16
7:07,164,Mike Williams made Three Point Jumper. Assisted by Corey Sanders.,19,19
6:50,2415,Tiwian Kendley missed Jumper.,19,19
6:50,2415,Tiwian Kendley Offensive Rebound.,19,19
6:47,2415,Tiwian Kendley missed Layup.,19,19
6:47,164,C.J. Gettys Block.,19,19
6:44,2415,Phillip Carr Offensive Rebound.,19,19
6:42,2415,Phillip Carr Turnover.,19,19
6:41,164,Corey Sanders Steal.,19,19
6:38,164,Corey Sanders Turnover.,19,19
6:36,2415,Martez Cameron Steal.,19,19
6:30,2415,David Syfax missed Layup.,19,19
6:30,2415,Phillip Carr Offensive Rebound.,19,19
6:27,2415,Phillip Carr missed Layup.,19,19
6:27,164,Deshawn Freeman Defensive Rebound.,19,19
6:18,164,Mike Williams missed Three Point Jumper.,19,19
6:18,2415,Tiwian Kendley Defensive Rebound.,19,19
6:09,2415,Phillip Carr missed Layup.,19,19
6:09,164,Eugene Omoruyi Defensive Rebound.,19,19
6:05,2415,Foul on Martez Cameron.,19,19
6:05,164,Corey Sanders made Free Throw.,19,20
6:05,164,Corey Sanders missed Free Throw.,19,20
6:05,2415,Kyle Thomas Defensive Rebound.,19,20
5:48,2415,Kyle Thomas Turnover.,19,20
5:48,164,Corey Sanders Steal.,19,20
5:30,164,Nigel Johnson made Three Point Jumper. Assisted by Jonathan Laurent.,19,23
5:11,2415,Tiwian Kendley missed Three Point Jumper.,19,23
5:11,164,Shaquille Doorson Defensive Rebound.,19,23
4:53,164,Candido Sa missed Layup.,19,23
4:53,2415,Phillip Carr Block.,19,23
4:52,2415,Phillip Carr Defensive Rebound.,19,23
4:44,2415,Martez Cameron Turnover.,19,23
4:43,164,Corey Sanders Steal.,19,23
4:39,164,Jonathan Laurent made Layup. Assisted by Nigel Johnson.,19,25
4:27,2415,Morgan St  Timeout,19,25
4:27,164,Official TV Timeout,19,25
4:22,164,Foul on Nigel Johnson.,19,25
4:10,164,Foul on Candido Sa.,19,25
4:09,2415,Tiwian Kendley made Free Throw.,20,25
4:09,2415,Tiwian Kendley made Free Throw.,21,25
3:46,2415,Foul on Tiwian Kendley.,21,25
3:46,164,Nigel Johnson made Free Throw.,21,26
3:46,164,Nigel Johnson missed Free Throw.,21,26
3:46,164,Rutgers Deadball Team Rebound.,21,26
3:46,164,Nigel Johnson made Free Throw.,21,27
3:28,2415,David Syfax made Dunk.,23,27
3:09,164,Corey Sanders missed Three Point Jumper.,23,27
3:09,2415,Stanley Davis Defensive Rebound.,23,27
3:02,2415,David Syfax missed Layup.,23,27
3:02,164,Shaquille Doorson Block.,23,27
2:58,164,Corey Sanders Defensive Rebound.,23,27
2:54,164,Nigel Johnson missed Layup.,23,27
2:54,164,Deshawn Freeman Offensive Rebound.,23,27
2:51,164,Deshawn Freeman made Two Point Tip Shot.,23,29
2:42,2415,Kyle Thomas missed Jumper.,23,29
2:42,164,Nigel Johnson Defensive Rebound.,23,29
2:21,164,Deshawn Freeman Turnover.,23,29
2:19,2415,Kyle Thomas Steal.,23,29
1:59,2415,Kyle Thomas missed Three Point Jumper.,23,29
1:59,164,Corey Sanders Defensive Rebound.,23,29
1:55,164,Corey Sanders made Layup.,23,31
1:53,2415,Morgan St  Timeout,23,31
1:37,2415,Antonio Gillespie missed Three Point Jumper.,23,31
1:37,164,Corey Sanders Block.,23,31
1:35,164,Nigel Johnson Defensive Rebound.,23,31
1:30,164,Deshawn Freeman missed Layup.,23,31
1:30,2415,Morgan St Defensive Rebound.,23,31
1:12,2415,Kyle Thomas Turnover.,23,31
0:56,164,Corey Sanders missed Three Point Jumper.,23,31
0:56,2415,Isiah Graves Defensive Rebound.,23,31
0:45,2415,Phillip Carr missed Layup.,23,31
0:45,164,C.J. Gettys Defensive Rebound.,23,31
0:19,164,Nigel Johnson missed Jumper.,23,31
0:19,2415,Morgan St Deadball Team Rebound.,23,31
0:05,2415,Tiwian Kendley made Layup.,25,31
0:00,164,Rutgers Deadball Team Rebound.,25,31
0:00,164,End of 1st half,25,31
19:52,164,Issa Thiam Turnover.,25,31
19:52,164,Foul on Issa Thiam.,25,31
19:43,164,Foul on Corey Sanders.,25,31
19:43,2415,Tiwian Kendley made Free Throw.,26,31
19:43,2415,Tiwian Kendley made Free Throw.,27,31
19:21,164,Mike Williams missed Jumper.,27,31
19:21,2415,Martez Cameron Defensive Rebound.,27,31
19:12,2415,Tiwian Kendley missed Three Point Jumper.,27,31
19:12,164,C.J. Gettys Defensive Rebound.,27,31
18:55,164,Deshawn Freeman missed Layup.,27,31
18:55,164,Rutgers Offensive Rebound.,27,31
18:51,164,C.J. Gettys made Layup.,27,33
18:36,2415,Tiwian Kendley Turnover.,27,33
18:22,164,Deshawn Freeman missed Layup.,27,33
18:22,164,C.J. Gettys Offensive Rebound.,27,33
18:19,164,C.J. Gettys made Two Point Tip Shot.,27,35
18:07,2415,Tiwian Kendley missed Three Point Jumper.,27,35
18:07,164,Issa Thiam Defensive Rebound.,27,35
17:55,164,C.J. Gettys made Layup.,27,37
17:33,164,Foul on Deshawn Freeman.,27,37
17:26,2415,Phillip Carr made Jumper.,29,37
17:08,164,Corey Sanders missed Layup.,29,37
17:08,2415,Alex Ennis Defensive Rebound.,29,37
16:55,2415,Phillip Carr missed Layup.,29,37
16:55,164,C.J. Gettys Block.,29,37
16:52,164,Deshawn Freeman Defensive Rebound.,29,37
16:43,2415,Foul on Alex Ennis.,29,37
16:43,164,Deshawn Freeman made Free Throw.,29,38
16:43,164,Deshawn Freeman made Free Throw.,29,39
16:19,2415,Tyjhai Byers made Layup. Assisted by Martez Cameron.,31,39
16:01,2415,Foul on Tyjhai Byers.,31,39
16:01,164,Corey Sanders made Free Throw.,31,40
16:01,164,Corey Sanders missed Free Throw.,31,40
16:01,2415,Phillip Carr Defensive Rebound.,31,40
15:40,2415,Phillip Carr missed Layup.,31,40
15:40,164,Candido Sa Defensive Rebound.,31,40
15:24,2415,Foul on David Syfax.,31,40
15:24,164,Official TV Timeout,31,40
15:24,164,Candido Sa made Free Throw.,31,41
15:24,164,Candido Sa made Free Throw.,31,42
15:10,2415,Phillip Carr missed Jumper.,31,42
15:10,164,Mike Williams Defensive Rebound.,31,42
15:04,164,Nigel Johnson missed Jumper.,31,42
15:04,2415,Martez Cameron Defensive Rebound.,31,42
14:49,2415,David Syfax missed Three Point Jumper.,31,42
14:49,164,Mike Williams Defensive Rebound.,31,42
14:20,164,Issa Thiam missed Jumper.,31,42
14:20,164,Rutgers Offensive Rebound.,31,42
14:06,164,Nigel Johnson missed Layup.,31,42
14:06,164,Nigel Johnson Offensive Rebound.,31,42
14:04,164,Nigel Johnson made Layup.,31,44
14:04,2415,Foul on Phillip Carr.,31,44
14:04,164,Nigel Johnson made Free Throw.,31,45
13:49,2415,Kyle Thomas missed Layup.,31,45
13:49,164,Candido Sa Block.,31,45
13:48,164,C.J. Gettys Defensive Rebound.,31,45
13:46,2415,Foul on Tiwian Kendley.,31,45
13:46,164,Mike Williams made Free Throw.,31,46
13:46,164,Mike Williams missed Free Throw.,31,46
13:46,2415,Kyle Thomas Defensive Rebound.,31,46
13:40,164,Foul on Corey Sanders.,31,46
13:40,2415,Foul on David Syfax.,31,46
13:40,164,Foul on Nigel Johnson.,31,46
13:40,2415,Technical Foul on David Syfax.,31,46
13:40,164,Technical Foul on Nigel Johnson.,31,46
13:40,2415,Tiwian Kendley made Free Throw.,32,46
13:40,2415,Tiwian Kendley made Free Throw.,33,46
13:21,164,Nigel Johnson missed Three Point Jumper.,33,46
13:21,164,Mike Williams Offensive Rebound.,33,46
13:17,164,Mike Williams made Layup.,33,48
13:10,2415,Tiwian Kendley missed Layup.,33,48
13:10,164,C.J. Gettys Block.,33,48
13:09,2415,Morgan St Deadball Team Rebound.,33,48
13:09,164,Foul on C.J. Gettys.,33,48
13:09,164,Technical Foul on C.J. Gettys.,33,48
13:09,2415,Tiwian Kendley made Free Throw.,34,48
13:09,2415,Tiwian Kendley missed Free Throw.,34,48
13:09,2415,Morgan St Deadball Team Rebound.,34,48
12:57,164,Foul on Candido Sa.,34,48
12:57,2415,Tiwian Kendley made Free Throw.,35,48
12:57,2415,Tiwian Kendley made Free Throw.,36,48
12:32,164,Mike Williams made Layup. Assisted by Nigel Johnson.,36,50
12:03,2415,Tiwian Kendley missed Three Point Jumper.,36,50
12:03,2415,Alex Ennis Offensive Rebound.,36,50
11:58,2415,Tiwian Kendley made Three Point Jumper. Assisted by Stanley Davis.,39,50
11:55,2415,Morgan St  Timeout,39,50
11:26,164,Nigel Johnson missed Jumper.,39,50
11:26,2415,Alex Ennis Defensive Rebound.,39,50
11:05,2415,Stanley Davis missed Layup.,39,50
11:05,2415,Phillip Carr Offensive Rebound.,39,50
11:03,2415,Phillip Carr made Layup.,41,50
10:38,164,Nigel Johnson missed Layup.,41,50
10:38,2415,Alex Ennis Defensive Rebound.,41,50
10:31,2415,Tiwian Kendley missed Three Point Jumper.,41,50
10:31,2415,Alex Ennis Offensive Rebound.,41,50
10:26,2415,Alex Ennis missed Layup.,41,50
10:26,164,C.J. Gettys Block.,41,50
10:22,164,Corey Sanders Defensive Rebound.,41,50
10:19,164,Deshawn Freeman made Dunk. Assisted by Corey Sanders.,41,52
9:54,2415,Tiwian Kendley made Three Point Jumper.,44,52
9:33,164,Deshawn Freeman made Jumper.,44,54
8:59,2415,Stanley Davis missed Three Point Jumper.,44,54
8:59,164,C.J. Gettys Defensive Rebound.,44,54
8:57,164,Mike Williams missed Layup.,44,54
8:56,2415,Phillip Carr Defensive Rebound.,44,54
8:55,2415,Phillip Carr Turnover.,44,54
8:53,164,Mike Williams Steal.,44,54
8:52,164,Mike Williams Turnover.,44,54
8:51,164,Official TV Timeout,44,54
8:35,2415,David Syfax missed Layup.,44,54
8:35,164,Shaquille Doorson Block.,44,54
8:33,2415,David Syfax Offensive Rebound.,44,54
8:29,2415,Tiwian Kendley made Layup.,46,54
8:04,164,Candido Sa missed Three Point Jumper.,46,54
8:04,164,Issa Thiam Offensive Rebound.,46,54
7:54,164,Candido Sa made Layup.,46,56
7:43,164,Foul on Shaquille Doorson.,46,56
7:43,164,Official TV Timeout,46,56
7:43,2415,Phillip Carr made Free Throw.,47,56
7:43,2415,Phillip Carr missed Free Throw.,47,56
7:43,2415,David Syfax Offensive Rebound.,47,56
7:39,2415,Tiwian Kendley missed Three Point Jumper.,47,56
7:39,2415,David Syfax Offensive Rebound.,47,56
7:35,2415,Kyle Thomas missed Three Point Jumper.,47,56
7:35,2415,Tiwian Kendley Offensive Rebound.,47,56
7:29,2415,Tiwian Kendley made Layup.,49,56
7:09,164,Jonathan Laurent Turnover.,49,56
6:58,2415,Kyle Thomas missed Layup.,49,56
6:58,164,Deshawn Freeman Defensive Rebound.,49,56
6:40,164,Nigel Johnson missed Layup.,49,56
6:40,2415,David Syfax Block.,49,56
6:39,2415,Kyle Thomas Defensive Rebound.,49,56
6:20,2415,David Syfax missed Three Point Jumper.,49,56
6:20,164,Nigel Johnson Defensive Rebound.,49,56
6:04,164,Corey Sanders missed Layup.,49,56
6:04,164,C.J. Gettys Offensive Rebound.,49,56
6:02,164,C.J. Gettys made Two Point Tip Shot.,49,58
5:48,2415,Tiwian Kendley made Layup.,51,58
5:32,164,Rutgers  Timeout,51,58
5:24,164,Nigel Johnson missed Jumper.,51,58
5:24,164,Deshawn Freeman Offensive Rebound.,51,58
5:23,164,Deshawn Freeman made Two Point Tip Shot.,51,60
5:23,2415,Foul on Kyle Thomas.,51,60
5:23,164,Deshawn Freeman made Free Throw.,51,61
4:57,164,Foul on C.J. Gettys.,51,61
4:57,2415,Kyle Thomas made Free Throw.,52,61
4:57,2415,Kyle Thomas missed Free Throw.,52,61
4:57,2415,Morgan St Deadball Team Rebound.,52,61
4:57,2415,Kyle Thomas made Free Throw.,53,61
4:39,164,Deshawn Freeman missed Layup.,53,61
4:38,164,Rutgers Offensive Rebound.,53,61
4:37,2415,Foul on Tiwian Kendley.,53,61
4:37,164,Deshawn Freeman missed Free Throw.,53,61
4:37,164,Rutgers Deadball Team Rebound.,53,61
4:37,164,Deshawn Freeman made Free Throw.,53,62
4:10,2415,Kyle Thomas missed Jumper.,53,62
4:10,164,Mike Williams Defensive Rebound.,53,62
3:54,164,Corey Sanders missed Jumper.,53,62
3:54,2415,Morgan St Deadball Team Rebound.,53,62
3:53,164,Official TV Timeout,53,62
3:41,2415,Stanley Davis missed Three Point Jumper.,53,62
3:40,164,Deshawn Freeman Defensive Rebound.,53,62
3:13,164,Eugene Omoruyi missed Three Point Jumper.,53,62
3:13,2415,Stanley Davis Defensive Rebound.,53,62
2:48,2415,Kyle Thomas missed Three Point Jumper.,53,62
2:48,164,Corey Sanders Defensive Rebound.,53,62
2:46,2415,Foul on David Syfax.,53,62
2:46,164,Eugene Omoruyi missed Free Throw.,53,62
2:46,164,Candido Sa Offensive Rebound.,53,62
2:45,2415,Foul on Phillip Carr.,53,62
2:45,164,Candido Sa missed Free Throw.,53,62
2:45,164,Rutgers Deadball Team Rebound.,53,62
2:45,164,Candido Sa made Free Throw.,53,63
2:27,2415,Tiwian Kendley Turnover.,53,63
2:26,164,Deshawn Freeman Steal.,53,63
2:24,164,Deshawn Freeman made Dunk. Assisted by Nigel Johnson.,53,65
2:08,2415,David Syfax missed Three Point Jumper.,53,65
2:08,164,Deshawn Freeman Defensive Rebound.,53,65
1:45,164,Nigel Johnson missed Three Point Jumper.,53,65
1:45,164,Deshawn Freeman Offensive Rebound.,53,65
1:43,164,Deshawn Freeman missed Two Point Tip Shot.,53,65
1:41,164,Deshawn Freeman Offensive Rebound.,53,65
1:39,164,Deshawn Freeman made Layup.,53,67
1:38,2415,Foul on David Syfax.,53,67
1:38,164,Deshawn Freeman made Free Throw.,53,68
1:19,2415,Tiwian Kendley made Three Point Jumper.,56,68
0:51,2415,Foul on Isiah Graves.,56,68
0:51,164,Nigel Johnson made Free Throw.,56,69
0:51,164,Nigel Johnson made Free Throw.,56,70
0:51,164,Rutgers  Timeout,56,70
0:36,2415,Tiwian Kendley made Layup.,58,70
0:11,2415,Foul on Tiwian Kendley.,58,70
0:11,164,Nigel Johnson made Free Throw.,58,71
0:11,164,Nigel Johnson made Free Throw.,58,72
0:03,2415,Antonio Gillespie missed Three Point Jumper.,58,72
0:03,164,Deshawn Freeman Defensive Rebound.,58,72
0:00,164,End of Game,56,74
