Western Carolina,2026,Appalachian State,2717
16:10,2026,Appalachian St Deadball Team Rebound.,6,7
16:10,2026,Isaac Johnson made Free Throw.,6,8
15:57,2717,Elijah Pughsley made Three Point Jumper. Assisted by Marc Gosselin.,9,8
15:27,2026,Ronshad Shabazz Turnover.,9,8
15:26,2717,Marc Gosselin Steal.,9,8
15:21,2717,Elijah Pughsley missed Three Point Jumper.,9,8
15:21,2026,Patrick Good Defensive Rebound.,9,8
15:00,2717,Foul on Devin Peterson.,9,8
15:00,2026,Official TV Timeout,9,8
15:00,2026,Ronshad Shabazz made Free Throw.,9,9
15:00,2026,Ronshad Shabazz missed Free Throw.,9,9
15:00,2026,Isaac Johnson Offensive Rebound.,9,9
14:49,2026,Isaac Johnson made Dunk. Assisted by Jake Wilson.,9,11
14:33,2717,Devin Peterson made Layup. Assisted by Yalim Olcay.,11,11
14:21,2717,Foul on Elijah Pughsley.,11,11
14:14,2026,Patrick Good made Three Point Jumper. Assisted by Ronshad Shabazz.,11,14
13:58,2717,Elijah Pughsley Turnover.,11,14
13:47,2717,Foul on Yalim Olcay.,11,14
13:35,2026,Jake Babic missed Jumper.,11,14
13:35,2026,Jake Wilson Offensive Rebound.,11,14
13:28,2026,Foul on Jake Babic.,11,14
13:28,2026,Jake Babic Turnover.,11,14
13:22,2717,Marc Gosselin made Three Point Jumper. Assisted by Deriece Parks.,14,14
12:53,2026,Jake Wilson Turnover.,14,14
12:44,2717,Haboubacar Mutombo missed Layup.,14,14
12:44,2026,Tyrell Johnson Defensive Rebound.,14,14
12:35,2026,Patrick Good made Three Point Jumper. Assisted by Jake Babic.,14,17
12:17,2717,Western Carolina  Timeout,14,17
12:17,2026,Official TV Timeout,14,17
12:06,2717,Haboubacar Mutombo made Three Point Jumper. Assisted by Elijah Pughsley.,17,17
11:39,2026,Tyrell Johnson missed Three Point Jumper.,17,17
11:39,2026,Patrick Good Offensive Rebound.,17,17
11:17,2026,Tyrell Johnson made Dunk. Assisted by Griffin Kinney.,17,19
10:49,2717,Haboubacar Mutombo missed Three Point Jumper.,17,19
10:49,2026,Matt O'Boyle Defensive Rebound.,17,19
10:24,2717,Foul on Yalim Olcay.,17,19
10:13,2026,Griffin Kinney Turnover.,17,19
9:46,2717,Marc Gosselin made Layup. Assisted by Devin Peterson.,19,19
9:21,2026,Tyrell Johnson made Layup.,19,21
9:09,2717,Devin Peterson missed Three Point Jumper.,19,21
9:09,2717,Deriece Parks Offensive Rebound.,19,21
8:47,2026,Foul on Griffin Kinney.,19,21
8:47,2717,Charlendez Brooks made Free Throw.,20,21
8:47,2717,Charlendez Brooks made Free Throw.,21,21
8:26,2717,Foul on Devin Peterson.,21,21
8:24,2026,Ronshad Shabazz Turnover.,21,21
8:20,2717,Charlendez Brooks Steal.,21,21
8:16,2717,Devin Peterson made Layup.,23,21
7:48,2026,Kelvin Robinson missed Three Point Jumper.,23,21
7:48,2717,Haboubacar Mutombo Defensive Rebound.,23,21
7:27,2717,Elijah Pughsley missed Jumper.,23,21
7:27,2717,Marc Gosselin Offensive Rebound.,23,21
7:21,2026,Official TV Timeout,23,21
7:11,2717,Elijah Pughsley missed Jumper.,23,21
7:11,2026,Isaac Johnson Defensive Rebound.,23,21
6:55,2026,Kelvin Robinson missed Jumper.,23,21
6:55,2717,Haboubacar Mutombo Block.,23,21
6:53,2026,Kelvin Robinson Offensive Rebound.,23,21
6:47,2026,Emarius Logan missed Three Point Jumper.,23,21
6:47,2717,Onno Steger Defensive Rebound.,23,21
6:31,2717,Haboubacar Mutombo made Layup. Assisted by Charlendez Brooks.,25,21
6:12,2026,Bennett Holley missed Three Point Jumper.,25,21
6:12,2717,Onno Steger Defensive Rebound.,25,21
5:51,2026,Foul on Emarius Logan.,25,21
5:45,2717,Marc Gosselin missed Three Point Jumper.,25,21
5:45,2026,Ronshad Shabazz Defensive Rebound.,25,21
5:39,2026,Ronshad Shabazz missed Layup.,25,21
5:39,2717,Marc Gosselin Defensive Rebound.,25,21
5:19,2717,Marc Gosselin missed Jumper.,25,21
5:19,2026,Bennett Holley Defensive Rebound.,25,21
5:15,2717,Foul on Adam Sledd.,25,21
5:15,2026,Bennett Holley made Free Throw.,25,22
5:15,2026,Bennett Holley made Free Throw.,25,23
4:56,2717,Elijah Pughsley Turnover.,25,23
4:43,2717,Foul on Charlendez Brooks.,25,23
4:43,2026,Ronshad Shabazz missed Free Throw.,25,23
4:43,2026,Appalachian St Deadball Team Rebound.,25,23
4:43,2026,Ronshad Shabazz made Free Throw.,25,24
4:31,2717,Onno Steger made Three Point Jumper. Assisted by Elijah Pughsley.,28,24
4:12,2026,Ronshad Shabazz missed Layup.,28,24
4:12,2026,Appalachian St Offensive Rebound.,28,24
4:02,2026,Jake Babic made Three Point Jumper. Assisted by Patrick Good.,28,27
3:40,2717,Elijah Pughsley missed Layup.,28,27
3:40,2026,Bennett Holley Defensive Rebound.,28,27
3:37,2717,Foul on Elijah Pughsley.,28,27
3:37,2026,Official TV Timeout,28,27
3:37,2026,Bennett Holley made Free Throw.,28,28
3:37,2026,Bennett Holley missed Free Throw.,28,28
3:37,2717,Marc Gosselin Defensive Rebound.,28,28
3:19,2717,Deriece Parks missed Jumper.,28,28
3:19,2026,Bennett Holley Defensive Rebound.,28,28
2:55,2026,Tyrell Johnson missed Layup.,28,28
2:55,2026,Isaac Johnson Offensive Rebound.,28,28
2:52,2026,Isaac Johnson made Layup.,28,30
2:30,2717,Haboubacar Mutombo missed Jumper.,28,30
2:30,2026,Tyrell Johnson Defensive Rebound.,28,30
2:17,2026,Isaac Johnson missed Three Point Jumper.,28,30
2:17,2026,Tyrell Johnson Offensive Rebound.,28,30
2:13,2026,Tyrell Johnson missed Layup.,28,30
2:13,2717,Marc Gosselin Defensive Rebound.,28,30
2:12,2026,Foul on Isaac Johnson.,28,30
1:55,2717,Foul on Marc Gosselin.,28,30
1:55,2717,Marc Gosselin Turnover.,28,30
1:33,2026,Ronshad Shabazz missed Layup.,28,30
1:33,2026,Tyrell Johnson Offensive Rebound.,28,30
1:30,2026,Tyrell Johnson missed Layup.,28,30
1:30,2026,Tyrell Johnson Offensive Rebound.,28,30
1:27,2026,Tyrell Johnson missed Layup.,28,30
1:27,2717,Marc Gosselin Defensive Rebound.,28,30
1:17,2717,Elijah Pughsley made Three Point Jumper. Assisted by Deriece Parks.,31,30
0:58,2026,Ronshad Shabazz missed Three Point Jumper.,31,30
0:58,2717,Marc Gosselin Defensive Rebound.,31,30
0:27,2717,Elijah Pughsley missed Three Point Jumper.,31,30
0:27,2717,Marc Gosselin Offensive Rebound.,31,30
0:01,2717,Haboubacar Mutombo missed Layup.,31,30
0:01,2717,Western Carolina Deadball Team Rebound.,31,30
0:00,2026,End of 1st half,31,30
19:42,2717,Haboubacar Mutombo missed Layup.,31,30
19:42,2717,Charlendez Brooks Offensive Rebound.,31,30
19:30,2717,Elijah Pughsley missed Three Point Jumper.,31,30
19:30,2026,Emarius Logan Block.,31,30
19:28,2026,Kelvin Robinson Defensive Rebound.,31,30
19:28,2717,Foul on Haboubacar Mutombo.,31,30
19:00,2717,Foul on Marc Gosselin.,31,30
19:00,2026,Kelvin Robinson missed Free Throw.,31,30
19:00,2026,Appalachian St Deadball Team Rebound.,31,30
19:00,2026,Kelvin Robinson made Free Throw.,31,31
18:48,2717,Devin Peterson missed Jumper.,31,31
18:48,2026,Kelvin Robinson Defensive Rebound.,31,31
18:39,2026,Kelvin Robinson Turnover.,31,31
18:26,2026,Foul on Kelvin Robinson.,31,31
18:24,2717,Haboubacar Mutombo missed Layup.,31,31
18:24,2026,Tyrell Johnson Block.,31,31
18:23,2026,Tyrell Johnson Defensive Rebound.,31,31
17:53,2026,Emarius Logan missed Jumper.,31,31
17:53,2717,Marc Gosselin Defensive Rebound.,31,31
17:39,2717,Charlendez Brooks missed Layup.,31,31
17:39,2026,Emarius Logan Defensive Rebound.,31,31
17:31,2717,Foul on Charlendez Brooks.,31,31
17:31,2026,Ronshad Shabazz made Free Throw.,31,32
17:31,2026,Ronshad Shabazz made Free Throw.,31,33
17:16,2717,Charlendez Brooks missed Jumper.,31,33
17:16,2026,Patrick Good Defensive Rebound.,31,33
16:58,2026,Ronshad Shabazz missed Jumper.,31,33
16:58,2026,Appalachian St Offensive Rebound.,31,33
16:37,2717,Foul on Charlendez Brooks.,31,33
16:37,2026,Griffin Kinney made Free Throw.,31,34
16:37,2026,Griffin Kinney made Free Throw.,31,35
16:23,2717,Marc Gosselin missed Jumper.,31,35
16:23,2026,Tyrell Johnson Defensive Rebound.,31,35
16:18,2026,Tyrell Johnson Turnover.,31,35
16:17,2717,Haboubacar Mutombo Steal.,31,35
16:13,2026,Foul on Griffin Kinney.,31,35
16:13,2717,Marc Gosselin made Free Throw.,32,35
16:13,2717,Marc Gosselin made Free Throw.,33,35
16:01,2026,Emarius Logan made Three Point Jumper. Assisted by Patrick Good.,33,38
15:27,2717,Haboubacar Mutombo Turnover.,33,38
15:27,2026,Official TV Timeout,33,38
15:09,2026,Jake Babic Turnover.,33,38
15:08,2717,Deriece Parks Steal.,33,38
15:04,2717,Deriece Parks missed Layup.,33,38
15:04,2026,Isaac Johnson Defensive Rebound.,33,38
14:56,2026,Ronshad Shabazz missed Layup.,33,38
14:56,2717,Devin Peterson Defensive Rebound.,33,38
14:47,2717,Deriece Parks made Three Point Jumper. Assisted by Devin Peterson.,36,38
14:16,2026,Griffin Kinney made Layup.,36,40
13:56,2717,Devin Peterson missed Jumper.,36,40
13:56,2026,Griffin Kinney Defensive Rebound.,36,40
13:52,2717,Foul on Yalim Olcay.,36,40
13:26,2026,Griffin Kinney missed Layup.,36,40
13:26,2717,Marc Gosselin Defensive Rebound.,36,40
13:07,2717,Haboubacar Mutombo made Layup.,38,40
13:00,2026,Emarius Logan missed Three Point Jumper.,38,40
13:00,2717,Devin Peterson Defensive Rebound.,38,40
12:33,2717,Foul on Marc Gosselin.,38,40
12:33,2717,Marc Gosselin Turnover.,38,40
12:10,2026,Isaac Johnson missed Layup.,38,40
12:10,2717,Marc Gosselin Defensive Rebound.,38,40
11:54,2717,Marc Gosselin missed Layup.,38,40
11:54,2717,Western Carolina Offensive Rebound.,38,40
11:54,2026,Official TV Timeout,38,40
11:49,2717,Devin Peterson made Jumper.,40,40
11:21,2026,Jake Babic missed Jumper.,40,40
11:21,2717,Devin Peterson Defensive Rebound.,40,40
11:03,2026,Foul on Jake Babic.,40,40
10:43,2717,Deriece Parks missed Three Point Jumper.,40,40
10:43,2717,Marc Gosselin Offensive Rebound.,40,40
10:40,2717,Marc Gosselin missed Layup.,40,40
10:40,2026,Ronshad Shabazz Defensive Rebound.,40,40
10:21,2026,Tyrell Johnson missed Layup.,40,40
10:21,2717,Elijah Pughsley Defensive Rebound.,40,40
10:14,2717,Elijah Pughsley Turnover.,40,40
10:12,2026,Patrick Good Steal.,40,40
10:12,2717,Foul on Deriece Parks.,40,40
10:12,2026,Patrick Good missed Free Throw.,40,40
10:12,2717,Deriece Parks Defensive Rebound.,40,40
9:51,2717,Marc Gosselin missed Layup.,40,40
9:51,2717,Adam Sledd Offensive Rebound.,40,40
9:44,2717,Haboubacar Mutombo missed Three Point Jumper.,40,40
9:44,2026,Tyrell Johnson Defensive Rebound.,40,40
9:29,2717,Foul on Marc Gosselin.,40,40
9:29,2026,Tyrell Johnson missed Free Throw.,40,40
9:29,2717,Adam Sledd Defensive Rebound.,40,40
9:03,2026,Foul on Craig Hinton.,40,40
9:03,2717,Devin Peterson made Free Throw.,41,40
9:03,2717,Devin Peterson made Free Throw.,42,40
9:03,2717,Devin Peterson made Free Throw.,43,40
8:53,2717,Foul on Devin Peterson.,43,40
8:53,2026,Ronshad Shabazz missed Free Throw.,43,40
8:53,2026,Appalachian St Deadball Team Rebound.,43,40
8:53,2026,Ronshad Shabazz made Free Throw.,43,41
8:39,2026,Foul on Tyrell Johnson.,43,41
8:33,2717,Devin Peterson missed Three Point Jumper.,43,41
8:33,2026,Isaac Johnson Defensive Rebound.,43,41
8:25,2026,Ronshad Shabazz missed Layup.,43,41
8:25,2717,Adam Sledd Defensive Rebound.,43,41
7:57,2717,Haboubacar Mutombo Turnover.,43,41
7:56,2026,Isaac Johnson Steal.,43,41
7:51,2717,Foul on Devonte Fuller.,43,41
7:51,2026,Official TV Timeout,43,41
7:51,2026,Isaac Johnson made Free Throw.,43,42
7:51,2026,Isaac Johnson made Free Throw.,43,43
7:29,2026,Foul on Matt O'Boyle.,43,43
7:24,2717,Haboubacar Mutombo missed Layup.,43,43
7:24,2717,Adam Sledd Offensive Rebound.,43,43
7:21,2717,Adam Sledd made Layup.,45,43
7:13,2026,Ronshad Shabazz missed Jumper.,45,43
7:13,2026,Griffin Kinney Offensive Rebound.,45,43
7:10,2717,Foul on Adam Sledd.,45,43
7:10,2026,Griffin Kinney made Free Throw.,45,44
7:10,2026,Griffin Kinney made Free Throw.,45,45
6:47,2026,Foul on Isaac Johnson.,45,45
6:47,2717,Haboubacar Mutombo made Free Throw.,46,45
6:47,2717,Haboubacar Mutombo missed Free Throw.,46,45
6:47,2026,Ronshad Shabazz Defensive Rebound.,46,45
6:29,2026,Griffin Kinney Turnover.,46,45
6:06,2717,Haboubacar Mutombo missed Three Point Jumper.,46,45
6:06,2717,Onno Steger Offensive Rebound.,46,45
6:03,2026,Foul on Matt O'Boyle.,46,45
6:03,2717,Onno Steger missed Free Throw.,46,45
6:03,2026,Tyrell Johnson Defensive Rebound.,46,45
5:38,2026,Kelvin Robinson missed Jumper.,46,45
5:38,2717,Adam Sledd Defensive Rebound.,46,45
5:10,2717,Devin Peterson missed Layup.,46,45
5:10,2026,Kelvin Robinson Defensive Rebound.,46,45
5:06,2026,Emarius Logan missed Three Point Jumper.,46,45
5:06,2717,Onno Steger Defensive Rebound.,46,45
4:52,2717,Western Carolina  Timeout,46,45
4:34,2717,Haboubacar Mutombo made Layup. Assisted by Devin Peterson.,48,45
4:04,2026,Ronshad Shabazz missed Three Point Jumper.,48,45
4:04,2717,Elijah Pughsley Defensive Rebound.,48,45
3:43,2717,Marc Gosselin Turnover.,48,45
3:43,2026,Isaac Johnson Steal.,48,45
3:37,2026,Ronshad Shabazz missed Layup.,48,45
3:37,2717,Elijah Pughsley Defensive Rebound.,48,45
3:11,2717,Haboubacar Mutombo missed Layup.,48,45
3:11,2026,Isaac Johnson Block.,48,45
3:09,2026,Patrick Good Defensive Rebound.,48,45
3:06,2717,Foul on Elijah Pughsley.,48,45
3:06,2026,Official TV Timeout,48,45
3:06,2026,Kelvin Robinson missed Free Throw.,48,45
3:06,2026,Appalachian St Deadball Team Rebound.,48,45
3:06,2026,Kelvin Robinson made Free Throw.,48,46
2:52,2717,Marc Gosselin missed Three Point Jumper.,48,46
2:52,2026,Appalachian St Defensive Rebound.,48,46
2:23,2026,Ronshad Shabazz missed Layup.,48,46
2:23,2717,Marc Gosselin Block.,48,46
2:22,2717,Deriece Parks Defensive Rebound.,48,46
2:04,2717,Foul on Marc Gosselin.,48,46
2:04,2717,Marc Gosselin Turnover.,48,46
1:48,2026,Isaac Johnson Turnover.,48,46
1:28,2717,Haboubacar Mutombo missed Layup.,48,46
1:28,2717,Adam Sledd Offensive Rebound.,48,46
1:25,2717,Adam Sledd missed Layup.,48,46
1:25,2717,Haboubacar Mutombo Offensive Rebound.,48,46
1:21,2717,Haboubacar Mutombo made Layup.,50,46
1:21,2026,Foul on Tyrell Johnson.,50,46
1:21,2717,Haboubacar Mutombo made Free Throw.,51,46
1:16,2026,Foul on Jake Babic.,51,46
1:16,2026,Jake Babic Turnover.,51,46
0:54,2717,Deriece Parks Turnover.,51,46
0:53,2026,Griffin Kinney Steal.,51,46
0:48,2717,Foul on Deriece Parks.,51,46
0:48,2026,Ronshad Shabazz made Free Throw.,51,47
0:48,2026,Ronshad Shabazz made Free Throw.,51,48
0:48,2026,Appalachian St  Timeout,51,48
0:46,2717,Devin Peterson made Layup. Assisted by Deriece Parks.,53,48
0:38,2026,Ronshad Shabazz made Three Point Jumper. Assisted by Kelvin Robinson.,53,51
0:38,2026,Appalachian St  Timeout,53,51
0:36,2026,Foul on Isaac Johnson.,53,51
0:36,2717,Deriece Parks made Free Throw.,54,51
0:36,2717,Deriece Parks missed Free Throw.,54,51
0:36,2026,Isaac Johnson Defensive Rebound.,54,51
0:23,2717,Foul on Elijah Pughsley.,54,51
0:23,2026,Ronshad Shabazz made Free Throw.,54,52
0:23,2026,Ronshad Shabazz made Free Throw.,54,53
0:22,2026,Foul on Isaac Johnson.,54,53
0:22,2717,Deriece Parks made Free Throw.,55,53
0:22,2717,Deriece Parks made Free Throw.,56,53
0:22,2717,Western Carolina  Timeout,56,53
0:12,2026,Emarius Logan missed Layup.,56,53
0:12,2717,Adam Sledd Defensive Rebound.,56,53
0:11,2026,Foul on Isaac Johnson.,56,53
0:11,2717,Adam Sledd missed Free Throw.,56,53
0:11,2717,Western Carolina Deadball Team Rebound.,56,53
0:11,2717,Adam Sledd made Free Throw.,57,53
0:04,2026,Ronshad Shabazz missed Three Point Jumper.,57,53
0:04,2717,Western Carolina Defensive Rebound.,57,53
0:03,2026,Foul on Ronshad Shabazz.,57,53
0:03,2717,Elijah Pughsley missed Free Throw.,57,53
0:03,2717,Western Carolina Deadball Team Rebound.,57,53
0:03,2717,Elijah Pughsley made Free Throw.,58,53
0:01,2026,Emarius Logan missed Three Point Jumper.,58,53
0:01,2026,Appalachian St Deadball Team Rebound.,58,53
0:00,2026,End of Game,58,53
