Tulsa,2031,Little Rock,202
0:43,202,Foul on Junior Etou.,31,42
0:43,202,Junior Etou Turnover.,31,42
0:28,2031,Jalen Jackson missed Jumper.,31,42
0:28,2031,Lis Shoshi Offensive Rebound.,31,42
0:11,2031,Little Rock  Timeout,31,42
0:04,2031,Lis Shoshi made Three Point Jumper. Assisted by Marcus Johnson Jr..,31,45
0:00,2031,End of 1st half,31,45
19:47,2031,Foul on Lis Shoshi.,31,45
19:47,202,Will Magnay made Free Throw.,32,45
19:47,202,Will Magnay made Free Throw.,33,45
19:28,2031,Maurius Hill missed Jumper.,33,45
19:28,202,Will Magnay Block.,33,45
19:28,2031,Little Rock Offensive Rebound.,33,45
19:28,2031,Maurius Hill made Jumper. Assisted by Jalen Jackson.,33,47
19:11,202,Junior Etou Turnover.,33,47
18:55,2031,Lis Shoshi Turnover.,33,47
18:30,202,Junior Etou made Layup.,35,47
18:05,2031,Jalen Jackson Turnover.,35,47
17:54,2031,Foul on Jalen Jackson.,35,47
17:54,202,Will Magnay missed Free Throw.,35,47
17:54,202,Tulsa Deadball Team Rebound.,35,47
17:54,202,Will Magnay made Free Throw.,36,47
17:30,2031,Marcus Johnson Jr. missed Jumper.,36,47
17:30,202,Will Magnay Defensive Rebound.,36,47
17:14,202,Jaleel Wheeler missed Jumper.,36,47
17:14,2031,Kemy Osse Defensive Rebound.,36,47
17:01,2031,Maurius Hill missed Three Point Jumper.,36,47
17:01,202,Jaleel Wheeler Defensive Rebound.,36,47
16:51,202,Jaleel Wheeler missed Layup.,36,47
16:51,2031,Kemy Osse Defensive Rebound.,36,47
16:34,2031,Jalen Jackson missed Three Point Jumper.,36,47
16:34,202,Jaleel Wheeler Defensive Rebound.,36,47
16:05,202,Will Magnay made Layup.,38,47
15:45,2031,Oliver Black missed Layup.,38,47
15:45,202,Will Magnay Block.,38,47
15:41,202,Will Magnay Defensive Rebound.,38,47
15:22,202,Will Magnay made Layup. Assisted by Jaleel Wheeler.,40,47
15:22,2031,Foul on Maurius Hill.,40,47
15:22,2031,Official TV Timeout,40,47
15:22,202,Will Magnay made Free Throw.,41,47
14:51,2031,Kemy Osse made Layup.,41,49
14:41,202,Sterling Taplin made Layup.,43,49
14:17,2031,Marcus Johnson Jr. missed Jumper.,43,49
14:17,2031,Maurius Hill Offensive Rebound.,43,49
14:12,2031,Jalen Jackson missed Layup.,43,49
14:12,202,Junior Etou Defensive Rebound.,43,49
14:04,202,Pat Birt made Layup.,45,49
14:04,2031,Foul on Oliver Black.,45,49
14:04,202,Pat Birt missed Free Throw.,45,49
14:04,2031,Oliver Black Defensive Rebound.,45,49
13:46,202,Foul on Sterling Taplin.,45,49
13:34,2031,Lis Shoshi made Jumper. Assisted by Marcus Johnson Jr..,45,51
13:08,202,Corey Henderson Jr. made Jumper.,47,51
12:34,2031,Marcus Johnson Jr. missed Jumper.,47,51
12:34,202,TK Edogi Defensive Rebound.,47,51
12:13,202,Sterling Taplin missed Three Point Jumper.,47,51
12:13,2031,Lis Shoshi Defensive Rebound.,47,51
12:05,2031,Deondre Burns missed Three Point Jumper.,47,51
12:05,2031,Lis Shoshi Offensive Rebound.,47,51
12:01,202,Foul on Martins Igbanu.,47,51
12:01,2031,Lis Shoshi missed Free Throw.,47,51
12:01,2031,Little Rock Deadball Team Rebound.,47,51
12:01,2031,Lis Shoshi made Free Throw.,47,52
11:55,202,Junior Etou Turnover.,47,52
11:55,2031,Official TV Timeout,47,52
11:40,2031,Deondre Burns made Jumper.,47,54
11:21,202,Jaleel Wheeler missed Three Point Jumper.,47,54
11:21,2031,Deondre Burns Defensive Rebound.,47,54
11:07,2031,Oliver Black made Layup. Assisted by Marcus Johnson Jr..,47,56
10:54,202,Junior Etou missed Three Point Jumper.,47,56
10:54,2031,Lis Shoshi Defensive Rebound.,47,56
10:39,2031,Deondre Burns missed Layup.,47,56
10:39,202,Junior Etou Defensive Rebound.,47,56
10:34,202,Pat Birt missed Three Point Jumper.,47,56
10:34,2031,Marcus Johnson Jr. Defensive Rebound.,47,56
10:14,2031,Deondre Burns Turnover.,47,56
10:09,202,Pat Birt Steal.,47,56
10:00,202,Corey Henderson Jr. made Layup.,49,56
9:52,2031,Lis Shoshi Turnover.,49,56
9:47,202,Jaleel Wheeler made Layup. Assisted by Will Magnay.,51,56
9:44,2031,Foul on Lis Shoshi.,51,56
9:44,202,Jaleel Wheeler made Free Throw.,52,56
9:33,2031,Andre Jones made Jumper.,52,58
9:15,202,Martins Igbanu Turnover.,52,58
8:54,202,Foul on Corey Henderson Jr..,52,58
8:54,2031,Marcus Johnson Jr. made Free Throw.,52,59
8:54,2031,Marcus Johnson Jr. made Free Throw.,52,60
8:37,202,Corey Henderson Jr. missed Three Point Jumper.,52,60
8:37,2031,Maurius Hill Defensive Rebound.,52,60
8:19,2031,Jalen Jackson missed Jumper.,52,60
8:19,2031,Little Rock Offensive Rebound.,52,60
8:15,2031,Oliver Black missed Jumper.,52,60
8:15,202,Jaleel Wheeler Defensive Rebound.,52,60
8:01,202,Will Magnay missed Layup.,52,60
8:01,202,Tulsa Offensive Rebound.,52,60
7:59,2031,Official TV Timeout,52,60
7:46,202,Pat Birt missed Jumper.,52,60
7:46,2031,Jalen Jackson Defensive Rebound.,52,60
7:22,2031,Foul on Jalen Jackson.,52,60
7:22,2031,Jalen Jackson Turnover.,52,60
7:05,202,Jaleel Wheeler Turnover.,52,60
6:56,2031,Deondre Burns missed Jumper.,52,60
6:56,202,Will Magnay Defensive Rebound.,52,60
6:37,202,Foul on Junior Etou.,52,60
6:37,202,Junior Etou Turnover.,52,60
6:15,2031,Maurius Hill missed Layup.,52,60
6:15,202,Will Magnay Block.,52,60
6:13,202,Lawson Korita Defensive Rebound.,52,60
5:59,202,Junior Etou made Layup. Assisted by Will Magnay.,54,60
5:35,2031,Deondre Burns missed Jumper.,54,60
5:35,202,Will Magnay Block.,54,60
5:32,202,Will Magnay Defensive Rebound.,54,60
5:27,202,Corey Henderson Jr. missed Three Point Jumper.,54,60
5:27,2031,Jalen Jackson Defensive Rebound.,54,60
5:06,202,Foul on Junior Etou.,54,60
4:53,2031,Oliver Black missed Layup.,54,60
4:53,2031,Lis Shoshi Offensive Rebound.,54,60
4:49,2031,Lis Shoshi made Layup.,54,62
4:49,202,Foul on Will Magnay.,54,62
4:49,2031,Lis Shoshi made Free Throw.,54,63
4:31,202,Corey Henderson Jr. Turnover.,54,63
4:30,2031,Kemy Osse missed Jumper.,54,63
4:30,202,Jaleel Wheeler Defensive Rebound.,54,63
4:30,202,Travis Atson missed Three Point Jumper.,54,63
4:30,2031,Little Rock Defensive Rebound.,54,63
3:35,2031,Marcus Johnson Jr. made Layup.,54,65
3:14,202,Pat Birt made Jumper. Assisted by Corey Henderson Jr..,56,65
2:57,2031,Marcus Johnson Jr. missed Jumper.,56,65
2:57,2031,Oliver Black Offensive Rebound.,56,65
2:54,2031,Oliver Black made Layup.,56,67
2:39,202,Will Magnay missed Jumper.,56,67
2:39,2031,Oliver Black Block.,56,67
2:36,2031,Kemy Osse Defensive Rebound.,56,67
2:04,2031,Deondre Burns made Layup.,56,69
1:48,2031,Foul on Lis Shoshi.,56,69
1:48,202,Corey Henderson Jr. missed Free Throw.,56,69
1:48,202,Tulsa Deadball Team Rebound.,56,69
1:48,202,Corey Henderson Jr. made Free Throw.,57,69
1:29,202,Foul on Will Magnay.,57,69
1:29,2031,Marcus Johnson Jr. missed Free Throw.,57,69
1:29,2031,Little Rock Deadball Team Rebound.,57,69
1:29,2031,Marcus Johnson Jr. made Free Throw.,57,70
1:14,2031,Foul on Lis Shoshi.,57,70
1:14,202,Will Magnay missed Free Throw.,57,70
1:14,202,Tulsa Deadball Team Rebound.,57,70
1:14,202,Will Magnay made Free Throw.,58,70
1:03,2031,Maurius Hill made Layup.,58,72
0:50,202,Jaleel Wheeler made Layup.,60,72
0:50,2031,Foul on Deondre Burns.,60,72
0:50,202,Jaleel Wheeler missed Free Throw.,60,72
0:50,2031,Maurius Hill Defensive Rebound.,60,72
0:25,2031,Marcus Johnson Jr. Turnover.,60,72
0:20,202,Corey Henderson Jr. Steal.,60,72
0:16,202,Corey Henderson Jr. made Layup.,62,72
0:09,2031,Maurius Hill Turnover.,62,72
0:08,202,Corey Henderson Jr. Steal.,62,72
0:04,202,Corey Henderson Jr. Turnover.,62,72
0:00,2031,End of Game,62,72
