DePaul,77,Northwestern,305
8:05,77,Vic Law made Free Throw.,11,39
7:39,305,Billy Garrett Jr. missed Jumper.,11,39
7:39,77,Sanjay Lumpkin Block.,11,39
7:37,305,Billy Garrett Jr. Offensive Rebound.,11,39
7:35,305,Devin Gage made Jumper. Assisted by Billy Garrett Jr..,13,39
7:12,77,Jordan Ash missed Three Point Jumper.,13,39
7:12,77,Jordan Ash Offensive Rebound.,13,39
7:02,77,Bryant McIntosh missed Three Point Jumper.,13,39
7:02,77,Northwestern Offensive Rebound.,13,39
6:58,77,Official TV Timeout,13,39
6:56,305,Foul on Tre'Darius McCallum.,13,39
6:56,77,Gavin Skelly made Free Throw.,13,40
6:56,77,Gavin Skelly made Free Throw.,13,41
6:41,305,Billy Garrett Jr. missed Jumper.,13,41
6:41,305,DePaul Offensive Rebound.,13,41
6:26,305,Tre'Darius McCallum missed Three Point Jumper.,13,41
6:26,77,Scottie Lindsey Defensive Rebound.,13,41
5:58,77,Barret Benson missed Layup.,13,41
5:58,77,Barret Benson Offensive Rebound.,13,41
5:54,77,Scottie Lindsey Turnover.,13,41
5:52,305,Devin Gage Steal.,13,41
5:50,305,Chris Harrison-Docks missed Three Point Jumper.,13,41
5:50,77,Scottie Lindsey Defensive Rebound.,13,41
5:44,77,Sanjay Lumpkin made Layup. Assisted by Jordan Ash.,13,43
5:19,305,Devin Gage missed Three Point Jumper.,13,43
5:19,77,Sanjay Lumpkin Defensive Rebound.,13,43
4:47,305,Foul on Darrick Wood.,13,43
4:47,77,Bryant McIntosh made Free Throw.,13,44
4:47,77,Bryant McIntosh made Free Throw.,13,45
4:35,77,Foul on Barret Benson.,13,45
4:35,305,Al Eichelberger missed Free Throw.,13,45
4:35,305,DePaul Deadball Team Rebound.,13,45
4:35,305,Al Eichelberger made Free Throw.,14,45
4:18,77,Sanjay Lumpkin missed Jumper.,14,45
4:18,305,DePaul Defensive Rebound.,14,45
4:16,77,Foul on Isiah Brown.,14,45
3:59,77,Foul on Isiah Brown.,14,45
3:59,77,Official TV Timeout,14,45
3:50,305,Eli Cain missed Jumper.,14,45
3:50,77,Bryant McIntosh Defensive Rebound.,14,45
3:44,77,Scottie Lindsey missed Layup.,14,45
3:44,305,Billy Garrett Jr. Defensive Rebound.,14,45
3:44,77,Foul on Scottie Lindsey.,14,45
3:44,305,Billy Garrett Jr. missed Free Throw.,14,45
3:44,77,Sanjay Lumpkin Defensive Rebound.,14,45
3:30,77,Vic Law made Layup. Assisted by Sanjay Lumpkin.,14,47
3:09,305,Billy Garrett Jr. Turnover.,14,47
3:08,77,Vic Law Steal.,14,47
3:05,77,Bryant McIntosh missed Layup.,14,47
3:05,305,Darrick Wood Defensive Rebound.,14,47
2:58,305,Brandon Cyrus missed Jumper.,14,47
2:58,77,Gavin Skelly Block.,14,47
2:56,77,Vic Law Defensive Rebound.,14,47
2:53,77,Scottie Lindsey made Dunk. Assisted by Vic Law.,14,49
2:34,305,Foul on Darrick Wood.,14,49
2:34,305,Darrick Wood Turnover.,14,49
2:15,77,Gavin Skelly made Layup. Assisted by Scottie Lindsey.,14,51
2:05,305,Billy Garrett Jr. Turnover.,14,51
1:37,77,Gavin Skelly missed Three Point Jumper.,14,51
1:37,305,Eli Cain Defensive Rebound.,14,51
1:28,77,Foul on Vic Law.,14,51
1:28,305,Eli Cain made Free Throw.,15,51
1:28,305,Eli Cain made Free Throw.,16,51
1:16,77,Gavin Skelly made Layup. Assisted by Vic Law.,16,53
1:16,305,Foul on Eli Cain.,16,53
1:16,77,Gavin Skelly made Free Throw.,16,54
0:54,305,Tre'Darius McCallum missed Three Point Jumper.,16,54
0:54,77,Northwestern Defensive Rebound.,16,54
0:50,77,Northwestern  Timeout,16,54
0:41,77,Bryant McIntosh Turnover.,16,54
0:39,305,Rj Carrington Steal.,16,54
0:32,305,Chris Harrison-Docks missed Three Point Jumper.,16,54
0:32,305,Chris Harrison-Docks Offensive Rebound.,16,54
0:21,305,Joe Hanel missed Jumper.,16,54
0:21,305,DePaul Offensive Rebound.,16,54
0:12,305,Eli Cain made Jumper.,18,54
0:03,77,Scottie Lindsey missed Layup.,18,54
0:03,77,Sanjay Lumpkin Offensive Rebound.,18,54
0:00,77,Sanjay Lumpkin missed Jumper.,18,54
0:00,77,Scottie Lindsey Offensive Rebound.,18,54
0:00,77,Scottie Lindsey missed Layup.,18,54
0:00,305,DePaul Defensive Rebound.,18,54
0:00,77,End of 1st half,18,54
19:43,77,Scottie Lindsey missed Three Point Jumper.,18,54
19:43,77,Sanjay Lumpkin Offensive Rebound.,18,54
19:31,77,Bryant McIntosh Turnover.,18,54
19:30,305,Devin Gage Steal.,18,54
19:27,77,Foul on Sanjay Lumpkin.,18,54
19:27,305,Devin Gage made Free Throw.,19,54
19:27,305,Devin Gage made Free Throw.,20,54
19:13,77,Vic Law missed Jumper.,20,54
19:13,305,Tre'Darius McCallum Defensive Rebound.,20,54
19:04,305,Tre'Darius McCallum missed Jumper.,20,54
19:04,305,Eli Cain Offensive Rebound.,20,54
18:57,305,Eli Cain Turnover.,20,54
18:55,77,Barret Benson Steal.,20,54
18:49,77,Vic Law missed Jumper.,20,54
18:49,77,Vic Law Offensive Rebound.,20,54
18:44,77,Bryant McIntosh made Jumper. Assisted by Scottie Lindsey.,20,56
18:19,305,Devin Gage missed Three Point Jumper.,20,56
18:19,77,Northwestern Defensive Rebound.,20,56
18:02,305,Foul on Tre'Darius McCallum.,20,56
17:37,77,Bryant McIntosh missed Three Point Jumper.,20,56
17:37,77,Sanjay Lumpkin Offensive Rebound.,20,56
17:27,77,Bryant McIntosh Turnover.,20,56
17:27,305,Tre'Darius McCallum Steal.,20,56
17:27,77,Foul on Bryant McIntosh.,20,56
17:12,77,Foul on Bryant McIntosh.,20,56
17:01,305,Brandon Cyrus missed Jumper.,20,56
17:01,305,DePaul Offensive Rebound.,20,56
16:59,77,Foul on Barret Benson.,20,56
16:40,305,Levi Cook Turnover.,20,56
16:39,77,Vic Law Steal.,20,56
16:36,77,Vic Law made Layup.,20,58
16:23,305,Chris Harrison-Docks missed Three Point Jumper.,20,58
16:23,305,Darrick Wood Offensive Rebound.,20,58
16:14,305,Billy Garrett Jr. missed Jumper.,20,58
16:14,305,Levi Cook Offensive Rebound.,20,58
16:11,305,Levi Cook made Two Point Tip Shot.,22,58
15:51,77,Scottie Lindsey made Three Point Jumper. Assisted by Isiah Brown.,22,61
15:21,305,Levi Cook made Jumper. Assisted by Darrick Wood.,24,61
15:01,77,Isiah Brown missed Jumper.,24,61
15:01,305,Levi Cook Block.,24,61
15:00,305,Levi Cook Defensive Rebound.,24,61
14:56,77,Foul on Isiah Brown.,24,61
14:56,77,Official TV Timeout,24,61
14:56,77,Foul on Vic Law.,24,61
14:48,77,Foul on Gavin Skelly.,24,61
14:45,305,Levi Cook missed Free Throw.,24,61
14:45,77,Scottie Lindsey Defensive Rebound.,24,61
14:24,305,Foul on Tre'Darius McCallum.,24,61
14:16,77,Northwestern  Timeout,24,61
13:59,77,Jordan Ash missed Three Point Jumper.,24,61
13:59,305,DePaul Defensive Rebound.,24,61
13:48,305,Darrick Wood made Jumper. Assisted by Chris Harrison-Docks.,26,61
13:39,77,Foul on Nathan Taphorn.,26,61
13:39,77,Nathan Taphorn Turnover.,26,61
13:24,305,Foul on Levi Cook.,26,61
13:24,305,Levi Cook Turnover.,26,61
13:10,77,Isiah Brown missed Layup.,26,61
13:10,305,Rj Carrington Defensive Rebound.,26,61
13:04,305,Chris Harrison-Docks missed Three Point Jumper.,26,61
13:04,305,Darrick Wood Offensive Rebound.,26,61
12:59,77,Foul on Nathan Taphorn.,26,61
12:59,305,Darrick Wood made Free Throw.,27,61
12:59,305,Darrick Wood missed Free Throw.,27,61
12:59,77,Gavin Skelly Defensive Rebound.,27,61
12:51,305,Foul on Levi Cook.,27,61
12:51,77,Isiah Brown made Free Throw.,27,62
12:51,77,Isiah Brown made Free Throw.,27,63
12:44,305,Chris Harrison-Docks made Jumper.,29,63
12:27,77,Isiah Brown missed Three Point Jumper.,29,63
12:27,305,Joe Hanel Defensive Rebound.,29,63
12:18,77,Foul on Isiah Brown.,29,63
12:18,305,Billy Garrett Jr. made Free Throw.,30,63
12:18,305,Billy Garrett Jr. made Free Throw.,31,63
11:49,77,Bryant McIntosh Turnover.,31,63
11:47,305,Billy Garrett Jr. Steal.,31,63
11:40,305,Billy Garrett Jr. missed Layup.,31,63
11:40,77,Bryant McIntosh Defensive Rebound.,31,63
11:36,305,Foul on Rj Carrington.,31,63
11:36,77,Official TV Timeout,31,63
11:36,77,Gavin Skelly missed Free Throw.,31,63
11:36,77,Northwestern Deadball Team Rebound.,31,63
11:36,77,Gavin Skelly made Free Throw.,31,64
11:24,305,Darrick Wood made Layup. Assisted by Joe Hanel.,33,64
11:24,77,Foul on Barret Benson.,33,64
11:24,305,Darrick Wood missed Free Throw.,33,64
11:24,77,Sanjay Lumpkin Defensive Rebound.,33,64
10:55,77,Sanjay Lumpkin missed Layup.,33,64
10:55,305,DePaul Defensive Rebound.,33,64
10:49,305,Chris Harrison-Docks made Three Point Jumper.,36,64
10:17,77,Vic Law made Three Point Jumper. Assisted by Scottie Lindsey.,36,67
9:56,305,Darrick Wood missed Jumper.,36,67
9:56,77,Bryant McIntosh Defensive Rebound.,36,67
9:48,77,Vic Law made Three Point Jumper. Assisted by Bryant McIntosh.,36,70
9:36,77,Foul on Bryant McIntosh.,36,70
9:36,305,Joe Hanel made Free Throw.,37,70
9:36,305,Joe Hanel made Free Throw.,38,70
9:11,77,Vic Law missed Three Point Jumper.,38,70
9:11,305,Billy Garrett Jr. Defensive Rebound.,38,70
8:49,305,Rj Carrington missed Jumper.,38,70
8:49,77,Sanjay Lumpkin Block.,38,70
8:48,77,Northwestern Defensive Rebound.,38,70
8:39,77,Northwestern  Turnover.,38,70
8:30,305,Chris Harrison-Docks made Jumper.,40,70
8:14,77,Scottie Lindsey missed Jumper.,40,70
8:14,305,Joe Hanel Block.,40,70
8:11,305,Eli Cain Defensive Rebound.,40,70
8:07,305,Eli Cain missed Layup.,40,70
8:07,305,Darrick Wood Offensive Rebound.,40,70
8:05,305,Darrick Wood made Layup.,42,70
7:54,305,Foul on Chris Harrison-Docks.,42,70
7:54,77,Official TV Timeout,42,70
7:45,77,Vic Law missed Jumper.,42,70
7:45,305,Darrick Wood Block.,42,70
7:43,305,Eli Cain Defensive Rebound.,42,70
7:40,77,Foul on Sanjay Lumpkin.,42,70
7:40,305,Billy Garrett Jr. made Free Throw.,43,70
7:40,305,Billy Garrett Jr. made Free Throw.,44,70
7:16,77,Gavin Skelly made Layup. Assisted by Scottie Lindsey.,44,72
6:58,305,Darrick Wood missed Jumper.,44,72
6:58,77,Barret Benson Block.,44,72
6:56,305,Joe Hanel Offensive Rebound.,44,72
6:53,305,Joe Hanel missed Layup.,44,72
6:53,305,Darrick Wood Offensive Rebound.,44,72
6:48,305,Darrick Wood missed Jumper.,44,72
6:48,77,Sanjay Lumpkin Block.,44,72
6:47,77,Barret Benson Defensive Rebound.,44,72
6:40,305,Foul on Eli Cain.,44,72
6:40,77,Barret Benson made Free Throw.,44,73
6:40,77,Barret Benson missed Free Throw.,44,73
6:40,77,Northwestern Deadball Team Rebound.,44,73
6:38,305,Foul on Joe Hanel.,44,73
6:38,77,Isiah Brown missed Free Throw.,44,73
6:38,305,Joe Hanel Defensive Rebound.,44,73
6:18,305,Darrick Wood made Layup.,46,73
6:18,77,Foul on Sanjay Lumpkin.,46,73
6:18,305,Darrick Wood made Free Throw.,47,73
6:13,77,Isiah Brown Turnover.,47,73
6:02,305,Chris Harrison-Docks missed Three Point Jumper.,47,73
6:02,305,Joe Hanel Offensive Rebound.,47,73
6:02,77,Foul on Nathan Taphorn.,47,73
6:02,305,Joe Hanel made Free Throw.,48,73
6:02,305,Joe Hanel made Free Throw.,49,73
5:34,77,Scottie Lindsey missed Jumper.,49,73
5:34,305,Rj Carrington Defensive Rebound.,49,73
5:25,305,Billy Garrett Jr. missed Three Point Jumper.,49,73
5:25,77,Northwestern Defensive Rebound.,49,73
5:25,305,Foul on Darrick Wood.,49,73
5:25,77,Nathan Taphorn made Free Throw.,49,74
5:25,77,Nathan Taphorn made Free Throw.,49,75
5:06,305,Darrick Wood missed Jumper.,49,75
5:06,77,Bryant McIntosh Defensive Rebound.,49,75
4:58,77,Isiah Brown missed Jumper.,49,75
4:58,305,Chris Harrison-Docks Defensive Rebound.,49,75
4:46,305,Joe Hanel made Layup. Assisted by Rj Carrington.,51,75
4:23,305,Foul on Joe Hanel.,51,75
4:23,77,Isiah Brown made Free Throw.,51,76
4:23,77,Isiah Brown made Free Throw.,51,77
4:07,77,Foul on Nathan Taphorn.,51,77
4:07,305,Joe Hanel missed Free Throw.,51,77
4:07,305,DePaul Deadball Team Rebound.,51,77
4:07,305,Joe Hanel made Free Throw.,52,77
3:45,305,Foul on Tre'Darius McCallum.,52,77
3:45,77,Official TV Timeout,52,77
3:45,77,Nathan Taphorn made Free Throw.,52,78
3:45,77,Nathan Taphorn missed Free Throw.,52,78
3:45,305,Billy Garrett Jr. Defensive Rebound.,52,78
3:44,77,Foul on Nathan Taphorn.,52,78
3:44,305,Billy Garrett Jr. made Free Throw.,53,78
3:44,305,Billy Garrett Jr. made Free Throw.,54,78
3:12,77,Isiah Brown missed Jumper.,54,78
3:12,305,Joe Hanel Block.,54,78
3:10,305,Joe Hanel Defensive Rebound.,54,78
3:03,305,Rj Carrington missed Three Point Jumper.,54,78
3:03,305,Darrick Wood Offensive Rebound.,54,78
2:56,305,Darrick Wood made Layup.,56,78
2:56,77,Foul on Jordan Ash.,56,78
2:56,305,Darrick Wood made Free Throw.,57,78
2:35,77,Isiah Brown missed Jumper.,57,78
2:35,305,Billy Garrett Jr. Defensive Rebound.,57,78
2:22,77,Foul on Isiah Brown.,57,78
2:22,305,Darrick Wood missed Free Throw.,57,78
2:22,305,DePaul Deadball Team Rebound.,57,78
2:22,305,Darrick Wood missed Free Throw.,57,78
2:22,77,Barret Benson Defensive Rebound.,57,78
2:16,77,Barret Benson Turnover.,57,78
2:15,305,Rj Carrington Steal.,57,78
2:13,305,Billy Garrett Jr. made Three Point Jumper. Assisted by Chris Harrison-Docks.,60,78
1:39,77,Gavin Skelly missed Layup.,60,78
1:39,77,Gavin Skelly Offensive Rebound.,60,78
1:37,77,Gavin Skelly made Layup.,60,80
1:20,305,Rj Carrington missed Layup.,60,80
1:20,77,Vic Law Defensive Rebound.,60,80
1:14,305,Foul on Joe Hanel.,60,80
1:14,77,Barret Benson missed Free Throw.,60,80
1:14,77,Northwestern Deadball Team Rebound.,60,80
1:14,77,Barret Benson missed Free Throw.,60,80
1:14,305,Darrick Wood Defensive Rebound.,60,80
1:01,77,Foul on Jordan Ash.,60,80
1:01,305,Billy Garrett Jr. made Free Throw.,61,80
1:01,305,Billy Garrett Jr. made Free Throw.,62,80
0:44,77,Scottie Lindsey Turnover.,62,80
0:42,305,Billy Garrett Jr. Steal.,62,80
0:39,305,Darrick Wood made Layup. Assisted by Billy Garrett Jr..,64,80
0:08,77,Scottie Lindsey missed Three Point Jumper.,64,80
0:08,305,Rj Carrington Defensive Rebound.,64,80
0:02,305,Billy Garrett Jr. missed Three Point Jumper.,64,80
0:02,77,Gavin Skelly Defensive Rebound.,64,80
0:00,77,End of Game,64,80
