Campbell,2142,Colgate,2097
7:20,2097,Cory Gensler missed Three Point Jumper.,51,48
7:20,2142,Sean O'Brien Defensive Rebound.,51,48
7:09,2142,Will Rayman missed Layup.,51,48
7:09,2097,Andrew Eudy Block.,51,48
7:04,2142,Will Rayman Offensive Rebound.,51,48
7:02,2097,Foul on Chris Clemons.,51,48
7:02,2142,Will Rayman missed Free Throw.,51,48
7:02,2142,Colgate Deadball Team Rebound.,51,48
7:02,2142,Will Rayman made Free Throw.,51,49
6:51,2142,Sean O'Brien Turnover.,51,49
6:38,2142,Malcolm Regisford made Layup.,51,51
6:17,2097,Chris Clemons made Jumper.,53,51
5:39,2097,Foul on Cory Gensler.,53,51
5:39,2142,Will Rayman made Free Throw.,53,52
5:39,2142,Will Rayman made Free Throw.,53,53
5:20,2097,Austin Burnette missed Three Point Jumper.,53,53
5:20,2142,Jordan Swopshire Defensive Rebound.,53,53
5:04,2142,Malcolm Regisford missed Jumper.,53,53
5:04,2097,Chris Clemons Defensive Rebound.,53,53
4:54,2142,Foul on Malcolm Regisford.,53,53
4:54,2097,Shane Whitfield missed Free Throw.,53,53
4:54,2097,Campbell Deadball Team Rebound.,53,53
4:54,2097,Shane Whitfield made Free Throw.,54,53
4:38,2142,Will Rayman Turnover.,54,53
4:37,2097,Kyre' Hamer Steal.,54,53
4:33,2097,Kyre' Hamer made Layup.,56,53
4:19,2142,Will Rayman made Layup.,56,55
3:50,2097,Kyre' Hamer missed Jumper.,56,55
3:50,2142,Malcolm Regisford Defensive Rebound.,56,55
3:33,2142,Colgate  Timeout,56,55
3:29,2142,Will Rayman made Jumper.,56,57
3:13,2097,Chris Clemons made Three Point Jumper. Assisted by Kyre' Hamer.,59,57
2:50,2142,Will Rayman missed Three Point Jumper.,59,57
2:50,2097,Andrew Eudy Defensive Rebound.,59,57
2:34,2097,Foul on Chris Clemons.,59,57
2:34,2097,Chris Clemons Turnover.,59,57
2:22,2142,Malcolm Regisford made Jumper. Assisted by Will Rayman.,59,59
2:03,2097,Chris Clemons missed Jumper.,59,59
2:03,2097,Andrew Eudy Offensive Rebound.,59,59
1:59,2097,Andrew Eudy missed Layup.,59,59
1:59,2142,Will Rayman Defensive Rebound.,59,59
1:46,2142,Sean O'Brien Turnover.,59,59
1:43,2097,Cory Gensler made Layup. Assisted by Shane Whitfield.,61,59
1:22,2097,Foul on Shane Whitfield.,61,59
1:22,2142,Will Rayman made Free Throw.,61,60
1:22,2142,Will Rayman made Free Throw.,61,61
1:14,2097,Foul on Chris Clemons.,61,61
0:50,2142,Malcolm Regisford made Layup. Assisted by Sean O'Brien.,61,63
0:30,2097,Kyre' Hamer made Three Point Jumper. Assisted by Austin Burnette.,64,63
