Holy Cross,160,New Hampshire,107
16:59,107,Patrick Benzan missed Jumper.,36,24
16:59,160,Daniel Dion Defensive Rebound.,36,24
16:49,160,Daniel Dion made Three Point Jumper. Assisted by Iba Camara.,36,27
16:32,160,Foul on Jaleen Smith.,36,27
16:27,107,Malachi Alexander made Jumper.,38,27
16:17,160,Daniel Dion missed Three Point Jumper.,38,27
16:17,160,Jaleen Smith Offensive Rebound.,38,27
16:10,160,Jordan Reed made Layup.,38,29
15:42,107,Malachi Alexander missed Jumper.,38,29
15:42,160,Tanner Leissner Defensive Rebound.,38,29
15:27,107,Foul on Matt Husek.,38,29
15:27,160,Official TV Timeout,38,29
15:18,160,Iba Camara made Layup.,38,31
14:57,160,Foul on Tanner Leissner.,38,31
14:46,107,Robert Champion missed Jumper.,38,31
14:46,160,Iba Camara Defensive Rebound.,38,31
14:27,160,Iba Camara made Layup. Assisted by Jaleen Smith.,38,33
14:09,107,Robert Champion missed Three Point Jumper.,38,33
14:09,160,Jordan Reed Defensive Rebound.,38,33
13:48,160,Iba Camara Turnover.,38,33
13:47,107,Anthony Thompson Steal.,38,33
13:40,107,Anthony Thompson Turnover.,38,33
13:39,160,Jaleen Smith Steal.,38,33
13:29,160,Iba Camara made Layup. Assisted by Daniel Dion.,38,35
12:58,107,Matt Husek missed Three Point Jumper.,38,35
12:58,160,Iba Camara Defensive Rebound.,38,35
12:30,160,Keon Burns missed Jumper.,38,35
12:30,107,Matt Zignorski Defensive Rebound.,38,35
12:09,107,Malachi Alexander made Dunk.,40,35
12:09,160,Foul on Iba Camara.,40,35
12:09,107,Malachi Alexander missed Free Throw.,40,35
12:09,160,Iba Camara Defensive Rebound.,40,35
11:47,160,David Watkins missed Three Point Jumper.,40,35
11:47,107,Robert Champion Defensive Rebound.,40,35
11:39,160,Official TV Timeout,40,35
11:34,107,Matt Zignorski made Layup. Assisted by Karl Charles.,42,35
11:04,160,Jaleen Smith Turnover.,42,35
11:04,160,Foul on Jaleen Smith.,42,35
10:46,107,Malachi Alexander missed Jumper.,42,35
10:46,160,David Watkins Defensive Rebound.,42,35
10:27,160,Jordan Reed Turnover.,42,35
10:25,107,Anthony Thompson Steal.,42,35
10:24,107,Anthony Thompson Turnover.,42,35
10:18,160,Jordan Reed Steal.,42,35
10:05,160,David Watkins made Three Point Jumper. Assisted by Jordan Reed.,42,38
9:32,107,Matt Zignorski missed Jumper.,42,38
9:32,107,Patrick Benzan Offensive Rebound.,42,38
9:15,107,Patrick Benzan missed Layup.,42,38
9:15,160,Jaleen Smith Block.,42,38
9:14,160,Tanner Leissner Defensive Rebound.,42,38
9:02,160,Jaleen Smith missed Jumper.,42,38
9:02,160,Jaleen Smith Offensive Rebound.,42,38
9:00,160,Jaleen Smith made Layup.,42,40
8:36,107,Matt Zignorski made Layup.,44,40
8:36,160,Foul on Daniel Dion.,44,40
8:36,107,Matt Zignorski missed Free Throw.,44,40
8:36,160,Tanner Leissner Defensive Rebound.,44,40
8:31,160,Daniel Dion missed Three Point Jumper.,44,40
8:31,107,Patrick Benzan Defensive Rebound.,44,40
7:49,107,Official TV Timeout,44,40
7:46,107,Patrick Benzan Turnover.,44,40
7:27,107,Foul on Robert Champion.,44,40
7:27,160,Tanner Leissner made Free Throw.,44,41
7:27,160,Tanner Leissner made Free Throw.,44,42
7:14,107,Karl Charles missed Layup.,44,42
7:14,107,Karl Charles Offensive Rebound.,44,42
7:09,107,Karl Charles missed Layup.,44,42
7:09,160,Iba Camara Defensive Rebound.,44,42
6:46,160,Daniel Dion missed Jumper.,44,42
6:46,107,Robert Champion Block.,44,42
6:44,160,Daniel Dion Offensive Rebound.,44,42
6:42,160,Daniel Dion missed Jumper.,44,42
6:42,160,Iba Camara Offensive Rebound.,44,42
6:39,107,Foul on Matt Husek.,44,42
6:39,160,Iba Camara missed Free Throw.,44,42
6:39,160,New Hampshire Deadball Team Rebound.,44,42
6:39,160,Iba Camara missed Free Throw.,44,42
6:39,107,Robert Champion Defensive Rebound.,44,42
6:21,107,Robert Champion Turnover.,44,42
6:01,160,Tanner Leissner made Dunk.,44,44
5:42,107,Robert Champion missed Three Point Jumper.,44,44
5:42,107,Holy Cross Offensive Rebound.,44,44
5:39,160,Foul on Jordan Reed.,44,44
5:39,107,Karl Charles missed Free Throw.,44,44
5:39,160,Iba Camara Defensive Rebound.,44,44
5:21,160,Iba Camara Turnover.,44,44
5:12,107,Anthony Thompson missed Three Point Jumper.,44,44
5:12,160,Daniel Dion Defensive Rebound.,44,44
4:55,160,Daniel Dion made Three Point Jumper. Assisted by Iba Camara.,44,47
4:40,107,Patrick Benzan missed Layup.,44,47
4:40,160,Iba Camara Defensive Rebound.,44,47
4:27,160,Daniel Dion missed Three Point Jumper.,44,47
4:27,160,New Hampshire Offensive Rebound.,44,47
4:25,107,Foul on Karl Charles.,44,47
4:25,160,Daniel Dion made Free Throw.,44,48
4:25,160,Daniel Dion made Free Throw.,44,49
4:24,160,Daniel Dion missed Free Throw.,44,49
4:24,107,Matt Zignorski Defensive Rebound.,44,49
4:14,107,Malachi Alexander missed Three Point Jumper.,44,49
4:14,160,Jaleen Smith Defensive Rebound.,44,49
3:57,160,Jordan Reed missed Three Point Jumper.,44,49
3:57,107,Matt Husek Defensive Rebound.,44,49
3:43,107,Robert Champion missed Three Point Jumper.,44,49
3:43,160,Iba Camara Defensive Rebound.,44,49
3:13,160,Tanner Leissner made Layup.,44,51
3:07,107,Foul on Robert Champion.,44,51
3:07,160,Official TV Timeout,44,51
3:06,160,Tanner Leissner missed Free Throw.,44,51
3:06,107,Malachi Alexander Defensive Rebound.,44,51
2:46,160,Foul on Jordan Reed.,44,51
2:46,107,Karl Charles made Free Throw.,45,51
2:46,107,Karl Charles made Free Throw.,46,51
2:24,160,Jordan Reed Turnover.,46,51
2:23,107,Karl Charles Steal.,46,51
2:21,107,Karl Charles made Layup.,48,51
2:21,160,Foul on Jordan Reed.,48,51
2:21,107,Karl Charles made Free Throw.,49,51
2:10,160,Daniel Dion missed Three Point Jumper.,49,51
2:10,160,Iba Camara Offensive Rebound.,49,51
2:04,160,Iba Camara Turnover.,49,51
2:02,107,Robert Champion Steal.,49,51
1:52,160,Foul on Jordan Reed.,49,51
1:52,107,Karl Charles made Free Throw.,50,51
1:52,107,Karl Charles made Free Throw.,51,51
1:33,160,Jaleen Smith missed Jumper.,51,51
1:33,160,New Hampshire Offensive Rebound.,51,51
1:17,160,David Watkins Turnover.,51,51
1:08,107,Malachi Alexander missed Layup.,51,51
1:08,160,New Hampshire Defensive Rebound.,51,51
0:45,160,Tanner Leissner made Three Point Jumper. Assisted by Jaleen Smith.,51,54
0:20,107,Patrick Benzan missed Layup.,51,54
0:20,107,Malachi Alexander Offensive Rebound.,51,54
0:19,107,Holy Cross  Timeout,51,54
0:16,107,Karl Charles made Layup.,53,54
0:14,107,Holy Cross  Timeout,53,54
0:13,107,Foul on Patrick Benzan.,53,54
0:13,160,Daniel Dion made Free Throw.,53,55
0:13,160,Daniel Dion made Free Throw.,53,56
0:13,160,New Hampshire  Timeout,53,56
0:02,107,Anthony Thompson missed Three Point Jumper.,53,56
0:02,107,Holy Cross Offensive Rebound.,53,56
0:01,160,Foul on Daniel Dion.,53,56
0:01,107,Anthony Thompson missed Free Throw.,53,56
0:01,107,Holy Cross Deadball Team Rebound.,53,56
0:01,160,New Hampshire  Timeout,53,56
0:01,107,Anthony Thompson missed Free Throw.,53,56
0:01,107,Holy Cross Deadball Team Rebound.,53,56
0:01,107,Holy Cross  Timeout,53,56
