San Diego State,2350,Loyola-Chicago,21
4:16,21,Malik Pope Turnover.,54,55
4:16,2350,Milton Doyle missed Jumper.,54,55
4:16,21,Trey Kell Defensive Rebound.,54,55
4:15,21,Trey Kell missed Three Point Jumper.,54,55
4:15,21,Valentine Izundu Offensive Rebound.,54,55
4:15,21,Valentine Izundu Turnover.,54,55
4:15,2350,Milton Doyle Steal.,54,55
3:44,2350,Official TV Timeout,54,55
3:23,2350,Vlatko Granic made Layup. Assisted by Aundre Jackson.,54,57
2:54,21,Malik Pope made Dunk.,56,57
2:20,2350,Aundre Jackson made Layup.,56,59
1:51,21,Jeremy Hemsley missed Jumper.,56,59
1:51,21,Trey Kell Offensive Rebound.,56,59
1:18,21,Jeremy Hemsley missed Layup.,56,59
1:18,2350,Milton Doyle Defensive Rebound.,56,59
0:49,2350,Ben Richardson made Jumper.,56,61
0:36,21,Trey Kell missed Three Point Jumper.,56,61
0:36,2350,Clayton Custer Defensive Rebound.,56,61
0:29,21,Foul on Jeremy Hemsley.,56,61
0:29,21,San Diego St  Timeout,56,61
0:28,21,Foul on Dakarai Allen.,56,61
0:28,2350,Loyola (CHI)  Timeout,56,61
0:27,21,Foul on Jeremy Hemsley.,56,61
0:27,2350,Clayton Custer missed Free Throw.,56,61
0:27,21,Malik Pope Defensive Rebound.,56,61
0:23,2350,Ben Richardson Turnover.,56,61
0:20,2350,Ben Richardson made Layup.,56,63
0:13,21,Trey Kell missed Three Point Jumper.,56,63
0:13,2350,Loyola (CHI) Defensive Rebound.,56,63
0:10,21,Foul on Zylan Cheatham.,56,63
0:10,2350,Bruno Skokna made Free Throw.,56,64
0:10,2350,Bruno Skokna made Free Throw.,56,65
0:05,21,Jeremy Hemsley made Three Point Jumper.,59,65
0:01,21,Foul on Jeremy Hemsley.,59,65
0:01,2350,Clayton Custer missed Free Throw.,59,65
0:01,21,Zylan Cheatham Defensive Rebound.,59,65
0:00,2350,End of Game,59,65
