Middle Tennessee,6,South Alabama,2393
13:42,6,South Alabama Offensive Rebound.,46,35
13:35,6,Josh Ajayi Turnover.,46,35
13:18,2393,Tyrik Dixon Turnover.,46,35
13:18,6,Josh Ajayi Steal.,46,35
13:02,6,Shaq Calhoun missed Jumper.,46,35
13:02,2393,Karl Gamble Block.,46,35
13:00,2393,Tyrik Dixon Defensive Rebound.,46,35
12:44,2393,Reggie Upshaw Turnover.,46,35
12:32,6,Ken Williams missed Three Point Jumper.,46,35
12:32,6,Don MuepoKelly Offensive Rebound.,46,35
12:27,6,Don MuepoKelly made Layup.,46,37
12:07,2393,Edward Simpson missed Three Point Jumper.,46,37
12:07,2393,Giddy Potts Offensive Rebound.,46,37
12:01,2393,Tyrik Dixon Turnover.,46,37
12:00,6,Don MuepoKelly Steal.,46,37
11:47,2393,Foul on Edward Simpson.,46,37
11:47,6,Official TV Timeout,46,37
11:47,6,Dederick Lee made Free Throw.,46,38
11:47,6,Dederick Lee missed Free Throw.,46,38
11:47,2393,JaCorey Williams Defensive Rebound.,46,38
11:20,2393,Giddy Potts missed Three Point Jumper.,46,38
11:20,2393,Edward Simpson Offensive Rebound.,46,38
10:47,2393,JaCorey Williams made Layup. Assisted by Edward Simpson.,48,38
10:34,6,Ken Williams Turnover.,48,38
10:27,2393,Reggie Upshaw made Dunk. Assisted by JaCorey Williams.,50,38
10:13,6,Nick Stover made Layup.,50,40
9:56,2393,JaCorey Williams missed Jumper.,50,40
9:56,6,Dederick Lee Defensive Rebound.,50,40
9:35,6,Don MuepoKelly made Layup.,50,42
9:22,2393,Middle Tennessee  Timeout,50,42
9:01,2393,JaCorey Williams missed Jumper.,50,42
9:01,6,Georgi Boyanov Defensive Rebound.,50,42
8:38,6,Nick Stover made Layup.,50,44
8:25,2393,JaCorey Williams made Jumper.,52,44
8:04,6,Ken Williams missed Three Point Jumper.,52,44
8:04,2393,Xavier Habersham Defensive Rebound.,52,44
7:42,6,Foul on Josh Ajayi.,52,44
7:42,6,Official TV Timeout,52,44
7:21,2393,Giddy Potts missed Jumper.,52,44
7:21,6,Don MuepoKelly Defensive Rebound.,52,44
7:07,6,Georgi Boyanov missed Three Point Jumper.,52,44
7:07,2393,Giddy Potts Defensive Rebound.,52,44
6:45,2393,Edward Simpson made Three Point Jumper. Assisted by Reggie Upshaw.,55,44
6:29,6,Dederick Lee missed Layup.,55,44
6:29,2393,JaCorey Williams Defensive Rebound.,55,44
6:07,2393,Reggie Upshaw missed Jumper.,55,44
6:07,6,Georgi Boyanov Defensive Rebound.,55,44
5:48,6,Don MuepoKelly missed Jumper.,55,44
5:48,2393,JaCorey Williams Defensive Rebound.,55,44
5:39,2393,JaCorey Williams Turnover.,55,44
5:38,6,Don MuepoKelly Steal.,55,44
5:32,2393,Foul on Reggie Upshaw.,55,44
5:32,6,Georgi Boyanov made Free Throw.,55,45
5:32,6,Georgi Boyanov made Free Throw.,55,46
5:03,2393,Giddy Potts missed Three Point Jumper.,55,46
5:03,2393,Middle Tennessee Offensive Rebound.,55,46
4:52,2393,Edward Simpson Turnover.,55,46
4:50,6,Shaq Calhoun Steal.,55,46
4:39,6,Nick Stover missed Layup.,55,46
4:39,2393,Brandon Walters Defensive Rebound.,55,46
4:12,2393,Reggie Upshaw missed Three Point Jumper.,55,46
4:12,2393,Reggie Upshaw Offensive Rebound.,55,46
3:58,2393,Edward Simpson Turnover.,55,46
3:57,6,Herb McGee Steal.,55,46
3:55,6,Herb McGee Turnover.,55,46
3:53,2393,Reggie Upshaw Steal.,55,46
3:52,2393,Brandon Walters made Layup. Assisted by Reggie Upshaw.,57,46
3:50,6,South Alabama  Timeout,57,46
3:40,6,Don MuepoKelly made Layup.,57,48
3:28,2393,Edward Simpson Turnover.,57,48
3:27,6,Nick Stover Steal.,57,48
3:19,6,Herb McGee missed Three Point Jumper.,57,48
3:19,6,Shaq Calhoun Offensive Rebound.,57,48
3:14,6,Shaq Calhoun missed Layup.,57,48
3:14,2393,Giddy Potts Block.,57,48
3:13,2393,Edward Simpson Defensive Rebound.,57,48
2:58,2393,Middle Tennessee  Timeout,57,48
2:46,2393,Tyrik Dixon missed Jumper.,57,48
2:46,2393,Brandon Walters Offensive Rebound.,57,48
2:42,6,Foul on Don MuepoKelly.,57,48
2:40,2393,Xavier Habersham made Layup. Assisted by Tyrik Dixon.,59,48
2:30,6,Nick Stover made Three Point Jumper. Assisted by Herb McGee.,59,51
2:27,6,South Alabama  Timeout,59,51
2:18,6,Foul on Georgi Boyanov.,59,51
1:52,2393,JaCorey Williams made Jumper. Assisted by Tyrik Dixon.,61,51
1:37,6,Nick Stover missed Three Point Jumper.,61,51
1:37,2393,Giddy Potts Defensive Rebound.,61,51
1:13,6,Foul on Ken Williams.,61,51
1:13,2393,Giddy Potts made Free Throw.,62,51
1:13,2393,Giddy Potts made Free Throw.,63,51
1:01,6,Georgi Boyanov missed Layup.,63,51
1:01,2393,Brandon Walters Defensive Rebound.,63,51
0:35,2393,Middle Tennessee  Turnover.,63,51
0:31,6,Ken Williams missed Jumper.,63,51
0:31,2393,Brandon Walters Defensive Rebound.,63,51
0:25,2393,Brandon Walters Turnover.,63,51
0:24,6,Shaq Calhoun Steal.,63,51
0:23,6,Don MuepoKelly made Layup.,63,53
0:23,2393,Foul on Brandon Walters.,63,53
0:23,6,Don MuepoKelly made Free Throw.,63,54
0:22,6,Foul on Nick Stover.,63,54
0:22,2393,JaCorey Williams made Free Throw.,64,54
0:22,2393,JaCorey Williams made Free Throw.,65,54
0:19,2393,Foul on Edward Simpson.,65,54
0:19,6,Herb McGee made Free Throw.,65,55
0:19,6,Herb McGee missed Free Throw.,65,55
0:19,2393,JaCorey Williams Defensive Rebound.,65,55
0:14,2393,JaCorey Williams made Dunk.,67,55
0:10,6,Ken Williams missed Three Point Jumper.,67,55
0:10,2393,Reggie Upshaw Defensive Rebound.,67,55
0:00,6,End of Game,67,55
