Stanford,2305,Kansas,24
13:34,2305,Foul on Landen Lucas.,14,11
13:34,2305,Landen Lucas Turnover.,14,11
13:24,24,Robert Cartwright made Three Point Jumper.,17,11
13:14,2305,Kansas  Timeout,17,11
13:02,2305,Lagerald Vick Turnover.,17,11
13:02,24,Marcus Sheffield Steal.,17,11
12:54,24,Marcus Sheffield missed Layup.,17,11
12:54,2305,Landen Lucas Block.,17,11
12:54,24,Stanford Offensive Rebound.,17,11
12:52,24,Foul on Dorian Pickens.,17,11
12:52,24,Dorian Pickens Turnover.,17,11
12:34,24,Foul on Reid Travis.,17,11
12:34,2305,Landen Lucas made Free Throw.,17,12
12:34,2305,Landen Lucas missed Free Throw.,17,12
12:34,24,Reid Travis Defensive Rebound.,17,12
12:10,24,Josh Sharma missed Jumper.,17,12
12:10,2305,Udoka Azubuike Block.,17,12
12:10,2305,Udoka Azubuike Defensive Rebound.,17,12
11:57,2305,Josh Jackson made Jumper. Assisted by Devonte' Graham.,17,14
11:30,24,Robert Cartwright missed Three Point Jumper.,17,14
11:30,2305,Landen Lucas Block.,17,14
11:30,24,Reid Travis Offensive Rebound.,17,14
11:27,24,Reid Travis missed Jumper.,17,14
11:27,2305,Landen Lucas Defensive Rebound.,17,14
11:18,2305,Devonte' Graham missed Three Point Jumper.,17,14
11:18,2305,Udoka Azubuike Offensive Rebound.,17,14
11:10,2305,Landen Lucas made Layup. Assisted by Udoka Azubuike.,17,16
10:53,24,Marcus Sheffield missed Jumper.,17,16
10:53,2305,Josh Jackson Defensive Rebound.,17,16
10:43,2305,Lagerald Vick missed Three Point Jumper.,17,16
10:43,24,Marcus Sheffield Defensive Rebound.,17,16
10:31,24,Dorian Pickens Turnover.,17,16
10:31,2305,Official TV Timeout,17,16
10:09,2305,Landen Lucas missed Jumper.,17,16
10:09,24,Josh Sharma Block.,17,16
10:09,2305,Landen Lucas Offensive Rebound.,17,16
10:05,24,Foul on Marcus Allen.,17,16
10:05,2305,Landen Lucas missed Free Throw.,17,16
10:05,2305,Kansas Deadball Team Rebound.,17,16
10:05,2305,Landen Lucas made Free Throw.,17,17
9:48,24,Grant Verhoeven made Jumper. Assisted by Marcus Sheffield.,19,17
9:24,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,19,20
9:02,24,Marcus Allen missed Jumper.,19,20
9:02,2305,Kansas Defensive Rebound.,19,20
8:42,2305,Frank Mason III made Three Point Jumper. Assisted by Carlton Bragg Jr..,19,23
8:20,2305,Foul on Udoka Azubuike.,19,23
8:20,24,Christian Sanders made Free Throw.,20,23
8:20,24,Christian Sanders made Free Throw.,21,23
8:03,2305,Carlton Bragg Jr. made Dunk. Assisted by Landen Lucas.,21,25
7:38,24,Grant Verhoeven made Layup.,23,25
7:24,2305,Carlton Bragg Jr. made Jumper. Assisted by Frank Mason III.,23,27
7:02,24,Grant Verhoeven missed Three Point Jumper.,23,27
7:02,2305,Frank Mason III Defensive Rebound.,23,27
6:55,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,23,30
6:39,24,Stanford  Timeout,23,30
6:30,24,Reid Travis missed Layup.,23,30
6:30,2305,Carlton Bragg Jr. Defensive Rebound.,23,30
6:08,2305,Sviatoslav Mykhailiuk missed Layup.,23,30
6:08,24,Stanford Defensive Rebound.,23,30
5:49,24,Dorian Pickens missed Jumper.,23,30
5:49,2305,Landen Lucas Block.,23,30
5:49,2305,Carlton Bragg Jr. Defensive Rebound.,23,30
5:43,2305,Devonte' Graham made Three Point Jumper. Assisted by Sviatoslav Mykhailiuk.,23,33
5:16,24,Michael Humphrey Turnover.,23,33
4:52,2305,Devonte' Graham missed Three Point Jumper.,23,33
4:52,24,Dorian Pickens Defensive Rebound.,23,33
4:36,24,Robert Cartwright Turnover.,23,33
4:15,2305,Frank Mason III Turnover.,23,33
4:15,24,Dorian Pickens missed Jumper.,23,33
4:15,24,Michael Humphrey Offensive Rebound.,23,33
4:03,24,Michael Humphrey missed Jumper.,23,33
4:03,24,Michael Humphrey Offensive Rebound.,23,33
3:57,24,Michael Humphrey made Dunk.,25,33
3:42,2305,Josh Jackson made Jumper.,25,35
3:22,2305,Foul on Carlton Bragg Jr..,25,35
3:22,2305,Official TV Timeout,25,35
3:22,24,Reid Travis made Free Throw.,26,35
3:22,24,Reid Travis made Free Throw.,27,35
3:10,2305,Foul on Landen Lucas.,27,35
3:10,2305,Landen Lucas Turnover.,27,35
3:00,24,Reid Travis made Jumper.,29,35
2:36,24,Foul on Michael Humphrey.,29,35
2:36,2305,Dwight Coleby made Free Throw.,29,36
2:36,2305,Dwight Coleby missed Free Throw.,29,36
2:36,24,Grant Verhoeven Defensive Rebound.,29,36
2:16,24,Christian Sanders Turnover.,29,36
2:16,2305,Josh Jackson Steal.,29,36
2:07,24,Foul on Marcus Sheffield.,29,36
2:07,2305,Frank Mason III made Free Throw.,29,37
2:07,2305,Frank Mason III made Free Throw.,29,38
1:52,24,Dorian Pickens made Three Point Jumper. Assisted by Christian Sanders.,32,38
1:36,2305,Josh Jackson missed Jumper.,32,38
1:36,24,Reid Travis Defensive Rebound.,32,38
1:29,2305,Foul on Dwight Coleby.,32,38
1:29,24,Reid Travis missed Free Throw.,32,38
1:29,24,Stanford Deadball Team Rebound.,32,38
1:29,24,Reid Travis made Free Throw.,33,38
1:15,2305,Lagerald Vick made Three Point Jumper. Assisted by Josh Jackson.,33,41
0:45,24,Christian Sanders Turnover.,33,41
0:45,2305,Devonte' Graham Steal.,33,41
0:45,24,Foul on Christian Sanders.,33,41
0:38,24,Foul on Grant Verhoeven.,33,41
0:38,2305,Josh Jackson made Free Throw.,33,42
0:38,2305,Josh Jackson made Free Throw.,33,43
0:19,24,Dorian Pickens made Jumper.,35,43
0:08,2305,Frank Mason III missed Three Point Jumper.,35,43
0:08,24,Dorian Pickens Defensive Rebound.,35,43
0:00,2305,End of 1st half,35,43
20:00,2305,Jump Ball won by Kansas,35,43
19:52,2305,Josh Jackson made Layup.,35,45
19:41,24,Michael Humphrey Turnover.,35,45
19:41,2305,Josh Jackson Steal.,35,45
19:36,2305,Udoka Azubuike made Dunk. Assisted by Josh Jackson.,35,47
19:05,24,Reid Travis missed Jumper.,35,47
19:05,2305,Udoka Azubuike Block.,35,47
19:05,2305,Udoka Azubuike Defensive Rebound.,35,47
18:54,2305,Josh Jackson missed Three Point Jumper.,35,47
18:54,24,Michael Humphrey Defensive Rebound.,35,47
18:39,24,Michael Humphrey missed Dunk.,35,47
18:39,2305,Kansas Defensive Rebound.,35,47
18:34,2305,Josh Jackson missed Jumper.,35,47
18:34,24,Christian Sanders Defensive Rebound.,35,47
18:28,24,Marcus Allen made Layup.,37,47
18:14,2305,Devonte' Graham missed Jumper.,37,47
18:14,24,Michael Humphrey Defensive Rebound.,37,47
18:14,24,Marcus Allen missed Jumper.,37,47
18:14,2305,Udoka Azubuike Block.,37,47
18:14,24,Reid Travis Offensive Rebound.,37,47
17:55,2305,Foul on Udoka Azubuike.,37,47
17:55,24,Reid Travis made Free Throw.,38,47
17:55,24,Reid Travis made Free Throw.,39,47
17:45,2305,Frank Mason III made Three Point Jumper. Assisted by Devonte' Graham.,39,50
17:28,24,Reid Travis missed Layup.,39,50
17:28,24,Reid Travis Offensive Rebound.,39,50
17:22,24,Reid Travis made Layup.,41,50
17:11,24,Foul on Marcus Allen.,41,50
17:11,2305,Frank Mason III made Free Throw.,41,51
17:11,2305,Frank Mason III missed Free Throw.,41,51
17:11,24,Reid Travis Defensive Rebound.,41,51
16:58,24,Reid Travis made Layup. Assisted by Christian Sanders.,43,51
16:43,2305,Landen Lucas missed Layup.,43,51
16:43,2305,Landen Lucas Offensive Rebound.,43,51
16:39,24,Foul on Reid Travis.,43,51
16:39,2305,Landen Lucas missed Free Throw.,43,51
16:39,2305,Kansas Deadball Team Rebound.,43,51
16:39,2305,Landen Lucas made Free Throw.,43,52
16:32,2305,Foul on Lagerald Vick.,43,52
16:19,24,Reid Travis Turnover.,43,52
16:19,2305,Josh Jackson Steal.,43,52
16:09,2305,Lagerald Vick made Three Point Jumper.,43,55
15:54,2305,Foul on Landen Lucas.,43,55
15:54,2305,Official TV Timeout,43,55
15:54,24,Michael Humphrey missed Free Throw.,43,55
15:54,24,Stanford Deadball Team Rebound.,43,55
15:54,24,Michael Humphrey made Free Throw.,44,55
15:39,24,Foul on Grant Verhoeven.,44,55
15:39,2305,Carlton Bragg Jr. made Free Throw.,44,56
15:39,2305,Carlton Bragg Jr. missed Free Throw.,44,56
15:39,24,Marcus Allen Defensive Rebound.,44,56
15:26,24,Robert Cartwright made Layup.,46,56
15:07,2305,Carlton Bragg Jr. made Layup.,46,58
14:42,24,Reid Travis missed Jumper.,46,58
14:42,2305,Josh Jackson Defensive Rebound.,46,58
14:25,2305,Josh Jackson missed Jumper.,46,58
14:25,24,Marcus Sheffield Defensive Rebound.,46,58
14:14,2305,Foul on Josh Jackson.,46,58
14:11,2305,Foul on Carlton Bragg Jr..,46,58
14:11,24,Reid Travis made Free Throw.,47,58
14:11,24,Reid Travis made Free Throw.,48,58
14:03,2305,Lagerald Vick missed Jumper.,48,58
14:03,2305,Lagerald Vick Offensive Rebound.,48,58
13:59,2305,Lagerald Vick made Layup.,48,60
13:38,2305,Foul on Dwight Coleby.,48,60
13:38,24,Reid Travis made Free Throw.,49,60
13:38,24,Reid Travis made Free Throw.,50,60
13:28,2305,Frank Mason III made Jumper.,50,62
13:13,24,Robert Cartwright missed Three Point Jumper.,50,62
13:13,2305,Frank Mason III Defensive Rebound.,50,62
13:00,2305,Lagerald Vick missed Jumper.,50,62
13:00,2305,Dwight Coleby Offensive Rebound.,50,62
12:55,24,Foul on Michael Humphrey.,50,62
12:35,2305,Josh Jackson Turnover.,50,62
12:25,24,Dorian Pickens missed Three Point Jumper.,50,62
12:25,2305,Devonte' Graham Defensive Rebound.,50,62
12:15,2305,Frank Mason III made Layup.,50,64
12:15,24,Foul on Josh Sharma.,50,64
12:15,2305,Frank Mason III missed Free Throw.,50,64
12:15,24,Josh Sharma Defensive Rebound.,50,64
12:07,2305,Foul on Sviatoslav Mykhailiuk.,50,64
12:07,24,Marcus Sheffield made Free Throw.,51,64
12:07,24,Marcus Sheffield made Free Throw.,52,64
11:50,2305,Josh Jackson made Layup.,52,66
11:50,2305,Official TV Timeout,52,66
11:34,24,Marcus Sheffield missed Jumper.,52,66
11:34,2305,Landen Lucas Defensive Rebound.,52,66
11:10,2305,Landen Lucas missed Layup.,52,66
11:10,24,Josh Sharma Defensive Rebound.,52,66
10:50,24,Reid Travis missed Jumper.,52,66
10:50,2305,Devonte' Graham Defensive Rebound.,52,66
10:31,2305,Devonte' Graham missed Jumper.,52,66
10:31,24,Reid Travis Defensive Rebound.,52,66
10:22,24,Robert Cartwright made Jumper.,54,66
10:05,2305,Josh Jackson made Dunk. Assisted by Devonte' Graham.,54,68
9:54,2305,Foul on Landen Lucas.,54,68
9:54,24,Reid Travis missed Free Throw.,54,68
9:54,24,Stanford Deadball Team Rebound.,54,68
9:54,24,Reid Travis made Free Throw.,55,68
9:37,24,Foul on Marcus Allen.,55,68
9:30,2305,Frank Mason III made Layup.,55,70
9:30,24,Foul on Cameron Walker.,55,70
9:30,2305,Frank Mason III missed Free Throw.,55,70
9:30,24,Michael Humphrey Defensive Rebound.,55,70
9:15,2305,Foul on Udoka Azubuike.,55,70
9:15,24,Reid Travis made Free Throw.,56,70
9:15,24,Reid Travis made Free Throw.,57,70
8:59,2305,Devonte' Graham missed Three Point Jumper.,57,70
8:59,24,Marcus Allen Defensive Rebound.,57,70
8:56,2305,Foul on Dwight Coleby.,57,70
8:56,24,Marcus Allen made Free Throw.,58,70
8:56,24,Marcus Allen made Free Throw.,59,70
8:40,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Lagerald Vick.,59,73
8:14,2305,Foul on Dwight Coleby.,59,73
8:14,24,Reid Travis made Free Throw.,60,73
8:14,24,Reid Travis made Free Throw.,61,73
8:03,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,61,73
8:03,24,Reid Travis Defensive Rebound.,61,73
7:51,24,Reid Travis missed Jumper.,61,73
7:51,24,Michael Humphrey Offensive Rebound.,61,73
7:51,24,Michael Humphrey made Two Point Tip Shot.,63,73
7:24,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,63,76
6:53,24,Cameron Walker made Layup. Assisted by Christian Sanders.,65,76
6:53,2305,Foul on Lagerald Vick.,65,76
6:53,2305,Official TV Timeout,65,76
6:53,24,Cameron Walker missed Free Throw.,65,76
6:53,2305,Carlton Bragg Jr. Defensive Rebound.,65,76
6:34,2305,Sviatoslav Mykhailiuk missed Three Point Jumper.,65,76
6:34,24,Christian Sanders Defensive Rebound.,65,76
6:17,24,Reid Travis missed Layup.,65,76
6:17,2305,Carlton Bragg Jr. Defensive Rebound.,65,76
6:05,2305,Sviatoslav Mykhailiuk made Jumper.,65,78
5:50,24,Marcus Allen missed Jumper.,65,78
5:50,2305,Carlton Bragg Jr. Defensive Rebound.,65,78
5:42,2305,Sviatoslav Mykhailiuk made Layup. Assisted by Devonte' Graham.,65,80
5:14,24,Michael Humphrey missed Jumper.,65,80
5:14,2305,Carlton Bragg Jr. Defensive Rebound.,65,80
4:58,24,Foul on Michael Humphrey.,65,80
4:58,2305,Josh Jackson missed Free Throw.,65,80
4:58,2305,Kansas Deadball Team Rebound.,65,80
4:58,2305,Josh Jackson made Free Throw.,65,81
4:38,24,Reid Travis missed Layup.,65,81
4:38,2305,Josh Jackson Block.,65,81
4:38,24,Stanford Offensive Rebound.,65,81
4:33,24,Robert Cartwright missed Three Point Jumper.,65,81
4:33,2305,Frank Mason III Defensive Rebound.,65,81
4:24,2305,Josh Jackson missed Layup.,65,81
4:24,24,Christian Sanders Defensive Rebound.,65,81
4:21,2305,Foul on Josh Jackson.,65,81
4:21,24,Christian Sanders missed Free Throw.,65,81
4:21,24,Stanford Deadball Team Rebound.,65,81
4:21,24,Christian Sanders made Free Throw.,66,81
4:00,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Frank Mason III.,66,84
3:40,24,Michael Humphrey missed Layup.,66,84
3:40,2305,Landen Lucas Defensive Rebound.,66,84
3:28,2305,Frank Mason III missed Layup.,66,84
3:28,24,Stanford Defensive Rebound.,66,84
3:28,2305,Official TV Timeout,66,84
3:05,24,Michael Humphrey made Layup.,68,84
2:31,2305,Josh Jackson missed Jumper.,68,84
2:31,24,Reid Travis Defensive Rebound.,68,84
2:18,24,Christian Sanders missed Jumper.,68,84
2:18,2305,Josh Jackson Defensive Rebound.,68,84
2:12,2305,Frank Mason III made Jumper.,68,86
1:56,2305,Foul on Devonte' Graham.,68,86
1:56,24,Reid Travis made Free Throw.,69,86
1:56,24,Reid Travis made Free Throw.,70,86
1:37,2305,Landen Lucas made Layup. Assisted by Josh Jackson.,70,88
1:37,24,Foul on Grant Verhoeven.,70,88
1:37,2305,Landen Lucas made Free Throw.,70,89
1:20,24,Christian Sanders Turnover.,70,89
1:20,2305,Mitch Lightfoot Steal.,70,89
1:20,2305,Devonte' Graham Turnover.,70,89
1:20,24,Grant Verhoeven Steal.,70,89
1:10,2305,Foul on Dwight Coleby.,70,89
1:10,24,Grant Verhoeven made Free Throw.,72,89
1:10,24,Grant Verhoeven made Free Throw.,71,89
0:54,2305,Tyler Self missed Jumper.,72,89
0:54,2305,Udoka Azubuike Offensive Rebound.,72,89
0:45,2305,Tyler Self missed Three Point Jumper.,72,89
0:45,24,Christian Sanders Defensive Rebound.,72,89
0:37,24,Malcolm Allen made Layup. Assisted by Christian Sanders.,74,89
0:11,2305,Tyler Self missed Jumper.,74,89
0:11,2305,Mitch Lightfoot Offensive Rebound.,74,89
0:06,2305,Mitch Lightfoot missed Jumper.,74,89
0:06,24,Stanford Defensive Rebound.,74,89
0:00,2305,End of Game,74,89
