Drexel,2272,High Point,2182
14:28,2272,Jamal Wright Steal.,44,43
14:26,2272,Jamal Wright made Layup.,44,45
14:18,2182,Foul on Miles Overton.,44,45
14:18,2182,Miles Overton Turnover.,44,45
13:59,2272,Austin White missed Three Point Jumper.,44,45
13:59,2272,Andre Fox Offensive Rebound.,44,45
13:44,2272,Tarique Thompson missed Jumper.,44,45
13:44,2272,Ricky Madison Offensive Rebound.,44,45
13:43,2182,Foul on Rodney Williams.,44,45
13:40,2182,Foul on Mohamed Bah.,44,45
13:40,2272,Ricky Madison made Free Throw.,44,46
13:40,2272,Ricky Madison made Free Throw.,44,47
13:24,2182,Kari Jonsson made Three Point Jumper. Assisted by Mohamed Bah.,47,47
13:00,2272,Andre Fox missed Jumper.,47,47
13:00,2272,Tarique Thompson Offensive Rebound.,47,47
12:49,2272,Jalen Williams Turnover.,47,47
12:47,2182,Miles Overton Steal.,47,47
12:39,2182,Miles Overton Turnover.,47,47
12:37,2272,Ricky Madison Steal.,47,47
12:33,2182,Foul on Tyshawn Myles.,47,47
12:33,2272,Andre Fox made Free Throw.,47,48
12:33,2272,Andre Fox made Free Throw.,47,49
12:10,2182,Sammy Mojica Turnover.,47,49
12:08,2272,Andre Fox Steal.,47,49
12:05,2272,Andre Fox missed Layup.,47,49
12:05,2272,Tarique Thompson Offensive Rebound.,47,49
12:00,2272,Tarique Thompson Turnover.,47,49
11:58,2182,Miles Overton Steal.,47,49
11:54,2182,Sammy Mojica missed Three Point Jumper.,47,49
11:54,2182,Drexel Offensive Rebound.,47,49
11:52,2272,Official TV Timeout,47,49
11:35,2182,Miles Overton made Three Point Jumper. Assisted by Sammy Mojica.,50,49
11:10,2272,Miles Bowman Jr. missed Layup.,50,49
11:10,2182,Austin Williams Block.,50,49
11:08,2182,Kurk Lee Defensive Rebound.,50,49
10:54,2182,Miles Overton missed Jumper.,50,49
10:54,2272,Miles Bowman Jr. Defensive Rebound.,50,49
10:39,2182,Foul on Austin Williams.,50,49
10:39,2272,Andre Fox made Free Throw.,50,50
10:39,2272,Andre Fox made Free Throw.,50,51
10:27,2182,Rodney Williams missed Layup.,50,51
10:27,2182,Rodney Williams Offensive Rebound.,50,51
10:27,2272,Foul on Tarique Thompson.,50,51
10:27,2272,Foul on Jamal Wright.,50,51
10:10,2182,Kari Jonsson Turnover.,50,51
10:09,2272,Miles Bowman Jr. Steal.,50,51
10:03,2272,Andre Fox missed Jumper.,50,51
10:03,2272,Miles Bowman Jr. Offensive Rebound.,50,51
10:00,2182,Foul on Rodney Williams.,50,51
10:00,2272,Miles Bowman Jr. made Free Throw.,50,52
10:00,2272,Miles Bowman Jr. made Free Throw.,50,53
9:43,2182,Kari Jonsson missed Layup.,50,53
9:43,2182,Tyshawn Myles Offensive Rebound.,50,53
9:39,2182,Tyshawn Myles made Layup.,52,53
9:37,2272,Foul on Miles Bowman Jr..,52,53
9:37,2182,Tyshawn Myles made Free Throw.,53,53
9:17,2272,Jalen Williams made Three Point Jumper. Assisted by Austin White.,53,56
9:02,2182,Kurk Lee missed Three Point Jumper.,53,56
8:48,2182,Miles Overton Turnover.,53,56
8:35,2182,Tyshawn Myles made Dunk. Assisted by Kurk Lee.,55,56
8:20,2182,Foul on Tyshawn Myles.,55,56
8:20,2272,Ricky Madison made Free Throw.,55,57
8:20,2272,Ricky Madison missed Free Throw.,55,57
8:20,2182,Austin Williams Defensive Rebound.,55,57
8:05,2182,Kurk Lee missed Three Point Jumper.,55,57
8:05,2182,Rodney Williams Offensive Rebound.,55,57
8:02,2182,Rodney Williams made Layup.,57,57
7:31,2182,Foul on Kurk Lee.,57,57
7:31,2272,Official TV Timeout,57,57
7:31,2272,Ricky Madison missed Free Throw.,57,57
7:31,2272,High Point Deadball Team Rebound.,57,57
7:31,2272,Ricky Madison made Free Throw.,57,58
7:06,2272,Foul on Jalen Williams.,57,58
6:55,2182,Kari Jonsson made Three Point Jumper. Assisted by Rodney Williams.,60,58
6:41,2272,Jalen Williams missed Three Point Jumper.,60,58
6:41,2272,Tarique Thompson Offensive Rebound.,60,58
6:37,2272,Tarique Thompson missed Layup.,60,58
6:37,2272,Ricky Madison Offensive Rebound.,60,58
6:34,2272,Ricky Madison missed Layup.,60,58
6:34,2182,Austin Williams Defensive Rebound.,60,58
6:24,2182,Kari Jonsson missed Three Point Jumper.,60,58
6:24,2272,Jalen Williams Defensive Rebound.,60,58
6:15,2182,Foul on Rodney Williams.,60,58
6:15,2272,Ricky Madison missed Free Throw.,60,58
6:15,2272,High Point Deadball Team Rebound.,60,58
6:15,2272,Ricky Madison made Free Throw.,60,59
5:55,2182,Kari Jonsson missed Three Point Jumper.,60,59
5:55,2182,Tyshawn Myles Offensive Rebound.,60,59
5:48,2182,Tyshawn Myles missed Jumper.,60,59
5:48,2272,Tarique Thompson Defensive Rebound.,60,59
5:21,2272,Jalen Williams Turnover.,60,59
5:20,2182,Kari Jonsson Steal.,60,59
5:16,2182,Kurk Lee Turnover.,60,59
5:04,2272,Jamal Wright missed Jumper.,60,59
5:04,2182,Austin Williams Block.,60,59
5:00,2182,Austin Williams Defensive Rebound.,60,59
4:51,2182,Miles Overton missed Three Point Jumper.,60,59
4:51,2182,Tyshawn Myles Offensive Rebound.,60,59
4:24,2182,Kurk Lee made Jumper.,62,59
4:11,2272,Official TV Timeout,62,59
3:53,2272,Austin White missed Three Point Jumper.,62,59
3:53,2182,Tyshawn Myles Defensive Rebound.,62,59
3:41,2182,Kurk Lee missed Jumper.,62,59
3:41,2182,Tyshawn Myles Offensive Rebound.,62,59
3:38,2182,Tyshawn Myles made Layup.,64,59
