Navy,231,Furman,2426
13:00,231,Kris Acox Defensive Rebound.,4,15
12:54,2426,Foul on Hasan Abdullah.,4,15
12:52,231,Jordan Lyons Turnover.,4,15
12:25,2426,Ryan Pearson made Three Point Jumper. Assisted by Shawn Anderson.,7,15
11:55,231,Andrew Brown made Layup. Assisted by Jordan Lyons.,7,17
11:40,2426,Ryan Pearson missed Three Point Jumper.,7,17
11:40,231,Geoff Beans Defensive Rebound.,7,17
11:30,231,John Davis III Turnover.,7,17
11:30,2426,Ryan Pearson Steal.,7,17
11:29,231,Official TV Timeout,7,17
11:14,2426,George Kiernan missed Jumper.,7,17
11:14,231,John Davis III Defensive Rebound.,7,17
11:02,231,Andrew Brown Turnover.,7,17
11:01,2426,George Kiernan Steal.,7,17
10:43,2426,George Kiernan missed Three Point Jumper.,7,17
10:43,2426,Shawn Anderson Offensive Rebound.,7,17
10:29,2426,Evan Wieck missed Jumper.,7,17
10:29,231,Matt Rafferty Defensive Rebound.,7,17
10:21,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,7,20
9:59,2426,Ryan Pearson made Jumper.,9,20
9:26,231,Geoff Beans missed Three Point Jumper.,9,20
9:26,231,Matt Rafferty Offensive Rebound.,9,20
9:22,231,Furman  Turnover.,9,20
9:06,2426,Nourse Fox Turnover.,9,20
9:05,231,Kris Acox Steal.,9,20
9:03,231,Kris Acox made Dunk.,9,22
8:36,2426,Tom Lacey made Layup. Assisted by Ryan Pearson.,11,22
8:36,231,Foul on John Davis III.,11,22
8:36,2426,Tom Lacey missed Free Throw.,11,22
8:36,231,Geoff Beans Defensive Rebound.,11,22
8:11,231,Kris Acox missed Jumper.,11,22
8:11,2426,Tom Lacey Defensive Rebound.,11,22
8:03,231,Foul on Geoff Beans.,11,22
8:03,2426,Tom Lacey made Free Throw.,12,22
8:03,2426,Tom Lacey made Free Throw.,13,22
7:34,231,Daniel Fowler made Three Point Jumper. Assisted by Jonathan Jean.,13,25
7:05,2426,Tom Lacey missed Jumper.,13,25
7:05,231,Kris Acox Defensive Rebound.,13,25
6:38,2426,Foul on Hasan Abdullah.,13,25
6:38,231,Official TV Timeout,13,25
6:38,231,Daniel Fowler missed Free Throw.,13,25
6:38,231,Furman Deadball Team Rebound.,13,25
6:38,231,Daniel Fowler made Free Throw.,13,26
6:12,2426,Bryce Dulin missed Jumper.,13,26
6:12,231,Jonathan Jean Defensive Rebound.,13,26
6:03,231,Tre Clark Turnover.,13,26
6:03,231,Foul on Tre Clark.,13,26
5:37,2426,Hasan Abdullah missed Three Point Jumper.,13,26
5:37,231,Kris Acox Defensive Rebound.,13,26
5:11,231,Matt Rafferty made Jumper.,13,28
4:58,2426,Shawn Anderson missed Layup.,13,28
4:58,231,Matt Rafferty Defensive Rebound.,13,28
4:57,2426,Foul on Tom Lacey.,13,28
4:57,231,Tre Clark made Free Throw.,13,29
4:57,231,Tre Clark missed Free Throw.,13,29
4:57,2426,Evan Wieck Defensive Rebound.,13,29
4:34,2426,Hasan Abdullah missed Jumper.,13,29
4:34,231,Kris Acox Defensive Rebound.,13,29
4:07,231,Jordan Lyons missed Three Point Jumper.,13,29
4:07,231,Matt Rafferty Offensive Rebound.,13,29
4:01,231,Andrew Brown made Three Point Jumper. Assisted by Jordan Lyons.,13,32
3:40,2426,Bryce Dulin Turnover.,13,32
3:39,231,Andrew Brown Steal.,13,32
3:34,231,Official TV Timeout,13,32
3:11,231,Andrew Brown made Three Point Jumper. Assisted by Matt Rafferty.,13,35
2:47,231,Foul on Jordan Lyons.,13,35
2:38,2426,Bryce Dulin made Jumper. Assisted by Hasan Abdullah.,15,35
2:21,231,Andrew Brown made Three Point Jumper.,15,38
2:00,2426,Hasan Abdullah missed Three Point Jumper.,15,38
1:58,231,Kris Acox Defensive Rebound.,15,38
1:42,231,Jordan Lyons missed Three Point Jumper.,15,38
1:42,231,Daniel Fowler Offensive Rebound.,15,38
1:28,231,Matt Rafferty missed Layup.,15,38
1:28,2426,Evan Wieck Defensive Rebound.,15,38
1:09,2426,Bryce Dulin missed Three Point Jumper.,15,38
1:09,231,Jordan Lyons Defensive Rebound.,15,38
1:01,231,Daniel Fowler made Layup.,15,40
0:36,2426,Hasan Abdullah missed Jumper.,15,40
0:36,231,Matt Rafferty Defensive Rebound.,15,40
0:34,2426,Foul on James Hemphill.,15,40
0:34,231,Matt Rafferty made Free Throw.,15,41
0:34,231,Matt Rafferty missed Free Throw.,15,41
0:34,2426,Evan Wieck Defensive Rebound.,15,41
0:34,231,Foul on Kris Acox.,15,41
0:34,2426,Evan Wieck made Free Throw.,16,41
0:34,2426,Evan Wieck missed Free Throw.,16,41
0:34,231,Devin Sibley Defensive Rebound.,16,41
0:10,231,Daniel Fowler missed Three Point Jumper.,16,41
0:10,2426,Hasan Abdullah Defensive Rebound.,16,41
0:01,2426,Hasan Abdullah missed Layup.,16,41
0:01,2426,Navy Offensive Rebound.,16,41
0:00,2426,Ryan Pearson missed Three Point Jumper.,16,41
0:00,231,Furman Defensive Rebound.,16,41
0:00,231,End of 1st half,16,41
19:33,231,John Davis III made Three Point Jumper. Assisted by Daniel Fowler.,16,44
19:07,2426,Tom Lacey missed Jumper.,16,44
19:07,231,Daniel Fowler Defensive Rebound.,16,44
18:40,231,Devin Sibley made Jumper. Assisted by Daniel Fowler.,16,46
18:40,2426,Foul on Tom Lacey.,16,46
18:40,231,Devin Sibley made Free Throw.,16,47
18:31,231,Foul on Geoff Beans.,16,47
18:10,2426,Shawn Anderson made Layup. Assisted by Bryce Dulin.,18,47
17:50,2426,Foul on Bryce Dulin.,18,47
17:50,231,Kris Acox missed Free Throw.,18,47
17:50,231,Furman Deadball Team Rebound.,18,47
17:50,231,Kris Acox made Free Throw.,18,48
17:34,2426,Tom Lacey made Jumper. Assisted by Bryce Dulin.,20,48
17:18,231,Kris Acox Turnover.,20,48
16:56,2426,Tom Lacey missed Layup.,20,48
16:56,2426,Navy Offensive Rebound.,20,48
16:46,2426,Bryce Dulin missed Three Point Jumper.,20,48
16:46,231,Daniel Fowler Defensive Rebound.,20,48
16:25,231,Devin Sibley missed Three Point Jumper.,20,48
16:25,2426,Tom Lacey Defensive Rebound.,20,48
16:10,2426,Bryce Dulin made Jumper.,22,48
15:52,231,Matt Rafferty made Layup. Assisted by Daniel Fowler.,22,50
15:25,2426,Hasan Abdullah Turnover.,22,50
15:23,231,John Davis III Steal.,22,50
15:16,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,22,53
14:47,2426,Hasan Abdullah missed Three Point Jumper.,22,53
14:47,231,Matt Rafferty Defensive Rebound.,22,53
14:33,231,Matt Rafferty missed Jumper.,22,53
14:33,2426,Shawn Anderson Defensive Rebound.,22,53
14:31,231,Foul on Matt Rafferty.,22,53
14:30,231,Official TV Timeout,22,53
14:16,231,Foul on Andrew Brown.,22,53
14:13,231,Foul on John Davis III.,22,53
13:49,2426,Tom Lacey missed Jumper.,22,53
13:49,2426,Edward Alade Offensive Rebound.,22,53
13:44,2426,Ryan Pearson made Three Point Jumper. Assisted by Edward Alade.,25,53
13:24,231,Andrew Brown made Three Point Jumper. Assisted by Matt Rafferty.,25,56
12:54,2426,Shawn Anderson made Three Point Jumper. Assisted by Tom Lacey.,28,56
12:22,231,Jonathan Jean missed Three Point Jumper.,28,56
12:22,2426,Edward Alade Defensive Rebound.,28,56
12:07,2426,Tom Lacey Turnover.,28,56
12:07,2426,Foul on Tom Lacey.,28,56
11:58,231,Furman  Timeout,28,56
11:46,231,Tre Clark missed Layup.,28,56
11:46,2426,George Kiernan Defensive Rebound.,28,56
11:32,2426,Ryan Pearson made Three Point Jumper. Assisted by Edward Alade.,31,56
11:17,231,Official TV Timeout,31,56
11:16,231,Andrew Brown Turnover.,31,56
11:04,2426,Ryan Pearson made Layup. Assisted by George Kiernan.,33,56
10:46,231,Geoff Beans made Layup. Assisted by Kris Acox.,33,58
10:46,2426,Foul on Ryan Pearson.,33,58
10:46,231,Geoff Beans made Free Throw.,33,59
10:30,2426,George Kiernan made Layup. Assisted by Ryan Pearson.,35,59
10:12,2426,Foul on George Kiernan.,35,59
10:12,231,Kris Acox missed Free Throw.,35,59
10:12,231,Furman Deadball Team Rebound.,35,59
10:12,231,Kris Acox made Free Throw.,35,60
10:02,231,Foul on John Davis III.,35,60
10:00,2426,Bryce Dulin Turnover.,35,60
9:59,231,Kris Acox Steal.,35,60
9:58,231,Kris Acox made Dunk.,35,62
9:55,2426,George Kiernan Turnover.,35,62
9:52,231,Daniel Fowler Steal.,35,62
9:50,231,Daniel Fowler Turnover.,35,62
9:48,2426,Kyran McClure Steal.,35,62
9:06,2426,Edward Alade made Layup. Assisted by Kyran McClure.,37,62
8:59,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,37,65
8:41,2426,Ryan Pearson Turnover.,37,65
8:22,2426,Foul on Kyran McClure.,37,65
8:08,231,Kris Acox made Layup. Assisted by Devin Sibley.,37,67
7:53,231,Foul on Geoff Beans.,37,67
7:53,231,Official TV Timeout,37,67
7:40,2426,Bryce Dulin Turnover.,37,67
7:39,231,Andrew Brown Steal.,37,67
7:38,231,Andrew Brown Turnover.,37,67
7:36,2426,Kyran McClure Steal.,37,67
7:24,2426,Kyran McClure missed Three Point Jumper.,37,67
7:24,231,Kris Acox Defensive Rebound.,37,67
7:17,231,Jordan Lyons missed Three Point Jumper.,37,67
7:17,231,Matt Rafferty Offensive Rebound.,37,67
6:57,2426,Foul on Ryan Pearson.,37,67
6:57,231,Devin Sibley missed Free Throw.,37,67
6:57,2426,Kyran McClure Defensive Rebound.,37,67
6:42,231,Foul on Devin Sibley.,37,67
6:42,2426,Kyran McClure missed Free Throw.,37,67
6:42,231,Matt Rafferty Defensive Rebound.,37,67
6:34,231,Devin Sibley missed Layup.,37,67
6:34,2426,Kyran McClure Defensive Rebound.,37,67
6:28,2426,Kyran McClure Turnover.,37,67
6:27,231,Jordan Lyons Steal.,37,67
6:26,231,Devin Sibley made Layup. Assisted by Jordan Lyons.,37,69
5:57,2426,Ryan Pearson missed Three Point Jumper.,37,69
5:57,231,Devin Sibley Defensive Rebound.,37,69
5:52,2426,Foul on Kyran McClure.,37,69
5:52,231,Devin Sibley missed Free Throw.,37,69
5:52,231,Kris Acox Offensive Rebound.,37,69
5:23,231,Devin Sibley made Jumper.,37,71
4:48,2426,Grant Vermeer Turnover.,37,71
4:39,231,Matt Rafferty Turnover.,37,71
4:39,2426,Kyran McClure Steal.,37,71
4:39,231,Foul on Matt Rafferty.,37,71
4:39,2426,Kyran McClure made Free Throw.,38,71
4:39,2426,Kyran McClure missed Free Throw.,38,71
4:39,231,Tre Clark Defensive Rebound.,38,71
4:30,231,Jonathan Jean made Jumper.,38,73
4:14,231,Foul on Jonathan Jean.,38,73
4:14,2426,Zach Fong missed Free Throw.,38,73
4:14,231,Andrew Brown Defensive Rebound.,38,73
4:01,231,Jalen Williams Turnover.,38,73
4:00,2426,Grant Vermeer Steal.,38,73
3:58,2426,Grant Vermeer Turnover.,38,73
3:58,231,Official TV Timeout,38,73
3:45,231,Jordan Lyons missed Three Point Jumper.,38,73
3:45,2426,Navy Defensive Rebound.,38,73
3:28,2426,Kyran McClure missed Three Point Jumper.,38,73
3:28,2426,James Butler Offensive Rebound.,38,73
3:25,231,Foul on Jalen Williams.,38,73
3:25,2426,James Butler missed Free Throw.,38,73
3:25,2426,Navy Deadball Team Rebound.,38,73
3:25,2426,James Butler made Free Throw.,39,73
3:06,231,Jalen Williams made Jumper.,39,75
2:53,2426,Kyran McClure missed Three Point Jumper.,39,75
2:53,231,Jordan Lyons Defensive Rebound.,39,75
2:45,231,Andrew Brown missed Three Point Jumper.,39,75
2:45,2426,James Butler Defensive Rebound.,39,75
2:33,2426,James Butler made Jumper.,41,75
2:16,231,Jalen Williams made Dunk. Assisted by Jonathan Jean.,41,77
1:53,2426,Dominick Antonelli made Three Point Jumper. Assisted by Grant Vermeer.,44,77
1:33,2426,Foul on James Butler.,44,77
1:33,231,Jalen Williams made Free Throw.,44,78
1:33,231,Jalen Williams made Free Throw.,44,79
1:24,2426,Dominick Antonelli missed Three Point Jumper.,44,79
1:24,231,Jalen Williams Defensive Rebound.,44,79
0:58,231,Jalen Williams Turnover.,44,79
0:58,231,Foul on Jalen Williams.,44,79
0:49,231,Foul on Jalen Williams.,44,79
0:49,2426,James Butler missed Free Throw.,44,79
0:49,2426,Navy Deadball Team Rebound.,44,79
0:49,2426,James Butler missed Free Throw.,44,79
0:49,231,Tre Clark Defensive Rebound.,44,79
0:23,231,Jalen Williams missed Jumper.,44,79
0:23,2426,Dominick Antonelli Defensive Rebound.,44,79
0:12,2426,Grant Vermeer made Layup.,46,79
0:12,231,Foul on Jalen Williams.,46,79
0:12,2426,Grant Vermeer missed Free Throw.,46,79
0:12,2426,James Butler Offensive Rebound.,46,79
0:09,2426,James Butler missed Jumper.,46,79
0:09,231,Furman Defensive Rebound.,46,79
0:00,231,End of Game,46,79
