UCF,113,Massachusetts,2116
14:10,113,Luwane Pipkins Steal.,4,4
13:59,113,Donte Clark Turnover.,4,4
13:58,2116,A.J. Davis Steal.,4,4
13:39,113,Foul on Donte Clark.,4,4
13:39,2116,Chad Brown made Free Throw.,5,4
13:39,2116,Chad Brown made Free Throw.,6,4
13:21,2116,Foul on Chad Brown.,6,4
13:21,113,Malik Hines made Free Throw.,6,5
13:21,113,Malik Hines missed Free Throw.,6,5
13:21,2116,Matt Williams Defensive Rebound.,6,5
13:09,2116,Matt Williams missed Three Point Jumper.,6,5
13:09,113,Malik Hines Defensive Rebound.,6,5
12:51,113,Luwane Pipkins missed Three Point Jumper.,6,5
12:51,2116,Nick Banyard Defensive Rebound.,6,5
12:45,2116,Tanksley Efianayi made Layup. Assisted by B.J. Taylor.,8,5
12:45,113,Foul on Malik Hines.,8,5
12:45,2116,Tanksley Efianayi made Free Throw.,9,5
12:22,113,Tyrn Flowers missed Layup.,9,5
12:22,113,Malik Hines Offensive Rebound.,9,5
12:19,113,Malik Hines missed Layup.,9,5
12:19,113,Malik Hines Offensive Rebound.,9,5
12:14,113,Malik Hines made Layup.,9,7
11:50,2116,Nick Banyard missed Three Point Jumper.,9,7
11:50,113,Tyrn Flowers Defensive Rebound.,9,7
11:23,2116,Foul on B.J. Taylor.,9,7
11:23,113,Official TV Timeout,9,7
11:17,113,Dejon Jarreau missed Three Point Jumper.,9,7
11:17,2116,Tacko Fall Defensive Rebound.,9,7
10:55,2116,Matt Williams missed Jumper.,9,7
10:55,113,Tyrn Flowers Defensive Rebound.,9,7
10:45,113,Zach Lewis Turnover.,9,7
10:34,113,Foul on Malik Hines.,9,7
10:34,2116,A.J. Davis made Free Throw.,10,7
10:34,2116,A.J. Davis made Free Throw.,11,7
10:25,113,Luwane Pipkins made Jumper. Assisted by Zach Lewis.,11,9
10:09,2116,Nathan Laing Turnover.,11,9
10:07,113,Luwane Pipkins Steal.,11,9
10:02,113,C.J. Anderson missed Three Point Jumper.,11,9
10:02,2116,Tanksley Efianayi Defensive Rebound.,11,9
9:48,2116,Tanksley Efianayi missed Jumper.,11,9
9:48,113,Tyrn Flowers Defensive Rebound.,11,9
9:29,113,Rashaan Holloway missed Layup.,11,9
9:29,2116,Tacko Fall Defensive Rebound.,11,9
9:20,2116,Nathan Laing Turnover.,11,9
9:19,113,Luwane Pipkins Steal.,11,9
9:17,113,Rashaan Holloway Turnover.,11,9
9:07,113,Zach Lewis Steal.,11,9
9:07,2116,B.J. Taylor Turnover.,11,9
8:56,113,Luwane Pipkins missed Three Point Jumper.,11,9
8:56,2116,Tacko Fall Defensive Rebound.,11,9
8:39,2116,Matt Williams Turnover.,11,9
8:39,113,Luwane Pipkins Steal.,11,9
8:23,113,Zach Lewis made Three Point Jumper. Assisted by Donte Clark.,11,12
7:54,113,Foul on Brison Gresham.,11,12
7:54,113,Official TV Timeout,11,12
7:54,2116,Tanksley Efianayi made Free Throw.,12,12
7:54,2116,Tanksley Efianayi missed Free Throw.,12,12
7:54,113,Tyrn Flowers Defensive Rebound.,12,12
7:47,2116,Foul on Nick Banyard.,12,12
7:22,113,Luwane Pipkins made Three Point Jumper. Assisted by Donte Clark.,12,15
7:10,113,Foul on Donte Clark.,12,15
7:10,2116,A.J. Davis missed Free Throw.,12,15
7:10,113,Tyrn Flowers Defensive Rebound.,12,15
6:51,113,Luwane Pipkins missed Three Point Jumper.,12,15
6:51,2116,A.J. Davis Defensive Rebound.,12,15
6:40,2116,B.J. Taylor missed Three Point Jumper.,12,15
6:40,2116,A.J. Davis Offensive Rebound.,12,15
6:36,2116,Nick Banyard missed Layup.,12,15
6:36,113,Zach Lewis Defensive Rebound.,12,15
6:25,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,12,18
6:22,2116,UCF  Timeout,12,18
6:13,2116,Foul on A.J. Davis.,12,18
6:13,2116,A.J. Davis Turnover.,12,18
5:44,113,Zach Lewis Turnover.,12,18
5:42,2116,B.J. Taylor Steal.,12,18
5:26,113,Foul on Brison Gresham.,12,18
5:26,2116,Tacko Fall missed Free Throw.,12,18
5:26,113,Tyrn Flowers Defensive Rebound.,12,18
5:16,113,Zach Lewis missed Three Point Jumper.,12,18
5:16,2116,A.J. Davis Defensive Rebound.,12,18
5:13,113,Foul on Zach Lewis.,12,18
5:13,2116,Matt Williams made Free Throw.,13,18
5:13,2116,Matt Williams made Free Throw.,14,18
5:00,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,14,21
4:40,2116,Nick Banyard made Jumper. Assisted by B.J. Taylor.,16,21
4:28,113,Rashaan Holloway missed Jumper.,16,21
4:28,2116,Tacko Fall Block.,16,21
4:25,2116,Matt Williams Defensive Rebound.,16,21
4:20,2116,B.J. Taylor missed Layup.,16,21
4:20,113,Dejon Jarreau Defensive Rebound.,16,21
4:12,113,Tyrn Flowers missed Three Point Jumper.,16,21
4:12,2116,Tacko Fall Defensive Rebound.,16,21
3:58,2116,Matt Williams missed Three Point Jumper.,16,21
3:58,113,Luwane Pipkins Defensive Rebound.,16,21
3:50,113,Luwane Pipkins missed Three Point Jumper.,16,21
3:50,2116,Tacko Fall Defensive Rebound.,16,21
3:29,2116,Matt Williams missed Three Point Jumper.,16,21
3:29,113,Luwane Pipkins Defensive Rebound.,16,21
3:19,113,Luwane Pipkins missed Three Point Jumper.,16,21
3:19,113,C.J. Anderson Offensive Rebound.,16,21
3:12,113,Tyrn Flowers missed Three Point Jumper.,16,21
3:12,113,Rashaan Holloway Offensive Rebound.,16,21
3:09,113,Rashaan Holloway made Layup.,16,23
3:09,2116,Foul on B.J. Taylor.,16,23
3:09,113,Official TV Timeout,16,23
3:09,113,Rashaan Holloway made Free Throw.,16,24
2:38,2116,B.J. Taylor made Layup.,18,24
2:29,113,Dejon Jarreau Turnover.,18,24
2:27,2116,Tacko Fall Steal.,18,24
2:15,2116,Nick Banyard made Three Point Jumper. Assisted by Tanksley Efianayi.,21,24
2:15,113,Massachusetts  Timeout,21,24
1:54,2116,Foul on Chad Brown.,21,24
1:47,113,Foul on Rashaan Holloway.,21,24
1:47,113,Rashaan Holloway Turnover.,21,24
1:38,2116,Tanksley Efianayi made Three Point Jumper. Assisted by Nick Banyard.,24,24
1:18,113,Zach Lewis missed Three Point Jumper.,24,24
1:18,113,Rashaan Holloway Offensive Rebound.,24,24
1:14,113,Tyrn Flowers made Three Point Jumper. Assisted by Rashaan Holloway.,24,27
1:01,2116,UCF  Timeout,24,27
0:58,113,Foul on Luwane Pipkins.,24,27
0:58,2116,B.J. Taylor made Free Throw.,25,27
0:58,2116,B.J. Taylor missed Free Throw.,25,27
0:58,113,Tyrn Flowers Defensive Rebound.,25,27
0:48,113,Luwane Pipkins made Jumper. Assisted by C.J. Anderson.,25,29
0:16,2116,Tanksley Efianayi made Three Point Jumper. Assisted by B.J. Taylor.,28,29
0:06,2116,Foul on B.J. Taylor.,28,29
0:06,113,Luwane Pipkins missed Free Throw.,28,29
0:06,2116,Nick Banyard Defensive Rebound.,28,29
0:00,113,End of 1st half,28,29
19:45,2116,B.J. Taylor missed Layup.,28,29
19:45,113,Luwane Pipkins Defensive Rebound.,28,29
19:26,113,Donte Clark missed Jumper.,28,29
19:26,113,Donte Clark Offensive Rebound.,28,29
19:06,113,Luwane Pipkins missed Three Point Jumper.,28,29
19:06,2116,Tacko Fall Defensive Rebound.,28,29
18:36,2116,A.J. Davis Turnover.,28,29
18:32,113,Seth Berger Steal.,28,29
18:15,113,Donte Clark missed Jumper.,28,29
18:15,2116,Tacko Fall Defensive Rebound.,28,29
17:59,2116,Matt Williams missed Jumper.,28,29
17:59,113,Seth Berger Defensive Rebound.,28,29
17:43,113,Foul on Rashaan Holloway.,28,29
17:43,113,Rashaan Holloway Turnover.,28,29
17:31,2116,Tanksley Efianayi missed Jumper.,28,29
17:31,2116,Tacko Fall Offensive Rebound.,28,29
17:28,2116,Tacko Fall made Dunk.,30,29
17:14,113,Zach Lewis missed Jumper.,30,29
17:14,2116,Tanksley Efianayi Defensive Rebound.,30,29
17:00,2116,Tacko Fall made Dunk. Assisted by Nick Banyard.,32,29
16:29,113,Luwane Pipkins missed Jumper.,32,29
16:29,113,Luwane Pipkins Offensive Rebound.,32,29
16:24,113,Donte Clark missed Three Point Jumper.,32,29
16:24,113,Luwane Pipkins Offensive Rebound.,32,29
16:06,113,Luwane Pipkins missed Jumper.,32,29
16:06,2116,Tacko Fall Defensive Rebound.,32,29
15:55,113,Foul on Malik Hines.,32,29
15:55,113,Official TV Timeout,32,29
15:54,113,Foul on Donte Clark.,32,29
15:54,2116,Tanksley Efianayi made Free Throw.,33,29
15:54,2116,Tanksley Efianayi made Free Throw.,34,29
15:31,113,Zach Lewis missed Three Point Jumper.,34,29
15:31,113,Tyrn Flowers Offensive Rebound.,34,29
15:17,113,C.J. Anderson missed Three Point Jumper.,34,29
15:17,2116,Matt Williams Defensive Rebound.,34,29
15:00,2116,Nick Banyard made Dunk. Assisted by Tacko Fall.,36,29
14:56,113,Massachusetts  Timeout,36,29
14:28,113,Dejon Jarreau missed Three Point Jumper.,36,29
14:28,113,Malik Hines Offensive Rebound.,36,29
14:26,2116,Foul on Tacko Fall.,36,29
14:17,113,Malik Hines made Layup. Assisted by C.J. Anderson.,36,31
14:00,2116,Tanksley Efianayi missed Layup.,36,31
14:00,113,Massachusetts Defensive Rebound.,36,31
13:50,113,Dejon Jarreau made Jumper.,36,33
13:30,2116,A.J. Davis missed Layup.,36,33
13:30,113,Massachusetts Defensive Rebound.,36,33
13:08,113,C.J. Anderson missed Jumper.,36,33
13:08,2116,Tacko Fall Block.,36,33
13:05,2116,Tacko Fall Defensive Rebound.,36,33
12:56,2116,Tanksley Efianayi made Layup.,38,33
12:56,113,Foul on Malik Hines.,38,33
12:56,2116,Tanksley Efianayi made Free Throw.,39,33
12:51,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,39,36
12:43,2116,Foul on A.J. Davis.,39,36
12:43,2116,A.J. Davis Turnover.,39,36
12:32,113,Luwane Pipkins made Three Point Jumper. Assisted by C.J. Anderson.,39,39
12:25,113,Foul on Tyrn Flowers.,39,39
12:18,2116,A.J. Davis Turnover.,39,39
11:54,113,Luwane Pipkins missed Three Point Jumper.,39,39
11:54,2116,UCF Defensive Rebound.,39,39
11:53,113,Official TV Timeout,39,39
11:44,113,Foul on Brison Gresham.,39,39
11:40,2116,Tacko Fall Turnover.,39,39
11:39,113,Luwane Pipkins Steal.,39,39
11:36,113,Luwane Pipkins made Layup.,39,41
11:21,2116,Matt Williams Turnover.,39,41
11:19,113,Dejon Jarreau Steal.,39,41
11:18,113,Tyrn Flowers missed Three Point Jumper.,39,41
11:18,113,Brison Gresham Offensive Rebound.,39,41
11:16,113,Brison Gresham made Dunk.,39,43
11:15,2116,UCF  Timeout,39,43
11:05,2116,Tanksley Efianayi made Jumper.,41,43
10:52,113,Dejon Jarreau missed Three Point Jumper.,41,43
10:52,2116,Nick Banyard Defensive Rebound.,41,43
10:45,113,Foul on C.J. Anderson.,41,43
10:45,2116,B.J. Taylor made Free Throw.,42,43
10:45,2116,B.J. Taylor made Free Throw.,43,43
10:21,113,Tyrn Flowers made Three Point Jumper. Assisted by Dejon Jarreau.,43,46
10:10,2116,Matt Williams made Three Point Jumper. Assisted by Tanksley Efianayi.,46,46
9:55,113,Tyrn Flowers missed Three Point Jumper.,46,46
9:55,2116,Nick Banyard Defensive Rebound.,46,46
9:46,2116,B.J. Taylor made Layup.,48,46
9:46,113,Foul on Luwane Pipkins.,48,46
9:46,2116,B.J. Taylor missed Free Throw.,48,46
9:46,113,Tyrn Flowers Defensive Rebound.,48,46
9:33,2116,Foul on Chad Brown.,48,46
9:33,113,Dejon Jarreau Turnover.,48,46
9:22,2116,Matt Williams missed Three Point Jumper.,48,46
9:22,2116,UCF Offensive Rebound.,48,46
9:16,2116,Tanksley Efianayi made Jumper. Assisted by Matt Williams.,50,46
8:57,113,Luwane Pipkins missed Jumper.,50,46
8:57,2116,Nick Banyard Defensive Rebound.,50,46
8:45,2116,B.J. Taylor Turnover.,50,46
8:42,113,Malik Hines Steal.,50,46
8:42,2116,Foul on Nick Banyard.,50,46
8:42,113,Luwane Pipkins missed Free Throw.,50,46
8:42,113,Massachusetts Deadball Team Rebound.,50,46
8:42,113,Luwane Pipkins missed Free Throw.,50,46
8:42,113,Massachusetts Offensive Rebound.,50,46
8:32,113,Luwane Pipkins missed Three Point Jumper.,50,46
8:32,2116,Nick Banyard Defensive Rebound.,50,46
8:14,113,Foul on Malik Hines.,50,46
8:14,2116,Tanksley Efianayi made Free Throw.,51,46
8:14,2116,Tanksley Efianayi missed Free Throw.,51,46
8:14,113,Seth Berger Defensive Rebound.,51,46
7:59,113,Donte Clark missed Layup.,51,46
7:59,113,Seth Berger Offensive Rebound.,51,46
7:45,113,Donte Clark made Jumper.,51,48
7:17,2116,Tanksley Efianayi missed Layup.,51,48
7:17,113,Massachusetts Defensive Rebound.,51,48
7:14,113,Official TV Timeout,51,48
6:57,2116,Foul on Matt Williams.,51,48
6:57,113,Brison Gresham missed Free Throw.,51,48
6:57,113,Massachusetts Deadball Team Rebound.,51,48
6:57,113,Brison Gresham missed Free Throw.,51,48
6:57,2116,A.J. Davis Defensive Rebound.,51,48
6:38,2116,B.J. Taylor missed Jumper.,51,48
6:38,113,Brison Gresham Defensive Rebound.,51,48
6:30,113,Donte Clark missed Layup.,51,48
6:30,2116,Tacko Fall Defensive Rebound.,51,48
6:11,2116,Matt Williams Turnover.,51,48
6:08,113,Brison Gresham Steal.,51,48
6:03,113,Donte Clark missed Three Point Jumper.,51,48
6:03,2116,Tanksley Efianayi Defensive Rebound.,51,48
5:36,113,Foul on Seth Berger.,51,48
5:36,2116,Tacko Fall made Free Throw.,52,48
5:36,2116,Tacko Fall missed Free Throw.,52,48
5:36,113,Brison Gresham Defensive Rebound.,52,48
5:21,113,Brison Gresham Turnover.,52,48
5:21,2116,B.J. Taylor Steal.,52,48
5:21,113,Foul on Brison Gresham.,52,48
5:21,2116,B.J. Taylor made Free Throw.,53,48
5:21,2116,B.J. Taylor made Free Throw.,54,48
5:07,113,C.J. Anderson missed Three Point Jumper.,54,48
5:07,2116,B.J. Taylor Defensive Rebound.,54,48
4:48,2116,Matt Williams Turnover.,54,48
4:47,113,Luwane Pipkins Steal.,54,48
4:45,113,Luwane Pipkins made Layup.,54,50
4:18,113,Foul on C.J. Anderson.,54,50
4:18,2116,Tanksley Efianayi made Free Throw.,55,50
4:18,2116,Tanksley Efianayi made Free Throw.,56,50
4:06,113,Tyrn Flowers made Three Point Jumper. Assisted by C.J. Anderson.,56,53
3:41,2116,Tanksley Efianayi made Jumper.,58,53
3:16,113,Luwane Pipkins missed Layup.,58,53
3:16,113,Massachusetts Offensive Rebound.,58,53
3:12,113,Official TV Timeout,58,53
3:09,113,Zach Lewis made Jumper. Assisted by Donte Clark.,58,55
2:48,2116,Matt Williams missed Three Point Jumper.,58,55
2:48,113,Luwane Pipkins Defensive Rebound.,58,55
2:41,2116,Foul on B.J. Taylor.,58,55
2:32,113,Zach Lewis made Jumper.,58,57
2:00,113,Luwane Pipkins Steal.,58,57
2:00,2116,B.J. Taylor Turnover.,58,57
1:56,113,Donte Clark made Layup. Assisted by Luwane Pipkins.,58,59
1:56,2116,Foul on B.J. Taylor.,58,59
1:56,113,Donte Clark missed Free Throw.,58,59
1:56,2116,Tacko Fall Defensive Rebound.,58,59
1:43,113,Foul on Luwane Pipkins.,58,59
1:43,2116,Tanksley Efianayi missed Free Throw.,58,59
1:43,2116,UCF Deadball Team Rebound.,58,59
1:28,2116,Nick Banyard Turnover.,58,59
1:18,113,Donte Clark missed Layup.,58,59
1:18,2116,Nick Banyard Defensive Rebound.,58,59
1:00,2116,Matt Williams made Layup.,60,59
1:00,113,Massachusetts  Timeout,60,59
0:42,113,Luwane Pipkins missed Jumper.,60,59
0:42,2116,A.J. Davis Defensive Rebound.,60,59
0:31,113,Foul on Rashaan Holloway.,60,59
0:31,2116,Tacko Fall made Free Throw.,61,59
0:31,2116,Tacko Fall made Free Throw.,62,59
0:14,113,Donte Clark made Three Point Jumper. Assisted by Luwane Pipkins.,62,62
0:13,2116,UCF  Timeout,62,62
0:04,2116,A.J. Davis missed Layup.,62,62
0:04,2116,Nick Banyard Offensive Rebound.,62,62
0:01,2116,Nick Banyard made Three Point Jumper.,65,62
0:01,113,Massachusetts  Timeout,65,62
0:00,113,End of Game,65,62
