North Carolina Central,151,East Carolina,2428
0:00,151,End of 1st half,26,36
19:32,151,B.J. Tyson missed Layup.,26,36
19:32,151,East Carolina Offensive Rebound.,26,36
19:11,151,B.J. Tyson missed Jumper.,26,36
19:11,151,Andre Washington Offensive Rebound.,26,36
19:08,151,Andre Washington missed Jumper.,26,36
19:08,151,Andre Washington Offensive Rebound.,26,36
19:05,2428,Foul on Patrick Cole.,26,36
19:05,151,Andre Washington made Free Throw.,26,37
19:05,151,Andre Washington missed Free Throw.,26,37
19:05,2428,Patrick Cole Defensive Rebound.,26,37
18:53,2428,Rashaun Madison missed Three Point Jumper.,26,37
18:53,151,Clarence Williams Defensive Rebound.,26,37
18:42,151,Caleb White missed Jumper.,26,37
18:42,2428,Will Ransom Defensive Rebound.,26,37
18:33,2428,Rashaun Madison missed Three Point Jumper.,26,37
18:33,2428,Will Ransom Offensive Rebound.,26,37
18:28,2428,Patrick Cole made Three Point Jumper. Assisted by Will Ransom.,29,37
18:14,151,Foul on Kentrell Barkley.,29,37
18:14,151,Kentrell Barkley Turnover.,29,37
17:59,2428,Patrick Cole missed Layup.,29,37
17:59,151,Andre Washington Block.,29,37
17:57,2428,Del'Vin Dickerson Offensive Rebound.,29,37
17:56,2428,Del'Vin Dickerson made Jumper.,31,37
17:53,151,Clarence Williams Turnover.,31,37
17:53,2428,Rashaun Madison Steal.,31,37
17:52,2428,Rashaun Madison missed Jumper.,31,37
17:52,151,B.J. Tyson Defensive Rebound.,31,37
17:26,151,Kentrell Barkley missed Three Point Jumper.,31,37
17:26,2428,Rashaun Madison Defensive Rebound.,31,37
17:14,2428,Patrick Cole missed Jumper.,31,37
17:14,151,B.J. Tyson Defensive Rebound.,31,37
17:05,2428,Foul on Rashaun Madison.,31,37
16:49,151,Kentrell Barkley missed Three Point Jumper.,31,37
16:49,151,Andre Washington Offensive Rebound.,31,37
16:46,151,Andre Washington made Jumper.,31,39
16:29,2428,Ron Trapps missed Three Point Jumper.,31,39
16:29,151,Andre Washington Defensive Rebound.,31,39
16:15,151,B.J. Tyson made Layup.,31,41
15:55,2428,Patrick Cole missed Three Point Jumper.,31,41
15:55,151,Clarence Williams Defensive Rebound.,31,41
15:43,151,B.J. Tyson Turnover.,31,41
15:41,2428,Dajuan Graf Steal.,31,41
15:40,2428,Dajuan Graf made Layup.,33,41
15:06,151,Caleb White missed Layup.,33,41
15:06,151,Clarence Williams Offensive Rebound.,33,41
15:03,151,Clarence Williams missed Jumper.,33,41
15:03,2428,Will Ransom Block.,33,41
15:03,151,East Carolina Offensive Rebound.,33,41
15:03,151,Official TV Timeout,33,41
15:02,151,Clarence Williams Turnover.,33,41
15:02,2428,Ron Trapps Steal.,33,41
14:58,2428,Patrick Cole Turnover.,33,41
14:29,151,Jeremy Sheppard missed Three Point Jumper.,33,41
14:29,2428,Pablo Rivas Defensive Rebound.,33,41
14:22,2428,Patrick Cole Turnover.,33,41
14:21,151,Jeremy Sheppard Steal.,33,41
14:17,151,Clarence Williams made Layup. Assisted by Jeremy Sheppard.,33,43
13:57,2428,Will Ransom missed Layup.,33,43
13:57,151,Andre Washington Block.,33,43
13:56,151,Andre Washington Defensive Rebound.,33,43
13:55,2428,Foul on Will Ransom.,33,43
13:43,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,33,46
13:16,2428,Patrick Cole missed Three Point Jumper.,33,46
13:16,151,East Carolina Defensive Rebound.,33,46
12:57,151,Caleb White missed Layup.,33,46
12:57,151,Andre Washington Offensive Rebound.,33,46
12:54,151,Andre Washington missed Layup.,33,46
12:54,2428,Dajuan Graf Defensive Rebound.,33,46
12:48,151,Foul on B.J. Tyson.,33,46
12:48,2428,Foul on Will Ransom.,33,46
12:48,2428,Will Ransom Turnover.,33,46
12:20,151,B.J. Tyson Turnover.,33,46
12:19,2428,Will Ransom Steal.,33,46
12:13,2428,Patrick Cole missed Three Point Jumper.,33,46
12:13,151,Caleb White Defensive Rebound.,33,46
12:07,151,Caleb White Turnover.,33,46
12:07,2428,Patrick Cole Steal.,33,46
11:56,2428,Pablo Rivas made Jumper. Assisted by Dajuan Graf.,35,46
11:38,151,Deng Riak missed Three Point Jumper.,35,46
11:38,151,Jabari Craig Offensive Rebound.,35,46
11:28,151,Jabari Craig missed Jumper.,35,46
11:28,151,Deng Riak Offensive Rebound.,35,46
11:21,151,Deng Riak Turnover.,35,46
11:19,151,Official TV Timeout,35,46
10:58,2428,Rashaun Madison missed Three Point Jumper.,35,46
10:58,151,Jeremy Sheppard Defensive Rebound.,35,46
10:47,151,Clarence Williams made Jumper. Assisted by B.J. Tyson.,35,48
10:28,2428,Rashaun Madison made Three Point Jumper. Assisted by Patrick Cole.,38,48
10:03,151,Clarence Williams missed Layup.,38,48
10:03,2428,Pablo Rivas Defensive Rebound.,38,48
9:52,151,Foul on Caleb White.,38,48
9:43,2428,Rashaun Madison missed Three Point Jumper.,38,48
9:43,151,Clarence Williams Defensive Rebound.,38,48
9:29,151,B.J. Tyson missed Layup.,38,48
9:29,2428,Dajuan Graf Defensive Rebound.,38,48
9:10,2428,Patrick Cole missed Layup.,38,48
9:09,151,Clarence Williams Defensive Rebound.,38,48
9:08,2428,Foul on Will Ransom.,38,48
9:08,2428,Will Ransom Turnover.,38,48
8:57,151,Kentrell Barkley Turnover.,38,48
8:56,2428,Will Ransom Steal.,38,48
8:54,2428,Patrick Cole Turnover.,38,48
8:53,151,Clarence Williams Steal.,38,48
8:45,151,Andre Washington made Jumper. Assisted by Jeremy Sheppard.,38,50
8:20,2428,Patrick Cole made Three Point Jumper.,41,50
7:49,151,Clarence Williams made Jumper.,41,52
7:49,2428,Foul on Will Ransom.,41,52
7:49,151,Official TV Timeout,41,52
7:48,151,Clarence Williams made Free Throw.,41,53
7:37,151,Foul on Raquan Wilkins.,41,53
7:37,2428,Patrick Cole missed Free Throw.,41,53
7:37,2428,North Carolina Central Deadball Team Rebound.,41,53
7:37,2428,Patrick Cole made Free Throw.,42,53
7:23,151,Foul on Raquan Wilkins.,42,53
7:23,151,Raquan Wilkins Turnover.,42,53
7:06,2428,Michael Wolfe missed Three Point Jumper.,42,53
7:06,151,Caleb White Defensive Rebound.,42,53
6:57,151,Clarence Williams missed Layup.,42,53
6:57,151,Raquan Wilkins Offensive Rebound.,42,53
6:46,2428,Foul on Rashaun Madison.,42,53
6:46,151,Jeremy Sheppard missed Free Throw.,42,53
6:46,151,East Carolina Deadball Team Rebound.,42,53
6:46,151,Jeremy Sheppard missed Free Throw.,42,53
6:46,2428,North Carolina Central Defensive Rebound.,42,53
6:45,151,Foul on Andre Washington.,42,53
6:34,2428,Rashaun Madison made Jumper.,44,53
6:20,151,Caleb White made Layup.,44,55
5:57,2428,Dajuan Graf made Three Point Jumper. Assisted by Patrick Cole.,47,55
5:56,2428,North Carolina Central  Timeout,47,55
5:30,151,Caleb White made Three Point Jumper. Assisted by Jeremy Sheppard.,47,58
4:57,2428,Pablo Rivas Turnover.,47,58
4:56,151,Clarence Williams Steal.,47,58
4:32,151,Caleb White missed Jumper.,47,58
4:32,2428,Michael Wolfe Defensive Rebound.,47,58
4:25,2428,Rashaun Madison missed Three Point Jumper.,47,58
4:25,151,Caleb White Defensive Rebound.,47,58
4:17,151,Jeremy Sheppard made Layup. Assisted by Kentrell Barkley.,47,60
3:53,2428,Rashaun Madison made Three Point Jumper. Assisted by Patrick Cole.,50,60
3:25,2428,Foul on Michael Wolfe.,50,60
3:25,151,Official TV Timeout,50,60
3:25,151,Jeremy Sheppard made Free Throw.,50,61
3:25,151,Jeremy Sheppard made Free Throw.,50,62
3:04,2428,Dajuan Graf Turnover.,50,62
2:41,2428,Foul on Michael Wolfe.,50,62
2:41,151,Andre Washington missed Free Throw.,50,62
2:41,151,East Carolina Deadball Team Rebound.,50,62
2:41,151,Andre Washington missed Free Throw.,50,62
2:41,2428,Pablo Rivas Defensive Rebound.,50,62
2:27,2428,Rashaun Madison made Three Point Jumper. Assisted by Dajuan Graf.,53,62
2:14,151,B.J. Tyson Turnover.,53,62
2:12,2428,Rashaun Madison Steal.,53,62
2:12,151,Foul on B.J. Tyson.,53,62
2:12,2428,Rashaun Madison missed Free Throw.,53,62
2:12,2428,North Carolina Central Deadball Team Rebound.,53,62
2:12,2428,Rashaun Madison missed Free Throw.,53,62
2:01,151,Andre Washington made Layup. Assisted by Jeremy Sheppard.,53,64
1:42,2428,Dajuan Graf missed Layup.,53,64
1:42,151,Andre Washington Defensive Rebound.,53,64
1:39,2428,Foul on Will Ransom.,53,64
1:39,151,Andre Washington made Free Throw.,53,65
1:39,151,Andre Washington missed Free Throw.,53,65
1:39,2428,Pablo Rivas Defensive Rebound.,53,65
1:22,2428,Rashaun Madison missed Three Point Jumper.,53,65
1:22,2428,Patrick Cole Offensive Rebound.,53,65
1:17,2428,Patrick Cole missed Three Point Jumper.,53,65
1:17,151,Jeremy Sheppard Defensive Rebound.,53,65
1:11,151,Caleb White made Layup. Assisted by Jeremy Sheppard.,53,67
0:57,151,Foul on Jeremy Sheppard.,53,67
0:57,2428,Patrick Cole made Free Throw.,54,67
0:57,2428,Patrick Cole missed Free Throw.,54,67
0:57,2428,North Carolina Central Offensive Rebound.,54,67
0:54,2428,Dajuan Graf Turnover.,54,67
0:26,151,B.J. Tyson missed Layup.,54,67
0:26,151,Clarence Williams Offensive Rebound.,54,67
0:22,151,Clarence Williams made Jumper.,54,69
0:13,2428,Michael Wolfe made Layup. Assisted by Dajuan Graf.,56,69
0:00,2428,North Carolina Central Deadball Team Rebound.,56,69
0:00,151,End of Game,56,69
