South Florida,45,George Washington,58
2:47,45,Tyler Cavanaugh Turnover.,67,63
2:46,58,Malik Fitts Steal.,67,63
2:20,58,Jahmal McMurray missed Jumper.,67,63
2:20,45,George Washington Deadball Team Rebound.,67,63
2:18,58,South Florida  Turnover.,67,63
1:49,45,Collin Smith missed Jumper.,67,63
1:49,58,Malik Fitts Defensive Rebound.,67,63
1:47,45,Foul on Collin Smith.,67,63
1:35,58,Tulio Da Silva missed Jumper.,67,63
1:35,45,Collin Smith Defensive Rebound.,67,63
1:30,45,Collin Smith Turnover.,67,63
1:08,58,Jahmal McMurray missed Jumper.,67,63
1:08,45,Tyler Cavanaugh Defensive Rebound.,67,63
0:46,58,Foul on Ruben Guerrero.,67,63
0:46,58,South Florida  Timeout,67,63
0:46,45,Collin Smith made Free Throw.,67,64
0:46,45,Collin Smith made Free Throw.,67,65
0:32,45,Foul on Collin Smith.,67,65
0:32,58,Luis Santos missed Free Throw.,67,65
0:32,58,South Florida Deadball Team Rebound.,67,65
0:32,58,Luis Santos missed Free Throw.,67,65
0:32,45,Tyler Cavanaugh Defensive Rebound.,67,65
0:26,45,George Washington  Timeout,67,65
0:03,45,Collin Smith made Three Point Jumper. Assisted by Matt Hart.,67,68
0:01,58,Jahmal McMurray Turnover.,67,68
0:01,45,Jaren Sina Steal.,67,68
0:00,45,End of Game,67,68
