Oklahoma,275,Wisconsin,201
12:22,201,Kameron McGusty made Three Point Jumper. Assisted by Darrion Strong-Moore.,17,14
12:06,201,Foul on Jordan Woodard.,17,14
12:02,275,D'Mitrik Trice made Three Point Jumper. Assisted by Nigel Hayes.,17,17
11:47,201,Kristian Doolittle missed Jumper.,17,17
11:47,201,Oklahoma Deadball Team Rebound.,17,17
11:47,275,Foul on Vitto Brown.,17,17
11:47,275,Official TV Timeout,17,17
11:46,201,Jordan Woodard Turnover.,17,17
11:45,275,Zak Showalter Steal.,17,17
11:27,275,Nigel Hayes missed Layup.,17,17
11:27,201,Jamuni McNeace Block.,17,17
11:25,201,Kristian Doolittle Defensive Rebound.,17,17
11:20,201,Jordan Woodard made Three Point Jumper.,20,17
11:05,275,D'Mitrik Trice missed Layup.,20,17
11:05,201,Kristian Doolittle Defensive Rebound.,20,17
10:52,201,Jordan Woodard missed Jumper.,20,17
10:52,275,Bronson Koenig Defensive Rebound.,20,17
10:31,275,Zak Showalter Turnover.,20,17
10:16,201,Jamuni McNeace missed Jumper.,20,17
10:16,275,Khalil Iverson Defensive Rebound.,20,17
10:16,201,Foul on Dante Buford.,20,17
10:05,201,Foul on Kameron McGusty.,20,17
9:53,275,Nigel Hayes made Free Throw.,20,18
9:53,275,Nigel Hayes missed Free Throw.,20,18
9:52,275,Wisconsin Offensive Rebound.,20,18
9:40,275,Vitto Brown missed Three Point Jumper.,20,18
9:40,275,Ethan Happ Offensive Rebound.,20,18
9:34,275,Ethan Happ missed Layup.,20,18
9:34,201,Jordan Woodard Defensive Rebound.,20,18
9:28,201,Jordan Shepherd missed Jumper.,20,18
9:28,275,Bronson Koenig Block.,20,18
9:26,275,Vitto Brown Defensive Rebound.,20,18
9:09,275,Bronson Koenig missed Three Point Jumper.,20,18
9:09,201,Kameron McGusty Defensive Rebound.,20,18
8:58,201,Jordan Woodard made Three Point Jumper.,23,18
8:57,275,Wisconsin  Timeout,23,18
8:30,275,Nigel Hayes missed Jumper.,23,18
8:30,275,Khalil Iverson Offensive Rebound.,23,18
8:26,275,Khalil Iverson missed Layup.,23,18
8:26,275,Khalil Iverson Offensive Rebound.,23,18
8:24,275,Khalil Iverson made Dunk.,23,20
8:23,201,Foul on Dante Buford.,23,20
8:23,275,Khalil Iverson missed Free Throw.,23,20
8:23,201,Oklahoma Deadball Team Rebound.,23,20
8:22,275,Foul on Charles Thomas IV.,23,20
8:09,201,Khadeem Lattin missed Layup.,23,20
8:09,275,Ethan Happ Defensive Rebound.,23,20
8:01,275,D'Mitrik Trice made Jumper.,23,22
7:51,201,Jordan Woodard made Three Point Jumper.,26,22
7:41,275,D'Mitrik Trice missed Jumper.,26,22
7:41,201,Jordan Woodard Defensive Rebound.,26,22
7:17,275,Foul on Ethan Happ.,26,22
7:17,275,Official TV Timeout,26,22
7:17,201,Kameron McGusty made Free Throw.,27,22
7:17,201,Kameron McGusty made Free Throw.,28,22
6:49,275,Ethan Happ made Layup.,28,24
6:36,201,Khadeem Lattin made Dunk. Assisted by Christian James.,30,24
6:18,275,Zak Showalter made Layup. Assisted by Ethan Happ.,30,26
6:12,201,Darrion Strong-Moore made Layup.,32,26
5:50,275,Ethan Happ Turnover.,32,26
5:28,201,Matt Freeman missed Three Point Jumper.,32,26
5:28,201,Khadeem Lattin Offensive Rebound.,32,26
5:15,201,Jordan Woodard missed Three Point Jumper.,32,26
5:15,275,Ethan Happ Defensive Rebound.,32,26
4:55,275,Jordan Hill missed Three Point Jumper.,32,26
4:55,201,Oklahoma Deadball Team Rebound.,32,26
4:55,275,Foul on Nigel Hayes.,32,26
4:55,201,Khadeem Lattin made Free Throw.,33,26
4:55,201,Khadeem Lattin made Free Throw.,34,26
4:37,201,Foul on Christian James.,34,26
4:36,275,Nigel Hayes missed Free Throw.,34,26
4:36,201,Khadeem Lattin Defensive Rebound.,34,26
4:25,201,Matt Freeman Turnover.,34,26
3:58,275,Zak Showalter missed Three Point Jumper.,34,26
3:58,201,Oklahoma Defensive Rebound.,34,26
3:58,275,Official TV Timeout,34,26
3:46,201,Darrion Strong-Moore Turnover.,34,26
3:45,275,Ethan Happ Steal.,34,26
3:19,275,Ethan Happ made Layup.,34,28
3:19,201,Foul on Khadeem Lattin.,34,28
3:19,275,Ethan Happ missed Free Throw.,34,28
3:19,201,Jordan Woodard Defensive Rebound.,34,28
3:08,201,Jordan Woodard missed Jumper.,34,28
3:08,275,Ethan Happ Block.,34,28
3:06,275,Ethan Happ Defensive Rebound.,34,28
3:01,275,Ethan Happ Turnover.,34,28
2:57,201,Kristian Doolittle Turnover.,34,28
2:56,201,Kristian Doolittle made Jumper.,36,28
2:39,275,Ethan Happ made Layup.,36,30
2:28,201,Foul on Kristian Doolittle.,36,30
2:28,201,Kristian Doolittle Turnover.,36,30
2:08,275,Nigel Hayes made Jumper.,36,32
1:51,201,Jordan Woodard missed Jumper.,36,32
1:51,275,Jordan Hill Defensive Rebound.,36,32
1:16,201,Foul on Khadeem Lattin.,36,32
1:16,275,Ethan Happ made Free Throw.,36,33
1:16,275,Ethan Happ made Free Throw.,36,34
1:02,201,Darrion Strong-Moore made Layup.,38,34
0:42,275,Nigel Hayes made Three Point Jumper. Assisted by Jordan Hill.,38,37
0:34,201,Oklahoma  Timeout,38,37
0:19,201,Christian James made Jumper.,40,37
0:00,275,Bronson Koenig missed Three Point Jumper.,40,37
0:00,201,Kristian Doolittle Defensive Rebound.,40,37
0:00,275,End of 1st half,40,37
19:36,275,Bronson Koenig made Jumper.,40,39
19:28,201,Rashard Odomes missed Jumper.,40,39
19:28,201,Khadeem Lattin Offensive Rebound.,40,39
19:27,201,Khadeem Lattin made Jumper.,42,39
19:27,275,Foul on Zak Showalter.,42,39
19:27,201,Khadeem Lattin made Free Throw.,43,39
19:16,201,Foul on Matt Freeman.,43,39
19:01,275,Vitto Brown made Three Point Jumper. Assisted by Charles Thomas IV.,43,42
18:46,275,Foul on Charles Thomas IV.,43,42
18:46,201,Rashard Odomes missed Free Throw.,43,42
18:46,201,Oklahoma Deadball Team Rebound.,43,42
18:46,201,Rashard Odomes made Free Throw.,44,42
18:25,201,Foul on Christian James.,44,42
18:25,275,Nigel Hayes made Free Throw.,44,43
18:25,275,Nigel Hayes made Free Throw.,44,44
18:13,201,Jordan Woodard missed Jumper.,44,44
18:13,275,Wisconsin Defensive Rebound.,44,44
17:49,275,Charles Thomas IV Turnover.,44,44
17:42,201,Rashard Odomes made Jumper.,46,44
17:14,275,Nigel Hayes missed Layup.,46,44
17:14,275,Vitto Brown Offensive Rebound.,46,44
17:09,275,Vitto Brown made Jumper.,46,46
16:52,201,Matt Freeman missed Three Point Jumper.,46,46
16:52,275,Bronson Koenig Defensive Rebound.,46,46
16:42,275,Charles Thomas IV missed Jumper.,46,46
16:42,201,Matt Freeman Defensive Rebound.,46,46
16:37,201,Rashard Odomes made Layup.,48,46
16:16,275,Zak Showalter made Three Point Jumper. Assisted by Nigel Hayes.,48,49
16:12,201,Christian James made Layup. Assisted by Rashard Odomes.,50,49
15:54,275,Nigel Hayes made Dunk. Assisted by Vitto Brown.,50,51
15:37,201,Matt Freeman missed Three Point Jumper.,50,51
15:37,275,Vitto Brown Defensive Rebound.,50,51
15:22,275,Nigel Hayes missed Jumper.,50,51
15:22,201,Jordan Woodard Defensive Rebound.,50,51
15:14,201,Jordan Woodard missed Layup.,50,51
15:14,275,Nigel Hayes Defensive Rebound.,50,51
14:58,275,Bronson Koenig missed Three Point Jumper.,50,51
14:58,201,Khadeem Lattin Defensive Rebound.,50,51
14:30,201,Christian James made Jumper.,52,51
14:07,275,Nigel Hayes made Jumper.,52,53
13:55,201,Foul on Matt Freeman.,52,53
13:55,201,Matt Freeman Turnover.,52,53
13:55,275,Official TV Timeout,52,53
13:25,275,Nigel Hayes made Jumper.,52,55
13:11,201,Darrion Strong-Moore missed Three Point Jumper.,52,55
13:11,201,Jamuni McNeace Offensive Rebound.,52,55
13:03,201,Foul on Christian James.,52,55
13:03,275,Foul on D'Mitrik Trice.,52,55
13:00,201,Christian James made Jumper.,54,55
13:00,275,Foul on D'Mitrik Trice.,54,55
13:00,201,Christian James missed Free Throw.,54,55
13:00,275,Ethan Happ Defensive Rebound.,54,55
12:37,201,Foul on Christian James.,54,55
12:37,275,Khalil Iverson missed Free Throw.,54,55
12:37,275,Wisconsin Deadball Team Rebound.,54,55
12:37,275,Khalil Iverson missed Free Throw.,54,55
12:37,201,Jamuni McNeace Defensive Rebound.,54,55
12:25,201,Rashard Odomes made Jumper.,56,55
12:06,275,Ethan Happ made Layup.,56,57
11:45,201,Rashard Odomes made Jumper.,58,57
11:29,275,Bronson Koenig made Three Point Jumper. Assisted by Ethan Happ.,58,60
11:14,201,Rashard Odomes Turnover.,58,60
11:14,275,Official TV Timeout,58,60
10:57,201,Foul on Kristian Doolittle.,58,60
10:57,275,Nigel Hayes made Free Throw.,58,61
10:57,275,Nigel Hayes made Free Throw.,58,62
10:36,201,Kameron McGusty made Jumper.,60,62
10:16,275,Ethan Happ made Layup.,60,64
10:10,201,Kristian Doolittle Turnover.,60,64
9:58,275,Khalil Iverson made Dunk. Assisted by Zak Showalter.,60,66
9:56,201,Oklahoma  Timeout,60,66
9:44,201,Khadeem Lattin Turnover.,60,66
9:43,275,Ethan Happ Steal.,60,66
9:20,275,Bronson Koenig made Three Point Jumper.,60,69
9:06,201,Kristian Doolittle Turnover.,60,69
8:32,275,Nigel Hayes made Jumper.,60,71
8:30,201,Oklahoma  Timeout,60,71
8:20,201,Kameron McGusty Turnover.,60,71
8:19,275,Ethan Happ Steal.,60,71
7:57,275,Zak Showalter missed Three Point Jumper.,60,71
7:57,275,Wisconsin Deadball Team Rebound.,60,71
7:57,201,Foul on Dante Buford.,60,71
7:57,275,Ethan Happ missed Free Throw.,60,71
7:57,201,Khadeem Lattin Defensive Rebound.,60,71
7:44,201,Kameron McGusty Turnover.,60,71
7:18,275,Bronson Koenig missed Layup.,60,71
7:18,201,Dante Buford Block.,60,71
7:16,275,Nigel Hayes Offensive Rebound.,60,71
7:13,275,Nigel Hayes made Three Point Jumper.,60,74
6:57,201,Christian James missed Jumper.,60,74
6:57,275,Khalil Iverson Defensive Rebound.,60,74
6:39,275,D'Mitrik Trice made Three Point Jumper. Assisted by Nigel Hayes.,60,77
6:24,201,Dante Buford missed Jumper.,60,77
6:24,275,Vitto Brown Block.,60,77
6:24,201,Oklahoma Offensive Rebound.,60,77
6:17,275,Foul on Bronson Koenig.,60,77
6:17,201,Khadeem Lattin made Free Throw.,61,77
6:17,201,Khadeem Lattin made Free Throw.,62,77
5:53,275,Khalil Iverson missed Jumper.,62,77
5:53,201,Khadeem Lattin Defensive Rebound.,62,77
5:44,275,Foul on Khalil Iverson.,62,77
5:44,201,Rashard Odomes made Free Throw.,63,77
5:44,201,Rashard Odomes missed Free Throw.,63,77
5:44,275,Zak Showalter Defensive Rebound.,63,77
5:30,275,D'Mitrik Trice made Three Point Jumper. Assisted by Nigel Hayes.,63,80
5:01,201,Darrion Strong-Moore made Three Point Jumper.,66,80
4:38,275,Vitto Brown missed Three Point Jumper.,66,80
4:38,201,Dante Buford Defensive Rebound.,66,80
4:29,275,Foul on Bronson Koenig.,66,80
4:29,201,Dante Buford made Free Throw.,67,80
4:29,201,Dante Buford made Free Throw.,68,80
4:05,275,Bronson Koenig made Three Point Jumper. Assisted by Nigel Hayes.,68,83
3:52,201,Darrion Strong-Moore missed Three Point Jumper.,68,83
3:52,275,Bronson Koenig Defensive Rebound.,68,83
3:23,275,Vitto Brown missed Three Point Jumper.,68,83
3:23,275,Zak Showalter Offensive Rebound.,68,83
3:07,201,Foul on Khadeem Lattin.,68,83
3:07,275,Official TV Timeout,68,83
3:07,275,Nigel Hayes missed Free Throw.,68,83
3:07,275,Wisconsin Deadball Team Rebound.,68,83
3:07,275,Nigel Hayes made Free Throw.,68,84
2:47,201,Rashard Odomes made Layup.,70,84
2:13,201,Foul on Khadeem Lattin.,70,84
2:13,275,Nigel Hayes made Free Throw.,70,85
2:13,275,Nigel Hayes made Free Throw.,70,86
2:06,201,Khadeem Lattin Turnover.,70,86
1:52,275,Bronson Koenig missed Three Point Jumper.,70,86
1:52,201,Christian James Defensive Rebound.,70,86
1:43,201,Rashard Odomes missed Layup.,70,86
1:43,275,Ethan Happ Block.,70,86
1:41,275,Ethan Happ Defensive Rebound.,70,86
1:17,275,Zak Showalter missed Three Point Jumper.,70,86
1:17,275,Ethan Happ Offensive Rebound.,70,86
1:15,275,Wisconsin  Timeout,70,86
0:50,275,D'Mitrik Trice made Layup.,70,88
0:34,201,Khadeem Lattin missed Layup.,70,88
0:34,275,Zak Showalter Defensive Rebound.,70,88
0:29,275,Ethan Happ made Dunk. Assisted by D'Mitrik Trice.,70,90
0:18,201,Dante Buford missed Three Point Jumper.,70,90
0:18,275,Jordan Hill Defensive Rebound.,70,90
0:00,275,End of Game,70,90
