LSU Shreveport,Error,Sam Houston State,2534
13:48,2534,Jovante' Spivey Defensive Rebound.,10,11
13:44,-1,Foul on Bj Batts.,10,11
13:30,2534,Jesse Lopez Jr. missed Layup.,10,11
13:30,-1,Rashard Owens Defensive Rebound.,10,11
13:10,-1,CJ McGill missed Jumper.,10,11
13:10,2534,Jesse Lopez Jr. Defensive Rebound.,10,11
13:07,2534,Christopher Galbreath Jr. Turnover.,10,11
12:56,-1,CJ McGill made Three Point Jumper. Assisted by CJ McGill.,13,11
12:37,2534,John Dewey III missed Three Point Jumper.,13,11
12:37,-1,David Holmes Defensive Rebound.,13,11
12:25,2534,Foul on Jovante' Spivey.,13,11
12:01,-1,Bj Batts missed Jumper.,13,11
12:01,2534,Jesse Lopez Jr. Defensive Rebound.,13,11
11:52,2534,Jamal Williams made Jumper. Assisted by Jovante' Spivey.,13,13
11:27,2534,Foul on Jesse Lopez Jr..,13,13
10:59,-1,CJ McGill missed Three Point Jumper.,13,13
10:59,2534,Jamal Williams Defensive Rebound.,13,13
10:40,-1,Foul on Uzonna Akazi.,13,13
10:33,2534,Jovante' Spivey made Jumper. Assisted by Christopher Galbreath Jr..,13,15
9:58,-1,CJ McGill made Jumper. Assisted by Josh Walker.,15,15
9:46,2534,Dakarai Henderson missed Three Point Jumper.,15,15
9:46,2534,Torry Butler Offensive Rebound.,15,15
9:33,2534,Dakarai Henderson made Jumper. Assisted by Torry Butler.,15,17
9:33,-1,Foul on Uzonna Akazi.,15,17
9:33,2534,Dakarai Henderson made Free Throw.,15,18
9:02,-1,Rashard Owens made Three Point Jumper. Assisted by Greg Pollins.,18,18
8:51,2534,Christopher Galbreath Jr. Turnover.,18,18
8:48,-1,CJ McGill Steal.,18,18
8:22,-1,Greg Pollins missed Jumper.,18,18
8:22,2534,Christopher Galbreath Jr. Defensive Rebound.,18,18
8:12,2534,Christopher Galbreath Jr. Turnover.,18,18
8:12,-1,Josh Walker Steal.,18,18
7:57,-1,Greg Pollins made Jumper. Assisted by Josh Walker.,20,18
7:35,2534,Paul Baxter missed Three Point Jumper.,20,18
7:35,2534,Christopher Galbreath Jr. Offensive Rebound.,20,18
7:30,2534,Christopher Galbreath Jr. made Two Point Tip Shot.,20,20
7:14,-1,Josh Walker missed Layup.,20,20
7:14,2534,Paul Baxter Defensive Rebound.,20,20
6:59,2534,Christopher Galbreath Jr. missed Jumper.,20,20
6:59,-1,Bj Batts Defensive Rebound.,20,20
6:45,-1,Greg Pollins missed Layup.,20,20
6:45,2534,Torry Butler Defensive Rebound.,20,20
6:35,2534,Jamal Williams missed Layup.,20,20
6:35,-1,Tyrell Springer Defensive Rebound.,20,20
6:18,-1,Tyrell Springer made Layup. Assisted by Greg Pollins.,22,20
6:04,2534,Paul Baxter missed Three Point Jumper.,22,20
6:04,-1,Uzonna Akazi Defensive Rebound.,22,20
5:57,-1,Greg Pollins Turnover.,22,20
5:55,2534,Paul Baxter missed Layup.,22,20
5:55,-1,Tyrell Springer Defensive Rebound.,22,20
5:50,-1,CJ McGill made Layup. Assisted by Tyrell Springer.,24,20
5:32,2534,Albert Almanza missed Jumper.,24,20
5:32,-1,David Holmes Defensive Rebound.,24,20
5:18,-1,Bj Batts missed Layup.,24,20
5:18,2534,Torry Butler Defensive Rebound.,24,20
5:12,2534,Albert Almanza missed Three Point Jumper.,24,20
5:12,-1,David Holmes Defensive Rebound.,24,20
4:54,2534,Foul on Albert Almanza.,24,20
4:41,-1,Uzonna Akazi missed Jumper.,24,20
4:41,-1,Uzonna Akazi Offensive Rebound.,24,20
4:38,2534,Foul on Albert Almanza.,24,20
4:38,-1,Uzonna Akazi made Free Throw.,25,20
4:38,-1,Uzonna Akazi made Free Throw.,26,20
4:35,2534,Dakarai Henderson Turnover.,26,20
4:26,-1,Bj Batts missed Three Point Jumper.,26,20
4:26,2534,Dakarai Henderson Defensive Rebound.,26,20
4:10,2534,Josh Delaney missed Three Point Jumper.,26,20
4:10,-1,David Holmes Defensive Rebound.,26,20
4:10,2534,Foul on Aurimas Majauskas.,26,20
3:53,-1,Uzonna Akazi made Jumper. Assisted by Bj Batts.,28,20
3:41,2534,Dakarai Henderson made Jumper. Assisted by Albert Almanza.,28,22
3:12,-1,CJ McGill missed Jumper.,28,22
3:12,2534,Albert Almanza Defensive Rebound.,28,22
2:52,2534,Cameron Delaney made Jumper. Assisted by Josh Delaney.,28,24
2:28,-1,Bj Batts Turnover.,28,24
2:26,2534,Dakarai Henderson Steal.,28,24
2:22,2534,Dakarai Henderson made Layup. Assisted by John Dewey III.,28,26
2:10,-1,Tyrell Springer made Layup. Assisted by Uzonna Akazi.,30,26
1:53,-1,Foul on Bj Batts.,30,26
1:48,-1,Foul on Greg Pollins.,30,26
1:48,2534,Dakarai Henderson missed Free Throw.,30,26
1:48,2534,Sam Houston St Deadball Team Rebound.,30,26
1:48,2534,Dakarai Henderson made Free Throw.,30,27
1:35,-1,CJ McGill Turnover.,30,27
1:33,2534,John Dewey III Steal.,30,27
1:30,2534,John Dewey III made Layup.,30,29
1:13,-1,CJ McGill missed Jumper.,30,29
1:13,2534,Aurimas Majauskas Defensive Rebound.,30,29
1:05,2534,Cameron Delaney made Three Point Jumper. Assisted by Dakarai Henderson.,30,32
0:42,-1,Josh Walker made Three Point Jumper. Assisted by CJ McGill.,33,32
0:29,2534,John Dewey III made Layup.,33,34
0:17,2534,Foul on Aurimas Majauskas.,33,34
0:00,-1,CJ McGill missed Three Point Jumper.,33,34
0:00,2534,Torry Butler Block.,33,34
0:00,2534,Torry Butler Defensive Rebound.,33,34
0:00,2534,End of 1st half,33,34
19:30,-1,Tyrell Springer missed Jumper.,33,34
19:30,2534,Paul Baxter Defensive Rebound.,33,34
19:22,2534,John Dewey III made Jumper. Assisted by Paul Baxter.,33,36
18:59,-1,Josh Walker Turnover.,33,36
18:58,2534,Paul Baxter Steal.,33,36
18:55,2534,John Dewey III made Layup. Assisted by Paul Baxter.,33,38
18:39,-1,Rashard Owens missed Three Point Jumper.,33,38
18:39,2534,John Dewey III Defensive Rebound.,33,38
18:32,2534,Aurimas Majauskas made Three Point Jumper. Assisted by Torry Butler.,33,41
18:26,-1,Bj Batts Turnover.,33,41
18:14,2534,Dakarai Henderson missed Three Point Jumper.,33,41
18:14,2534,Aurimas Majauskas Offensive Rebound.,33,41
18:08,2534,Aurimas Majauskas missed Layup.,33,41
18:08,-1,David Holmes Defensive Rebound.,33,41
17:55,2534,Foul on John Dewey III.,33,41
17:40,-1,CJ McGill missed Three Point Jumper.,33,41
17:40,2534,Aurimas Majauskas Defensive Rebound.,33,41
17:35,-1,Foul on Rashard Owens.,33,41
17:24,2534,Paul Baxter Turnover.,33,41
17:22,-1,CJ McGill Steal.,33,41
17:20,-1,Rashard Owens made Layup. Assisted by CJ McGill.,35,41
17:01,2534,John Dewey III missed Three Point Jumper.,35,41
17:01,-1,Rashard Owens Defensive Rebound.,35,41
16:48,-1,CJ McGill Turnover.,35,41
16:48,2534,John Dewey III Steal.,35,41
16:26,2534,Torry Butler missed Three Point Jumper.,35,41
16:26,2534,Aurimas Majauskas Offensive Rebound.,35,41
16:16,2534,Aurimas Majauskas made Layup. Assisted by John Dewey III.,35,43
16:06,-1,Rashard Owens Turnover.,35,43
15:52,-1,Foul on CJ McGill.,35,43
15:52,2534,Paul Baxter missed Three Point Jumper.,35,43
15:52,-1,David Holmes Defensive Rebound.,35,43
15:25,2534,Foul on Paul Baxter.,35,43
15:19,-1,Foul on CJ McGill.,35,43
15:19,-1,CJ McGill Turnover.,35,43
15:04,2534,Dakarai Henderson made Layup. Assisted by John Dewey III.,35,45
14:42,-1,Uzonna Akazi missed Three Point Jumper.,35,45
14:42,-1,Uzonna Akazi Offensive Rebound.,35,45
14:36,-1,Uzonna Akazi Turnover.,35,45
14:35,2534,John Dewey III Steal.,35,45
14:32,2534,John Dewey III Turnover.,35,45
14:32,2534,Foul on John Dewey III.,35,45
14:09,-1,Josh Walker made Layup.,37,45
13:55,2534,Dakarai Henderson missed Three Point Jumper.,37,45
13:55,2534,Dakarai Henderson Offensive Rebound.,37,45
13:50,-1,Foul on Greg Pollins.,37,45
13:50,2534,Dakarai Henderson made Free Throw.,37,46
13:50,2534,Dakarai Henderson made Free Throw.,37,47
13:39,-1,Josh Walker missed Three Point Jumper.,37,47
13:39,2534,Jovante' Spivey Defensive Rebound.,37,47
13:20,2534,Christopher Galbreath Jr. missed Jumper.,37,47
13:20,-1,David Holmes Defensive Rebound.,37,47
13:17,2534,Foul on John Dewey III.,37,47
12:48,-1,Tyrell Springer Turnover.,37,47
12:48,-1,Foul on Tyrell Springer.,37,47
12:35,2534,Jovante' Spivey missed Jumper.,37,47
12:35,-1,Rashard Owens Defensive Rebound.,37,47
12:25,-1,Greg Pollins missed Three Point Jumper.,37,47
12:25,2534,Torry Butler Defensive Rebound.,37,47
12:18,2534,Foul on Dakarai Henderson.,37,47
12:18,2534,Dakarai Henderson Turnover.,37,47
12:06,-1,Greg Pollins made Layup. Assisted by Rashard Owens.,39,47
11:54,-1,Foul on Greg Pollins.,39,47
11:43,2534,Cameron Delaney missed Three Point Jumper.,39,47
11:43,-1,David Holmes Defensive Rebound.,39,47
11:37,-1,David Holmes Turnover.,39,47
11:35,2534,Torry Butler Steal.,39,47
11:32,2534,Christopher Galbreath Jr. missed Layup.,39,47
11:32,-1,Josh Walker Defensive Rebound.,39,47
11:17,2534,Foul on Torry Butler.,39,47
11:17,-1,Josh Walker made Free Throw.,40,47
11:17,-1,Josh Walker missed Free Throw.,40,47
11:17,2534,Jamal Williams Defensive Rebound.,40,47
11:07,2534,Cameron Delaney made Three Point Jumper. Assisted by Jamal Williams.,40,50
10:53,-1,Rashard Owens missed Three Point Jumper.,40,50
10:53,2534,Cameron Delaney Defensive Rebound.,40,50
10:45,2534,Jamal Williams made Layup.,40,52
10:27,-1,Uzonna Akazi missed Jumper.,40,52
10:27,2534,Christopher Galbreath Jr. Defensive Rebound.,40,52
10:16,2534,Jovante' Spivey missed Three Point Jumper.,40,52
10:16,-1,Uzonna Akazi Defensive Rebound.,40,52
10:08,-1,Rashard Owens Turnover.,40,52
10:02,2534,Jovante' Spivey Turnover.,40,52
10:01,-1,Tyrell Springer Steal.,40,52
9:58,-1,Tyrell Springer made Layup.,42,52
9:28,2534,Jovante' Spivey missed Jumper.,42,52
9:28,-1,Bj Batts Defensive Rebound.,42,52
9:20,-1,Bj Batts missed Three Point Jumper.,42,52
9:20,2534,Jovante' Spivey Defensive Rebound.,42,52
9:11,-1,Foul on Tyrell Springer.,42,52
9:11,2534,Jovante' Spivey made Free Throw.,42,53
9:11,2534,Jovante' Spivey made Free Throw.,42,54
9:04,-1,Uzonna Akazi missed Layup.,42,54
9:04,2534,Christopher Galbreath Jr. Defensive Rebound.,42,54
8:39,2534,Cameron Delaney made Three Point Jumper. Assisted by Christopher Galbreath Jr..,42,57
8:21,-1,Bj Batts missed Three Point Jumper.,42,57
8:21,2534,Phillip Jones Jr. Defensive Rebound.,42,57
8:13,2534,John Dewey III Turnover.,42,57
8:12,-1,CJ McGill Steal.,42,57
8:07,2534,Foul on Christopher Galbreath Jr..,42,57
8:07,-1,CJ McGill made Free Throw.,43,57
8:07,-1,CJ McGill missed Free Throw.,43,57
8:07,2534,Christopher Galbreath Jr. Defensive Rebound.,43,57
7:45,2534,Jamal Williams made Layup. Assisted by Paul Baxter.,43,59
7:34,-1,CJ McGill missed Layup.,43,59
7:34,2534,Christopher Galbreath Jr. Block.,43,59
7:32,2534,John Dewey III Defensive Rebound.,43,59
7:28,-1,Foul on Greg Pollins.,43,59
7:28,2534,Cameron Delaney made Free Throw.,43,60
7:28,2534,Cameron Delaney missed Free Throw.,43,60
7:28,-1,Bj Batts Defensive Rebound.,43,60
7:08,-1,Bj Batts missed Three Point Jumper.,43,60
7:08,2534,Phillip Jones Jr. Defensive Rebound.,43,60
6:57,2534,Christopher Galbreath Jr. made Jumper. Assisted by Jamal Williams.,43,62
6:41,2534,Foul on Paul Baxter.,43,62
6:41,-1,Josh Walker missed Free Throw.,43,62
6:41,2534,Christopher Galbreath Jr. Defensive Rebound.,43,62
6:20,2534,Christopher Galbreath Jr. missed Jumper.,43,62
6:20,2534,Phillip Jones Jr. Offensive Rebound.,43,62
6:14,2534,Cameron Delaney made Three Point Jumper. Assisted by Paul Baxter.,43,65
5:52,-1,Bj Batts missed Layup.,43,65
5:52,2534,Cameron Delaney Defensive Rebound.,43,65
5:49,-1,Foul on Bj Batts.,43,65
5:49,2534,Cameron Delaney made Free Throw.,43,66
5:49,2534,Cameron Delaney missed Free Throw.,43,66
5:49,2534,Phillip Jones Jr. Offensive Rebound.,43,66
5:44,2534,Phillip Jones Jr. made Layup.,43,68
5:30,-1,Greg Pollins made Three Point Jumper. Assisted by Tyrell Springer.,46,68
5:15,2534,Phillip Jones Jr. made Layup. Assisted by Jamal Williams.,46,70
5:11,2534,Foul on Jamal Williams.,46,70
5:11,-1,Bj Batts made Free Throw.,47,70
5:11,-1,Bj Batts missed Free Throw.,47,70
5:11,2534,Cameron Delaney Defensive Rebound.,47,70
4:55,2534,Phillip Jones Jr. missed Layup.,47,70
4:55,2534,Jamal Williams Offensive Rebound.,47,70
4:51,2534,Jamal Williams made Layup.,47,72
4:39,-1,Tyrell Springer missed Three Point Jumper.,47,72
4:39,2534,Paul Baxter Defensive Rebound.,47,72
4:21,2534,Cameron Delaney made Three Point Jumper. Assisted by Jamal Williams.,47,75
4:09,2534,Foul on Phillip Jones Jr..,47,75
4:09,-1,Greg Pollins made Free Throw.,48,75
4:09,-1,Greg Pollins made Free Throw.,49,75
4:06,-1,Foul on Bj Batts.,49,75
4:05,2534,Jovante' Spivey made Free Throw.,49,76
4:05,2534,Jovante' Spivey made Free Throw.,49,77
3:50,-1,Josh Walker made Three Point Jumper. Assisted by Bj Batts.,52,77
3:31,2534,Jesse Lopez Jr. made Layup. Assisted by Jovante' Spivey.,52,79
3:14,-1,Greg Pollins missed Layup.,52,79
3:14,2534,Albert Almanza Defensive Rebound.,52,79
3:13,2534,Foul on Albert Almanza.,52,79
3:13,-1,Rashard Owens made Free Throw.,53,79
3:13,-1,Rashard Owens made Free Throw.,54,79
2:53,2534,Jesse Lopez Jr. made Layup. Assisted by Albert Almanza.,54,81
2:42,-1,Greg Pollins missed Layup.,54,81
2:42,2534,Jesse Lopez Jr. Defensive Rebound.,54,81
2:32,2534,Josh Delaney made Three Point Jumper. Assisted by Jesse Lopez Jr..,54,84
2:17,-1,Malik Andrus missed Layup.,54,84
2:17,2534,Jesse Lopez Jr. Block.,54,84
2:15,2534,Jamal Williams Defensive Rebound.,54,84
2:09,2534,Jovante' Spivey missed Three Point Jumper.,54,84
2:09,-1,Austin Helms Defensive Rebound.,54,84
2:07,2534,Foul on Jesse Lopez Jr..,54,84
2:07,-1,Austin Helms missed Free Throw.,54,84
2:07,-1,Louisiana State Shreveport Deadball Team Rebound.,54,84
2:07,2534,Technical Foul on Jovante' Spivey.,54,84
2:07,2534,Jovante' Spivey made Free Throw.,54,85
2:07,-1,Technical Foul on Austin Helms.,54,84
2:06,-1,Austin Helms missed Free Throw.,54,85
2:06,2534,Jesse Lopez Jr. Defensive Rebound.,54,85
2:02,2534,Jovante' Spivey Turnover.,54,85
1:59,-1,Bj Batts Steal.,54,85
1:57,-1,Bj Batts made Jumper.,56,85
1:33,-1,Foul on Austin Helms.,56,85
1:33,2534,Jesse Lopez Jr. made Free Throw.,56,86
1:33,2534,Jesse Lopez Jr. missed Free Throw.,56,86
1:33,-1,David Holmes Defensive Rebound.,56,86
1:25,-1,Bj Batts made Three Point Jumper.,59,86
0:56,2534,Josh Delaney made Three Point Jumper. Assisted by Jovante' Spivey.,59,89
0:39,-1,Austin Helms Turnover.,59,89
0:36,2534,Albert Almanza Steal.,59,89
0:29,2534,Jesse Lopez Jr. made Free Throw.,59,91
0:29,-1,Foul on Malik Andrus.,59,89
0:29,2534,Jesse Lopez Jr. made Free Throw.,59,90
