Florida College,Error,Stetson,56
19:17,56,Derick Newton Defensive Rebound.,44,51
19:09,56,Luke Doyle made Layup. Assisted by Derick Newton.,44,53
18:49,-1,Eddie Moralobo made Jumper.,46,53
18:26,56,Derick Newton missed Jumper.,46,53
18:26,-1,Anthony Allen Defensive Rebound.,46,53
18:12,-1,Eddie Moralobo missed Jumper.,46,53
18:12,56,Stetson Defensive Rebound.,46,53
17:51,56,Larry Dennis missed Jumper.,46,53
17:51,-1,Kent Hegarty Defensive Rebound.,46,53
17:25,-1,Eddie Moralobo made Layup. Assisted by Kent Hegarty.,48,53
17:07,56,Luke Doyle made Jumper.,48,55
16:34,-1,Eddie Moralobo missed Jumper.,48,55
16:34,56,Stetson Defensive Rebound.,48,55
16:06,56,Divine Myles missed Three Point Jumper.,48,55
16:06,-1,Kent Hegarty Defensive Rebound.,48,55
16:03,-1,Eddie Moralobo made Jumper.,50,55
15:54,56,Leo Goodman missed Jumper.,50,55
15:54,-1,Kerwiken Morpas Defensive Rebound.,50,55
15:38,-1,Eddie Moralobo missed Jumper.,50,55
15:38,56,Angel Rivera Defensive Rebound.,50,55
15:32,56,Divine Myles made Layup. Assisted by Angel Rivera.,50,57
15:13,-1,Anthony Allen missed Jumper.,50,57
15:13,56,Leo Goodman Defensive Rebound.,50,57
14:59,56,Clay Verk made Layup.,50,59
14:41,-1,Kerwiken Morpas made Layup.,52,59
14:30,56,Divine Myles missed Jumper.,52,59
14:30,-1,Florida College Deadball Team Rebound.,52,59
14:30,56,Foul on Clay Verk.,52,59
14:30,56,Clay Verk Turnover.,52,59
14:30,56,Official TV Timeout,52,59
14:15,-1,Dustin Dunham Turnover.,52,59
14:05,-1,Foul on Kerwiken Morpas.,52,59
13:57,56,Clay Verk missed Layup.,52,59
13:57,56,Clay Verk Offensive Rebound.,52,59
13:53,56,Clay Verk missed Layup.,52,59
13:53,-1,Kent Hegarty Block.,52,59
13:51,-1,Dustin Dunham Defensive Rebound.,52,59
13:39,-1,Dustin Dunham made Jumper. Assisted by Eddie Moralobo.,54,59
13:25,56,B.J. Glasford made Three Point Jumper. Assisted by Divine Myles.,54,62
13:04,-1,Darian Anthony Turnover.,54,62
13:02,56,Leo Goodman Steal.,54,62
12:58,56,B.J. Glasford missed Layup.,54,62
12:58,-1,Darian Anthony Defensive Rebound.,54,62
12:53,56,B.J. Glasford Steal.,54,62
12:52,56,Leo Goodman made Dunk. Assisted by B.J. Glasford.,54,64
12:28,-1,Eddie Moralobo made Three Point Jumper.,57,64
12:14,56,Clay Verk made Layup.,57,66
11:51,-1,Dustin Dunham missed Layup.,57,66
11:51,56,Clay Verk Defensive Rebound.,57,66
11:46,56,B.J. Glasford made Layup. Assisted by Luke Doyle.,57,68
11:28,-1,Dustin Dunham missed Three Point Jumper.,57,68
11:28,56,Stetson Defensive Rebound.,57,68
11:24,56,Official TV Timeout,57,68
11:17,56,Derick Newton missed Three Point Jumper.,57,68
11:17,56,Kevin Ndahiro Offensive Rebound.,57,68
10:59,56,Derick Newton missed Jumper.,57,68
10:59,56,Kevin Ndahiro Offensive Rebound.,57,68
10:54,-1,Foul on Anthony Allen.,57,68
10:50,56,Luke Doyle missed Jumper.,57,68
10:50,56,Kevin Ndahiro Offensive Rebound.,57,68
10:45,56,Kevin Ndahiro missed Layup.,57,68
10:45,56,Derick Newton Offensive Rebound.,57,68
10:42,56,Derick Newton missed Layup.,57,68
10:42,56,Kevin Ndahiro Offensive Rebound.,57,68
10:42,56,Kevin Ndahiro made Layup.,57,70
10:42,-1,Foul on Anthony Allen.,57,70
10:42,56,Kevin Ndahiro made Free Throw.,57,71
10:33,-1,Zach Brock Turnover.,57,71
10:32,56,B.J. Glasford Steal.,57,71
10:22,-1,Foul on Dustin Dunham.,57,71
10:22,56,B.J. Glasford made Free Throw.,57,72
10:22,56,B.J. Glasford missed Free Throw.,57,72
10:22,-1,Anthony Allen Defensive Rebound.,57,72
10:17,56,Foul on Kevin Ndahiro.,57,72
10:07,56,Foul on Kevin Ndahiro.,57,72
10:07,-1,Jordan Benjamin made Free Throw.,58,72
10:07,-1,Jordan Benjamin missed Free Throw.,58,72
10:07,56,Kevin Ndahiro Defensive Rebound.,58,72
9:51,56,Derick Newton made Three Point Jumper.,58,75
9:42,-1,Zach Brock missed Three Point Jumper.,58,75
9:42,56,B.J. Glasford Defensive Rebound.,58,75
9:32,56,Derick Newton missed Three Point Jumper.,58,75
9:32,-1,Louis Martinez Defensive Rebound.,58,75
9:15,-1,Anthony Allen made Layup.,60,75
8:57,56,Derick Newton made Layup.,60,77
8:34,-1,Jordan Benjamin missed Layup.,60,77
8:34,56,Kevin Ndahiro Block.,60,77
8:32,56,Kevin Ndahiro Defensive Rebound.,60,77
8:29,-1,Foul on Louis Martinez.,60,77
8:15,56,Divine Myles made Jumper.,60,79
7:57,-1,Eddie Moralobo made Three Point Jumper. Assisted by Kerwiken Morpas.,63,79
7:39,56,Luke Doyle missed Three Point Jumper.,63,79
7:39,56,Kevin Ndahiro Offensive Rebound.,63,79
7:35,56,Kevin Ndahiro made Dunk.,63,81
7:20,-1,Eddie Moralobo missed Jumper.,63,81
7:20,56,Divine Myles Block.,63,81
7:18,56,Kevin Ndahiro Defensive Rebound.,63,81
7:11,56,Foul on Leo Goodman.,63,81
7:11,56,Leo Goodman Turnover.,63,81
7:11,56,Official TV Timeout,63,81
6:57,-1,Jordan Benjamin missed Jumper.,63,81
6:57,-1,Kerwiken Morpas Offensive Rebound.,63,81
6:44,-1,Kerwiken Morpas missed Jumper.,63,81
6:44,56,Kevin Ndahiro Defensive Rebound.,63,81
6:20,56,Leo Goodman missed Three Point Jumper.,63,81
6:20,-1,Louis Martinez Defensive Rebound.,63,81
6:07,-1,Zach Brock missed Three Point Jumper.,63,81
6:07,56,B.J. Glasford Defensive Rebound.,63,81
5:42,56,Divine Myles missed Jumper.,63,81
5:42,-1,Kent Hegarty Defensive Rebound.,63,81
5:26,-1,Kent Hegarty Turnover.,63,81
5:26,56,B.J. Glasford Steal.,63,81
5:21,56,B.J. Glasford made Layup. Assisted by Divine Myles.,63,83
5:04,-1,Kent Hegarty missed Three Point Jumper.,63,83
5:04,-1,Jordan Benjamin Offensive Rebound.,63,83
4:59,-1,Jordan Benjamin made Dunk.,65,83
4:48,56,Divine Myles missed Jumper.,65,83
4:48,-1,Florida College Deadball Team Rebound.,65,83
4:46,56,Foul on Clay Verk.,65,83
4:40,-1,Dustin Dunham missed Jumper.,65,83
4:40,56,Angel Rivera Defensive Rebound.,65,83
4:32,56,Leo Goodman made Jumper.,65,85
4:17,-1,Jordan Benjamin missed Jumper.,65,85
4:17,56,Angel Rivera Defensive Rebound.,65,85
4:06,56,Clay Verk missed Jumper.,65,85
4:06,56,Clay Verk Offensive Rebound.,65,85
3:55,56,Derick Newton made Three Point Jumper. Assisted by Angel Rivera.,65,88
3:40,-1,Kent Hegarty missed Three Point Jumper.,65,88
3:40,56,Clay Verk Defensive Rebound.,65,88
3:31,56,Leo Goodman missed Three Point Jumper.,65,88
3:31,56,Derick Newton Offensive Rebound.,65,88
3:23,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,65,91
3:20,56,Stetson  Timeout,65,91
3:09,-1,Darian Anthony missed Three Point Jumper.,65,91
3:09,56,Leo Goodman Defensive Rebound.,65,91
3:01,56,Luke Doyle missed Three Point Jumper.,65,91
3:01,-1,Louis Martinez Defensive Rebound.,65,91
2:50,-1,Dustin Dunham made Layup.,67,91
2:39,-1,Foul on Eddie Moralobo.,67,91
2:39,56,Angel Rivera made Free Throw.,67,92
2:39,56,Angel Rivera made Free Throw.,67,93
2:29,56,Foul on Brady Moses.,67,93
2:23,-1,Darian Anthony Turnover.,67,93
2:23,56,Angel Rivera Steal.,67,93
2:23,-1,Foul on Darian Anthony.,67,93
2:23,56,Angel Rivera missed Free Throw.,67,93
2:23,-1,Louis Martinez Defensive Rebound.,67,93
2:16,-1,Zach Brock missed Three Point Jumper.,67,93
2:16,56,Derick Newton Defensive Rebound.,67,93
2:04,56,Matthew Cioce made Three Point Jumper. Assisted by Angel Rivera.,67,96
1:47,-1,Todd Hayden missed Layup.,67,96
1:47,-1,Todd Hayden Offensive Rebound.,67,96
1:40,-1,Brandon Renzi made Layup. Assisted by Todd Hayden.,69,96
1:25,56,Brady Moses made Jumper. Assisted by Matthew Cioce.,69,98
1:08,-1,Zach Brock missed Three Point Jumper.,69,98
1:08,-1,Florida College Offensive Rebound.,69,98
1:03,-1,Louis Martinez Turnover.,69,98
1:02,56,Angel Rivera Steal.,69,98
0:59,56,Matthew Cioce made Layup. Assisted by Angel Rivera.,69,100
0:59,-1,Foul on Todd Hayden.,69,100
0:59,56,Matthew Cioce made Free Throw.,69,101
0:42,-1,Todd Hayden missed Three Point Jumper.,69,101
0:42,56,Brady Moses Defensive Rebound.,69,101
0:29,56,Will Hollmann Turnover.,69,101
0:14,-1,Louis Martinez missed Three Point Jumper.,69,101
0:14,56,Stetson Defensive Rebound.,69,101
0:00,56,End of Game,69,101
