Prairie View A&amp;M,248,Houston,2504
8:02,2504,Foul on Daquan Cook.,18,29
8:02,2504,Daquan Cook Turnover.,18,29
7:51,248,Devin Davis Turnover.,18,29
7:50,2504,Shaquille Preston Steal.,18,29
7:45,2504,Shaquille Preston missed Layup.,18,29
7:45,248,Devin Davis Block.,18,29
7:43,248,Rob Gray Jr. Defensive Rebound.,18,29
7:32,248,Danrad Knowles missed Jumper.,18,29
7:32,2504,Zachary Hamilton Defensive Rebound.,18,29
7:13,248,Foul on Devin Davis.,18,29
7:13,248,Official TV Timeout,18,29
7:13,2504,Zachary Hamilton made Free Throw.,19,29
7:13,2504,Zachary Hamilton made Free Throw.,20,29
6:46,248,Damyean Dotson made Jumper. Assisted by Rob Gray Jr..,20,31
6:39,2504,Zachary Hamilton Turnover.,20,31
6:26,248,Rob Gray Jr. made Three Point Jumper. Assisted by Damyean Dotson.,20,34
6:15,248,Foul on Armoni Brooks.,20,34
6:15,2504,Shaquille Preston missed Free Throw.,20,34
6:15,2504,Prairie View Deadball Team Rebound.,20,34
6:15,2504,Shaquille Preston made Free Throw.,21,34
6:02,248,Armoni Brooks missed Three Point Jumper.,21,34
6:02,248,Damyean Dotson Offensive Rebound.,21,34
5:56,248,Rob Gray Jr. missed Jumper.,21,34
5:56,248,Armoni Brooks Offensive Rebound.,21,34
5:45,248,Wes VanBeck Turnover.,21,34
5:44,2504,L.J. Westbrook Steal.,21,34
5:41,2504,L.J. Westbrook missed Layup.,21,34
5:41,248,Wes VanBeck Block.,21,34
5:39,248,Wes VanBeck Defensive Rebound.,21,34
5:27,248,Damyean Dotson made Layup.,21,36
5:27,2504,Foul on Zachary Hamilton.,21,36
5:27,248,Damyean Dotson missed Free Throw.,21,36
5:27,248,Damyean Dotson Offensive Rebound.,21,36
5:24,248,Damyean Dotson missed Jumper.,21,36
5:24,248,Damyean Dotson Offensive Rebound.,21,36
5:20,248,Damyean Dotson missed Two Point Tip Shot.,21,36
5:20,2504,Shaquille Preston Defensive Rebound.,21,36
5:14,2504,Tevin Bellinger made Layup. Assisted by Shaquille Preston.,23,36
4:54,248,Damyean Dotson missed Layup.,23,36
4:54,2504,Lavonne Davis Defensive Rebound.,23,36
4:45,2504,L.J. Westbrook missed Layup.,23,36
4:45,248,Wes VanBeck Defensive Rebound.,23,36
4:44,2504,Foul on Lavonne Davis.,23,36
4:44,248,Wes VanBeck missed Free Throw.,23,36
4:44,248,Rob Gray Jr. Offensive Rebound.,23,36
4:22,248,Galen Robinson Jr. missed Jumper.,23,36
4:22,2504,Lavonne Davis Defensive Rebound.,23,36
4:15,2504,Tevin Bellinger missed Three Point Jumper.,23,36
4:15,248,Armoni Brooks Defensive Rebound.,23,36
4:02,2504,Foul on Nolan Wilson.,23,36
4:02,248,Rob Gray Jr. made Free Throw.,23,37
4:02,248,Rob Gray Jr. made Free Throw.,23,38
3:44,2504,Troy Thompson missed Three Point Jumper.,23,38
3:44,248,Rob Gray Jr. Defensive Rebound.,23,38
3:33,248,Devin Davis missed Layup.,23,38
3:33,2504,Zachary Hamilton Block.,23,38
3:32,2504,Zachary Hamilton Defensive Rebound.,23,38
3:30,248,Foul on Galen Robinson Jr..,23,38
3:30,248,Official TV Timeout,23,38
3:30,2504,Shaquille Preston made Free Throw.,24,38
3:30,2504,Shaquille Preston made Free Throw.,25,38
3:12,2504,Foul on Lavonne Davis.,25,38
3:12,248,Wes VanBeck made Free Throw.,25,39
3:12,248,Wes VanBeck made Free Throw.,25,40
2:54,2504,Daquan Cook made Jumper. Assisted by L.J. Westbrook.,27,40
2:27,248,Wes VanBeck missed Jumper.,27,40
2:27,2504,Lavonne Davis Defensive Rebound.,27,40
2:08,2504,Lavonne Davis Turnover.,27,40
1:58,2504,Foul on Jordan Giddings.,27,40
1:58,248,Devin Davis missed Free Throw.,27,40
1:58,248,Houston Deadball Team Rebound.,27,40
1:58,248,Devin Davis made Free Throw.,27,41
1:29,248,Foul on Devin Davis.,27,41
1:29,2504,Shay'rone Jett missed Free Throw.,27,41
1:29,248,Danrad Knowles Defensive Rebound.,27,41
1:19,248,Rob Gray Jr. made Three Point Jumper. Assisted by Damyean Dotson.,27,44
1:02,248,Foul on Danrad Knowles.,27,44
1:02,2504,Shay'rone Jett made Free Throw.,28,44
1:02,2504,Shay'rone Jett made Free Throw.,29,44
0:55,248,Damyean Dotson made Jumper. Assisted by Rob Gray Jr..,29,46
0:23,2504,Avery Lomax missed Jumper.,29,46
0:23,248,Morris Dunnigan Defensive Rebound.,29,46
0:14,248,Houston  Timeout,29,46
0:04,2504,Foul on Daquan Cook.,29,46
0:04,248,Rob Gray Jr. missed Free Throw.,29,46
0:04,248,Houston Deadball Team Rebound.,29,46
0:04,248,Rob Gray Jr. made Free Throw.,29,47
0:00,2504,Tevin Bellinger missed Jumper.,29,47
0:00,248,Damyean Dotson Defensive Rebound.,29,47
0:00,248,End of 1st half,29,47
19:48,2504,Daquan Cook missed Jumper.,29,47
19:48,248,Kyle Meyer Block.,29,47
19:46,2504,Shaquille Preston Offensive Rebound.,29,47
19:43,2504,Shaquille Preston Turnover.,29,47
19:16,248,Devin Davis made Jumper. Assisted by Galen Robinson Jr..,29,49
19:06,2504,Shaquille Preston Turnover.,29,49
18:48,248,Galen Robinson Jr. made Layup.,29,51
18:23,2504,Ja'Donta Blakley Turnover.,29,51
18:21,248,Damyean Dotson Steal.,29,51
18:17,248,Devin Davis made Layup. Assisted by Galen Robinson Jr..,29,53
18:15,2504,Prairie View  Timeout,29,53
17:51,248,Foul on Kyle Meyer.,29,53
17:51,2504,Lavonne Davis missed Free Throw.,29,53
17:51,2504,Prairie View Deadball Team Rebound.,29,53
17:51,2504,Lavonne Davis made Free Throw.,30,53
17:32,2504,Foul on Ja'Donta Blakley.,30,53
17:32,248,Devin Davis missed Free Throw.,30,53
17:32,248,Houston Deadball Team Rebound.,30,53
17:32,248,Devin Davis missed Free Throw.,30,53
17:32,2504,Lavonne Davis Defensive Rebound.,30,53
17:31,248,Foul on Kyle Meyer.,30,53
17:05,2504,Shaquille Preston Turnover.,30,53
16:37,248,Rob Gray Jr. Turnover.,30,53
16:36,2504,Lavonne Davis Steal.,30,53
16:33,2504,L.J. Westbrook Turnover.,30,53
16:31,248,Rob Gray Jr. Steal.,30,53
16:28,248,Damyean Dotson made Three Point Jumper. Assisted by Galen Robinson Jr..,30,56
16:09,2504,Daquan Cook missed Three Point Jumper.,30,56
16:09,248,Damyean Dotson Defensive Rebound.,30,56
16:00,248,Devin Davis made Dunk. Assisted by Damyean Dotson.,30,58
15:52,248,Foul on Galen Robinson Jr..,30,58
15:52,248,Official TV Timeout,30,58
15:52,2504,L.J. Westbrook made Free Throw.,31,58
15:52,2504,L.J. Westbrook made Free Throw.,32,58
15:40,248,Kyle Meyer Turnover.,32,58
15:38,2504,Shaquille Preston Steal.,32,58
15:35,248,Foul on Wes VanBeck.,32,58
15:35,2504,Lavonne Davis made Free Throw.,33,58
15:35,2504,Lavonne Davis missed Free Throw.,33,58
15:35,248,Danrad Knowles Defensive Rebound.,33,58
15:13,248,Danrad Knowles missed Jumper.,33,58
15:13,2504,L.J. Westbrook Defensive Rebound.,33,58
15:06,2504,Foul on Lavonne Davis.,33,58
15:06,2504,Lavonne Davis Turnover.,33,58
14:49,248,Danrad Knowles made Layup. Assisted by Galen Robinson Jr..,33,60
14:42,248,Foul on Devin Davis.,33,60
14:39,2504,Zachary Hamilton missed Jumper.,33,60
14:39,248,Danrad Knowles Block.,33,60
14:38,248,Galen Robinson Jr. Defensive Rebound.,33,60
14:22,248,Devin Davis made Jumper. Assisted by Rob Gray Jr..,33,62
14:02,2504,Tevin Bellinger Turnover.,33,62
13:49,248,Galen Robinson Jr. made Jumper.,33,64
13:39,2504,Foul on Shaquille Preston.,33,64
13:39,2504,Shaquille Preston Turnover.,33,64
13:27,248,Rob Gray Jr. missed Jumper.,33,64
13:27,2504,Zachary Hamilton Defensive Rebound.,33,64
13:21,248,Foul on Wes VanBeck.,33,64
13:16,2504,Zachary Hamilton missed Three Point Jumper.,33,64
13:16,248,Rob Gray Jr. Defensive Rebound.,33,64
13:09,248,Rob Gray Jr. made Jumper.,33,66
12:43,2504,Tevin Bellinger missed Three Point Jumper.,33,66
12:43,248,Galen Robinson Jr. Defensive Rebound.,33,66
12:35,248,Wes VanBeck made Three Point Jumper. Assisted by Galen Robinson Jr..,33,69
12:16,2504,Daquan Cook made Three Point Jumper. Assisted by Tevin Bellinger.,36,69
11:57,248,Armoni Brooks missed Jumper.,36,69
11:57,248,Damyean Dotson Offensive Rebound.,36,69
11:53,248,Damyean Dotson made Two Point Tip Shot.,36,71
11:43,248,Foul on Wes VanBeck.,36,71
11:43,248,Official TV Timeout,36,71
11:43,2504,Troy Thompson missed Free Throw.,36,71
11:43,248,Damyean Dotson Defensive Rebound.,36,71
11:27,2504,Foul on Jordan Giddings.,36,71
11:13,248,Armoni Brooks made Three Point Jumper. Assisted by Galen Robinson Jr..,36,74
11:07,2504,Troy Thompson Turnover.,36,74
10:55,248,Wes VanBeck made Layup.,36,76
10:55,2504,Foul on Daquan Cook.,36,76
10:55,248,Wes VanBeck missed Free Throw.,36,76
10:55,2504,JD Wallace Defensive Rebound.,36,76
10:54,248,Foul on Devin Davis.,36,76
10:54,2504,Zachary Hamilton made Free Throw.,37,76
10:54,2504,Zachary Hamilton missed Free Throw.,37,76
10:54,2504,JD Wallace Offensive Rebound.,37,76
10:53,248,Foul on Wes VanBeck.,37,76
10:53,2504,JD Wallace missed Free Throw.,37,76
10:53,248,Rob Gray Jr. Defensive Rebound.,37,76
10:43,248,Rob Gray Jr. Turnover.,37,76
10:42,2504,Zachary Hamilton Steal.,37,76
10:39,248,Foul on Morris Dunnigan.,37,76
10:39,2504,Zachary Hamilton made Free Throw.,38,76
10:39,2504,Zachary Hamilton made Free Throw.,39,76
10:21,248,Morris Dunnigan made Jumper.,39,78
10:02,2504,Ja'Donta Blakley made Jumper.,41,78
9:43,248,Rob Gray Jr. missed Layup.,41,78
9:43,248,Rob Gray Jr. Offensive Rebound.,41,78
9:39,2504,Foul on Ja'Donta Blakley.,41,78
9:38,248,Armoni Brooks missed Three Point Jumper.,41,78
9:38,248,Devin Davis Offensive Rebound.,41,78
9:34,2504,Foul on Lavonne Davis.,41,78
9:34,248,Devin Davis made Free Throw.,41,79
9:34,248,Devin Davis missed Free Throw.,41,79
9:34,248,Armoni Brooks Offensive Rebound.,41,79
9:25,2504,Foul on Zachary Hamilton.,41,79
9:25,248,Galen Robinson Jr. made Free Throw.,41,80
9:25,248,Galen Robinson Jr. missed Free Throw.,41,80
9:25,248,Devin Davis Offensive Rebound.,41,80
9:24,2504,Foul on Daquan Cook.,41,80
9:24,248,Devin Davis made Free Throw.,41,81
9:24,248,Devin Davis missed Free Throw.,41,81
9:24,248,Armoni Brooks Offensive Rebound.,41,81
9:16,248,Morris Dunnigan made Layup.,41,83
9:16,2504,Foul on Tevin Bellinger.,41,83
9:16,248,Morris Dunnigan made Free Throw.,41,84
8:59,2504,Zachary Hamilton missed Three Point Jumper.,41,84
8:59,248,Morris Dunnigan Defensive Rebound.,41,84
8:43,248,Rob Gray Jr. missed Jumper.,41,84
8:43,2504,Zachary Hamilton Defensive Rebound.,41,84
8:33,248,Foul on Morris Dunnigan.,41,84
8:33,2504,Jordan Giddings missed Free Throw.,41,84
8:33,2504,Prairie View Deadball Team Rebound.,41,84
8:33,2504,Jordan Giddings made Free Throw.,42,84
8:22,248,Rob Gray Jr. missed Layup.,42,84
8:22,248,Danrad Knowles Offensive Rebound.,42,84
8:09,248,Morris Dunnigan missed Jumper.,42,84
8:09,2504,Jordan Giddings Defensive Rebound.,42,84
8:01,2504,Jordan Giddings made Jumper.,44,84
7:38,248,Armoni Brooks missed Jumper.,44,84
7:38,248,Danrad Knowles Offensive Rebound.,44,84
7:35,248,Danrad Knowles made Two Point Tip Shot.,44,86
7:17,2504,Avery Lomax made Layup.,46,86
7:01,248,Wes VanBeck missed Three Point Jumper.,46,86
7:01,2504,Avery Lomax Defensive Rebound.,46,86
6:52,2504,Avery Lomax made Layup.,48,86
6:45,248,Houston  Timeout,48,86
6:24,248,Xavier Dupree made Jumper. Assisted by Wes VanBeck.,48,88
6:14,2504,Jordan Giddings missed Jumper.,48,88
6:14,248,Xavier Dupree Block.,48,88
6:13,2504,Jordan Giddings Offensive Rebound.,48,88
6:08,2504,Zachary Hamilton made Three Point Jumper. Assisted by Avery Lomax.,51,88
5:51,2504,Foul on L.J. Westbrook.,51,88
5:51,248,Morris Dunnigan made Free Throw.,51,89
5:51,248,Morris Dunnigan made Free Throw.,51,90
5:40,2504,Jordan Giddings Turnover.,51,90
5:30,248,Armoni Brooks missed Three Point Jumper.,51,90
5:30,248,Danrad Knowles Offensive Rebound.,51,90
5:28,2504,Foul on L.J. Westbrook.,51,90
5:28,248,Danrad Knowles made Free Throw.,51,91
5:28,248,Danrad Knowles made Free Throw.,51,92
5:14,2504,Avery Lomax made Jumper.,53,92
4:53,248,Morris Dunnigan missed Three Point Jumper.,53,92
4:53,2504,Zachary Hamilton Defensive Rebound.,53,92
4:51,248,Foul on Danrad Knowles.,53,92
4:51,2504,Zachary Hamilton made Free Throw.,54,92
4:51,2504,Zachary Hamilton made Free Throw.,55,92
4:27,248,Morris Dunnigan missed Layup.,55,92
4:27,2504,Zachary Hamilton Block.,55,92
4:27,248,Houston Offensive Rebound.,55,92
4:25,248,Danrad Knowles Turnover.,55,92
4:24,2504,Tevin Bellinger Steal.,55,92
4:20,2504,L.J. Westbrook missed Three Point Jumper.,55,92
4:20,248,Armoni Brooks Defensive Rebound.,55,92
3:56,248,Wes VanBeck made Jumper.,55,94
3:42,2504,Zachary Hamilton missed Three Point Jumper.,55,94
3:42,248,Xavier Dupree Defensive Rebound.,55,94
3:35,2504,Foul on Avery Lomax.,55,94
3:35,248,Official TV Timeout,55,94
3:35,248,Wes VanBeck missed Free Throw.,55,94
3:35,248,Houston Deadball Team Rebound.,55,94
3:35,248,Wes VanBeck made Free Throw.,55,95
3:26,2504,Daquan Cook missed Three Point Jumper.,55,95
3:26,248,Xavier Dupree Defensive Rebound.,55,95
3:03,2504,Foul on Jordan Giddings.,55,97
3:03,248,Danrad Knowles missed Free Throw.,55,97
3:03,2504,Jordan Giddings Defensive Rebound.,55,97
3:03,248,Danrad Knowles made Layup. Assisted by Xavier Dupree.,55,97
2:51,2504,Shaquille Preston missed Three Point Jumper.,55,97
2:51,248,Xavier Dupree Defensive Rebound.,55,97
2:29,248,Morris Dunnigan missed Three Point Jumper.,55,97
2:29,248,Danrad Knowles Offensive Rebound.,55,97
2:24,248,Armoni Brooks made Three Point Jumper. Assisted by Wes VanBeck.,55,100
2:04,2504,Zachary Hamilton missed Jumper.,55,100
2:04,248,Xavier Dupree Block.,55,100
2:03,248,Danrad Knowles Defensive Rebound.,55,100
1:59,248,Morris Dunnigan missed Dunk.,55,100
1:59,2504,Shaquille Preston Defensive Rebound.,55,100
1:55,2504,Zachary Hamilton made Layup.,57,100
1:40,248,Houston  Timeout,57,100
1:25,248,Morris Dunnigan made Layup.,57,102
1:15,2504,Troy Thompson Turnover.,57,102
1:13,248,Armoni Brooks Steal.,57,102
0:52,248,Mateen Hirbod made Jumper.,57,104
0:52,2504,Foul on Avery Lomax.,57,104
0:52,248,Mateen Hirbod made Free Throw.,57,105
0:39,248,Foul on Morris Dunnigan.,57,105
0:39,2504,Jordan Giddings made Free Throw.,58,105
0:39,2504,Jordan Giddings made Free Throw.,59,105
0:22,248,Xavier Dupree missed Three Point Jumper.,59,105
0:22,2504,Avery Lomax Defensive Rebound.,59,105
0:13,2504,Daquan Cook Turnover.,59,105
0:12,248,Xavier Dupree Steal.,59,105
0:10,248,Xavier Dupree Turnover.,59,105
0:09,2504,Daquan Cook Steal.,59,105
0:05,2504,Shaquille Preston made Layup.,61,105
0:00,248,End of Game,61,105
