Green Bay,2649,Toledo,2739
12:29,2739,Trevor Anderson made Three Point Jumper. Assisted by Tevin Findlay.,43,43
12:06,2649,Jonathan Williams made Layup.,43,45
11:55,2739,Charles Cooper made Layup.,45,45
11:22,2739,Foul on Kerem Kanter.,45,45
11:22,2649,Official TV Timeout,45,45
11:22,2649,Luke Knapke made Free Throw.,45,46
11:22,2649,Luke Knapke missed Free Throw.,45,46
11:22,2739,Jamar Hurdle Defensive Rebound.,45,46
11:02,2739,Kerem Kanter made Layup.,47,46
10:40,2739,Foul on Kerem Kanter.,47,46
10:40,2649,Luke Knapke missed Free Throw.,47,46
10:40,2649,Toledo Deadball Team Rebound.,47,46
10:40,2649,Luke Knapke made Free Throw.,47,47
10:32,2739,Trevor Anderson missed Three Point Jumper.,47,47
10:32,2649,Zach Garber Defensive Rebound.,47,47
10:13,2649,Nate Navigato missed Three Point Jumper.,47,47
10:13,2739,Tevin Findlay Defensive Rebound.,47,47
10:03,2739,Kerem Kanter missed Jumper.,47,47
10:03,2649,Nate Navigato Defensive Rebound.,47,47
9:51,2649,Zach Garber Turnover.,47,47
9:40,2739,Trevor Anderson Turnover.,47,47
9:39,2649,Jordan Lauf Steal.,47,47
9:32,2739,Foul on Jamar Hurdle.,47,47
9:32,2649,Zach Garber made Free Throw.,47,48
9:32,2649,Zach Garber missed Free Throw.,47,48
9:32,2649,Lucas Antunez Offensive Rebound.,47,48
9:30,2649,Lucas Antunez missed Layup.,47,48
9:30,2649,Zach Garber Offensive Rebound.,47,48
9:25,2649,Zach Garber missed Layup.,47,48
9:25,2739,Charles Cooper Defensive Rebound.,47,48
9:19,2739,Kenneth Lowe missed Layup.,47,48
9:19,2739,Jamar Hurdle Offensive Rebound.,47,48
9:12,2739,Jamar Hurdle made Layup.,49,48
9:02,2649,Nate Navigato made Jumper.,49,50
8:49,2739,Charles Cooper made Layup.,51,50
8:27,2649,Nate Navigato missed Three Point Jumper.,51,50
8:27,2739,Charles Cooper Defensive Rebound.,51,50
8:17,2739,Foul on Trevor Anderson.,51,50
8:17,2739,Trevor Anderson Turnover.,51,50
8:04,2649,Jordan Lauf made Jumper. Assisted by Steve Taylor Jr..,51,52
8:04,2739,Foul on Charles Cooper.,51,52
8:04,2649,Official TV Timeout,51,52
7:57,2649,Jordan Lauf missed Free Throw.,51,52
7:57,2649,Jordan Lauf Offensive Rebound.,51,52
7:56,2649,Jaelan Sanford made Three Point Jumper. Assisted by Lucas Antunez.,51,55
7:47,2739,Khalil Small made Jumper.,53,55
7:27,2649,Nate Navigato Turnover.,53,55
7:21,2739,Khalil Small missed Jumper.,53,55
7:21,2739,Green Bay Offensive Rebound.,53,55
7:14,2739,Kenneth Lowe made Dunk. Assisted by Khalil Small.,55,55
7:11,2649,Foul on Nate Navigato.,55,55
7:11,2739,Kenneth Lowe made Free Throw.,56,55
7:11,2649,Toledo  Timeout,56,55
6:53,2649,Steve Taylor Jr. Turnover.,56,55
6:50,2739,Khalil Small Steal.,56,55
6:32,2739,Charles Cooper missed Jumper.,56,55
6:32,2649,Nate Navigato Block.,56,55
6:26,2649,Nate Navigato Defensive Rebound.,56,55
6:10,2649,Jonathan Williams made Three Point Jumper. Assisted by Steve Taylor Jr..,56,58
5:56,2649,Foul on Steve Taylor Jr..,56,58
5:56,2739,Kenneth Lowe made Free Throw.,57,58
5:56,2739,Kenneth Lowe missed Free Throw.,57,58
5:56,2649,Jordan Lauf Defensive Rebound.,57,58
5:42,2739,Foul on Khalil Small.,57,58
5:42,2649,Jonathan Williams made Free Throw.,57,59
5:42,2649,Jonathan Williams missed Free Throw.,57,59
5:42,2739,Charles Cooper Defensive Rebound.,57,59
5:37,2739,Jamar Hurdle missed Layup.,57,59
5:37,2649,Jordan Lauf Defensive Rebound.,57,59
5:28,2739,Foul on Jamar Hurdle.,57,59
5:28,2649,Jonathan Williams made Free Throw.,57,60
5:28,2649,Jonathan Williams made Free Throw.,57,61
5:15,2649,Foul on Steve Taylor Jr..,57,61
5:15,2739,Kenneth Lowe made Free Throw.,58,61
5:15,2739,Kenneth Lowe missed Free Throw.,58,61
5:15,2649,Jordan Lauf Defensive Rebound.,58,61
4:57,2649,Steve Taylor Jr. made Jumper.,58,63
4:41,2739,Khalil Small Turnover.,58,63
4:41,2649,Jonathan Williams Steal.,58,63
4:41,2739,Green Bay  Timeout,58,63
4:15,2649,Jaelan Sanford missed Three Point Jumper.,58,63
4:15,2649,Nate Navigato Offensive Rebound.,58,63
3:55,2649,Jonathan Williams missed Three Point Jumper.,58,63
3:55,2739,Turner Botz Defensive Rebound.,58,63
