UC Davis,70,Idaho,302
7:24,70,Patrick Ingram Offensive Rebound.,17,16
7:20,302,Foul on Brynton Lemar.,17,16
7:20,70,Official TV Timeout,17,16
7:13,302,Foul on Chima Moneke.,17,16
7:06,70,Victor Sanders missed Free Throw.,17,16
7:06,70,Idaho Deadball Team Rebound.,17,16
6:52,70,Victor Sanders missed Free Throw.,17,16
6:52,302,J.T. Adenrele Defensive Rebound.,17,16
6:46,302,Joe Mooney missed Three Point Jumper.,17,16
6:46,302,Siler Schneider Offensive Rebound.,17,16
6:45,302,Siler Schneider made Jumper.,19,16
6:25,70,Trevon Allen Turnover.,19,16
6:23,302,J.T. Adenrele Steal.,19,16
6:07,302,Lawrence White Turnover.,19,16
5:51,70,Patrick Ingram missed Three Point Jumper.,19,16
5:51,302,J.T. Adenrele Defensive Rebound.,19,16
5:33,302,Brynton Lemar missed Three Point Jumper.,19,16
5:33,70,Patrick Ingram Defensive Rebound.,19,16
5:21,70,Ty Egbert made Layup. Assisted by Nate Sherwood.,19,18
5:05,302,Siler Schneider made Three Point Jumper. Assisted by Brynton Lemar.,22,18
4:42,70,Nate Sherwood missed Jumper.,22,18
4:42,302,Lawrence White Defensive Rebound.,22,18
4:24,302,J.T. Adenrele made Jumper. Assisted by Joe Mooney.,24,18
4:19,70,Official TV Timeout,24,18
3:59,70,Victor Sanders made Three Point Jumper. Assisted by Chad Sherwood.,24,21
3:44,70,Foul on Chad Sherwood.,24,21
3:36,302,J.T. Adenrele Turnover.,24,21
3:36,302,Foul on J.T. Adenrele.,24,21
3:31,70,Chad Sherwood Turnover.,24,21
3:04,302,Siler Schneider Turnover.,24,21
2:54,302,Foul on Lawrence White.,24,21
2:54,70,Victor Sanders made Free Throw.,24,22
2:54,70,Victor Sanders missed Free Throw.,24,22
2:54,302,Siler Schneider Defensive Rebound.,24,22
2:28,302,Siler Schneider made Three Point Jumper. Assisted by Brynton Lemar.,27,22
1:58,70,Ty Egbert made Layup. Assisted by Chad Sherwood.,27,24
1:36,302,Mikey Henn missed Jumper.,27,24
1:36,70,Ty Egbert Block.,27,24
1:32,70,Trevon Allen Defensive Rebound.,27,24
1:24,70,Ty Egbert missed Jumper.,27,24
1:24,70,Nate Sherwood Offensive Rebound.,27,24
1:20,70,Trevon Allen Turnover.,27,24
1:18,302,Siler Schneider Steal.,27,24
1:14,302,Darius Graham Turnover.,27,24
0:49,70,Victor Sanders Turnover.,27,24
0:35,302,Mikey Henn missed Three Point Jumper.,27,24
0:35,70,Trevon Allen Defensive Rebound.,27,24
0:13,70,Victor Sanders made Layup.,27,26
0:04,302,Siler Schneider missed Three Point Jumper.,27,26
0:04,70,Trevon Allen Defensive Rebound.,27,26
0:00,70,Trevon Allen Turnover.,27,26
0:00,302,Mikey Henn Steal.,27,26
0:00,302,Mikey Henn missed Jumper.,27,26
0:00,302,UC Davis Deadball Team Rebound.,27,26
0:00,70,End of 1st half,27,26
19:37,70,Brayon Blake made Layup. Assisted by Jordan Scott.,27,28
19:15,302,Lawrence White missed Three Point Jumper.,27,28
19:15,70,Victor Sanders Defensive Rebound.,27,28
19:00,302,Foul on Chima Moneke.,27,28
18:50,70,Victor Sanders missed Layup.,27,28
18:50,302,UC Davis Defensive Rebound.,27,28
18:37,302,Brynton Lemar made Three Point Jumper. Assisted by Darius Graham.,30,28
18:10,70,Nate Sherwood missed Three Point Jumper.,30,28
18:10,70,Jordan Scott Offensive Rebound.,30,28
18:05,70,Victor Sanders missed Three Point Jumper.,30,28
18:05,70,Brayon Blake Offensive Rebound.,30,28
17:54,70,Brayon Blake missed Three Point Jumper.,30,28
17:54,302,Darius Graham Defensive Rebound.,30,28
17:43,302,J.T. Adenrele made Layup. Assisted by Darius Graham.,32,28
17:22,70,Trevon Allen made Three Point Jumper. Assisted by Brayon Blake.,32,31
17:06,302,Darius Graham missed Three Point Jumper.,32,31
17:06,302,Brynton Lemar Offensive Rebound.,32,31
17:00,70,Foul on Jordan Scott.,32,31
17:00,302,Mikey Henn missed Free Throw.,32,31
17:00,302,UC Davis Deadball Team Rebound.,32,31
17:00,302,Mikey Henn missed Free Throw.,32,31
17:00,70,Victor Sanders Defensive Rebound.,32,31
16:58,302,Foul on Lawrence White.,32,31
16:49,70,Victor Sanders Turnover.,32,31
16:49,70,Foul on Victor Sanders.,32,31
16:41,302,Brynton Lemar missed Layup.,32,31
16:41,70,Trevon Allen Defensive Rebound.,32,31
16:36,70,Brayon Blake made Dunk. Assisted by Victor Sanders.,32,33
16:21,302,Brynton Lemar made Three Point Jumper. Assisted by Lawrence White.,35,33
15:51,70,Jordan Scott Turnover.,35,33
15:45,302,Lawrence White Steal.,35,33
15:43,302,Brynton Lemar missed Three Point Jumper.,35,33
15:43,70,Brayon Blake Defensive Rebound.,35,33
15:31,70,Trevon Allen made Three Point Jumper. Assisted by Nate Sherwood.,35,36
15:10,302,Brynton Lemar missed Three Point Jumper.,35,36
15:10,70,Nate Sherwood Defensive Rebound.,35,36
15:07,302,Foul on Mikey Henn.,35,36
15:07,70,Official TV Timeout,35,36
14:46,70,Victor Sanders Turnover.,35,36
14:45,302,Georgi Funtarov Steal.,35,36
14:34,70,Foul on Nate Sherwood.,35,36
14:16,302,Lawrence White made Layup.,37,36
14:16,70,Foul on Jordan Scott.,37,36
14:16,302,Lawrence White made Free Throw.,38,36
13:49,70,Myles Franklin missed Three Point Jumper.,38,36
13:49,302,UC Davis Defensive Rebound.,38,36
13:27,302,Siler Schneider made Three Point Jumper. Assisted by Lawrence White.,41,36
13:02,302,Foul on J.T. Adenrele.,41,36
12:59,70,Jordan Scott Turnover.,41,36
12:38,302,Georgi Funtarov missed Three Point Jumper.,41,36
12:38,302,UC Davis Deadball Team Rebound.,41,36
12:35,302,Foul on Chima Moneke.,41,36
12:25,70,Jordan Scott made Layup.,41,38
12:03,302,Siler Schneider Turnover.,41,38
12:02,70,Chad Sherwood Steal.,41,38
12:00,302,Foul on Lawrence White.,41,38
12:00,70,Official TV Timeout,41,38
12:00,70,Ty Egbert made Free Throw.,41,39
12:00,70,Ty Egbert made Free Throw.,41,40
11:31,302,Siler Schneider made Layup.,43,40
11:13,70,Ty Egbert made Layup. Assisted by Jordan Scott.,43,42
10:54,302,Siler Schneider made Jumper. Assisted by Joe Mooney.,45,42
10:33,70,Jordan Scott missed Layup.,45,42
10:33,70,Ty Egbert Offensive Rebound.,45,42
10:31,70,Ty Egbert made Dunk.,45,44
10:09,302,Darius Graham missed Jumper.,45,44
10:09,70,Ty Egbert Defensive Rebound.,45,44
10:03,70,Victor Sanders missed Three Point Jumper.,45,44
10:03,70,Chad Sherwood Offensive Rebound.,45,44
9:45,70,Chad Sherwood missed Three Point Jumper.,45,44
9:45,302,Siler Schneider Defensive Rebound.,45,44
9:23,302,Mikey Henn missed Layup.,45,44
9:23,302,Georgi Funtarov Offensive Rebound.,45,44
9:13,70,Foul on Ty Egbert.,45,44
9:13,302,Mikey Henn made Free Throw.,46,44
9:13,302,Mikey Henn made Free Throw.,47,44
9:02,70,Arkadiy Mkrtychyan missed Layup.,47,44
9:02,302,Lawrence White Defensive Rebound.,47,44
8:53,302,Lawrence White missed Layup.,47,44
8:53,70,Victor Sanders Defensive Rebound.,47,44
8:47,70,Brayon Blake made Layup. Assisted by Victor Sanders.,47,46
8:27,70,Foul on Victor Sanders.,47,46
8:27,302,Brynton Lemar made Free Throw.,48,46
8:27,302,Brynton Lemar made Free Throw.,49,46
8:17,70,Arkadiy Mkrtychyan made Layup. Assisted by Brayon Blake.,49,48
7:58,302,Brynton Lemar missed Jumper.,49,48
7:58,70,Chad Sherwood Defensive Rebound.,49,48
7:45,70,Brayon Blake made Layup.,49,50
7:45,302,Foul on Brynton Lemar.,49,50
7:45,70,Official TV Timeout,49,50
7:45,70,Brayon Blake missed Free Throw.,49,50
7:45,302,UC Davis Defensive Rebound.,49,50
7:18,302,Lawrence White Turnover.,49,50
7:16,70,Patrick Ingram Steal.,49,50
6:53,70,Chad Sherwood missed Three Point Jumper.,49,50
6:53,302,Brynton Lemar Defensive Rebound.,49,50
6:32,302,Lawrence White made Layup.,51,50
6:15,70,Patrick Ingram made Layup.,51,52
6:12,302,Foul on Siler Schneider.,51,52
6:12,70,Patrick Ingram missed Free Throw.,51,52
6:12,302,Lawrence White Defensive Rebound.,51,52
5:57,302,Darius Graham missed Three Point Jumper.,51,52
5:57,70,Trevon Allen Defensive Rebound.,51,52
5:49,70,Brayon Blake made Layup. Assisted by Trevon Allen.,51,54
5:40,70,Official TV Timeout,51,54
5:31,302,Darius Graham missed Jumper.,51,54
5:31,70,Patrick Ingram Defensive Rebound.,51,54
5:16,70,Brayon Blake Turnover.,51,54
5:14,302,Siler Schneider Steal.,51,54
5:01,302,Brynton Lemar missed Layup.,51,54
5:01,70,Patrick Ingram Defensive Rebound.,51,54
4:33,70,Trevon Allen made Three Point Jumper. Assisted by Victor Sanders.,51,57
4:06,302,Chima Moneke missed Layup.,51,57
4:06,302,J.T. Adenrele Offensive Rebound.,51,57
4:05,70,Foul on Brayon Blake.,51,57
4:05,302,J.T. Adenrele missed Free Throw.,51,57
4:05,302,UC Davis Deadball Team Rebound.,51,57
4:05,302,J.T. Adenrele made Free Throw.,52,57
3:42,70,Nate Sherwood missed Dunk.,52,57
3:42,302,Chima Moneke Block.,52,57
3:36,302,Chima Moneke Defensive Rebound.,52,57
3:36,70,Foul on Jordan Scott.,52,57
3:36,70,Official TV Timeout,52,57
3:36,302,Brynton Lemar made Free Throw.,53,57
3:36,302,Brynton Lemar missed Free Throw.,53,57
3:36,302,UC Davis Offensive Rebound.,53,57
3:17,302,Darius Graham made Layup.,55,57
3:17,70,Ty Egbert made Layup.,55,59
3:13,70,Idaho  Timeout,55,59
2:58,302,Brynton Lemar made Layup.,57,59
2:29,70,Idaho  Turnover.,57,59
2:11,70,Foul on Victor Sanders.,57,59
2:11,302,Brynton Lemar made Free Throw.,58,59
2:11,302,Brynton Lemar made Free Throw.,59,59
2:00,302,Foul on Siler Schneider.,59,59
2:00,70,Ty Egbert missed Free Throw.,59,59
2:00,70,Idaho Deadball Team Rebound.,59,59
2:00,70,Ty Egbert made Free Throw.,59,60
1:47,302,Siler Schneider missed Three Point Jumper.,59,60
1:47,302,UC Davis Deadball Team Rebound.,59,60
1:44,302,Foul on Chima Moneke.,59,60
1:44,70,Jordan Scott made Free Throw.,59,61
1:44,70,Jordan Scott missed Free Throw.,59,61
1:44,302,Lawrence White Defensive Rebound.,59,61
1:31,302,Brynton Lemar missed Three Point Jumper.,59,61
1:31,70,Victor Sanders Defensive Rebound.,59,61
1:13,70,Brayon Blake made Jumper. Assisted by Trevon Allen.,59,63
1:12,70,Idaho  Timeout,59,63
1:00,302,Siler Schneider missed Jumper.,59,63
1:00,302,Lawrence White Offensive Rebound.,59,63
0:54,302,Darius Graham missed Layup.,59,63
0:54,70,Victor Sanders Defensive Rebound.,59,63
0:50,302,Foul on Darius Graham.,59,63
0:50,70,Victor Sanders missed Free Throw.,59,63
0:50,70,Idaho Deadball Team Rebound.,59,63
0:50,70,Victor Sanders missed Free Throw.,59,63
0:50,302,Joe Mooney Defensive Rebound.,59,63
0:46,70,Foul on Victor Sanders.,59,63
0:46,302,Siler Schneider missed Free Throw.,59,63
0:46,302,UC Davis Deadball Team Rebound.,59,63
0:46,302,Siler Schneider made Free Throw.,60,63
0:35,302,Foul on Siler Schneider.,60,63
0:35,70,Chad Sherwood made Free Throw.,60,64
0:35,70,Chad Sherwood made Free Throw.,60,65
0:27,302,Darius Graham made Three Point Jumper. Assisted by Joe Mooney.,63,65
0:22,302,UC Davis  Timeout,63,65
0:21,302,Foul on Brynton Lemar.,63,65
0:21,70,Patrick Ingram missed Free Throw.,63,65
0:21,70,Idaho Deadball Team Rebound.,63,65
0:21,70,Patrick Ingram made Free Throw.,63,66
0:16,70,Foul on Chad Sherwood.,63,66
0:16,302,Siler Schneider made Free Throw.,64,66
0:16,302,Siler Schneider made Free Throw.,65,66
0:16,70,Jordan Scott Turnover.,65,66
0:06,70,Foul on Jordan Scott.,65,66
0:06,302,Brynton Lemar made Free Throw.,66,66
0:06,70,Idaho  Timeout,66,66
0:06,302,Brynton Lemar missed Free Throw.,66,66
0:06,70,Patrick Ingram Defensive Rebound.,66,66
0:01,70,Jordan Scott made Layup. Assisted by Myles Franklin.,66,68
0:00,70,End of Game,66,68
