Rhode Island,2507,Providence,227
13:38,2507,Kyron Cartwright Defensive Rebound.,10,10
13:17,2507,Rodney Bullock Turnover.,10,10
13:16,227,E.C. Matthews Steal.,10,10
13:16,227,E.C. Matthews Turnover.,10,10
13:12,2507,Official TV Timeout,10,10
12:56,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,10,13
12:33,2507,Foul on Jalen Lindsey.,10,13
12:28,227,E.C. Matthews missed Three Point Jumper.,10,13
12:28,2507,Kyron Cartwright Defensive Rebound.,10,13
12:15,2507,Rodney Bullock missed Jumper.,10,13
12:15,227,Nicola Akele Block.,10,13
12:14,2507,Emmitt Holt Offensive Rebound.,10,13
12:10,2507,Jalen Lindsey missed Three Point Jumper.,10,13
12:10,227,E.C. Matthews Defensive Rebound.,10,13
11:39,227,Cyril Langevine missed Layup.,10,13
11:39,2507,Emmitt Holt Block.,10,13
11:39,2507,Emmitt Holt Defensive Rebound.,10,13
11:38,2507,Official TV Timeout,10,13
11:20,2507,Kyron Cartwright missed Jumper.,10,13
11:20,227,Cyril Langevine Defensive Rebound.,10,13
11:06,227,Nicola Akele made Jumper.,12,13
10:50,227,Foul on Cyril Langevine.,12,13
10:28,2507,Drew Edwards missed Layup.,12,13
10:28,2507,Providence Offensive Rebound.,12,13
10:02,2507,Kyron Cartwright missed Three Point Jumper.,12,13
10:02,227,Hassan Martin Defensive Rebound.,12,13
9:52,227,Stanford Robinson missed Three Point Jumper.,12,13
9:52,2507,Providence Defensive Rebound.,12,13
9:49,227,Foul on Nicola Akele.,12,13
9:36,2507,Ryan Fazekas made Three Point Jumper. Assisted by Kyron Cartwright.,12,16
9:10,227,Christion Thompson made Three Point Jumper. Assisted by Jared Terrell.,15,16
8:57,2507,Drew Edwards missed Jumper.,15,16
8:57,2507,Rodney Bullock Offensive Rebound.,15,16
8:54,227,Foul on Christion Thompson.,15,16
8:43,2507,Drew Edwards Turnover.,15,16
8:21,227,Jared Terrell made Jumper.,17,16
8:21,2507,Foul on Drew Edwards.,17,16
8:20,227,Jared Terrell missed Free Throw.,17,16
8:16,227,Nicola Akele Offensive Rebound.,17,16
7:55,227,Hassan Martin missed Jumper.,17,16
7:55,227,Nicola Akele Offensive Rebound.,17,16
7:54,227,Nicola Akele missed Layup.,17,16
7:54,227,Hassan Martin Offensive Rebound.,17,16
7:51,227,Hassan Martin made Two Point Tip Shot.,19,16
7:32,2507,Maliek White Turnover.,19,16
7:30,227,Christion Thompson Steal.,19,16
7:30,2507,Foul on Maliek White.,19,16
7:30,2507,Official TV Timeout,19,16
7:30,227,Christion Thompson missed Free Throw.,19,16
7:30,227,Rhode Island Deadball Team Rebound.,19,16
7:30,227,Christion Thompson made Free Throw.,20,16
7:06,2507,Emmitt Holt missed Three Point Jumper.,20,16
7:06,227,Christion Thompson Defensive Rebound.,20,16
6:40,227,Jared Terrell missed Three Point Jumper.,20,16
6:40,227,Hassan Martin Offensive Rebound.,20,16
6:24,227,Hassan Martin made Layup. Assisted by Christion Thompson.,22,16
6:24,2507,Foul on Emmitt Holt.,22,16
6:24,227,Hassan Martin made Free Throw.,23,16
6:04,227,Foul on Nicola Akele.,23,16
6:04,2507,Rodney Bullock missed Free Throw.,23,16
6:04,2507,Providence Deadball Team Rebound.,23,16
6:03,2507,Rodney Bullock missed Free Throw.,23,16
6:03,227,Hassan Martin Defensive Rebound.,23,16
5:53,227,E.C. Matthews missed Layup.,23,16
5:53,2507,Providence Defensive Rebound.,23,16
5:33,2507,Kyron Cartwright made Three Point Jumper.,23,19
5:16,227,Stanford Robinson missed Layup.,23,19
5:16,2507,Isaiah Jackson Defensive Rebound.,23,19
5:09,2507,Kyron Cartwright made Three Point Jumper.,23,22
4:54,227,Stanford Robinson made Layup.,25,22
4:44,227,Foul on Stanford Robinson.,25,22
4:44,2507,Kyron Cartwright made Free Throw.,25,23
4:44,2507,Kyron Cartwright missed Free Throw.,25,23
4:44,227,Stanford Robinson Defensive Rebound.,25,23
4:31,227,Jarvis Garrett Turnover.,25,23
4:30,2507,Alpha Diallo Steal.,25,23
4:24,2507,Kyron Cartwright made Three Point Jumper. Assisted by Isaiah Jackson.,25,26
3:53,227,E.C. Matthews missed Jumper.,25,26
3:53,2507,Alpha Diallo Defensive Rebound.,25,26
3:32,2507,Rodney Bullock missed Three Point Jumper.,25,26
3:32,227,E.C. Matthews Defensive Rebound.,25,26
3:23,2507,Foul on Jalen Lindsey.,25,26
3:23,2507,Official TV Timeout,25,26
3:23,227,Hassan Martin made Free Throw.,26,26
3:23,227,Hassan Martin made Free Throw.,27,26
3:05,227,Foul on Jared Terrell.,27,26
3:05,2507,Rodney Bullock made Free Throw.,27,27
3:05,2507,Rodney Bullock missed Free Throw.,27,27
3:05,227,Hassan Martin Defensive Rebound.,27,27
2:44,227,Hassan Martin missed Jumper.,27,27
2:44,227,E.C. Matthews Offensive Rebound.,27,27
2:35,227,E.C. Matthews made Two Point Tip Shot.,29,27
2:21,2507,Kyron Cartwright Turnover.,29,27
2:21,227,Christion Thompson Steal.,29,27
2:21,2507,Foul on Rodney Bullock.,29,27
2:20,227,Christion Thompson made Free Throw.,30,27
2:20,227,Christion Thompson missed Free Throw.,30,27
2:20,2507,Rodney Bullock Defensive Rebound.,30,27
2:15,227,Will Leviton Defensive Rebound.,30,27
1:54,227,Foul on Stanford Robinson.,30,27
1:54,2507,Rodney Bullock made Free Throw.,30,28
1:54,2507,Rodney Bullock made Free Throw.,30,29
1:38,2507,Foul on Alpha Diallo.,30,29
1:38,227,E.C. Matthews made Free Throw.,31,29
1:38,227,E.C. Matthews made Free Throw.,32,29
1:22,2507,Rodney Bullock Turnover.,32,29
1:05,227,Jared Terrell made Three Point Jumper. Assisted by Jarvis Garrett.,35,29
0:59,2507,Providence  Timeout,35,29
0:34,2507,Rodney Bullock missed Three Point Jumper.,35,29
0:34,2507,Kalif Young Offensive Rebound.,35,29
0:29,2507,Providence  Turnover.,35,29
0:09,227,Jarvis Garrett Turnover.,35,29
0:04,2507,Kyron Cartwright missed Jumper.,35,29
0:04,227,Hassan Martin Defensive Rebound.,35,29
0:00,2507,End of 1st half,35,29
19:46,227,Foul on Jarvis Garrett.,35,29
19:23,2507,Emmitt Holt made Jumper. Assisted by Jalen Lindsey.,35,31
19:00,227,Jarvis Garrett made Layup.,37,31
18:43,2507,Kyron Cartwright missed Jumper.,37,31
18:43,2507,Rodney Bullock Offensive Rebound.,37,31
18:41,2507,Rodney Bullock made Layup.,37,33
18:20,227,Kuran Iverson Turnover.,37,33
18:19,2507,Emmitt Holt Steal.,37,33
17:56,2507,Jalen Lindsey made Layup.,37,35
17:29,227,Jarvis Garrett made Layup.,39,35
17:13,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,39,38
16:40,227,Hassan Martin missed Layup.,39,38
16:40,227,Kuran Iverson Offensive Rebound.,39,38
16:39,227,Kuran Iverson Turnover.,39,38
16:29,2507,Isaiah Jackson missed Jumper.,39,38
16:29,227,Hassan Martin Defensive Rebound.,39,38
16:21,227,E.C. Matthews missed Three Point Jumper.,39,38
16:21,2507,Kyron Cartwright Defensive Rebound.,39,38
16:13,2507,Rodney Bullock Turnover.,39,38
16:03,2507,Foul on Kyron Cartwright.,39,38
15:55,227,E.C. Matthews missed Three Point Jumper.,39,38
15:55,2507,Kyron Cartwright Defensive Rebound.,39,38
15:28,2507,Official TV Timeout,39,38
15:25,2507,Emmitt Holt Turnover.,39,38
15:24,227,Hassan Martin Steal.,39,38
15:14,227,E.C. Matthews made Three Point Jumper. Assisted by Nicola Akele.,42,38
14:45,2507,Kyron Cartwright missed Jumper.,42,38
14:45,227,Jarvis Garrett Defensive Rebound.,42,38
14:36,227,Jared Terrell missed Jumper.,42,38
14:36,2507,Emmitt Holt Defensive Rebound.,42,38
14:31,2507,Rodney Bullock missed Three Point Jumper.,42,38
14:31,2507,Isaiah Jackson Offensive Rebound.,42,38
14:23,2507,Isaiah Jackson missed Jumper.,42,38
14:23,227,Hassan Martin Defensive Rebound.,42,38
14:09,227,Nicola Akele missed Jumper.,42,38
14:09,227,Hassan Martin Offensive Rebound.,42,38
14:06,2507,Foul on Isaiah Jackson.,42,38
13:45,227,Jarvis Garrett missed Jumper.,42,38
13:45,227,Hassan Martin Offensive Rebound.,42,38
13:42,227,Hassan Martin made Layup.,44,38
13:21,227,Foul on Hassan Martin.,44,38
13:21,2507,Rodney Bullock made Free Throw.,44,39
13:21,2507,Rodney Bullock made Free Throw.,44,40
13:09,2507,Foul on Drew Edwards.,44,40
12:58,227,Jared Terrell made Jumper.,46,40
12:41,227,Foul on Christion Thompson.,46,40
12:29,2507,Rodney Bullock missed Jumper.,46,40
12:29,227,Stanford Robinson Defensive Rebound.,46,40
12:18,227,Jared Terrell missed Jumper.,46,40
12:18,227,Hassan Martin Offensive Rebound.,46,40
12:16,2507,Foul on Drew Edwards.,46,40
12:15,227,Hassan Martin missed Free Throw.,46,40
12:15,227,Rhode Island Deadball Team Rebound.,46,40
12:15,227,Hassan Martin made Free Throw.,47,40
11:51,2507,Kalif Young Turnover.,47,40
11:50,227,Cyril Langevine Steal.,47,40
11:49,2507,Foul on Jalen Lindsey.,47,40
11:49,2507,Official TV Timeout,47,40
11:32,227,Cyril Langevine missed Layup.,47,40
11:32,2507,Kalif Young Block.,47,40
11:31,2507,Providence Defensive Rebound.,47,40
11:31,227,Foul on Christion Thompson.,47,40
11:20,227,Foul on Nicola Akele.,47,40
11:11,227,Foul on Jared Terrell.,47,40
11:00,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,47,43
10:35,227,Jared Terrell missed Layup.,47,43
10:35,2507,Emmitt Holt Defensive Rebound.,47,43
10:12,2507,Jalen Lindsey missed Three Point Jumper.,47,43
10:12,227,Kuran Iverson Defensive Rebound.,47,43
9:41,227,Jared Terrell missed Three Point Jumper.,47,43
9:41,227,Kuran Iverson Offensive Rebound.,47,43
9:40,227,Rhode Island  Turnover.,47,43
9:22,2507,Kyron Cartwright missed Three Point Jumper.,47,43
9:22,2507,Jalen Lindsey Offensive Rebound.,47,43
9:19,227,Foul on Kuran Iverson.,47,43
9:19,2507,Jalen Lindsey made Free Throw.,47,44
9:19,2507,Jalen Lindsey made Free Throw.,47,45
9:04,227,Jarvis Garrett missed Layup.,47,45
9:04,2507,Emmitt Holt Block.,47,45
9:01,2507,Jalen Lindsey Defensive Rebound.,47,45
8:59,2507,Ryan Fazekas made Layup. Assisted by Kyron Cartwright.,47,47
8:41,227,E.C. Matthews missed Jumper.,47,47
8:41,2507,Ryan Fazekas Defensive Rebound.,47,47
8:34,2507,Emmitt Holt missed Jumper.,47,47
8:34,227,Hassan Martin Defensive Rebound.,47,47
8:12,227,Jarvis Garrett made Jumper.,49,47
7:55,2507,Kyron Cartwright made Layup.,49,49
7:28,227,Kuran Iverson missed Layup.,49,49
7:28,227,Kuran Iverson Offensive Rebound.,49,49
7:25,227,Kuran Iverson missed Layup.,49,49
7:25,2507,Emmitt Holt Block.,49,49
7:23,2507,Rodney Bullock Defensive Rebound.,49,49
7:16,2507,Emmitt Holt made Jumper. Assisted by Kyron Cartwright.,49,51
7:11,227,Rhode Island  Timeout,49,51
6:44,227,Jarvis Garrett made Jumper.,51,51
6:18,2507,Emmitt Holt missed Layup.,51,51
6:18,227,Hassan Martin Block.,51,51
6:16,227,Kuran Iverson Defensive Rebound.,51,51
6:10,227,Jarvis Garrett missed Jumper.,51,51
6:10,227,Kuran Iverson Offensive Rebound.,51,51
6:04,227,Jarvis Garrett missed Three Point Jumper.,51,51
6:04,2507,Jalen Lindsey Defensive Rebound.,51,51
5:53,2507,Rodney Bullock made Jumper.,51,53
5:32,227,Jared Terrell Turnover.,51,53
5:32,2507,Ryan Fazekas Steal.,51,53
5:32,2507,Official TV Timeout,51,53
5:08,2507,Rodney Bullock missed Three Point Jumper.,51,53
5:08,227,Hassan Martin Defensive Rebound.,51,53
4:49,227,Kuran Iverson missed Jumper.,51,53
4:49,2507,Ryan Fazekas Defensive Rebound.,51,53
4:18,2507,Emmitt Holt missed Jumper.,51,53
4:18,227,Rhode Island Defensive Rebound.,51,53
4:06,2507,Foul on Kyron Cartwright.,51,53
4:02,227,E.C. Matthews missed Three Point Jumper.,51,53
4:02,2507,Rodney Bullock Defensive Rebound.,51,53
3:53,2507,Jalen Lindsey missed Three Point Jumper.,51,53
3:53,227,E.C. Matthews Defensive Rebound.,51,53
3:44,227,E.C. Matthews made Layup.,53,53
3:14,2507,Rodney Bullock made Layup.,53,55
2:54,227,Hassan Martin missed Layup.,53,55
2:54,2507,Ryan Fazekas Defensive Rebound.,53,55
2:36,227,Foul on Nicola Akele.,53,55
2:36,2507,Official TV Timeout,53,55
2:36,2507,Rodney Bullock made Free Throw.,53,56
2:36,2507,Rodney Bullock missed Free Throw.,53,56
2:36,227,Nicola Akele Defensive Rebound.,53,56
2:06,227,Jared Terrell missed Jumper.,53,56
2:06,227,Hassan Martin Offensive Rebound.,53,56
2:02,227,Hassan Martin made Two Point Tip Shot.,55,56
1:57,2507,Providence  Timeout,55,56
1:39,227,Foul on Stanford Robinson.,55,56
1:39,2507,Ryan Fazekas made Free Throw.,55,57
1:39,2507,Ryan Fazekas missed Free Throw.,55,57
1:39,227,Hassan Martin Defensive Rebound.,55,57
1:12,227,E.C. Matthews missed Three Point Jumper.,55,57
1:12,2507,Emmitt Holt Defensive Rebound.,55,57
0:43,2507,Jalen Lindsey made Jumper.,55,59
0:39,227,Rhode Island  Timeout,55,59
0:30,227,Jared Terrell made Jumper.,57,59
0:30,2507,Foul on Jalen Lindsey.,57,59
0:30,227,Jared Terrell made Free Throw.,58,59
0:26,2507,Providence  Timeout,58,59
0:16,2507,Rodney Bullock made Dunk. Assisted by Kyron Cartwright.,58,61
0:13,227,Rhode Island  Timeout,58,61
0:09,2507,Foul on Jalen Lindsey.,58,61
0:09,227,Jared Terrell made Free Throw.,59,61
0:09,2507,Providence  Timeout,59,61
0:09,227,Jared Terrell made Free Throw.,60,61
0:08,227,Foul on Christion Thompson.,60,61
0:08,2507,Kyron Cartwright made Free Throw.,60,62
0:08,2507,Kyron Cartwright made Free Throw.,60,63
0:04,227,E.C. Matthews missed Three Point Jumper.,60,63
0:04,2507,Providence Defensive Rebound.,60,63
0:01,227,Foul on Jared Terrell.,60,63
0:01,2507,Drew Edwards missed Free Throw.,60,63
0:01,2507,Providence Deadball Team Rebound.,60,63
0:01,2507,Drew Edwards missed Free Throw.,60,63
0:01,227,Hassan Martin Defensive Rebound.,60,63
0:00,2507,End of Game,60,63
