Santa Clara,30,USC,2541
5:07,30,Jonah Mathews Defensive Rebound.,12,26
4:49,30,Jonah Mathews missed Jumper.,12,26
4:49,2541,Josip Vrankic Defensive Rebound.,12,26
4:28,30,Foul on Shaqquan Aaron.,12,26
4:28,2541,Josip Vrankic made Free Throw.,13,26
4:28,2541,Josip Vrankic made Free Throw.,14,26
4:11,30,Chimezie Metu made Jumper. Assisted by Jordan McLaughlin.,14,28
3:50,2541,Matt Turner made Three Point Jumper.,17,28
3:38,30,Shaqquan Aaron missed Three Point Jumper.,17,28
3:38,2541,Henry Caruso Defensive Rebound.,17,28
3:19,2541,Emmanuel Ndumanya missed Jumper.,17,28
3:19,30,Chimezie Metu Block.,17,28
3:17,2541,Henry Caruso Offensive Rebound.,17,28
3:05,2541,Santa Clara  Turnover.,17,28
3:05,30,Official TV Timeout,17,28
2:53,30,Jonah Mathews made Three Point Jumper. Assisted by Bennie Boatwright.,17,31
2:35,2541,Shaquille Walters missed Layup.,17,31
2:35,30,Bennie Boatwright Defensive Rebound.,17,31
2:26,30,Elijah Stewart made Layup. Assisted by Jonah Mathews.,17,33
2:04,2541,Henry Caruso missed Layup.,17,33
2:04,2541,Emmanuel Ndumanya Offensive Rebound.,17,33
2:02,2541,Emmanuel Ndumanya missed Layup.,17,33
2:02,30,Chimezie Metu Defensive Rebound.,17,33
1:45,30,Chimezie Metu missed Jumper.,17,33
1:45,2541,KJ Feagin Defensive Rebound.,17,33
1:38,2541,Josip Vrankic made Three Point Jumper. Assisted by KJ Feagin.,20,33
1:18,30,Bennie Boatwright made Layup. Assisted by Jordan McLaughlin.,20,35
1:10,2541,Josip Vrankic made Layup. Assisted by KJ Feagin.,22,35
1:10,30,USC  Timeout,22,35
0:58,30,Jordan Usher Turnover.,22,35
0:42,2541,Henry Caruso missed Three Point Jumper.,22,35
0:42,30,USC Defensive Rebound.,22,35
0:28,30,Bennie Boatwright missed Three Point Jumper.,22,35
0:28,30,Bennie Boatwright Offensive Rebound.,22,35
0:02,30,Jordan McLaughlin made Layup.,22,37
0:00,30,End of 1st half,22,37
19:49,2541,Henry Caruso missed Jumper.,22,37
19:49,30,Bennie Boatwright Block.,22,37
19:48,2541,Santa Clara Offensive Rebound.,22,37
19:47,30,Foul on Jonah Mathews.,22,37
19:45,2541,Jarvis Pugh made Layup. Assisted by Matt Hauser.,24,37
19:29,30,Chimezie Metu made Jumper.,24,39
19:12,2541,Jarvis Pugh missed Three Point Jumper.,24,39
19:12,30,Jordan McLaughlin Defensive Rebound.,24,39
19:01,30,Bennie Boatwright made Three Point Jumper. Assisted by Jordan McLaughlin.,24,42
18:41,2541,Matt Hauser made Three Point Jumper. Assisted by Jarvis Pugh.,27,42
18:23,30,Chimezie Metu missed Dunk.,27,42
18:23,30,Chimezie Metu Offensive Rebound.,27,42
18:21,30,Chimezie Metu missed Layup.,27,42
18:21,2541,Henry Caruso Defensive Rebound.,27,42
17:52,2541,Josip Vrankic missed Three Point Jumper.,27,42
17:52,30,Chimezie Metu Defensive Rebound.,27,42
17:39,30,Nick Rakocevic made Dunk. Assisted by Bennie Boatwright.,27,44
17:09,2541,KJ Feagin made Jumper.,29,44
16:53,30,Chimezie Metu missed Jumper.,29,44
16:53,2541,Josip Vrankic Defensive Rebound.,29,44
16:35,2541,Jarvis Pugh missed Jumper.,29,44
16:35,30,Nick Rakocevic Block.,29,44
16:34,2541,Jarvis Pugh Offensive Rebound.,29,44
16:30,2541,KJ Feagin made Three Point Jumper. Assisted by Jarvis Pugh.,32,44
16:13,2541,Foul on Matt Hauser.,32,44
16:04,2541,Foul on Henry Caruso.,32,44
16:04,30,Bennie Boatwright made Jumper.,32,46
16:00,2541,KJ Feagin missed Jumper.,32,46
16:00,30,Nick Rakocevic Defensive Rebound.,32,46
15:51,30,Jordan McLaughlin missed Three Point Jumper.,32,46
15:51,30,Jonah Mathews Offensive Rebound.,32,46
15:34,30,Bennie Boatwright missed Jumper.,32,46
15:34,2541,Josip Vrankic Defensive Rebound.,32,46
15:28,2541,Matt Hauser missed Layup.,32,46
15:28,30,Jordan McLaughlin Block.,32,46
15:28,30,Jonah Mathews Defensive Rebound.,32,46
15:13,30,Nick Rakocevic made Jumper. Assisted by Jonah Mathews.,32,48
14:46,2541,Henry Caruso made Three Point Jumper. Assisted by Matt Hauser.,35,48
14:34,30,Jordan McLaughlin Turnover.,35,48
14:33,2541,Josip Vrankic Steal.,35,48
14:31,2541,Henry Caruso Turnover.,35,48
14:30,30,Jordan McLaughlin Steal.,35,48
14:21,30,Nick Rakocevic made Layup. Assisted by Jordan McLaughlin.,35,50
14:13,30,Foul on Nick Rakocevic.,35,50
14:13,30,Nick Rakocevic Turnover.,35,50
14:13,30,Official TV Timeout,35,50
14:13,2541,Henry Caruso missed Free Throw.,35,50
14:13,2541,Santa Clara Deadball Team Rebound.,35,50
14:13,2541,Henry Caruso made Free Throw.,36,50
14:03,2541,Foul on Josip Vrankic.,36,50
14:03,2541,Josip Vrankic Turnover.,36,50
13:47,30,Chimezie Metu made Dunk. Assisted by Bennie Boatwright.,36,52
13:25,2541,Shaquille Walters missed Jumper.,36,52
13:25,30,Chimezie Metu Block.,36,52
13:20,30,Jonah Mathews Defensive Rebound.,36,52
13:13,30,Jonah Mathews made Three Point Jumper. Assisted by Jordan McLaughlin.,36,55
12:58,2541,KJ Feagin made Layup.,38,55
12:58,30,Foul on Jonah Mathews.,38,55
12:58,2541,KJ Feagin made Free Throw.,39,55
12:40,30,Jordan McLaughlin made Layup.,39,57
12:13,2541,Jarvis Pugh made Layup.,41,57
11:55,30,Jordan McLaughlin missed Layup.,41,57
11:55,2541,Shaquille Walters Defensive Rebound.,41,57
11:45,2541,Emmanuel Ndumanya missed Jumper.,41,57
11:45,2541,Emmanuel Ndumanya Offensive Rebound.,41,57
11:30,2541,Shaquille Walters missed Jumper.,41,57
11:30,30,Bennie Boatwright Defensive Rebound.,41,57
11:22,30,Bennie Boatwright made Layup.,41,59
10:55,2541,Matt Turner missed Jumper.,41,59
10:55,30,Chimezie Metu Defensive Rebound.,41,59
10:53,30,Official TV Timeout,41,59
10:42,30,Chimezie Metu made Dunk. Assisted by Jordan McLaughlin.,41,61
10:20,30,Foul on Charles O'Bannon Jr..,41,61
10:08,30,Foul on Charles O'Bannon Jr..,41,61
9:57,2541,Josip Vrankic made Three Point Jumper. Assisted by KJ Feagin.,44,61
9:34,30,Chimezie Metu Turnover.,44,61
9:06,2541,Matt Hauser missed Three Point Jumper.,44,61
9:06,30,Shaqquan Aaron Defensive Rebound.,44,61
8:52,2541,Foul on Josip Vrankic.,44,61
8:52,30,Chimezie Metu made Free Throw.,44,62
8:52,30,Chimezie Metu made Free Throw.,44,63
8:34,2541,Henry Caruso missed Three Point Jumper.,44,63
8:34,30,Jordan Usher Defensive Rebound.,44,63
8:15,30,Nick Rakocevic missed Layup.,44,63
8:15,30,Nick Rakocevic Offensive Rebound.,44,63
8:10,30,Jordan McLaughlin missed Three Point Jumper.,44,63
8:10,30,Nick Rakocevic Offensive Rebound.,44,63
8:05,2541,Foul on Shaquille Walters.,44,63
8:05,30,Nick Rakocevic made Free Throw.,44,64
8:05,30,Nick Rakocevic made Free Throw.,44,65
7:49,2541,Josip Vrankic made Three Point Jumper. Assisted by Matt Hauser.,47,65
7:35,2541,Foul on Matt Hauser.,47,65
7:35,30,Official TV Timeout,47,65
7:35,30,Nick Rakocevic made Free Throw.,47,66
7:35,30,Nick Rakocevic missed Free Throw.,47,66
7:35,2541,Shaquille Walters Defensive Rebound.,47,66
7:16,2541,Shaquille Walters made Layup. Assisted by Josip Vrankic.,49,66
6:56,30,Elijah Stewart missed Three Point Jumper.,49,66
6:56,2541,Santa Clara Deadball Team Rebound.,49,66
6:36,2541,Henry Caruso made Jumper.,51,66
6:36,30,Foul on Elijah Stewart.,51,66
6:36,2541,Henry Caruso made Free Throw.,52,66
6:20,30,Bennie Boatwright made Dunk. Assisted by Chimezie Metu.,52,68
6:06,30,Foul on Jonah Mathews.,52,68
6:06,2541,Matt Turner missed Free Throw.,52,68
6:06,2541,Santa Clara Deadball Team Rebound.,52,68
6:06,2541,Matt Turner missed Free Throw.,52,68
6:06,30,Nick Rakocevic Defensive Rebound.,52,68
5:52,30,Nick Rakocevic made Dunk. Assisted by Jordan McLaughlin.,52,70
5:39,30,Foul on Nick Rakocevic.,52,70
5:39,2541,Josip Vrankic missed Free Throw.,52,70
5:39,30,Nick Rakocevic Defensive Rebound.,52,70
5:26,30,Bennie Boatwright missed Jumper.,52,70
5:26,30,Nick Rakocevic Offensive Rebound.,52,70
5:22,30,Nick Rakocevic made Layup.,52,72
5:22,2541,Foul on KJ Feagin.,52,72
5:22,2541,Santa Clara  Timeout,52,72
5:22,30,Official TV Timeout,52,72
5:22,30,Nick Rakocevic missed Free Throw.,52,72
5:22,2541,Josip Vrankic Defensive Rebound.,52,72
5:00,2541,Josip Vrankic missed Three Point Jumper.,52,72
5:00,30,USC Defensive Rebound.,52,72
4:48,30,Jordan McLaughlin Turnover.,52,72
4:36,30,Foul on Nick Rakocevic.,52,72
4:36,2541,Josip Vrankic made Free Throw.,53,72
4:36,2541,Josip Vrankic made Free Throw.,54,72
4:20,2541,Foul on Josip Vrankic.,54,72
4:20,30,Jordan McLaughlin made Free Throw.,54,73
4:20,30,Jordan McLaughlin made Free Throw.,54,74
3:59,2541,Shaquille Walters missed Jumper.,54,74
3:59,30,Bennie Boatwright Defensive Rebound.,54,74
3:50,30,Chimezie Metu made Dunk. Assisted by Jordan McLaughlin.,54,76
3:28,2541,Jarvis Pugh made Three Point Jumper.,57,76
3:24,30,USC  Timeout,57,76
3:24,30,Official TV Timeout,57,76
3:12,30,Chimezie Metu missed Layup.,57,76
3:12,30,Chimezie Metu Offensive Rebound.,57,76
3:10,30,Chimezie Metu missed Layup.,57,76
3:10,2541,KJ Feagin Defensive Rebound.,57,76
2:55,2541,Josip Vrankic missed Three Point Jumper.,57,76
2:55,30,Jonah Mathews Defensive Rebound.,57,76
2:42,2541,Foul on Josip Vrankic.,57,76
2:42,30,Victor Uyaelunmo missed Free Throw.,57,76
2:42,30,USC Deadball Team Rebound.,57,76
2:42,30,Victor Uyaelunmo made Free Throw.,57,77
2:16,2541,Jarvis Pugh missed Layup.,57,77
2:16,30,Elijah Stewart Block.,57,77
2:15,30,Victor Uyaelunmo Defensive Rebound.,57,77
1:55,30,Charles O'Bannon Jr. made Jumper. Assisted by Victor Uyaelunmo.,57,79
1:41,2541,Henrik Jadersten missed Three Point Jumper.,57,79
1:41,30,Charles O'Bannon Jr. Defensive Rebound.,57,79
1:24,30,Victor Uyaelunmo missed Layup.,57,79
1:24,2541,Henrik Jadersten Defensive Rebound.,57,79
1:11,2541,Jarvis Pugh missed Three Point Jumper.,57,79
1:11,30,Jordan Usher Defensive Rebound.,57,79
1:00,30,Victor Uyaelunmo made Jumper.,57,81
0:44,30,Foul on Victor Uyaelunmo.,57,81
0:44,2541,Matt Turner made Free Throw.,58,81
0:44,2541,Matt Turner made Free Throw.,59,81
0:28,2541,Foul on Henrik Jadersten.,59,81
0:28,30,Victor Uyaelunmo made Free Throw.,59,82
0:28,30,Victor Uyaelunmo missed Free Throw.,59,82
0:28,2541,Henrik Jadersten Defensive Rebound.,59,82
0:14,2541,Matt Turner missed Three Point Jumper.,59,82
0:14,30,Shaqquan Aaron Defensive Rebound.,59,82
0:00,30,End of Game,59,82
