South Dakota,2464,Northern Arizona,233
11:38,233,Tyler Hagedorn Defensive Rebound.,12,10
11:08,233,Triston Simpson Turnover.,12,10
10:54,2464,Carlos Hines missed Layup.,12,10
10:54,233,Trey Burch-Manning Defensive Rebound.,12,10
10:43,233,Tyler Hagedorn missed Layup.,12,10
10:43,233,Carlton Hurst Offensive Rebound.,12,10
10:33,233,Brandon Armstrong made Three Point Jumper. Assisted by Carlton Hurst.,15,10
10:16,2464,Karl Harris made Jumper.,15,12
9:47,2464,Foul on Corey Brown.,15,12
9:44,233,Trey Burch-Manning made Layup. Assisted by Triston Simpson.,17,12
9:17,2464,Karl Harris missed Three Point Jumper.,17,12
9:17,233,Brandon Armstrong Defensive Rebound.,17,12
9:08,2464,Foul on Isaiah Thomas.,17,12
9:08,233,Trey Burch-Manning missed Free Throw.,17,12
9:08,233,South Dakota Deadball Team Rebound.,17,12
9:08,233,Trey Burch-Manning made Free Throw.,18,12
8:41,2464,Chris Bowling missed Jumper.,18,12
8:41,233,Trey Burch-Manning Defensive Rebound.,18,12
8:34,2464,Foul on Karl Harris.,18,12
8:34,233,Triston Simpson made Free Throw.,19,12
8:34,233,Triston Simpson made Free Throw.,20,12
8:18,2464,Lenell Henry Turnover.,20,12
8:16,233,Carlton Hurst Steal.,20,12
8:11,233,Brandon Armstrong missed Three Point Jumper.,20,12
8:11,2464,Northern Arizona Defensive Rebound.,20,12
8:10,233,Foul on Tyler Hagedorn.,20,12
7:59,2464,Gino Littles missed Three Point Jumper.,20,12
7:59,233,Carlton Hurst Defensive Rebound.,20,12
7:47,233,Tyler Hagedorn made Layup.,22,12
7:32,2464,Jojo Anderson missed Three Point Jumper.,22,12
7:32,233,Brandon Armstrong Defensive Rebound.,22,12
7:14,233,Nick Fuller made Layup. Assisted by Triston Simpson.,24,12
7:14,2464,Foul on Karl Harris.,24,12
7:14,233,Nick Fuller made Free Throw.,25,12
7:08,2464,Chris Bowling missed Three Point Jumper.,25,12
7:08,2464,Northern Arizona Offensive Rebound.,25,12
6:56,233,Foul on Nick Fuller.,25,12
6:56,2464,Corey Brown missed Free Throw.,25,12
6:56,233,Tyler Hagedorn Defensive Rebound.,25,12
6:31,233,Carlton Hurst missed Jumper.,25,12
6:31,233,Nick Fuller Offensive Rebound.,25,12
6:26,233,Nick Fuller made Layup.,27,12
6:14,2464,Corey Brown made Layup. Assisted by Gino Littles.,27,14
6:00,233,Tyler Hagedorn missed Layup.,27,14
6:00,233,Tyler Hagedorn Offensive Rebound.,27,14
5:53,233,Tyler Hagedorn made Layup.,29,14
5:28,2464,Jojo Anderson made Three Point Jumper. Assisted by Gino Littles.,29,17
5:14,233,Foul on Carlton Hurst.,29,17
5:11,233,Carlton Hurst Turnover.,29,17
4:53,2464,Jojo Anderson missed Three Point Jumper.,29,17
4:53,233,Nick Fuller Defensive Rebound.,29,17
4:38,233,Nick Fuller made Layup.,31,17
4:19,233,Foul on Tyler Peterson.,31,17
4:19,2464,Corey Brown made Free Throw.,31,18
4:19,2464,Corey Brown made Free Throw.,31,19
3:55,2464,Foul on Jojo Anderson.,31,19
3:55,233,Matt Mooney made Free Throw.,32,19
3:55,233,Matt Mooney made Free Throw.,33,19
3:39,2464,Gino Littles missed Jumper.,33,19
3:39,233,Nick Fuller Defensive Rebound.,33,19
3:21,233,Nick Fuller missed Layup.,33,19
3:21,2464,Corey Brown Defensive Rebound.,33,19
3:01,2464,Carlos Hines missed Three Point Jumper.,33,19
3:01,2464,Isaiah Thomas Offensive Rebound.,33,19
2:51,2464,Jojo Anderson Turnover.,33,19
2:47,233,Carlton Hurst made Dunk. Assisted by Matt Mooney.,35,19
2:10,2464,Carlos Hines Turnover.,35,19
2:08,233,Tyler Hagedorn Steal.,35,19
2:06,233,Tyler Hagedorn Turnover.,35,19
1:44,2464,Karl Harris missed Jumper.,35,19
1:44,233,Tyler Hagedorn Defensive Rebound.,35,19
1:32,2464,Foul on Isaiah Thomas.,35,19
1:32,233,Tyler Hagedorn made Free Throw.,36,19
1:32,233,Tyler Hagedorn missed Free Throw.,36,19
1:32,2464,Kye De Laveaga Defensive Rebound.,36,19
1:21,2464,Kye De Laveaga missed Three Point Jumper.,36,19
1:21,2464,Corey Brown Offensive Rebound.,36,19
1:16,2464,Corey Brown made Layup.,36,21
1:02,2464,Foul on Corey Brown.,36,21
1:02,233,Tyler Hagedorn made Free Throw.,37,21
1:02,233,Tyler Hagedorn made Free Throw.,38,21
0:53,2464,Kye De Laveaga missed Three Point Jumper.,38,21
0:53,233,Triston Simpson Defensive Rebound.,38,21
0:37,233,Matt Mooney Turnover.,38,21
0:21,2464,Karl Harris missed Jumper.,38,21
0:21,2464,Ruben Fuamba Offensive Rebound.,38,21
0:16,2464,Ruben Fuamba made Layup.,38,23
0:16,233,Foul on Tyler Hagedorn.,38,23
0:16,2464,Ruben Fuamba missed Free Throw.,38,23
0:16,233,Nick Fuller Defensive Rebound.,38,23
0:03,233,Matt Mooney missed Jumper.,38,23
0:03,2464,Lenell Henry Defensive Rebound.,38,23
0:00,2464,End of 1st half,38,23
19:43,2464,Gino Littles missed Three Point Jumper.,38,23
19:43,233,Trey Burch-Manning Defensive Rebound.,38,23
19:30,233,Tyler Hagedorn missed Three Point Jumper.,38,23
19:30,2464,Isaiah Thomas Defensive Rebound.,38,23
19:21,233,Foul on Triston Simpson.,38,23
19:21,2464,Jojo Anderson missed Free Throw.,38,23
19:21,2464,Northern Arizona Deadball Team Rebound.,38,23
19:21,2464,Jojo Anderson made Free Throw.,38,24
19:18,2464,Foul on Jojo Anderson.,38,24
19:05,2464,Foul on Corey Brown.,38,24
19:05,233,Tyler Hagedorn made Free Throw.,39,24
19:05,233,Tyler Hagedorn made Free Throw.,40,24
18:42,2464,Jojo Anderson missed Jumper.,40,24
18:42,233,Carlton Hurst Defensive Rebound.,40,24
18:35,233,Matt Mooney missed Three Point Jumper.,40,24
18:35,233,Trey Burch-Manning Offensive Rebound.,40,24
18:26,233,Matt Mooney missed Layup.,40,24
18:26,233,Carlton Hurst Offensive Rebound.,40,24
18:22,233,Tyler Hagedorn made Dunk. Assisted by Carlton Hurst.,42,24
17:55,2464,Jojo Anderson made Jumper.,42,26
17:40,2464,Foul on Isaiah Thomas.,42,26
17:40,233,Tyler Hagedorn made Free Throw.,43,26
17:40,233,Tyler Hagedorn made Free Throw.,44,26
17:23,2464,Jojo Anderson made Three Point Jumper.,44,29
17:12,233,Tyler Hagedorn Turnover.,44,29
16:47,2464,Jojo Anderson made Three Point Jumper. Assisted by Chris Bowling.,44,32
16:31,233,Triston Simpson Turnover.,44,32
16:29,2464,Isaiah Thomas Steal.,44,32
16:26,2464,Gino Littles made Layup.,44,34
16:18,233,Matt Mooney made Layup.,46,34
16:18,2464,Foul on Chris Bowling.,46,34
16:18,233,Matt Mooney made Free Throw.,47,34
16:06,2464,Chris Bowling missed Three Point Jumper.,47,34
16:06,233,Carlton Hurst Defensive Rebound.,47,34
15:57,233,Triston Simpson Turnover.,47,34
15:55,2464,Chris Bowling Steal.,47,34
15:52,2464,Chris Bowling Turnover.,47,34
15:51,233,Triston Simpson Steal.,47,34
15:47,233,Carlton Hurst made Dunk.,49,34
15:42,2464,Foul on Ruben Fuamba.,49,34
15:42,233,Carlton Hurst missed Free Throw.,49,34
15:42,233,South Dakota Offensive Rebound.,49,34
15:34,233,Tyler Hagedorn Turnover.,49,34
15:32,2464,Jojo Anderson Steal.,49,34
15:30,233,Foul on Triston Simpson.,49,34
15:30,2464,Jojo Anderson made Free Throw.,49,35
15:30,2464,Jojo Anderson made Free Throw.,49,36
15:16,233,Trey Burch-Manning made Layup.,51,36
15:16,2464,Foul on Ruben Fuamba.,51,36
15:16,233,Trey Burch-Manning missed Free Throw.,51,36
15:16,233,Carlton Hurst Offensive Rebound.,51,36
15:09,233,Matt Mooney made Three Point Jumper.,54,36
14:52,2464,Foul on Lenell Henry.,54,36
14:52,2464,Lenell Henry Turnover.,54,36
14:35,233,Matt Mooney missed Three Point Jumper.,54,36
14:35,233,South Dakota Offensive Rebound.,54,36
14:33,2464,Foul on Lenell Henry.,54,36
14:33,233,Tyler Hagedorn missed Free Throw.,54,36
14:33,2464,Lenell Henry Defensive Rebound.,54,36
14:18,233,Carlton Hurst Turnover.,54,36
14:06,233,Foul on Carlton Hurst.,54,36
14:06,2464,Isaiah Thomas made Free Throw.,54,37
14:06,2464,Isaiah Thomas made Free Throw.,54,38
14:03,233,Nick Fuller Turnover.,54,38
14:01,2464,Gino Littles Steal.,54,38
13:58,233,Foul on Brandon Armstrong.,54,38
13:46,2464,Isaiah Thomas made Layup. Assisted by Chris Bowling.,54,40
13:46,233,Foul on Nick Fuller.,54,40
13:46,2464,Isaiah Thomas made Free Throw.,54,41
13:37,233,Nick Fuller made Layup. Assisted by Tyler Hagedorn.,56,41
13:37,2464,Foul on Karl Harris.,56,41
13:37,233,Nick Fuller made Free Throw.,57,41
13:19,2464,Jojo Anderson missed Jumper.,57,41
13:19,233,Matt Mooney Defensive Rebound.,57,41
13:10,233,Matt Mooney made Layup.,59,41
12:45,2464,Jojo Anderson Turnover.,59,41
12:45,233,Carlton Hurst Steal.,59,41
12:45,2464,Foul on Karl Harris.,59,41
12:45,233,Carlton Hurst missed Free Throw.,59,41
12:45,233,South Dakota Deadball Team Rebound.,59,41
12:45,233,Carlton Hurst made Free Throw.,60,41
12:26,2464,Chris Bowling made Three Point Jumper.,60,44
12:03,233,Matt Mooney made Layup.,62,44
11:39,2464,Chris Bowling missed Layup.,62,44
11:39,233,Nick Fuller Defensive Rebound.,62,44
11:31,233,Carlton Hurst missed Layup.,62,44
11:31,2464,Chris Bowling Defensive Rebound.,62,44
11:27,233,Foul on Tyler Hagedorn.,62,44
11:27,2464,Chris Bowling made Free Throw.,62,45
11:27,2464,Chris Bowling made Free Throw.,62,46
11:13,233,Brandon Armstrong missed Three Point Jumper.,62,46
11:13,233,Carlton Hurst Offensive Rebound.,62,46
11:05,233,Brandon Armstrong missed Jumper.,62,46
11:05,2464,Isaiah Thomas Defensive Rebound.,62,46
10:54,2464,Chris Bowling made Three Point Jumper. Assisted by Jojo Anderson.,62,49
10:32,233,Nick Fuller missed Layup.,62,49
10:32,2464,Isaiah Thomas Block.,62,49
10:29,2464,Carlos Hines Defensive Rebound.,62,49
10:23,2464,Carlos Hines made Three Point Jumper. Assisted by Gino Littles.,62,52
10:12,233,South Dakota  Timeout,62,52
9:58,233,Tyler Hagedorn missed Three Point Jumper.,62,52
9:58,2464,Jojo Anderson Defensive Rebound.,62,52
9:46,2464,Chris Bowling missed Three Point Jumper.,62,52
9:46,233,Matt Mooney Defensive Rebound.,62,52
9:33,233,Tyler Hagedorn missed Layup.,62,52
9:33,233,Trey Burch-Manning Offensive Rebound.,62,52
9:29,233,Trey Burch-Manning missed Layup.,62,52
9:29,233,Trey Burch-Manning Offensive Rebound.,62,52
9:27,2464,Foul on Isaiah Thomas.,62,52
9:27,233,Trey Burch-Manning made Free Throw.,63,52
9:27,233,Trey Burch-Manning missed Free Throw.,63,52
9:27,2464,Chris Bowling Defensive Rebound.,63,52
9:27,233,Foul on Tyler Hagedorn.,63,52
9:27,2464,Chris Bowling made Free Throw.,63,53
9:27,2464,Chris Bowling made Free Throw.,63,54
9:08,233,Dan Jech missed Layup.,63,54
9:08,233,Trey Burch-Manning Offensive Rebound.,63,54
9:04,233,Trey Burch-Manning missed Layup.,63,54
9:04,2464,Carlos Hines Defensive Rebound.,63,54
8:59,233,Foul on Matt Mooney.,63,54
8:59,2464,Jojo Anderson made Free Throw.,63,55
8:59,2464,Jojo Anderson made Free Throw.,63,56
8:47,2464,Foul on Jojo Anderson.,63,56
8:47,233,Matt Mooney missed Free Throw.,63,56
8:47,233,South Dakota Deadball Team Rebound.,63,56
8:47,233,Matt Mooney made Free Throw.,64,56
8:47,233,Foul on Dan Jech.,64,56
8:26,2464,Jojo Anderson made Three Point Jumper.,64,59
8:10,233,Triston Simpson missed Layup.,64,59
8:10,2464,Jojo Anderson Block.,64,59
8:07,2464,Jojo Anderson Defensive Rebound.,64,59
8:02,2464,Gino Littles missed Three Point Jumper.,64,59
8:02,233,Trey Burch-Manning Defensive Rebound.,64,59
7:49,233,Matt Mooney made Jumper.,66,59
7:29,2464,Carlos Hines missed Three Point Jumper.,66,59
7:29,233,Tyler Peterson Defensive Rebound.,66,59
7:22,233,Matt Mooney missed Three Point Jumper.,66,59
7:22,233,South Dakota Offensive Rebound.,66,59
7:19,2464,Foul on Ruben Fuamba.,66,59
7:19,233,Dan Jech missed Free Throw.,66,59
7:19,233,South Dakota Deadball Team Rebound.,66,59
7:19,233,Dan Jech missed Free Throw.,66,59
7:19,233,Matt Mooney Offensive Rebound.,66,59
7:19,233,Matt Mooney missed Layup.,66,59
7:19,2464,Corey Brown Defensive Rebound.,66,59
7:19,2464,Karl Harris missed Layup.,66,59
7:19,233,Tyler Peterson Defensive Rebound.,66,59
7:06,2464,Foul on Chris Bowling.,66,59
7:06,233,Tyler Peterson made Free Throw.,67,59
7:06,233,Tyler Peterson made Free Throw.,68,59
6:59,2464,Jojo Anderson missed Three Point Jumper.,68,59
6:59,233,South Dakota Defensive Rebound.,68,59
6:43,233,Nick Fuller made Layup. Assisted by Tyler Peterson.,70,59
6:43,2464,Foul on Chris Bowling.,70,59
6:43,233,Nick Fuller made Free Throw.,71,59
6:24,233,Foul on Triston Simpson.,71,59
6:24,2464,Jojo Anderson made Free Throw.,71,60
6:24,2464,Jojo Anderson made Free Throw.,71,61
6:23,233,Tyler Peterson Turnover.,71,61
6:23,2464,Jojo Anderson Steal.,71,61
6:23,233,Foul on Matt Mooney.,71,61
6:23,2464,Jojo Anderson made Free Throw.,71,62
6:23,2464,Jojo Anderson missed Free Throw.,71,62
6:23,233,Trey Burch-Manning Defensive Rebound.,71,62
6:06,233,Trey Burch-Manning made Layup.,73,62
5:50,2464,Carlos Hines made Jumper.,73,64
5:31,233,Trey Burch-Manning Turnover.,73,64
5:21,2464,Foul on Corey Brown.,73,64
5:21,2464,Corey Brown Turnover.,73,64
5:01,233,Nick Fuller Turnover.,73,64
4:44,2464,Carlos Hines missed Jumper.,73,64
4:44,2464,Isaiah Thomas Offensive Rebound.,73,64
4:41,2464,Isaiah Thomas made Layup.,73,66
4:41,233,Foul on Nick Fuller.,73,66
4:41,2464,Isaiah Thomas made Free Throw.,73,67
4:30,233,Matt Mooney made Three Point Jumper. Assisted by Trey Burch-Manning.,76,67
4:08,2464,Gino Littles missed Layup.,76,67
4:08,233,Triston Simpson Defensive Rebound.,76,67
4:03,233,Carlton Hurst Turnover.,76,67
4:03,233,Foul on Carlton Hurst.,76,67
3:45,2464,Karl Harris missed Dunk.,76,67
3:45,233,South Dakota Defensive Rebound.,76,67
3:29,233,Tyler Hagedorn made Layup. Assisted by Carlton Hurst.,78,67
3:16,2464,Karl Harris made Layup.,78,69
3:09,233,Matt Mooney Turnover.,78,69
3:08,2464,Jojo Anderson Steal.,78,69
3:06,2464,Jojo Anderson made Three Point Jumper.,78,72
3:06,233,Foul on Matt Mooney.,78,72
3:06,2464,Jojo Anderson made Free Throw.,78,73
2:43,233,Matt Mooney made Layup.,80,73
2:27,2464,Jojo Anderson Turnover.,80,73
2:26,233,Matt Mooney Steal.,80,73
2:24,2464,Foul on Carlos Hines.,80,73
2:24,233,Matt Mooney made Free Throw.,81,73
2:24,233,Matt Mooney made Free Throw.,82,73
2:05,2464,Jojo Anderson missed Three Point Jumper.,82,73
2:05,233,Matt Mooney Defensive Rebound.,82,73
1:46,233,Tyler Hagedorn made Dunk. Assisted by Triston Simpson.,84,73
1:37,2464,Jojo Anderson missed Layup.,84,73
1:37,2464,Isaiah Thomas Offensive Rebound.,84,73
1:35,2464,Northern Arizona  Timeout,84,73
1:31,2464,Karl Harris Turnover.,84,73
1:29,233,Trey Burch-Manning Steal.,84,73
1:27,2464,Foul on Carlos Hines.,84,73
1:27,233,Trey Burch-Manning missed Free Throw.,84,73
1:27,233,South Dakota Deadball Team Rebound.,84,73
1:27,233,Trey Burch-Manning made Free Throw.,85,73
1:27,233,Foul on Triston Simpson.,85,73
1:27,2464,Jojo Anderson made Free Throw.,85,74
1:27,2464,Jojo Anderson made Free Throw.,85,75
1:24,2464,Foul on Karl Harris.,85,75
1:24,233,Matt Mooney made Free Throw.,86,75
1:24,233,Matt Mooney made Free Throw.,87,75
1:17,2464,Jojo Anderson missed Layup.,87,75
1:17,233,Trey Burch-Manning Defensive Rebound.,87,75
0:52,233,Tyler Hagedorn made Layup. Assisted by Matt Mooney.,89,75
0:52,2464,Foul on Gino Littles.,89,75
0:52,233,Tyler Hagedorn made Free Throw.,90,75
0:41,2464,Jojo Anderson made Jumper.,90,77
0:15,233,Matt Mooney Turnover.,90,77
0:13,2464,Gino Littles Steal.,90,77
0:10,2464,Gino Littles Turnover.,90,77
0:09,233,Trey Burch-Manning Steal.,90,77
0:00,2464,End of Game,90,77
