Bethesda,Error,Utah Valley,3084
4:59,3084,Cory Calvert missed Three Point Jumper.,17,31
4:59,-1,Michael Morrissey Defensive Rebound.,17,31
4:45,-1,Gabriel Adersteg made Jumper.,19,31
4:34,3084,Ben Nakwaasah missed Three Point Jumper.,19,31
4:34,3084,Zach Nelson Offensive Rebound.,19,31
4:25,-1,Foul on Michael Morrissey.,19,31
4:25,3084,Jake Toolson made Free Throw.,19,32
4:25,3084,Jake Toolson made Free Throw.,19,33
4:11,-1,Gabriel Adersteg missed Jumper.,19,33
4:11,3084,Brandon Randolph Defensive Rebound.,19,33
3:58,3084,Conner Toolson made Jumper. Assisted by Brandon Randolph.,19,35
3:30,3084,Foul on Ben Nakwaasah.,19,35
3:30,3084,Official TV Timeout,19,35
3:30,-1,Jordan Lopez made Free Throw.,20,35
3:30,-1,Jordan Lopez made Free Throw.,21,35
3:18,3084,Conner Toolson missed Three Point Jumper.,21,35
3:18,3084,Jake Toolson Offensive Rebound.,21,35
3:13,3084,Jake Toolson made Layup.,21,37
3:07,-1,Shaquille Moore made Layup. Assisted by Jordan Lopez.,23,37
2:57,3084,Ben Nakwaasah missed Three Point Jumper.,23,37
2:57,-1,Gabriel Adersteg Defensive Rebound.,23,37
2:46,-1,Shaquille Moore missed Three Point Jumper.,23,37
2:46,3084,Ben Nakwaasah Defensive Rebound.,23,37
2:38,3084,Ben Nakwaasah missed Layup.,23,37
2:38,3084,Zach Nelson Offensive Rebound.,23,37
2:35,3084,Zach Nelson made Layup.,23,39
2:10,-1,Gabriel Adersteg missed Layup.,23,39
2:10,3084,Brandon Randolph Defensive Rebound.,23,39
1:42,3084,Ben Nakwaasah missed Three Point Jumper.,23,39
1:42,-1,Lawrence Weatherall Defensive Rebound.,23,39
1:19,-1,Shaquille Moore missed Three Point Jumper.,23,39
1:19,3084,Zach Nelson Defensive Rebound.,23,39
1:19,-1,Foul on Gabriel Adersteg.,23,39
1:06,3084,Jake Toolson missed Jumper.,23,39
1:06,3084,Zach Nelson Offensive Rebound.,23,39
0:54,3084,Jake Toolson made Layup. Assisted by Brandon Randolph.,23,41
0:37,-1,Gabriel Adersteg missed Three Point Jumper.,23,41
0:37,3084,Brandon Randolph Defensive Rebound.,23,41
0:30,3084,Zach Nelson made Layup. Assisted by Brandon Randolph.,23,43
0:05,-1,Jordan Lopez missed Three Point Jumper.,23,43
0:05,3084,Jake Toolson Defensive Rebound.,23,43
0:00,3084,Conner Toolson made Layup. Assisted by Ben Nakwaasah.,23,45
0:00,3084,End of 1st half,23,45
19:46,-1,Jesse Henderson made Three Point Jumper. Assisted by Gabriel Adersteg.,26,45
19:32,-1,Foul on Jesse Henderson.,26,45
19:28,3084,Conner Toolson made Three Point Jumper. Assisted by Jake Toolson.,26,48
19:13,-1,Jordan Lopez missed Three Point Jumper.,26,48
19:13,3084,Utah Valley Defensive Rebound.,26,48
18:50,3084,Zach Nelson made Layup. Assisted by Brandon Randolph.,26,50
18:40,-1,Lawrence Weatherall made Layup. Assisted by Jordan Lopez.,28,50
18:27,3084,Conner Toolson missed Three Point Jumper.,28,50
18:27,3084,Conner Toolson Offensive Rebound.,28,50
18:23,3084,Conner Toolson made Layup.,28,52
18:09,-1,Jordan Lopez Turnover.,28,52
18:08,3084,Jake Toolson Steal.,28,52
18:05,3084,Jake Toolson made Dunk. Assisted by Conner Toolson.,28,54
17:51,-1,Michael Morrissey Turnover.,28,54
17:50,3084,Brandon Randolph Steal.,28,54
17:46,3084,Zach Nelson made Three Point Jumper. Assisted by Conner Toolson.,28,57
17:26,-1,Gabriel Adersteg Turnover.,28,57
17:08,3084,Conner Toolson made Layup. Assisted by Zach Nelson.,28,59
16:59,-1,Lawrence Weatherall Turnover.,28,59
16:54,3084,Jake Toolson made Layup.,28,61
16:38,-1,Jordan Lopez missed Three Point Jumper.,28,61
16:38,3084,Brandon Randolph Defensive Rebound.,28,61
16:33,3084,Jake Toolson made Layup. Assisted by Brandon Randolph.,28,63
16:01,-1,Lawrence Weatherall missed Three Point Jumper.,28,63
16:01,3084,Akolda Manyang Defensive Rebound.,28,63
15:55,3084,Conner Toolson made Three Point Jumper. Assisted by Zach Nelson.,28,66
15:36,3084,Foul on Brandon Randolph.,28,66
15:36,3084,Official TV Timeout,28,66
15:36,-1,Jordan Lopez made Free Throw.,29,66
15:36,-1,Jordan Lopez missed Free Throw.,29,66
15:36,3084,Isaac Neilson Defensive Rebound.,29,66
15:36,-1,Foul on Mario Winfrey.,29,66
15:21,3084,Isaac Neilson made Layup. Assisted by Conner Toolson.,29,68
14:58,-1,Lawrence Weatherall missed Three Point Jumper.,29,68
14:58,3084,Akolda Manyang Defensive Rebound.,29,68
14:49,3084,Brandon Randolph Turnover.,29,68
14:48,-1,Gabriel Adersteg Steal.,29,68
14:45,-1,Lawrence Weatherall Turnover.,29,68
14:44,3084,Conner Toolson Steal.,29,68
14:39,3084,Brandon Randolph missed Three Point Jumper.,29,68
14:38,-1,Mario Winfrey Defensive Rebound.,29,68
14:34,-1,Mario Winfrey Turnover.,29,68
14:32,3084,Brandon Randolph Steal.,29,68
14:28,3084,Jake Toolson missed Three Point Jumper.,29,68
14:26,3084,Akolda Manyang Offensive Rebound.,29,68
14:24,3084,Akolda Manyang made Layup.,29,70
14:10,-1,Jordan Lopez made Three Point Jumper.,32,70
13:50,3084,Akolda Manyang made Layup. Assisted by Brandon Randolph.,32,72
13:47,-1,Foul on Jordan Lopez.,32,72
13:32,3084,Akolda Manyang made Free Throw.,32,73
13:16,-1,Shaquille Moore Turnover.,32,73
13:11,-1,Foul on Lawrence Weatherall.,32,73
13:09,-1,Foul on Shawn Patrick Barca.,32,73
13:09,3084,Akolda Manyang made Free Throw.,32,74
13:09,3084,Akolda Manyang made Free Throw.,32,75
13:01,-1,Lawrence Weatherall Turnover.,32,75
13:00,3084,Jake Toolson Steal.,32,75
12:57,3084,Jake Toolson Turnover.,32,75
12:55,-1,Rayford Rigby Steal.,32,75
12:52,-1,Shaquille Moore missed Layup.,32,75
12:52,3084,Ben Nakwaasah Defensive Rebound.,32,75
12:47,3084,Jake Toolson made Layup. Assisted by Ben Nakwaasah.,32,77
12:19,-1,Rayford Rigby missed Jumper.,32,77
12:19,3084,Cory Calvert Defensive Rebound.,32,77
12:04,3084,Akolda Manyang Turnover.,32,77
11:41,-1,Shaquille Moore missed Jumper.,32,77
11:41,3084,Isaac Neilson Defensive Rebound.,32,77
11:35,3084,Ben Nakwaasah made Layup. Assisted by Isaac Neilson.,32,79
11:10,-1,Lawrence Weatherall Turnover.,32,79
11:10,3084,Official TV Timeout,32,79
10:54,3084,Isaac Neilson Turnover.,32,79
10:52,-1,Shawn Patrick Barca Steal.,32,79
10:33,3084,Foul on Mckay Johnson.,32,79
10:33,-1,Shawn Patrick Barca made Free Throw.,33,79
10:33,-1,Shawn Patrick Barca missed Free Throw.,33,79
10:33,3084,Isaac Neilson Defensive Rebound.,33,79
10:26,3084,Daniel Nyman made Three Point Jumper. Assisted by Mckay Johnson.,33,82
10:04,-1,Rayford Rigby missed Jumper.,33,82
10:04,3084,Daniel Nyman Defensive Rebound.,33,82
9:51,3084,Joonas Tahvanainen made Layup. Assisted by Isaac Neilson.,33,84
9:33,-1,Shaquille Moore missed Three Point Jumper.,33,84
9:33,3084,Mckay Johnson Defensive Rebound.,33,84
9:27,3084,Mckay Johnson Turnover.,33,84
9:08,-1,Rayford Rigby made Layup. Assisted by Michael Morrissey.,35,84
8:37,3084,Isaac Neilson made Three Point Jumper. Assisted by Cory Calvert.,35,87
8:17,-1,Jordan Lopez missed Three Point Jumper.,35,87
8:17,-1,Shawn Patrick Barca Offensive Rebound.,35,87
7:53,-1,Gabriel Adersteg missed Layup.,35,87
7:53,3084,Richard Harward Block.,35,87
7:50,-1,Bethesda University Offensive Rebound.,35,87
7:45,3084,Official TV Timeout,35,87
7:43,-1,Jordan Lopez Turnover.,35,87
7:37,3084,Cory Calvert missed Three Point Jumper.,35,87
7:37,-1,Bethesda University Defensive Rebound.,35,87
7:37,3084,Foul on Joonas Tahvanainen.,35,87
7:24,-1,Gabriel Adersteg missed Three Point Jumper.,35,87
7:24,3084,Cory Calvert Defensive Rebound.,35,87
7:17,3084,Daniel Nyman made Layup. Assisted by Cory Calvert.,35,89
7:06,-1,Jordan Lopez Turnover.,35,89
7:02,3084,Daniel Nyman Steal.,35,89
6:53,-1,Foul on Jordan Lopez.,35,89
6:41,3084,Daniel Nyman made Free Throw.,35,90
6:41,3084,Daniel Nyman made Free Throw.,35,91
6:24,3084,Foul on Joonas Tahvanainen.,35,91
6:23,3084,Foul on Joonas Tahvanainen.,35,91
6:18,-1,Jordan Lopez made Jumper. Assisted by Michael Morrissey.,37,91
6:10,3084,Mckay Johnson made Jumper. Assisted by Cory Calvert.,37,93
5:57,-1,Michael Morrissey Turnover.,37,93
5:42,3084,Richard Harward missed Layup.,37,93
5:42,3084,Richard Harward Offensive Rebound.,37,93
5:39,-1,Foul on Shawn Patrick Barca.,37,93
5:39,3084,Richard Harward missed Free Throw.,37,93
5:39,3084,Utah Valley Deadball Team Rebound.,37,93
5:39,3084,Richard Harward missed Free Throw.,37,93
5:39,-1,Shawn Patrick Barca Defensive Rebound.,37,93
5:26,-1,Jordan Lopez missed Layup.,37,93
5:26,3084,Richard Harward Block.,37,93
5:21,3084,Joonas Tahvanainen Defensive Rebound.,37,93
5:19,3084,Richard Harward made Dunk. Assisted by Joonas Tahvanainen.,37,95
4:58,-1,Jordan Lopez missed Three Point Jumper.,37,95
4:58,3084,Mckay Johnson Defensive Rebound.,37,95
4:43,3084,Daniel Nyman missed Three Point Jumper.,37,95
4:43,-1,Jordan Lopez Defensive Rebound.,37,95
4:19,-1,Gabriel Adersteg missed Jumper.,37,95
4:19,-1,Gabriel Adersteg Offensive Rebound.,37,95
4:15,-1,Gabriel Adersteg made Jumper.,39,95
4:05,3084,Mckay Johnson made Three Point Jumper. Assisted by Daniel Nyman.,39,98
3:52,-1,Shawn Patrick Barca made Jumper. Assisted by Rayford Rigby.,41,98
3:35,3084,Joonas Tahvanainen Turnover.,41,98
3:33,3084,Official TV Timeout,41,98
3:03,-1,Jordan Lopez missed Jumper.,41,98
3:03,3084,Richard Harward Defensive Rebound.,41,98
2:56,3084,Mckay Johnson missed Layup.,41,98
2:56,-1,Michael Morrissey Defensive Rebound.,41,98
2:48,-1,Shaquille Moore missed Three Point Jumper.,41,98
2:48,3084,Joonas Tahvanainen Defensive Rebound.,41,98
2:31,-1,Foul on Harold McGhee.,41,98
2:31,3084,Mckay Johnson missed Free Throw.,41,98
2:31,-1,Michael Morrissey Defensive Rebound.,41,98
2:25,-1,Jesse Henderson missed Jumper.,41,98
2:25,3084,Joonas Tahvanainen Block.,41,98
2:23,3084,Richard Harward Defensive Rebound.,41,98
2:20,3084,Mckay Johnson made Layup. Assisted by Cory Calvert.,41,100
2:11,-1,Michael Morrissey missed Three Point Jumper.,41,100
2:11,3084,Richard Harward Defensive Rebound.,41,100
1:56,3084,Cory Calvert made Layup.,41,102
1:40,-1,Jordan Lopez made Three Point Jumper. Assisted by Michael Morrissey.,44,102
1:18,3084,Cory Calvert missed Layup.,44,102
1:18,3084,Richard Harward Offensive Rebound.,44,102
1:15,3084,Richard Harward made Dunk.,44,104
1:14,-1,Bethesda University  Timeout,44,104
1:04,-1,Jordan Lopez missed Layup.,44,104
1:04,3084,Richard Harward Defensive Rebound.,44,104
0:39,3084,Joonas Tahvanainen missed Three Point Jumper.,44,104
0:39,3084,Mckay Johnson Offensive Rebound.,44,104
0:35,3084,Joonas Tahvanainen made Dunk. Assisted by Mckay Johnson.,44,106
0:25,-1,Shaquille Moore missed Three Point Jumper.,44,106
0:25,3084,Cory Calvert Defensive Rebound.,44,106
0:00,3084,End of Game,44,106
