St. Edward's,Error,Rice,242
13:40,242,Connor Cashaw Defensive Rebound.,11,17
13:30,242,Bishop Mency missed Three Point Jumper.,11,17
13:30,-1,St. Edwards Defensive Rebound.,11,17
13:09,-1,Dorian Lopez missed Jumper.,11,17
13:09,242,Tim Harrison Defensive Rebound.,11,17
12:57,242,Austin Meyer missed Jumper.,11,17
12:57,-1,Sean Watkins Defensive Rebound.,11,17
12:48,-1,Mark Paterson missed Jumper.,11,17
12:48,242,Miles Lester Defensive Rebound.,11,17
12:36,242,Foul on Malik Osborne.,11,17
12:36,242,Malik Osborne Turnover.,11,17
12:15,-1,Landon Goesling made Three Point Jumper. Assisted by Mark Paterson.,14,17
11:54,242,Official TV Timeout,14,17
11:45,242,Rice  Turnover.,14,17
11:35,-1,Mark Paterson made Jumper.,16,17
11:17,-1,Foul on Mark Paterson.,16,17
11:17,242,Austin Meyer made Free Throw.,16,18
11:17,242,Austin Meyer made Free Throw.,16,19
11:12,-1,Ryan Garza Turnover.,16,19
11:01,242,Connor Cashaw made Jumper.,16,21
10:46,-1,Dillon Young missed Three Point Jumper.,16,21
10:46,242,Malik Osborne Defensive Rebound.,16,21
10:37,242,Connor Cashaw made Three Point Jumper. Assisted by Ako Adams.,16,24
10:33,-1,St. Edwards  Timeout,16,24
10:12,-1,Lucas Doria Turnover.,16,24
9:57,-1,Foul on Ryan Garza.,16,24
9:49,242,Najja Hunter made Layup.,16,26
9:27,-1,Corey Shervill missed Three Point Jumper.,16,26
9:27,242,Connor Cashaw Defensive Rebound.,16,26
9:13,242,Connor Cashaw Turnover.,16,26
9:11,-1,Corey Shervill Steal.,16,26
9:08,-1,Mark Paterson missed Jumper.,16,26
9:08,242,Malik Osborne Defensive Rebound.,16,26
8:59,242,Connor Cashaw Turnover.,16,26
8:48,-1,Ryan Garza made Three Point Jumper. Assisted by Corey Shervill.,19,26
8:37,242,Connor Cashaw missed Jumper.,19,26
8:37,242,Najja Hunter Offensive Rebound.,19,26
8:32,242,Najja Hunter missed Layup.,19,26
8:32,242,Bishop Mency Offensive Rebound.,19,26
8:26,242,Bishop Mency made Dunk.,19,28
8:21,-1,Dillon Young missed Three Point Jumper.,19,28
8:21,242,Connor Cashaw Defensive Rebound.,19,28
8:14,242,Connor Cashaw made Layup. Assisted by Najja Hunter.,19,30
7:58,-1,Mark Paterson missed Jumper.,19,30
7:58,242,Najja Hunter Defensive Rebound.,19,30
7:37,242,Bishop Mency made Layup. Assisted by Austin Meyer.,19,32
7:24,-1,Ryan Garza missed Three Point Jumper.,19,32
7:24,242,Connor Cashaw Defensive Rebound.,19,32
7:12,242,Connor Cashaw missed Three Point Jumper.,19,32
7:12,-1,Corey Shervill Defensive Rebound.,19,32
7:03,-1,Dillon Young missed Three Point Jumper.,19,32
7:03,-1,Corey Shervill Offensive Rebound.,19,32
6:59,-1,Corey Shervill made Layup.,21,32
6:49,242,Rice  Timeout,21,32
6:36,242,Miles Lester missed Three Point Jumper.,21,32
6:36,242,Tim Harrison Offensive Rebound.,21,32
6:36,-1,Foul on Lucas Doria.,21,32
6:23,242,Ako Adams missed Three Point Jumper.,21,32
6:23,242,Tim Harrison Offensive Rebound.,21,32
6:18,242,Tim Harrison missed Layup.,21,32
6:18,242,Tim Harrison Offensive Rebound.,21,32
6:17,-1,Foul on Corey Shervill.,21,32
6:17,242,Tim Harrison made Free Throw.,21,33
6:17,242,Tim Harrison made Free Throw.,21,34
5:48,-1,Ryan Garza missed Three Point Jumper.,21,34
5:48,-1,Lucas Doria Offensive Rebound.,21,34
5:45,242,Foul on Ako Adams.,21,34
5:45,-1,Lucas Doria made Free Throw.,22,34
5:45,-1,Lucas Doria missed Free Throw.,22,34
5:45,242,Bishop Mency Defensive Rebound.,22,34
5:31,-1,Foul on Lucas Doria.,22,34
5:31,242,Malik Osborne made Free Throw.,22,35
5:31,242,Malik Osborne made Free Throw.,22,36
5:25,-1,Sean Phillips missed Three Point Jumper.,22,36
5:25,242,Najja Hunter Defensive Rebound.,22,36
5:15,242,Najja Hunter missed Layup.,22,36
5:15,-1,Sean Watkins Defensive Rebound.,22,36
5:07,-1,Matthew Paterson missed Jumper.,22,36
5:07,242,Najja Hunter Block.,22,36
5:05,-1,St. Edwards Offensive Rebound.,22,36
4:55,-1,James Taylor missed Layup.,22,36
4:55,-1,James Taylor Offensive Rebound.,22,36
4:52,-1,James Taylor missed Jumper.,22,36
4:52,242,Bishop Mency Defensive Rebound.,22,36
4:42,242,Najja Hunter made Layup.,22,38
4:22,-1,Dorian Lopez made Three Point Jumper. Assisted by Sean Watkins.,25,38
4:07,242,Malik Osborne missed Three Point Jumper.,25,38
4:07,-1,Dorian Lopez Defensive Rebound.,25,38
3:59,-1,Dorian Lopez missed Three Point Jumper.,25,38
3:59,242,Najja Hunter Defensive Rebound.,25,38
3:49,242,Connor Cashaw made Three Point Jumper. Assisted by Bishop Mency.,25,41
3:29,-1,James Taylor made Jumper.,27,41
3:11,242,Malik Osborne Turnover.,27,41
3:09,-1,Sean Watkins Steal.,27,41
3:06,-1,Dorian Lopez missed Jumper.,27,41
3:06,242,Najja Hunter Defensive Rebound.,27,41
2:52,242,Ako Adams missed Layup.,27,41
2:52,-1,Sean Phillips Defensive Rebound.,27,41
2:43,-1,Sean Watkins made Layup.,29,41
2:35,242,Najja Hunter missed Three Point Jumper.,29,41
2:35,-1,Matthew Paterson Defensive Rebound.,29,41
2:24,-1,Sean Phillips missed Three Point Jumper.,29,41
2:24,242,Connor Cashaw Defensive Rebound.,29,41
2:07,-1,Foul on James Taylor.,29,41
2:07,242,Official TV Timeout,29,41
2:07,242,Najja Hunter made Free Throw.,29,42
2:07,242,Najja Hunter made Free Throw.,29,43
1:55,-1,James Taylor made Jumper. Assisted by Sean Watkins.,31,43
1:45,242,Robert Martin Turnover.,31,43
1:35,-1,James Taylor made Jumper. Assisted by Dorian Lopez.,33,43
1:10,242,Connor Cashaw made Layup.,33,45
1:10,-1,Foul on Sean Watkins.,33,45
1:10,242,Connor Cashaw made Free Throw.,33,46
1:01,-1,James Taylor missed Jumper.,33,46
1:01,242,Robert Martin Defensive Rebound.,33,46
0:41,-1,Foul on James Taylor.,33,46
0:41,242,Austin Meyer made Free Throw.,33,47
0:41,242,Austin Meyer made Free Throw.,33,48
0:38,-1,Dorian Lopez made Three Point Jumper. Assisted by Sean Watkins.,36,48
0:08,242,Connor Cashaw missed Three Point Jumper.,36,48
0:08,242,Bishop Mency Offensive Rebound.,36,48
0:00,242,Bishop Mency made Layup.,36,50
0:00,242,End of 1st half,36,48
19:53,-1,Sean Phillips missed Three Point Jumper.,36,50
19:53,242,Ako Adams Defensive Rebound.,36,50
19:43,242,Miles Lester missed Layup.,36,50
19:43,-1,Dorian Lopez Defensive Rebound.,36,50
19:36,-1,Landon Goesling made Layup. Assisted by Sean Phillips.,38,50
19:11,242,Malik Osborne missed Jumper.,38,50
19:11,-1,Dorian Lopez Defensive Rebound.,38,50
18:58,-1,James Taylor Turnover.,38,50
18:56,242,Malik Osborne Steal.,38,50
18:43,242,Connor Cashaw Turnover.,38,50
18:41,-1,Sean Phillips Steal.,38,50
18:31,-1,James Taylor Turnover.,38,50
18:12,242,Bishop Mency made Three Point Jumper. Assisted by Connor Cashaw.,38,53
17:51,-1,James Taylor made Layup. Assisted by Dorian Lopez.,40,53
17:20,242,Miles Lester missed Jumper.,40,53
17:20,-1,James Taylor Defensive Rebound.,40,53
17:09,-1,Sean Phillips made Three Point Jumper. Assisted by Landon Goesling.,43,53
16:48,-1,Foul on James Taylor.,43,53
16:48,242,Malik Osborne made Free Throw.,43,54
16:48,242,Malik Osborne made Free Throw.,43,55
16:38,242,Foul on Miles Lester.,43,55
16:38,-1,Landon Goesling made Free Throw.,44,55
16:38,-1,Landon Goesling made Free Throw.,45,55
16:32,242,Connor Cashaw made Layup.,45,57
16:22,-1,Sean Phillips made Three Point Jumper. Assisted by Sean Watkins.,48,57
15:57,-1,Foul on Sean Watkins.,48,57
15:57,242,Official TV Timeout,48,57
15:57,242,Miles Lester missed Free Throw.,48,57
15:57,242,Rice Deadball Team Rebound.,48,57
15:57,242,Miles Lester made Free Throw.,48,58
15:46,-1,Dorian Lopez made Three Point Jumper. Assisted by Landon Goesling.,51,58
15:29,242,Tim Harrison made Jumper.,51,60
15:23,-1,Sean Watkins Turnover.,51,60
15:13,242,Miles Lester Turnover.,51,60
15:12,-1,Sean Watkins Steal.,51,60
14:59,-1,Landon Goesling missed Layup.,51,60
14:59,242,Tim Harrison Defensive Rebound.,51,60
14:54,242,Connor Cashaw missed Three Point Jumper.,51,60
14:54,242,Najja Hunter Offensive Rebound.,51,60
14:49,242,Najja Hunter made Layup.,51,62
14:30,-1,Dorian Lopez missed Three Point Jumper.,51,62
14:30,-1,Dorian Lopez Offensive Rebound.,51,62
14:26,-1,Dorian Lopez made Layup.,53,62
14:26,242,Foul on Bishop Mency.,53,62
14:26,-1,Dorian Lopez made Free Throw.,54,62
14:12,242,Robert Martin made Layup.,54,64
14:02,-1,Sean Watkins made Three Point Jumper. Assisted by Logan Cook.,57,64
13:52,242,Bishop Mency made Three Point Jumper. Assisted by Robert Martin.,57,67
13:33,-1,Dorian Lopez missed Jumper.,57,67
13:33,-1,Logan Cook Offensive Rebound.,57,67
13:28,-1,Landon Goesling missed Jumper.,57,67
13:28,242,Austin Meyer Defensive Rebound.,57,67
13:10,242,Ako Adams Turnover.,57,67
13:09,-1,Sean Watkins Steal.,57,67
13:06,-1,Landon Goesling made Layup. Assisted by Sean Watkins.,59,67
12:47,-1,Foul on Dorian Lopez.,59,67
12:47,242,Najja Hunter made Free Throw.,59,68
12:47,242,Najja Hunter missed Free Throw.,59,68
12:47,-1,Corey Shervill Defensive Rebound.,59,68
12:32,-1,Logan Cook made Layup. Assisted by Landon Goesling.,61,68
12:20,-1,Foul on Logan Cook.,61,68
12:20,242,Najja Hunter missed Free Throw.,61,68
12:20,242,Rice Deadball Team Rebound.,61,68
12:20,242,Najja Hunter missed Free Throw.,61,68
12:20,-1,Corey Shervill Defensive Rebound.,61,68
12:09,-1,Sean Phillips missed Three Point Jumper.,61,68
12:09,242,Najja Hunter Defensive Rebound.,61,68
12:03,242,Foul on Najja Hunter.,61,68
12:03,242,Najja Hunter Turnover.,61,68
11:55,-1,Landon Goesling missed Layup.,61,68
11:55,242,Connor Cashaw Defensive Rebound.,61,68
11:49,242,Connor Cashaw Turnover.,61,68
11:48,-1,Logan Cook Steal.,61,68
11:45,-1,Ryan Garza made Three Point Jumper. Assisted by Logan Cook.,64,68
11:40,242,Bishop Mency made Three Point Jumper. Assisted by Ako Adams.,64,71
11:14,-1,Landon Goesling missed Three Point Jumper.,64,71
11:14,242,Robert Martin Defensive Rebound.,64,71
11:03,242,Robert Martin made Layup.,64,73
10:48,-1,St. Edwards  Timeout,64,73
10:39,242,Official TV Timeout,64,73
10:35,-1,Corey Shervill Turnover.,64,73
10:35,242,Connor Cashaw Steal.,64,73
10:24,242,Bishop Mency missed Three Point Jumper.,64,73
10:24,-1,Mark Paterson Defensive Rebound.,64,73
9:54,-1,Mark Paterson missed Jumper.,64,73
9:54,-1,Corey Shervill Offensive Rebound.,64,73
9:52,242,Foul on Ako Adams.,64,73
9:49,-1,Ryan Garza missed Three Point Jumper.,64,73
9:49,242,Bishop Mency Defensive Rebound.,64,73
9:26,242,Malik Osborne made Dunk. Assisted by Connor Cashaw.,64,75
9:15,-1,Dillon Young made Three Point Jumper.,67,75
9:01,-1,Foul on Dillon Young.,67,75
9:01,242,Malik Osborne made Free Throw.,67,76
9:01,242,Malik Osborne made Free Throw.,67,77
8:53,-1,Corey Shervill Turnover.,67,77
8:42,242,Connor Cashaw missed Jumper.,67,77
8:42,-1,Corey Shervill Defensive Rebound.,67,77
8:32,-1,Mark Paterson made Jumper. Assisted by Ryan Garza.,69,77
8:05,-1,Foul on Ryan Garza.,69,77
8:05,242,Ako Adams made Free Throw.,69,78
8:05,242,Ako Adams made Free Throw.,69,79
7:44,-1,Corey Shervill Turnover.,69,79
7:44,242,Official TV Timeout,69,79
7:40,242,Malik Osborne Turnover.,69,79
7:39,-1,Matthew Paterson Steal.,69,79
7:37,-1,Corey Shervill made Layup. Assisted by Matthew Paterson.,71,79
7:29,-1,Foul on Lucas Doria.,71,79
7:29,242,Malik Osborne made Free Throw.,71,80
7:29,242,Malik Osborne missed Free Throw.,71,80
7:29,-1,Lucas Doria Defensive Rebound.,71,80
7:11,-1,Ryan Garza missed Three Point Jumper.,71,80
7:11,-1,Corey Shervill Offensive Rebound.,71,80
7:04,-1,Lucas Doria made Layup. Assisted by Dillon Young.,73,80
7:04,242,Foul on Malik Osborne.,73,80
7:04,-1,Lucas Doria made Free Throw.,74,80
6:44,242,Austin Meyer Turnover.,74,80
6:34,-1,Lucas Doria made Layup.,76,80
6:13,242,Ako Adams Turnover.,76,80
6:13,-1,Ryan Garza Steal.,76,80
6:13,242,Foul on Miles Lester.,76,80
6:04,-1,Corey Shervill made Three Point Jumper. Assisted by Matthew Paterson.,79,80
5:43,-1,Foul on Ryan Garza.,79,80
5:43,242,Miles Lester made Free Throw.,79,81
5:43,242,Miles Lester missed Free Throw.,79,81
5:43,-1,Corey Shervill Defensive Rebound.,79,81
5:17,-1,Lucas Doria missed Jumper.,79,81
5:17,242,Austin Meyer Block.,79,81
5:13,242,Austin Meyer Defensive Rebound.,79,81
5:12,242,Ako Adams made Layup.,79,83
5:12,-1,Foul on Ryan Garza.,79,83
5:12,242,Ako Adams missed Free Throw.,79,83
5:12,-1,Corey Shervill Defensive Rebound.,79,83
5:05,-1,St. Edwards  Timeout,79,83
4:53,-1,Corey Shervill missed Jumper.,79,83
4:53,-1,Ryan Garza Offensive Rebound.,79,83
4:47,-1,Dillon Young missed Jumper.,79,83
4:47,242,Bishop Mency Defensive Rebound.,79,83
4:31,-1,Foul on Lucas Doria.,79,83
4:31,242,Robert Martin made Free Throw.,79,84
4:31,242,Robert Martin made Free Throw.,79,85
4:04,-1,Dillon Young missed Three Point Jumper.,79,85
4:04,-1,Matthew Paterson Offensive Rebound.,79,85
4:02,242,Foul on Robert Martin.,79,85
4:02,-1,Matthew Paterson missed Free Throw.,79,85
4:02,242,Connor Cashaw Defensive Rebound.,79,85
3:48,242,Connor Cashaw missed Three Point Jumper.,79,85
3:48,-1,Corey Shervill Defensive Rebound.,79,85
3:42,-1,Corey Shervill Turnover.,79,85
3:40,242,Connor Cashaw Steal.,79,85
3:32,242,Connor Cashaw made Jumper.,79,87
3:23,-1,Corey Shervill made Three Point Jumper. Assisted by Lucas Doria.,82,87
2:57,242,Rice  Timeout,82,87
2:44,242,Ako Adams missed Three Point Jumper.,82,87
2:44,-1,Lucas Doria Defensive Rebound.,82,87
2:26,-1,St. Edwards  Timeout,82,87
2:17,-1,Corey Shervill Turnover.,82,87
2:16,242,Robert Martin Steal.,82,87
2:04,242,Tim Harrison missed Three Point Jumper.,82,87
2:04,-1,Corey Shervill Defensive Rebound.,82,87
1:46,242,Foul on Robert Martin.,82,87
1:46,-1,Corey Shervill missed Free Throw.,82,87
1:46,242,Malik Osborne Defensive Rebound.,82,87
1:33,242,Bishop Mency made Three Point Jumper. Assisted by Connor Cashaw.,82,90
1:17,-1,Ryan Garza made Jumper.,84,90
1:01,242,Connor Cashaw missed Layup.,84,90
1:01,-1,Lucas Doria Block.,84,90
0:59,-1,Ryan Garza Defensive Rebound.,84,90
0:55,-1,Mark Paterson missed Three Point Jumper.,84,90
0:55,-1,Matthew Paterson Offensive Rebound.,84,90
0:49,-1,Matthew Paterson made Layup.,86,90
0:36,242,Rice  Timeout,86,90
0:24,242,Bishop Mency missed Three Point Jumper.,86,90
0:24,-1,Corey Shervill Defensive Rebound.,86,90
0:08,-1,Mark Paterson missed Three Point Jumper.,86,90
0:08,242,Miles Lester Defensive Rebound.,86,90
0:06,-1,Foul on Lucas Doria.,86,90
0:06,242,Miles Lester missed Free Throw.,86,90
0:06,242,Rice Deadball Team Rebound.,86,90
0:06,242,Official TV Timeout,86,90
0:06,242,Miles Lester made Free Throw.,86,91
0:00,-1,Ryan Garza missed Jumper.,86,91
0:00,-1,Logan Cook Offensive Rebound.,86,91
0:00,242,End of Game,86,91
