Bethune-Cookman,58,South Florida,2065
8:53,58,Stephan Jiggetts made Three Point Jumper. Assisted by Terrence Samuel.,51,68
8:42,58,Foul on Payton Banks.,51,68
8:42,58,Foul on Terrence Samuel.,51,68
8:38,2065,Shawntrez Davis missed Layup.,51,68
8:38,58,Payton Banks Defensive Rebound.,51,68
8:31,58,Stephan Jiggetts missed Three Point Jumper.,51,68
8:31,58,Payton Banks Offensive Rebound.,51,68
8:25,2065,Foul on Ulmer Manzie.,51,68
8:25,58,Isaiah Manderson missed Free Throw.,51,68
8:25,58,South Florida Deadball Team Rebound.,51,68
8:25,58,Isaiah Manderson made Free Throw.,51,69
8:13,2065,Malik Maitland missed Jumper.,51,69
8:13,58,Terrence Samuel Defensive Rebound.,51,69
8:04,2065,Foul on Ulmer Manzie.,51,69
8:04,58,Terrence Samuel made Free Throw.,51,70
8:04,58,Terrence Samuel made Free Throw.,51,71
7:49,2065,Soufiyane Diakite missed Layup.,51,71
7:49,58,Stephan Jiggetts Defensive Rebound.,51,71
7:40,58,Stephan Jiggetts Turnover.,51,71
7:38,2065,Malik Maitland Steal.,51,71
7:33,2065,Malik Maitland missed Jumper.,51,71
7:33,58,Terrence Samuel Defensive Rebound.,51,71
7:19,2065,Foul on Houston Smith.,51,71
7:19,58,Official TV Timeout,51,71
7:19,58,Malik Martin missed Free Throw.,51,71
7:19,58,South Florida Deadball Team Rebound.,51,71
7:19,58,Malik Martin missed Free Throw.,51,71
7:19,2065,Soufiyane Diakite Defensive Rebound.,51,71
7:02,2065,Isaiah Bailey Turnover.,51,71
6:49,58,Payton Banks made Jumper. Assisted by Terrence Samuel.,51,73
6:30,2065,David Francis made Three Point Jumper. Assisted by Malik Maitland.,54,73
6:11,58,Stephan Jiggetts Turnover.,54,73
6:10,2065,Houston Smith Steal.,54,73
6:07,2065,Foul on David Francis.,54,73
6:07,2065,David Francis Turnover.,54,73
5:49,58,Justin Brown missed Jumper.,54,73
5:49,2065,Soufiyane Diakite Defensive Rebound.,54,73
5:35,2065,Houston Smith made Layup.,56,73
5:18,2065,Foul on Jamal Gaines.,56,73
5:18,58,Stephan Jiggetts made Free Throw.,56,74
5:18,58,Stephan Jiggetts made Free Throw.,56,75
5:06,2065,Soufiyane Diakite made Layup.,58,75
5:06,58,Foul on Tulio Da Silva.,58,75
5:06,2065,Soufiyane Diakite missed Free Throw.,58,75
5:06,58,Payton Banks Defensive Rebound.,58,75
4:56,2065,Foul on Isaiah Bailey.,58,75
4:56,58,Stephan Jiggetts made Free Throw.,58,76
4:56,58,Stephan Jiggetts made Free Throw.,58,77
4:47,2065,Isaiah Bailey made Layup.,60,77
4:29,58,Justin Brown missed Layup.,60,77
4:29,2065,David Francis Block.,60,77
4:27,58,Malik Martin Offensive Rebound.,60,77
4:25,58,Malik Martin made Layup.,60,79
4:16,2065,Houston Smith missed Three Point Jumper.,60,79
4:16,58,Stephan Jiggetts Defensive Rebound.,60,79
3:48,58,Tulio Da Silva missed Jumper.,60,79
3:48,2065,Soufiyane Diakite Block.,60,79
3:45,2065,Soufiyane Diakite Defensive Rebound.,60,79
3:39,2065,David Francis made Layup.,62,79
3:05,58,Malik Martin Turnover.,62,79
3:04,2065,Soufiyane Diakite Steal.,62,79
3:02,2065,Isaiah Bailey missed Three Point Jumper.,62,79
3:02,2065,Soufiyane Diakite Offensive Rebound.,62,79
2:58,58,Foul on Malik Martin.,62,79
2:58,58,Official TV Timeout,62,79
2:58,2065,Soufiyane Diakite missed Free Throw.,62,79
2:58,2065,Bethune-Cookman Deadball Team Rebound.,62,79
2:58,2065,Soufiyane Diakite made Free Throw.,63,79
2:33,58,Payton Banks missed Three Point Jumper.,63,79
2:33,2065,Soufiyane Diakite Defensive Rebound.,63,79
2:20,2065,Jamal Gaines Turnover.,63,79
2:00,58,Terrence Samuel made Jumper.,63,81
1:37,2065,Jamal Gaines missed Jumper.,63,81
1:37,2065,David Francis Offensive Rebound.,63,81
1:32,2065,Jamal Gaines missed Layup.,63,81
1:32,2065,Bethune-Cookman Offensive Rebound.,63,81
1:30,2065,Soufiyane Diakite Turnover.,63,81
1:28,58,Payton Banks Steal.,63,81
1:27,58,Terrence Samuel made Layup. Assisted by Payton Banks.,63,83
1:24,58,South Florida  Timeout,63,83
1:09,2065,Rodney Ross missed Jumper.,63,83
1:09,2065,David Francis Offensive Rebound.,63,83
1:05,2065,David Francis missed Layup.,63,83
1:05,58,Yito Alvarado Defensive Rebound.,63,83
0:42,58,Isaiah Manderson missed Jumper.,63,83
0:42,58,South Florida Offensive Rebound.,63,83
0:29,58,Isaiah Manderson missed Layup.,63,83
0:29,58,Yito Alvarado Offensive Rebound.,63,83
0:14,58,Technical Foul on South Florida.,63,83
0:00,58,End of Game,63,83
