Central Arkansas,130,Michigan,2110
16:28,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,26,61
16:26,130,Moritz Wagner Offensive Rebound.,26,61
16:25,130,Moritz Wagner made Jumper.,26,63
16:19,2110,Derreck Brooks missed Three Point Jumper.,26,63
16:16,130,Moritz Wagner Defensive Rebound.,26,63
16:16,2110,Foul on Albert Christensson.,26,63
16:00,130,Derrick Walton Jr. made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,26,66
15:40,130,Foul on Muhammad-Ali Abdur-Rahkman.,26,66
15:40,130,Official TV Timeout,26,66
15:30,2110,Jordan Howard made Three Point Jumper. Assisted by Albert Christensson.,29,66
15:00,130,Mark Donnal missed Jumper.,29,66
14:57,2110,Derreck Brooks Defensive Rebound.,29,66
14:44,2110,Jeff Lowery made Jumper.,31,66
14:15,130,Duncan Robinson made Three Point Jumper. Assisted by Zak Irvin.,31,69
13:51,2110,Mathieu Kamba missed Jumper.,31,69
13:49,130,Mark Donnal Defensive Rebound.,31,69
13:35,130,Duncan Robinson made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,31,72
13:23,2110,Jeff Lowery made Jumper.,33,72
12:53,130,Duncan Robinson missed Three Point Jumper.,33,72
12:48,2110,Derreck Brooks Defensive Rebound.,33,72
12:43,2110,Derreck Brooks missed Three Point Jumper.,33,72
12:39,130,Mark Donnal Defensive Rebound.,33,72
12:34,130,Derrick Walton Jr. Turnover.,33,72
12:05,2110,Ethan Lee missed Jumper.,33,72
12:05,130,D.J. Wilson Block.,33,72
12:01,130,Zak Irvin Defensive Rebound.,33,72
11:59,130,Duncan Robinson missed Three Point Jumper.,33,72
11:56,130,D.J. Wilson Offensive Rebound.,33,72
11:56,130,Official TV Timeout,33,72
11:56,2110,Foul on Otas Iyekekpolor.,33,72
11:56,130,D.J. Wilson made Free Throw.,33,73
11:56,130,D.J. Wilson made Free Throw.,33,74
11:38,2110,Ethan Lee made Jumper.,35,74
11:14,130,Zak Irvin made Three Point Jumper. Assisted by Duncan Robinson.,35,77
10:55,2110,Derreck Brooks made Jumper.,37,77
10:41,130,D.J. Wilson missed Three Point Jumper.,37,77
10:38,2110,Otas Iyekekpolor Defensive Rebound.,37,77
10:25,2110,C. Arkansas  Timeout,37,77
10:13,130,Foul on Duncan Robinson.,37,77
10:13,2110,Otas Iyekekpolor missed Free Throw.,37,77
10:13,2110,C. Arkansas Deadball Team Rebound.,37,77
10:13,2110,Otas Iyekekpolor made Free Throw.,38,77
9:40,130,Zak Irvin made Three Point Jumper. Assisted by Duncan Robinson.,38,80
9:32,2110,Darraja Parnell made Jumper.,40,80
9:14,130,Mark Donnal missed Three Point Jumper.,40,80
9:10,2110,Derreck Brooks Defensive Rebound.,40,80
8:52,2110,Jeff Lowery Turnover.,40,80
8:52,130,Mark Donnal Steal.,40,80
8:38,130,Xavier Simpson missed Three Point Jumper.,40,80
8:32,2110,Otas Iyekekpolor Defensive Rebound.,40,80
8:25,2110,Aaron Weidenaar missed Three Point Jumper.,40,80
8:22,130,Mark Donnal Defensive Rebound.,40,80
8:12,130,Duncan Robinson missed Three Point Jumper.,40,80
8:09,2110,Aaron Weidenaar Defensive Rebound.,40,80
7:51,2110,Otas Iyekekpolor missed Jumper.,40,80
7:48,130,Mark Donnal Defensive Rebound.,40,80
7:28,130,Duncan Robinson Turnover.,40,80
7:18,2110,Derreck Brooks Turnover.,40,80
7:14,130,D.J. Wilson made Three Point Jumper. Assisted by Xavier Simpson.,40,83
7:13,130,Michigan  Timeout,40,83
6:53,130,Foul on Jon Teske.,40,83
6:53,2110,C. Arkansas Deadball Team Rebound.,40,83
6:53,2110,Mathieu Kamba missed Free Throw.,40,83
6:53,2110,Mathieu Kamba made Free Throw.,41,83
6:28,130,Sean Lonergan missed Three Point Jumper.,41,83
6:25,2110,Jordan Howard Defensive Rebound.,41,83
6:20,2110,Jordan Howard made Layup.,43,83
5:58,130,Duncan Robinson missed Three Point Jumper.,43,83
5:55,2110,Mathieu Kamba Defensive Rebound.,43,83
5:45,130,Foul on Sean Lonergan.,43,83
5:41,2110,Jordan Howard missed Jumper.,43,83
5:39,130,Sean Lonergan Defensive Rebound.,43,83
5:33,2110,Foul on Aaron Weidenaar.,43,83
5:33,130,Michigan Deadball Team Rebound.,43,83
5:33,130,Jon Teske missed Free Throw.,43,83
5:33,130,Jon Teske missed Free Throw.,43,83
5:30,2110,Tanner Schmit Defensive Rebound.,43,83
5:24,2110,Mathieu Kamba Turnover.,43,83
5:02,130,Brent Hibbitts Turnover.,43,83
4:46,2110,Tanner Schmit made Jumper.,45,83
4:30,130,Jon Teske missed Jumper.,45,83
4:25,2110,Derreck Brooks Defensive Rebound.,45,83
4:16,2110,Darraja Parnell missed Jumper.,45,83
4:14,130,Ibi Watson Defensive Rebound.,45,83
4:14,2110,Foul on Darraja Parnell.,45,83
3:58,130,Ibi Watson made Three Point Jumper. Assisted by Brent Hibbitts.,45,86
3:44,2110,Darraja Parnell missed Jumper.,45,86
3:42,130,Ibi Watson Defensive Rebound.,45,86
3:38,130,Sean Lonergan missed Three Point Jumper.,45,86
3:34,2110,Darraja Parnell Defensive Rebound.,45,86
3:28,2110,Aaron Weidenaar made Three Point Jumper. Assisted by Darraja Parnell.,48,86
3:15,130,Brent Hibbitts made Three Point Jumper. Assisted by Sean Lonergan.,48,89
3:00,2110,Derreck Brooks missed Three Point Jumper.,48,89
2:57,130,Xavier Simpson Defensive Rebound.,48,89
2:53,130,Sean Lonergan made Layup. Assisted by Xavier Simpson.,48,91
2:53,130,Michigan  Timeout,48,91
2:41,2110,Thatch Unruh missed Jumper.,48,91
2:39,130,Fred Wright-Jones Defensive Rebound.,48,91
2:25,130,Fred Wright-Jones missed Jumper.,48,91
2:21,130,Brent Hibbitts Offensive Rebound.,48,91
2:12,130,Ibi Watson missed Three Point Jumper.,48,91
2:08,2110,Aaron Weidenaar Defensive Rebound.,48,91
2:04,2110,Aaron Weidenaar made Three Point Jumper. Assisted by Jordan Howard.,51,91
1:45,130,Xavier Simpson missed Jumper.,51,91
1:44,130,Xavier Simpson Offensive Rebound.,51,91
1:44,2110,Foul on Thatch Unruh.,51,91
1:44,130,Xavier Simpson made Free Throw.,51,92
1:44,130,Xavier Simpson made Free Throw.,51,93
1:34,2110,Ethan Lee made Layup. Assisted by Aaron Weidenaar.,53,93
1:09,130,Jon Teske made Jumper.,53,95
0:44,2110,Thatch Unruh Turnover.,53,95
0:44,130,Xavier Simpson Steal.,53,95
0:43,2110,Foul on Thatch Unruh.,53,95
0:43,130,Xavier Simpson made Free Throw.,53,96
0:43,130,Xavier Simpson made Free Throw.,53,97
0:24,2110,Aaron Weidenaar Turnover.,53,97
0:00,130,End of Game,53,97
