Valley City State,Error,North Dakota State,2449
18:22,-1,Justyn Galloway missed Layup.,29,48
18:22,2449,Tyson Ward Defensive Rebound.,29,48
18:10,2449,Spencer Eliason made Layup.,29,50
17:58,2449,Foul on Tyson Ward.,29,50
17:54,-1,Rashad Satahoo made Three Point Jumper. Assisted by Justyn Galloway.,32,50
17:36,2449,Paul Miller made Layup.,32,52
17:23,2449,Foul on A.J. Jacobson.,32,52
17:18,2449,Foul on Paul Miller.,32,52
17:07,-1,Jayden Ferguson made Jumper.,34,52
16:49,2449,Tyson Ward made Dunk.,34,54
16:28,-1,Austin Dunbar made Layup.,36,54
16:16,2449,Spencer Eliason missed Jumper.,36,54
16:16,-1,Austin Dunbar Defensive Rebound.,36,54
16:03,-1,Austin Dunbar missed Jumper.,36,54
16:03,2449,Paul Miller Defensive Rebound.,36,54
15:51,2449,Paul Miller made Layup.,36,56
15:27,-1,Jayden Ferguson missed Layup.,36,56
15:27,2449,Chris Quayle Defensive Rebound.,36,56
15:13,2449,Foul on Chris Quayle.,36,56
15:13,2449,Chris Quayle Turnover.,36,56
15:13,2449,Official TV Timeout,36,56
15:00,-1,Jouvon Edison Turnover.,36,56
14:49,2449,Chris Quayle made Three Point Jumper. Assisted by Deng Geu.,36,59
14:26,-1,Alex Quist Turnover.,36,59
14:04,-1,Foul on Jake Skelly.,36,59
13:54,2449,Deng Geu made Layup.,36,61
13:54,-1,Foul on Jouvon Edison.,36,61
13:54,2449,Deng Geu made Free Throw.,36,62
13:29,2449,Foul on Deng Geu.,36,62
13:29,-1,Jayden Ferguson made Free Throw.,37,62
13:29,-1,Jayden Ferguson made Free Throw.,38,62
13:24,-1,Foul on Jouvon Edison.,38,62
13:24,2449,Rocky Kreuser missed Free Throw.,38,62
13:24,2449,North Dakota State Deadball Team Rebound.,38,62
13:24,2449,Rocky Kreuser made Free Throw.,38,63
13:15,-1,Hunter McCalla missed Three Point Jumper.,38,63
13:15,2449,Rocky Kreuser Defensive Rebound.,38,63
12:57,2449,Foul on Deng Geu.,38,63
12:57,2449,Deng Geu Turnover.,38,63
12:46,-1,Jouvon Edison Turnover.,38,63
12:37,2449,Cameron Hunter missed Three Point Jumper.,38,63
12:37,-1,Logan Nelson Defensive Rebound.,38,63
12:19,2449,Foul on Deng Geu.,38,63
12:19,-1,Jayden Ferguson made Free Throw.,39,63
12:19,-1,Jayden Ferguson made Free Throw.,40,63
11:54,2449,Chris Quayle made Jumper.,40,65
11:33,-1,Jayden Ferguson missed Layup.,40,65
11:33,2449,Cameron Hunter Defensive Rebound.,40,65
11:27,2449,Chris Quayle missed Three Point Jumper.,40,65
11:27,2449,Rocky Kreuser Offensive Rebound.,40,65
11:24,2449,Rocky Kreuser made Jumper.,40,67
11:24,-1,Foul on Jayden Ferguson.,40,67
11:24,2449,Official TV Timeout,40,67
11:24,2449,Rocky Kreuser made Free Throw.,40,68
11:23,2449,Official TV Timeout,40,67
10:58,-1,Austin Dunbar made Layup.,42,68
10:48,2449,Jared Samuelson made Three Point Jumper. Assisted by Paul Miller.,42,71
10:17,-1,Jake Skelly Turnover.,42,71
10:03,2449,A.J. Jacobson made Three Point Jumper. Assisted by Tyson Ward.,42,74
9:34,-1,Hunter McCalla missed Layup.,42,74
9:34,2449,Tyson Ward Block.,42,74
9:32,2449,Tyson Ward Defensive Rebound.,42,74
9:28,2449,A.J. Jacobson made Layup. Assisted by Tyson Ward.,42,76
9:10,-1,Justyn Galloway missed Layup.,42,76
9:10,2449,A.J. Jacobson Defensive Rebound.,42,76
9:02,2449,Jared Samuelson made Three Point Jumper. Assisted by Dylan Miller.,42,79
8:58,-1,Valley City  Timeout,42,79
8:58,2449,Official TV Timeout,42,79
8:41,-1,Hunter McCalla missed Three Point Jumper.,42,79
8:41,-1,Jouvon Edison Offensive Rebound.,42,79
8:39,2449,Foul on Dylan Miller.,42,79
8:39,-1,Jouvon Edison made Free Throw.,43,79
8:39,-1,Jouvon Edison made Free Throw.,44,79
8:22,2449,Paul Miller made Jumper.,44,81
8:11,-1,Rashad Satahoo missed Three Point Jumper.,44,81
8:11,2449,Tyson Ward Defensive Rebound.,44,81
8:01,2449,Spencer Eliason made Layup.,44,83
7:47,-1,Jouvon Edison made Layup. Assisted by Justyn Galloway.,46,83
7:18,2449,Paul Miller Turnover.,46,83
7:18,2449,Official TV Timeout,46,83
7:08,-1,Jayden Ferguson made Jumper. Assisted by Jake Skelly.,48,83
6:49,2449,Rocky Kreuser made Three Point Jumper. Assisted by Chris Quayle.,48,86
6:35,2449,Foul on Spencer Eliason.,48,86
6:35,-1,Jouvon Edison made Free Throw.,49,86
6:35,-1,Jouvon Edison missed Free Throw.,49,86
6:35,2449,Deng Geu Defensive Rebound.,49,86
6:23,2449,Rocky Kreuser missed Three Point Jumper.,49,86
6:23,-1,Denzel Kennedy Defensive Rebound.,49,86
6:11,-1,Jouvon Edison missed Jumper.,49,86
6:11,2449,Nnamdi Van Dulm Defensive Rebound.,49,86
6:04,2449,Deng Geu made Layup. Assisted by Cameron Hunter.,49,88
5:41,-1,Jake Skelly missed Three Point Jumper.,49,88
5:41,2449,Deng Geu Defensive Rebound.,49,88
5:38,-1,Foul on Jouvon Edison.,49,88
5:22,2449,Foul on Cameron Hunter.,49,88
5:22,2449,Cameron Hunter Turnover.,49,88
5:04,-1,Jake Skelly missed Layup.,49,88
5:04,2449,Chris Quayle Defensive Rebound.,49,88
4:58,2449,Cameron Hunter Turnover.,49,88
4:56,-1,Justyn Galloway Steal.,49,88
4:54,2449,Foul on Chris Quayle.,49,88
4:54,-1,Jake Skelly missed Free Throw.,49,88
4:54,-1,Valley City Deadball Team Rebound.,49,88
4:54,-1,Jake Skelly made Free Throw.,50,88
4:39,-1,Foul on Denzel Kennedy.,50,88
4:39,2449,Deng Geu missed Free Throw.,50,88
4:39,2449,North Dakota State Deadball Team Rebound.,50,88
4:39,2449,Deng Geu made Free Throw.,50,89
4:30,-1,Jayden Ferguson made Layup.,52,89
4:13,2449,Deng Geu made Layup. Assisted by Nnamdi Van Dulm.,52,91
4:04,-1,Jayden Ferguson missed Three Point Jumper.,52,91
4:04,2449,Cameron Hunter Defensive Rebound.,52,91
3:56,2449,Rocky Kreuser made Layup. Assisted by Cameron Hunter.,52,93
3:39,-1,Austin Dunbar made Layup.,54,93
3:23,2449,Chris Quayle missed Jumper.,54,93
3:23,-1,Denzel Kennedy Defensive Rebound.,54,93
3:05,-1,Jayden Ferguson missed Layup.,54,93
3:05,-1,Denzel Kennedy Offensive Rebound.,54,93
3:02,-1,Denzel Kennedy made Two Point Tip Shot.,56,93
2:42,2449,Deng Geu made Jumper.,56,95
2:24,-1,Austin Dunbar missed Layup.,56,95
2:24,2449,Rocky Kreuser Block.,56,95
2:21,-1,Austin Dunbar Offensive Rebound.,56,95
2:20,-1,Austin Dunbar made Jumper.,58,95
1:58,-1,Foul on Austin Dunbar.,58,95
1:58,2449,Official TV Timeout,58,95
1:58,2449,Rocky Kreuser made Free Throw.,58,96
1:58,2449,Rocky Kreuser made Free Throw.,58,97
1:41,-1,Alex Quist missed Three Point Jumper.,58,97
1:41,2449,Nnamdi Van Dulm Defensive Rebound.,58,97
1:31,2449,Nnamdi Van Dulm made Layup.,58,99
1:11,-1,Jayden Ferguson missed Layup.,58,99
1:11,2449,Nnamdi Van Dulm Defensive Rebound.,58,99
0:57,2449,Deng Geu made Dunk. Assisted by Cameron Hunter.,58,101
0:45,-1,Rashad Satahoo missed Jumper.,58,101
0:45,2449,Deng Geu Defensive Rebound.,58,101
0:25,2449,Chris Quayle missed Three Point Jumper.,58,101
0:25,-1,Austin Dunbar Defensive Rebound.,58,101
0:11,-1,Rashad Satahoo missed Three Point Jumper.,58,101
0:11,-1,Valley City Offensive Rebound.,58,101
0:07,-1,Alex Quist missed Three Point Jumper.,58,101
0:07,2449,Chris Quayle Defensive Rebound.,58,101
0:00,2449,End of Game,58,101
