Green Bay,282,Indiana State,2739
11:54,282,Official TV Timeout,40,52
11:37,2739,PJ Pipes missed Three Point Jumper.,40,52
11:37,282,Emondre Rickman Defensive Rebound.,40,52
11:27,282,Jordan Barnes made Jumper.,40,54
11:15,2739,Will Chevalier made Jumper. Assisted by Hunter Crist.,42,54
10:52,282,Emondre Rickman made Jumper. Assisted by Clayton Hughes.,42,56
10:42,282,Foul on Clayton Hughes.,42,56
10:36,2739,Will Chevalier missed Jumper.,42,56
10:36,282,Tyreke Key Defensive Rebound.,42,56
10:30,282,Jordan Barnes made Three Point Jumper.,42,59
10:21,2739,PJ Pipes missed Layup.,42,59
10:21,282,Emondre Rickman Block.,42,59
10:20,282,Emondre Rickman Defensive Rebound.,42,59
10:14,282,Clayton Hughes made Layup. Assisted by Jordan Barnes.,42,61
10:11,2739,Green Bay  Timeout,42,61
10:04,282,Foul on Emondre Rickman.,42,61
10:04,2739,Manny Patterson made Free Throw.,43,61
10:04,2739,Manny Patterson missed Free Throw.,43,61
10:04,282,Emondre Rickman Defensive Rebound.,43,61
9:51,282,Tyreke Key missed Three Point Jumper.,43,61
9:51,2739,David Jesperson Defensive Rebound.,43,61
9:33,2739,Khalil Small Turnover.,43,61
9:33,282,Clayton Hughes Steal.,43,61
9:23,282,Jordan Barnes made Three Point Jumper.,43,64
9:04,2739,Kameron Hankerson made Three Point Jumper. Assisted by Khalil Small.,46,64
8:55,2739,Foul on Kameron Hankerson.,46,64
8:55,282,Jordan Barnes made Free Throw.,46,65
8:55,282,Jordan Barnes made Free Throw.,46,66
8:47,2739,Kameron Hankerson made Layup.,48,66
8:23,282,Brenton Scott missed Jumper.,48,66
8:23,2739,Tyrone Powell Defensive Rebound.,48,66
8:11,2739,Sukhjot Bains Turnover.,48,66
8:03,282,Qiydar Davis missed Jumper.,48,66
8:03,2739,Kameron Hankerson Defensive Rebound.,48,66
7:55,2739,Manny Patterson made Layup. Assisted by Kameron Hankerson.,50,66
7:32,282,Brenton Scott made Jumper.,50,68
7:14,2739,Tyrone Powell Turnover.,50,68
7:13,282,Official TV Timeout,50,68
7:03,282,Jordan Barnes made Three Point Jumper. Assisted by Brenton Scott.,50,71
6:50,2739,Sukhjot Bains missed Layup.,50,71
6:50,2739,Tyrone Powell Offensive Rebound.,50,71
6:46,2739,Khalil Small missed Three Point Jumper.,50,71
6:46,282,Emondre Rickman Defensive Rebound.,50,71
6:36,282,Jordan Barnes made Three Point Jumper.,50,74
6:21,2739,Kameron Hankerson missed Three Point Jumper.,50,74
6:21,282,Brenton Scott Defensive Rebound.,50,74
6:07,2739,Foul on Tyrone Powell.,50,74
6:07,282,Brenton Scott missed Free Throw.,50,74
6:07,2739,Khalil Small Defensive Rebound.,50,74
5:55,2739,Khalil Small made Three Point Jumper. Assisted by Sukhjot Bains.,53,74
5:32,282,Demonte Ojinnaka made Layup.,53,76
5:22,2739,Kameron Hankerson missed Jumper.,53,76
5:18,282,Indiana State Defensive Rebound.,53,76
4:56,282,Demonte Ojinnaka made Three Point Jumper.,53,79
4:41,2739,Khalil Small made Layup.,55,79
4:28,282,Brenton Scott missed Three Point Jumper.,55,79
4:28,282,Brandon Murphy Offensive Rebound.,55,79
4:25,2739,Foul on Trevian Bell.,55,79
4:25,282,Brandon Murphy made Free Throw.,55,80
4:25,282,Brandon Murphy made Free Throw.,55,81
4:13,2739,Manny Patterson missed Jumper.,55,81
4:13,282,Jordan Barnes Defensive Rebound.,55,81
3:55,2739,Foul on Kameron Hankerson.,55,81
3:55,282,Official TV Timeout,55,81
3:55,282,Tyreke Key missed Free Throw.,55,81
3:55,282,Indiana State Deadball Team Rebound.,55,81
3:55,282,Tyreke Key made Free Throw.,55,82
3:46,2739,Khalil Small missed Layup.,55,82
3:46,2739,Manny Patterson Offensive Rebound.,55,82
3:43,2739,Manny Patterson made Two Point Tip Shot.,57,82
3:23,282,Demonte Ojinnaka missed Three Point Jumper.,57,82
3:23,282,Brandon Murphy Offensive Rebound.,57,82
2:44,282,Indiana State  Turnover.,57,82
2:19,2739,Tyrone Powell missed Jumper.,57,82
2:19,282,Brandon Murphy Block.,57,82
2:18,282,Brandon Murphy Defensive Rebound.,57,82
2:18,2739,Foul on Sukhjot Bains.,57,82
2:18,282,Brandon Murphy made Free Throw.,57,83
2:18,282,Brandon Murphy missed Free Throw.,57,83
2:18,2739,Manny Patterson Defensive Rebound.,57,83
2:07,282,Foul on Tyreke Key.,57,83
2:07,2739,Khalil Small made Free Throw.,58,83
2:07,2739,Khalil Small made Free Throw.,59,83
1:40,282,Matt Deady missed Three Point Jumper.,59,83
1:40,282,Daniel Huenermann Offensive Rebound.,59,83
1:35,282,Daniel Huenermann missed Jumper.,59,83
1:35,2739,Manny Patterson Block.,59,83
1:33,2739,Khalil Small Defensive Rebound.,59,83
1:28,2739,Khalil Small missed Layup.,59,83
1:28,282,Matt Deady Defensive Rebound.,59,83
1:25,2739,Foul on Manny Patterson.,59,83
1:25,282,Matt Deady made Free Throw.,59,84
1:25,282,Matt Deady missed Free Throw.,59,84
1:25,2739,Will Chevalier Defensive Rebound.,59,84
1:24,282,Foul on Daniel Huenermann.,59,84
1:24,2739,Will Chevalier made Free Throw.,60,84
1:24,2739,Will Chevalier made Free Throw.,61,84
1:05,282,Clayton Hughes Turnover.,61,84
1:03,2739,Tyrone Powell Steal.,61,84
0:59,2739,Khalil Small made Dunk.,63,84
0:35,2739,Foul on Will Chevalier.,63,84
0:35,282,Trey Knight III made Free Throw.,63,85
0:35,282,Trey Knight III missed Free Throw.,63,85
0:35,2739,Will Chevalier Defensive Rebound.,63,85
0:29,2739,Khalil Small missed Three Point Jumper.,63,85
0:29,282,Ethan Claycomb Defensive Rebound.,63,85
