Michigan,251,Texas,130
18:58,251,Foul on Eric Davis Jr..,32,23
18:58,130,Duncan Robinson made Free Throw.,33,23
18:58,130,Duncan Robinson made Free Throw.,34,23
18:58,130,Duncan Robinson made Free Throw.,35,23
18:44,251,Mohamed Bamba made Dunk. Assisted by Matt Coleman.,35,25
18:27,130,Eli Brooks missed Layup.,35,25
18:27,251,Dylan Osetkowski Defensive Rebound.,35,25
18:12,251,Dylan Osetkowski made Layup.,35,27
18:12,130,Foul on Duncan Robinson.,35,27
18:12,251,Dylan Osetkowski made Free Throw.,35,28
17:53,130,Isaiah Livers Turnover.,35,28
17:53,130,Michigan  Timeout,35,28
17:41,251,Dylan Osetkowski made Three Point Jumper. Assisted by Kerwin Roach II.,35,31
17:17,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,35,31
17:17,251,Mohamed Bamba Defensive Rebound.,35,31
17:09,251,Mohamed Bamba missed Three Point Jumper.,35,31
17:09,130,Michigan Defensive Rebound.,35,31
16:52,130,Isaiah Livers missed Jumper.,35,31
16:52,130,Charles Matthews Offensive Rebound.,35,31
16:44,130,Charles Matthews missed Jumper.,35,31
16:44,251,Mohamed Bamba Block.,35,31
16:44,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,35,31
16:33,130,Muhammad-Ali Abdur-Rahkman made Jumper.,37,31
16:19,251,Kerwin Roach II Turnover.,37,31
15:54,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,37,31
15:54,251,Mohamed Bamba Defensive Rebound.,37,31
15:48,130,Foul on Charles Matthews.,37,31
15:48,251,Official TV Timeout,37,31
15:20,251,Kerwin Roach II missed Layup.,37,31
15:20,130,Moritz Wagner Defensive Rebound.,37,31
15:10,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,37,31
15:10,251,Mohamed Bamba Block.,37,31
15:10,251,Dylan Osetkowski Defensive Rebound.,37,31
14:59,130,Foul on Isaiah Livers.,37,31
14:59,251,Dylan Osetkowski made Free Throw.,37,32
14:59,251,Dylan Osetkowski made Free Throw.,37,33
14:47,130,Moritz Wagner missed Three Point Jumper.,37,33
14:47,130,Isaiah Livers Offensive Rebound.,37,33
14:30,130,Isaiah Livers missed Three Point Jumper.,37,33
14:30,251,Mohamed Bamba Defensive Rebound.,37,33
14:11,130,Foul on Charles Matthews.,37,33
14:11,251,Mohamed Bamba missed Free Throw.,37,33
14:11,251,Texas Deadball Team Rebound.,37,33
14:11,251,Mohamed Bamba made Free Throw.,37,34
13:55,130,Charles Matthews made Three Point Jumper. Assisted by Zavier Simpson.,40,34
13:35,251,Kerwin Roach II missed Three Point Jumper.,40,34
13:35,130,Moritz Wagner Defensive Rebound.,40,34
13:09,130,Zavier Simpson missed Jumper.,40,34
13:09,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,40,34
12:58,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,40,34
12:58,251,Mohamed Bamba Defensive Rebound.,40,34
12:51,251,Eric Davis Jr. missed Three Point Jumper.,40,34
12:51,130,Charles Matthews Defensive Rebound.,40,34
12:43,130,Moritz Wagner made Three Point Jumper. Assisted by Charles Matthews.,43,34
12:11,251,Eric Davis Jr. missed Jumper.,43,34
12:11,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,43,34
12:04,130,Moritz Wagner made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,46,34
11:59,251,Texas  Timeout,46,34
11:59,251,Official TV Timeout,46,34
11:42,251,Dylan Osetkowski missed Three Point Jumper.,46,34
11:42,130,Zavier Simpson Defensive Rebound.,46,34
11:24,130,Charles Matthews made Layup.,48,34
11:03,251,Jacob Young missed Jumper.,48,34
11:03,251,Jacob Young Offensive Rebound.,48,34
10:59,251,Jacob Young made Jumper.,48,36
10:43,251,Foul on Kerwin Roach II.,48,36
10:21,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,48,36
10:21,130,Michigan Offensive Rebound.,48,36
9:57,130,Isaiah Livers missed Three Point Jumper.,48,36
9:57,251,Jacob Young Defensive Rebound.,48,36
9:49,251,Jacob Young missed Layup.,48,36
9:49,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,48,36
9:28,130,Zavier Simpson missed Three Point Jumper.,48,36
9:28,251,Kerwin Roach II Defensive Rebound.,48,36
9:12,251,Jericho Sims missed Layup.,48,36
9:12,130,Isaiah Livers Defensive Rebound.,48,36
8:48,251,Foul on Kerwin Roach II.,48,36
8:29,130,Zavier Simpson missed Three Point Jumper.,48,36
8:29,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,48,36
8:09,130,Zavier Simpson made Layup.,50,36
7:53,251,Eric Davis Jr. Turnover.,50,36
7:53,251,Official TV Timeout,50,36
7:52,251,Official TV Timeout,50,36
7:52,251,Official TV Timeout,50,36
7:36,130,Moritz Wagner Turnover.,50,36
7:27,251,Mohamed Bamba made Dunk. Assisted by Dylan Osetkowski.,50,38
6:55,130,Zavier Simpson missed Layup.,50,38
6:55,251,Mohamed Bamba Defensive Rebound.,50,38
6:24,251,Kerwin Roach II made Three Point Jumper.,50,41
6:14,130,Zavier Simpson Turnover.,50,41
6:14,251,Jacob Young Steal.,50,41
6:09,251,Jacob Young made Layup.,50,43
5:54,130,Michigan  Timeout,50,43
5:37,130,Duncan Robinson Turnover.,50,43
5:37,251,Dylan Osetkowski Steal.,50,43
5:23,251,Jacob Young missed Jumper.,50,43
5:23,130,Duncan Robinson Defensive Rebound.,50,43
4:56,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper.,53,43
4:37,130,Foul on Duncan Robinson.,53,43
4:25,251,Matt Coleman missed Three Point Jumper.,53,43
4:25,251,Dylan Osetkowski Offensive Rebound.,53,43
4:20,251,Dylan Osetkowski missed Layup.,53,43
4:20,130,Jon Teske Block.,53,43
4:20,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,53,43
3:57,130,Jon Teske missed Layup.,53,43
3:57,251,Mohamed Bamba Block.,53,43
3:57,251,Kerwin Roach II Defensive Rebound.,53,43
3:50,251,Mohamed Bamba missed Layup.,53,43
3:50,130,Jon Teske Defensive Rebound.,53,43
3:22,130,Charles Matthews missed Three Point Jumper.,53,43
3:22,251,Mohamed Bamba Defensive Rebound.,53,43
3:14,251,Jacob Young missed Layup.,53,43
3:14,130,Muhammad-Ali Abdur-Rahkman Block.,53,43
3:14,251,Texas Offensive Rebound.,53,43
3:11,251,Official TV Timeout,53,43
3:05,251,Dylan Osetkowski made Jumper.,53,45
2:38,130,Isaiah Livers missed Jumper.,53,45
2:38,251,Texas Defensive Rebound.,53,45
2:15,251,Matt Coleman made Layup.,53,47
1:43,251,Foul on Jacob Young.,53,47
1:43,130,Muhammad-Ali Abdur-Rahkman Turnover.,53,47
1:43,251,Kerwin Roach II Steal.,53,47
1:33,130,Foul on Muhammad-Ali Abdur-Rahkman.,53,47
1:27,251,Foul on Dylan Osetkowski.,53,47
1:27,251,Dylan Osetkowski Turnover.,53,47
0:57,130,Muhammad-Ali Abdur-Rahkman made Jumper.,55,47
0:48,251,Matt Coleman missed Jumper.,55,47
0:48,130,Zavier Simpson Defensive Rebound.,55,47
0:37,251,Foul on Eric Davis Jr..,55,47
0:37,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,56,47
0:37,130,Muhammad-Ali Abdur-Rahkman missed Free Throw.,56,47
0:37,251,Mohamed Bamba Defensive Rebound.,56,47
0:31,251,Matt Coleman made Three Point Jumper.,56,50
0:29,251,Texas  Timeout,56,50
0:28,251,Foul on Matt Coleman.,56,50
0:28,130,Duncan Robinson made Free Throw.,57,50
0:28,130,Duncan Robinson made Free Throw.,58,50
0:25,251,Matt Coleman missed Three Point Jumper.,58,50
0:25,130,Charles Matthews Defensive Rebound.,58,50
0:21,130,Charles Matthews Turnover.,58,50
0:21,251,Mohamed Bamba Steal.,58,50
0:17,251,Kerwin Roach II Turnover.,58,50
0:16,251,Foul on Kerwin Roach II.,58,50
0:16,130,Charles Matthews made Free Throw.,59,50
0:16,130,Charles Matthews missed Free Throw.,59,50
0:16,251,Dylan Osetkowski Defensive Rebound.,59,50
0:13,251,Matt Coleman missed Three Point Jumper.,59,50
0:13,251,Texas Offensive Rebound.,59,50
0:07,251,Mohamed Bamba made Layup.,59,52
0:00,251,End of Game,59,52
