NJIT,2142,Colgate,2885
13:27,2142,Jordan Burns missed Jumper.,8,5
13:27,2885,Zach Cooks Defensive Rebound.,8,5
13:20,2885,Diandre Wilson missed Three Point Jumper.,8,5
13:20,2142,Jordan Burns Defensive Rebound.,8,5
12:53,2142,Jack Ferguson missed Three Point Jumper.,8,5
12:53,2885,Diandre Wilson Defensive Rebound.,8,5
12:49,2885,Foul on Donovan Greer.,8,5
12:46,2885,Donovan Greer Turnover.,8,5
12:26,2142,Malcolm Regisford made Jumper. Assisted by Will Rayman.,8,7
12:03,2885,Donovan Greer missed Three Point Jumper.,8,7
12:03,2142,Sean O'Brien Defensive Rebound.,8,7
11:52,2142,Malcolm Regisford made Layup. Assisted by Sean O'Brien.,8,9
11:32,2885,Shawndale Jones made Layup. Assisted by Anthony Tarke.,10,9
11:13,2142,Will Rayman made Jumper. Assisted by Jordan Swopshire.,10,11
10:52,2885,Abdul Lewis made Layup.,12,11
10:42,2885,Foul on Zach Cooks.,12,11
10:42,2142,Official TV Timeout,12,11
10:41,2142,Jack Ferguson made Three Point Jumper. Assisted by Sean O'Brien.,12,14
10:18,2885,Donovan Greer missed Jumper.,12,14
10:18,2885,Abdul Lewis Offensive Rebound.,12,14
10:15,2885,Abdul Lewis missed Layup.,12,14
10:15,2142,Malcolm Regisford Block.,12,14
10:13,2142,Malcolm Regisford Defensive Rebound.,12,14
9:44,2142,Sean O'Brien Turnover.,12,14
9:30,2885,Shawndale Jones Turnover.,12,14
9:14,2885,Foul on Donovan Greer.,12,14
9:14,2142,Jack Ferguson made Free Throw.,12,15
9:14,2142,Jack Ferguson made Free Throw.,12,16
8:55,2885,Anthony Tarke missed Jumper.,12,16
8:55,2142,Jordan Robertson Defensive Rebound.,12,16
8:42,2142,Will Rayman made Jumper.,12,18
8:24,2885,Abdul Lewis made Jumper. Assisted by Anthony Tarke.,14,18
8:07,2142,Jack Ferguson made Three Point Jumper.,14,21
7:41,2885,Donovan Greer made Three Point Jumper.,17,21
7:22,2142,Foul on Malcolm Regisford.,17,21
7:22,2142,Malcolm Regisford Turnover.,17,21
7:22,2142,Official TV Timeout,17,21
7:08,2142,Foul on Dana Batt.,17,21
6:51,2885,Anthony Tarke Turnover.,17,21
6:39,2142,Dana Batt missed Layup.,17,21
6:39,2885,Shyquan Gibbs Defensive Rebound.,17,21
6:22,2885,Anthony Tarke made Layup.,19,21
6:22,2142,Foul on Dana Batt.,19,21
6:22,2885,Anthony Tarke made Free Throw.,20,21
6:09,2142,Jordan Burns made Jumper. Assisted by Jordan Swopshire.,20,23
5:52,2885,Zach Cooks missed Three Point Jumper.,20,23
5:52,2142,Malcolm Regisford Defensive Rebound.,20,23
5:44,2142,Jordan Burns Turnover.,20,23
5:44,2885,Zach Cooks Steal.,20,23
5:44,2885,Zach Cooks Turnover.,20,23
5:40,2142,Jordan Burns made Jumper.,20,25
5:13,2885,Mohamed Bendary missed Layup.,20,25
5:13,2142,Malcolm Regisford Defensive Rebound.,20,25
5:13,2885,Foul on Mohamed Bendary.,20,25
5:13,2142,Malcolm Regisford missed Free Throw.,20,25
5:13,2885,Anthony Tarke Defensive Rebound.,20,25
5:06,2885,Anthony Tarke missed Three Point Jumper.,20,25
5:06,2142,Malcolm Regisford Defensive Rebound.,20,25
4:53,2142,Jack Ferguson missed Jumper.,20,25
4:53,2885,Anthony Tarke Defensive Rebound.,20,25
4:41,2885,Diandre Wilson missed Jumper.,20,25
4:41,2142,Colgate Defensive Rebound.,20,25
4:30,2142,Jordan Burns made Jumper.,20,27
4:12,2885,Diandre Wilson made Layup. Assisted by Abdul Lewis.,22,27
3:59,2885,Foul on Diandre Wilson.,22,27
3:59,2142,Official TV Timeout,22,27
3:59,2142,Sean O'Brien made Free Throw.,22,28
3:59,2142,Sean O'Brien made Free Throw.,22,29
3:33,2885,Shyquan Gibbs missed Layup.,22,29
3:33,2142,Malcolm Regisford Defensive Rebound.,22,29
3:33,2885,Foul on Abdul Lewis.,22,29
3:33,2142,Sean O'Brien made Free Throw.,22,30
3:33,2142,Sean O'Brien made Free Throw.,22,31
3:24,2885,Anthony Tarke made Layup.,24,31
3:03,2142,Malcolm Regisford made Layup. Assisted by Jordan Burns.,24,33
2:46,2885,Shawndale Jones made Three Point Jumper. Assisted by Shyquan Gibbs.,27,33
2:20,2142,Malcolm Regisford Turnover.,27,33
2:18,2885,Abdul Lewis Steal.,27,33
2:15,2885,Anthony Tarke made Layup.,29,33
1:59,2142,Will Rayman missed Layup.,29,33
1:59,2885,Diandre Wilson Defensive Rebound.,29,33
1:51,2885,Abdul Lewis Turnover.,29,33
1:49,2142,Malcolm Regisford made Layup. Assisted by Jordan Burns.,29,35
1:45,2885,Shyquan Gibbs missed Layup.,29,35
1:45,2142,Will Rayman Block.,29,35
1:45,2885,NJIT Offensive Rebound.,29,35
1:43,2885,Shawndale Jones made Three Point Jumper. Assisted by Anthony Tarke.,32,35
1:23,2142,Jordan Swopshire Turnover.,32,35
1:22,2885,Shawndale Jones Steal.,32,35
1:20,2885,Shawndale Jones made Layup.,34,35
1:15,2142,Colgate  Timeout,34,35
1:01,2142,Jordan Burns made Jumper.,34,37
1:01,2885,Foul on Zach Cooks.,34,37
1:01,2142,Jordan Burns made Free Throw.,34,38
0:40,2885,Anthony Tarke missed Jumper.,34,38
0:40,2885,Mohamed Bendary Offensive Rebound.,34,38
0:36,2885,Mohamed Bendary made Layup.,36,38
0:36,2142,Foul on Malcolm Regisford.,36,38
0:36,2885,Mohamed Bendary missed Free Throw.,36,38
0:36,2142,Will Rayman Defensive Rebound.,36,38
0:18,2142,Will Rayman made Layup.,36,40
0:04,2885,Donovan Greer missed Three Point Jumper.,36,40
0:04,2142,Jack Ferguson Defensive Rebound.,36,40
0:01,2885,Foul on Shawndale Jones.,36,40
0:01,2142,Jack Ferguson made Free Throw.,36,41
0:01,2142,Jack Ferguson made Free Throw.,36,42
0:00,2142,End of 1st half,36,42
19:44,2885,Abdul Lewis made Three Point Jumper. Assisted by Anthony Tarke.,39,42
19:26,2142,Sean O'Brien made Jumper. Assisted by Dana Batt.,39,44
19:00,2885,Anthony Tarke missed Jumper.,39,44
19:00,2142,Jordan Swopshire Defensive Rebound.,39,44
18:38,2142,Sean O'Brien missed Three Point Jumper.,39,44
18:38,2885,Reilly Walsh Defensive Rebound.,39,44
18:29,2885,Shyquan Gibbs Turnover.,39,44
18:18,2142,Dana Batt Turnover.,39,44
18:09,2885,Abdul Lewis Turnover.,39,44
18:07,2142,Sean O'Brien Steal.,39,44
18:04,2142,Jordan Swopshire missed Three Point Jumper.,39,44
18:04,2142,Dana Batt Offensive Rebound.,39,44
17:57,2142,Jordan Burns Turnover.,39,44
17:55,2885,Anthony Tarke Steal.,39,44
17:52,2885,Anthony Tarke missed Layup.,39,44
17:52,2142,Jordan Swopshire Block.,39,44
17:50,2142,Sean O'Brien Defensive Rebound.,39,44
17:46,2142,Technical Foul on Colgate.,39,44
17:46,2142,Sean O'Brien missed Free Throw.,39,44
17:46,2142,Colgate Deadball Team Rebound.,39,44
17:46,2142,Sean O'Brien missed Free Throw.,39,44
17:46,2142,Colgate Deadball Team Rebound.,39,44
17:35,2142,Jordan Burns Turnover.,39,44
17:08,2885,Abdul Lewis missed Jumper.,39,44
17:08,2885,Abdul Lewis Offensive Rebound.,39,44
17:02,2885,Abdul Lewis Turnover.,39,44
16:47,2142,Sean O'Brien made Layup.,39,46
16:25,2885,Diandre Wilson missed Layup.,39,46
16:25,2142,Dana Batt Defensive Rebound.,39,46
16:15,2142,Sean O'Brien made Jumper.,39,48
15:58,2885,Shyquan Gibbs missed Three Point Jumper.,39,48
15:58,2142,Dana Batt Defensive Rebound.,39,48
15:48,2142,Sean O'Brien missed Jumper.,39,48
15:48,2885,Abdul Lewis Defensive Rebound.,39,48
15:35,2885,Reilly Walsh made Layup.,41,48
15:35,2142,Official TV Timeout,41,48
15:17,2142,Jordan Swopshire made Three Point Jumper. Assisted by Dana Batt.,41,51
15:06,2885,Diandre Wilson made Three Point Jumper.,44,51
14:52,2142,Jordan Swopshire missed Three Point Jumper.,44,51
14:52,2142,Sean O'Brien Offensive Rebound.,44,51
14:41,2142,Jordan Burns Turnover.,44,51
14:40,2885,Shawndale Jones Steal.,44,51
14:38,2142,Foul on Sean O'Brien.,44,51
14:38,2885,Anthony Tarke made Free Throw.,45,51
14:38,2885,Anthony Tarke made Free Throw.,46,51
14:19,2142,Will Rayman missed Jumper.,46,51
14:19,2885,Abdul Lewis Defensive Rebound.,46,51
14:11,2142,Foul on Jack Ferguson.,46,51
14:11,2885,Diandre Wilson made Free Throw.,47,51
14:11,2885,Diandre Wilson made Free Throw.,48,51
14:02,2885,Foul on Zach Cooks.,48,51
13:46,2142,Jordan Swopshire Turnover.,48,51
13:44,2885,Shawndale Jones Steal.,48,51
13:41,2885,Anthony Tarke missed Layup.,48,51
13:41,2142,Dana Batt Defensive Rebound.,48,51
13:26,2142,Jack Ferguson missed Three Point Jumper.,48,51
13:26,2885,Abdul Lewis Defensive Rebound.,48,51
13:09,2885,Diandre Wilson Turnover.,48,51
13:08,2142,Will Rayman Steal.,48,51
13:05,2885,Foul on Diandre Wilson.,48,51
13:05,2142,Will Rayman made Free Throw.,48,52
13:05,2142,Will Rayman made Free Throw.,48,53
12:41,2885,Anthony Tarke made Jumper.,50,53
12:15,2142,Sean O'Brien made Layup.,50,55
11:52,2885,Zach Cooks made Layup.,52,55
11:28,2142,Sean O'Brien made Layup.,52,57
11:16,2885,Shawndale Jones missed Three Point Jumper.,52,57
11:16,2885,Anthony Tarke Offensive Rebound.,52,57
11:11,2142,Foul on Sean O'Brien.,52,57
11:11,2142,Official TV Timeout,52,57
11:11,2885,Anthony Tarke missed Free Throw.,52,57
11:11,2885,NJIT Deadball Team Rebound.,52,57
11:11,2885,Anthony Tarke missed Free Throw.,52,57
11:11,2142,Malcolm Regisford Defensive Rebound.,52,57
10:55,2142,Jordan Robertson missed Layup.,52,57
10:55,2885,Abdul Lewis Defensive Rebound.,52,57
10:46,2142,Foul on Jordan Robertson.,52,57
10:46,2885,Anthony Tarke made Free Throw.,53,57
10:46,2885,Anthony Tarke missed Free Throw.,53,57
10:46,2885,NJIT Deadball Team Rebound.,53,57
10:46,2885,Anthony Tarke made Free Throw.,54,57
10:17,2142,Jack Ferguson missed Three Point Jumper.,54,57
10:17,2142,Jack Ferguson Offensive Rebound.,54,57
10:14,2142,Will Rayman Turnover.,54,57
10:00,2885,Shawndale Jones made Jumper. Assisted by Anthony Tarke.,56,57
9:36,2885,Foul on Shawndale Jones.,56,57
9:34,2142,Will Rayman missed Three Point Jumper.,56,57
9:34,2885,Diandre Wilson Defensive Rebound.,56,57
9:24,2885,Shawndale Jones missed Three Point Jumper.,56,57
9:24,2885,Anthony Tarke Offensive Rebound.,56,57
9:18,2885,Anthony Tarke made Layup.,58,57
9:03,2142,Jordan Burns made Jumper.,58,59
8:43,2885,Shyquan Gibbs made Three Point Jumper. Assisted by Abdul Lewis.,61,59
8:29,2142,Jordan Burns made Jumper.,61,61
8:02,2885,Anthony Tarke missed Jumper.,61,61
8:02,2885,Diandre Wilson Offensive Rebound.,61,61
7:59,2885,Diandre Wilson Turnover.,61,61
7:49,2885,Foul on Diandre Wilson.,61,61
7:49,2142,Official TV Timeout,61,61
7:49,2142,Jordan Burns made Free Throw.,61,62
7:49,2142,Jordan Burns made Free Throw.,61,63
7:18,2885,Reilly Walsh Turnover.,61,63
7:01,2885,Foul on Abdul Lewis.,61,63
7:01,2142,Malcolm Regisford made Free Throw.,61,64
7:01,2142,Malcolm Regisford made Free Throw.,61,65
6:43,2885,Anthony Tarke made Three Point Jumper. Assisted by Shyquan Gibbs.,64,65
6:17,2142,Jordan Burns made Jumper.,64,67
5:55,2885,Reilly Walsh missed Three Point Jumper.,64,67
5:55,2885,Abdul Lewis Offensive Rebound.,64,67
5:47,2885,Abdul Lewis made Jumper.,66,67
5:34,2142,Jordan Swopshire missed Three Point Jumper.,66,67
5:34,2885,Shawndale Jones Defensive Rebound.,66,67
5:04,2885,Abdul Lewis Turnover.,66,67
5:02,2142,Jordan Burns Steal.,66,67
5:01,2142,Jordan Burns missed Layup.,66,67
5:01,2885,Shawndale Jones Defensive Rebound.,66,67
4:54,2885,Anthony Tarke made Three Point Jumper.,69,67
4:32,2142,Sean O'Brien made Three Point Jumper.,69,70
4:22,2885,Anthony Tarke Turnover.,69,70
4:20,2142,Francisco Amiel Steal.,69,70
4:17,2142,Francisco Amiel made Three Point Jumper. Assisted by Jordan Swopshire.,69,73
3:53,2885,Abdul Lewis missed Jumper.,69,73
3:53,2142,Sean O'Brien Defensive Rebound.,69,73
3:42,2142,Dana Batt made Layup. Assisted by Jordan Burns.,69,75
3:29,2885,Shawndale Jones missed Three Point Jumper.,69,75
3:29,2142,Colgate Defensive Rebound.,69,75
3:26,2142,Official TV Timeout,69,75
3:13,2142,Jordan Swopshire missed Three Point Jumper.,69,75
3:13,2142,Will Rayman Offensive Rebound.,69,75
2:46,2142,Jordan Burns missed Jumper.,69,75
2:46,2885,Diandre Wilson Defensive Rebound.,69,75
2:44,2142,Foul on Jordan Burns.,69,75
2:38,2142,Foul on Dana Batt.,69,75
2:19,2885,Anthony Tarke Turnover.,69,75
2:18,2142,Dana Batt Steal.,69,75
1:58,2142,Will Rayman Turnover.,69,75
1:57,2885,Reilly Walsh Steal.,69,75
1:49,2885,Reilly Walsh missed Layup.,69,75
1:49,2142,Dana Batt Block.,69,75
1:47,2142,Dana Batt Defensive Rebound.,69,75
1:42,2142,Will Rayman made Dunk. Assisted by Jordan Burns.,69,77
1:22,2885,Diandre Wilson made Three Point Jumper. Assisted by Shyquan Gibbs.,72,77
1:21,2885,NJIT  Timeout,72,77
1:14,2885,Foul on Shyquan Gibbs.,72,77
1:11,2885,Foul on Reilly Walsh.,72,77
1:11,2142,Will Rayman made Free Throw.,72,78
1:11,2142,Will Rayman made Free Throw.,72,79
0:58,2885,Diandre Wilson made Layup.,74,79
0:58,2885,NJIT  Timeout,74,79
0:56,2142,Will Rayman made Layup. Assisted by Sean O'Brien.,74,81
0:56,2885,Foul on Shawndale Jones.,74,81
0:56,2142,Will Rayman missed Free Throw.,74,81
0:56,2885,Anthony Tarke Defensive Rebound.,74,81
0:49,2142,Foul on Dana Batt.,74,81
0:49,2885,Diandre Wilson made Free Throw.,75,81
0:49,2885,Diandre Wilson made Free Throw.,76,81
0:48,2142,Colgate  Timeout,76,81
0:46,2885,Foul on Reilly Walsh.,76,81
0:46,2142,Sean O'Brien made Free Throw.,76,82
0:46,2142,Sean O'Brien made Free Throw.,76,83
0:40,2885,Anthony Tarke missed Three Point Jumper.,76,83
0:40,2885,Abdul Lewis Offensive Rebound.,76,83
0:35,2885,Abdul Lewis Turnover.,76,83
0:33,2142,Dana Batt Steal.,76,83
0:30,2142,Will Rayman made Dunk. Assisted by Sean O'Brien.,76,85
0:19,2885,Shawndale Jones missed Layup.,76,85
0:19,2142,Jordan Burns Defensive Rebound.,76,85
0:18,2885,Foul on Shyquan Gibbs.,76,85
0:18,2142,Sean O'Brien made Free Throw.,76,86
0:18,2142,Sean O'Brien made Free Throw.,76,87
0:16,2885,Shawndale Jones missed Three Point Jumper.,76,87
0:16,2142,Will Rayman Defensive Rebound.,76,87
0:00,2142,End of Game,76,87
