Cal Poly,2065,Bethune-Cookman,13
17:38,2065,Soufiyane Diakite missed Jumper.,31,39
17:38,13,Cal Poly Defensive Rebound.,31,39
17:37,2065,Foul on Shawntrez Davis.,31,39
17:18,13,Donovan Fields made Jumper.,33,39
17:00,2065,Soufiyane Diakite made Jumper. Assisted by Isaiah Bailey.,33,41
16:48,2065,Foul on Soufiyane Diakite.,33,41
16:48,13,Hank Hollingsworth made Free Throw.,34,41
16:48,13,Hank Hollingsworth missed Free Throw.,34,41
16:48,2065,Soufiyane Diakite Defensive Rebound.,34,41
16:48,13,Foul on Marcellus Garrick.,34,41
16:31,2065,Isaiah Bailey made Dunk.,34,43
16:11,13,Donovan Fields Turnover.,34,43
16:11,2065,Malik Maitland Steal.,34,43
15:57,13,Foul on Mark Crowe.,34,43
15:57,2065,Official TV Timeout,34,43
15:57,2065,Isaiah Bailey missed Free Throw.,34,43
15:57,2065,Bethune-Cookman Deadball Team Rebound.,34,43
15:57,2065,Isaiah Bailey made Free Throw.,34,44
15:36,13,Josh Martin made Dunk. Assisted by Karlis Garoza.,36,44
15:17,2065,Soufiyane Diakite missed Three Point Jumper.,36,44
15:17,13,Mark Crowe Defensive Rebound.,36,44
15:06,13,Jakub Niziol missed Three Point Jumper.,36,44
15:06,13,Josh Martin Offensive Rebound.,36,44
14:56,13,Donovan Fields missed Jumper.,36,44
14:56,13,Josh Martin Offensive Rebound.,36,44
14:49,2065,Foul on Malik Maitland.,36,44
14:40,2065,Foul on Soufiyane Diakite.,36,44
14:39,13,Josh Martin missed Jumper.,36,44
14:39,2065,Houston Smith Defensive Rebound.,36,44
14:27,2065,Malik Maitland missed Jumper.,36,44
14:27,2065,Isaiah Bailey Offensive Rebound.,36,44
14:04,2065,Houston Smith missed Jumper.,36,44
14:04,13,Jakub Niziol Block.,36,44
14:03,2065,David Francis Offensive Rebound.,36,44
14:00,2065,David Francis made Jumper.,36,46
13:31,13,Iziah James missed Jumper.,36,46
13:31,2065,Malik Maitland Defensive Rebound.,36,46
13:24,2065,Malik Maitland made Layup.,36,48
13:22,2065,Bethune-Cookman  Timeout,36,48
13:12,13,Josh Martin Turnover.,36,48
13:12,2065,David Francis Steal.,36,48
12:50,2065,Shawntrez Davis made Dunk. Assisted by Malik Maitland.,36,50
12:21,13,Josh Martin missed Three Point Jumper.,36,50
12:21,2065,Houston Smith Defensive Rebound.,36,50
12:07,2065,Foul on Shawntrez Davis.,36,50
12:07,2065,Shawntrez Davis Turnover.,36,50
11:41,2065,Foul on Ulmer Manzie.,36,50
11:41,2065,Official TV Timeout,36,50
11:41,13,Luke Meikle Turnover.,36,50
11:41,2065,Official TV Timeout,36,50
11:18,13,Foul on Luke Meikle.,36,50
11:18,2065,Ulmer Manzie missed Free Throw.,36,50
11:18,2065,Bethune-Cookman Deadball Team Rebound.,36,50
11:18,2065,Ulmer Manzie made Free Throw.,36,51
10:55,13,Hank Hollingsworth made Dunk. Assisted by Victor Joseph.,38,51
10:36,2065,Malik Maitland made Three Point Jumper.,38,54
10:24,13,Victor Joseph made Three Point Jumper.,41,54
9:59,13,Foul on Luke Meikle.,41,54
9:59,2065,Ulmer Manzie missed Free Throw.,41,54
9:59,2065,Bethune-Cookman Deadball Team Rebound.,41,54
9:59,2065,Ulmer Manzie made Free Throw.,41,55
9:47,13,Josh Martin Turnover.,41,55
9:46,2065,Ulmer Manzie Steal.,41,55
9:41,2065,Foul on Ulmer Manzie.,41,55
9:41,2065,Ulmer Manzie Turnover.,41,55
9:41,13,Cal Poly  Timeout,41,55
9:31,13,Donovan Fields made Jumper.,43,55
9:09,2065,Isaiah Bailey missed Three Point Jumper.,43,55
9:09,2065,Soufiyane Diakite Offensive Rebound.,43,55
8:57,2065,Malik Maitland missed Three Point Jumper.,43,55
8:57,2065,Ulmer Manzie Offensive Rebound.,43,55
8:40,2065,Foul on Ulmer Manzie.,43,55
8:40,2065,Ulmer Manzie Turnover.,43,55
8:40,13,Josh Martin Steal.,43,55
8:40,13,Josh Martin made Free Throw.,44,55
8:40,13,Josh Martin missed Free Throw.,44,55
8:40,13,Marcellus Garrick Offensive Rebound.,44,55
8:39,13,Victor Joseph missed Three Point Jumper.,44,55
8:39,13,Cal Poly Offensive Rebound.,44,55
8:38,13,Cal Poly  Timeout,44,55
8:37,13,Marcellus Garrick missed Three Point Jumper.,44,55
8:37,13,Josh Martin Offensive Rebound.,44,55
8:31,13,Josh Martin made Layup.,46,55
8:06,2065,Shawntrez Davis missed Jumper.,46,55
8:06,2065,Houston Smith Offensive Rebound.,46,55
8:00,2065,Bethune-Cookman  Turnover.,46,55
8:00,2065,Official TV Timeout,46,55
7:54,13,Marcellus Garrick missed Jumper.,46,55
7:54,2065,Soufiyane Diakite Defensive Rebound.,46,55
7:29,2065,Malik Maitland missed Jumper.,46,55
7:29,13,Hank Hollingsworth Defensive Rebound.,46,55
7:04,13,Josh Martin made Jumper. Assisted by Victor Joseph.,48,55
6:32,13,Foul on Josh Martin.,48,55
6:30,2065,Soufiyane Diakite missed Layup.,48,55
6:30,13,Josh Martin Defensive Rebound.,48,55
6:15,13,Victor Joseph made Layup.,50,55
5:58,2065,Isaiah Bailey missed Jumper.,50,55
5:58,2065,Soufiyane Diakite Offensive Rebound.,50,55
5:38,2065,Shawntrez Davis missed Layup.,50,55
5:38,13,Cal Poly Defensive Rebound.,50,55
5:26,13,Josh Martin missed Three Point Jumper.,50,55
5:26,13,Victor Joseph Offensive Rebound.,50,55
5:07,13,Donovan Fields made Jumper.,52,55
4:44,13,Foul on Hank Hollingsworth.,52,55
4:44,2065,Shawntrez Davis made Free Throw.,52,56
4:44,2065,Shawntrez Davis made Free Throw.,52,57
4:36,2065,Foul on David Francis.,52,57
4:36,13,Josh Martin made Free Throw.,53,57
4:36,13,Josh Martin missed Free Throw.,53,57
4:36,2065,Soufiyane Diakite Defensive Rebound.,53,57
4:10,2065,Malik Maitland made Layup.,53,59
3:50,13,Victor Joseph missed Jumper.,53,59
3:50,2065,Houston Smith Block.,53,59
3:50,13,Cal Poly Offensive Rebound.,53,59
3:48,2065,Official TV Timeout,53,59
3:34,13,Cal Poly  Turnover.,53,59
3:11,2065,Malik Maitland missed Jumper.,53,59
3:11,13,Jakub Niziol Defensive Rebound.,53,59
2:57,13,Donovan Fields missed Three Point Jumper.,53,59
2:57,2065,Isaiah Bailey Defensive Rebound.,53,59
2:41,2065,Isaiah Bailey Turnover.,53,59
2:35,13,Jakub Niziol missed Three Point Jumper.,53,59
2:35,2065,Bethune-Cookman Defensive Rebound.,53,59
2:15,2065,Shawntrez Davis made Jumper. Assisted by Soufiyane Diakite.,53,61
2:15,13,Foul on Karlis Garoza.,53,61
2:15,2065,Shawntrez Davis made Free Throw.,53,62
2:04,13,Jakub Niziol missed Three Point Jumper.,53,62
2:04,13,Cal Poly Offensive Rebound.,53,62
2:01,13,Victor Joseph missed Three Point Jumper.,53,62
2:01,2065,Houston Smith Defensive Rebound.,53,62
1:37,2065,Houston Smith missed Three Point Jumper.,53,62
1:37,13,Cal Poly Defensive Rebound.,53,62
1:27,13,Donovan Fields missed Jumper.,53,62
1:27,2065,Soufiyane Diakite Block.,53,62
1:24,2065,Shawntrez Davis Defensive Rebound.,53,62
1:15,2065,Malik Maitland Turnover.,53,62
1:15,2065,Bethune-Cookman  Timeout,53,62
