Catholic,Error,Maryland,120
12:54,120,Foul on Darryl Morsell.,15,13
12:38,120,Joshua Tomaic Block.,15,13
12:38,-1,Riley Hayes missed Jumper.,15,13
12:38,-1,Riley Hayes Offensive Rebound.,15,13
12:33,-1,Riley Hayes made Layup.,17,13
12:21,120,Jared Nickens made Three Point Jumper. Assisted by Anthony Cowan.,17,16
12:06,-1,Isaiah Godwin Turnover.,17,16
12:05,120,Anthony Cowan Steal.,17,16
12:01,120,Jared Nickens missed Three Point Jumper.,17,16
12:01,-1,Catholic University Dc Defensive Rebound.,17,16
11:59,120,Official TV Timeout,17,16
11:41,-1,Isaiah Godwin missed Three Point Jumper.,17,16
11:41,120,Anthony Cowan Defensive Rebound.,17,16
11:26,120,Jared Nickens Turnover.,17,16
11:07,-1,Riley Hayes Turnover.,17,16
10:59,120,Anthony Cowan missed Jumper.,17,16
10:59,120,Joshua Tomaic Offensive Rebound.,17,16
10:56,120,Joshua Tomaic missed Layup.,17,16
10:56,120,Sean Obi Offensive Rebound.,17,16
10:55,-1,Foul on Isaiah Foust.,17,16
10:55,120,Sean Obi missed Free Throw.,17,16
10:55,120,Maryland Deadball Team Rebound.,17,16
10:55,120,Sean Obi missed Free Throw.,17,16
10:55,120,Joshua Tomaic Offensive Rebound.,17,16
10:51,120,Anthony Cowan missed Jumper.,17,16
10:51,120,Sean Obi Offensive Rebound.,17,16
10:49,-1,Foul on Andre Mitchell.,17,16
10:31,120,Anthony Cowan missed Jumper.,17,16
10:31,-1,Jimmy Golaszewski Defensive Rebound.,17,16
9:59,-1,Catholic University Dc  Turnover.,17,16
9:42,120,Jared Nickens made Jumper.,17,18
9:21,-1,Andre Mitchell made Three Point Jumper. Assisted by Jay Howard.,20,18
8:57,120,Joshua Tomaic made Three Point Jumper. Assisted by Darryl Morsell.,20,21
8:39,-1,Andre Mitchell missed Three Point Jumper.,20,21
8:39,120,Anthony Cowan Defensive Rebound.,20,21
8:28,120,Darryl Morsell missed Jumper.,20,21
8:28,120,Darryl Morsell Offensive Rebound.,20,21
8:24,120,Joshua Tomaic made Layup. Assisted by Darryl Morsell.,20,23
8:02,-1,Will Turner missed Jumper.,20,23
8:02,-1,Will Turner Offensive Rebound.,20,23
7:49,-1,Jay Howard missed Jumper.,20,23
7:49,120,Anthony Cowan Defensive Rebound.,20,23
7:35,120,Michal Cekovsky made Layup. Assisted by Darryl Morsell.,20,25
7:19,-1,Andre Mitchell missed Jumper.,20,25
7:19,120,Michal Cekovsky Defensive Rebound.,20,25
6:59,120,Anthony Cowan missed Three Point Jumper.,20,25
6:59,-1,Jay Howard Defensive Rebound.,20,25
6:42,-1,Jay Howard made Layup.,22,25
6:14,120,Foul on Darryl Morsell.,22,25
6:14,120,Darryl Morsell Turnover.,22,25
5:45,-1,Jay Howard missed Jumper.,22,25
5:45,-1,Jimmy Golaszewski Offensive Rebound.,22,25
5:19,-1,Riley Hayes made Layup. Assisted by Isaiah Godwin.,24,25
4:57,-1,Foul on Riley Hayes.,24,25
4:57,120,Anthony Cowan made Free Throw.,24,26
4:57,-1,Catholic University Dc  Timeout,24,26
4:57,120,Anthony Cowan made Free Throw.,24,27
4:39,-1,Jimmy Golaszewski made Three Point Jumper.,27,27
4:19,120,Anthony Cowan made Layup.,27,29
3:59,-1,Isaiah Godwin missed Jumper.,27,29
3:59,120,Joshua Tomaic Defensive Rebound.,27,29
3:56,-1,Foul on Andre Mitchell.,27,29
3:56,120,Official TV Timeout,27,29
3:43,120,Anthony Cowan made Layup.,27,31
3:31,-1,Jimmy Golaszewski Turnover.,27,31
3:24,120,Jared Nickens made Three Point Jumper. Assisted by Kevin Huerter.,27,34
3:09,120,Foul on Anthony Cowan.,27,34
2:49,-1,Jimmy Golaszewski missed Three Point Jumper.,27,34
2:49,120,Anthony Cowan Defensive Rebound.,27,34
2:35,120,Michal Cekovsky missed Jumper.,27,34
2:35,120,Michal Cekovsky Offensive Rebound.,27,34
2:34,-1,Foul on Jimmy Golaszewski.,27,34
2:26,120,Michal Cekovsky missed Jumper.,27,34
2:26,-1,Jimmy Golaszewski Defensive Rebound.,27,34
2:23,120,Foul on Reese Mona.,27,34
2:08,120,Jared Nickens Block.,27,34
2:08,-1,Andre Mitchell missed Layup.,27,34
2:07,-1,Riley Hayes Offensive Rebound.,27,34
2:05,-1,Riley Hayes made Layup.,29,34
1:46,-1,Foul on Jay Howard.,29,34
1:46,120,Reese Mona missed Free Throw.,29,34
1:46,120,Maryland Deadball Team Rebound.,29,34
1:46,120,Reese Mona made Free Throw.,29,35
1:33,120,Foul on Reese Mona.,29,35
1:14,-1,Andre Mitchell missed Jumper.,29,35
1:14,120,Sean Obi Defensive Rebound.,29,35
0:50,120,Reese Mona Turnover.,29,35
0:34,-1,Andre Mitchell Turnover.,29,35
0:33,120,Anthony Cowan Steal.,29,35
0:30,-1,Foul on Isaiah Godwin.,29,35
0:30,120,Anthony Cowan made Free Throw.,29,36
0:30,120,Anthony Cowan made Free Throw.,29,37
0:02,-1,Jay Howard made Layup.,31,37
0:00,120,End of 1st half,31,37
19:50,-1,Jimmy Golaszewski missed Three Point Jumper.,31,37
19:50,-1,Catholic University Dc Offensive Rebound.,31,37
19:42,-1,Jimmy Golaszewski Turnover.,31,37
19:36,120,Foul on Ivan Bender.,31,37
19:36,120,Ivan Bender Turnover.,31,37
19:30,-1,Isaiah Godwin missed Jumper.,31,37
19:30,120,Ivan Bender Defensive Rebound.,31,37
19:22,120,Darryl Morsell made Dunk. Assisted by Kevin Huerter.,31,39
18:58,-1,Riley Hayes missed Jumper.,31,39
18:58,-1,Jimmy Golaszewski Offensive Rebound.,31,39
18:41,-1,Riley Hayes made Jumper. Assisted by Jimmy Golaszewski.,33,39
18:21,120,Ivan Bender made Three Point Jumper. Assisted by Darryl Morsell.,33,42
18:01,-1,Jay Howard missed Jumper.,33,42
18:01,120,Ivan Bender Defensive Rebound.,33,42
17:39,120,Anthony Cowan made Three Point Jumper. Assisted by Kevin Huerter.,33,45
17:22,-1,Jay Howard missed Layup.,33,45
17:22,120,Maryland Defensive Rebound.,33,45
17:19,-1,Catholic University Dc  Timeout,33,45
17:06,120,Anthony Cowan Turnover.,33,45
17:05,-1,Andre Mitchell Steal.,33,45
17:02,-1,Jimmy Golaszewski missed Three Point Jumper.,33,45
17:02,120,Maryland Defensive Rebound.,33,45
16:38,120,Ivan Bender made Layup. Assisted by Kevin Huerter.,33,47
16:27,120,Foul on Ivan Bender.,33,47
16:20,-1,Isaiah Godwin missed Jumper.,33,47
16:20,-1,Riley Hayes Offensive Rebound.,33,47
16:18,120,Foul on Michal Cekovsky.,33,47
16:16,-1,Isaiah Godwin missed Three Point Jumper.,33,47
16:16,-1,Jay Howard Offensive Rebound.,33,47
15:50,-1,Jay Howard missed Layup.,33,47
15:50,-1,Jimmy Golaszewski Offensive Rebound.,33,47
15:40,120,Official TV Timeout,33,47
15:21,-1,Isaiah Godwin missed Three Point Jumper.,33,47
15:21,-1,Catholic University Dc Offensive Rebound.,33,47
15:18,120,Foul on Ivan Bender.,33,47
15:15,-1,Jay Howard made Jumper.,35,47
14:56,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,35,50
14:37,-1,Isaiah Godwin missed Layup.,35,50
14:37,120,Michal Cekovsky Block.,35,50
14:36,120,Kevin Huerter Defensive Rebound.,35,50
14:32,120,Jared Nickens made Three Point Jumper. Assisted by Anthony Cowan.,35,53
14:10,-1,Isaiah Godwin made Three Point Jumper. Assisted by Jay Howard.,38,53
14:07,-1,Catholic University Dc  Timeout,38,53
13:41,-1,Foul on Isaiah Foust.,38,53
13:41,120,Anthony Cowan made Free Throw.,38,54
13:41,120,Anthony Cowan made Free Throw.,38,55
13:31,-1,Riley Hayes missed Jumper.,38,55
13:31,-1,Isaiah Godwin Offensive Rebound.,38,55
13:26,-1,Isaiah Godwin missed Layup.,38,55
13:26,120,Michal Cekovsky Block.,38,55
13:25,120,Michal Cekovsky Defensive Rebound.,38,55
13:20,120,Darryl Morsell made Layup.,38,57
12:53,-1,Riley Hayes Turnover.,38,57
12:50,120,Anthony Cowan Steal.,38,57
12:47,-1,Foul on Riley Hayes.,38,57
12:47,120,Kevin Huerter made Free Throw.,38,58
12:47,120,Kevin Huerter missed Free Throw.,38,58
12:47,-1,Jay Howard Defensive Rebound.,38,58
12:36,-1,Isaiah Foust Turnover.,38,58
12:36,120,Anthony Cowan Steal.,38,58
12:33,120,Kevin Huerter made Dunk.,38,60
11:55,-1,Jay Howard missed Jumper.,38,60
11:55,120,Maryland Defensive Rebound.,38,60
11:54,120,Official TV Timeout,38,60
11:38,120,Darryl Morsell Turnover.,38,60
11:32,-1,Andre Mitchell missed Three Point Jumper.,38,60
11:32,120,Anthony Cowan Defensive Rebound.,38,60
11:26,120,Anthony Cowan missed Layup.,38,60
11:26,-1,Jay Howard Defensive Rebound.,38,60
11:06,-1,Jay Howard missed Jumper.,38,60
11:06,120,Joshua Tomaic Defensive Rebound.,38,60
10:56,-1,Foul on Ceeja Beckett.,38,60
10:49,120,Anthony Cowan Turnover.,38,60
10:48,-1,Jay Howard Steal.,38,60
10:34,-1,Jay Howard Turnover.,38,60
10:20,120,Darryl Morsell missed Three Point Jumper.,38,60
10:20,-1,Catholic University Dc Defensive Rebound.,38,60
10:10,-1,Andrew Wade made Layup. Assisted by Andre Mitchell.,40,60
9:43,120,Jared Nickens missed Jumper.,40,60
9:43,-1,Justin Pryor Defensive Rebound.,40,60
9:33,-1,Jay Howard made Layup. Assisted by Isaiah Godwin.,42,60
9:12,120,Joshua Tomaic made Layup. Assisted by Anthony Cowan.,42,62
8:44,-1,Collin Hartmann missed Three Point Jumper.,42,62
8:44,120,Ivan Bender Defensive Rebound.,42,62
8:25,120,Darryl Morsell missed Layup.,42,62
8:25,120,Darryl Morsell Offensive Rebound.,42,62
8:21,-1,Foul on Andre Mitchell.,42,62
8:21,120,Darryl Morsell missed Free Throw.,42,62
8:21,120,Maryland Deadball Team Rebound.,42,62
8:21,120,Darryl Morsell missed Free Throw.,42,62
8:21,-1,Jay Howard Defensive Rebound.,42,62
8:13,-1,Jay Howard made Three Point Jumper. Assisted by Collin Hartmann.,45,62
7:51,-1,Foul on Riley Hayes.,45,62
7:51,120,Official TV Timeout,45,62
7:51,120,Darryl Morsell made Free Throw.,45,63
7:51,120,Darryl Morsell made Free Throw.,45,64
7:34,-1,Jimmy Golaszewski made Three Point Jumper. Assisted by Andre Mitchell.,48,64
7:09,120,Anthony Cowan missed Three Point Jumper.,48,64
7:09,-1,Jimmy Golaszewski Defensive Rebound.,48,64
6:55,-1,Jay Howard missed Jumper.,48,64
6:55,120,Darryl Morsell Defensive Rebound.,48,64
6:49,120,Darryl Morsell Turnover.,48,64
6:24,-1,Riley Hayes Turnover.,48,64
6:13,120,Kevin Huerter Turnover.,48,64
6:12,-1,Jimmy Golaszewski Steal.,48,64
6:04,120,Foul on Jared Nickens.,48,64
5:54,-1,Riley Hayes missed Jumper.,48,64
5:54,120,Maryland Defensive Rebound.,48,64
5:38,120,Ivan Bender Turnover.,48,64
5:37,-1,Isaiah Godwin Steal.,48,64
5:33,-1,Jay Howard missed Layup.,48,64
5:33,-1,Andre Mitchell Offensive Rebound.,48,64
5:30,-1,Andre Mitchell missed Layup.,48,64
5:30,120,Kevin Huerter Block.,48,64
5:28,120,Ivan Bender Defensive Rebound.,48,64
5:24,120,Kevin Huerter made Dunk. Assisted by Anthony Cowan.,48,66
5:23,120,Maryland  Timeout,48,66
5:09,-1,Isaiah Godwin missed Three Point Jumper.,48,66
5:09,120,Ivan Bender Defensive Rebound.,48,66
5:00,120,Anthony Cowan missed Layup.,48,66
5:00,120,Darryl Morsell Offensive Rebound.,48,66
4:58,120,Darryl Morsell made Layup.,48,68
4:51,120,Foul on Kevin Huerter.,48,68
4:43,120,Foul on Kevin Huerter.,48,68
4:43,-1,Jimmy Golaszewski made Free Throw.,49,68
4:43,-1,Jimmy Golaszewski made Free Throw.,50,68
4:39,120,Anthony Cowan made Three Point Jumper.,50,71
4:09,-1,Isaiah Godwin missed Three Point Jumper.,50,71
4:09,120,Maryland Defensive Rebound.,50,71
3:48,120,Darryl Morsell Turnover.,50,71
3:46,-1,Jay Howard Steal.,50,71
3:42,120,Foul on Ivan Bender.,50,71
3:42,120,Official TV Timeout,50,71
3:42,-1,Riley Hayes made Free Throw.,51,71
3:42,-1,Riley Hayes made Free Throw.,52,71
3:29,120,Jared Nickens made Three Point Jumper. Assisted by Kevin Huerter.,52,74
3:09,-1,Jimmy Golaszewski Turnover.,52,74
3:08,120,Darryl Morsell Steal.,52,74
3:00,120,Anthony Cowan missed Three Point Jumper.,52,74
3:00,-1,Jimmy Golaszewski Defensive Rebound.,52,74
2:49,120,Foul on Ivan Bender.,52,74
2:49,-1,Jay Howard made Free Throw.,53,74
2:49,-1,Jay Howard missed Free Throw.,53,74
2:49,120,Joshua Tomaic Defensive Rebound.,53,74
2:23,120,Anthony Cowan Turnover.,53,74
2:23,-1,Andre Mitchell Steal.,53,74
2:23,120,Foul on Joshua Tomaic.,53,74
2:23,-1,Andre Mitchell made Free Throw.,54,74
2:23,-1,Andre Mitchell missed Free Throw.,54,74
2:23,120,Joshua Tomaic Defensive Rebound.,54,74
2:06,120,Darryl Morsell missed Three Point Jumper.,54,74
2:06,120,Anthony Cowan Offensive Rebound.,54,74
1:41,120,Anthony Cowan missed Three Point Jumper.,54,74
1:41,-1,Isaiah Godwin Defensive Rebound.,54,74
1:34,-1,Isaiah Godwin missed Layup.,54,74
1:34,120,Darryl Morsell Block.,54,74
1:33,120,Kevin Huerter Defensive Rebound.,54,74
1:31,-1,Foul on Andre Mitchell.,54,74
1:16,120,Andrew Terrell missed Three Point Jumper.,54,74
1:16,-1,Catholic University Dc Defensive Rebound.,54,74
0:54,-1,Jimmy Golaszewski made Three Point Jumper. Assisted by Jay Howard.,57,74
0:52,-1,Catholic University Dc  Timeout,57,74
0:47,-1,Foul on Bryan Easton.,57,74
0:47,120,Alex Tostado missed Free Throw.,57,74
0:47,-1,Bryan Easton Defensive Rebound.,57,74
0:38,-1,Riley Hayes missed Jumper.,57,74
0:38,120,Joshua Tomaic Defensive Rebound.,57,74
0:28,-1,Foul on Jimmy Golaszewski.,57,74
0:28,120,Reese Mona made Free Throw.,57,75
0:28,120,Reese Mona made Free Throw.,57,76
0:14,-1,Will Turner made Jumper. Assisted by Brandon Easton.,59,76
0:00,120,End of Game,59,76
