Coppin State,2378,UMBC,2154
8:15,2154,Foul on Chad Andrews-Fulton.,25,22
8:02,2378,Daniel Akin missed Layup.,25,22
8:02,2154,Cedric Council Jr. Defensive Rebound.,25,22
7:41,2154,Tre' Thomas missed Jumper.,25,22
7:41,2378,Daniel Akin Defensive Rebound.,25,22
7:26,2378,Official TV Timeout,25,22
7:13,2378,Joe Sherburne missed Three Point Jumper.,25,22
7:13,2378,Daniel Akin Offensive Rebound.,25,22
7:11,2154,Foul on Cedric Council Jr..,25,22
7:05,2378,Jairus Lyles missed Three Point Jumper.,25,22
7:05,2154,Keandre Fair Defensive Rebound.,25,22
6:42,2154,Cedric Council Jr. missed Jumper.,25,22
6:42,2154,Cedric Council Jr. Offensive Rebound.,25,22
6:39,2154,Cedric Council Jr. missed Layup.,25,22
6:39,2378,Arkel Lamar Defensive Rebound.,25,22
6:30,2378,Arkel Lamar made Three Point Jumper. Assisted by Jairus Lyles.,25,25
6:00,2154,Tre' Thomas Turnover.,25,25
5:57,2378,Arkel Lamar Steal.,25,25
5:55,2378,Arkel Lamar made Dunk.,25,27
5:55,2154,Coppin State  Timeout,25,27
5:36,2154,Cedric Council Jr. Turnover.,25,27
5:22,2378,Jairus Lyles missed Layup.,25,27
5:22,2154,Chad Andrews-Fulton Defensive Rebound.,25,27
5:13,2154,Karonn Davis missed Layup.,25,27
5:13,2378,K.J. Maura Defensive Rebound.,25,27
5:02,2378,Joe Sherburne made Three Point Jumper. Assisted by Arkel Lamar.,25,30
4:42,2154,Tre' Thomas missed Three Point Jumper.,25,30
4:42,2378,Arkel Lamar Defensive Rebound.,25,30
4:30,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,25,33
4:15,2154,Adam Traore Turnover.,25,33
3:57,2378,Joe Sherburne missed Three Point Jumper.,25,33
3:57,2378,Arkel Lamar Offensive Rebound.,25,33
3:45,2378,Arkel Lamar made Layup. Assisted by Nolan Gerrity.,25,35
3:27,2154,Chad Andrews-Fulton missed Layup.,25,35
3:27,2378,Nolan Gerrity Block.,25,35
3:25,2378,Arkel Lamar Defensive Rebound.,25,35
3:14,2378,Nolan Gerrity made Layup.,25,37
2:51,2154,Karonn Davis missed Layup.,25,37
2:51,2378,Nolan Gerrity Defensive Rebound.,25,37
2:43,2378,Jourdan Grant missed Three Point Jumper.,25,37
2:43,2378,K.J. Maura Offensive Rebound.,25,37
2:36,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,25,40
2:16,2154,Tre' Thomas made Jumper.,27,40
2:09,2154,Foul on Keandre Fair.,27,40
2:09,2378,Official TV Timeout,27,40
2:09,2378,Jourdan Grant missed Free Throw.,27,40
2:09,2378,UMBC Deadball Team Rebound.,27,40
2:09,2378,Jourdan Grant made Free Throw.,27,41
1:43,2154,Keandre Fair missed Three Point Jumper.,27,41
1:43,2378,Arkel Lamar Defensive Rebound.,27,41
1:35,2378,Jairus Lyles missed Three Point Jumper.,27,41
1:35,2154,Tre' Thomas Defensive Rebound.,27,41
1:27,2154,Tre' Thomas made Jumper.,29,41
1:01,2378,Arkel Lamar missed Three Point Jumper.,29,41
1:01,2154,Tre' Thomas Defensive Rebound.,29,41
0:51,2154,Cedric Council Jr. missed Layup.,29,41
0:51,2378,Nolan Gerrity Defensive Rebound.,29,41
0:43,2378,K.J. Maura Turnover.,29,41
0:43,2154,Cedric Council Jr. Steal.,29,41
0:43,2154,Adam Traore Turnover.,29,41
0:31,2154,Foul on Tre' Thomas.,29,41
0:31,2378,Jourdan Grant missed Free Throw.,29,41
0:31,2154,Lamar Morgan Defensive Rebound.,29,41
0:17,2154,Tre' Thomas Turnover.,29,41
0:17,2154,Foul on Tre' Thomas.,29,41
0:17,2378,Jairus Lyles made Free Throw.,29,42
0:17,2378,Jairus Lyles made Free Throw.,29,43
0:17,2154,Coppin State  Timeout,29,43
0:01,2154,Tre' Thomas missed Three Point Jumper.,29,43
0:01,2378,Jourdan Grant Defensive Rebound.,29,43
0:00,2378,End of 1st half,29,43
19:49,2154,Foul on Adam Traore.,29,43
19:38,2378,Jourdan Grant made Layup. Assisted by Joe Sherburne.,29,45
19:17,2154,Tre' Thomas missed Jumper.,29,45
19:17,2154,Cedric Council Jr. Offensive Rebound.,29,45
19:15,2378,Foul on Joe Sherburne.,29,45
19:15,2154,Cedric Council Jr. missed Free Throw.,29,45
19:15,2154,Coppin State Deadball Team Rebound.,29,45
19:15,2154,Cedric Council Jr. missed Free Throw.,29,45
19:15,2378,Arkel Lamar Defensive Rebound.,29,45
19:00,2378,Jourdan Grant made Three Point Jumper. Assisted by Nolan Gerrity.,29,48
18:34,2154,Lamar Morgan missed Three Point Jumper.,29,48
18:34,2378,Joe Sherburne Defensive Rebound.,29,48
18:19,2378,Arkel Lamar missed Three Point Jumper.,29,48
18:19,2154,Adam Traore Defensive Rebound.,29,48
18:02,2154,Adam Traore missed Layup.,29,48
18:02,2154,Adam Traore Offensive Rebound.,29,48
17:57,2154,Adam Traore made Two Point Tip Shot.,31,48
17:48,2378,Nolan Gerrity missed Layup.,31,48
17:48,2154,Adam Traore Defensive Rebound.,31,48
17:29,2378,Foul on K.J. Maura.,31,48
17:29,2154,Keandre Fair made Free Throw.,32,48
17:29,2154,Keandre Fair made Free Throw.,33,48
17:29,2154,Keandre Fair missed Free Throw.,33,48
17:29,2378,Arkel Lamar Defensive Rebound.,33,48
17:14,2378,Foul on Jourdan Grant.,33,48
17:14,2378,Jourdan Grant Turnover.,33,48
17:03,2154,Adam Traore made Layup.,35,48
16:56,2378,K.J. Maura Turnover.,35,48
16:40,2154,Adam Traore missed Three Point Jumper.,35,48
16:40,2378,Arkel Lamar Defensive Rebound.,35,48
16:36,2154,Foul on Chad Andrews-Fulton.,35,48
16:19,2378,K.J. Maura missed Three Point Jumper.,35,48
16:19,2154,Lamar Morgan Defensive Rebound.,35,48
16:11,2154,Tre' Thomas missed Three Point Jumper.,35,48
16:11,2378,Jourdan Grant Defensive Rebound.,35,48
16:02,2378,Jourdan Grant Turnover.,35,48
16:01,2154,Tre' Thomas Steal.,35,48
15:36,2154,Chad Andrews-Fulton made Layup. Assisted by Adam Traore.,37,48
15:21,2378,Joe Sherburne missed Three Point Jumper.,37,48
15:17,2378,K.J. Maura Offensive Rebound.,37,48
15:15,2154,Foul on Lamar Morgan.,37,48
15:15,2378,Official TV Timeout,37,48
15:11,2378,K.J. Maura Turnover.,37,48
15:09,2154,Tre' Thomas Steal.,37,48
15:01,2154,Lucian Brownlee made Three Point Jumper. Assisted by Karonn Davis.,40,48
14:36,2378,Joe Sherburne missed Three Point Jumper.,40,48
14:36,2378,Jairus Lyles Offensive Rebound.,40,48
14:24,2378,Joe Sherburne missed Layup.,40,48
14:24,2154,Karonn Davis Defensive Rebound.,40,48
14:17,2154,Lucian Brownlee made Three Point Jumper. Assisted by Karonn Davis.,43,48
14:08,2378,UMBC  Timeout,43,48
14:08,2378,Official TV Timeout,43,48
13:48,2378,Arkel Lamar Turnover.,43,48
13:48,2154,Lamar Morgan Steal.,43,48
13:48,2154,Coppin State  Timeout,43,48
13:32,2154,Karonn Davis missed Three Point Jumper.,43,48
13:32,2378,Jairus Lyles Defensive Rebound.,43,48
13:19,2378,Jairus Lyles made Three Point Jumper. Assisted by K.J. Maura.,43,51
13:06,2154,Foul on Adam Traore.,43,51
13:06,2154,Adam Traore Turnover.,43,51
12:46,2378,Jairus Lyles made Three Point Jumper. Assisted by Arkel Lamar.,43,54
12:13,2154,Lucian Brownlee missed Jumper.,43,54
12:13,2154,Karonn Davis Offensive Rebound.,43,54
12:08,2154,Karonn Davis made Layup.,45,54
11:54,2378,Nolan Gerrity missed Layup.,45,54
11:54,2378,Arkel Lamar Offensive Rebound.,45,54
11:41,2378,Arkel Lamar made Three Point Jumper. Assisted by K.J. Maura.,45,57
11:27,2378,Foul on Jairus Lyles.,45,57
11:27,2378,Official TV Timeout,45,57
11:27,2154,Adam Traore missed Free Throw.,45,57
11:27,2154,Coppin State Deadball Team Rebound.,45,57
11:27,2154,Adam Traore made Free Throw.,46,57
11:14,2378,Jourdan Grant Turnover.,46,57
11:12,2154,Lamar Morgan Steal.,46,57
11:11,2378,Foul on Arkel Lamar.,46,57
11:11,2154,Lamar Morgan missed Free Throw.,46,57
11:11,2154,Coppin State Deadball Team Rebound.,46,57
11:11,2154,Lamar Morgan made Free Throw.,47,57
10:56,2378,Brandon Horvath missed Three Point Jumper.,47,57
10:56,2154,Keandre Fair Defensive Rebound.,47,57
10:32,2154,Keandre Fair missed Three Point Jumper.,47,57
10:32,2378,Brandon Horvath Defensive Rebound.,47,57
10:17,2378,Jairus Lyles missed Three Point Jumper.,47,57
10:17,2154,Adam Traore Defensive Rebound.,47,57
9:52,2154,Karonn Davis made Three Point Jumper.,50,57
9:36,2378,Arkel Lamar Turnover.,50,57
9:35,2154,Keandre Fair Steal.,50,57
9:30,2154,Adam Traore missed Layup.,50,57
9:30,2154,Adam Traore Offensive Rebound.,50,57
9:26,2154,Adam Traore made Layup.,52,57
9:02,2378,Jourdan Grant missed Jumper.,52,57
9:02,2378,Jourdan Grant Offensive Rebound.,52,57
8:59,2378,Jourdan Grant missed Layup.,52,57
8:59,2378,Brandon Horvath Offensive Rebound.,52,57
8:59,2154,Foul on Lamar Morgan.,52,57
8:59,2378,Brandon Horvath made Free Throw.,52,58
8:59,2378,Brandon Horvath missed Free Throw.,52,58
8:59,2154,Lamar Morgan Defensive Rebound.,52,58
8:41,2154,Tre' Thomas missed Three Point Jumper.,52,58
8:41,2378,Jourdan Grant Defensive Rebound.,52,58
8:15,2378,Jairus Lyles made Layup.,52,60
7:45,2378,Foul on Daniel Akin.,52,60
7:45,2378,Official TV Timeout,52,60
7:45,2154,Karonn Davis missed Free Throw.,52,60
7:45,2154,Coppin State Deadball Team Rebound.,52,60
7:45,2154,Karonn Davis made Free Throw.,53,60
7:31,2378,Joe Sherburne Turnover.,53,60
7:20,2154,Adam Traore missed Layup.,53,60
7:20,2378,Jairus Lyles Defensive Rebound.,53,60
7:00,2378,Jourdan Grant missed Three Point Jumper.,53,60
7:00,2378,UMBC Offensive Rebound.,53,60
6:56,2154,Foul on Lamar Morgan.,53,60
6:52,2378,Jairus Lyles Turnover.,53,60
6:50,2154,Tre' Thomas Steal.,53,60
6:48,2154,Karonn Davis made Layup. Assisted by Tre' Thomas.,55,60
6:33,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,55,63
6:13,2154,Lamar Morgan made Three Point Jumper. Assisted by Karonn Davis.,58,63
5:56,2378,Daniel Akin missed Layup.,58,63
5:56,2154,Karonn Davis Defensive Rebound.,58,63
5:34,2154,Karonn Davis missed Three Point Jumper.,58,63
5:34,2154,Adam Traore Offensive Rebound.,58,63
5:04,2154,Karonn Davis made Jumper.,60,63
4:40,2378,Jairus Lyles made Three Point Jumper. Assisted by K.J. Maura.,60,66
4:14,2154,Tre' Thomas missed Jumper.,60,66
4:14,2378,K.J. Maura Defensive Rebound.,60,66
3:52,2154,Foul on Chad Andrews-Fulton.,60,66
3:52,2378,Official TV Timeout,60,66
3:52,2378,Jairus Lyles made Free Throw.,60,67
3:52,2378,Jairus Lyles made Free Throw.,60,68
3:41,2154,Lamar Morgan missed Three Point Jumper.,60,68
3:41,2378,K.J. Maura Defensive Rebound.,60,68
3:27,2378,Jairus Lyles Turnover.,60,68
3:27,2154,Karonn Davis Steal.,60,68
3:16,2154,Karonn Davis made Jumper.,62,68
2:54,2154,Foul on Adam Traore.,62,68
2:54,2378,Jairus Lyles missed Free Throw.,62,68
2:54,2154,Lamar Morgan Defensive Rebound.,62,68
2:39,2154,Cedric Council Jr. made Dunk. Assisted by Adam Traore.,64,68
2:21,2378,Joe Sherburne made Three Point Jumper. Assisted by Arkel Lamar.,64,71
1:49,2154,Karonn Davis Turnover.,64,71
1:47,2378,K.J. Maura Steal.,64,71
1:43,2154,Foul on Tre' Thomas.,64,71
1:43,2378,Jairus Lyles made Free Throw.,64,72
1:43,2378,Jairus Lyles made Free Throw.,64,73
1:29,2154,Adam Traore Turnover.,64,73
1:29,2378,K.J. Maura Steal.,64,73
1:28,2154,Foul on Adam Traore.,64,73
1:28,2378,K.J. Maura made Free Throw.,64,74
1:28,2378,K.J. Maura made Free Throw.,64,75
1:14,2154,Tre' Thomas missed Layup.,64,75
1:14,2378,Arkel Lamar Block.,64,75
1:12,2154,Adam Traore Offensive Rebound.,64,75
1:11,2154,Adam Traore made Layup.,66,75
1:05,2378,Arkel Lamar missed Dunk.,66,75
1:05,2154,Coppin State Defensive Rebound.,66,75
0:53,2154,Foul on Tre' Thomas.,66,75
0:53,2154,Tre' Thomas Turnover.,66,75
0:48,2154,Foul on Karonn Davis.,66,75
0:48,2378,K.J. Maura made Free Throw.,66,76
0:48,2378,K.J. Maura made Free Throw.,66,77
0:41,2154,Adam Traore made Layup.,68,77
0:40,2154,Foul on Karonn Davis.,68,77
0:40,2378,Jairus Lyles made Free Throw.,68,78
0:40,2378,Jairus Lyles missed Free Throw.,68,78
0:40,2154,Lamar Morgan Defensive Rebound.,68,78
0:33,2154,Karonn Davis made Layup.,70,78
0:33,2378,Foul on Jourdan Grant.,70,78
0:33,2154,Karonn Davis made Free Throw.,71,78
0:31,2154,Foul on Adam Traore.,71,78
0:31,2378,Jourdan Grant made Free Throw.,71,79
0:31,2378,Jourdan Grant missed Free Throw.,71,79
0:31,2154,Lamar Morgan Defensive Rebound.,71,79
0:24,2154,Karonn Davis made Three Point Jumper. Assisted by Lamar Morgan.,74,79
0:21,2154,Coppin State  Timeout,74,79
0:18,2154,Foul on Lucian Brownlee.,74,79
0:18,2378,K.J. Maura made Free Throw.,74,80
0:18,2378,K.J. Maura made Free Throw.,74,81
0:10,2154,Lamar Morgan missed Three Point Jumper.,74,81
0:10,2378,Jourdan Grant Defensive Rebound.,74,81
0:00,2378,End of Game,74,81
