Fisk,Error,Alcorn State,2016
19:45,-1,Ryainni Scott Turnover.,33,29
19:44,2016,Avery Patterson Steal.,33,29
19:27,2016,Dante Sterling made Layup. Assisted by Avery Patterson.,33,31
19:27,-1,Foul on Montreal Nabors.,33,31
19:27,2016,Dante Sterling missed Free Throw.,33,31
19:27,-1,Fisk Defensive Rebound.,33,31
19:27,2016,Foul on Avery Patterson.,33,31
19:11,-1,El Paso Pitts made Layup.,35,31
18:52,2016,Dante Sterling made Jumper.,35,33
18:31,-1,Montreal Nabors missed Three Point Jumper.,35,33
18:31,2016,Alcorn State Defensive Rebound.,35,33
18:17,2016,Dante Sterling Turnover.,35,33
18:15,-1,El Paso Pitts Steal.,35,33
17:50,-1,Tyran Davis Turnover.,35,33
17:49,2016,Dante Sterling Steal.,35,33
17:47,2016,Dante Sterling made Layup.,35,35
17:25,-1,Victor Alston missed Three Point Jumper.,35,35
17:25,2016,Tyler Carter Defensive Rebound.,35,35
16:58,2016,A.J. Mosby made Three Point Jumper. Assisted by Dante Sterling.,35,38
16:29,-1,Victor Alston made Three Point Jumper. Assisted by Ryainni Scott.,38,38
16:18,2016,Dante Sterling missed Three Point Jumper.,38,38
16:18,-1,Montreal Nabors Defensive Rebound.,38,38
16:08,2016,Foul on Maurice Howard.,38,38
16:00,-1,Tyran Davis made Jumper.,40,38
15:54,-1,Foul on Victor Alston.,40,38
15:54,2016,Official TV Timeout,40,38
15:54,2016,Maurice Howard missed Free Throw.,40,38
15:54,2016,Alcorn State Deadball Team Rebound.,40,38
15:54,2016,Maurice Howard made Free Throw.,40,39
15:26,-1,El Paso Pitts missed Three Point Jumper.,40,39
15:26,2016,A.J. Mosby Defensive Rebound.,40,39
15:16,2016,Tyler Carter missed Layup.,40,39
15:16,-1,Ryainni Scott Block.,40,39
15:12,-1,Ryainni Scott Defensive Rebound.,40,39
14:59,-1,El Paso Pitts missed Three Point Jumper.,40,39
14:59,2016,Troymain Crosby Defensive Rebound.,40,39
14:44,2016,A.J. Mosby made Layup. Assisted by Maurice Howard.,40,41
14:26,-1,Tyran Davis missed Layup.,40,41
14:26,2016,Tyler Carter Defensive Rebound.,40,41
14:19,2016,A.J. Mosby made Jumper.,40,43
14:03,-1,El Paso Pitts missed Three Point Jumper.,40,43
14:03,2016,Troymain Crosby Defensive Rebound.,40,43
13:56,2016,A.J. Mosby made Layup.,40,45
13:53,2016,Official TV Timeout,40,45
13:53,-1,Fisk  Timeout,40,45
13:32,-1,Joshua Madison made Layup. Assisted by Ryainni Scott.,42,45
13:32,2016,Foul on Yalen Reed.,42,45
13:32,-1,Joshua Madison made Free Throw.,43,45
13:21,2016,Yalen Reed made Jumper. Assisted by Maurice Howard.,43,47
13:01,-1,Addison Miller missed Three Point Jumper.,43,47
13:01,2016,Troymain Crosby Defensive Rebound.,43,47
12:56,2016,A.J. Mosby made Layup. Assisted by Troymain Crosby.,43,49
12:42,-1,Addison Miller Turnover.,43,49
12:41,2016,Troymain Crosby Steal.,43,49
12:37,2016,Yalen Reed missed Layup.,43,49
12:37,-1,Ryainni Scott Defensive Rebound.,43,49
12:20,-1,Ryainni Scott missed Layup.,43,49
12:20,2016,TyQuaylon Smith Defensive Rebound.,43,49
12:19,-1,Foul on Joshua Madison.,43,49
12:07,2016,Troymain Crosby made Three Point Jumper. Assisted by A.J. Mosby.,43,52
11:54,-1,Addison Miller missed Three Point Jumper.,43,52
11:54,-1,Ryainni Scott Offensive Rebound.,43,52
11:49,-1,Ryainni Scott made Two Point Tip Shot.,45,52
11:44,2016,Yalen Reed made Layup.,45,54
11:29,-1,Addison Miller Turnover.,45,54
11:28,2016,Troymain Crosby Steal.,45,54
11:26,-1,Foul on Ryainni Scott.,45,54
11:26,2016,Official TV Timeout,45,54
11:25,2016,Maurice Howard missed Three Point Jumper.,45,54
11:25,-1,Joshua Madison Defensive Rebound.,45,54
11:09,-1,Victor Alston missed Three Point Jumper.,45,54
11:09,2016,Maurice Howard Defensive Rebound.,45,54
10:53,2016,Troymain Crosby Turnover.,45,54
10:52,-1,Addison Miller Steal.,45,54
10:44,-1,Ryainni Scott missed Layup.,45,54
10:44,2016,A.J. Mosby Defensive Rebound.,45,54
10:35,2016,Troymain Crosby made Jumper. Assisted by A.J. Mosby.,45,56
10:07,-1,Ryainni Scott Turnover.,45,56
10:06,2016,Maurice Howard Steal.,45,56
10:03,2016,A.J. Mosby missed Three Point Jumper.,45,56
10:03,2016,Yalen Reed Offensive Rebound.,45,56
9:58,2016,Yalen Reed missed Jumper.,45,56
9:58,-1,Tyran Davis Defensive Rebound.,45,56
9:53,-1,Tyran Davis Turnover.,45,56
9:35,2016,Maurice Howard missed Three Point Jumper.,45,56
9:35,-1,Tyran Davis Defensive Rebound.,45,56
9:18,-1,Addison Miller Turnover.,45,56
9:17,2016,Maurice Howard Steal.,45,56
9:10,2016,Maurice Howard Turnover.,45,56
8:49,-1,Joshua Madison missed Layup.,45,56
8:49,2016,Troymain Crosby Defensive Rebound.,45,56
8:31,2016,Troymain Crosby made Layup.,45,58
8:13,-1,Victor Alston Turnover.,45,58
8:13,-1,Foul on Victor Alston.,45,58
7:56,2016,Avery Patterson made Three Point Jumper. Assisted by Maurice Howard.,45,61
7:32,-1,Joshua Madison made Layup.,47,61
7:03,2016,Dante Sterling Turnover.,47,61
7:03,2016,Official TV Timeout,47,61
6:53,-1,Victor Alston made Three Point Jumper. Assisted by David Patton.,50,61
6:31,2016,Maurice Howard missed Three Point Jumper.,50,61
6:31,2016,Yalen Reed Offensive Rebound.,50,61
6:14,2016,Tyler Carter made Layup. Assisted by Yalen Reed.,50,63
5:54,-1,Joshua Madison made Jumper.,52,63
5:40,2016,Avery Patterson missed Jumper.,52,63
5:40,2016,Yalen Reed Offensive Rebound.,52,63
5:35,2016,Yalen Reed made Layup.,52,65
5:27,-1,Montreal Nabors Turnover.,52,65
5:07,2016,Tyler Carter missed Layup.,52,65
5:07,-1,Joshua Madison Block.,52,65
5:07,2016,Alcorn State Offensive Rebound.,52,65
5:06,2016,Dante Sterling made Three Point Jumper. Assisted by Avery Patterson.,52,68
4:46,-1,Victor Alston missed Three Point Jumper.,52,68
4:46,2016,Avery Patterson Defensive Rebound.,52,68
4:25,2016,Dante Sterling missed Three Point Jumper.,52,68
4:25,-1,Ryainni Scott Defensive Rebound.,52,68
4:15,2016,Foul on Troymain Crosby.,52,68
4:15,-1,Ryainni Scott made Free Throw.,53,68
4:15,-1,Ryainni Scott made Free Throw.,54,68
3:51,2016,Troymain Crosby made Layup. Assisted by Maurice Howard.,54,70
3:36,2016,Foul on Troymain Crosby.,54,70
3:36,2016,Official TV Timeout,54,70
3:32,-1,David Patton made Jumper.,56,70
3:19,2016,Maurice Howard missed Three Point Jumper.,56,70
3:19,-1,Fisk Defensive Rebound.,56,70
3:01,-1,Ryainni Scott made Layup.,58,70
3:00,2016,Foul on A.J. Mosby.,58,70
3:00,-1,Ryainni Scott made Free Throw.,59,70
2:43,2016,A.J. Mosby made Layup.,59,72
2:35,2016,Foul on Troymain Crosby.,59,72
2:35,-1,Joshua Madison missed Free Throw.,59,72
2:35,2016,Devon Brewer Defensive Rebound.,59,72
2:28,-1,Foul on Ryainni Scott.,59,72
2:10,2016,Dante Sterling Turnover.,59,72
2:09,-1,Victor Alston Steal.,59,72
2:06,-1,Victor Alston made Layup.,61,72
2:03,-1,Fisk  Timeout,61,72
1:50,-1,Foul on Ryainni Scott.,61,72
1:50,2016,Devon Brewer missed Free Throw.,61,72
1:50,2016,Alcorn State Deadball Team Rebound.,61,72
1:50,2016,Devon Brewer missed Free Throw.,61,72
1:50,-1,Joshua Madison Defensive Rebound.,61,72
1:43,-1,Victor Alston made Three Point Jumper. Assisted by Montreal Nabors.,64,72
1:12,2016,A.J. Mosby missed Jumper.,64,72
1:12,-1,Ryainni Scott Defensive Rebound.,64,72
1:02,-1,Montreal Nabors missed Three Point Jumper.,64,72
1:02,2016,A.J. Mosby Defensive Rebound.,64,72
0:38,-1,Foul on Victor Alston.,64,72
0:38,2016,Dante Sterling missed Free Throw.,64,72
0:38,2016,Alcorn State Deadball Team Rebound.,64,72
0:38,2016,Dante Sterling made Free Throw.,64,73
0:32,-1,Victor Alston missed Three Point Jumper.,64,73
0:32,2016,Devon Brewer Defensive Rebound.,64,73
0:22,-1,Foul on Montreal Nabors.,64,73
0:22,2016,Maurice Howard made Free Throw.,64,74
0:22,2016,Maurice Howard made Free Throw.,64,75
0:16,-1,Joshua Madison made Layup.,66,75
0:16,2016,Foul on Troymain Crosby.,66,75
0:16,-1,Joshua Madison made Free Throw.,67,75
0:14,-1,Foul on Malik Yant.,67,75
0:14,2016,A.J. Mosby made Free Throw.,67,76
0:14,2016,A.J. Mosby made Free Throw.,67,77
0:05,-1,Joshua Madison missed Layup.,67,77
0:05,-1,Ryainni Scott Offensive Rebound.,67,77
0:01,-1,Ryainni Scott made Layup.,69,77
0:00,2016,End of Game,69,77
