Fordham,164,Rutgers,2230
3:22,164,Candido Sa made Layup. Assisted by Geo Baker.,26,30
2:55,2230,Perris Hicks made Layup.,28,30
2:40,164,Candido Sa made Jumper.,28,32
2:00,2230,Fordham  Turnover.,28,32
1:49,164,Foul on Corey Sanders.,28,32
1:49,164,Corey Sanders Turnover.,28,32
1:18,2230,Fordham  Turnover.,28,32
1:08,164,Issa Thiam made Dunk. Assisted by Eugene Omoruyi.,28,34
0:53,2230,Ivan Raut missed Three Point Jumper.,28,34
0:53,164,Corey Sanders Defensive Rebound.,28,34
0:42,164,Corey Sanders made Jumper.,28,36
0:10,2230,Joseph Chartouny missed Layup.,28,36
0:10,164,Candido Sa Block.,28,36
0:10,2230,Fordham Offensive Rebound.,28,36
0:06,164,Rutgers  Timeout,28,36
0:03,2230,Fordham  Turnover.,28,36
0:00,164,End of 1st half,28,36
20:00,2230,Jump Ball won by Fordham,28,36
19:52,2230,Ivan Raut missed Jumper.,28,36
19:52,164,Deshawn Freeman Block.,28,36
19:52,164,Mamadou Doucoure Defensive Rebound.,28,36
19:42,164,Geo Baker missed Three Point Jumper.,28,36
19:42,164,Deshawn Freeman Offensive Rebound.,28,36
19:37,164,Deshawn Freeman made Layup.,28,38
19:14,2230,Will Tavares Turnover.,28,38
19:09,164,Corey Sanders made Jumper.,28,40
18:46,164,Foul on Mamadou Doucoure.,28,40
18:46,2230,David Pekarek made Three Point Jumper. Assisted by Joseph Chartouny.,31,40
18:41,2230,Fordham  Timeout,31,40
18:34,164,Mamadou Doucoure missed Jumper.,31,40
18:34,2230,Joseph Chartouny Defensive Rebound.,31,40
18:09,2230,David Pekarek missed Three Point Jumper.,31,40
18:09,164,Issa Thiam Defensive Rebound.,31,40
17:50,164,Eugene Omoruyi made Layup. Assisted by Deshawn Freeman.,31,42
17:31,164,Foul on Corey Sanders.,31,42
17:31,2230,Joseph Chartouny missed Free Throw.,31,42
17:31,2230,Fordham Deadball Team Rebound.,31,42
17:31,2230,Joseph Chartouny made Free Throw.,32,42
17:14,2230,Foul on David Pekarek.,32,42
17:08,164,Corey Sanders missed Three Point Jumper.,32,42
17:08,2230,Ivan Raut Defensive Rebound.,32,42
16:58,2230,Joseph Chartouny made Layup.,34,42
16:46,164,Eugene Omoruyi missed Jumper.,34,42
16:46,2230,Joseph Chartouny Block.,34,42
16:46,2230,David Pekarek Defensive Rebound.,34,42
16:17,2230,Perris Hicks missed Jumper.,34,42
16:17,164,Eugene Omoruyi Defensive Rebound.,34,42
16:01,164,Corey Sanders made Three Point Jumper. Assisted by Issa Thiam.,34,45
15:55,164,Rutgers  Timeout,34,45
15:55,164,Official TV Timeout,34,45
15:46,2230,Ivan Raut missed Three Point Jumper.,34,45
15:46,164,Deshawn Freeman Defensive Rebound.,34,45
15:24,164,Eugene Omoruyi missed Jumper.,34,45
15:24,2230,Joseph Chartouny Defensive Rebound.,34,45
15:06,2230,Ivan Raut Turnover.,34,45
15:06,164,Geo Baker Steal.,34,45
14:56,164,Corey Sanders missed Dunk.,34,45
14:56,164,Geo Baker Offensive Rebound.,34,45
14:56,164,Geo Baker made Two Point Tip Shot.,34,47
14:43,2230,Tre Evans made Layup.,36,47
14:30,164,Issa Thiam missed Jumper.,36,47
14:30,164,Deshawn Freeman Offensive Rebound.,36,47
14:16,2230,Foul on Tre Evans.,36,47
14:12,164,Candido Sa Turnover.,36,47
14:12,2230,Ivan Raut Steal.,36,47
14:01,164,Foul on Geo Baker.,36,47
14:00,2230,Will Tavares made Layup. Assisted by Joseph Chartouny.,38,47
13:48,164,Mike Williams made Layup. Assisted by Corey Sanders.,38,49
13:35,2230,Will Tavares missed Jumper.,38,49
13:35,164,Deshawn Freeman Block.,38,49
13:35,164,Corey Sanders Defensive Rebound.,38,49
13:15,2230,Foul on Ivan Raut.,38,49
13:15,164,Geo Baker Turnover.,38,49
13:15,2230,Will Tavares Steal.,38,49
13:15,2230,Will Tavares Turnover.,38,49
13:15,164,Corey Sanders Steal.,38,49
13:05,2230,Foul on Tre Evans.,38,49
12:55,164,Mike Williams made Layup. Assisted by Corey Sanders.,38,51
12:35,2230,Ivan Raut Turnover.,38,51
12:35,164,Candido Sa Steal.,38,51
12:32,164,Mike Williams Turnover.,38,51
12:09,2230,Joseph Chartouny Turnover.,38,51
11:51,164,Mike Williams missed Jumper.,38,51
11:51,2230,Joseph Chartouny Defensive Rebound.,38,51
11:41,164,Official TV Timeout,38,51
11:32,2230,Will Tavares missed Three Point Jumper.,38,51
11:32,164,Eugene Omoruyi Defensive Rebound.,38,51
11:24,164,Mike Williams missed Three Point Jumper.,38,51
11:24,164,Eugene Omoruyi Offensive Rebound.,38,51
11:10,164,Eugene Omoruyi missed Layup.,38,51
11:10,2230,David Pekarek Defensive Rebound.,38,51
10:58,2230,Perris Hicks made Three Point Jumper.,41,51
10:46,164,Geo Baker made Jumper.,41,53
10:28,2230,Perris Hicks made Jumper.,43,53
10:17,164,Geo Baker missed Jumper.,43,53
10:17,2230,Perris Hicks Defensive Rebound.,43,53
10:00,2230,David Pekarek Turnover.,43,53
10:00,164,Corey Sanders Steal.,43,53
9:53,164,Mike Williams made Layup. Assisted by Corey Sanders.,43,55
9:38,2230,Tre Evans missed Jumper.,43,55
9:38,164,Geo Baker Defensive Rebound.,43,55
9:30,2230,Foul on Tre Evans.,43,55
9:25,164,Issa Thiam made Jumper.,43,57
9:25,2230,Foul on Joseph Chartouny.,43,57
9:25,164,Issa Thiam missed Free Throw.,43,57
9:25,2230,Ivan Raut Defensive Rebound.,43,57
9:19,2230,Perris Hicks missed Three Point Jumper.,43,57
9:19,164,Mike Williams Defensive Rebound.,43,57
9:11,164,Corey Sanders missed Jumper.,43,57
9:11,164,Mamadou Doucoure Offensive Rebound.,43,57
9:11,164,Mamadou Doucoure made Two Point Tip Shot.,43,59
8:50,164,Foul on Corey Sanders.,43,59
8:49,2230,Will Tavares missed Jumper.,43,59
8:49,164,Issa Thiam Defensive Rebound.,43,59
8:33,2230,Foul on Will Tavares.,43,59
8:33,164,Geo Baker made Free Throw.,43,60
8:33,164,Geo Baker made Free Throw.,43,61
8:18,2230,Ivan Raut missed Three Point Jumper.,43,61
8:18,164,Mike Williams Defensive Rebound.,43,61
8:04,164,Mamadou Doucoure missed Jumper.,43,61
8:04,2230,Fordham Defensive Rebound.,43,61
7:57,164,Official TV Timeout,43,61
7:49,2230,Ivan Raut missed Three Point Jumper.,43,61
7:49,164,Mike Williams Defensive Rebound.,43,61
7:37,164,Geo Baker missed Jumper.,43,61
7:37,2230,Will Tavares Block.,43,61
7:37,2230,Ivan Raut Defensive Rebound.,43,61
7:29,2230,Joseph Chartouny Turnover.,43,61
7:29,164,Eugene Omoruyi Steal.,43,61
7:20,2230,Foul on Ivan Raut.,43,61
7:20,164,Geo Baker missed Free Throw.,43,61
7:20,2230,Tre Evans Defensive Rebound.,43,61
7:05,2230,Perris Hicks Turnover.,43,61
7:05,164,Geo Baker Steal.,43,61
7:01,164,Geo Baker made Dunk. Assisted by Mike Williams.,43,63
6:35,2230,Joseph Chartouny missed Layup.,43,63
6:35,164,Eugene Omoruyi Defensive Rebound.,43,63
6:21,164,Mike Williams made Jumper.,43,65
6:04,2230,Perris Hicks made Three Point Jumper. Assisted by Joseph Chartouny.,46,65
5:43,164,Geo Baker missed Jumper.,46,65
5:43,2230,Joseph Chartouny Defensive Rebound.,46,65
5:36,2230,Ivan Raut made Three Point Jumper. Assisted by Joseph Chartouny.,49,65
5:25,164,Rutgers  Timeout,49,65
5:10,164,Corey Sanders Turnover.,49,65
4:56,2230,Will Tavares made Three Point Jumper.,52,65
4:30,2230,Foul on Ivan Raut.,52,65
4:30,164,Deshawn Freeman missed Free Throw.,52,65
4:30,164,Candido Sa Offensive Rebound.,52,65
4:30,164,Candido Sa Turnover.,52,65
4:30,2230,Will Tavares Steal.,52,65
4:22,2230,Ivan Raut made Layup. Assisted by Will Tavares.,54,65
4:12,164,Corey Sanders Turnover.,54,65
4:12,2230,Perris Hicks Steal.,54,65
4:06,164,Foul on Corey Sanders.,54,65
4:05,2230,Joseph Chartouny missed Three Point Jumper.,54,65
4:05,164,Corey Sanders Block.,54,65
4:05,2230,Fordham Offensive Rebound.,54,65
4:00,164,Official TV Timeout,54,65
3:59,164,Official TV Timeout,54,65
3:44,2230,Will Tavares made Layup.,56,65
3:15,164,Eugene Omoruyi missed Jumper.,56,65
3:15,2230,Joseph Chartouny Block.,56,65
3:15,164,Mike Williams Offensive Rebound.,56,65
3:05,164,Mike Williams made Layup.,56,67
2:58,2230,Will Tavares missed Three Point Jumper.,56,67
2:58,164,Deshawn Freeman Defensive Rebound.,56,67
2:53,164,Corey Sanders made Layup.,56,69
2:53,2230,Foul on Will Tavares.,56,69
2:53,164,Corey Sanders made Free Throw.,56,70
2:49,2230,Joseph Chartouny made Layup. Assisted by Ivan Raut.,58,70
2:42,2230,Fordham  Timeout,58,70
2:32,164,Deshawn Freeman missed Jumper.,58,70
2:32,164,Deshawn Freeman Offensive Rebound.,58,70
2:26,164,Deshawn Freeman missed Layup.,58,70
2:26,2230,Fordham Defensive Rebound.,58,70
2:12,2230,Joseph Chartouny missed Layup.,58,70
2:12,164,Deshawn Freeman Defensive Rebound.,58,70
1:58,164,Issa Thiam made Dunk. Assisted by Mike Williams.,58,72
1:47,164,Foul on Corey Sanders.,58,72
1:43,2230,Joseph Chartouny Turnover.,58,72
1:26,2230,Foul on Perris Hicks.,58,72
1:26,164,Deshawn Freeman missed Free Throw.,58,72
1:26,164,Rutgers Deadball Team Rebound.,58,72
1:26,164,Deshawn Freeman made Free Throw.,58,73
1:10,2230,Joseph Chartouny made Layup.,60,73
0:47,164,Issa Thiam made Layup.,60,75
0:28,2230,Will Tavares made Three Point Jumper.,63,75
0:00,164,End of Game,63,75
