Kentucky Christian,Error,Morehead St,2413
19:47,2413,Malek Green missed Jumper.,28,39
19:47,-1,Hayden Dunn Defensive Rebound.,28,39
19:23,-1,Brandon Barnes missed Three Point Jumper.,28,39
19:23,2413,Morehead State Defensive Rebound.,28,39
19:12,2413,Djimon Henson missed Three Point Jumper.,28,39
19:12,2413,Jordan Walker Offensive Rebound.,28,39
19:09,2413,Jordan Walker missed Jumper.,28,39
19:09,-1,Cole Gilliland Defensive Rebound.,28,39
19:01,-1,Foul on Cole Gilliland.,28,39
19:01,-1,Cole Gilliland Turnover.,28,39
18:58,2413,Londell King made Layup.,28,41
18:23,-1,Hayden Dunn missed Jumper.,28,41
18:23,-1,Hayden Dunn Offensive Rebound.,28,41
18:19,-1,Owens Crawford missed Three Point Jumper.,28,41
18:19,2413,Djimon Henson Defensive Rebound.,28,41
18:02,2413,De'Von Cooper made Three Point Jumper. Assisted by Malek Green.,28,44
17:49,2413,Foul on Djimon Henson.,28,44
17:36,-1,Brandon Barnes missed Jumper.,28,44
17:36,2413,Djimon Henson Block.,28,44
17:32,-1,Hayden Dunn Offensive Rebound.,28,44
17:27,-1,Brandon Barnes made Layup. Assisted by Hayden Dunn.,30,44
17:20,2413,De'Von Cooper Turnover.,30,44
17:18,-1,Kentucky Christian  Timeout,30,44
17:18,2413,Official TV Timeout,30,44
17:16,-1,Hayden Dunn Turnover.,30,44
17:16,2413,Jordan Walker Steal.,30,44
17:16,2413,Jordan Walker Turnover.,30,44
17:15,-1,Cole Gilliland made Layup. Assisted by Chase Porter.,32,44
16:55,2413,Malek Green made Layup.,32,46
16:39,-1,Owens Crawford Turnover.,32,46
16:39,2413,Jordan Walker Steal.,32,46
16:13,2413,Londell King made Dunk. Assisted by Jordan Walker.,32,48
15:47,-1,Hayden Dunn made Three Point Jumper. Assisted by Owens Crawford.,35,48
15:38,2413,Djimon Henson Turnover.,35,48
15:36,-1,Hayden Dunn Steal.,35,48
15:28,-1,Owens Crawford missed Three Point Jumper.,35,48
15:28,2413,Malek Green Defensive Rebound.,35,48
15:18,-1,Foul on Owens Crawford.,35,48
15:18,2413,Official TV Timeout,35,48
15:18,2413,Jordan Walker made Free Throw.,35,49
15:18,2413,Jordan Walker made Free Throw.,35,50
15:05,-1,Chase Porter made Jumper.,37,50
14:42,2413,Djimon Henson missed Three Point Jumper.,37,50
14:42,2413,Londell King Offensive Rebound.,37,50
14:38,2413,Londell King made Layup.,37,52
14:15,-1,Brandon Barnes missed Three Point Jumper.,37,52
14:15,-1,Cole Gilliland Offensive Rebound.,37,52
14:14,-1,Foul on Cole Gilliland.,37,52
14:14,-1,Cole Gilliland Turnover.,37,52
14:04,2413,De'Von Cooper made Three Point Jumper. Assisted by Lamontray Harris.,37,55
13:51,-1,Hayden Dunn Turnover.,37,55
13:43,2413,De'Von Cooper made Three Point Jumper.,37,58
13:35,2413,Foul on De'Von Cooper.,37,58
13:14,-1,Chase Porter Turnover.,37,58
13:00,-1,Foul on Cole Gilliland.,37,58
12:58,2413,Djimon Henson missed Three Point Jumper.,37,58
12:58,-1,Chase Porter Defensive Rebound.,37,58
12:43,-1,Hayden Dunn missed Three Point Jumper.,37,58
12:43,2413,Alonzo Chatman Defensive Rebound.,37,58
12:34,2413,Djimon Henson made Layup.,37,60
12:20,-1,Cole Gilliland made Three Point Jumper. Assisted by Chase Porter.,40,60
12:01,-1,Foul on Hayden Dunn.,40,60
11:57,-1,Foul on Hayden Dunn.,40,60
11:57,2413,Official TV Timeout,40,60
11:53,2413,A.J. Hicks missed Layup.,40,60
11:53,-1,Matthew Lee Defensive Rebound.,40,60
11:37,-1,Chase Porter missed Jumper.,40,60
11:37,-1,Trenton Walker Offensive Rebound.,40,60
11:36,2413,Foul on Alonzo Chatman.,40,60
11:35,-1,Chase Porter missed Jumper.,40,60
11:35,2413,Trell Thompson Defensive Rebound.,40,60
11:14,2413,Lamontray Harris missed Three Point Jumper.,40,60
11:14,-1,Cole Gilliland Defensive Rebound.,40,60
11:13,2413,Foul on Alonzo Chatman.,40,60
11:07,-1,Chase Porter Turnover.,40,60
10:51,2413,Trell Thompson made Three Point Jumper. Assisted by A.J. Hicks.,40,63
10:21,-1,Chase Porter missed Layup.,40,63
10:21,2413,Malek Green Defensive Rebound.,40,63
10:10,2413,Trell Thompson missed Three Point Jumper.,40,63
10:10,-1,Trenton Walker Defensive Rebound.,40,63
10:03,2413,Foul on Lamontray Harris.,40,63
10:03,-1,Connor Maddox made Free Throw.,41,63
10:03,-1,Connor Maddox made Free Throw.,42,63
9:36,2413,Jordan Walker missed Three Point Jumper.,42,63
9:36,2413,Malek Green Offensive Rebound.,42,63
9:27,2413,Trell Thompson missed Three Point Jumper.,42,63
9:27,-1,Kentucky Christian Defensive Rebound.,42,63
9:11,-1,Connor Maddox made Three Point Jumper. Assisted by Brandon Barnes.,45,63
8:54,2413,Malek Green missed Jumper.,45,63
8:54,2413,Londell King Offensive Rebound.,45,63
8:43,2413,Richard Feagin Turnover.,45,63
8:29,-1,Connor Maddox missed Three Point Jumper.,45,63
8:29,2413,Londell King Defensive Rebound.,45,63
8:29,-1,Foul on Cole Gilliland.,45,63
8:29,2413,Londell King made Free Throw.,45,64
8:29,2413,Londell King made Free Throw.,45,65
8:19,-1,Brandon Barnes made Three Point Jumper.,48,65
7:55,2413,Londell King missed Layup.,48,65
7:55,2413,Londell King Offensive Rebound.,48,65
7:52,2413,Londell King made Layup.,48,67
7:32,-1,Trenton Walker missed Three Point Jumper.,48,67
7:32,2413,Londell King Block.,48,67
7:30,2413,Jordan Walker Defensive Rebound.,48,67
7:26,2413,Richard Feagin missed Layup.,48,67
7:26,-1,Brandon Barnes Defensive Rebound.,48,67
7:19,-1,Connor Maddox missed Layup.,48,67
7:19,2413,Jordan Walker Block.,48,67
7:17,2413,Richard Feagin Defensive Rebound.,48,67
7:12,-1,Foul on Chase Porter.,48,67
7:12,2413,Official TV Timeout,48,67
7:12,2413,Malek Green missed Free Throw.,48,67
7:12,2413,Morehead State Deadball Team Rebound.,48,67
7:12,2413,Malek Green made Free Throw.,48,68
7:12,-1,Hayden Dunn Turnover.,48,68
7:07,2413,Richard Feagin made Jumper.,48,70
6:41,-1,Owens Crawford Turnover.,48,70
6:38,2413,Richard Feagin missed Three Point Jumper.,48,70
6:38,-1,Brandon Barnes Defensive Rebound.,48,70
6:24,-1,Matthew Lee missed Layup.,48,70
6:24,2413,Malek Green Defensive Rebound.,48,70
6:16,2413,Jordan Walker made Layup.,48,72
5:54,-1,Brandon Barnes missed Three Point Jumper.,48,72
5:54,2413,De'Von Cooper Defensive Rebound.,48,72
5:34,2413,Londell King made Layup. Assisted by Jordan Walker.,48,74
5:22,2413,Foul on Richard Feagin.,48,74
5:22,-1,Brandon Barnes made Free Throw.,49,74
5:22,-1,Brandon Barnes made Free Throw.,50,74
5:11,2413,Richard Feagin made Layup.,50,76
4:50,-1,Owens Crawford missed Three Point Jumper.,50,76
4:50,2413,Alonzo Chatman Defensive Rebound.,50,76
4:44,2413,A.J. Hicks made Layup.,50,78
4:28,-1,Brandon Barnes made Jumper. Assisted by Chase Porter.,52,78
4:07,2413,Lamontray Harris made Jumper. Assisted by A.J. Hicks.,52,80
3:57,-1,Brandon Barnes missed Three Point Jumper.,52,80
3:57,2413,Morehead State Defensive Rebound.,52,80
3:52,2413,Official TV Timeout,52,80
3:37,2413,Alonzo Chatman made Layup. Assisted by Trell Thompson.,52,82
3:16,-1,Hayden Dunn made Three Point Jumper. Assisted by Brandon Barnes.,55,82
2:58,2413,Trell Thompson missed Three Point Jumper.,55,82
2:58,-1,Owens Crawford Defensive Rebound.,55,82
2:46,-1,Owens Crawford missed Jumper.,55,82
2:46,2413,Lamontray Harris Defensive Rebound.,55,82
2:40,2413,Trell Thompson missed Dunk.,55,82
2:40,2413,Richard Feagin Offensive Rebound.,55,82
2:35,2413,Lamontray Harris missed Jumper.,55,82
2:35,2413,Alonzo Chatman Offensive Rebound.,55,82
2:23,2413,Alonzo Chatman missed Jumper.,55,82
2:23,2413,Trell Thompson Offensive Rebound.,55,82
2:04,2413,Trell Thompson made Jumper. Assisted by Alonzo Chatman.,55,84
1:50,-1,Patrick Bray missed Three Point Jumper.,55,84
1:50,2413,Richard Feagin Defensive Rebound.,55,84
1:43,2413,Austin Crawford missed Three Point Jumper.,55,84
1:43,2413,Lamontray Harris Offensive Rebound.,55,84
1:37,-1,Foul on Owens Crawford.,55,84
1:37,2413,Austin Crawford missed Free Throw.,55,84
1:37,2413,Morehead State Deadball Team Rebound.,55,84
1:37,2413,Austin Crawford made Free Throw.,55,85
1:21,-1,Brandon Barnes Turnover.,55,85
1:12,2413,Austin Crawford missed Three Point Jumper.,55,85
1:12,-1,Hayden Dunn Defensive Rebound.,55,85
1:02,-1,Brandon Barnes missed Layup.,55,85
1:02,2413,Richard Feagin Defensive Rebound.,55,85
0:52,2413,Alonzo Chatman Turnover.,55,85
0:49,-1,Chase Porter Steal.,55,85
0:47,-1,Hayden Dunn made Layup. Assisted by Brandon Barnes.,57,85
0:19,2413,Austin Crawford missed Layup.,57,85
0:19,2413,Lamontray Harris Offensive Rebound.,57,85
0:00,2413,End of Game,57,85
