Louisiana,2348,Louisiana Tech,309
10:53,2348,DaQuan Bracey made Layup.,22,12
10:34,309,JaKeenan Gant missed Three Point Jumper.,22,12
10:34,2348,Jacobi Boykins Defensive Rebound.,22,12
10:07,2348,Exavian Christon missed Jumper.,22,12
10:07,309,Bryce Washington Defensive Rebound.,22,12
9:57,2348,Foul on DaQuan Bracey.,22,12
9:55,309,Johnathan Stove missed Layup.,22,12
9:55,2348,JaColby Pemberton Defensive Rebound.,22,12
9:21,2348,Derric Jean Turnover.,22,12
9:03,309,Bryce Washington Turnover.,22,12
9:00,2348,JaColby Pemberton Steal.,22,12
8:47,2348,Jy'lan Washington Turnover.,22,12
8:31,309,Frank Bartley IV missed Jumper.,22,12
8:31,2348,Jalen Harris Defensive Rebound.,22,12
8:25,2348,Jalen Harris made Dunk.,22,14
8:17,309,Louisiana  Timeout,22,14
7:58,309,Justin Miller missed Layup.,22,14
7:58,2348,Joniah White Defensive Rebound.,22,14
7:38,2348,Jy'lan Washington missed Three Point Jumper.,22,14
7:38,309,Frank Bartley IV Defensive Rebound.,22,14
7:28,309,Johnathan Stove missed Jumper.,22,14
7:28,2348,Derric Jean Defensive Rebound.,22,14
7:19,2348,Foul on JaColby Pemberton.,22,14
7:18,2348,JaColby Pemberton Turnover.,22,14
7:03,309,Justin Miller made Three Point Jumper. Assisted by JaKeenan Gant.,25,14
6:24,2348,Jy'lan Washington Turnover.,25,14
6:12,309,Justin Miller missed Three Point Jumper.,25,14
6:12,2348,Anthony Duruji Defensive Rebound.,25,14
6:04,2348,Anthony Duruji Turnover.,25,14
6:01,309,JaKeenan Gant Steal.,25,14
5:41,309,Cedric Russell missed Three Point Jumper.,25,14
5:41,309,JaKeenan Gant Offensive Rebound.,25,14
5:36,309,JaKeenan Gant made Dunk.,27,14
5:14,309,Foul on P.J. Hardy.,27,14
4:59,2348,Jacobi Boykins missed Jumper.,27,14
4:59,309,Justin Miller Defensive Rebound.,27,14
4:51,309,Cedric Russell made Three Point Jumper. Assisted by P.J. Hardy.,30,14
4:48,2348,Louisiana Tech  Timeout,30,14
4:41,309,Foul on Marcus Stroman.,30,14
4:24,2348,DaQuan Bracey Turnover.,30,14
4:23,309,Marcus Stroman Steal.,30,14
4:20,2348,Foul on Derric Jean.,30,14
4:20,309,P.J. Hardy missed Free Throw.,30,14
4:20,309,Louisiana Deadball Team Rebound.,30,14
4:20,309,P.J. Hardy made Free Throw.,31,14
4:07,2348,Jalen Harris made Three Point Jumper. Assisted by DaQuan Bracey.,31,17
3:53,2348,Foul on DaQuan Bracey.,31,17
3:53,2348,Official TV Timeout,31,17
3:53,309,P.J. Hardy made Free Throw.,32,17
3:53,309,P.J. Hardy made Free Throw.,33,17
3:41,2348,Jacobi Boykins Turnover.,33,17
3:18,309,Frank Bartley IV made Layup.,35,17
3:04,2348,Anthony Duruji made Three Point Jumper. Assisted by Derric Jean.,35,20
2:42,309,P.J. Hardy missed Three Point Jumper.,35,20
2:42,2348,Jacobi Boykins Defensive Rebound.,35,20
2:33,2348,Jalen Harris missed Jumper.,35,20
2:33,309,JaKeenan Gant Defensive Rebound.,35,20
2:09,309,Johnathan Stove missed Layup.,35,20
2:09,2348,Jacobi Boykins Defensive Rebound.,35,20
2:07,309,Foul on Johnathan Stove.,35,20
2:07,2348,Jacobi Boykins made Free Throw.,35,21
2:07,2348,Jacobi Boykins made Free Throw.,35,22
1:54,309,Frank Bartley IV made Dunk. Assisted by Johnathan Stove.,37,22
1:54,2348,Foul on Joniah White.,37,22
1:54,309,Frank Bartley IV made Free Throw.,38,22
1:36,2348,Jalen Harris Turnover.,38,22
1:35,309,JaKeenan Gant Steal.,38,22
1:30,309,Johnathan Stove Turnover.,38,22
1:26,2348,Exavian Christon Steal.,38,22
1:24,309,Foul on Frank Bartley IV.,38,22
1:24,2348,Exavian Christon missed Free Throw.,38,22
1:24,2348,Louisiana Tech Offensive Rebound.,38,22
1:23,2348,Jy'lan Washington missed Dunk.,38,22
1:23,309,JaKeenan Gant Block.,38,22
1:20,309,P.J. Hardy Defensive Rebound.,38,22
1:05,309,Malik Marquetti missed Three Point Jumper.,38,22
1:05,309,P.J. Hardy Offensive Rebound.,38,22
1:00,309,P.J. Hardy missed Three Point Jumper.,38,22
1:00,309,Louisiana Offensive Rebound.,38,22
0:40,309,Justin Miller Turnover.,38,22
0:24,2348,Jy'lan Washington made Three Point Jumper. Assisted by Joniah White.,38,25
0:06,309,Justin Miller missed Layup.,38,25
0:06,309,JaKeenan Gant Offensive Rebound.,38,25
0:04,309,JaKeenan Gant missed Layup.,38,25
0:04,309,Justin Miller Offensive Rebound.,38,25
0:00,2348,End of 1st half,38,25
19:51,2348,DaQuan Bracey made Three Point Jumper. Assisted by Jalen Harris.,38,28
19:23,309,JaKeenan Gant made Three Point Jumper. Assisted by Malik Marquetti.,41,28
18:52,2348,Jy'lan Washington missed Layup.,41,28
18:52,2348,Joniah White Offensive Rebound.,41,28
18:50,2348,Joniah White made Jumper.,41,30
18:25,309,Bryce Washington missed Jumper.,41,30
18:25,2348,Joniah White Block.,41,30
18:23,309,Bryce Washington Offensive Rebound.,41,30
18:20,309,Bryce Washington made Jumper.,43,30
17:56,309,Foul on Bryce Washington.,43,30
17:56,2348,Jalen Harris made Free Throw.,43,31
17:56,2348,Jalen Harris made Free Throw.,43,32
17:40,309,Marcus Stroman Turnover.,43,32
17:37,2348,Joniah White Steal.,43,32
17:35,2348,DaQuan Bracey Turnover.,43,32
17:33,309,Bryce Washington Steal.,43,32
17:28,309,JaKeenan Gant made Dunk. Assisted by Malik Marquetti.,45,32
17:12,2348,Jacobi Boykins Turnover.,45,32
17:10,309,JaKeenan Gant Steal.,45,32
17:07,309,Frank Bartley IV missed Layup.,45,32
17:07,309,Bryce Washington Offensive Rebound.,45,32
17:06,2348,Foul on Joniah White.,45,32
17:06,309,Frank Bartley IV missed Three Point Jumper.,45,32
17:06,2348,Jacobi Boykins Defensive Rebound.,45,32
17:02,2348,DaQuan Bracey made Layup.,45,34
16:44,309,Marcus Stroman missed Three Point Jumper.,45,34
16:44,2348,Joniah White Defensive Rebound.,45,34
16:40,309,Foul on Malik Marquetti.,45,34
16:20,2348,Jalen Harris missed Layup.,45,34
16:20,2348,Jalen Harris Offensive Rebound.,45,34
16:17,2348,Jalen Harris made Layup.,45,36
16:03,309,Frank Bartley IV missed Three Point Jumper.,45,36
16:03,309,Bryce Washington Offensive Rebound.,45,36
15:45,309,Malik Marquetti made Jumper.,47,36
15:36,2348,Official TV Timeout,47,36
15:14,2348,DaQuan Bracey made Layup.,47,38
14:59,2348,Foul on Oliver Powell.,47,38
14:59,309,Louisiana  Timeout,47,38
14:59,309,Bryce Washington made Free Throw.,48,38
14:59,309,Bryce Washington made Free Throw.,49,38
14:36,2348,Exavian Christon made Three Point Jumper. Assisted by Jy'lan Washington.,49,41
14:17,309,Bryce Washington made Layup.,51,41
13:59,2348,DaQuan Bracey Turnover.,51,41
13:59,309,Bryce Washington Steal.,51,41
13:59,309,Bryce Washington Turnover.,51,41
13:48,2348,DaQuan Bracey missed Layup.,51,41
13:48,309,JaKeenan Gant Block.,51,41
13:45,309,Bryce Washington Defensive Rebound.,51,41
13:38,309,Malik Marquetti missed Three Point Jumper.,51,41
13:38,2348,Jacobi Boykins Defensive Rebound.,51,41
13:31,309,Foul on Marcus Stroman.,51,41
13:17,309,Foul on JaKeenan Gant.,51,41
13:15,2348,Jacobi Boykins made Layup. Assisted by DaQuan Bracey.,51,43
12:50,309,Malik Marquetti made Three Point Jumper. Assisted by Marcus Stroman.,54,43
12:32,309,Foul on Frank Bartley IV.,54,43
12:32,2348,Jy'lan Washington made Free Throw.,54,44
12:32,2348,Jy'lan Washington made Free Throw.,54,45
12:08,2348,Foul on Oliver Powell.,54,45
12:08,309,JaKeenan Gant missed Free Throw.,54,45
12:08,309,Louisiana Deadball Team Rebound.,54,45
12:08,309,JaKeenan Gant made Free Throw.,55,45
11:53,2348,DaQuan Bracey missed Layup.,55,45
11:52,309,Johnathan Stove Block.,55,45
11:51,2348,Official TV Timeout,55,45
11:51,2348,Official TV Timeout,55,45
11:51,309,Louisiana Defensive Rebound.,55,45
11:51,2348,Official TV Timeout,55,45
11:44,2348,DaQuan Bracey missed Jumper.,55,45
11:44,309,Malik Marquetti Defensive Rebound.,55,45
11:27,309,Cedric Russell made Three Point Jumper. Assisted by Johnathan Stove.,58,45
11:13,2348,Jy'lan Washington missed Three Point Jumper.,58,45
11:13,2348,Jy'lan Washington Offensive Rebound.,58,45
11:07,309,Foul on JaKeenan Gant.,58,45
11:07,2348,Jy'lan Washington made Free Throw.,58,46
11:07,2348,Jy'lan Washington made Free Throw.,58,47
11:04,309,Malik Marquetti Turnover.,58,47
10:46,2348,Jalen Harris Turnover.,58,47
10:45,309,Bryce Washington Steal.,58,47
10:38,309,Johnathan Stove made Layup. Assisted by Marcus Stroman.,60,47
10:06,2348,Joniah White made Layup. Assisted by Jacobi Boykins.,60,49
10:06,309,Foul on Johnathan Stove.,60,49
10:06,2348,Joniah White missed Free Throw.,60,49
10:06,309,Johnathan Stove Defensive Rebound.,60,49
9:44,309,Malik Marquetti made Layup.,62,49
9:13,2348,Exavian Christon made Three Point Jumper. Assisted by Jalen Harris.,62,52
8:53,2348,Foul on Jacobi Boykins.,62,52
8:51,309,JaKeenan Gant made Layup. Assisted by Marcus Stroman.,64,52
8:24,2348,Anthony Duruji Turnover.,64,52
8:21,309,Bryce Washington Steal.,64,52
8:08,2348,Foul on Joniah White.,64,52
7:51,309,Bryce Washington missed Layup.,64,52
7:51,2348,Joniah White Block.,64,52
7:49,309,Bryce Washington Offensive Rebound.,64,52
7:45,309,Marcus Stroman missed Three Point Jumper.,64,52
7:45,309,Bryce Washington Offensive Rebound.,64,52
7:38,309,Marcus Stroman Turnover.,64,52
7:36,2348,Jalen Harris Steal.,64,52
7:34,2348,DaQuan Bracey made Layup. Assisted by Jalen Harris.,64,54
7:21,2348,Foul on Jy'lan Washington.,64,54
7:21,2348,Official TV Timeout,64,54
7:21,309,Marcus Stroman missed Free Throw.,64,54
7:21,309,Louisiana Deadball Team Rebound.,64,54
7:21,309,Marcus Stroman missed Free Throw.,64,54
7:21,2348,Jy'lan Washington Defensive Rebound.,64,54
7:08,309,Foul on Marcus Stroman.,64,54
7:08,2348,DaQuan Bracey made Free Throw.,64,55
7:08,2348,DaQuan Bracey missed Free Throw.,64,55
7:08,309,JaKeenan Gant Defensive Rebound.,64,55
6:46,309,Cedric Russell made Three Point Jumper. Assisted by Justin Miller.,67,55
6:18,309,Foul on Justin Miller.,67,55
6:18,2348,Jalen Harris made Free Throw.,67,56
6:18,2348,Jalen Harris made Free Throw.,67,57
6:16,309,Justin Miller Turnover.,67,57
6:16,2348,DaQuan Bracey Steal.,67,57
6:00,2348,Joniah White made Dunk. Assisted by DaQuan Bracey.,67,59
5:30,309,JaKeenan Gant Turnover.,67,59
5:14,2348,Jalen Harris made Three Point Jumper. Assisted by DaQuan Bracey.,67,62
5:02,309,Louisiana  Timeout,67,62
4:51,309,JaKeenan Gant missed Three Point Jumper.,67,62
4:51,309,Bryce Washington Offensive Rebound.,67,62
4:29,309,Cedric Russell missed Three Point Jumper.,67,62
4:29,309,JaKeenan Gant Offensive Rebound.,67,62
4:13,309,JaKeenan Gant made Layup. Assisted by Bryce Washington.,69,62
3:52,2348,Jacobi Boykins missed Three Point Jumper.,69,62
3:52,2348,Jy'lan Washington Offensive Rebound.,69,62
3:48,2348,Official TV Timeout,69,62
3:44,2348,Official TV Timeout,69,62
3:32,2348,DaQuan Bracey missed Layup.,69,62
3:32,2348,Joniah White Offensive Rebound.,69,62
3:29,2348,Joniah White missed Two Point Tip Shot.,69,62
3:29,2348,Joniah White Offensive Rebound.,69,62
3:24,2348,Joniah White made Layup.,69,64
3:16,309,Foul on Marcus Stroman.,69,64
3:16,309,Marcus Stroman Turnover.,69,64
3:08,309,Foul on Bryce Washington.,69,64
3:08,2348,Jacobi Boykins made Free Throw.,69,65
3:08,2348,Jacobi Boykins made Free Throw.,69,66
2:44,2348,Foul on Jacobi Boykins.,69,66
2:44,309,Malik Marquetti made Free Throw.,70,66
2:44,309,Malik Marquetti made Free Throw.,71,66
2:38,2348,Jalen Harris made Layup.,71,68
2:36,2348,Jalen Harris made Free Throw.,71,69
2:36,309,Foul on Bryce Washington.,71,69
2:13,309,Malik Marquetti made Layup.,73,69
1:45,2348,Louisiana Tech  Timeout,73,69
1:40,2348,DaQuan Bracey missed Three Point Jumper.,73,69
1:40,309,Malik Marquetti Defensive Rebound.,73,69
1:16,309,JaKeenan Gant missed Three Point Jumper.,73,69
1:16,309,Cedric Russell Offensive Rebound.,73,69
1:16,309,Cedric Russell Turnover.,73,69
0:48,2348,Joniah White made Dunk. Assisted by DaQuan Bracey.,73,71
0:16,309,JaKeenan Gant made Layup.,75,71
0:06,2348,DaQuan Bracey Turnover.,75,71
0:06,309,Johnathan Stove Steal.,75,71
0:04,2348,Foul on DaQuan Bracey.,75,71
0:04,309,Johnathan Stove missed Free Throw.,75,71
0:04,2348,Anthony Duruji Defensive Rebound.,75,71
0:00,2348,End of Game,75,71
