Albany,235,Memphis,399
6:58,235,Jimario Rivers made Free Throw.,48,51
6:48,399,Jump Ball won by Albany,48,51
6:35,399,Joe Cremo Turnover.,48,51
6:35,235,Jeremiah Martin Steal.,48,51
6:31,235,Jeremiah Martin made Dunk.,48,53
6:08,399,Devonte Campbell missed Three Point Jumper.,48,53
6:08,235,Jeremiah Martin Defensive Rebound.,48,53
6:01,235,Kareem Brewton Jr. made Layup. Assisted by Jeremiah Martin.,48,55
5:46,399,Albany  Timeout,48,55
5:38,399,Travis Charles missed Jumper.,48,55
5:38,235,Kareem Brewton Jr. Defensive Rebound.,48,55
5:20,235,Jimario Rivers made Layup. Assisted by Jeremiah Martin.,48,57
5:20,399,Foul on Joe Cremo.,48,57
5:20,235,Jimario Rivers made Free Throw.,48,58
4:57,399,David Nichols made Layup.,50,58
4:45,399,Foul on Joe Cremo.,50,58
4:45,235,Jeremiah Martin made Free Throw.,50,59
4:45,235,Jeremiah Martin made Free Throw.,50,60
4:30,399,David Nichols missed Three Point Jumper.,50,60
4:25,235,Kyvon Davenport Defensive Rebound.,50,60
4:02,235,Jeremiah Martin missed Jumper.,50,60
4:02,399,Travis Charles Defensive Rebound.,50,60
3:40,399,Travis Charles made Layup. Assisted by Devonte Campbell.,52,60
3:09,235,Jimario Rivers missed Jumper.,52,60
3:09,399,Joe Cremo Defensive Rebound.,52,60
3:04,235,Foul on Kareem Brewton Jr..,52,60
3:04,235,Official TV Timeout,52,60
3:04,399,Joe Cremo made Free Throw.,53,60
3:04,399,Joe Cremo made Free Throw.,54,60
2:36,235,Kyvon Davenport missed Three Point Jumper.,54,60
2:29,235,Kyvon Davenport Offensive Rebound.,54,60
2:29,235,Memphis  Timeout,54,60
2:14,235,Jamal Johnson made Three Point Jumper. Assisted by Jimario Rivers.,54,63
1:58,399,David Nichols missed Three Point Jumper.,54,63
1:58,235,Jeremiah Martin Defensive Rebound.,54,63
1:30,235,Jeremiah Martin missed Three Point Jumper.,54,63
1:30,235,Kyvon Davenport Offensive Rebound.,54,63
1:11,399,Foul on David Nichols.,54,63
1:11,235,Jeremiah Martin made Free Throw.,54,64
1:11,235,Jeremiah Martin made Free Throw.,54,65
1:02,399,Devonte Campbell made Layup.,56,65
1:00,399,Albany  Timeout,56,65
1:00,399,Foul on Devonte Campbell.,56,65
1:00,235,Jimario Rivers missed Free Throw.,56,65
1:00,399,Joe Cremo Defensive Rebound.,56,65
0:51,399,Devonte Campbell made Layup. Assisted by Joe Cremo.,58,65
0:45,399,Foul on David Nichols.,58,65
0:45,235,Jamal Johnson made Free Throw.,58,66
0:45,235,Jamal Johnson made Free Throw.,58,67
0:40,399,David Nichols missed Jumper.,58,67
0:40,399,Joe Cremo Offensive Rebound.,58,67
0:34,399,Joe Cremo missed Three Point Jumper.,58,67
0:34,235,Jeremiah Martin Defensive Rebound.,58,67
0:06,235,Jeremiah Martin missed Three Point Jumper.,58,67
0:06,399,Travis Charles Defensive Rebound.,58,67
0:03,399,Devonte Campbell missed Layup.,58,67
0:03,235,Jamal Johnson Block.,58,67
0:03,399,David Nichols Offensive Rebound.,58,67
0:00,235,End of Game,58,67
