Yale,314,Iona,43
5:07,314,C.J. Seaforth missed Three Point Jumper.,26,36
5:07,43,Noah Yates Defensive Rebound.,26,36
4:51,43,Blake Reynolds missed Three Point Jumper.,26,36
4:51,314,Zach Lewis Defensive Rebound.,26,36
4:38,314,E.J. Crawford missed Three Point Jumper.,26,36
4:38,43,Miye Oni Defensive Rebound.,26,36
4:13,43,Miye Oni made Three Point Jumper.,29,36
3:54,314,Zach Lewis missed Layup.,29,36
3:54,43,Miye Oni Block.,29,36
3:52,43,Azar Swain Defensive Rebound.,29,36
3:47,43,Miye Oni missed Three Point Jumper.,29,36
3:47,314,Roland Griffin Defensive Rebound.,29,36
3:29,43,Foul on Noah Yates.,29,36
3:29,314,Iona  Timeout,29,36
3:29,314,E.J. Crawford made Free Throw.,29,37
3:29,314,E.J. Crawford made Free Throw.,29,38
3:08,43,Miye Oni missed Three Point Jumper.,29,38
3:08,43,Miye Oni Offensive Rebound.,29,38
2:49,43,Blake Reynolds Turnover.,29,38
2:49,314,TK Edogi Steal.,29,38
2:38,314,C.J. Seaforth made Three Point Jumper.,29,41
2:23,43,Alex Copeland missed Layup.,29,41
2:23,43,Blake Reynolds Offensive Rebound.,29,41
2:18,43,Blake Reynolds made Layup.,31,41
1:51,314,Deyshonee Much Turnover.,31,41
1:50,43,Noah Yates Steal.,31,41
1:42,43,Blake Reynolds missed Three Point Jumper.,31,41
1:42,314,TK Edogi Defensive Rebound.,31,41
1:26,314,E.J. Crawford made Jumper.,31,43
1:01,43,Blake Reynolds made Three Point Jumper. Assisted by Alex Copeland.,34,43
0:46,314,TK Edogi missed Three Point Jumper.,34,43
0:46,43,Miye Oni Defensive Rebound.,34,43
0:43,314,Foul on C.J. Seaforth.,34,43
0:43,43,Miye Oni made Free Throw.,35,43
0:43,43,Miye Oni missed Free Throw.,35,43
0:43,314,TK Edogi Defensive Rebound.,35,43
0:19,43,Foul on Miye Oni.,35,43
0:19,314,Deyshonee Much missed Free Throw.,35,43
0:19,314,Iona Deadball Team Rebound.,35,43
0:19,314,Deyshonee Much made Free Throw.,35,44
0:00,43,Alex Copeland missed Jumper.,35,44
0:00,314,Zach Lewis Defensive Rebound.,35,44
0:00,314,End of 1st half,35,44
19:45,43,Blake Reynolds missed Layup.,35,44
19:45,314,E.J. Crawford Defensive Rebound.,35,44
19:36,314,Rickey McGill Turnover.,35,44
19:35,43,Eric Monroe Steal.,35,44
19:32,43,Alex Copeland made Layup. Assisted by Eric Monroe.,37,44
19:26,314,Deyshonee Much missed Three Point Jumper.,37,44
19:26,43,Paul Atkinson Defensive Rebound.,37,44
19:00,314,Foul on Rickey McGill.,37,44
18:48,43,Blake Reynolds made Layup. Assisted by Eric Monroe.,39,44
18:26,314,Deyshonee Much made Three Point Jumper. Assisted by Zach Lewis.,39,47
18:25,43,Foul on Alex Copeland.,39,47
18:25,314,Deyshonee Much missed Free Throw.,39,47
18:25,43,Blake Reynolds Defensive Rebound.,39,47
18:08,43,Blake Reynolds missed Jumper.,39,47
18:08,314,E.J. Crawford Defensive Rebound.,39,47
17:59,314,Schadrac Casimir missed Three Point Jumper.,39,47
17:59,314,Schadrac Casimir Offensive Rebound.,39,47
17:42,314,TK Edogi missed Jumper.,39,47
17:42,43,Paul Atkinson Defensive Rebound.,39,47
17:24,43,Alex Copeland missed Three Point Jumper.,39,47
17:24,314,TK Edogi Defensive Rebound.,39,47
17:16,314,E.J. Crawford made Layup. Assisted by Deyshonee Much.,39,49
17:16,43,Foul on Alex Copeland.,39,49
17:16,314,E.J. Crawford made Free Throw.,39,50
16:54,43,Azar Swain made Three Point Jumper. Assisted by Miye Oni.,42,50
16:33,314,Deyshonee Much missed Three Point Jumper.,42,50
16:33,43,Eric Monroe Defensive Rebound.,42,50
16:20,43,Eric Monroe Turnover.,42,50
15:59,314,Roland Griffin missed Jumper.,42,50
15:59,43,Miye Oni Defensive Rebound.,42,50
15:50,43,Blake Reynolds made Layup. Assisted by Azar Swain.,44,50
15:36,314,E.J. Crawford made Jumper.,44,52
15:16,43,Noah Yates missed Jumper.,44,52
15:16,314,Deyshonee Much Defensive Rebound.,44,52
15:07,314,E.J. Crawford made Three Point Jumper. Assisted by Deyshonee Much.,44,55
14:52,314,Foul on Zach Lewis.,44,55
14:52,43,Yale  Timeout,44,55
14:52,314,Foul on Deyshonee Much.,44,55
14:37,43,Azar Swain missed Three Point Jumper.,44,55
14:37,43,Blake Reynolds Offensive Rebound.,44,55
14:12,43,Miye Oni missed Jumper.,44,55
14:12,314,Roland Griffin Defensive Rebound.,44,55
13:40,314,Deyshonee Much Turnover.,44,55
13:09,43,Jameel Alausa Turnover.,44,55
12:41,314,Iona  Turnover.,44,55
12:24,43,Foul on Blake Reynolds.,44,55
12:24,43,Blake Reynolds Turnover.,44,55
12:12,314,Deyshonee Much made Three Point Jumper. Assisted by Roland Griffin.,44,58
11:46,314,Foul on Jan Svandrlik.,44,58
11:46,43,Yale  Timeout,44,58
11:28,314,Foul on Zach Lewis.,44,58
11:28,43,Trey Phills made Free Throw.,45,58
11:28,43,Trey Phills made Free Throw.,46,58
11:06,314,Roland Griffin made Layup. Assisted by Rickey McGill.,46,60
10:52,43,Miye Oni missed Three Point Jumper.,46,60
10:52,314,Roland Griffin Defensive Rebound.,46,60
10:40,314,Deyshonee Much missed Layup.,46,60
10:40,314,Deyshonee Much Offensive Rebound.,46,60
10:36,314,Deyshonee Much made Layup.,46,62
10:08,43,Wyatt Yess made Layup. Assisted by Alex Copeland.,48,62
9:55,314,Rickey McGill made Layup. Assisted by Roland Griffin.,48,64
9:37,43,Jameel Alausa Turnover.,48,64
9:37,314,Jan Svandrlik Steal.,48,64
9:37,43,Foul on Wyatt Yess.,48,64
9:16,314,Rickey McGill Turnover.,48,64
9:14,43,Blake Reynolds Steal.,48,64
9:08,43,Miye Oni made Three Point Jumper. Assisted by Alex Copeland.,51,64
8:59,314,Rickey McGill missed Three Point Jumper.,51,64
8:59,43,Miye Oni Defensive Rebound.,51,64
8:50,43,Blake Reynolds made Layup. Assisted by Trey Phills.,53,64
8:50,43,Yale  Timeout,53,64
8:50,314,Iona  Timeout,53,64
8:35,314,E.J. Crawford made Three Point Jumper. Assisted by Rickey McGill.,53,67
8:09,43,Wyatt Yess missed Layup.,53,67
8:09,43,Blake Reynolds Offensive Rebound.,53,67
8:02,43,Miye Oni missed Layup.,53,67
8:02,314,Iona Defensive Rebound.,53,67
7:49,314,E.J. Crawford missed Three Point Jumper.,53,67
7:49,43,Trey Phills Defensive Rebound.,53,67
7:29,43,Trey Phills missed Three Point Jumper.,53,67
7:29,43,Miye Oni Offensive Rebound.,53,67
7:24,43,Miye Oni made Layup.,55,67
7:07,314,C.J. Seaforth missed Three Point Jumper.,55,67
7:07,43,Wyatt Yess Defensive Rebound.,55,67
6:58,43,Miye Oni Turnover.,55,67
6:57,314,C.J. Seaforth Steal.,55,67
6:49,43,Foul on Wyatt Yess.,55,67
6:49,314,Iona  Timeout,55,67
6:49,314,Rickey McGill made Free Throw.,55,68
6:49,314,Rickey McGill made Free Throw.,55,69
6:39,43,Alex Copeland missed Three Point Jumper.,55,69
6:39,314,Rickey McGill Defensive Rebound.,55,69
6:26,314,Jan Svandrlik made Three Point Jumper. Assisted by Rickey McGill.,55,72
5:54,43,Azar Swain missed Three Point Jumper.,55,72
5:54,314,Iona Defensive Rebound.,55,72
5:39,314,Deyshonee Much made Three Point Jumper. Assisted by Rickey McGill.,55,75
5:12,314,Foul on Jan Svandrlik.,55,75
5:01,43,Alex Copeland missed Jumper.,55,75
5:01,314,E.J. Crawford Defensive Rebound.,55,75
4:38,314,Rickey McGill Turnover.,55,75
4:38,43,Blake Reynolds Steal.,55,75
4:34,43,Eric Monroe missed Dunk.,55,75
4:34,314,Deyshonee Much Block.,55,75
4:32,43,Azar Swain Offensive Rebound.,55,75
4:24,43,Blake Reynolds missed Three Point Jumper.,55,75
4:24,314,E.J. Crawford Defensive Rebound.,55,75
3:51,314,Deyshonee Much made Layup.,55,77
3:42,314,Foul on Rickey McGill.,55,77
3:42,43,Yale  Timeout,55,77
3:42,43,Eric Monroe made Free Throw.,56,77
3:42,43,Eric Monroe missed Free Throw.,56,77
3:42,314,TK Edogi Defensive Rebound.,56,77
3:17,43,Foul on Miye Oni.,56,77
3:17,314,E.J. Crawford made Free Throw.,56,78
3:17,314,E.J. Crawford made Free Throw.,56,79
2:58,43,Alex Copeland missed Layup.,56,79
2:58,314,E.J. Crawford Block.,56,79
2:56,43,Yale Offensive Rebound.,56,79
2:51,43,Blake Reynolds missed Layup.,56,79
2:51,314,Jan Svandrlik Defensive Rebound.,56,79
2:26,314,Rickey McGill missed Jumper.,56,79
2:26,43,Miye Oni Defensive Rebound.,56,79
2:09,43,Miye Oni made Three Point Jumper. Assisted by Blake Reynolds.,59,79
1:41,314,E.J. Crawford made Jumper.,59,81
1:24,43,Eric Monroe made Three Point Jumper. Assisted by Blake Reynolds.,62,81
1:03,314,C.J. Seaforth missed Three Point Jumper.,62,81
1:03,43,Blake Reynolds Defensive Rebound.,62,81
0:55,43,Eric Monroe made Three Point Jumper. Assisted by Alex Copeland.,65,81
0:40,314,Gavin Kensmil Turnover.,65,81
0:40,314,Foul on Gavin Kensmil.,65,81
0:36,43,Miye Oni missed Three Point Jumper.,65,81
0:36,43,Azar Swain Offensive Rebound.,65,81
0:29,43,Azar Swain missed Layup.,65,81
0:29,314,Tyrell Williams Block.,65,81
0:26,314,Tyrell Williams Defensive Rebound.,65,81
0:12,314,Jan Svandrlik made Jumper. Assisted by Nils Taylor.,65,83
0:09,314,Foul on Nils Taylor.,65,83
0:09,43,Eric Monroe made Free Throw.,66,83
0:09,43,Eric Monroe made Free Throw.,67,83
0:00,314,Gavin Kensmil Turnover.,67,83
0:00,43,Miye Oni Steal.,67,83
0:00,314,End of Game,67,83
